1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1134388.00,1631.00,91.00,119193.00,74898.00,0.00,0.00,107742.00,881.00,91411.00,518.00,8645.00,6287.00,45389.00,15660.00,21258.00,8471.00,184698.00,3482.00,52363.00,57777.00,108809.00,22101.00,328509.00,12567.00,15138.00,576206.00,0.00,0.00,2398.00,286337.00,269.00,223261.00,245.00,22770.00,39792.00,148008.00,27298.00,12787.00,82573.00,25350.00,46307.00,6142.00,20537.00,2660.00,63817.00
1952:Q1,1139274.00,1634.00,84.00,120485.00,76296.00,0.00,80.00,109945.00,1116.00,91787.00,491.00,10417.00,6134.00,45041.00,15692.00,21662.00,7687.00,186383.00,3612.00,54793.00,58445.00,112851.00,9830.00,331382.00,12945.00,15468.00,578381.00,0.00,0.00,2413.00,288418.00,328.00,221993.00,208.00,25016.00,40873.00,148946.00,27071.00,12782.00,84496.00,24597.00,44949.00,6157.00,18812.00,2716.00,65970.00
1952:Q2,1155039.00,1663.00,102.00,119922.00,78592.00,0.00,167.00,111350.00,1325.00,90679.00,563.00,12428.00,6355.00,46326.00,15913.00,21985.00,8428.00,192556.00,3696.00,53757.00,59153.00,116622.00,9836.00,332041.00,13529.00,15727.00,584968.00,0.00,0.00,2420.00,292159.00,304.00,221979.00,53.00,27480.00,42343.00,153856.00,26965.00,13148.00,86865.00,26878.00,42962.00,6177.00,16610.00,2786.00,67998.00
1952:Q3,1173491.00,1671.00,98.00,122743.00,80122.00,0.00,679.00,113792.00,1458.00,92281.00,626.00,13297.00,6130.00,47144.00,16257.00,22291.00,8596.00,192065.00,3837.00,58238.00,59892.00,120444.00,9832.00,332879.00,13827.00,16228.00,600710.00,0.00,0.00,2429.00,298164.00,346.00,225252.00,401.00,28695.00,43470.00,158125.00,27386.00,13483.00,89291.00,27965.00,45925.00,6185.00,17238.00,2833.00,69811.00
1952:Q4,1173244.00,1557.00,75.00,124341.00,82530.00,0.00,247.00,115288.00,1235.00,93574.00,601.00,13881.00,5997.00,48878.00,16496.00,22661.00,9721.00,181107.00,3932.00,58154.00,60665.00,124409.00,9842.00,330662.00,14261.00,17296.00,617960.00,0.00,0.00,2435.00,304314.00,331.00,229203.00,626.00,29657.00,44497.00,164512.00,28340.00,14050.00,91600.00,30522.00,48318.00,6185.00,17381.00,2890.00,71925.00
1953:Q1,1175733.00,1578.00,102.00,122801.00,84448.00,0.00,256.00,116772.00,1482.00,93946.00,644.00,14854.00,5846.00,48708.00,16681.00,23198.00,8829.00,177857.00,3867.00,60465.00,61439.00,128324.00,7868.00,329029.00,14635.00,17584.00,620154.00,0.00,0.00,2438.00,303759.00,370.00,226183.00,728.00,31221.00,45257.00,167328.00,28332.00,14379.00,93716.00,30901.00,47755.00,6193.00,16007.00,2976.00,73698.00
1953:Q2,1172215.00,1506.00,74.00,119694.00,87159.00,0.00,0.00,118744.00,1407.00,94754.00,650.00,15820.00,6113.00,50174.00,17233.00,23636.00,9305.00,168582.00,3778.00,59540.00,62199.00,132392.00,7867.00,327660.00,15058.00,17788.00,628966.00,0.00,0.00,2451.00,305872.00,297.00,226643.00,283.00,32379.00,46270.00,172467.00,28275.00,14935.00,96585.00,32672.00,48118.00,6211.00,15201.00,3002.00,75644.00
1953:Q3,1186373.00,1561.00,85.00,124615.00,88695.00,0.00,815.00,121294.00,1603.00,96474.00,703.00,16766.00,5748.00,50929.00,17834.00,23878.00,9217.00,163848.00,3753.00,61159.00,62937.00,136525.00,7859.00,328513.00,15424.00,18361.00,646742.00,0.00,0.00,2458.00,314550.00,347.00,233183.00,425.00,33795.00,46800.00,175894.00,28477.00,14978.00,99085.00,33354.00,49374.00,6236.00,17399.00,3084.00,77747.00
1953:Q4,1207366.00,1471.00,114.00,124221.00,91085.00,0.00,175.00,121948.00,1500.00,96620.00,670.00,17171.00,5987.00,52291.00,18052.00,24132.00,10107.00,177572.00,4146.00,57671.00,63647.00,140617.00,7820.00,330216.00,15735.00,18637.00,657490.00,0.00,0.00,2469.00,320805.00,402.00,235126.00,2253.00,35012.00,48012.00,178192.00,27329.00,14824.00,101425.00,34614.00,48824.00,6259.00,17986.00,3157.00,79798.00
1954:Q1,1220885.00,1429.00,115.00,122073.00,93465.00,0.00,-216.00,121378.00,1736.00,95485.00,705.00,17733.00,5719.00,51318.00,18115.00,24293.00,8910.00,188593.00,4512.00,59058.00,64339.00,144626.00,4926.00,330444.00,16031.00,18794.00,653532.00,0.00,0.00,2491.00,319323.00,525.00,230582.00,2911.00,36516.00,48789.00,178378.00,27198.00,15050.00,103386.00,32744.00,47867.00,6246.00,14340.00,3227.00,81660.00
1954:Q2,1243174.00,1439.00,128.00,123265.00,96499.00,0.00,0.00,117912.00,1638.00,91895.00,716.00,18041.00,5622.00,52373.00,17795.00,25186.00,9392.00,203782.00,4895.00,58627.00,65018.00,148566.00,4940.00,330484.00,16440.00,18806.00,658754.00,0.00,0.00,2501.00,320809.00,484.00,230733.00,2002.00,37866.00,49724.00,182711.00,26719.00,15000.00,106986.00,34006.00,48086.00,6187.00,11324.00,3320.00,83816.00
1954:Q3,1277047.00,1264.00,150.00,126042.00,98272.00,0.00,1006.00,118748.00,1601.00,92205.00,758.00,18711.00,5473.00,52093.00,17807.00,25016.00,9270.00,221823.00,5469.00,61375.00,65687.00,152538.00,4959.00,331774.00,16649.00,19198.00,673552.00,0.00,0.00,2503.00,325525.00,584.00,234029.00,537.00,39376.00,50999.00,186092.00,26883.00,15210.00,109757.00,34242.00,50330.00,6087.00,13163.00,3409.00,86443.00
1954:Q4,1293638.00,1302.00,158.00,128537.00,101071.00,0.00,172.00,119824.00,1363.00,93399.00,807.00,19403.00,4852.00,53886.00,17970.00,25463.00,10453.00,222895.00,6110.00,61403.00,66349.00,156605.00,4985.00,333826.00,17036.00,19479.00,693931.00,0.00,0.00,2505.00,332936.00,531.00,237857.00,2338.00,40663.00,51547.00,192572.00,27097.00,15932.00,113580.00,35963.00,53032.00,5960.00,14767.00,3399.00,88760.00
1955:Q1,1315512.00,1221.00,147.00,126734.00,103100.00,0.00,402.00,122487.00,1643.00,95161.00,928.00,20005.00,4750.00,53367.00,18180.00,25888.00,9299.00,229212.00,6525.00,64619.00,67031.00,160719.00,6429.00,336329.00,17331.00,19859.00,696750.00,0.00,0.00,2508.00,330790.00,500.00,233485.00,2595.00,42155.00,52055.00,196840.00,27574.00,16308.00,117256.00,35702.00,53261.00,5861.00,12936.00,3496.00,91058.00
1955:Q2,1349631.00,1235.00,127.00,127232.00,105740.00,0.00,0.00,123749.00,1809.00,95276.00,1089.00,21023.00,4552.00,54488.00,18218.00,26293.00,9977.00,249889.00,7186.00,65670.00,67740.00,165063.00,6437.00,337045.00,17837.00,20193.00,710474.00,0.00,0.00,2507.00,330859.00,380.00,232883.00,1550.00,43267.00,52779.00,206656.00,29544.00,16701.00,121656.00,38755.00,55419.00,5809.00,12026.00,3606.00,93592.00
1955:Q3,1386791.00,1198.00,123.00,129657.00,107052.00,0.00,1136.00,128044.00,1748.00,98350.00,1233.00,22032.00,4681.00,54959.00,18356.00,26557.00,10046.00,263912.00,7257.00,70190.00,68498.00,169458.00,6431.00,339991.00,18200.00,20685.00,732012.00,0.00,0.00,2507.00,334544.00,371.00,235344.00,908.00,44668.00,53253.00,214173.00,30930.00,16804.00,125896.00,40543.00,60138.00,5810.00,15248.00,3693.00,95899.00
1955:Q4,1407904.00,1168.00,129.00,130692.00,109496.00,0.00,721.00,132079.00,1571.00,101060.00,1601.00,22872.00,4975.00,56493.00,18215.00,27035.00,11243.00,265154.00,7839.00,71053.00,69254.00,173766.00,6455.00,343804.00,18720.00,21081.00,756750.00,0.00,0.00,2507.00,340700.00,362.00,238466.00,1611.00,45697.00,54564.00,223142.00,33198.00,17172.00,129823.00,42949.00,64158.00,5795.00,18430.00,3725.00,98293.00
1956:Q1,1439628.00,1127.00,95.00,129507.00,111805.00,0.00,563.00,132954.00,2003.00,100550.00,1676.00,23558.00,5167.00,55858.00,18241.00,27530.00,10087.00,281337.00,8555.00,73141.00,70104.00,178087.00,5882.00,349615.00,19286.00,21712.00,756438.00,0.00,0.00,2509.00,338079.00,362.00,234182.00,1617.00,46932.00,54986.00,227414.00,34309.00,17596.00,133258.00,42251.00,63533.00,5853.00,15133.00,3834.00,100083.00
1956:Q2,1444163.00,1076.00,141.00,128958.00,114765.00,0.00,0.00,131225.00,2007.00,97381.00,1950.00,24272.00,5615.00,56960.00,18339.00,28029.00,10592.00,272249.00,8613.00,74724.00,71013.00,182354.00,5866.00,354374.00,19961.00,21884.00,763010.00,0.00,0.00,2512.00,334438.00,289.00,229199.00,1151.00,47853.00,55946.00,235536.00,36212.00,17718.00,137325.00,44281.00,65745.00,5943.00,12175.00,3932.00,102729.00
1956:Q3,1460264.00,1231.00,119.00,130063.00,116193.00,0.00,1878.00,133026.00,1972.00,97986.00,2181.00,25102.00,5785.00,57408.00,18403.00,28348.00,10657.00,267245.00,8506.00,78780.00,71904.00,186928.00,5840.00,357913.00,20799.00,22431.00,778619.00,0.00,0.00,2517.00,338001.00,401.00,230632.00,917.00,49038.00,57013.00,240464.00,36770.00,17612.00,141104.00,44978.00,68230.00,6029.00,14259.00,4017.00,105102.00
1956:Q4,1498589.00,1776.00,138.00,131593.00,118960.00,0.00,1292.00,134615.00,1725.00,98931.00,2126.00,25722.00,6111.00,59282.00,18828.00,28746.00,11708.00,287591.00,9046.00,78337.00,72724.00,191968.00,5944.00,360829.00,21740.00,22754.00,798386.00,0.00,0.00,2526.00,343319.00,378.00,233683.00,1356.00,49862.00,58040.00,247392.00,38207.00,18158.00,144447.00,46580.00,70370.00,6098.00,16754.00,4085.00,107842.00
1957:Q1,1503437.00,1718.00,198.00,131212.00,122386.00,0.00,1118.00,136795.00,2191.00,99061.00,2268.00,26421.00,6854.00,58415.00,18730.00,29386.00,10299.00,274073.00,9106.00,80493.00,73468.00,199016.00,5221.00,364484.00,22352.00,23382.00,803103.00,0.00,0.00,2533.00,344179.00,353.00,232013.00,1378.00,50925.00,59510.00,249987.00,38598.00,18857.00,147290.00,45242.00,69799.00,6144.00,14218.00,4128.00,112115.00
1957:Q2,1532290.00,1791.00,176.00,129147.00,126034.00,0.00,0.00,135273.00,1966.00,96976.00,2601.00,26689.00,7041.00,59387.00,18482.00,29947.00,10958.00,290373.00,9687.00,80034.00,74135.00,206575.00,5223.00,367235.00,23597.00,23623.00,809121.00,0.00,0.00,2544.00,340478.00,320.00,226421.00,926.00,51836.00,60975.00,257430.00,40679.00,19282.00,150246.00,47223.00,69632.00,6166.00,11957.00,4186.00,116728.00
1957:Q3,1531022.00,2045.00,153.00,131933.00,127954.00,0.00,2242.00,137857.00,2058.00,98290.00,2607.00,27550.00,7352.00,60085.00,18651.00,30595.00,10839.00,264793.00,9001.00,81801.00,74784.00,214010.00,5218.00,370840.00,24042.00,24264.00,827622.00,0.00,0.00,2552.00,347339.00,364.00,230591.00,704.00,53192.00,62488.00,261291.00,40193.00,19525.00,153602.00,47971.00,71000.00,6178.00,13511.00,4197.00,121554.00
1957:Q4,1545898.00,2080.00,131.00,130920.00,131251.00,0.00,1820.00,139017.00,2150.00,98756.00,3015.00,27920.00,7176.00,62126.00,19151.00,31203.00,11772.00,266234.00,8714.00,79313.00,75462.00,221333.00,5191.00,373182.00,24524.00,24600.00,845047.00,0.00,0.00,2562.00,352007.00,422.00,231465.00,1679.00,54369.00,64072.00,265857.00,40271.00,19728.00,156641.00,49217.00,73307.00,6185.00,14621.00,4351.00,126157.00
1958:Q1,1575957.00,2174.00,160.00,129438.00,135958.00,0.00,1758.00,138300.00,2725.00,96669.00,2658.00,28265.00,7983.00,61347.00,19415.00,31794.00,10138.00,280386.00,9463.00,81398.00,76183.00,226766.00,4028.00,378990.00,24843.00,24765.00,843680.00,0.00,0.00,2578.00,354674.00,716.00,229917.00,2275.00,55829.00,65937.00,265128.00,38179.00,20838.00,159336.00,46775.00,70642.00,6192.00,11495.00,4438.00,128533.00
1958:Q2,1606591.00,2187.00,132.00,132596.00,141323.00,0.00,0.00,134435.00,2489.00,94921.00,2020.00,27704.00,7301.00,62943.00,19596.00,32695.00,10652.00,294788.00,10610.00,81346.00,76958.00,232144.00,4045.00,382457.00,25469.00,25158.00,855558.00,0.00,0.00,2590.00,359405.00,791.00,233403.00,1222.00,56972.00,67017.00,269951.00,38118.00,21220.00,162909.00,47704.00,72316.00,6203.00,8991.00,4535.00,131567.00
1958:Q3,1657579.00,2178.00,172.00,132802.00,143743.00,0.00,2093.00,133831.00,2288.00,93291.00,1996.00,28496.00,7760.00,64225.00,20016.00,33434.00,10775.00,323591.00,11791.00,86488.00,77752.00,237630.00,4081.00,385686.00,25837.00,25679.00,872375.00,0.00,0.00,2593.00,363172.00,795.00,234110.00,1291.00,58513.00,68463.00,274244.00,38104.00,20984.00,167216.00,47940.00,76164.00,6219.00,10322.00,4626.00,135035.00
1958:Q4,1690145.00,2041.00,149.00,136377.00,147082.00,0.00,1417.00,137652.00,2027.00,96357.00,2033.00,29311.00,7924.00,66814.00,20447.00,34444.00,11923.00,333401.00,13242.00,86439.00,78535.00,243343.00,4064.00,387268.00,26443.00,25878.00,900030.00,0.00,0.00,2600.00,373034.00,658.00,241244.00,1598.00,59819.00,69715.00,283525.00,40177.00,21785.00,172073.00,49490.00,79693.00,6241.00,12026.00,4635.00,138276.00
1959:Q1,1712331.00,1871.00,143.00,133575.00,149541.00,0.00,204.00,142039.00,2368.00,99105.00,2181.00,30163.00,8222.00,67091.00,20852.00,35359.00,10880.00,339692.00,14132.00,88841.00,79331.00,247721.00,6207.00,388193.00,26979.00,26771.00,908467.00,0.00,0.00,2606.00,374833.00,652.00,241163.00,1314.00,61397.00,70307.00,287559.00,39592.00,22791.00,176185.00,48991.00,80692.00,6268.00,11682.00,4764.00,140063.00
1959:Q2,1741931.00,2186.00,137.00,134334.00,153359.00,0.00,0.00,144172.00,2505.00,99727.00,3002.00,30824.00,8114.00,69089.00,21068.00,36447.00,11574.00,351283.00,14973.00,90504.00,80133.00,252546.00,6235.00,387796.00,27750.00,27434.00,927615.00,0.00,0.00,2621.00,377352.00,458.00,242044.00,1026.00,62655.00,71169.00,299399.00,42409.00,23790.00,181322.00,51878.00,82677.00,6299.00,12591.00,4920.00,141756.00
1959:Q3,1756227.00,2346.00,145.00,137980.00,155031.00,0.00,998.00,149438.00,2304.00,103130.00,3604.00,32251.00,8149.00,69765.00,21144.00,37145.00,11476.00,345399.00,14747.00,92582.00,80994.00,257312.00,6218.00,387354.00,28249.00,27669.00,946116.00,0.00,0.00,2626.00,384117.00,527.00,246320.00,939.00,64594.00,71737.00,307580.00,43613.00,23599.00,186450.00,53918.00,83607.00,6327.00,13275.00,5038.00,143546.00
1959:Q4,1789702.00,2110.00,132.00,138071.00,157489.00,0.00,576.00,153498.00,2349.00,106047.00,4015.00,32870.00,8217.00,71079.00,19719.00,37817.00,13543.00,364442.00,15818.00,91217.00,81956.00,262175.00,6203.00,388619.00,28752.00,27565.00,966944.00,0.00,0.00,2639.00,389103.00,315.00,249384.00,949.00,65661.00,72794.00,317982.00,45206.00,24435.00,191128.00,57213.00,85957.00,6350.00,14150.00,5065.00,145698.00
1960:Q1,1784633.00,1993.00,121.00,133600.00,159418.00,0.00,154.00,159193.00,3480.00,108652.00,3413.00,34109.00,9539.00,69151.00,19634.00,38335.00,11182.00,344090.00,15312.00,95486.00,82895.00,267741.00,5571.00,391395.00,29312.00,29201.00,972282.00,0.00,0.00,2652.00,387472.00,427.00,245603.00,978.00,67248.00,73216.00,321689.00,45349.00,25634.00,194949.00,55757.00,87418.00,6371.00,12817.00,5158.00,148705.00
1960:Q2,1805219.00,1928.00,140.00,135530.00,163281.00,0.00,0.00,158302.00,3536.00,105941.00,3890.00,34925.00,10010.00,70942.00,19705.00,39191.00,12046.00,350070.00,16097.00,95268.00,83772.00,273388.00,5582.00,392196.00,29641.00,29082.00,985714.00,0.00,0.00,2661.00,387891.00,547.00,243931.00,953.00,68353.00,74107.00,332078.00,47278.00,26883.00,199295.00,58622.00,88142.00,6389.00,11903.00,5214.00,151436.00
1960:Q3,1800520.00,1851.00,191.00,139161.00,166943.00,0.00,155.00,156421.00,3491.00,103823.00,3281.00,35739.00,10087.00,71924.00,20200.00,40044.00,11680.00,325875.00,15640.00,98438.00,84539.00,278717.00,5567.00,395209.00,29976.00,29913.00,1000191.00,0.00,0.00,2673.00,391884.00,782.00,245897.00,392.00,69924.00,74889.00,337485.00,46950.00,26842.00,204103.00,59590.00,89676.00,6406.00,11795.00,5296.00,154976.00
1960:Q4,1856377.00,1693.00,148.00,139445.00,172280.00,0.00,-176.00,155007.00,3338.00,101685.00,3236.00,36136.00,10612.00,74732.00,20926.00,40981.00,12825.00,364553.00,17026.00,96869.00,85184.00,284547.00,5553.00,398556.00,30670.00,30290.00,1019063.00,0.00,0.00,2686.00,396776.00,769.00,248132.00,688.00,70971.00,76216.00,345984.00,48631.00,27696.00,208409.00,61248.00,90874.00,6426.00,12560.00,5318.00,158439.00
1961:Q1,1907556.00,1659.00,189.00,133215.00,178156.00,0.00,79.00,154123.00,3610.00,100901.00,2618.00,36355.00,10639.00,73346.00,20807.00,41979.00,10560.00,403160.00,19440.00,98947.00,85872.00,290230.00,5555.00,401247.00,31393.00,30945.00,1022537.00,0.00,0.00,2691.00,396455.00,623.00,245901.00,934.00,72420.00,76577.00,348412.00,48407.00,28413.00,212253.00,59339.00,90534.00,6447.00,10921.00,5395.00,161682.00
1961:Q2,1931953.00,1868.00,213.00,134841.00,184513.00,0.00,0.00,154122.00,3573.00,99266.00,2586.00,37216.00,11481.00,75533.00,21254.00,42970.00,11309.00,403029.00,20003.00,101283.00,86665.00,295620.00,5574.00,404952.00,32079.00,31658.00,1038304.00,0.00,0.00,2707.00,400178.00,726.00,247016.00,656.00,73250.00,78530.00,356559.00,49414.00,29392.00,217156.00,60597.00,91757.00,6469.00,10584.00,5501.00,164549.00
1961:Q3,1968638.00,2214.00,238.00,139747.00,187881.00,0.00,556.00,153741.00,3156.00,99378.00,3003.00,37178.00,11026.00,76492.00,21174.00,43931.00,11387.00,412628.00,21007.00,105238.00,87588.00,301097.00,5601.00,410146.00,32846.00,31618.00,1058996.00,0.00,0.00,2723.00,408124.00,1017.00,252416.00,436.00,75018.00,79237.00,362451.00,49254.00,29324.00,222791.00,61082.00,93793.00,6493.00,11557.00,5557.00,168298.00
1961:Q4,2023241.00,1911.00,236.00,142254.00,192694.00,0.00,-55.00,155218.00,3277.00,100042.00,3395.00,37664.00,10840.00,79063.00,21351.00,44965.00,12747.00,443217.00,22875.00,103454.00,88631.00,306733.00,5680.00,415782.00,33387.00,32161.00,1084380.00,0.00,0.00,2740.00,414756.00,1094.00,255707.00,995.00,76349.00,80611.00,373840.00,51036.00,30400.00,228969.00,63435.00,95595.00,6519.00,13274.00,5446.00,172210.00
1962:Q1,2030224.00,1686.00,234.00,137260.00,200976.00,0.00,41.00,156833.00,3652.00,101274.00,3377.00,37557.00,10973.00,78574.00,21637.00,45629.00,11308.00,433050.00,23012.00,105359.00,89663.00,309318.00,6277.00,420786.00,33854.00,33301.00,1090883.00,0.00,0.00,2748.00,417983.00,1131.00,256084.00,1294.00,78037.00,81437.00,376958.00,50908.00,30710.00,233302.00,62038.00,95032.00,6548.00,12916.00,5491.00,173207.00
1962:Q2,1941850.00,1665.00,296.00,140088.00,208275.00,0.00,0.00,155706.00,4012.00,100389.00,3219.00,37132.00,10954.00,81594.00,22875.00,46293.00,12426.00,329789.00,18339.00,106029.00,90651.00,310998.00,6300.00,423966.00,34525.00,33629.00,1107688.00,0.00,0.00,2757.00,421278.00,1092.00,256655.00,1347.00,79203.00,82981.00,388620.00,52705.00,31048.00,239432.00,65435.00,95842.00,6579.00,13001.00,5579.00,174032.00
1962:Q3,1983939.00,1238.00,788.00,141836.00,212711.00,0.00,912.00,156533.00,4421.00,101062.00,3307.00,37550.00,10193.00,82375.00,23130.00,46792.00,12453.00,348408.00,18930.00,110294.00,91563.00,313957.00,6312.00,428807.00,35133.00,34142.00,1124666.00,0.00,0.00,2749.00,423933.00,1363.00,257712.00,748.00,80552.00,83558.00,397276.00,53636.00,31223.00,245791.00,66626.00,98974.00,6612.00,13996.00,5636.00,175490.00
1962:Q4,2089483.00,1209.00,790.00,146503.00,220547.00,0.00,466.00,156424.00,4297.00,101182.00,3377.00,37357.00,10211.00,84324.00,23138.00,47481.00,13705.00,431230.00,21077.00,108083.00,92398.00,317344.00,6331.00,432851.00,35793.00,34113.00,1148987.00,0.00,0.00,2760.00,431951.00,1198.00,262772.00,1538.00,81800.00,84643.00,410383.00,56249.00,32352.00,252438.00,69344.00,100053.00,6644.00,14355.00,5837.00,177004.00
