date,FU146110005.Q,FU146000105.Q,FU145090005.Q,FU145050005.Q,FU145019005.Q,FU145012005.Q,FU145013005.Q,FU145020005.Q,FU105420005.Q,FU145000005.Q,FU144090005.Q,FU103091003.Q,FU143020005.Q,FU143030005.Q,FU143034005.Q,FU102051003.Q,FU144022005.Q,FU103069100.Q,FU143061105.Q,FU103061703.Q,FU143062005.Q,FU144023005.Q,FU143065005.Q,FU143066005.Q,FU103064203.Q,FU143070005.Q,FU103092005.Q,FU143090005.Q,FU144190005.Q,FU104122005.Q,FU103169100.Q,FU103162000.Q,FU103163003.Q,FU144123005.Q,FU143168005.Q,FU143169005.Q,FU143165005.Q,FU103164103.Q,FU143170005.Q,FU143178005.Q,FU143192005.Q,FU143190005.Q,FU112090205.Q,FU107005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,62238.00,13987.00,10343.00,25116.00,19175.00,1161.00,18014.00,6011.00,-70.00,-14773.00,303.00,35.00,1159.00,0.00,0.00,0.00,-5636.00,32.00,-5729.00,0.00,61.00,622.00,5.00,617.00,0.00,3763.00,211.00,149.00,15076.00,995.00,42.00,0.00,953.00,6171.00,4483.00,1.00,1687.00,1018.00,7849.00,-1958.00,-12.00,442.00,571.00,3644.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,68293.00,19969.00,17880.00,25264.00,25904.00,1815.00,24089.00,-550.00,-90.00,-7384.00,9567.00,-17.00,2105.00,0.00,0.00,0.00,-354.00,97.00,-488.00,0.00,37.00,916.00,6.00,910.00,0.00,5286.00,727.00,904.00,16951.00,2848.00,35.00,0.00,2813.00,5805.00,3720.00,178.00,1907.00,1093.00,4380.00,2186.00,1.00,551.00,86.00,2088.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
