1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,132679.00,1246.00,0.00,0.00,65049.00,487.00,5746.00,118.00,3939.00,54759.00,54785.00,6472.00,48313.00,6843.00,17.00,282.00,4457.00,123349.00,0.00,0.00,87667.00,22427.00,452.00,506.00,12297.00
1963:Q3,134632.00,1350.00,0.00,0.00,65704.00,619.00,5841.00,121.00,3876.00,55247.00,55773.00,6567.00,49206.00,6960.00,14.00,287.00,4544.00,125007.00,0.00,0.00,88729.00,22856.00,443.00,506.00,12473.00
1963:Q4,136802.00,1466.00,0.00,0.00,66083.00,380.00,5813.00,139.00,3852.00,55899.00,57199.00,6655.00,50544.00,7118.00,17.00,292.00,4627.00,126776.00,0.00,0.00,89860.00,23300.00,434.00,532.00,12650.00
1964:Q1,138773.00,1294.00,0.00,0.00,66778.00,506.00,5788.00,121.00,3843.00,56520.00,58232.00,6777.00,51455.00,7433.00,33.00,297.00,4706.00,128509.00,0.00,0.00,90916.00,23764.00,538.00,532.00,12759.00
1964:Q2,140593.00,1279.00,0.00,0.00,67190.00,297.00,5715.00,136.00,3802.00,57240.00,59400.00,6911.00,52489.00,7581.00,60.00,302.00,4781.00,130282.00,0.00,0.00,91979.00,24250.00,474.00,533.00,13046.00
1964:Q3,142626.00,1314.00,0.00,0.00,67759.00,373.00,5840.00,139.00,3822.00,57585.00,60553.00,7029.00,53524.00,7747.00,87.00,308.00,4858.00,132100.00,0.00,0.00,93062.00,24748.00,556.00,534.00,13200.00
1964:Q4,144942.00,1488.00,0.00,0.00,67963.00,248.00,5594.00,129.00,3774.00,58218.00,62292.00,7140.00,55152.00,7834.00,104.00,313.00,4948.00,133966.00,0.00,0.00,94172.00,25250.00,552.00,567.00,13425.00
1965:Q1,147055.00,1286.00,0.00,0.00,68718.00,474.00,5639.00,136.00,3746.00,58723.00,63586.00,7269.00,56317.00,7985.00,113.00,319.00,5048.00,135901.00,0.00,0.00,95239.00,25837.00,566.00,568.00,13691.00
1965:Q2,148567.00,1279.00,0.00,0.00,69144.00,579.00,5358.00,151.00,3674.00,59382.00,64766.00,7419.00,57347.00,7778.00,116.00,324.00,5160.00,137926.00,0.00,0.00,96438.00,26341.00,483.00,567.00,14097.00
1965:Q3,151504.00,1296.00,0.00,0.00,69914.00,741.00,5298.00,179.00,3595.00,60101.00,65974.00,7561.00,58413.00,8597.00,117.00,330.00,5276.00,139951.00,0.00,0.00,97677.00,26818.00,534.00,566.00,14356.00
1965:Q4,154203.00,1503.00,0.00,0.00,70152.00,293.00,5119.00,167.00,3530.00,61043.00,67691.00,7678.00,60013.00,9006.00,120.00,336.00,5395.00,141888.00,0.00,0.00,98863.00,27325.00,532.00,564.00,14604.00
1966:Q1,156377.00,1073.00,0.00,0.00,71420.00,286.00,5171.00,191.00,3539.00,62233.00,69093.00,7861.00,61232.00,8977.00,124.00,342.00,5348.00,143555.00,0.00,0.00,100008.00,27846.00,636.00,563.00,14502.00
1966:Q2,157927.00,1097.00,0.00,0.00,71545.00,219.00,4921.00,232.00,3366.00,62807.00,70682.00,8173.00,62509.00,8799.00,128.00,348.00,5328.00,145674.00,0.00,0.00,101122.00,28367.00,537.00,565.00,15083.00
1966:Q3,159163.00,1159.00,0.00,0.00,71883.00,298.00,4852.00,241.00,3320.00,63172.00,72222.00,8657.00,63565.00,8109.00,133.00,354.00,5303.00,147972.00,0.00,0.00,102253.00,28892.00,566.00,567.00,15694.00
1966:Q4,162287.00,1547.00,0.00,0.00,72215.00,380.00,4921.00,236.00,3260.00,63418.00,73726.00,9117.00,64609.00,8692.00,140.00,360.00,5607.00,149852.00,0.00,0.00,103450.00,29425.00,592.00,539.00,15846.00
1967:Q1,166102.00,1308.00,0.00,0.00,73154.00,553.00,4855.00,237.00,3217.00,64292.00,74865.00,9396.00,65469.00,9935.00,150.00,368.00,6322.00,152013.00,0.00,0.00,104691.00,29976.00,803.00,541.00,16002.00
1967:Q2,168069.00,1384.00,0.00,0.00,73939.00,865.00,4690.00,242.00,3157.00,64985.00,75796.00,9670.00,66126.00,10051.00,163.00,377.00,6359.00,154176.00,0.00,0.00,105904.00,30617.00,481.00,542.00,16632.00
1967:Q3,170761.00,1431.00,0.00,0.00,75202.00,1138.00,4717.00,238.00,3129.00,65980.00,76507.00,9860.00,66647.00,10671.00,177.00,386.00,6387.00,156587.00,0.00,0.00,107126.00,31276.00,512.00,543.00,17130.00
1967:Q4,172645.00,1576.00,0.00,0.00,75766.00,480.00,4683.00,230.00,3145.00,67228.00,77575.00,10059.00,67516.00,10687.00,190.00,394.00,6457.00,158959.00,0.00,0.00,108335.00,31939.00,481.00,570.00,17634.00
1968:Q1,173891.00,1164.00,0.00,0.00,77191.00,676.00,4678.00,266.00,3175.00,68396.00,78309.00,10336.00,67973.00,10053.00,199.00,404.00,6571.00,161204.00,0.00,0.00,109535.00,32612.00,643.00,571.00,17843.00
1968:Q2,177236.00,1225.00,0.00,0.00,77854.00,670.00,4447.00,252.00,3173.00,69312.00,79118.00,10697.00,68421.00,11713.00,201.00,413.00,6712.00,163415.00,0.00,0.00,110727.00,33300.00,553.00,573.00,18262.00
1968:Q3,180017.00,1434.00,0.00,0.00,78746.00,801.00,4528.00,263.00,3169.00,69985.00,79949.00,11042.00,68907.00,12385.00,211.00,423.00,6869.00,165494.00,0.00,0.00,111924.00,33797.00,629.00,575.00,18569.00
1968:Q4,183067.00,1682.00,0.00,0.00,79406.00,526.00,4456.00,294.00,3194.00,70936.00,81281.00,11306.00,69975.00,12986.00,244.00,432.00,7036.00,168139.00,0.00,0.00,113138.00,34696.00,643.00,599.00,19063.00
1969:Q1,185064.00,1347.00,0.00,0.00,80729.00,854.00,4339.00,317.00,3230.00,71989.00,82107.00,11725.00,70382.00,12893.00,301.00,442.00,7245.00,170346.00,0.00,0.00,114364.00,35300.00,806.00,601.00,19275.00
1969:Q2,186592.00,1217.00,0.00,0.00,80898.00,698.00,4129.00,345.00,3224.00,72502.00,83219.00,12361.00,70858.00,12966.00,382.00,453.00,7457.00,172647.00,0.00,0.00,115597.00,36003.00,636.00,604.00,19807.00
1969:Q3,188662.00,1279.00,0.00,0.00,81529.00,1019.00,4088.00,382.00,3224.00,72816.00,84550.00,13182.00,71368.00,12751.00,470.00,463.00,7620.00,174974.00,0.00,0.00,116844.00,36718.00,723.00,607.00,20082.00
1969:Q4,191296.00,1634.00,0.00,0.00,81773.00,1365.00,4124.00,390.00,3221.00,72673.00,85852.00,13825.00,72027.00,13157.00,550.00,474.00,7856.00,177462.00,0.00,0.00,118110.00,37561.00,698.00,569.00,20524.00
1970:Q1,193695.00,1477.00,0.00,0.00,82664.00,1715.00,4080.00,448.00,3235.00,73186.00,87217.00,14544.00,72673.00,13164.00,634.00,485.00,8054.00,179894.00,0.00,0.00,119382.00,38343.00,884.00,572.00,20713.00
1970:Q2,192857.00,1381.00,0.00,0.00,82946.00,1655.00,4014.00,445.00,3229.00,73603.00,88418.00,15191.00,73227.00,10634.00,734.00,496.00,8248.00,182304.00,0.00,0.00,120646.00,39123.00,686.00,574.00,21275.00
1970:Q3,197560.00,1430.00,0.00,0.00,84206.00,2519.00,4147.00,488.00,3272.00,73780.00,89285.00,15703.00,73582.00,12875.00,817.00,507.00,8440.00,184847.00,0.00,0.00,121951.00,39971.00,785.00,576.00,21564.00
1970:Q4,200934.00,1758.00,0.00,0.00,84166.00,2142.00,4042.00,532.00,3306.00,74144.00,90439.00,16064.00,74375.00,14571.00,849.00,519.00,8632.00,187682.00,0.00,0.00,123345.00,40960.00,823.00,587.00,21967.00
1971:Q1,205643.00,1549.00,0.00,0.00,86170.00,3018.00,4004.00,539.00,3314.00,75295.00,90829.00,16296.00,74533.00,16889.00,831.00,531.00,8844.00,190743.00,0.00,0.00,124827.00,42102.00,948.00,589.00,22277.00
1971:Q2,207892.00,1482.00,0.00,0.00,87571.00,3679.00,3722.00,539.00,3339.00,76292.00,91040.00,16531.00,74509.00,17425.00,763.00,543.00,9068.00,194037.00,0.00,0.00,126393.00,43385.00,815.00,592.00,22852.00
1971:Q3,211457.00,1507.00,0.00,0.00,89324.00,4078.00,3751.00,613.00,3366.00,77516.00,91563.00,16812.00,74751.00,18539.00,677.00,556.00,9291.00,197487.00,0.00,0.00,128005.00,44749.00,895.00,595.00,23243.00
1971:Q4,215198.00,1763.00,0.00,0.00,90198.00,2770.00,3828.00,627.00,3363.00,79610.00,92561.00,17065.00,75496.00,20007.00,600.00,569.00,9500.00,201018.00,0.00,0.00,129626.00,46131.00,796.00,664.00,23801.00
1972:Q1,219707.00,1164.00,0.00,0.00,92914.00,3952.00,3990.00,716.00,3351.00,80905.00,92665.00,17267.00,75398.00,22123.00,526.00,582.00,9733.00,204755.00,0.00,0.00,131265.00,47585.00,940.00,667.00,24298.00
1972:Q2,222267.00,1328.00,0.00,0.00,94233.00,3564.00,3722.00,699.00,3351.00,82897.00,92926.00,17522.00,75404.00,22773.00,435.00,595.00,9977.00,208798.00,0.00,0.00,132932.00,49169.00,739.00,669.00,25289.00
1972:Q3,226847.00,1422.00,0.00,0.00,97031.00,4799.00,3875.00,750.00,3362.00,84245.00,93359.00,17771.00,75588.00,23848.00,357.00,609.00,10221.00,212782.00,0.00,0.00,134626.00,50718.00,835.00,671.00,25932.00
1972:Q4,232365.00,1981.00,0.00,0.00,97512.00,2981.00,3827.00,735.00,3367.00,86602.00,94951.00,18003.00,76948.00,26528.00,317.00,623.00,10453.00,216334.00,0.00,0.00,136349.00,52063.00,811.00,757.00,26354.00
1973:Q1,235349.00,1524.00,0.00,0.00,100941.00,5237.00,3824.00,764.00,3332.00,87784.00,95450.00,18284.00,77166.00,25801.00,321.00,638.00,10674.00,220128.00,0.00,0.00,138110.00,53212.00,993.00,759.00,27054.00
1973:Q2,236853.00,1502.00,0.00,0.00,101952.00,4479.00,3572.00,815.00,3374.00,89712.00,96695.00,18713.00,77982.00,24798.00,366.00,653.00,10887.00,223461.00,0.00,0.00,139918.00,54172.00,786.00,767.00,27818.00
1973:Q3,243615.00,1436.00,0.00,0.00,103250.00,4100.00,3466.00,909.00,3396.00,91379.00,98784.00,19597.00,79187.00,27956.00,425.00,668.00,11096.00,226664.00,0.00,0.00,141735.00,55084.00,873.00,775.00,28197.00
1973:Q4,244750.00,2071.00,0.00,0.00,103199.00,3004.00,3444.00,884.00,3412.00,92455.00,101568.00,20199.00,81369.00,25449.00,470.00,683.00,11310.00,230065.00,0.00,0.00,143522.00,56089.00,847.00,888.00,28719.00
1974:Q1,250381.00,1494.00,0.00,0.00,106362.00,4414.00,3596.00,932.00,3485.00,93935.00,102823.00,20643.00,82180.00,26890.00,512.00,699.00,11601.00,233374.00,0.00,0.00,145272.00,57019.00,1024.00,896.00,29163.00
1974:Q2,251347.00,1452.00,0.00,0.00,107088.00,3882.00,3349.00,937.00,3577.00,95343.00,104530.00,21305.00,83225.00,25074.00,560.00,715.00,11928.00,236406.00,0.00,0.00,146977.00,57733.00,809.00,830.00,30057.00
1974:Q3,248506.00,1503.00,0.00,0.00,107924.00,3874.00,3327.00,989.00,3618.00,96116.00,106602.00,22175.00,84427.00,18864.00,603.00,732.00,12278.00,239730.00,0.00,0.00,148706.00,58695.00,885.00,764.00,30680.00
1974:Q4,255018.00,1999.00,0.00,0.00,108617.00,4070.00,3372.00,1065.00,3667.00,96443.00,109096.00,22862.00,86234.00,21292.00,628.00,749.00,12637.00,243920.00,0.00,0.00,150528.00,60372.00,835.00,597.00,31588.00
