1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,-678.00,14.00,97.00,-119.00,-626.00,-187.00,0.00,-439.00,0.00,0.00,-44.00,-35.00,4.00,-13.00,-678.00,-12.00,-647.00,-19.00,0.00,0.00
1953:Q2,122.00,140.00,-366.00,169.00,285.00,90.00,0.00,195.00,0.00,0.00,-106.00,-32.00,-58.00,-16.00,122.00,-9.00,101.00,30.00,0.00,0.00
1953:Q3,448.00,-224.00,290.00,136.00,341.00,95.00,0.00,246.00,0.00,0.00,-95.00,-26.00,-38.00,-31.00,448.00,-10.00,459.00,-1.00,0.00,0.00
1953:Q4,-807.00,131.00,-583.00,-696.00,224.00,-169.00,0.00,393.00,0.00,0.00,117.00,37.00,79.00,1.00,-807.00,14.00,-863.00,42.00,0.00,0.00
1954:Q1,-949.00,105.00,-323.00,87.00,-812.00,-307.00,0.00,-505.00,0.00,0.00,-6.00,-3.00,-9.00,6.00,-949.00,-1.00,-955.00,7.00,0.00,0.00
1954:Q2,358.00,-73.00,-649.00,243.00,857.00,138.00,0.00,719.00,0.00,0.00,-20.00,-15.00,12.00,-17.00,358.00,0.00,325.00,33.00,0.00,0.00
1954:Q3,467.00,71.00,-172.00,265.00,93.00,-46.00,0.00,139.00,0.00,0.00,210.00,92.00,96.00,22.00,467.00,90.00,351.00,26.00,0.00,0.00
1954:Q4,915.00,94.00,489.00,-369.00,416.00,76.00,0.00,340.00,0.00,0.00,285.00,125.00,84.00,76.00,915.00,28.00,823.00,64.00,0.00,0.00
1955:Q1,317.00,129.00,360.00,-12.00,-108.00,200.00,0.00,-308.00,0.00,0.00,-52.00,-9.00,-63.00,20.00,317.00,-40.00,396.00,-39.00,0.00,0.00
1955:Q2,2630.00,582.00,744.00,644.00,601.00,269.00,0.00,332.00,0.00,0.00,59.00,13.00,4.00,42.00,2630.00,-40.00,2627.00,43.00,0.00,0.00
1955:Q3,1574.00,65.00,948.00,373.00,127.00,345.00,0.00,-218.00,0.00,0.00,61.00,8.00,-18.00,71.00,1574.00,-40.00,1651.00,-37.00,0.00,0.00
1955:Q4,3141.00,348.00,1849.00,71.00,724.00,113.00,0.00,611.00,0.00,0.00,149.00,-7.00,86.00,70.00,3141.00,-12.00,3152.00,1.00,0.00,0.00
1956:Q1,584.00,-367.00,1451.00,27.00,-523.00,15.00,0.00,-538.00,0.00,0.00,-4.00,-5.00,-39.00,40.00,584.00,-1.00,573.00,12.00,0.00,0.00
1956:Q2,2135.00,-44.00,1493.00,454.00,164.00,93.00,0.00,71.00,0.00,0.00,68.00,17.00,32.00,19.00,2135.00,0.00,2076.00,59.00,0.00,0.00
1956:Q3,482.00,-514.00,724.00,348.00,-146.00,176.00,0.00,-322.00,0.00,0.00,70.00,-3.00,16.00,57.00,482.00,0.00,421.00,61.00,0.00,0.00
1956:Q4,1909.00,307.00,1416.00,-286.00,230.00,12.00,0.00,218.00,0.00,0.00,242.00,64.00,112.00,66.00,1909.00,25.00,1874.00,10.00,0.00,0.00
1957:Q1,-424.00,326.00,126.00,-61.00,-814.00,-211.00,0.00,-603.00,0.00,0.00,-1.00,-23.00,6.00,16.00,-424.00,0.00,-396.00,-28.00,0.00,0.00
1957:Q2,2374.00,465.00,1251.00,365.00,221.00,-88.00,0.00,309.00,0.00,0.00,72.00,45.00,17.00,10.00,2374.00,-25.00,2355.00,44.00,0.00,0.00
1957:Q3,-339.00,-248.00,-314.00,76.00,55.00,2.00,0.00,53.00,0.00,0.00,92.00,87.00,-32.00,37.00,-339.00,6.00,-319.00,-26.00,0.00,0.00
1957:Q4,562.00,-156.00,159.00,75.00,330.00,-28.00,0.00,358.00,0.00,0.00,154.00,69.00,-1.00,86.00,562.00,-2.00,573.00,-9.00,0.00,0.00
1958:Q1,-2029.00,-806.00,-1163.00,-123.00,19.00,114.00,0.00,-95.00,0.00,0.00,44.00,26.00,-47.00,65.00,-2029.00,-5.00,-2044.00,20.00,0.00,0.00
1958:Q2,1461.00,-429.00,-121.00,489.00,1304.00,114.00,0.00,1190.00,0.00,0.00,218.00,95.00,89.00,34.00,1461.00,0.00,1388.00,73.00,0.00,0.00
1958:Q3,-1634.00,139.00,-213.00,60.00,-1798.00,-286.00,0.00,-1512.00,0.00,0.00,178.00,101.00,12.00,65.00,-1634.00,1.00,-1652.00,17.00,0.00,0.00
1958:Q4,3405.00,767.00,1177.00,129.00,1231.00,515.00,0.00,716.00,0.00,0.00,101.00,-8.00,33.00,76.00,3405.00,17.00,3401.00,-13.00,0.00,0.00
1959:Q1,-1006.00,-458.00,-273.00,87.00,-261.00,514.00,0.00,-775.00,0.00,0.00,-101.00,-94.00,-4.00,-3.00,-1006.00,0.00,-1031.00,25.00,0.00,0.00
1959:Q2,3582.00,235.00,1928.00,611.00,745.00,543.00,0.00,202.00,0.00,0.00,63.00,0.00,28.00,35.00,3582.00,-1.00,3558.00,25.00,0.00,0.00
1959:Q3,1900.00,304.00,543.00,293.00,688.00,506.00,0.00,182.00,0.00,0.00,72.00,20.00,-9.00,61.00,1900.00,-16.00,1878.00,38.00,0.00,0.00
1959:Q4,4001.00,104.00,1425.00,64.00,2228.00,284.00,0.00,1944.00,0.00,0.00,180.00,70.00,51.00,59.00,4001.00,4.00,3979.00,18.00,0.00,0.00
1960:Q1,-885.00,-516.00,538.00,121.00,-908.00,-67.00,0.00,-841.00,0.00,0.00,-120.00,-28.00,-31.00,-61.00,-885.00,15.00,-866.00,-34.00,0.00,0.00
1960:Q2,2457.00,664.00,879.00,386.00,569.00,58.00,0.00,511.00,0.00,0.00,-41.00,-60.00,-12.00,31.00,2457.00,-20.00,2406.00,71.00,0.00,0.00
1960:Q3,-509.00,-46.00,-314.00,32.00,-215.00,-580.00,0.00,365.00,0.00,0.00,34.00,-12.00,25.00,21.00,-509.00,19.00,-612.00,84.00,0.00,0.00
1960:Q4,2046.00,596.00,1109.00,-24.00,89.00,35.00,0.00,54.00,0.00,0.00,276.00,73.00,61.00,142.00,2046.00,-11.00,1994.00,63.00,0.00,0.00
1961:Q1,-1859.00,-327.00,-11.00,113.00,-1641.00,-1446.00,0.00,-195.00,0.00,0.00,7.00,-12.00,42.00,-23.00,-1859.00,0.00,-2300.00,441.00,0.00,0.00
1961:Q2,1198.00,1062.00,-298.00,243.00,-1.00,-98.00,0.00,97.00,0.00,0.00,192.00,-10.00,56.00,146.00,1198.00,-7.00,1062.00,143.00,0.00,0.00
1961:Q3,889.00,-132.00,-210.00,181.00,999.00,300.00,0.00,699.00,0.00,0.00,51.00,-46.00,22.00,75.00,889.00,1.00,1034.00,-146.00,0.00,0.00
1961:Q4,4226.00,277.00,1453.00,64.00,1962.00,901.00,0.00,1061.00,0.00,0.00,470.00,195.00,118.00,157.00,4226.00,13.00,4295.00,-82.00,0.00,0.00
1962:Q1,-1215.00,210.00,-498.00,158.00,-1474.00,-1118.00,0.00,-356.00,0.00,0.00,389.00,132.00,150.00,107.00,-1215.00,50.00,-1128.00,-137.00,0.00,0.00
1962:Q2,1751.00,-118.00,1384.00,530.00,-60.00,755.00,0.00,-815.00,0.00,0.00,15.00,80.00,9.00,-74.00,1751.00,-32.00,1939.00,-156.00,0.00,0.00
1962:Q3,1392.00,175.00,571.00,185.00,506.00,142.00,0.00,364.00,0.00,0.00,-45.00,-37.00,-64.00,56.00,1392.00,-22.00,1310.00,104.00,0.00,0.00
1962:Q4,5281.00,191.00,2184.00,241.00,2611.00,870.00,0.00,1741.00,0.00,0.00,54.00,-130.00,138.00,46.00,5281.00,-10.00,5273.00,18.00,0.00,0.00
1963:Q1,-2246.00,-290.00,-493.00,66.00,-1357.00,-760.00,0.00,-597.00,0.00,0.00,-172.00,-119.00,-77.00,24.00,-2246.00,29.00,-2441.00,166.00,0.00,0.00
1963:Q2,3319.00,596.00,1033.00,582.00,984.00,591.00,0.00,393.00,0.00,0.00,124.00,-34.00,4.00,154.00,3319.00,-30.00,3202.00,147.00,0.00,0.00
1963:Q3,1455.00,-383.00,231.00,129.00,1315.00,587.00,0.00,728.00,0.00,0.00,163.00,36.00,28.00,99.00,1455.00,30.00,1229.00,196.00,0.00,0.00
1963:Q4,5387.00,424.00,2653.00,380.00,1442.00,1011.00,0.00,431.00,0.00,0.00,488.00,-5.00,211.00,282.00,5387.00,2.00,5440.00,-55.00,0.00,0.00
1964:Q1,-3389.00,-233.00,-587.00,180.00,-3112.00,-1220.00,0.00,-1892.00,0.00,0.00,363.00,-24.00,185.00,202.00,-3389.00,-32.00,-3398.00,41.00,0.00,0.00
1964:Q2,6612.00,805.00,1652.00,482.00,3447.00,1208.00,0.00,2239.00,0.00,0.00,226.00,-72.00,92.00,206.00,6612.00,0.00,6561.00,51.00,0.00,0.00
1964:Q3,-932.00,-503.00,607.00,136.00,-1564.00,-592.00,0.00,-972.00,0.00,0.00,392.00,-2.00,178.00,216.00,-932.00,2.00,-1006.00,72.00,0.00,0.00
1964:Q4,6438.00,1341.00,3146.00,-51.00,1504.00,564.00,0.00,940.00,0.00,0.00,498.00,110.00,44.00,344.00,6438.00,28.00,6556.00,-146.00,0.00,0.00
1965:Q1,1361.00,-841.00,2197.00,491.00,-1409.00,-507.00,0.00,-902.00,0.00,0.00,923.00,135.00,297.00,491.00,1361.00,-15.00,1275.00,101.00,0.00,0.00
1965:Q2,6422.00,-17.00,3006.00,631.00,3198.00,1845.00,0.00,1353.00,0.00,0.00,-396.00,-40.00,-183.00,-173.00,6422.00,-4.00,6518.00,-92.00,0.00,0.00
1965:Q3,-626.00,-363.00,1193.00,202.00,-1655.00,507.00,0.00,-2162.00,0.00,0.00,-3.00,39.00,-35.00,-7.00,-626.00,-4.00,-759.00,137.00,0.00,0.00
1965:Q4,8600.00,778.00,4481.00,245.00,3031.00,1473.00,0.00,1558.00,0.00,0.00,65.00,-9.00,71.00,3.00,8600.00,34.00,8871.00,-305.00,0.00,0.00
1966:Q1,-1481.00,-1161.00,978.00,622.00,-1735.00,-811.00,0.00,-924.00,0.00,0.00,-185.00,-110.00,-82.00,7.00,-1481.00,-21.00,-1535.00,75.00,0.00,0.00
1966:Q2,9372.00,1746.00,4464.00,954.00,2237.00,1200.00,0.00,1037.00,0.00,0.00,-29.00,33.00,-31.00,-31.00,9372.00,-15.00,9413.00,-26.00,0.00,0.00
1966:Q3,-2719.00,-585.00,1176.00,28.00,-3370.00,-1510.00,0.00,-1860.00,0.00,0.00,32.00,-30.00,128.00,-66.00,-2719.00,10.00,-2896.00,167.00,0.00,0.00
1966:Q4,6235.00,671.00,1956.00,646.00,2830.00,489.00,0.00,2341.00,0.00,0.00,132.00,3.00,116.00,13.00,6235.00,-15.00,6026.00,224.00,0.00,0.00
1967:Q1,-2885.00,-890.00,436.00,199.00,-2525.00,-1789.00,0.00,-736.00,0.00,0.00,-105.00,-72.00,-44.00,11.00,-2885.00,10.00,-3001.00,106.00,0.00,0.00
1967:Q2,4642.00,557.00,3164.00,745.00,527.00,1026.00,0.00,-499.00,0.00,0.00,-351.00,3.00,-165.00,-189.00,4642.00,5.00,4666.00,-29.00,0.00,0.00
1967:Q3,-1235.00,-1513.00,-811.00,-41.00,997.00,-78.00,0.00,1075.00,0.00,0.00,133.00,79.00,-8.00,62.00,-1235.00,-15.00,-1303.00,83.00,0.00,0.00
1967:Q4,15646.00,9885.00,3766.00,457.00,1584.00,479.00,0.00,1105.00,0.00,0.00,-46.00,5.00,-198.00,147.00,15646.00,0.00,15668.00,-22.00,0.00,0.00
1968:Q1,-11235.00,-8428.00,-304.00,238.00,-2536.00,-2005.00,105.00,-636.00,0.00,0.00,-205.00,-48.00,-26.00,-131.00,-11235.00,15.00,-11418.00,168.00,0.00,0.00
1968:Q2,6796.00,1300.00,3742.00,864.00,963.00,1571.00,102.00,-710.00,0.00,0.00,-73.00,-71.00,71.00,-73.00,6796.00,-2.00,6687.00,111.00,0.00,0.00
1968:Q3,400.00,-852.00,548.00,-50.00,749.00,-389.00,128.00,1010.00,0.00,0.00,5.00,-38.00,114.00,-71.00,400.00,-13.00,276.00,137.00,0.00,0.00
1968:Q4,10752.00,1384.00,5851.00,411.00,3232.00,1930.00,231.00,1071.00,0.00,0.00,-126.00,-44.00,-99.00,17.00,10752.00,0.00,10787.00,-35.00,0.00,0.00
1969:Q1,-1543.00,-1942.00,1172.00,869.00,-1528.00,-1016.00,59.00,-571.00,0.00,0.00,-114.00,-14.00,42.00,-142.00,-1543.00,0.00,-1816.00,273.00,0.00,0.00
1969:Q2,8405.00,1093.00,4494.00,1030.00,1791.00,2218.00,85.00,-512.00,0.00,0.00,-3.00,9.00,117.00,-129.00,8405.00,0.00,8194.00,211.00,0.00,0.00
1969:Q3,-2873.00,-849.00,-579.00,591.00,-1740.00,-1918.00,66.00,112.00,0.00,0.00,-296.00,-72.00,-28.00,-196.00,-2873.00,0.00,-3275.00,402.00,0.00,0.00
1969:Q4,8925.00,1985.00,4469.00,257.00,2065.00,1714.00,179.00,172.00,0.00,0.00,149.00,68.00,60.00,21.00,8925.00,0.00,8582.00,343.00,0.00,0.00
1970:Q1,-6884.00,-2358.00,-2131.00,-39.00,-2379.00,-1143.00,-164.00,-1072.00,0.00,0.00,23.00,48.00,3.00,-28.00,-6884.00,40.00,-7852.00,928.00,0.00,0.00
1970:Q2,5854.00,552.00,3313.00,616.00,1478.00,2520.00,106.00,-1148.00,0.00,0.00,-105.00,-9.00,-114.00,18.00,5854.00,50.00,5839.00,-35.00,0.00,0.00
1970:Q3,2923.00,-118.00,1799.00,71.00,1129.00,-16.00,-3.00,1148.00,0.00,0.00,42.00,-158.00,204.00,-4.00,2923.00,-90.00,1883.00,1130.00,0.00,0.00
1970:Q4,6598.00,1860.00,3061.00,-235.00,2077.00,799.00,139.00,1139.00,0.00,0.00,-165.00,-23.00,-157.00,15.00,6598.00,0.00,6158.00,440.00,0.00,0.00
1971:Q1,-4274.00,-2340.00,-2010.00,549.00,-305.00,-221.00,255.00,-339.00,0.00,0.00,-168.00,-22.00,-297.00,151.00,-4274.00,0.00,-4064.00,-210.00,0.00,0.00
1971:Q2,7013.00,1726.00,2919.00,945.00,1325.00,1550.00,128.00,-353.00,0.00,0.00,98.00,21.00,-72.00,149.00,7013.00,0.00,7133.00,-120.00,0.00,0.00
1971:Q3,981.00,-840.00,1756.00,107.00,-915.00,-1967.00,199.00,853.00,0.00,0.00,873.00,80.00,525.00,268.00,981.00,0.00,600.00,381.00,0.00,0.00
1971:Q4,7646.00,1522.00,1794.00,574.00,2559.00,1587.00,20.00,952.00,0.00,0.00,1197.00,104.00,718.00,375.00,7646.00,0.00,7188.00,458.00,0.00,0.00
1972:Q1,1038.00,-1693.00,588.00,425.00,1283.00,-24.00,459.00,848.00,0.00,0.00,435.00,5.00,114.00,316.00,1038.00,0.00,555.00,483.00,0.00,0.00
1972:Q2,9467.00,1728.00,4373.00,1363.00,1830.00,914.00,121.00,795.00,0.00,0.00,173.00,73.00,-279.00,379.00,9467.00,0.00,9463.00,4.00,0.00,0.00
1972:Q3,4162.00,-1205.00,1819.00,-85.00,2254.00,701.00,-52.00,1605.00,0.00,0.00,1379.00,55.00,837.00,487.00,4162.00,0.00,3371.00,791.00,0.00,0.00
1972:Q4,15753.00,1775.00,5905.00,1053.00,6014.00,3364.00,807.00,1843.00,0.00,0.00,1006.00,63.00,379.00,564.00,15753.00,0.00,16281.00,-528.00,0.00,0.00
1973:Q1,11623.00,1446.00,9402.00,1572.00,-1713.00,-475.00,1045.00,-2283.00,0.00,0.00,916.00,22.00,649.00,245.00,11623.00,0.00,11080.00,543.00,0.00,0.00
1973:Q2,13380.00,372.00,8287.00,2122.00,1487.00,2459.00,978.00,-1950.00,0.00,0.00,1112.00,159.00,442.00,511.00,13380.00,0.00,12908.00,472.00,0.00,0.00
1973:Q3,6050.00,1624.00,3393.00,1957.00,-196.00,-353.00,460.00,-303.00,0.00,0.00,-728.00,-13.00,-194.00,-521.00,6050.00,0.00,5149.00,901.00,0.00,0.00
1973:Q4,10115.00,-164.00,3869.00,2015.00,2980.00,1858.00,877.00,245.00,0.00,0.00,1415.00,270.00,703.00,442.00,10115.00,0.00,8590.00,1525.00,0.00,0.00
1974:Q1,4338.00,-1846.00,4203.00,2241.00,-1730.00,-1452.00,1087.00,-1565.00,200.00,0.00,1470.00,265.00,1292.00,-87.00,4338.00,0.00,4254.00,84.00,0.00,0.00
1974:Q2,19850.00,2442.00,10276.00,2844.00,989.00,809.00,1202.00,-1222.00,200.00,0.00,3299.00,304.00,2046.00,949.00,19850.00,0.00,17006.00,2844.00,0.00,0.00
1974:Q3,4509.00,1135.00,3058.00,2076.00,-802.00,-1618.00,781.00,-165.00,200.00,0.00,-958.00,-62.00,-963.00,67.00,4509.00,0.00,3957.00,552.00,0.00,0.00
1974:Q4,10077.00,3041.00,4404.00,1141.00,646.00,99.00,180.00,167.00,200.00,0.00,845.00,-242.00,741.00,346.00,10077.00,0.00,7379.00,2698.00,0.00,0.00
1975:Q1,-14660.00,-1223.00,-8307.00,910.00,-4808.00,-4284.00,-511.00,-213.00,200.00,0.00,-1232.00,6.00,-1518.00,280.00,-14660.00,0.00,-13979.00,-681.00,0.00,0.00
1975:Q2,2117.00,2135.00,-2446.00,993.00,-567.00,567.00,-1460.00,26.00,300.00,0.00,2002.00,57.00,1296.00,649.00,2117.00,0.00,1803.00,314.00,0.00,0.00
1975:Q3,-4996.00,1039.00,-4194.00,891.00,-4728.00,-4532.00,-1381.00,885.00,300.00,0.00,1996.00,149.00,986.00,861.00,-4996.00,0.00,-5423.00,427.00,0.00,0.00
1975:Q4,5428.00,3165.00,824.00,676.00,-330.00,-699.00,-928.00,897.00,400.00,0.00,1093.00,47.00,327.00,719.00,5428.00,0.00,4347.00,1081.00,0.00,0.00
1976:Q1,-8387.00,-2469.00,-6343.00,973.00,-1503.00,-188.00,-535.00,-880.00,100.00,0.00,955.00,117.00,757.00,81.00,-8387.00,0.00,-8664.00,277.00,0.00,0.00
1976:Q2,9419.00,1959.00,2440.00,1914.00,1265.00,-95.00,-464.00,1724.00,100.00,0.00,1841.00,85.00,1267.00,489.00,9419.00,0.00,8300.00,1119.00,0.00,0.00
1976:Q3,-2654.00,-1530.00,-1040.00,1311.00,-887.00,-1624.00,-314.00,951.00,100.00,0.00,-508.00,-73.00,-600.00,165.00,-2654.00,0.00,-2780.00,126.00,0.00,0.00
1976:Q4,14764.00,1833.00,2960.00,1260.00,4223.00,1924.00,-587.00,2854.00,32.00,0.00,4488.00,762.00,2775.00,951.00,14764.00,0.00,12396.00,2368.00,0.00,0.00
1977:Q1,-935.00,546.00,2556.00,1544.00,-3106.00,-1117.00,-522.00,-1435.00,-32.00,0.00,-2475.00,-446.00,-1855.00,-174.00,-935.00,0.00,219.00,-1154.00,0.00,0.00
1977:Q2,9670.00,-51.00,5960.00,3019.00,391.00,409.00,-598.00,480.00,100.00,0.00,351.00,227.00,480.00,-356.00,9670.00,0.00,8636.00,1034.00,0.00,0.00
1977:Q3,8350.00,-576.00,1286.00,2160.00,3313.00,1777.00,-280.00,1716.00,100.00,0.00,2167.00,132.00,1592.00,443.00,8350.00,0.00,6104.00,2246.00,0.00,0.00
1977:Q4,14418.00,328.00,5403.00,1599.00,4077.00,2398.00,-130.00,1723.00,86.00,0.00,3011.00,169.00,2433.00,409.00,14418.00,0.00,11341.00,3077.00,0.00,0.00
1978:Q1,6167.00,-1108.00,8376.00,2421.00,-4445.00,-1625.00,-150.00,-2684.00,14.00,0.00,923.00,42.00,637.00,244.00,6167.00,0.00,3074.00,3093.00,0.00,0.00
1978:Q2,17231.00,937.00,6730.00,4933.00,3155.00,2244.00,-368.00,1179.00,100.00,0.00,1476.00,-81.00,589.00,968.00,17231.00,0.00,14595.00,2636.00,0.00,0.00
1978:Q3,7876.00,-800.00,-759.00,4645.00,17.00,-50.00,-126.00,-7.00,200.00,0.00,4773.00,709.00,2000.00,2064.00,7876.00,0.00,3601.00,4275.00,0.00,0.00
1978:Q4,24143.00,1874.00,5675.00,3524.00,1975.00,2770.00,-66.00,-1109.00,380.00,0.00,11095.00,1462.00,6297.00,3336.00,24143.00,0.00,15904.00,8239.00,0.00,0.00
1979:Q1,2249.00,-2266.00,6741.00,3287.00,-2058.00,-857.00,-60.00,-2061.00,920.00,0.00,-3455.00,806.00,-3748.00,-513.00,2249.00,0.00,326.00,1923.00,0.00,0.00
1979:Q2,21421.00,-1871.00,10016.00,5131.00,6146.00,2915.00,-80.00,2411.00,900.00,0.00,1999.00,-819.00,1472.00,1346.00,21421.00,0.00,16416.00,5005.00,0.00,0.00
1979:Q3,20133.00,-1106.00,8294.00,4334.00,1899.00,2226.00,-90.00,-1137.00,900.00,0.00,6712.00,2492.00,1956.00,2264.00,20133.00,0.00,12231.00,7902.00,0.00,0.00
1979:Q4,7403.00,166.00,6064.00,2980.00,394.00,82.00,-100.00,-232.00,644.00,0.00,-2201.00,-346.00,-3765.00,1910.00,7403.00,0.00,9092.00,-1689.00,0.00,0.00
1980:Q1,2665.00,-1026.00,7286.00,460.00,-1313.00,-256.00,-30.00,-1683.00,656.00,0.00,-2742.00,567.00,-2137.00,-1172.00,2665.00,0.00,1815.00,784.00,66.00,0.00
1980:Q2,-4455.00,-305.00,-8620.00,642.00,563.00,-136.00,-49.00,48.00,700.00,0.00,3265.00,1354.00,1451.00,460.00,-4455.00,0.00,-5875.00,1323.00,97.00,0.00
1980:Q3,14531.00,-1149.00,10939.00,692.00,-627.00,722.00,-41.00,-2008.00,700.00,0.00,4676.00,774.00,2540.00,1362.00,14531.00,0.00,8954.00,5461.00,116.00,0.00
1980:Q4,32587.00,1608.00,20051.00,1105.00,3242.00,607.00,-30.00,2103.00,562.00,0.00,6581.00,1849.00,2824.00,1908.00,32587.00,0.00,25095.00,7371.00,121.00,0.00
1981:Q1,-6019.00,-1312.00,-1962.00,1899.00,-2576.00,-828.00,-29.00,-1757.00,38.00,0.00,-2068.00,-913.00,-3469.00,2314.00,-6019.00,0.00,-4951.00,-1207.00,139.00,0.00
1981:Q2,24448.00,997.00,10440.00,4868.00,6240.00,1980.00,-31.00,3238.00,1053.00,0.00,1903.00,288.00,846.00,769.00,24448.00,0.00,24307.00,24.00,117.00,0.00
1981:Q3,19483.00,-918.00,13270.00,3440.00,426.00,394.00,-30.00,-885.00,947.00,0.00,3265.00,570.00,1850.00,845.00,19483.00,0.00,12543.00,6751.00,189.00,0.00
1981:Q4,17336.00,2175.00,10541.00,1196.00,3497.00,363.00,-30.00,2159.00,1005.00,0.00,-73.00,825.00,-3690.00,2792.00,17336.00,0.00,16450.00,531.00,355.00,0.00
