1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7091.00,509.00,409.00,101.00,2115.00,3957.00,7091.00,5743.00,0.00,3356.00,272.00,2115.00,1071.00,78.00,19.00,227.00,11.00,0.00,736.00,0.00,0.00,0.00,0.00,277.00,7091.00,1421.00,-215.00,922.00,0.00,5.00,709.00,5595.00,2879.00,-336.00,131.00,-44.00,10.00,572.00,257.00,755.00,710.00,699.00,0.00,64.00,40.00,0.00,55.00,0.00,0.00,0.00,-219.00,0.00,22.00,75.00
1952:Q1,24272.00,980.00,11496.00,-756.00,8508.00,4044.00,24272.00,24100.00,0.00,4404.00,11188.00,8508.00,16.00,-104.00,-12.00,-456.00,8.00,0.00,580.00,0.00,0.00,0.00,0.00,156.00,24272.00,8584.00,10580.00,-3232.00,0.00,36.00,1200.00,16076.00,-992.00,11500.00,220.00,4.00,8.00,968.00,2180.00,972.00,716.00,964.00,0.00,156.00,52.00,0.00,548.00,0.00,0.00,0.00,-1240.00,0.00,20.00,-388.00
1952:Q2,22924.00,744.00,2652.00,2624.00,10500.00,6404.00,22924.00,21416.00,0.00,6036.00,4880.00,10500.00,1312.00,-136.00,-16.00,388.00,8.00,0.00,1068.00,0.00,0.00,0.00,0.00,196.00,22924.00,16428.00,18508.00,-4748.00,0.00,-40.00,2708.00,6056.00,-388.00,-1028.00,244.00,28.00,4.00,536.00,1152.00,972.00,748.00,708.00,0.00,36.00,64.00,0.00,-276.00,0.00,0.00,0.00,3300.00,0.00,-44.00,440.00
1952:Q3,15748.00,636.00,3856.00,2972.00,4220.00,4064.00,15748.00,15212.00,0.00,4536.00,6456.00,4220.00,868.00,124.00,-28.00,360.00,12.00,0.00,400.00,0.00,0.00,0.00,0.00,-332.00,15748.00,4612.00,2212.00,1804.00,0.00,-8.00,604.00,9544.00,2900.00,1456.00,-328.00,32.00,4.00,1180.00,3348.00,1108.00,1928.00,1360.00,0.00,24.00,64.00,0.00,-52.00,0.00,0.00,0.00,-3460.00,0.00,-20.00,1592.00
1952:Q4,10784.00,-688.00,5764.00,-3088.00,4320.00,4476.00,10784.00,11180.00,0.00,4092.00,2768.00,4320.00,-484.00,124.00,56.00,-104.00,12.00,0.00,-572.00,0.00,0.00,0.00,0.00,88.00,10784.00,564.00,-3060.00,2448.00,0.00,0.00,1176.00,10896.00,200.00,1424.00,200.00,20.00,8.00,1008.00,2628.00,1344.00,440.00,792.00,0.00,92.00,60.00,0.00,48.00,0.00,0.00,0.00,2608.00,0.00,24.00,-676.00
1953:Q1,15220.00,636.00,4160.00,-168.00,5776.00,4816.00,15220.00,13236.00,0.00,3052.00,4408.00,5776.00,1780.00,-120.00,-24.00,-424.00,8.00,0.00,2340.00,0.00,0.00,0.00,0.00,204.00,15220.00,5684.00,2356.00,2204.00,0.00,208.00,916.00,9052.00,1464.00,2032.00,-160.00,8.00,4.00,1184.00,2868.00,1392.00,564.00,1096.00,0.00,12.00,60.00,0.00,800.00,0.00,0.00,0.00,-2288.00,0.00,16.00,484.00
1953:Q2,16400.00,-496.00,4816.00,1048.00,5284.00,5748.00,16400.00,15100.00,0.00,4012.00,5804.00,5284.00,1800.00,-88.00,-4.00,56.00,4.00,0.00,1832.00,0.00,0.00,0.00,0.00,-500.00,16400.00,18840.00,24764.00,-6384.00,0.00,-136.00,596.00,-3364.00,2116.00,-11136.00,108.00,0.00,4.00,884.00,2256.00,1368.00,476.00,1484.00,0.00,-88.00,60.00,0.00,-484.00,0.00,0.00,0.00,-372.00,0.00,-40.00,924.00
1953:Q3,28556.00,1096.00,17140.00,2216.00,5016.00,3088.00,28556.00,26056.00,0.00,2160.00,18880.00,5016.00,2680.00,280.00,16.00,468.00,8.00,0.00,1908.00,0.00,0.00,0.00,0.00,-180.00,28556.00,4932.00,-3280.00,7556.00,0.00,-76.00,732.00,22428.00,2096.00,12388.00,-36.00,-4.00,4.00,1208.00,1964.00,1248.00,708.00,1436.00,0.00,16.00,60.00,0.00,72.00,0.00,0.00,0.00,1276.00,0.00,-8.00,1196.00
1953:Q4,12084.00,276.00,-2424.00,3428.00,5344.00,5460.00,12084.00,11572.00,0.00,5120.00,1108.00,5344.00,484.00,188.00,80.00,-112.00,8.00,0.00,320.00,0.00,0.00,0.00,0.00,28.00,12084.00,-2816.00,-7976.00,3800.00,0.00,-4.00,1364.00,14808.00,-544.00,6824.00,232.00,-4.00,12.00,1220.00,2624.00,1088.00,372.00,892.00,0.00,92.00,60.00,0.00,-12.00,0.00,0.00,0.00,1872.00,0.00,80.00,92.00
1954:Q1,9860.00,1300.00,-2396.00,1496.00,5528.00,3932.00,9860.00,9016.00,0.00,3480.00,8.00,5528.00,160.00,24.00,4.00,-912.00,4.00,0.00,1040.00,0.00,0.00,0.00,0.00,684.00,9860.00,-2736.00,1692.00,-5228.00,0.00,72.00,728.00,11616.00,320.00,4880.00,-116.00,12.00,8.00,764.00,2780.00,1108.00,396.00,1536.00,0.00,192.00,60.00,0.00,1248.00,0.00,0.00,0.00,-1556.00,0.00,-16.00,980.00
