date,FA316902505.A,FA316300003.A,FA316902605.A,FA316025001.A,FA316020001.A,FA316401005.A,FA316402101.A,FA316140005.A,FA316402101.A,FA316240001.A,FA316402015.A,FA316150195.A,FA316130101.A,FA316121101.A,FA316112101.A,FA316130095.A,FA316140005.A,FA316220001.A,FA316601001.A,FA316404001.A,FA316403105.A,FA316403001.A,FA316012005.A,FA316901001.A,FA316006085.A,FA316006385.A,FA316006085.A,FA315440005.A,FA315050905.A,FA315019001.A,FA316300003.A,FA315420003.A,FA315000995.A,FA315000995.A,FA314090005.A,FA313011105.A,FA313011205.A,FA313011303.A,FA314000005.A,FA313011505.A,FA313011405.A,FA313020005.A,FA313030003.A,FA313091105.A,FA314022005.A,FA313061703.A,FA313063763.A,FA314023005.A,FA314041005.A,FA313066220.A,FA313069005.A,FA313065005.A,FA313081115.A,FA313064105.A,FA313092803.A,FA313092403.A,FA313094303.A,FA313096005.A,FA313070000.A,FA313078005.A,FA313093003.A,FA314190005.A,FA313111303.A,FA314100005.A,FA314122005.A,FA313161105.A,FA313161705.A,FA313165403.A,FA313152005.A,FA313140003.A,FA313195105.A,FA343073005.A,FA313196005.A,FA713014003.A,FA313170005.A,FA313193005.A,FA315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315014665.A,FR315013265.A,FR315013765.A,FR318080005.A,FR313011105.A,FR314000005.A,FR313064105.A,FR313094303.A,FR313111303.A,FR313111303.A,FR318200005.A,FC312090095.A,FL312000095.A,FL312010095.A,FL315014665.A,FL315013265.A,FL315013765.A,FL314090005.A,FL313011105.A,FL313011205.A,FL313011303.A,FL314000005.A,FL313011505.A,FL313011405.A,FL313020005.A,FL313030003.A,FL313091105.A,FL314022005.A,FL313061703.A,FL313063763.A,FL314023005.A,FL314041005.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081115.A,LM313064105.A,FL313092803.A,FL313092403.A,FL313094303.A,FL313096005.A,FL313070000.A,FL313078005.A,FL313093003.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL313165403.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073005.A,FL313196005.A,FL713014003.A,FL313170005.A,FL313193013.A,FL312090095.A
1992,378804.00,141426.00,237378.00,233259.00,173527.00,59732.00,4120.00,-243521.00,4120.00,63295.00,-29700.00,25652.00,22193.00,0.00,3459.00,306887.00,-243521.00,598903.00,443965.00,557979.00,18419.00,162232.00,97556.00,430211.00,-332655.00,-343987.00,-332655.00,11332.00,15157.00,156394.00,141426.00,189.00,-359144.00,-359144.00,-22878.00,-2314.00,2.00,-2316.00,-16880.00,-2138.00,2722.00,-16854.00,-677.00,67.00,0.00,0.00,0.00,-11938.00,-1.00,0.00,-1.00,-11937.00,1427.00,0.00,1427.00,0.00,0.00,6827.00,-6677.00,-383.00,13887.00,370546.00,0.00,220.00,343770.00,343540.00,230.00,-2.00,31482.00,1439.00,0.00,30043.00,-4924.00,-2000.00,-2801.00,-123.00,-393424.00,-35871.00,0.00,-1591.00,34280.00,42921.00,22106.00,9723.00,11093.00,-841.00,-421.00,-420.00,0.00,0.00,-271.00,-271.00,42351.00,-337507.00,2109189.00,1632816.00,686452.00,451276.00,495088.00,476373.00,8503.00,0.00,8503.00,64629.00,18491.00,11853.00,31741.00,874.00,1670.00,0.00,0.00,0.00,238468.00,152118.00,0.00,152118.00,86350.00,23858.00,0.00,23858.00,0.00,0.00,140915.00,30831.00,15485.00,94599.00,2109189.00,4589613.00,6737.00,16516.00,3491123.00,3472337.00,18786.00,8.00,977650.00,26229.00,0.00,951421.00,97579.00,8018.00,82677.00,6884.00,-2480424.00
1993,379363.00,145284.00,234079.00,230623.00,173712.00,56911.00,3456.00,-251349.00,3456.00,66358.00,-36318.00,26595.00,22837.00,0.00,3758.00,311439.00,-251349.00,648897.00,465517.00,589924.00,20154.00,177405.00,115891.00,427700.00,-311810.00,-323211.00,-311810.00,11401.00,5553.00,150683.00,145284.00,154.00,-328764.00,-328764.00,-13226.00,537.00,0.00,537.00,21446.00,399.00,51.00,20749.00,-63.00,310.00,0.00,0.00,0.00,-25628.00,-10185.00,353.00,-10538.00,-15443.00,1143.00,0.00,1143.00,0.00,0.00,-10724.00,-2388.00,-3080.00,-5256.00,328788.00,0.00,446.00,293204.00,285405.00,7799.00,-2.00,31497.00,1393.00,0.00,30104.00,3643.00,0.00,2951.00,692.00,-342014.00,8166.00,0.00,21417.00,13251.00,46015.00,20949.00,15427.00,9640.00,15.00,-1.00,16.00,0.00,0.00,-7.00,-7.00,46037.00,-269008.00,2167961.00,1684169.00,711182.00,468120.00,504867.00,483792.00,9039.00,0.00,9039.00,86058.00,19192.00,11920.00,52188.00,811.00,1947.00,0.00,0.00,0.00,226994.00,141975.00,353.00,141622.00,85019.00,25001.00,0.00,25001.00,0.00,0.00,136700.00,28443.00,18914.00,89343.00,2167961.00,4917392.00,6730.00,16962.00,3784327.00,3757742.00,26585.00,6.00,1008921.00,27622.00,0.00,981299.00,100446.00,8018.00,85628.00,6800.00,-2749431.00
1994,382908.00,148309.00,234599.00,230559.00,174024.00,56535.00,4040.00,-246420.00,4040.00,78986.00,-32183.00,23577.00,20021.00,0.00,3556.00,320840.00,-246420.00,704947.00,496152.00,615827.00,21591.00,186796.00,173648.00,427331.00,-253683.00,-264622.00,-253683.00,10939.00,-2876.00,145359.00,148309.00,74.00,-261746.00,-261746.00,-37000.00,441.00,0.00,441.00,-24903.00,-2647.00,-498.00,-21731.00,-123.00,95.00,0.00,0.00,0.00,-5637.00,8381.00,6512.00,1869.00,-14018.00,1431.00,0.00,1431.00,0.00,0.00,-8332.00,-3779.00,-6262.00,1709.00,228961.00,0.00,686.00,193492.00,193334.00,158.00,0.00,31138.00,1268.00,0.00,29870.00,3645.00,0.00,-220.00,3865.00,-265961.00,5888.00,0.00,10103.00,4215.00,70027.00,28600.00,25287.00,16141.00,1265.00,559.00,706.00,0.00,0.00,423.00,423.00,70869.00,-187865.00,2205481.00,1751350.00,742524.00,488121.00,520705.00,454131.00,10039.00,0.00,10039.00,61843.00,19184.00,12128.00,27819.00,688.00,2024.00,0.00,0.00,0.00,221510.00,150510.00,6865.00,143645.00,71000.00,26432.00,0.00,26432.00,0.00,0.00,134307.00,24664.00,18591.00,91052.00,2205481.00,5142778.00,7153.00,17648.00,3977819.00,3951076.00,26743.00,6.00,1039924.00,28890.00,0.00,1011034.00,100228.00,8018.00,85408.00,6802.00,-2937297.00
1995,385521.00,151917.00,233604.00,228555.00,173700.00,54855.00,5049.00,-282414.00,5049.00,75553.00,-34502.00,23812.00,20843.00,0.00,2969.00,352326.00,-282414.00,773533.00,521903.00,653884.00,17536.00,189855.00,186820.00,427659.00,-240840.00,-253792.00,-240840.00,12952.00,-12145.00,147701.00,151917.00,-7929.00,-241647.00,-241647.00,-29484.00,808.00,0.00,808.00,6131.00,3169.00,2462.00,-2.00,252.00,250.00,0.00,0.00,0.00,-24657.00,-11146.00,2317.00,-13463.00,-13511.00,1518.00,0.00,1518.00,0.00,0.00,-13284.00,-1591.00,-7866.00,-3827.00,224413.00,0.00,678.00,165254.00,163774.00,1480.00,0.00,56292.00,1019.00,0.00,55273.00,2189.00,2150.00,-4463.00,4502.00,-253897.00,6893.00,0.00,19143.00,12251.00,46946.00,28143.00,5362.00,13441.00,345.00,190.00,155.00,0.00,0.00,130.00,130.00,47161.00,-199738.00,2225796.00,1794106.00,774337.00,486615.00,533154.00,431690.00,11037.00,0.00,11037.00,68117.00,27997.00,14745.00,22173.00,940.00,2262.00,0.00,0.00,0.00,197037.00,139548.00,9182.00,130366.00,57489.00,27950.00,0.00,27950.00,0.00,0.00,127549.00,23073.00,17251.00,87225.00,2225796.00,5362831.00,7283.00,18326.00,4143073.00,4114850.00,28223.00,6.00,1096369.00,29909.00,0.00,1066460.00,97774.00,10168.00,80945.00,6661.00,-3137035.00
1996,385464.00,152402.00,233062.00,228602.00,174648.00,53954.00,4460.00,-290935.00,4460.00,72854.00,-34903.00,26642.00,22534.00,0.00,4108.00,359988.00,-290935.00,864187.00,545413.00,689644.00,22727.00,201835.00,249914.00,428418.00,-178505.00,-189436.00,-178505.00,10931.00,-7395.00,149792.00,152402.00,-4785.00,-182041.00,-182041.00,7362.00,-369.00,1.00,-370.00,9782.00,-3789.00,1278.00,10963.00,1436.00,-106.00,0.00,0.00,0.00,3921.00,11136.00,8489.00,2647.00,-7215.00,1834.00,0.00,1834.00,0.00,0.00,-7806.00,919.00,-326.00,-8399.00,201384.00,0.00,539.00,200008.00,201618.00,-1610.00,-4.00,3468.00,617.00,0.00,2851.00,-2627.00,-450.00,1101.00,-3278.00,-194022.00,62438.00,0.00,74420.00,11982.00,31961.00,26517.00,-826.00,6270.00,-849.00,-355.00,-494.00,0.00,0.00,-238.00,-238.00,31350.00,-95647.00,2335029.00,1823481.00,804075.00,480393.00,539013.00,511548.00,10313.00,1.00,10312.00,77373.00,19030.00,15529.00,38314.00,2376.00,2124.00,0.00,0.00,0.00,201060.00,150786.00,17671.00,133115.00,50274.00,29784.00,0.00,29784.00,0.00,0.00,193018.00,23992.00,90200.00,78826.00,2335029.00,5567711.00,7045.00,18865.00,4343081.00,4316468.00,26613.00,2.00,1099685.00,30526.00,0.00,1069159.00,99033.00,9718.00,82046.00,7269.00,-3232682.00
1997,390375.00,153028.00,237347.00,230773.00,176268.00,54505.00,6574.00,-289069.00,6574.00,77837.00,-33374.00,25494.00,20973.00,0.00,4521.00,365600.00,-289069.00,957913.00,579432.00,715710.00,20064.00,205098.00,347532.00,438696.00,-91164.00,-99814.00,-91164.00,8650.00,-18124.00,143705.00,153028.00,-8801.00,-81690.00,-81690.00,-2736.00,352.00,2.00,350.00,2547.00,-1458.00,3574.00,-542.00,1019.00,-47.00,0.00,0.00,0.00,11326.00,15862.00,9964.00,5898.00,-4536.00,1589.00,0.00,1589.00,0.00,0.00,-18550.00,-3240.00,-10315.00,-4995.00,84301.00,0.00,460.00,63411.00,63498.00,-87.00,-2.00,28968.00,1737.00,0.00,27231.00,-8536.00,-518.00,-8277.00,259.00,-87037.00,12671.00,0.00,18018.00,5347.00,36383.00,28294.00,-1812.00,9901.00,-1574.00,-635.00,-939.00,0.00,0.00,-434.00,-434.00,35243.00,-51900.00,2366047.00,1850176.00,833332.00,468177.00,548667.00,515871.00,10030.00,3.00,10027.00,78972.00,13763.00,18164.00,41582.00,3395.00,2068.00,0.00,0.00,0.00,212538.00,166800.00,27635.00,139165.00,45738.00,31373.00,0.00,31373.00,0.00,0.00,182958.00,20752.00,88375.00,73831.00,2366047.00,5650629.00,6611.00,19325.00,4406492.00,4379966.00,26526.00,0.00,1128597.00,32263.00,0.00,1096334.00,89604.00,9200.00,73769.00,6635.00,-3284582.00
1998,395539.00,153577.00,241962.00,234412.00,178872.00,55540.00,7551.00,-291729.00,7551.00,80698.00,-35922.00,21514.00,17303.00,0.00,4211.00,365569.00,-291729.00,1041121.00,617402.00,730344.00,21466.00,218766.00,439151.00,436433.00,2718.00,-1049.00,2718.00,3767.00,-11939.00,147663.00,153577.00,-6025.00,10890.00,10890.00,-4421.00,148.00,1.00,147.00,-9631.00,759.00,5120.00,-16684.00,1319.00,-145.00,0.00,0.00,0.00,5588.00,6432.00,8881.00,-2449.00,-844.00,1580.00,0.00,1580.00,0.00,0.00,-2106.00,1502.00,-9280.00,5672.00,3909.00,0.00,560.00,-11406.00,-13381.00,1975.00,0.00,29429.00,1292.00,0.00,28137.00,-14674.00,0.00,-7571.00,-7103.00,-8330.00,-17849.00,0.00,1371.00,19220.00,39470.00,23926.00,6103.00,9442.00,1350.00,429.00,921.00,0.00,0.00,288.00,288.00,40532.00,21634.00,2399137.00,1883318.00,858337.00,465261.00,559720.00,515819.00,10598.00,-5.00,10603.00,70257.00,16234.00,24205.00,23186.00,4714.00,1918.00,0.00,0.00,0.00,218279.00,173385.00,36516.00,136869.00,44894.00,32953.00,0.00,32953.00,0.00,0.00,183732.00,22254.00,81975.00,79503.00,2399137.00,5662085.00,6899.00,19885.00,4395086.00,4366585.00,28501.00,0.00,1158117.00,33555.00,0.00,1124562.00,82098.00,9200.00,66198.00,6700.00,-3262948.00
1999,405614.00,156799.00,248815.00,241612.00,183516.00,58096.00,7203.00,-285252.00,7203.00,83432.00,-44780.00,21077.00,17068.00,0.00,4009.00,352184.00,-285252.00,1116515.00,654826.00,748381.00,22377.00,237877.00,522208.00,455570.00,66638.00,58839.00,66638.00,7799.00,-3159.00,154857.00,156799.00,-1217.00,61998.00,61998.00,75040.00,-12.00,-2.00,-10.00,60394.00,-1627.00,-5454.00,66170.00,671.00,634.00,0.00,0.00,0.00,4348.00,4426.00,11472.00,-7046.00,-78.00,1451.00,0.00,1451.00,0.00,0.00,8859.00,4605.00,1205.00,3049.00,-3349.00,0.00,1016.00,-30086.00,-29869.00,-217.00,0.00,31457.00,1401.00,0.00,30056.00,-5736.00,-3000.00,199.00,-2935.00,78389.00,35315.00,0.00,18924.00,-16391.00,62786.00,34445.00,13192.00,15150.00,-934.00,-257.00,-677.00,0.00,0.00,-174.00,-174.00,62026.00,156180.00,2560004.00,1943793.00,892799.00,473534.00,577460.00,616211.00,10336.00,0.00,10336.00,129992.00,16042.00,18074.00,87921.00,5385.00,2570.00,0.00,0.00,0.00,255743.00,178002.00,47988.00,130014.00,77741.00,34404.00,0.00,34404.00,0.00,0.00,185736.00,22859.00,80325.00,82552.00,2560004.00,5666772.00,6725.00,20901.00,4365000.00,4336716.00,28284.00,0.00,1189381.00,34956.00,0.00,1154425.00,84765.00,6200.00,72015.00,6550.00,-3106768.00
2000,423111.00,161488.00,261623.00,256305.00,194988.00,61317.00,5318.00,-280863.00,5318.00,87251.00,-45306.00,25602.00,19314.00,0.00,6288.00,353728.00,-280863.00,1226624.00,698571.00,782110.00,24823.00,255477.00,631568.00,475057.00,156511.00,147592.00,156511.00,8919.00,-4737.00,157376.00,161488.00,-625.00,152329.00,152329.00,-68775.00,724.00,2.00,722.00,-65458.00,938.00,-2312.00,-65062.00,954.00,24.00,0.00,0.00,0.00,8050.00,8910.00,11674.00,-2764.00,-860.00,1500.00,0.00,1500.00,0.00,0.00,-13591.00,5287.00,-21994.00,3116.00,-215921.00,0.00,2394.00,-274975.00,-274017.00,-958.00,0.00,53017.00,1440.00,0.00,51577.00,3643.00,-4000.00,5663.00,1980.00,147146.00,20713.00,0.00,25896.00,5183.00,48831.00,37157.00,-1450.00,13124.00,-1337.00,-519.00,-818.00,0.00,0.00,-341.00,-341.00,47835.00,216139.00,2557606.00,1987742.00,926982.00,465825.00,594935.00,569864.00,10539.00,0.00,10539.00,63716.00,15568.00,14944.00,24271.00,6339.00,2594.00,0.00,0.00,0.00,262566.00,186912.00,59662.00,127250.00,75654.00,35904.00,0.00,35904.00,0.00,0.00,197139.00,28146.00,83325.00,85668.00,2557606.00,5448235.00,6384.00,23180.00,4090025.00,4062699.00,27326.00,0.00,1242378.00,36396.00,0.00,1205982.00,86268.00,2200.00,77678.00,6390.00,-2890629.00
2001,430965.00,163296.00,267669.00,264871.00,199584.00,65287.00,2798.00,-267790.00,2798.00,85283.00,-51057.00,26411.00,18019.00,0.00,8392.00,331225.00,-267790.00,1168629.00,723253.00,850198.00,25463.00,279513.00,519844.00,505391.00,14453.00,-129.00,14453.00,14582.00,-901.00,163845.00,163296.00,-1450.00,772.00,772.00,53261.00,631.00,1.00,630.00,49148.00,341.00,3594.00,41095.00,4191.00,-72.00,0.00,0.00,0.00,3866.00,4981.00,12808.00,-7827.00,-1115.00,1705.00,0.00,1705.00,0.00,0.00,-2089.00,7324.00,-9777.00,364.00,65763.00,0.00,1282.00,55212.00,55761.00,-549.00,0.00,13876.00,1385.00,0.00,12491.00,-4607.00,0.00,3219.00,-7826.00,-12502.00,-10756.00,0.00,2518.00,13274.00,23460.00,27689.00,-4750.00,521.00,-965.00,-395.00,-570.00,0.00,0.00,-227.00,-227.00,22722.00,11837.00,2643887.00,2011276.00,950890.00,456477.00,603909.00,632611.00,10774.00,0.00,10774.00,112294.00,14422.00,17968.00,66852.00,10530.00,2522.00,0.00,0.00,0.00,266432.00,191893.00,72470.00,119423.00,74539.00,37609.00,0.00,37609.00,0.00,0.00,205502.00,35470.00,84000.00,86032.00,2643887.00,5522679.00,6157.00,24462.00,4145237.00,4118460.00,26777.00,0.00,1257509.00,37781.00,0.00,1219728.00,89314.00,2200.00,80897.00,6217.00,-2878792.00
2002,462595.00,165031.00,297564.00,290711.00,217368.00,73343.00,6853.00,-227742.00,6853.00,86805.00,-40481.00,21751.00,15275.00,0.00,6476.00,302670.00,-227742.00,990855.00,739421.00,927103.00,24931.00,310519.00,289843.00,560327.00,-270484.00,-294877.00,-270484.00,24393.00,14980.00,180277.00,165031.00,-266.00,-309857.00,-309857.00,8412.00,481.00,6.00,475.00,2945.00,287.00,2608.00,-17120.00,17065.00,105.00,0.00,0.00,0.00,8019.00,7499.00,8021.00,-522.00,520.00,1486.00,0.00,1486.00,0.00,0.00,-4519.00,-3273.00,-2768.00,1522.00,334994.00,0.00,988.00,282091.00,281593.00,498.00,0.00,51339.00,1573.00,0.00,49766.00,576.00,0.00,1008.00,-432.00,-326582.00,-22772.00,0.00,-6047.00,16725.00,33549.00,25068.00,3887.00,4595.00,2410.00,917.00,1493.00,0.00,0.00,504.00,504.00,35455.00,-282194.00,2712303.00,2059455.00,974455.00,463650.00,621350.00,652848.00,12170.00,4.00,12166.00,116732.00,16738.00,22069.00,47703.00,27595.00,2627.00,0.00,0.00,0.00,274450.00,199391.00,80490.00,118901.00,75059.00,39095.00,0.00,39095.00,0.00,0.00,210401.00,32197.00,90650.00,87554.00,2712303.00,5873289.00,6661.00,25450.00,4427328.00,4400053.00,27275.00,0.00,1323717.00,39354.00,15369.00,1268994.00,90133.00,2200.00,81905.00,6028.00,-3160986.00
2003,498134.00,170315.00,327819.00,321139.00,234828.00,86311.00,6680.00,-221207.00,6680.00,90182.00,-48974.00,23509.00,16484.00,0.00,7025.00,292603.00,-221207.00,985279.00,763243.00,977587.00,26168.00,350321.00,225576.00,628454.00,-402879.00,-443986.00,-402879.00,41107.00,25121.00,196354.00,170315.00,-918.00,-469107.00,-469107.00,35125.00,-601.00,0.00,-601.00,-17109.00,286.00,-1459.00,9251.00,-25187.00,0.00,0.00,0.00,0.00,-2424.00,50.00,1876.00,-1826.00,-2474.00,1434.00,0.00,1434.00,0.00,0.00,53825.00,19080.00,34380.00,365.00,566005.00,0.00,564.00,420707.00,423116.00,-2409.00,0.00,75617.00,1126.00,19611.00,54880.00,69117.00,0.00,71676.00,-2559.00,-530880.00,-95045.00,0.00,-33271.00,61773.00,45222.00,25257.00,3982.00,15983.00,3123.00,1073.00,2050.00,0.00,0.00,620.00,620.00,47725.00,-491305.00,2790076.00,2130360.00,999089.00,474927.00,656344.00,659716.00,12642.00,4.00,12638.00,101673.00,19670.00,22660.00,54308.00,2408.00,2627.00,0.00,0.00,0.00,272026.00,199441.00,82366.00,117075.00,72585.00,40529.00,0.00,40529.00,0.00,0.00,232846.00,51277.00,93650.00,87919.00,2790076.00,6442367.00,7281.00,26014.00,4848035.00,4823169.00,24866.00,0.00,1399433.00,40480.00,34980.00,1323973.00,161604.00,2200.00,153581.00,5823.00,-3652291.00
2004,525783.00,178622.00,347161.00,342276.00,249924.00,92352.00,4885.00,-226617.00,4885.00,95245.00,-46018.00,25345.00,16626.00,60.00,8659.00,306074.00,-226617.00,1063432.00,808910.00,1030191.00,29574.00,362954.00,282154.00,681373.00,-399219.00,-438559.00,-399219.00,39340.00,31552.00,211006.00,178622.00,-832.00,-470111.00,-470111.00,5262.00,396.00,-2.00,398.00,-34526.00,312.00,-3822.00,-31010.00,-6.00,0.00,0.00,0.00,0.00,2267.00,665.00,3708.00,-3043.00,1602.00,1993.00,0.00,1993.00,0.00,0.00,35132.00,10491.00,23259.00,1382.00,479380.00,0.00,689.00,402848.00,403453.00,-605.00,0.00,59462.00,1086.00,17392.00,40984.00,16381.00,0.00,15394.00,987.00,-474118.00,-28249.00,0.00,-24242.00,4008.00,114752.00,91580.00,10934.00,12238.00,1316.00,546.00,770.00,0.00,0.00,328.00,328.00,115740.00,-351068.00,2917743.00,2277131.00,1088246.00,498306.00,690579.00,640612.00,13586.00,4.00,13582.00,67917.00,21104.00,19608.00,22176.00,2402.00,2627.00,0.00,0.00,0.00,274293.00,200106.00,86074.00,114032.00,74187.00,42522.00,0.00,42522.00,0.00,0.00,242294.00,61768.00,91225.00,89301.00,2917743.00,6921102.00,7609.00,26703.00,5250883.00,5226622.00,24261.00,0.00,1459134.00,41566.00,52372.00,1365196.00,176773.00,2200.00,168975.00,5598.00,-4003359.00
2005,552673.00,189362.00,363311.00,362369.00,263484.00,98885.00,943.00,-277382.00,943.00,99393.00,-60538.00,27250.00,17341.00,246.00,9663.00,344429.00,-277382.00,1289881.00,853391.00,1095635.00,32657.00,384206.00,418706.00,723441.00,-304735.00,-365070.00,-304735.00,60335.00,31524.00,222879.00,189362.00,-1993.00,-396594.00,-396594.00,30769.00,-4509.00,2.00,-4511.00,1284.00,309.00,-10216.00,12155.00,-963.00,0.00,0.00,0.00,0.00,-3096.00,-5482.00,3748.00,-9230.00,2386.00,1264.00,0.00,1264.00,0.00,0.00,35826.00,9224.00,25960.00,642.00,453585.00,0.00,779.00,346867.00,347293.00,-426.00,0.00,67228.00,1136.00,23016.00,43076.00,38711.00,0.00,33662.00,5049.00,-422816.00,-46974.00,-493.00,-20259.00,26223.00,116774.00,94134.00,7288.00,15352.00,-2104.00,-861.00,-1243.00,0.00,0.00,-606.00,-606.00,115276.00,-296768.00,3070217.00,2426527.00,1176508.00,520749.00,729270.00,643690.00,8214.00,4.00,8210.00,67958.00,18694.00,8149.00,37049.00,1439.00,2627.00,0.00,0.00,0.00,271197.00,194624.00,89822.00,104802.00,76573.00,43786.00,0.00,43786.00,0.00,0.00,252535.00,70992.00,91600.00,89943.00,3070217.00,7370344.00,7003.00,27482.00,5584775.00,5560940.00,23835.00,0.00,1540887.00,42702.00,75388.00,1422797.00,210197.00,2200.00,202637.00,5360.00,-4300127.00
2006,577635.00,200705.00,376930.00,375136.00,271680.00,103456.00,1794.00,-293467.00,1794.00,99228.00,-51094.00,28951.00,18761.00,255.00,9935.00,372346.00,-293467.00,1464180.00,905689.00,1201618.00,37897.00,375771.00,536910.00,763940.00,-227030.00,-270238.00,-227030.00,43208.00,22936.00,238049.00,200705.00,-14408.00,-293174.00,-293174.00,-14391.00,225.00,2.00,223.00,-5446.00,367.00,-3313.00,-2721.00,221.00,0.00,0.00,0.00,0.00,5857.00,2151.00,1605.00,546.00,3706.00,2024.00,0.00,2024.00,0.00,0.00,-17051.00,-11595.00,-6502.00,1046.00,295972.00,0.00,582.00,219148.00,219474.00,-326.00,0.00,64478.00,1502.00,18081.00,44895.00,11764.00,0.00,6204.00,5560.00,-310363.00,30177.00,0.00,47366.00,17190.00,116353.00,95162.00,10405.00,10787.00,772.00,437.00,335.00,0.00,0.00,368.00,368.00,116757.00,-123304.00,3238066.00,2579758.00,1266625.00,550748.00,762385.00,658308.00,8874.00,4.00,8870.00,62847.00,20194.00,5171.00,33195.00,1660.00,2627.00,0.00,0.00,0.00,294291.00,214012.00,108664.00,105348.00,80279.00,45810.00,0.00,45810.00,0.00,0.00,246486.00,59397.00,96100.00,90989.00,3238066.00,7661497.00,7371.00,28064.00,5803923.00,5780414.00,23509.00,0.00,1606003.00,44204.00,93469.00,1468330.00,216136.00,2200.00,208841.00,5095.00,-4423431.00
2007,605395.00,212801.00,392594.00,390549.00,283272.00,107277.00,2045.00,-325612.00,2045.00,94605.00,-47452.00,33406.00,22075.00,220.00,11111.00,408216.00,-325612.00,1547829.00,947242.00,1277526.00,42037.00,401269.00,532701.00,798350.00,-265649.00,-318611.00,-265649.00,52962.00,35272.00,251422.00,212801.00,-3349.00,-353883.00,-353883.00,637.00,154.00,0.00,154.00,25796.00,495.00,-1021.00,25142.00,1181.00,0.00,0.00,0.00,0.00,6781.00,4698.00,6992.00,-2294.00,2083.00,1651.00,0.00,1651.00,0.00,0.00,-33745.00,1196.00,-35322.00,381.00,371475.00,0.00,-681.00,270392.00,270762.00,-370.00,0.00,73038.00,1565.00,23784.00,47689.00,28726.00,0.00,29320.00,-594.00,-370838.00,9347.00,0.00,26302.00,16955.00,93004.00,60659.00,7590.00,24755.00,677.00,452.00,225.00,0.00,0.00,371.00,371.00,93310.00,-215954.00,3415144.00,2711299.00,1325382.00,576654.00,809263.00,703845.00,9480.00,4.00,9476.00,88868.00,22524.00,4375.00,56501.00,2841.00,2627.00,0.00,0.00,0.00,301073.00,218711.00,115657.00,103054.00,82362.00,47461.00,0.00,47461.00,0.00,0.00,256963.00,60593.00,105000.00,91370.00,3415144.00,8054529.00,7742.00,27383.00,6074315.00,6051176.00,23139.00,0.00,1699867.00,45769.00,137344.00,1516754.00,245222.00,2200.00,238161.00,4861.00,-4639385.00
2008,637623.00,226347.00,411276.00,410434.00,296724.00,113710.00,842.00,-308875.00,842.00,93968.00,-49589.00,33868.00,19537.00,578.00,13753.00,387964.00,-308875.00,1426718.00,974381.00,1480030.00,49689.00,416051.00,245832.00,879822.00,-633990.00,-751590.00,-633990.00,117600.00,29052.00,275784.00,226347.00,-20385.00,-780642.00,-780642.00,579834.00,106.00,0.00,106.00,315967.00,635.00,3475.00,313122.00,-1264.00,0.00,54427.00,54427.00,0.00,39033.00,25569.00,19494.00,6075.00,13464.00,257724.00,256340.00,1384.00,0.00,0.00,-87423.00,4155.00,-62205.00,-29373.00,1368955.00,0.00,-832.00,1302502.00,1302295.00,207.00,0.00,45055.00,978.00,26502.00,17575.00,22230.00,0.00,22558.00,-328.00,-789121.00,86737.00,0.00,95217.00,8479.00,68986.00,43983.00,11846.00,13158.00,-67940.00,-242.00,-34.00,-67664.00,0.00,-195.00,-195.00,1241.00,-663612.00,4121576.00,2829206.00,1369788.00,616172.00,843246.00,1292370.00,9344.00,4.00,9340.00,404801.00,23396.00,7816.00,369385.00,1577.00,2627.00,54427.00,54427.00,0.00,340107.00,244281.00,135152.00,109129.00,95826.00,237521.00,188676.00,48845.00,0.00,0.00,246170.00,64748.00,119425.00,61997.00,4121576.00,9424573.00,7547.00,26551.00,7376817.00,7353471.00,23346.00,0.00,1746417.00,46747.00,163846.00,1535824.00,267241.00,2200.00,260719.00,4322.00,-5302997.00
