1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q3,27175.00,-38706.00,13999.00,-10191.00,-962.00,16959.00,-1615.00,983.00,-142.00,-6822.00,2619.00,22975.00,2174.00,865.00,3411.00,21628.00,107433.00,40457.00,14229.00,-1146.00,27031.00,-909.00,6424.00,-1364.00,-13.00,-375.00,9267.00,1590.00,1168.00,9138.00,-2165.00,0.00,980.00,-7830.00,2406.00,9117.00,-572.00,-80258.00
1997:Q4,13603.00,-86102.00,12750.00,9352.00,1051.00,29162.00,5662.00,344.00,-184.00,24510.00,-172.00,-5684.00,3708.00,-12040.00,-3356.00,34602.00,171276.00,50785.00,15855.00,1733.00,6470.00,279.00,16602.00,2912.00,1341.00,1835.00,8272.00,4615.00,1257.00,-1837.00,32813.00,0.00,9991.00,2094.00,446.00,6730.00,9084.00,-157673.00
1998:Q1,38862.00,12082.00,25530.00,-5929.00,-335.00,-69235.00,-1981.00,708.00,378.00,14326.00,9412.00,-25557.00,4514.00,59079.00,13251.00,2619.00,80727.00,17645.00,27889.00,953.00,37134.00,-215.00,-60727.00,-1991.00,59.00,4163.00,12790.00,1857.00,1175.00,15212.00,-13821.00,0.00,-2061.00,-21680.00,6623.00,40669.00,15053.00,-41865.00
1998:Q2,4576.00,28507.00,21780.00,3619.00,-152.00,-21082.00,5520.00,994.00,539.00,-82.00,-2228.00,-4933.00,3764.00,-50806.00,10590.00,8546.00,114628.00,99966.00,32339.00,1028.00,-10008.00,1365.00,-1540.00,4457.00,332.00,-3516.00,274.00,1862.00,1150.00,-11883.00,2818.00,0.00,2305.00,-2544.00,2608.00,-8418.00,2033.00,-110052.00
1998:Q3,83521.00,49410.00,20530.00,-4966.00,-860.00,31804.00,-4341.00,326.00,-162.00,7038.00,374.00,-167.00,3007.00,-8069.00,-1848.00,-8555.00,126186.00,20028.00,32964.00,1402.00,10664.00,1773.00,6231.00,4455.00,566.00,1491.00,11215.00,1623.00,897.00,6149.00,39739.00,0.00,-2145.00,-12677.00,1452.00,2107.00,-1748.00,-42665.00
1998:Q4,130831.00,47032.00,24280.00,173.00,1416.00,17464.00,-2150.00,4887.00,-208.00,-7383.00,2530.00,25850.00,2325.00,-30793.00,26719.00,18689.00,187182.00,162199.00,28664.00,2289.00,-38267.00,1961.00,13684.00,-690.00,2134.00,4905.00,-2842.00,-79.00,1019.00,-2111.00,-4241.00,0.00,1804.00,2209.00,46.00,8208.00,6290.00,-56351.00
1999:Q1,105423.00,67355.00,15917.00,-2300.00,-1620.00,5740.00,-6790.00,310.00,-182.00,27693.00,-4600.00,17694.00,1791.00,-61515.00,-2212.00,48143.00,158919.00,115687.00,25350.00,703.00,1692.00,-3348.00,28465.00,-1925.00,-7.00,2180.00,9395.00,4623.00,266.00,-73.00,-9910.00,0.00,2817.00,4834.00,347.00,-21081.00,-1096.00,-53496.00
1999:Q2,94590.00,71757.00,20917.00,1334.00,1027.00,-8511.00,-1073.00,930.00,-39.00,-3452.00,207.00,1542.00,-1307.00,-6464.00,-6824.00,24547.00,119537.00,84917.00,16851.00,1278.00,-7161.00,366.00,28746.00,-2509.00,411.00,-3327.00,-2056.00,5508.00,85.00,5517.00,-18981.00,0.00,-816.00,-1370.00,-1135.00,12700.00,513.00,-24947.00
1999:Q3,96197.00,64145.00,18416.00,-3630.00,628.00,15409.00,14546.00,2129.00,106.00,17123.00,-3673.00,-14007.00,3223.00,20353.00,-16471.00,-22101.00,74808.00,67895.00,20350.00,752.00,-2384.00,1204.00,-13632.00,1644.00,181.00,-3358.00,5696.00,5050.00,-138.00,870.00,-2386.00,0.00,3870.00,-5022.00,-426.00,-5188.00,-170.00,21389.00
1999:Q4,154406.00,57039.00,18417.00,1661.00,-1442.00,12833.00,363.00,-920.00,976.00,-25058.00,4333.00,1500.00,933.00,16552.00,-1205.00,68424.00,228841.00,178129.00,18850.00,316.00,-5004.00,437.00,-151.00,5139.00,-1607.00,-9943.00,-23647.00,4527.00,361.00,18493.00,6479.00,0.00,-920.00,7175.00,-129.00,21306.00,9031.00,-74435.00
2000:Q1,66765.00,39462.00,22310.00,-1910.00,1312.00,6172.00,3118.00,363.00,-666.00,5887.00,5505.00,-4891.00,-414.00,22686.00,-9588.00,-22581.00,99728.00,61390.00,21843.00,1813.00,-1812.00,-710.00,9819.00,-4128.00,-338.00,9035.00,1082.00,-1457.00,-137.00,-16916.00,-14774.00,0.00,3209.00,29701.00,476.00,-324.00,1956.00,-32963.00
2000:Q2,152096.00,73149.00,18810.00,1347.00,-498.00,9887.00,-2811.00,726.00,773.00,5907.00,-1541.00,13849.00,1485.00,-2584.00,-585.00,34182.00,249514.00,154758.00,25068.00,493.00,-5713.00,-247.00,30468.00,-2485.00,407.00,-3567.00,10450.00,-100.00,255.00,9101.00,30453.00,0.00,3429.00,-2312.00,-90.00,-3699.00,2845.00,-97418.00
2000:Q3,215628.00,111069.00,22661.00,1966.00,-58.00,42417.00,7438.00,974.00,1323.00,-2933.00,-10176.00,16189.00,415.00,1537.00,32524.00,-9718.00,298546.00,189225.00,21242.00,296.00,566.00,1124.00,13900.00,2266.00,436.00,3087.00,16057.00,-583.00,237.00,7183.00,4557.00,0.00,1674.00,3780.00,621.00,13085.00,19792.00,-82918.00
