1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,62907.00,835.00,1357.00,0.00,34236.00,11395.00,305.00,1609.00,0.00,149.00,-3.00,5860.00,3544.00,1052.00,852.00,0.00,811.00,0.00,34.00,871.00,78292.00,7987.00,1274.00,2142.00,1230.00,0.00,181.00,2300.00,0.00,157.00,-13.00,0.00,1136.00,20106.00,30203.00,11395.00,0.00,0.00,0.00,103.00,0.00,140.00,0.00,-49.00,0.00,0.00,-15385.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,68718.00,904.00,1453.00,0.00,36588.00,12853.00,498.00,1816.00,0.00,141.00,13.00,6511.00,3930.00,1116.00,1018.00,0.00,792.00,0.00,41.00,1044.00,84674.00,8357.00,1521.00,2317.00,1379.00,0.00,135.00,2458.00,0.00,171.00,-15.00,0.00,1224.00,21010.00,33015.00,12853.00,0.00,0.00,0.00,106.00,0.00,200.00,0.00,-57.00,0.00,0.00,-15956.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,76370.00,1007.00,2318.00,0.00,39848.00,14285.00,854.00,2284.00,0.00,125.00,34.00,7030.00,4203.00,1191.00,1278.00,0.00,785.00,0.00,49.00,1079.00,91554.00,8692.00,1614.00,2439.00,1374.00,0.00,160.00,2759.00,0.00,215.00,-19.00,0.00,1467.00,21648.00,36532.00,14285.00,0.00,0.00,0.00,107.00,0.00,348.00,0.00,-67.00,0.00,0.00,-15184.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,83829.00,1086.00,2359.00,0.00,45111.00,15261.00,421.00,2382.00,0.00,161.00,59.00,7912.00,4591.00,1355.00,1201.00,0.00,777.00,0.00,71.00,1082.00,102461.00,9276.00,1893.00,2648.00,1321.00,0.00,177.00,2577.00,0.00,218.00,-24.00,0.00,1650.00,25366.00,41837.00,15261.00,0.00,0.00,0.00,104.00,0.00,236.00,0.00,-79.00,0.00,0.00,-18632.00
1952:Q1,86345.00,1105.00,2602.00,0.00,46659.00,15603.00,258.00,2577.00,-230.00,163.00,65.00,8156.00,4707.00,1428.00,1334.00,0.00,765.00,0.00,76.00,1076.00,104878.00,9456.00,1952.00,2714.00,1315.00,31.00,206.00,2780.00,32.00,220.00,-25.00,0.00,1694.00,24943.00,43464.00,15603.00,0.00,0.00,0.00,216.00,0.00,356.00,0.00,-79.00,0.00,0.00,-18534.00
1952:Q2,89087.00,1123.00,2920.00,0.00,47934.00,16021.00,361.00,2670.00,-220.00,162.00,72.00,8417.00,4887.00,1386.00,1456.00,0.00,763.00,0.00,65.00,1070.00,107897.00,9633.00,1868.00,2789.00,1309.00,128.00,233.00,2902.00,48.00,222.00,-27.00,0.00,1734.00,25678.00,44839.00,16021.00,0.00,0.00,0.00,218.00,0.00,384.00,0.00,-82.00,0.00,0.00,-18810.00
