date,FA796902505.A,FA796300081.A,FA796902605.A,FA796025005.A,FA796020001.A,FA796401001.A,FA796240101.A,FA796402101.A,FA796140005.A,FA796402101.A,FA796150105.A,FA796130101.A,FA796121101.A,FA793092281.A,FA796150005.A,FA796130001.A,FA796120005.A,FA796121001.A,FA796122001.A,FA793192281.A,FA796112001.A,FA796140005.A,FA796220001.A,FA796403005.A,FA796012095.A,FA796012095.A,FA796006385.A,FA796012095.A,FA795440005.A,FA795015085.A,FA795013005.A,FA796300081.A,FA795000995.A,FA795000995.A,FA794090005.A,FA713011203.A,FA794000005.A,FA794022005.A,FA793069175.A,FA793061105.A,FA793061705.A,FA793062005.A,FA793063005.A,FA794035005.A,FA794041005.A,FA793065005.A,FA793081005.A,FA793064105.A,FA793064205.A,FA793034005.A,FA793092405.A,FA793092005.A,FA713164003.A,FA793094005.A,FA793052005.A,FA793096005.A,FA794190005.A,FA794100005.A,FA794122005.A,FA423161705.A,FA793163005.A,FA793169175.A,FA794135005.A,FA794141005.A,FA643165005.A,FA793181005.A,FA634090005.A,FA793164105.A,FA653164205.A,FA403192405.A,FA793192005.A,FA662090205.A,FA793194005.A,FA713164003.A,FA583152005.A,FA793196005.A,FA795000005.A,FV798090185.A,FV792010095.A,FV798090085.A,FU797005045.A,FR792010095.A,FR795013665.A,FR795013265.A,FR795013765.A,FR793081085.A,FR793064105.A,FR793064205.A,FR793092005.A,FR793181085.A,FR793164105.A,FR653164205.A,FR793192005.A,FR662090205.A,FR153050005.A,FR793194005.A,FR798200005.A,FC792090095.A,FL792000095.A,FL792010095.A,FL795013665.A,FL795013265.A,FL795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL793065005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,FL793092005.A,FL713164003.A,FL793094005.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL643165005.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,FL793192005.A,FL662090205.A,FL793194005.A,FL713164003.A,FL583152005.A,FL793196005.A,FL792090095.A
1995,500959.00,73485.00,427474.00,279885.00,233582.00,46303.00,29342.00,118248.00,99432.00,118248.00,1266367.00,1171316.00,86470.00,8581.00,1285183.00,1121346.00,163694.00,134623.00,29071.00,143.00,0.00,99432.00,77515.00,7077.00,14839.00,14839.00,12909.00,14839.00,1930.00,25193.00,98677.00,73485.00,-12284.00,-12284.00,1715945.00,-1.00,47852.00,560182.00,35295.00,81976.00,193627.00,47200.00,202084.00,700251.00,495896.00,204355.00,232970.00,23663.00,108519.00,12829.00,2038.00,8428.00,283.00,77210.00,168343.00,6350.00,1610648.00,137805.00,428218.00,204289.00,181238.00,42691.00,229841.00,224516.00,5325.00,387587.00,142013.00,-7216.00,168843.00,1983.00,2970.00,-510.00,79221.00,283.00,392424.00,34773.00,105297.00,-265464.00,-39.00,-383005.00,-117581.00,7905.00,10111.00,-2295.00,88.00,996171.00,845235.00,153521.00,-2585.00,1016166.00,397271.00,345112.00,9821.00,809.00,263153.00,0.00,-12091.00,-264645.00,24071976.00,753905.00,434368.00,278300.00,41237.00,23318071.00,11050.00,386457.00,7306251.00,525699.00,2082415.00,1880682.00,729451.00,2088004.00,8104996.00,3944495.00,4160501.00,5110670.00,3472472.00,707112.00,188202.00,15133.00,106833.00,3966.00,616952.00,1424163.00,974484.00,24071976.00,23905327.00,4341412.00,4023102.00,2377738.00,1158496.00,486868.00,1647824.00,1623773.00,24051.00,4769750.00,753018.00,1283957.00,2058275.00,18256.00,25954.00,5375.00,620949.00,3966.00,8159599.00,963640.00,166649.00
1996,558192.00,76115.00,482077.00,304074.00,257183.00,46891.00,30914.00,147089.00,91359.00,147089.00,1301135.00,1190533.00,102075.00,8526.00,1356865.00,1150954.00,205573.00,167663.00,37910.00,338.00,0.00,91359.00,78541.00,7024.00,5795.00,5795.00,5795.00,5795.00,0.00,33776.00,109891.00,76115.00,-27981.00,-27981.00,1852810.00,-2.00,53693.00,440663.00,52377.00,-6833.00,127512.00,42428.00,225179.00,624315.00,340674.00,283641.00,447487.00,152426.00,101260.00,81012.00,1407.00,15087.00,636.00,95659.00,157380.00,129275.00,1854624.00,189178.00,465539.00,231413.00,141898.00,92228.00,186145.00,178288.00,7857.00,521775.00,148789.00,-21248.00,285087.00,1450.00,14685.00,306.00,92070.00,636.00,387087.00,104900.00,-1814.00,-300693.00,0.00,-326860.00,-26167.00,-1450.00,11624.00,-12224.00,-851.00,809694.00,687934.00,120356.00,1404.00,1143255.00,676684.00,280632.00,-3830.00,826.00,188943.00,0.00,-335011.00,-629909.00,26635998.00,786383.00,458018.00,287073.00,41292.00,25849615.00,11048.00,442104.00,7695195.00,578076.00,2044857.00,2005980.00,763094.00,2303188.00,8729310.00,4272152.00,4457159.00,6428851.00,4312832.00,988728.00,270214.00,16540.00,123324.00,4602.00,712611.00,1391848.00,1151259.00,26635998.00,27099258.00,4530358.00,4488641.00,2609151.00,1300394.00,579096.00,1833969.00,1802061.00,31908.00,6245838.00,901807.00,1939393.00,2623994.00,19706.00,36809.00,6507.00,713020.00,4602.00,8923129.00,1077323.00,-463260.00
1997,630764.00,79558.00,551206.00,333746.00,284022.00,49724.00,33100.00,184359.00,94022.00,184359.00,1410516.00,1286941.00,114076.00,9499.00,1500853.00,1267247.00,232742.00,190371.00,42371.00,864.00,0.00,94022.00,84062.00,-3395.00,13356.00,13356.00,13356.00,13356.00,0.00,36109.00,115667.00,79558.00,-22753.00,-22753.00,2357618.00,-1.00,59448.00,717081.00,143979.00,109128.00,139765.00,45521.00,278688.00,762937.00,465749.00,297188.00,354190.00,52265.00,136231.00,55541.00,1762.00,20533.00,831.00,87027.00,182163.00,281801.00,2318221.00,251362.00,510399.00,213654.00,130094.00,166651.00,339769.00,324861.00,14908.00,562081.00,157078.00,-27937.00,330452.00,1762.00,6084.00,1084.00,92727.00,831.00,448517.00,206093.00,39396.00,-385890.00,0.00,-448039.00,-62149.00,7864.00,21355.00,-12988.00,-503.00,1302333.00,1079146.00,232104.00,-8917.00,1637530.00,822287.00,454869.00,1261.00,1861.00,357252.00,0.00,-327332.00,-699867.00,29936858.00,830465.00,494679.00,293772.00,42014.00,29106393.00,11047.00,507200.00,8432522.00,714400.00,2125216.00,2167061.00,833367.00,2592478.00,9491727.00,4737381.00,4754347.00,8085374.00,5439494.00,1361812.00,325755.00,18302.00,134940.00,5433.00,799638.00,1158190.00,1420333.00,29936858.00,31099985.00,4781720.00,4978932.00,2822805.00,1410386.00,745741.00,2173738.00,2126922.00,46816.00,8107882.00,1058885.00,2733743.00,3409315.00,21468.00,63839.00,9452.00,805747.00,5433.00,9748497.00,1309216.00,-1163127.00
1998,707516.00,85480.00,622036.00,375328.00,319715.00,55613.00,33547.00,213161.00,96672.00,213161.00,1511907.00,1381992.00,122114.00,7802.00,1628396.00,1386536.00,241671.00,195882.00,45789.00,189.00,0.00,96672.00,89698.00,19328.00,-12355.00,-12355.00,-12355.00,-12355.00,0.00,54395.00,139875.00,85480.00,-66750.00,-66750.00,2727648.00,-1.00,58938.00,913062.00,140365.00,-21731.00,331507.00,88585.00,374337.00,886533.00,397404.00,489130.00,513242.00,99881.00,139141.00,109404.00,3988.00,13462.00,519.00,146847.00,198443.00,157431.00,2716835.00,232075.00,880185.00,471589.00,247613.00,160983.00,209545.00,184756.00,24789.00,772762.00,292793.00,3535.00,301837.00,4053.00,34006.00,-1421.00,137440.00,519.00,513292.00,108976.00,10813.00,-232638.00,0.00,-310200.00,-77562.00,11187.00,24120.00,-13020.00,87.00,1197798.00,997841.00,193386.00,6571.00,928270.00,175201.00,462379.00,1072.00,1530.00,288088.00,0.00,280715.00,35723.00,33653628.00,896168.00,532560.00,315292.00,48316.00,32757460.00,11046.00,568100.00,9357356.00,854765.00,2108056.00,2499457.00,923922.00,2971156.00,10378215.00,5134738.00,5243477.00,9796413.00,6537215.00,1694339.00,435159.00,22290.00,154973.00,5952.00,946485.00,1084962.00,1561369.00,33653628.00,34781033.00,5013795.00,5859117.00,3294394.00,1657999.00,906724.00,2383283.00,2311678.00,71605.00,9520826.00,1351678.00,2912479.00,4173531.00,25521.00,98917.00,9561.00,943187.00,5952.00,10661539.00,1342473.00,-1127404.00
1999,743801.00,96227.00,647574.00,399180.00,341678.00,57502.00,35859.00,212536.00,98801.00,212536.00,1600776.00,1461067.00,129135.00,10574.00,1714511.00,1445709.00,267809.00,210839.00,56970.00,993.00,0.00,98801.00,87413.00,9124.00,2263.00,2263.00,535.00,2263.00,1728.00,58464.00,154690.00,96227.00,-57929.00,-57929.00,2840543.00,2.00,44149.00,975576.00,205843.00,-6575.00,407812.00,37513.00,330983.00,1141385.00,550165.00,591220.00,407464.00,18452.00,133065.00,111273.00,6070.00,24222.00,480.00,113902.00,210574.00,61395.00,2795669.00,338761.00,921484.00,593347.00,151914.00,176223.00,257418.00,250198.00,7220.00,736728.00,261468.00,1679.00,239752.00,6062.00,105693.00,1249.00,120345.00,480.00,389139.00,152139.00,44874.00,-533346.00,-44.00,-636105.00,-102803.00,20141.00,22577.00,-3946.00,1509.00,1842501.00,1432508.00,425581.00,-15587.00,1245900.00,4038.00,819911.00,-18928.00,736.00,440143.00,0.00,616742.00,83931.00,37934667.00,975015.00,567886.00,347562.00,59567.00,36959652.00,11048.00,610271.00,10227763.00,1060608.00,2092698.00,2893011.00,917176.00,3264270.00,11518737.00,5684903.00,5833834.00,12046379.00,7988175.00,2252985.00,546432.00,28360.00,163608.00,6432.00,1060387.00,884866.00,1660588.00,37934667.00,38978140.00,5352556.00,6780601.00,3887741.00,1809913.00,1082947.00,2638402.00,2559577.00,78825.00,11063311.00,1613146.00,2918196.00,5233194.00,31583.00,185682.00,11546.00,1063532.00,6432.00,11588269.00,1555001.00,-1043473.00
2000,821853.00,108334.00,713520.00,440635.00,378779.00,61856.00,36843.00,236041.00,92397.00,236041.00,1864197.00,1720528.00,129902.00,13768.00,2007842.00,1712590.00,295232.00,234019.00,61213.00,20.00,0.00,92397.00,94899.00,27820.00,-30323.00,-30323.00,-30323.00,-30323.00,0.00,50486.00,158819.00,108334.00,-80808.00,-80808.00,2805575.00,-2.00,6105.00,445076.00,164530.00,2176.00,216932.00,-1332.00,62770.00,1058506.00,500600.00,557906.00,776912.00,356476.00,223564.00,36120.00,2177.00,21223.00,565.00,136787.00,157081.00,361897.00,2840556.00,227681.00,747967.00,434877.00,181364.00,131726.00,389507.00,384782.00,4725.00,851308.00,230155.00,17068.00,295151.00,2229.00,71817.00,-187.00,234510.00,565.00,413624.00,210470.00,-34981.00,479810.00,0.00,433983.00,-45827.00,21822.00,20734.00,-670.00,1758.00,-1001798.00,-875266.00,-121691.00,-4841.00,-240304.00,337824.00,-408959.00,-19699.00,296.00,-149766.00,0.00,-739672.00,-290185.00,40298575.00,1047958.00,601280.00,375132.00,71546.00,39250617.00,11046.00,633728.00,10748523.00,1225138.00,2082255.00,3122873.00,945897.00,3372360.00,12592622.00,6200882.00,6391740.00,12091493.00,7739385.00,2354858.00,582552.00,30537.00,179990.00,6997.00,1197174.00,1233074.00,1940132.00,40298575.00,41632233.00,5580237.00,7529612.00,4319662.00,1995277.00,1214673.00,3027909.00,2944359.00,83550.00,11761710.00,1845248.00,3273088.00,5119386.00,33812.00,237800.00,11655.00,1233724.00,6997.00,11866039.00,1866726.00,-1333658.00
2001,847224.00,115614.00,731610.00,445619.00,375078.00,70541.00,37599.00,248392.00,164919.00,248392.00,1806999.00,1667753.00,127966.00,11281.00,1890473.00,1625248.00,270788.00,212458.00,58330.00,-5564.00,0.00,164919.00,92050.00,30814.00,42055.00,42055.00,34318.00,42055.00,7737.00,38517.00,154131.00,115614.00,-4199.00,-4199.00,3165522.00,-1.00,189283.00,928958.00,-196503.00,110167.00,635339.00,68842.00,311114.00,921522.00,248106.00,673416.00,762484.00,395683.00,106982.00,160429.00,2752.00,18566.00,376.00,77696.00,149273.00,214004.00,3156692.00,456314.00,812447.00,642687.00,296626.00,-126866.00,268225.00,266016.00,2209.00,760710.00,440062.00,39873.00,191495.00,3276.00,25704.00,-3282.00,63206.00,376.00,501276.00,357720.00,8831.00,316793.00,-3769.00,307533.00,-13030.00,8269.00,20113.00,-10917.00,-928.00,-1354945.00,-995902.00,-363862.00,4819.00,-1196604.00,-163464.00,-621278.00,-14550.00,-2195.00,-395117.00,0.00,-150071.00,201040.00,42586176.00,1091945.00,633012.00,380981.00,77952.00,41494231.00,11045.00,821559.00,11742984.00,1080277.00,2192674.00,3760303.00,1011090.00,3698640.00,13514731.00,6449575.00,7065156.00,11490960.00,7139166.00,2097978.00,742981.00,33289.00,203375.00,7373.00,1266798.00,1753425.00,2159527.00,42586176.00,43718794.00,6068048.00,8468251.00,4962349.00,2408110.00,1097792.00,3296134.00,3210375.00,85759.00,11712861.00,2285310.00,3149497.00,4689603.00,37088.00,248954.00,6178.00,1288858.00,7373.00,12058767.00,2114733.00,-1132618.00
2002,848989.00,122116.00,726874.00,443986.00,371054.00,72932.00,39859.00,243029.00,207032.00,243029.00,1562805.00,1417958.00,130593.00,14254.00,1598802.00,1316215.00,282290.00,228082.00,54208.00,297.00,0.00,207032.00,95230.00,10542.00,101260.00,101260.00,101260.00,101260.00,0.00,33779.00,155894.00,122116.00,67482.00,67482.00,2605046.00,-6.00,9779.00,830895.00,-130231.00,209923.00,520085.00,60972.00,170146.00,1038646.00,134822.00,903824.00,379279.00,137096.00,112972.00,714.00,1898.00,23354.00,1007.00,102238.00,211369.00,135084.00,2584211.00,375593.00,873031.00,546652.00,426315.00,-99936.00,235791.00,224590.00,11201.00,357289.00,-20235.00,71536.00,182995.00,1992.00,9616.00,634.00,109744.00,1007.00,541219.00,201288.00,20835.00,584262.00,0.00,630908.00,46646.00,6602.00,17173.00,-8121.00,-2451.00,-1685335.00,-1417447.00,-296309.00,28420.00,-1492733.00,-367036.00,-754516.00,-15120.00,-1862.00,-354199.00,0.00,-186001.00,499521.00,44097428.00,1134500.00,654497.00,392622.00,87381.00,42962928.00,11039.00,833405.00,12639359.00,948054.00,2408773.00,4292557.00,1092391.00,3897584.00,14553946.00,6584966.00,7968980.00,10181257.00,5855168.00,1914641.00,743695.00,35187.00,255149.00,8380.00,1369036.00,2446578.00,2297344.00,44097428.00,44730525.00,6443641.00,9341282.00,5509001.00,2834425.00,997856.00,3531925.00,3434965.00,96960.00,10931616.00,2265075.00,2853997.00,4118082.00,39080.00,243450.00,4950.00,1398602.00,8380.00,12228280.00,2253781.00,-633097.00
2003,885630.00,129994.00,755636.00,460524.00,390588.00,69936.00,42942.00,252170.00,206608.00,252170.00,1501268.00,1338004.00,142209.00,21055.00,1546830.00,1243476.00,300850.00,250721.00,50129.00,2504.00,0.00,206608.00,110878.00,-9723.00,105453.00,105453.00,105453.00,105453.00,0.00,26549.00,156543.00,129994.00,78904.00,78904.00,3244036.00,0.00,-29905.00,1166874.00,-89171.00,119196.00,443870.00,107507.00,585472.00,1135923.00,152922.00,983001.00,355311.00,240887.00,52112.00,-91373.00,2515.00,24291.00,467.00,126412.00,305441.00,310393.00,3047653.00,471527.00,1024638.00,586245.00,501897.00,-63504.00,326467.00,317572.00,8895.00,232753.00,-225054.00,66031.00,282752.00,3203.00,23854.00,-3394.00,84894.00,467.00,700110.00,292158.00,196383.00,-649633.00,0.00,-767112.00,-117478.00,6414.00,15535.00,-6164.00,-2957.00,2364372.00,1888952.00,445454.00,29966.00,2313157.00,791969.00,961263.00,8394.00,11395.00,540136.00,0.00,57629.00,-486552.00,48881238.00,1170821.00,673163.00,402278.00,95380.00,47710417.00,11039.00,806169.00,13633098.00,856422.00,2447098.00,4560940.00,1203709.00,4564929.00,15739046.00,6775289.00,8963757.00,12900940.00,7985007.00,2412208.00,652322.00,37702.00,309406.00,8847.00,1495448.00,2055083.00,2565043.00,48881238.00,50000887.00,6915168.00,10201197.00,5944522.00,3322323.00,934352.00,3874392.00,3768537.00,105855.00,12937253.00,2040021.00,3711997.00,5362097.00,42283.00,275698.00,12951.00,1483359.00,8847.00,13528717.00,2544160.00,-1119649.00
2004,922105.00,139306.00,782799.00,498494.00,422957.00,75537.00,46611.00,237694.00,213095.00,237694.00,1742737.00,1533217.00,179433.00,30086.00,1767335.00,1393992.00,364091.00,316723.00,47368.00,9252.00,0.00,213095.00,119105.00,-6492.00,100480.00,100480.00,84298.00,100480.00,16182.00,37224.00,176530.00,139306.00,47074.00,47074.00,3821633.00,2.00,64089.00,464142.00,61661.00,4474.00,-193560.00,64018.00,527549.00,1884666.00,652928.00,1231738.00,676153.00,300268.00,148503.00,-113796.00,2390.00,43830.00,3067.00,291891.00,268900.00,463683.00,3848041.00,621341.00,843259.00,115766.00,705841.00,21652.00,610622.00,585120.00,25502.00,639566.00,-138321.00,118057.00,288143.00,2505.00,50194.00,-4164.00,320085.00,3067.00,702242.00,431011.00,-26408.00,-375954.00,-1664.00,-300808.00,73482.00,66543.00,61329.00,6591.00,-1376.00,1263331.00,979767.00,233001.00,50563.00,1243223.00,456087.00,543861.00,4027.00,2407.00,236841.00,0.00,86651.00,-205005.00,53973975.00,1277038.00,743297.00,429224.00,104517.00,52696937.00,11041.00,871446.00,14116387.00,929919.00,2448810.00,4383025.00,1271270.00,5083363.00,17638560.00,7428217.00,10210343.00,14840424.00,9265042.00,2793712.00,538526.00,40092.00,403799.00,11914.00,1787339.00,2298394.00,2920685.00,53973975.00,55298629.00,7561940.00,11059304.00,6060288.00,4043012.00,956004.00,4485014.00,4353657.00,131357.00,14583152.00,1901700.00,4286141.00,6194101.00,44788.00,329919.00,11194.00,1803395.00,11914.00,14796182.00,2813037.00,-1324654.00
2005,1034337.00,148873.00,885464.00,535378.00,449396.00,85982.00,49526.00,300560.00,200278.00,300560.00,2154170.00,1922259.00,229009.00,2903.00,2254452.00,1820883.00,425530.00,377872.00,47658.00,8039.00,0.00,200278.00,140519.00,-13379.00,73138.00,73138.00,45414.00,73138.00,27724.00,31082.00,179955.00,148873.00,14332.00,14332.00,3760188.00,-2.00,2331.00,636766.00,192837.00,100299.00,-209462.00,111153.00,441939.00,2057632.00,653118.00,1404514.00,524046.00,241551.00,82213.00,11937.00,1951.00,11547.00,1622.00,173225.00,224263.00,315153.00,3409476.00,623987.00,1047757.00,80424.00,753160.00,214173.00,548752.00,534642.00,14110.00,723814.00,125121.00,78423.00,286040.00,1909.00,13865.00,-1217.00,218051.00,1622.00,642180.00,-177014.00,350712.00,3869.00,-1677.00,-330834.00,-336380.00,72576.00,72090.00,602.00,-116.00,1020715.00,623515.00,366533.00,30666.00,961049.00,265142.00,384412.00,9436.00,1738.00,300321.00,0.00,132241.00,181524.00,58501392.00,1383715.00,824113.00,449904.00,109698.00,57117677.00,11039.00,871028.00,14703006.00,1124481.00,2533380.00,4164575.00,1380218.00,5500352.00,19696192.00,8081335.00,11614857.00,16385185.00,10130109.00,3242458.00,550463.00,42043.00,446012.00,13536.00,1960564.00,2346607.00,3104620.00,58501392.00,59644522.00,8185927.00,12052560.00,6140712.00,4741671.00,1170177.00,5033766.00,4888299.00,145467.00,15996694.00,2026821.00,4629706.00,6864553.00,46697.00,353220.00,11715.00,2050446.00,13536.00,15794117.00,2581458.00,-1143130.00
2006,1127641.00,156783.00,970858.00,579775.00,490820.00,88955.00,52543.00,338541.00,205214.00,338541.00,2747089.00,2444621.00,261581.00,40887.00,2880416.00,2378986.00,488649.00,438611.00,50038.00,12781.00,0.00,205214.00,165657.00,-21093.00,60651.00,60651.00,60651.00,60651.00,0.00,31871.00,188654.00,156783.00,28780.00,28780.00,4559969.00,-2.00,87485.00,1132981.00,232720.00,112874.00,123237.00,126939.00,537211.00,2099774.00,705210.00,1394564.00,440265.00,67067.00,141801.00,1116.00,-42.00,25751.00,1789.00,202783.00,303712.00,495754.00,4297015.00,632630.00,1316709.00,328218.00,792105.00,196386.00,590864.00,584281.00,6583.00,949376.00,311630.00,59977.00,346153.00,181.00,52019.00,-6816.00,184443.00,1789.00,613915.00,193521.00,262954.00,-381657.00,0.00,-615832.00,-234175.00,63776.00,62683.00,761.00,332.00,1984640.00,1498434.00,450528.00,35678.00,2087784.00,716562.00,848998.00,22537.00,4781.00,494906.00,0.00,-39367.00,-360374.00,64556035.00,1484495.00,895870.00,473290.00,115335.00,63071540.00,11037.00,933458.00,15710824.00,1352611.00,2647890.00,4181322.00,1506703.00,6022298.00,21732842.00,8699798.00,13033044.00,18362479.00,11196130.00,3799481.00,605639.00,42001.00,507441.00,15325.00,2196461.00,2460418.00,3860482.00,64556035.00,66059539.00,8818557.00,13339482.00,6468930.00,5507015.00,1363537.00,5621421.00,5469371.00,152050.00,18572178.00,2338451.00,5406245.00,8059704.00,46878.00,427776.00,9680.00,2268119.00,15325.00,16925403.00,2782498.00,-1503504.00
2007,1068793.00,165383.00,903410.00,618202.00,527062.00,91140.00,54746.00,230462.00,110675.00,230462.00,3200789.00,2831922.00,323149.00,45718.00,3320576.00,2754184.00,556866.00,517046.00,39820.00,9526.00,0.00,110675.00,151711.00,7484.00,-48520.00,-48520.00,-48520.00,-48520.00,0.00,46094.00,211477.00,165383.00,-94614.00,-94614.00,5423456.00,0.00,184982.00,1003400.00,-120258.00,74429.00,308211.00,194200.00,546818.00,2703553.00,1571183.00,1132370.00,1111482.00,285700.00,101960.00,342354.00,8252.00,106999.00,3125.00,263092.00,246771.00,173269.00,5270840.00,562039.00,1540373.00,905680.00,746175.00,-111482.00,880849.00,876171.00,4678.00,1504062.00,747309.00,189507.00,376098.00,9093.00,9260.00,3584.00,166086.00,3125.00,586153.00,197364.00,152616.00,-107986.00,0.00,-355215.00,-247230.00,28611.00,33977.00,-4891.00,-475.00,979739.00,704875.00,229106.00,45758.00,-345547.00,-989765.00,478606.00,-56657.00,-634.00,222903.00,0.00,1353897.00,1197391.00,70881498.00,1564828.00,946724.00,492849.00,125255.00,69316670.00,11037.00,1120405.00,16678547.00,1235920.00,2729851.00,4507364.00,1666013.00,6539399.00,24394209.00,10260529.00,14133680.00,20453699.00,12186705.00,4130547.00,947993.00,50253.00,660198.00,18450.00,2459553.00,2594649.00,4064124.00,70881498.00,71187611.00,9380596.00,14990664.00,7374610.00,6363999.00,1252055.00,6502270.00,6345542.00,156728.00,19504044.00,3085760.00,4605987.00,8914408.00,55971.00,380379.00,12630.00,2430459.00,18450.00,17801786.00,3008251.00,-306113.00
2008,851949.00,173886.00,678063.00,612921.00,517918.00,95003.00,55609.00,9534.00,-2060.00,9534.00,2833090.00,2444764.00,338820.00,49506.00,2844683.00,2321646.00,515764.00,492751.00,23013.00,7273.00,0.00,-2060.00,81665.00,45626.00,-129351.00,-129351.00,-68868.00,-129351.00,-60483.00,22310.00,196196.00,173886.00,-91178.00,-91178.00,3773453.00,0.00,1005940.00,674146.00,6162.00,502396.00,667692.00,33977.00,-536081.00,1469399.00,1222426.00,246973.00,762434.00,156841.00,10135.00,306637.00,-5271.00,66442.00,2626.00,225024.00,279180.00,-417646.00,4197437.00,2139896.00,454405.00,768741.00,-188950.00,-125386.00,-160166.00,-166945.00,6779.00,1730928.00,746477.00,678784.00,-58096.00,-4204.00,120705.00,11604.00,233032.00,2626.00,519129.00,-486755.00,-423984.00,927845.00,-599.00,1261251.00,332807.00,55691.00,54188.00,2990.00,-1487.00,-6379185.00,-4965518.00,-1424442.00,10775.00,-7154005.00,-2405099.00,-3067911.00,-157622.00,-13565.00,-1509808.00,0.00,830511.00,1689488.00,69617933.00,1649363.00,1015827.00,498590.00,134946.00,67968570.00,11037.00,2163642.00,17233498.00,1243519.00,3245631.00,5207616.00,1646780.00,5889952.00,25727248.00,11482643.00,14244605.00,14836949.00,7378028.00,2716241.00,1254630.00,44982.00,737415.00,21076.00,2684577.00,4241761.00,3754435.00,69617933.00,68234558.00,11520492.00,15364938.00,8143351.00,6095250.00,1126337.00,6342104.00,6178597.00,163507.00,15590775.00,3832237.00,2879672.00,5788401.00,51767.00,343462.00,10669.00,2663491.00,21076.00,16695993.00,2720256.00,1383375.00
2009,1015370.00,177393.00,837977.00,549013.00,466229.00,82784.00,64151.00,224813.00,290051.00,224813.00,2203831.00,1877419.00,275691.00,50721.00,2138593.00,1679711.00,455140.00,380789.00,74351.00,3742.00,0.00,290051.00,91600.00,26522.00,171930.00,171930.00,293851.00,171930.00,-121921.00,-10534.00,166860.00,177393.00,304384.00,304384.00,-1240637.00,0.00,196562.00,846268.00,-390767.00,451604.00,700293.00,30527.00,54611.00,-2951936.00,-2899284.00,-52652.00,68218.00,134223.00,146497.00,-193613.00,0.00,40669.00,4564.00,-64122.00,508384.00,91867.00,-1177738.00,228213.00,-974093.00,-60053.00,-465947.00,-448093.00,-1644313.00,-1656070.00,11757.00,277077.00,-516344.00,303765.00,533388.00,0.00,45668.00,561.00,-94525.00,4564.00,642330.00,293048.00,-62899.00,-784644.00,0.00,-417360.00,367283.00,-61873.00,-50219.00,-5564.00,-6090.00,2839600.00,2099838.00,685590.00,54172.00,2615529.00,399191.00,1474940.00,17861.00,3572.00,720569.00,-604.00,162198.00,-328596.00,71066105.00,1586304.00,971342.00,470301.00,144661.00,69479801.00,11037.00,2373735.00,18233761.00,852643.00,3675133.00,5940430.00,1724528.00,6041027.00,22487100.00,8530796.00,13956304.00,18420940.00,9612089.00,3548327.00,1061017.00,44982.00,832256.00,25640.00,3296628.00,4154617.00,3798611.00,71066105.00,70011326.00,11748689.00,14594522.00,8083298.00,5832980.00,678244.00,4768441.00,4593177.00,175264.00,18438985.00,3315893.00,3582628.00,7796729.00,51767.00,406991.00,14802.00,3244535.00,25640.00,18109790.00,2350899.00,1054779.00
2010,1042783.00,176663.00,866120.00,574300.00,486408.00,87892.00,64766.00,227054.00,376829.00,227054.00,2126731.00,1749532.00,308910.00,68289.00,1976956.00,1505216.00,460843.00,375971.00,84872.00,10897.00,0.00,376829.00,149986.00,18396.00,208448.00,208448.00,249929.00,208448.00,-41481.00,-13898.00,162766.00,176663.00,263827.00,263827.00,82865.00,0.00,-154947.00,853845.00,-93368.00,573524.00,47661.00,31360.00,294668.00,-479876.00,-188841.00,-291035.00,-52508.00,75785.00,113892.00,-181556.00,-3247.00,-2262.00,884.00,-56004.00,284858.00,-368507.00,97487.00,324416.00,-679792.00,-39534.00,-538035.00,-102223.00,-59627.00,-60454.00,827.00,93351.00,-512379.00,194376.00,395869.00,-2746.00,48483.00,878.00,-32014.00,884.00,687858.00,-268719.00,-14622.00,-655347.00,0.00,-376899.00,278449.00,-2697.00,-344.00,1217.00,-3570.00,1787250.00,1362963.00,383624.00,40663.00,1878876.00,563390.00,837251.00,34148.00,264.00,445843.00,-2020.00,-94323.00,-499741.00,72448000.00,1580158.00,963937.00,471919.00,144302.00,70867842.00,11037.00,2264502.00,18548797.00,763578.00,4249261.00,5538280.00,1747757.00,6249921.00,21765587.00,8416349.00,13349238.00,20155682.00,11050837.00,4045844.00,879461.00,41735.00,870657.00,26524.00,3240624.00,4516832.00,3605405.00,72448000.00,71892962.00,12068979.00,13544750.00,7581337.00,5387392.00,576021.00,4720730.00,4544639.00,176091.00,19928261.00,2803514.00,4340394.00,9029849.00,49021.00,489622.00,15944.00,3173393.00,26524.00,19781601.00,1848641.00,555038.00
