1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,1252.00,5.00,0.00,0.00,0.00,298.00,0.00,-25.00,15.00,-126.00,434.00,87.00,51.00,0.00,811.00,811.00,0.00,1252.00
1963:Q1,1256.00,4.00,0.00,0.00,0.00,417.00,0.00,100.00,-8.00,-122.00,447.00,89.00,50.00,0.00,696.00,696.00,0.00,1256.00
1963:Q2,1301.00,2.00,0.00,0.00,0.00,631.00,0.00,275.00,-6.00,-129.00,491.00,89.00,49.00,0.00,530.00,530.00,0.00,1301.00
1963:Q3,1344.00,1.00,0.00,0.00,0.00,475.00,0.00,75.00,-30.00,-127.00,557.00,92.00,52.00,0.00,724.00,724.00,0.00,1344.00
1963:Q4,1369.00,-1.00,0.00,0.00,0.00,452.00,0.00,-40.00,-4.00,-122.00,618.00,100.00,58.00,0.00,760.00,760.00,0.00,1369.00
1964:Q1,1377.00,0.00,0.00,0.00,0.00,716.00,0.00,215.00,-6.00,-110.00,617.00,104.00,62.00,0.00,495.00,495.00,0.00,1377.00
1964:Q2,1403.00,0.00,0.00,0.00,0.00,727.00,0.00,250.00,34.00,-105.00,548.00,106.00,66.00,0.00,504.00,504.00,0.00,1403.00
1964:Q3,1451.00,0.00,0.00,0.00,0.00,494.00,0.00,91.00,-6.00,-98.00,507.00,115.00,70.00,0.00,772.00,772.00,0.00,1451.00
1964:Q4,1492.00,-2.00,0.00,0.00,0.00,374.00,0.00,-36.00,12.00,-91.00,489.00,133.00,75.00,0.00,912.00,912.00,0.00,1492.00
1965:Q1,1503.00,0.00,0.00,0.00,0.00,799.00,0.00,387.00,-5.00,-80.00,497.00,151.00,80.00,0.00,473.00,473.00,0.00,1503.00
1965:Q2,1566.00,0.00,0.00,0.00,0.00,635.00,0.00,173.00,5.00,-72.00,529.00,168.00,83.00,0.00,680.00,680.00,0.00,1566.00
1965:Q3,1629.00,1.00,0.00,0.00,0.00,407.00,0.00,-239.00,104.00,-64.00,606.00,178.00,90.00,0.00,953.00,953.00,0.00,1629.00
1965:Q4,1673.00,5.00,0.00,0.00,0.00,419.00,0.00,-198.00,7.00,-59.00,669.00,179.00,99.00,0.00,971.00,971.00,0.00,1673.00
1966:Q1,1674.00,8.00,0.00,0.00,0.00,842.00,0.00,159.00,10.00,-46.00,719.00,190.00,110.00,0.00,524.00,524.00,0.00,1674.00
1966:Q2,1724.00,10.00,0.00,0.00,0.00,584.00,0.00,-266.00,120.00,-36.00,766.00,207.00,119.00,0.00,804.00,804.00,0.00,1724.00
1966:Q3,1768.00,14.00,0.00,0.00,0.00,896.00,0.00,120.00,49.00,-30.00,757.00,201.00,127.00,0.00,530.00,530.00,0.00,1768.00
1966:Q4,1789.00,19.00,0.00,0.00,0.00,595.00,0.00,-51.00,-19.00,-32.00,697.00,172.00,132.00,0.00,871.00,871.00,0.00,1789.00
1967:Q1,1777.00,39.00,0.00,0.00,0.00,488.00,0.00,-315.00,17.00,-20.00,806.00,165.00,145.00,0.00,940.00,940.00,0.00,1777.00
1967:Q2,1840.00,8.00,17.00,0.00,0.00,675.00,0.00,-154.00,75.00,-19.00,773.00,166.00,144.00,0.00,830.00,830.00,0.00,1840.00
1967:Q3,1931.00,-34.00,52.00,0.00,0.00,733.00,0.00,-338.00,15.00,-18.00,1074.00,78.00,190.00,0.00,912.00,912.00,0.00,1931.00
1967:Q4,2028.00,-78.00,92.00,0.00,0.00,949.00,0.00,-143.00,26.00,-18.00,1084.00,78.00,191.00,0.00,796.00,796.00,0.00,2028.00
1968:Q1,2117.00,62.00,-53.00,0.00,0.00,541.00,0.00,54.00,-27.00,31.00,483.00,145.00,270.00,0.00,1152.00,1152.00,0.00,2117.00
1968:Q2,2232.00,38.00,-33.00,0.00,0.00,781.00,0.00,-99.00,270.00,-65.00,675.00,121.00,293.00,0.00,1032.00,1032.00,0.00,2232.00
1968:Q3,2366.00,26.00,71.00,0.00,0.00,759.00,0.00,-97.00,110.00,12.00,734.00,6.00,321.00,0.00,1183.00,1183.00,0.00,2366.00
1968:Q4,2463.00,-52.00,84.00,0.00,0.00,920.00,0.00,-102.00,272.00,-2.00,752.00,87.00,433.00,0.00,991.00,991.00,0.00,2463.00
1969:Q1,2494.00,120.00,-178.00,0.00,0.00,796.00,0.00,-71.00,27.00,4.00,836.00,64.00,302.00,0.00,1390.00,1390.00,0.00,2494.00
1969:Q2,2597.00,-182.00,91.00,0.00,0.00,948.00,0.00,-35.00,28.00,-18.00,973.00,49.00,530.00,0.00,1161.00,1161.00,0.00,2597.00
1969:Q3,2694.00,14.00,68.00,0.00,0.00,1100.00,0.00,-119.00,87.00,-20.00,1152.00,75.00,430.00,0.00,1007.00,1007.00,0.00,2694.00
1969:Q4,2759.00,-20.00,-41.00,0.00,0.00,771.00,0.00,-259.00,14.00,-17.00,1033.00,25.00,526.00,0.00,1498.00,1498.00,0.00,2759.00
1970:Q1,2767.00,-73.00,-32.00,0.00,0.00,960.00,0.00,-102.00,26.00,-23.00,1059.00,75.00,474.00,0.00,1363.00,1363.00,0.00,2767.00
1970:Q2,2877.00,70.00,71.00,0.00,0.00,830.00,0.00,-156.00,17.00,-149.00,1118.00,158.00,561.00,0.00,1187.00,1187.00,0.00,2877.00
1970:Q3,3008.00,-32.00,-42.00,0.00,0.00,1333.00,0.00,95.00,-33.00,-26.00,1297.00,-19.00,380.00,0.00,1388.00,1388.00,0.00,3008.00
1970:Q4,3131.00,114.00,46.00,0.00,0.00,666.00,0.00,-170.00,-85.00,-101.00,1022.00,131.00,722.00,0.00,1452.00,1452.00,0.00,3131.00
1971:Q1,3202.00,-36.00,20.00,0.00,0.00,926.00,0.00,-224.00,-77.00,8.00,1219.00,99.00,692.00,0.00,1501.00,1501.00,0.00,3202.00
1971:Q2,3397.00,68.00,-53.00,0.00,0.00,758.00,0.00,-454.00,-14.00,2.00,1224.00,151.00,763.00,0.00,1710.00,1710.00,0.00,3397.00
1971:Q3,3613.00,30.00,-6.00,0.00,0.00,639.00,0.00,-55.00,48.00,8.00,638.00,8.00,961.00,0.00,1981.00,1981.00,0.00,3613.00
1971:Q4,3800.00,98.00,-26.00,0.00,0.00,583.00,0.00,-475.00,96.00,102.00,860.00,110.00,769.00,0.00,2266.00,2266.00,0.00,3800.00
1972:Q1,3931.00,155.00,-109.00,0.00,0.00,1060.00,0.00,-263.00,124.00,77.00,1122.00,21.00,513.00,0.00,2291.00,2291.00,0.00,3931.00
1972:Q2,4071.00,44.00,-6.00,0.00,0.00,1060.00,0.00,90.00,132.00,237.00,601.00,-52.00,904.00,0.00,2121.00,2121.00,0.00,4071.00
1972:Q3,4208.00,-24.00,32.00,0.00,0.00,1077.00,0.00,-80.00,144.00,-343.00,1356.00,83.00,1110.00,0.00,1930.00,1930.00,0.00,4208.00
1972:Q4,4254.00,44.00,126.00,0.00,0.00,1173.00,0.00,-46.00,161.00,-94.00,1152.00,130.00,1150.00,0.00,1631.00,1631.00,0.00,4254.00
1973:Q1,4182.00,-155.00,113.00,0.00,0.00,1227.00,0.00,90.00,179.00,-407.00,1365.00,162.00,1347.00,0.00,1488.00,1488.00,0.00,4182.00
1973:Q2,4250.00,52.00,125.00,0.00,0.00,1286.00,0.00,-227.00,196.00,-86.00,1403.00,189.00,840.00,0.00,1758.00,1758.00,0.00,4250.00
1973:Q3,4341.00,-64.00,231.00,0.00,0.00,1474.00,0.00,-432.00,360.00,114.00,1432.00,67.00,561.00,0.00,2072.00,2072.00,0.00,4341.00
1973:Q4,4423.00,-56.00,140.00,0.00,0.00,1025.00,0.00,-520.00,494.00,41.00,1010.00,253.00,663.00,0.00,2398.00,2398.00,0.00,4423.00
1974:Q1,4443.00,-185.00,87.00,0.00,0.00,1265.00,0.00,-668.00,483.00,154.00,1296.00,136.00,735.00,0.00,2405.00,2405.00,0.00,4443.00
1974:Q2,4648.00,-54.00,296.00,0.00,0.00,1673.00,0.00,46.00,328.00,-401.00,1700.00,53.00,538.00,0.00,2142.00,2142.00,0.00,4648.00
1974:Q3,4896.00,-35.00,190.00,0.00,0.00,1850.00,0.00,-371.00,256.00,-196.00,2161.00,93.00,264.00,0.00,2534.00,2534.00,0.00,4896.00
1974:Q4,5112.00,-16.00,170.00,0.00,0.00,926.00,0.00,70.00,182.00,-265.00,939.00,279.00,1032.00,0.00,2721.00,2721.00,0.00,5112.00
1975:Q1,5186.00,63.00,268.00,0.00,0.00,1808.00,0.00,-26.00,136.00,-194.00,1892.00,3.00,407.00,0.00,2637.00,2637.00,0.00,5186.00
1975:Q2,5366.00,15.00,-123.00,0.00,0.00,2380.00,0.00,656.00,117.00,-61.00,1668.00,105.00,499.00,0.00,2490.00,2490.00,0.00,5366.00
1975:Q3,5446.00,-36.00,-346.00,0.00,0.00,1876.00,0.00,333.00,209.00,178.00,1156.00,65.00,727.00,0.00,3160.00,3160.00,0.00,5446.00
1975:Q4,5373.00,-21.00,-171.00,0.00,0.00,2966.00,0.00,-8.00,209.00,1034.00,1731.00,-333.00,755.00,0.00,2177.00,2177.00,0.00,5373.00
1976:Q1,5214.00,-10.00,-106.00,0.00,0.00,2342.00,0.00,518.00,282.00,253.00,1289.00,1.00,532.00,0.00,2455.00,2455.00,0.00,5214.00
1976:Q2,5154.00,20.00,68.00,0.00,0.00,3631.00,0.00,574.00,319.00,957.00,1781.00,80.00,829.00,0.00,526.00,526.00,0.00,5154.00
1976:Q3,5252.00,-31.00,-78.00,0.00,0.00,2281.00,0.00,268.00,420.00,233.00,1360.00,2.00,824.00,0.00,2254.00,2254.00,0.00,5252.00
1976:Q4,5405.00,12.00,93.00,0.00,0.00,991.00,0.00,157.00,561.00,-23.00,296.00,107.00,931.00,0.00,3271.00,3271.00,0.00,5405.00
1977:Q1,5494.00,-30.00,-50.00,0.00,0.00,1500.00,0.00,655.00,1576.00,-488.00,-243.00,-48.00,808.00,0.00,3314.00,3314.00,0.00,5494.00
1977:Q2,5769.00,64.00,303.00,0.00,0.00,3081.00,0.00,1856.00,207.00,756.00,262.00,180.00,808.00,0.00,1333.00,1333.00,0.00,5769.00
1977:Q3,6004.00,20.00,82.00,0.00,0.00,3255.00,0.00,189.00,220.00,-72.00,2918.00,-242.00,1022.00,0.00,1867.00,1867.00,0.00,6004.00
1977:Q4,6121.00,-40.00,-67.00,0.00,0.00,3380.00,0.00,3.00,746.00,-12.00,2643.00,419.00,1040.00,0.00,1389.00,1389.00,0.00,6121.00
1978:Q1,6076.00,52.00,342.00,0.00,0.00,3289.00,0.00,864.00,1383.00,-158.00,1200.00,41.00,641.00,0.00,1711.00,1711.00,0.00,6076.00
1978:Q2,6240.00,55.00,285.00,0.00,0.00,4486.00,0.00,1471.00,383.00,346.00,2286.00,164.00,632.00,0.00,618.00,618.00,0.00,6240.00
1978:Q3,6449.00,32.00,393.00,0.00,0.00,3455.00,0.00,448.00,570.00,-64.00,2501.00,161.00,716.00,0.00,1692.00,1692.00,0.00,6449.00
1978:Q4,6633.00,-34.00,-82.00,0.00,0.00,5004.00,0.00,-89.00,2044.00,283.00,2766.00,179.00,640.00,0.00,926.00,926.00,0.00,6633.00
1979:Q1,6679.00,74.00,393.00,0.00,0.00,1962.00,0.00,1223.00,467.00,122.00,150.00,211.00,268.00,0.00,3771.00,3771.00,0.00,6679.00
1979:Q2,6925.00,20.00,97.00,0.00,0.00,4382.00,0.00,2650.00,64.00,-206.00,1874.00,220.00,747.00,0.00,1459.00,1459.00,0.00,6925.00
1979:Q3,7126.00,5.00,211.00,0.00,0.00,972.00,0.00,-40.00,-431.00,13.00,1430.00,305.00,2015.00,0.00,3618.00,3618.00,0.00,7126.00
1979:Q4,7200.00,82.00,403.00,0.00,0.00,2230.00,0.00,1419.00,1295.00,30.00,-514.00,282.00,1118.00,0.00,3085.00,3085.00,0.00,7200.00
1980:Q1,7176.00,50.00,111.00,0.00,0.00,5442.00,0.00,1453.00,621.00,191.00,3177.00,450.00,896.00,0.00,227.00,209.00,18.00,7177.00
1980:Q2,7246.00,48.00,-13.00,0.00,0.00,7475.00,0.00,1423.00,1802.00,-76.00,4326.00,241.00,879.00,0.00,-1384.00,-1401.00,17.00,7247.00
1980:Q3,7445.00,-75.00,3.00,0.00,0.00,3769.00,0.00,2417.00,269.00,-104.00,1187.00,302.00,1303.00,0.00,2143.00,2125.00,18.00,7446.00
1980:Q4,7615.00,14.00,125.00,0.00,0.00,2643.00,0.00,928.00,1031.00,138.00,546.00,293.00,2254.00,0.00,2286.00,2269.00,17.00,7616.00
1981:Q1,7635.00,181.00,423.00,0.00,0.00,3193.00,0.00,1505.00,1118.00,-139.00,709.00,276.00,1108.00,0.00,2454.00,2436.00,18.00,7636.00
1981:Q2,7896.00,-68.00,-346.00,0.00,0.00,6782.00,0.00,2099.00,747.00,75.00,3861.00,436.00,2132.00,0.00,-1040.00,-1057.00,17.00,7897.00
1981:Q3,8123.00,27.00,535.00,0.00,0.00,3687.00,0.00,684.00,1173.00,-136.00,1966.00,598.00,2675.00,0.00,601.00,583.00,18.00,8124.00
1981:Q4,8230.00,-119.00,-483.00,0.00,0.00,6503.00,0.00,2349.00,2129.00,-3.00,2028.00,319.00,1155.00,0.00,855.00,837.00,18.00,8231.00
1982:Q1,8160.00,28.00,159.00,0.00,0.00,5986.00,0.00,1981.00,2987.00,-205.00,1223.00,471.00,1488.00,0.00,28.00,-2.00,30.00,8161.00
1982:Q2,8411.00,108.00,638.00,0.00,0.00,6139.00,0.00,2872.00,656.00,197.00,2414.00,236.00,553.00,0.00,737.00,706.00,31.00,8412.00
1982:Q3,8756.00,76.00,473.00,0.00,0.00,5709.00,0.00,3432.00,3446.00,-298.00,-871.00,441.00,-761.00,0.00,2818.00,2787.00,31.00,8757.00
1982:Q4,9088.00,145.00,909.00,0.00,0.00,2636.00,0.00,1049.00,2971.00,-419.00,-965.00,106.00,4746.00,0.00,546.00,515.00,31.00,9089.00
1983:Q1,9228.00,221.00,1358.00,0.00,164.00,3147.00,164.00,2914.00,1029.00,-768.00,-192.00,210.00,4911.00,0.00,-783.00,-818.00,35.00,9229.00
1983:Q2,9619.00,24.00,407.00,0.00,242.00,4464.00,242.00,3860.00,817.00,120.00,-575.00,116.00,3315.00,0.00,1051.00,999.00,52.00,9620.00
1983:Q3,9906.00,-65.00,-452.00,0.00,289.00,-1713.00,289.00,2606.00,250.00,-60.00,-4798.00,50.00,6421.00,0.00,5376.00,5305.00,71.00,9907.00
1983:Q4,9972.00,239.00,1480.00,0.00,305.00,1353.00,305.00,2632.00,2846.00,-423.00,-4007.00,502.00,5341.00,0.00,752.00,665.00,87.00,9973.00
1984:Q1,9879.00,223.00,1319.00,0.00,321.00,6559.00,321.00,5651.00,940.00,151.00,-504.00,75.00,1780.00,0.00,-398.00,-363.00,-35.00,9881.00
1984:Q2,9915.00,167.00,989.00,0.00,336.00,10623.00,336.00,4616.00,-1391.00,113.00,6949.00,209.00,458.00,0.00,-2867.00,-2832.00,-35.00,9917.00
1984:Q3,10147.00,213.00,1634.00,0.00,383.00,7817.00,383.00,5154.00,691.00,-196.00,1785.00,26.00,2769.00,0.00,-2696.00,-2679.00,-17.00,10149.00
1984:Q4,10368.00,-4.00,-767.00,0.00,460.00,8743.00,460.00,3583.00,3816.00,-534.00,1418.00,294.00,2266.00,0.00,-625.00,-572.00,-53.00,10370.00
1985:Q1,10407.00,340.00,2125.00,0.00,539.00,-678.00,539.00,5908.00,187.00,16.00,-7328.00,64.00,5267.00,0.00,2750.00,2733.00,17.00,10410.00
1985:Q2,10791.00,547.00,529.00,0.00,617.00,5560.00,617.00,3368.00,-2654.00,-272.00,4501.00,26.00,9868.00,0.00,-6356.00,-6374.00,18.00,10794.00
1985:Q3,11142.00,-390.00,-465.00,0.00,664.00,8518.00,664.00,2720.00,715.00,-53.00,4472.00,-24.00,4096.00,0.00,-1257.00,-1293.00,36.00,11145.00
1985:Q4,11325.00,-145.00,-822.00,1427.00,680.00,5742.00,680.00,5473.00,-3432.00,-97.00,3118.00,-12.00,9339.00,0.00,-4884.00,-4934.00,50.00,11328.00
1986:Q1,11239.00,-51.00,745.00,67.00,714.00,6042.00,714.00,9645.00,-3223.00,-190.00,-904.00,91.00,6310.00,2.00,-2681.00,-2780.00,99.00,11243.00
1986:Q2,11547.00,-100.00,111.00,-14.00,766.00,7434.00,766.00,3479.00,1123.00,258.00,1808.00,-203.00,4920.00,-663.00,-705.00,-796.00,91.00,11550.00
1986:Q3,11914.00,299.00,-2588.00,107.00,875.00,12788.00,875.00,6097.00,1881.00,-161.00,4096.00,167.00,6459.00,-852.00,-5341.00,-5332.00,-9.00,11917.00
1986:Q4,12204.00,583.00,-1704.00,138.00,915.00,18217.00,915.00,10725.00,242.00,-326.00,6661.00,186.00,6350.00,-397.00,-12084.00,-12115.00,31.00,12207.00
1987:Q1,12220.00,627.00,-2488.00,32.00,941.00,11563.00,941.00,7486.00,1770.00,-156.00,1522.00,-217.00,8554.00,1675.00,-8468.00,-8536.00,68.00,12224.00
1987:Q2,12593.00,592.00,-1650.00,128.00,959.00,6084.00,959.00,6688.00,1394.00,53.00,-3010.00,-105.00,11386.00,1541.00,-6342.00,-6337.00,-5.00,12597.00
