1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q1,199694.00,384.00,0.00,6940.00,950.00,267.00,3.00,680.00,0.00,0.00,185935.00,79475.00,0.00,30300.00,49175.00,103049.00,58050.00,0.00,58050.00,6724.00,0.00,6724.00,38275.00,3411.00,5485.00,194831.00,0.00,163383.00,0.00,163383.00,3395.00,28053.00
1981:Q2,210453.00,384.00,0.00,6767.00,2897.00,300.00,1734.00,863.00,0.00,0.00,196881.00,87380.00,0.00,31285.00,56095.00,105852.00,58624.00,0.00,58624.00,6705.00,0.00,6705.00,40523.00,3649.00,3524.00,205243.00,0.00,173398.00,0.00,173398.00,3400.00,28445.00
1981:Q3,227397.00,450.00,0.00,9211.00,2975.00,402.00,1828.00,745.00,0.00,0.00,210825.00,96397.00,0.00,32050.00,64347.00,110097.00,61015.00,0.00,61015.00,6717.00,0.00,6717.00,42365.00,4331.00,3936.00,222054.00,0.00,186719.00,0.00,186719.00,4300.00,31035.00
1981:Q4,232638.00,710.00,0.00,9476.00,3570.00,686.00,1901.00,983.00,0.00,0.00,214135.00,95898.00,0.00,30704.00,65194.00,113411.00,63990.00,0.00,63990.00,5482.00,0.00,5482.00,43939.00,4826.00,4747.00,227415.00,0.00,190431.00,0.00,190431.00,4600.00,32384.00
1982:Q1,235842.00,521.00,0.00,9480.00,3178.00,432.00,1871.00,875.00,0.00,0.00,217693.00,96493.00,0.00,30331.00,66162.00,116158.00,65298.00,0.00,65298.00,5459.00,0.00,5459.00,45401.00,5042.00,4970.00,230426.00,0.00,192214.00,0.00,192214.00,5000.00,33212.00
1982:Q2,245706.00,491.00,0.00,10939.00,3671.00,486.00,2102.00,1083.00,0.00,0.00,225798.00,100419.00,0.00,31021.00,69398.00,119961.00,67837.00,0.00,67837.00,5434.00,0.00,5434.00,46690.00,5418.00,4807.00,239789.00,0.00,201009.00,0.00,201009.00,5000.00,33780.00
1982:Q3,250517.00,427.00,0.00,11661.00,7427.00,246.00,6133.00,1048.00,0.00,0.00,228761.00,98242.00,0.00,30600.00,67642.00,124500.00,71692.00,0.00,71692.00,5396.00,0.00,5396.00,47412.00,6019.00,2241.00,244219.00,0.00,207102.00,0.00,207102.00,5000.00,32117.00
1982:Q4,254793.00,560.00,0.00,14855.00,4735.00,404.00,3402.00,929.00,0.00,0.00,228975.00,95062.00,0.00,29061.00,66001.00,127500.00,74316.00,0.00,74316.00,5361.00,0.00,5361.00,47823.00,6413.00,5668.00,248414.00,0.00,205373.00,0.00,205373.00,5000.00,38041.00
1983:Q1,251929.00,499.00,0.00,15568.00,4656.00,658.00,3407.00,460.00,131.00,0.00,224972.00,89491.00,475.00,29000.00,60016.00,129691.00,76228.00,0.00,76228.00,5351.00,0.00,5351.00,48112.00,5790.00,6234.00,245289.00,0.00,202193.00,0.00,202193.00,5000.00,38096.00
1983:Q2,252710.00,356.00,0.00,14223.00,4398.00,304.00,3198.00,556.00,340.00,0.00,227116.00,89202.00,1251.00,29158.00,58793.00,132551.00,78617.00,0.00,78617.00,5389.00,0.00,5389.00,48545.00,5363.00,6617.00,245853.00,0.00,202669.00,0.00,202669.00,5000.00,38184.00
1983:Q3,253972.00,623.00,0.00,13604.00,5268.00,520.00,3864.00,320.00,564.00,0.00,228043.00,89063.00,2051.00,29150.00,57862.00,133975.00,79822.00,0.00,79822.00,5293.00,0.00,5293.00,48860.00,5005.00,6434.00,246859.00,0.00,203580.00,0.00,203580.00,5000.00,38279.00
1983:Q4,256520.00,765.00,0.00,12569.00,3846.00,783.00,1824.00,497.00,742.00,0.00,232592.00,90113.00,2596.00,28564.00,58953.00,137898.00,83685.00,0.00,83685.00,5284.00,0.00,5284.00,48929.00,4581.00,6748.00,249577.00,0.00,206780.00,0.00,206780.00,5000.00,37797.00
1984:Q1,262030.00,764.00,0.00,13279.00,4257.00,754.00,2412.00,205.00,886.00,0.00,236014.00,89731.00,2923.00,29200.00,57608.00,141926.00,87569.00,0.00,87569.00,5336.00,0.00,5336.00,49021.00,4357.00,7716.00,254855.00,0.00,212323.00,0.00,212323.00,5000.00,37532.00
1984:Q2,273983.00,663.00,0.00,12746.00,5104.00,619.00,3048.00,426.00,1011.00,0.00,247376.00,97760.00,3069.00,28832.00,65859.00,144588.00,89128.00,0.00,89128.00,6157.00,0.00,6157.00,49303.00,5028.00,8094.00,266754.00,0.00,221368.00,0.00,221368.00,5000.00,40386.00
1984:Q3,288762.00,952.00,0.00,13171.00,8742.00,452.00,6411.00,755.00,1124.00,0.00,256945.00,105110.00,3165.00,28940.00,73005.00,146406.00,90598.00,0.00,90598.00,6281.00,0.00,6281.00,49527.00,5429.00,8952.00,281362.00,0.00,233824.00,0.00,233824.00,5000.00,42538.00
1984:Q4,297722.00,1346.00,0.00,20912.00,5347.00,683.00,2707.00,725.00,1232.00,0.00,260588.00,104892.00,3342.00,26929.00,74621.00,150123.00,94426.00,0.00,94426.00,6510.00,0.00,6510.00,49187.00,5573.00,9529.00,290245.00,0.00,237210.00,0.00,237210.00,5000.00,48035.00
1985:Q1,301030.00,944.00,0.00,18115.00,7435.00,526.00,5333.00,250.00,1326.00,0.00,265132.00,104114.00,3573.00,25850.00,74691.00,155376.00,99584.00,0.00,99584.00,6752.00,0.00,6752.00,49040.00,5642.00,9404.00,293407.00,0.00,241132.00,0.00,241132.00,5000.00,47275.00
