1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,118672.00,85.00,26022.00,900.00,0.00,0.00,19467.00,214.00,18232.00,0.00,1021.00,6697.00,32.00,6665.00,0.00,47561.00,15424.00,2515.00,1785.00,3.00,0.00,728.00,144369.00,47147.00,347.00,0.00,46800.00,41191.00,23000.00,4430.00,13761.00,32302.00,17399.00,2996.00,3334.00,182.00,28726.00,-25574.00,129274.00,46474.00,77477.00,59.98,31.44
1953:Q4,118717.00,114.00,26704.00,900.00,0.00,0.00,20449.00,204.00,19240.00,0.00,1005.00,7341.00,32.00,7309.00,0.00,45021.00,15735.00,2452.00,1812.00,3.00,0.00,638.00,146413.00,48414.00,402.00,0.00,48012.00,40838.00,22417.00,4279.00,14142.00,32861.00,17986.00,3066.00,3248.00,191.00,29507.00,-26450.00,144082.00,48167.00,77945.00,61.80,30.36
1954:Q1,114446.00,115.00,23864.00,950.00,0.00,0.00,19162.00,312.00,17887.00,0.00,963.00,6453.00,32.00,6421.00,0.00,45279.00,16031.00,2592.00,1835.00,3.00,0.00,754.00,140892.00,49314.00,525.00,0.00,48789.00,40852.00,22094.00,4340.00,14419.00,30221.00,14340.00,3135.00,3031.00,199.00,30155.00,-27323.00,156255.00,44091.00,71519.00,61.65,29.90
1954:Q2,113917.00,128.00,25514.00,1000.00,0.00,0.00,16134.00,338.00,14874.00,0.00,922.00,6862.00,32.00,6830.00,0.00,45273.00,16440.00,2566.00,1851.00,3.00,0.00,712.00,138375.00,50208.00,484.00,0.00,49724.00,39944.00,21445.00,4213.00,14286.00,30271.00,11324.00,3226.00,3402.00,205.00,30813.00,-27616.00,172550.00,42776.00,67737.00,63.15,29.00
1954:Q3,119463.00,150.00,26922.00,1050.00,0.00,0.00,17663.00,300.00,16366.00,0.00,997.00,6790.00,32.00,6758.00,0.00,47592.00,16649.00,2647.00,1868.00,3.00,0.00,776.00,142959.00,51583.00,584.00,0.00,50999.00,39584.00,21273.00,4095.00,14216.00,31599.00,13163.00,3313.00,3718.00,213.00,31335.00,-27830.00,191985.00,45785.00,70713.00,64.75,28.47
1954:Q4,124226.00,158.00,28491.00,1100.00,0.00,0.00,18786.00,291.00,17523.00,0.00,972.00,7687.00,33.00,7654.00,0.00,48406.00,17036.00,2562.00,1895.00,3.00,0.00,664.00,149630.00,52078.00,531.00,0.00,51547.00,40765.00,21761.00,4368.00,14636.00,34900.00,14767.00,3300.00,3820.00,224.00,31629.00,-28033.00,194840.00,48535.00,76327.00,63.59,28.71
1955:Q1,124951.00,147.00,26982.00,1075.00,0.00,0.00,19039.00,281.00,17543.00,150.00,1065.00,6834.00,36.00,6798.00,0.00,50806.00,17331.00,2737.00,1929.00,3.00,0.00,805.00,147900.00,52555.00,500.00,0.00,52055.00,41165.00,22121.00,4109.00,14935.00,34158.00,12936.00,3395.00,3691.00,237.00,31873.00,-28419.00,202122.00,47243.00,73824.00,63.99,28.52
1955:Q2,127998.00,127.00,27931.00,1050.00,0.00,0.00,18399.00,352.00,16788.00,200.00,1059.00,7398.00,40.00,7358.00,0.00,52383.00,17837.00,2873.00,1964.00,4.00,0.00,905.00,150951.00,53159.00,380.00,0.00,52779.00,42228.00,22866.00,4234.00,15128.00,35783.00,12026.00,3503.00,4253.00,259.00,31672.00,-27678.00,225533.00,47507.00,75289.00,63.10,28.81
1955:Q3,135347.00,123.00,28481.00,1025.00,0.00,0.00,20323.00,245.00,18619.00,250.00,1209.00,7477.00,44.00,7433.00,0.00,56754.00,18200.00,2963.00,2008.00,4.00,0.00,951.00,159936.00,53624.00,371.00,0.00,53253.00,43249.00,23814.00,4080.00,15355.00,39758.00,15248.00,3588.00,4470.00,280.00,31542.00,-27352.00,240995.00,49952.00,83270.00,59.99,29.18
1955:Q4,141621.00,129.00,29453.00,1000.00,0.00,0.00,23017.00,217.00,21281.00,300.00,1219.00,8385.00,47.00,8338.00,0.00,58009.00,18720.00,2908.00,2067.00,6.00,0.00,836.00,171693.00,54926.00,362.00,0.00,54564.00,46290.00,25662.00,4433.00,16195.00,43953.00,18430.00,3616.00,4478.00,295.00,31689.00,-27506.00,244222.00,53599.00,92840.00,57.73,30.09
1956:Q1,137587.00,95.00,26321.00,1000.00,0.00,0.00,20868.00,171.00,18878.00,325.00,1494.00,7505.00,49.00,7456.00,0.00,59131.00,19286.00,3381.00,2142.00,8.00,0.00,1231.00,168489.00,55348.00,362.00,0.00,54986.00,48256.00,27113.00,4715.00,16428.00,42074.00,15133.00,3723.00,3955.00,311.00,31724.00,-28080.00,262345.00,48284.00,89397.00,54.01,31.07
1956:Q2,137512.00,141.00,27160.00,1000.00,0.00,0.00,17675.00,325.00,15667.00,350.00,1333.00,7910.00,50.00,7860.00,0.00,60287.00,19961.00,3378.00,2233.00,10.00,0.00,1135.00,170019.00,56235.00,289.00,0.00,55946.00,49746.00,28607.00,4609.00,16531.00,43813.00,12175.00,3819.00,4231.00,317.00,32423.00,-28509.00,252704.00,45976.00,89493.00,51.37,31.61
1956:Q3,142110.00,119.00,27458.00,1000.00,0.00,0.00,17616.00,371.00,15575.00,375.00,1295.00,7936.00,51.00,7885.00,0.00,63778.00,20799.00,3404.00,2330.00,14.00,0.00,1060.00,175780.00,57414.00,401.00,0.00,57013.00,50343.00,29331.00,4398.00,16614.00,45517.00,14259.00,3902.00,4346.00,324.00,33167.00,-29145.00,246833.00,46193.00,93906.00,49.19,31.67
1956:Q4,146664.00,138.00,29168.00,1000.00,0.00,0.00,18765.00,305.00,16718.00,400.00,1342.00,8701.00,54.00,8647.00,0.00,63809.00,21740.00,3343.00,2430.00,17.00,0.00,896.00,183970.00,58418.00,378.00,0.00,58040.00,52543.00,30747.00,4670.00,17126.00,48076.00,16754.00,3967.00,4213.00,339.00,33770.00,-29896.00,268373.00,49071.00,100625.00,48.77,32.26
1957:Q1,144801.00,198.00,26576.00,1000.00,0.00,0.00,18440.00,355.00,16166.00,500.00,1419.00,7609.00,58.00,7551.00,0.00,65016.00,22352.00,3610.00,2556.00,22.00,0.00,1032.00,182055.00,59863.00,353.00,0.00,59510.00,53682.00,30873.00,5180.00,17628.00,46402.00,14218.00,4009.00,3881.00,348.00,34900.00,-31367.00,254023.00,46214.00,97027.00,47.63,32.06
1957:Q2,145500.00,176.00,27269.00,1000.00,0.00,0.00,16579.00,349.00,14227.00,600.00,1403.00,8152.00,63.00,8089.00,0.00,65154.00,23597.00,3572.00,2702.00,27.00,0.00,843.00,182873.00,61295.00,320.00,0.00,60975.00,55042.00,32125.00,5220.00,17697.00,46398.00,11957.00,4066.00,4115.00,370.00,35448.00,-31703.00,273076.00,45024.00,96020.00,46.89,32.38
1957:Q3,149358.00,153.00,27882.00,1000.00,0.00,0.00,17328.00,345.00,14773.00,700.00,1510.00,8064.00,68.00,7996.00,0.00,67098.00,24042.00,3791.00,2856.00,31.00,0.00,904.00,187246.00,62852.00,364.00,0.00,62488.00,54971.00,31811.00,5354.00,17805.00,47515.00,13511.00,4076.00,4320.00,373.00,37050.00,-33103.00,245392.00,46363.00,98556.00,47.04,31.85
1957:Q4,151235.00,131.00,29208.00,1000.00,0.00,0.00,18303.00,435.00,15589.00,800.00,1479.00,8742.00,72.00,8670.00,0.00,65436.00,24524.00,3891.00,3005.00,37.00,0.00,849.00,193400.00,64494.00,422.00,0.00,64072.00,56138.00,31971.00,5730.00,18437.00,49675.00,14621.00,4228.00,4244.00,378.00,38382.00,-34516.00,245747.00,48642.00,102419.00,47.49,31.60
