date,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL153050005.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,57011.00,2700.00,20697.00,24055.00,9559.00,57011.00,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,64505.00,3100.00,22077.00,28162.00,11166.00,64505.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,71873.00,3600.00,23594.00,31565.00,13114.00,71873.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,79319.00,4200.00,24957.00,35122.00,15040.00,79319.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q2,3000819.00,295200.00,1274613.00,939028.00,491978.00,3000819.00,ND,ND,ND,ND,ND,ND,ND
1986:Q3,3042792.00,305194.00,1277828.00,956435.00,503335.00,3042792.00,ND,ND,ND,ND,ND,ND,ND
1986:Q4,3130169.00,327864.00,1312364.00,973708.00,516233.00,3130169.00,ND,ND,ND,ND,ND,ND,ND
1987:Q1,3230888.00,341692.00,1370002.00,988780.00,530414.00,3230888.00,ND,ND,ND,ND,ND,ND,ND
1987:Q2,3305455.00,349692.00,1409173.00,1004218.00,542372.00,3305455.00,ND,ND,ND,ND,ND,ND,ND
1987:Q3,3406832.00,362976.00,1469351.00,1019685.00,554820.00,3406832.00,ND,ND,ND,ND,ND,ND,ND
1987:Q4,3402424.00,350628.00,1454222.00,1035227.00,562347.00,3402424.00,ND,ND,ND,ND,ND,ND,ND
1988:Q1,3491230.00,377479.00,1489282.00,1050659.00,573810.00,3491230.00,ND,ND,ND,ND,ND,ND,ND
1988:Q2,3569114.00,396546.00,1520872.00,1066351.00,585345.00,3569114.00,ND,ND,ND,ND,ND,ND,ND
1988:Q3,3627437.00,415731.00,1532485.00,1082442.00,596779.00,3627437.00,ND,ND,ND,ND,ND,ND,ND
1988:Q4,3701028.00,435495.00,1557430.00,1098757.00,609346.00,3701028.00,ND,ND,ND,ND,ND,ND,ND
1989:Q1,3800893.00,443930.00,1598740.00,1114906.00,643317.00,3800893.00,ND,ND,ND,ND,ND,ND,ND
1989:Q2,3919419.00,468913.00,1640695.00,1131395.00,678416.00,3919419.00,ND,ND,ND,ND,ND,ND,ND
1989:Q3,4036742.00,487538.00,1686090.00,1148127.00,714987.00,4036742.00,ND,ND,ND,ND,ND,ND,ND
1989:Q4,4141760.00,495495.00,1730727.00,1164974.00,750564.00,4141760.00,ND,ND,ND,ND,ND,ND,ND
1990:Q1,4206750.00,513865.00,1744293.00,1181405.00,767187.00,4206750.00,ND,ND,ND,ND,ND,ND,ND
1990:Q2,4297012.00,547877.00,1764914.00,1198148.00,786073.00,4297012.00,ND,ND,ND,ND,ND,ND,ND
1990:Q3,4332677.00,552194.00,1764285.00,1215099.00,801099.00,4332677.00,ND,ND,ND,ND,ND,ND,ND
1990:Q4,4435277.00,569775.00,1812271.00,1232462.00,820769.00,4435277.00,ND,ND,ND,ND,ND,ND,ND
1991:Q1,4545074.00,577140.00,1877447.00,1249442.00,841045.00,4545074.00,ND,ND,ND,ND,ND,ND,ND
1991:Q2,4626410.00,592810.00,1906890.00,1266833.00,859877.00,4626410.00,ND,ND,ND,ND,ND,ND,ND
1991:Q3,4730091.00,605645.00,1958536.00,1284728.00,881182.00,4730091.00,ND,ND,ND,ND,ND,ND,ND
1991:Q4,4846523.00,621189.00,2018205.00,1303067.00,904062.00,4846523.00,ND,ND,ND,ND,ND,ND,ND
1992:Q1,4938007.00,629606.00,2032719.00,1321525.00,954157.00,4938007.00,ND,ND,ND,ND,ND,ND,ND
1992:Q2,5056163.00,646815.00,2062880.00,1340293.00,1006175.00,5056163.00,ND,ND,ND,ND,ND,ND,ND
1992:Q3,5192287.00,661695.00,2112074.00,1359115.00,1059403.00,5192287.00,ND,ND,ND,ND,ND,ND,ND
1992:Q4,5342618.00,693358.00,2157410.00,1378009.00,1113841.00,5342618.00,ND,ND,ND,ND,ND,ND,ND
1993:Q1,5471510.00,713088.00,2226628.00,1395917.00,1135877.00,5471510.00,ND,ND,ND,ND,ND,ND,ND
1993:Q2,5571242.00,733874.00,2266239.00,1413848.00,1157281.00,5571242.00,ND,ND,ND,ND,ND,ND,ND
1993:Q3,5683776.00,761145.00,2312298.00,1431933.00,1178400.00,5683776.00,ND,ND,ND,ND,ND,ND,ND
1993:Q4,5771937.00,774869.00,2345800.00,1450154.00,1201114.00,5771937.00,ND,ND,ND,ND,ND,ND,ND
1994:Q1,5843704.00,784603.00,2367985.00,1467666.00,1223450.00,5843704.00,ND,ND,ND,ND,ND,ND,ND
1994:Q2,5933297.00,786713.00,2413544.00,1485632.00,1247408.00,5933297.00,ND,ND,ND,ND,ND,ND,ND
1994:Q3,6049558.00,799690.00,2472110.00,1504464.00,1273294.00,6049558.00,ND,ND,ND,ND,ND,ND,ND
1994:Q4,6093038.00,796048.00,2476579.00,1522768.00,1297643.00,6093038.00,ND,ND,ND,ND,ND,ND,ND
1995:Q1,6237879.00,814099.00,2553623.00,1541804.00,1328353.00,6237879.00,ND,ND,ND,ND,ND,ND,ND
1995:Q2,6399979.00,851591.00,2627329.00,1560854.00,1360205.00,6399979.00,ND,ND,ND,ND,ND,ND,ND
1995:Q3,6570004.00,876072.00,2721215.00,1579899.00,1392818.00,6570004.00,ND,ND,ND,ND,ND,ND,ND
1995:Q4,6714859.00,890134.00,2800966.00,1598900.00,1424859.00,6714859.00,ND,ND,ND,ND,ND,ND,ND
1996:Q1,6853333.00,905674.00,2878089.00,1617771.00,1451799.00,6853333.00,ND,ND,ND,ND,ND,ND,ND
1996:Q2,6964680.00,918734.00,2930461.00,1636847.00,1478638.00,6964680.00,ND,ND,ND,ND,ND,ND,ND
1996:Q3,7087130.00,928728.00,2997215.00,1655448.00,1505739.00,7087130.00,ND,ND,ND,ND,ND,ND,ND
1996:Q4,7312799.00,883848.00,3106790.00,1675445.00,1646716.00,7312799.00,ND,ND,ND,ND,ND,ND,ND
1997:Q1,7395587.00,900102.00,3123063.00,1693588.00,1678834.00,7395587.00,ND,ND,ND,ND,ND,ND,ND
1997:Q2,7711686.00,961009.00,3312995.00,1715847.00,1721835.00,7711686.00,ND,ND,ND,ND,ND,ND,ND
1997:Q3,7976685.00,1005029.00,3475100.00,1735961.00,1760595.00,7976685.00,ND,ND,ND,ND,ND,ND,ND
1997:Q4,8034651.00,1000393.00,3484240.00,1755997.00,1794021.00,8034651.00,ND,ND,ND,ND,ND,ND,ND
1998:Q1,8388215.00,1057654.00,3706035.00,1778519.00,1846007.00,8388215.00,ND,ND,ND,ND,ND,ND,ND
1998:Q2,8520829.00,1094719.00,3738499.00,1798949.00,1888662.00,8520829.00,ND,ND,ND,ND,ND,ND,ND
1998:Q3,8386249.00,1069307.00,3585547.00,1813360.00,1918035.00,8386249.00,ND,ND,ND,ND,ND,ND,ND
1998:Q4,8861552.00,1138869.00,3902203.00,1841191.00,1979289.00,8861552.00,ND,ND,ND,ND,ND,ND,ND
1999:Q1,9025735.00,1154917.00,3983027.00,1861820.00,2025971.00,9025735.00,ND,ND,ND,ND,ND,ND,ND
1999:Q2,9273033.00,1196772.00,4112314.00,1885082.00,2078865.00,9273033.00,ND,ND,ND,ND,ND,ND,ND
1999:Q3,9236487.00,1167783.00,4047795.00,1901237.00,2119672.00,9236487.00,ND,ND,ND,ND,ND,ND,ND
1999:Q4,9682923.00,1286859.00,4283404.00,1928757.00,2183903.00,9682923.00,ND,ND,ND,ND,ND,ND,ND
2000:Q1,9913637.00,1335204.00,4403288.00,1949911.00,2225234.00,9913637.00,ND,ND,ND,ND,ND,ND,ND
2000:Q2,9938633.00,1331519.00,4382020.00,1968153.00,2256941.00,9938633.00,ND,ND,ND,ND,ND,ND,ND
2000:Q3,10068929.00,1361614.00,4427542.00,1987766.00,2292007.00,10068929.00,ND,ND,ND,ND,ND,ND,ND
2000:Q4,9970265.00,1326304.00,4323332.00,2002957.00,2317672.00,9970265.00,ND,ND,ND,ND,ND,ND,ND
2001:Q1,9786139.00,1299466.00,4126297.00,2016438.00,2343938.00,9786139.00,ND,ND,ND,ND,ND,ND,ND
2001:Q2,10031278.00,1332703.00,4265371.00,2040403.00,2392801.00,10031278.00,ND,ND,ND,ND,ND,ND,ND
2001:Q3,9839474.00,1310879.00,4055054.00,2053027.00,2420514.00,9839474.00,ND,ND,ND,ND,ND,ND,ND
2001:Q4,10116929.00,1344135.00,4218173.00,2079603.00,2475018.00,10116929.00,ND,ND,ND,ND,ND,ND,ND
2002:Q1,10312047.00,1343773.00,4351911.00,2100726.00,2515637.00,10312047.00,ND,ND,ND,ND,ND,ND,ND
2002:Q2,10153354.00,1325189.00,4168765.00,2114550.00,2544850.00,10153354.00,ND,ND,ND,ND,ND,ND,ND
2002:Q3,9973907.00,1310068.00,3961741.00,2130492.00,2571606.00,9973907.00,ND,ND,ND,ND,ND,ND,ND
2002:Q4,10235024.00,1379932.00,4072475.00,2163220.00,2619397.00,10235024.00,ND,ND,ND,ND,ND,ND,ND
2003:Q1,10331946.00,1386611.00,4080432.00,2193873.00,2671030.00,10331946.00,ND,ND,ND,ND,ND,ND,ND
2003:Q2,10732224.00,1438627.00,4329737.00,2225028.00,2738832.00,10732224.00,ND,ND,ND,ND,ND,ND,ND
2003:Q3,10897453.00,1461534.00,4384989.00,2251461.00,2799469.00,10897453.00,ND,ND,ND,ND,ND,ND,ND
2003:Q4,11281674.00,1518015.00,4610729.00,2283240.00,2869690.00,11281674.00,ND,ND,ND,ND,ND,ND,ND
2004:Q1,11530681.00,1567180.00,4680019.00,2308501.00,2974981.00,11530681.00,ND,ND,ND,ND,ND,ND,ND
2004:Q2,11742684.00,1593585.00,4737004.00,2332655.00,3079440.00,11742684.00,ND,ND,ND,ND,ND,ND,ND
2004:Q3,11927715.00,1632534.00,4757237.00,2355578.00,3182366.00,11927715.00,ND,ND,ND,ND,ND,ND,ND
2004:Q4,12411509.00,1699914.00,5023528.00,2389041.00,3299026.00,12411509.00,ND,ND,ND,ND,ND,ND,ND
2005:Q1,12505687.00,1718620.00,5022897.00,2412256.00,3351914.00,12505687.00,ND,ND,ND,ND,ND,ND,ND
2005:Q2,12754182.00,1769806.00,5136063.00,2438574.00,3409739.00,12754182.00,ND,ND,ND,ND,ND,ND,ND
2005:Q3,13038886.00,1804210.00,5294112.00,2468395.00,3472169.00,13038886.00,ND,ND,ND,ND,ND,ND,ND
2005:Q4,13304593.00,1847058.00,5430482.00,2494827.00,3532226.00,13304593.00,ND,ND,ND,ND,ND,ND,ND
2006:Q1,13635953.00,1892238.00,5606975.00,2524950.00,3611790.00,13635953.00,ND,ND,ND,ND,ND,ND,ND
2006:Q2,13734994.00,1904732.00,5600615.00,2546963.00,3682684.00,13734994.00,ND,ND,ND,ND,ND,ND,ND
2006:Q3,14047385.00,1948072.00,5759899.00,2576231.00,3763183.00,14047385.00,ND,ND,ND,ND,ND,ND,ND
2006:Q4,14309890.00,2006300.00,5845302.00,2609639.00,3848649.00,14309890.00,4207000.00,259609.00,53231.00,406002.00,177000.00,1860000.00,1451158.00
2007:Q1,14490897.00,2021597.00,5933272.00,2635519.00,3900509.00,14490897.00,4340000.00,264920.00,54844.00,426000.00,184000.00,1925000.00,1485236.00
2007:Q2,14846723.00,2081281.00,6126582.00,2667762.00,3971098.00,14846723.00,4605000.00,271255.00,56332.00,421000.00,193000.00,2054000.00,1609413.00
2007:Q3,15062236.00,2112114.00,6229844.00,2693997.00,4026281.00,15062236.00,4775000.00,275224.00,57372.00,426000.00,207000.00,2122000.00,1687404.00
2007:Q4,15074847.00,2101762.00,6190125.00,2714043.00,4068917.00,15074847.00,4748000.00,281844.00,58244.00,424000.00,221000.00,2093000.00,1669912.00
2008:Q1,14834330.00,2038013.00,5984998.00,2724462.00,4086857.00,14834330.00,4555000.00,291031.00,60146.00,412000.00,244000.00,1943000.00,1604823.00
2008:Q2,14900442.00,2023687.00,5987709.00,2746468.00,4142578.00,14900442.00,4580000.00,297737.00,61717.00,410000.00,235000.00,1945000.00,1630546.00
2008:Q3,14632645.00,1981532.00,5739838.00,2757918.00,4153357.00,14632645.00,4225000.00,307879.00,62515.00,401000.00,254000.00,1698000.00,1501606.00
2008:Q4,14081512.00,1845529.00,5334966.00,2758368.00,4142649.00,14081512.00,3681000.00,326000.00,65457.00,376000.00,268000.00,1343000.00,1302543.00
2009:Q1,13961250.00,1788293.00,5227783.00,2782353.00,4162821.00,13961250.00,3536000.00,340774.00,69653.00,364000.00,273000.00,1239000.00,1249573.00
2009:Q2,14472669.00,1865226.00,5530991.00,2830945.00,4245507.00,14472669.00,3925000.00,351551.00,72010.00,379000.00,253000.00,1458000.00,1411439.00
2009:Q3,15023172.00,1951511.00,5862784.00,2880353.00,4328524.00,15023172.00,4325000.00,355435.00,73263.00,395000.00,238000.00,1683000.00,1580302.00
2009:Q4,15290349.00,1987413.00,5994056.00,2922573.00,4386307.00,15290349.00,4488000.00,356711.00,74203.00,402000.00,226000.00,1779000.00,1650086.00
2010:Q1,15713845.00,2037152.00,6181888.00,2980827.00,4513978.00,15713845.00,4644000.00,360880.00,75316.00,411000.00,215000.00,1873000.00,1708804.00
2010:Q2,15661350.00,2001352.00,6045789.00,3019566.00,4594643.00,15661350.00,4405000.00,369572.00,76344.00,405000.00,214000.00,1749000.00,1591084.00
2010:Q3,16300881.00,2109966.00,6361739.00,3087473.00,4741703.00,16300881.00,4757000.00,374761.00,77171.00,427000.00,207000.00,1943000.00,1728068.00
2010:Q4,16873720.00,2198151.00,6636339.00,3156437.00,4882793.00,16873720.00,5029000.00,383298.00,77212.00,444000.00,201000.00,2089000.00,1834490.00
2011:Q1,17197418.00,2255608.00,6810059.00,3189948.00,4941803.00,17197418.00,5255000.00,385560.00,77492.00,455000.00,197000.00,2199000.00,1940948.00
2011:Q2,17327797.00,2270713.00,6856172.00,3216738.00,4984174.00,17327797.00,5315000.00,392565.00,77858.00,458000.00,202000.00,2222000.00,1962577.00
2011:Q3,16898430.00,2188037.00,6519876.00,3218930.00,4971587.00,16898430.00,4910000.00,404346.00,78275.00,442000.00,211000.00,1947000.00,1827379.00
2011:Q4,17301287.00,2247492.00,6750215.00,3263652.00,5039928.00,17301287.00,5153000.00,403637.00,78442.00,454000.00,210000.00,2067000.00,1939921.00
2012:Q1,17881018.00,2388686.00,7074658.00,3305972.00,5111702.00,17881018.00,5550000.00,406705.00,79251.00,482000.00,202000.00,2280000.00,2100044.00
2012:Q2,17834159.00,2341609.00,7026617.00,3325253.00,5140680.00,17834159.00,5450000.00,413456.00,79839.00,473000.00,204000.00,2227000.00,2052705.00
2012:Q3,18187141.00,2404961.00,7220691.00,3359423.00,5202066.00,18187141.00,5700000.00,420034.00,80295.00,485000.00,208000.00,2351000.00,2155671.00
2012:Q4,18338934.00,2432550.00,7277140.00,3382322.00,5246922.00,18338934.00,5785000.00,428019.00,79851.00,490000.00,215000.00,2385000.00,2187130.00
2013:Q1,18798425.00,2534633.00,7539554.00,3421301.00,5302937.00,18798425.00,6127000.00,424160.00,79886.00,511000.00,210000.00,2567000.00,2334954.00
2013:Q2,18950124.00,2543901.00,7608710.00,3449591.00,5347922.00,18950124.00,6197000.00,433769.00,79912.00,512000.00,225000.00,2584000.00,2362319.00
2013:Q3,19363542.00,2617531.00,7843508.00,3488852.00,5413651.00,19363542.00,6499000.00,434354.00,79887.00,527000.00,232000.00,2734000.00,2491759.00
2013:Q4,19860867.00,2705532.00,8135121.00,3536606.00,5483608.00,19860867.00,6835000.00,427641.00,79192.00,545000.00,228000.00,2917000.00,2638167.00
2014:Q1,20063645.00,2748327.00,8212371.00,3565684.00,5537263.00,20063645.00,6966000.00,420894.00,78883.00,553000.00,224000.00,2985000.00,2704223.00
2014:Q2,20382989.00,2799278.00,8380821.00,3600245.00,5602645.00,20382989.00,7216000.00,419159.00,78504.00,562000.00,220000.00,3115000.00,2821337.00
2014:Q3,20421836.00,2784123.00,8353820.00,3630886.00,5653007.00,20421836.00,7157000.00,423016.00,78135.00,560000.00,222000.00,3074000.00,2799849.00
2014:Q4,20658687.00,2825045.00,8462043.00,3656147.00,5715452.00,20658687.00,7266000.00,427765.00,77619.00,567000.00,218000.00,3123000.00,2852616.00
2015:Q1,21039453.00,2846518.00,8719693.00,3687256.00,5785986.00,21039453.00,7445000.00,419171.00,77404.00,571000.00,211000.00,3216000.00,2950425.00
2015:Q2,21169841.00,2857929.00,8749710.00,3713089.00,5849113.00,21169841.00,7504000.00,428027.00,77343.00,574000.00,213000.00,3230000.00,2981630.00
2015:Q3,20878321.00,2786669.00,8484661.00,3720587.00,5886404.00,20878321.00,7133000.00,442302.00,77405.00,560000.00,221000.00,3011000.00,2821293.00
2015:Q4,21247598.00,2846933.00,8669002.00,3764014.00,5967649.00,21247598.00,7329000.00,445750.00,77372.00,571000.00,214000.00,3099000.00,2921878.00
2016:Q1,21455189.00,2873534.00,8754606.00,3791463.00,6035586.00,21455189.00,7400000.00,453880.00,77812.00,576000.00,217000.00,3110000.00,2965308.00
2016:Q2,21733010.00,2928347.00,8875280.00,3821397.00,6107986.00,21733010.00,ND,ND,ND,ND,ND,ND,ND
