date,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL153050005.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,57011.00,2700.00,20697.00,24055.00,9559.00,57011.00,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,64505.00,3100.00,22077.00,28162.00,11166.00,64505.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,71873.00,3600.00,23594.00,31565.00,13114.00,71873.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,79319.00,4200.00,24957.00,35122.00,15040.00,79319.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,262175.00,17575.00,76659.00,123863.00,44078.00,262175.00,ND,ND,ND,ND,ND,ND,ND
1960:Q1,267741.00,17946.00,78031.00,126476.00,45288.00,267741.00,ND,ND,ND,ND,ND,ND,ND
1960:Q2,273388.00,18248.00,79493.00,129119.00,46528.00,273388.00,ND,ND,ND,ND,ND,ND,ND
1960:Q3,278717.00,18532.00,80543.00,131827.00,47815.00,278717.00,ND,ND,ND,ND,ND,ND,ND
1960:Q4,284547.00,18850.00,81980.00,134575.00,49142.00,284547.00,ND,ND,ND,ND,ND,ND,ND
1961:Q1,290230.00,19191.00,83342.00,137291.00,50406.00,290230.00,ND,ND,ND,ND,ND,ND,ND
1961:Q2,295620.00,19544.00,84282.00,140082.00,51712.00,295620.00,ND,ND,ND,ND,ND,ND,ND
1961:Q3,301097.00,19900.00,85195.00,142952.00,53050.00,301097.00,ND,ND,ND,ND,ND,ND,ND
1961:Q4,306733.00,20250.00,86222.00,145868.00,54393.00,306733.00,ND,ND,ND,ND,ND,ND,ND
1962:Q1,309318.00,20591.00,86701.00,148771.00,53255.00,309318.00,ND,ND,ND,ND,ND,ND,ND
1962:Q2,310998.00,20920.00,86195.00,151749.00,52134.00,310998.00,ND,ND,ND,ND,ND,ND,ND
1962:Q3,313957.00,21258.00,86858.00,154801.00,51040.00,313957.00,ND,ND,ND,ND,ND,ND,ND
1962:Q4,317344.00,21625.00,87855.00,157892.00,49972.00,317344.00,ND,ND,ND,ND,ND,ND,ND
1963:Q1,322748.00,22016.00,88707.00,160947.00,51078.00,322748.00,ND,ND,ND,ND,ND,ND,ND
1963:Q2,328362.00,22427.00,89630.00,164075.00,52230.00,328362.00,ND,ND,ND,ND,ND,ND,ND
1963:Q3,334218.00,22856.00,90656.00,167280.00,53426.00,334218.00,ND,ND,ND,ND,ND,ND,ND
1963:Q4,340285.00,23300.00,91810.00,170530.00,54645.00,340285.00,ND,ND,ND,ND,ND,ND,ND
1964:Q1,346742.00,23764.00,93233.00,173787.00,55958.00,346742.00,ND,ND,ND,ND,ND,ND,ND
1964:Q2,353281.00,24250.00,94641.00,177094.00,57296.00,353281.00,ND,ND,ND,ND,ND,ND,ND
1964:Q3,360086.00,24748.00,96166.00,180489.00,58683.00,360086.00,ND,ND,ND,ND,ND,ND,ND
1964:Q4,367066.00,25250.00,97767.00,183938.00,60111.00,367066.00,ND,ND,ND,ND,ND,ND,ND
1965:Q1,374249.00,25837.00,99460.00,187326.00,61626.00,374249.00,ND,ND,ND,ND,ND,ND,ND
1965:Q2,381287.00,26341.00,100927.00,190816.00,63203.00,381287.00,ND,ND,ND,ND,ND,ND,ND
1965:Q3,389515.00,26818.00,103436.00,194417.00,64844.00,389515.00,ND,ND,ND,ND,ND,ND,ND
1965:Q4,397864.00,27325.00,105912.00,198098.00,66529.00,397864.00,ND,ND,ND,ND,ND,ND,ND
1966:Q1,406395.00,27846.00,108303.00,201799.00,68447.00,406395.00,ND,ND,ND,ND,ND,ND,ND
1966:Q2,415048.00,28367.00,110643.00,205623.00,70415.00,415048.00,ND,ND,ND,ND,ND,ND,ND
1966:Q3,423648.00,28892.00,112760.00,209570.00,72426.00,423648.00,ND,ND,ND,ND,ND,ND,ND
1966:Q4,433633.00,29425.00,116155.00,213594.00,74459.00,433633.00,ND,ND,ND,ND,ND,ND,ND
