date,FL634090005.Q,FL153034005.Q,FL103034003.Q,FL113034003.Q,FL213034003.Q,FL513034003.Q,FL543034005.Q,FL573034005.Q,FL223034005.Q,FL503034003.Q,FL263034003.Q
2008:Q2,3377297.00,1390683.00,631114.00,74853.00,126691.00,26982.00,79508.00,159478.00,53296.00,774384.00,60308.00
2008:Q3,3420293.00,1442953.00,640465.00,75114.00,125308.00,26310.00,81899.00,160977.00,53271.00,749002.00,64994.00
2008:Q4,3832237.00,1578096.00,726976.00,75375.00,125789.00,32728.00,100761.00,163164.00,53843.00,905826.00,69679.00
2009:Q1,3813876.00,1552064.00,733118.00,74960.00,125258.00,33172.00,103541.00,161004.00,53234.00,903160.00,74365.00
2009:Q2,3653101.00,1481365.00,717070.00,74545.00,128716.00,29080.00,96408.00,158229.00,51448.00,837190.00,79050.00
2009:Q3,3425463.00,1356216.00,674826.00,74130.00,133759.00,28291.00,88021.00,155425.00,50112.00,786720.00,77963.00
2009:Q4,3315893.00,1310329.00,655532.00,73714.00,136844.00,29537.00,79243.00,152772.00,48927.00,752120.00,76875.00
2010:Q1,2983807.00,1195944.00,569208.00,74492.00,139097.00,25272.00,71965.00,150042.00,47803.00,634196.00,75788.00
2010:Q2,2813331.00,1138749.00,518327.00,75269.00,140849.00,24604.00,68450.00,147379.00,46748.00,578256.00,74700.00
2010:Q3,2796581.00,1124638.00,508887.00,76047.00,146352.00,27933.00,63180.00,144682.00,48548.00,584082.00,72232.00
2010:Q4,2803514.00,1126930.00,497830.00,76824.00,151207.00,25606.00,58977.00,141940.00,50350.00,604085.00,69765.00
2011:Q1,2726914.00,1095599.00,482387.00,77035.00,152245.00,27715.00,57154.00,146098.00,51164.00,570220.00,67297.00
2011:Q2,2686148.00,1084373.00,469098.00,77247.00,153890.00,26114.00,55781.00,150324.00,53159.00,551333.00,64829.00
2011:Q3,2628882.00,1100604.00,451026.00,77458.00,153996.00,23565.00,57147.00,154822.00,51477.00,489193.00,69594.00
2011:Q4,2690950.00,1106470.00,462387.00,77670.00,153554.00,20037.00,67512.00,158988.00,49259.00,520714.00,74359.00
2012:Q1,2581689.00,1048763.00,507444.00,78423.00,153216.00,17897.00,61928.00,154622.00,46962.00,433311.00,79123.00
2012:Q2,2513545.00,1021799.00,491863.00,79177.00,154528.00,18981.00,64146.00,150473.00,44998.00,403692.00,83888.00
2012:Q3,2550948.00,1043913.00,497578.00,79930.00,157035.00,22142.00,61785.00,146304.00,45113.00,406742.00,90406.00
2012:Q4,2693168.00,1108792.00,519448.00,80684.00,158367.00,22285.00,60944.00,142169.00,45246.00,458310.00,96923.00
2013:Q1,2593479.00,1059903.00,513584.00,81190.00,159666.00,21249.00,50417.00,145213.00,45227.00,413589.00,103441.00
2013:Q2,2583135.00,1054225.00,509309.00,81696.00,158200.00,18049.00,50244.00,148460.00,45408.00,407586.00,109958.00
2013:Q3,2678414.00,1095245.00,537729.00,82202.00,158575.00,18121.00,52467.00,151677.00,47589.00,425742.00,109067.00
2013:Q4,2717808.00,1139112.00,559144.00,82707.00,158918.00,20136.00,49425.00,154745.00,48642.00,396804.00,108175.00
2014:Q1,2630902.00,1113848.00,505434.00,83440.00,161158.00,17651.00,48438.00,154978.00,49665.00,389006.00,107284.00
2014:Q2,2559746.00,1082764.00,500309.00,84172.00,164736.00,18983.00,47328.00,155203.00,50646.00,349213.00,106392.00
2014:Q3,2603472.00,1100040.00,518217.00,84904.00,163794.00,19353.00,49699.00,155452.00,51150.00,352653.00,108210.00
2014:Q4,2724641.00,1113183.00,558226.00,85636.00,165259.00,18283.00,53337.00,155636.00,51582.00,410253.00,113246.00
2015:Q1,2644741.00,1016087.00,545250.00,86931.00,169022.00,18893.00,51536.00,147764.00,52174.00,447159.00,109925.00
2015:Q2,2615103.00,999634.00,546207.00,88509.00,170060.00,19468.00,50479.00,148674.00,52880.00,430498.00,108694.00
2015:Q3,2667655.00,1006306.00,558766.00,89639.00,173783.00,20636.00,61646.00,151192.00,51268.00,443541.00,110878.00
2015:Q4,2754743.00,1068434.00,576821.00,91702.00,177471.00,21466.00,56114.00,151049.00,51859.00,445330.00,114497.00
2016:Q1,2758822.00,1035938.00,574619.00,93239.00,178456.00,20395.00,58352.00,153250.00,48803.00,481104.00,114666.00
2016:Q2,2692163.00,985950.00,577036.00,94678.00,179559.00,20670.00,54706.00,153797.00,50599.00,463272.00,111896.00
2016:Q3,2671977.00,972517.00,575240.00,96009.00,181938.00,19664.00,54015.00,154318.00,50688.00,456531.00,111057.00
