1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,1938414.00,1195080.00,175455.00,389606.00,630019.00,337649.00,327131.00,230243.00,12702.00,169960.00,33173.00,14408.00,96888.00,79393.00,632.00,16810.00,53.00,10518.00,11890.00,-1372.00,-6603.00,156076.00,162679.00,412288.00,324356.00,142684.00,181672.00,87932.00,46320.00,41612.00,17877.00,33260.00,15383.00,1956291.00,-1267.00,989.00,-1372.00,1650.00,0.00
1977:Q1,1992535.00,1230568.00,183930.00,396466.00,650172.00,360312.00,345490.00,243276.00,13521.00,180859.00,34117.00,14779.00,102214.00,84000.00,675.00,17599.00,-60.00,14822.00,14322.00,500.00,-21079.00,155354.00,176433.00,422734.00,331269.00,144984.00,186285.00,91465.00,47960.00,43505.00,20765.00,35780.00,15015.00,2013300.00,-1203.00,-507.00,144.00,1566.00,0.00
1977:Q2,2060166.00,1258543.00,189223.00,403704.00,665616.00,389703.00,370234.00,253749.00,14084.00,189001.00,35500.00,15164.00,116485.00,95733.00,834.00,20018.00,-100.00,19469.00,12990.00,6479.00,-21135.00,161906.00,183041.00,433055.00,338813.00,148364.00,190449.00,94242.00,49368.00,44874.00,20749.00,36953.00,16204.00,2080915.00,-1182.00,579.00,-937.00,1540.00,0.00
1977:Q3,2122387.00,1289707.00,193990.00,409908.00,685809.00,414134.00,383250.00,263267.00,14459.00,196119.00,36982.00,15707.00,119983.00,98356.00,976.00,20718.00,-67.00,30884.00,23963.00,6921.00,-20578.00,162325.00,182903.00,439124.00,345487.00,150144.00,195343.00,93637.00,49836.00,43801.00,20885.00,38130.00,17245.00,2143272.00,-1186.00,3106.00,-3465.00,1545.00,0.00
1977:Q4,2168716.00,1327873.00,200704.00,423603.00,703566.00,422301.00,398180.00,275944.00,14851.00,205129.00,39270.00,16694.00,122236.00,99831.00,1105.00,21353.00,-53.00,24121.00,13466.00,10655.00,-29584.00,157809.00,187393.00,448126.00,354839.00,154896.00,199943.00,93287.00,49628.00,43659.00,18769.00,37937.00,19168.00,2187485.00,-1214.00,1059.00,-1426.00,1581.00,0.00
1978:Q1,2208688.00,1357760.00,198170.00,431075.00,728515.00,434794.00,409341.00,282420.00,14733.00,210527.00,39561.00,17599.00,126921.00,103346.00,1007.00,22581.00,-13.00,25453.00,23242.00,2211.00,-38683.00,164599.00,203282.00,454817.00,361211.00,157172.00,204039.00,93606.00,50556.00,43050.00,22093.00,42472.00,20379.00,2230781.00,-1266.00,-490.00,85.00,1671.00,0.00
1978:Q2,2336563.00,1415292.00,216187.00,444813.00,754292.00,470583.00,446326.00,309349.00,15635.00,229417.00,44524.00,19773.00,136977.00,110836.00,1063.00,25093.00,-15.00,24257.00,21370.00,2887.00,-22624.00,186216.00,208840.00,473312.00,368316.00,160968.00,207348.00,104996.00,53804.00,51192.00,18749.00,42584.00,23835.00,2355312.00,-1326.00,2762.00,-3188.00,1752.00,0.00
1978:Q3,2398866.00,1446246.00,216742.00,455622.00,773882.00,492365.00,467399.00,325098.00,15914.00,240233.00,47745.00,21206.00,142301.00,114089.00,1091.00,27136.00,-15.00,24966.00,16367.00,8599.00,-23760.00,191302.00,215062.00,484015.00,374295.00,162484.00,211811.00,109720.00,56092.00,53628.00,20890.00,46239.00,25349.00,2419756.00,-1380.00,-1495.00,1052.00,1823.00,0.00
1978:Q4,2482159.00,1485397.00,222300.00,469365.00,793732.00,515758.00,487271.00,341431.00,16185.00,251610.00,51005.00,22631.00,145840.00,115408.00,1224.00,29243.00,-35.00,28487.00,26685.00,1802.00,-16401.00,205415.00,221816.00,497405.00,383461.00,167236.00,216225.00,113944.00,58516.00,55428.00,24591.00,53712.00,29121.00,2506750.00,-1425.00,48.00,-505.00,1882.00,0.00
1979:Q1,2531555.00,1520983.00,223277.00,484591.00,813115.00,525811.00,501959.00,356698.00,16365.00,262091.00,54330.00,23912.00,145261.00,113059.00,1313.00,30900.00,-11.00,23852.00,17966.00,5886.00,-18158.00,211669.00,229827.00,502919.00,393100.00,170800.00,222300.00,109819.00,58332.00,51487.00,25680.00,57618.00,31938.00,2557235.00,-1476.00,2095.00,-2542.00,1923.00,0.00
1979:Q2,2595908.00,1561548.00,222101.00,500066.00,839381.00,539294.00,511893.00,364269.00,16326.00,267079.00,55974.00,24890.00,147624.00,113543.00,1413.00,32676.00,-8.00,27401.00,22080.00,5321.00,-22191.00,220906.00,243097.00,517257.00,400263.00,174848.00,225415.00,116994.00,60048.00,56946.00,29451.00,64106.00,34655.00,2625359.00,-1512.00,-206.00,-252.00,1970.00,0.00
1979:Q3,2670389.00,1615985.00,230932.00,522348.00,862705.00,545625.00,533494.00,383006.00,16940.00,280355.00,58843.00,26868.00,150488.00,114983.00,1446.00,34066.00,-7.00,12131.00,5417.00,6714.00,-23029.00,234278.00,257307.00,531808.00,406450.00,174176.00,232274.00,125358.00,64648.00,60710.00,36094.00,73413.00,37319.00,2706483.00,-1550.00,2260.00,-2730.00,2020.00,0.00
1979:Q4,2730705.00,1659463.00,229049.00,539388.00,891026.00,547879.00,539326.00,391335.00,17271.00,286599.00,59076.00,28389.00,147991.00,112935.00,1367.00,33698.00,-9.00,8553.00,7467.00,1086.00,-26801.00,253665.00,280466.00,550164.00,421936.00,184132.00,237804.00,128228.00,63948.00,64280.00,36498.00,78147.00,41649.00,2767203.00,-1593.00,5388.00,-5870.00,2075.00,0.00
1980:Q1,2796524.00,1706520.00,232055.00,559946.00,914519.00,554562.00,544663.00,404492.00,18017.00,298039.00,57884.00,30552.00,140171.00,107318.00,1269.00,31596.00,-12.00,9899.00,9506.00,393.00,-35804.00,268508.00,304312.00,571246.00,435466.00,191332.00,244134.00,135780.00,68324.00,67456.00,37989.00,83574.00,45585.00,2834513.00,-1641.00,2153.00,-2632.00,2120.00,0.00
1980:Q2,2799938.00,1708916.00,211916.00,565913.00,931087.00,519290.00,511540.00,394676.00,17565.00,291401.00,55056.00,30654.00,116864.00,89274.00,1311.00,26290.00,-11.00,7750.00,11433.00,-3683.00,-15209.00,277389.00,292598.00,586941.00,452202.00,202020.00,250182.00,134739.00,69008.00,65731.00,35811.00,79623.00,43812.00,2835749.00,-1678.00,-1239.00,751.00,2166.00,0.00
1980:Q3,2860043.00,1767679.00,225364.00,576500.00,965815.00,495073.00,528928.00,405718.00,17866.00,299051.00,56761.00,32040.00,123210.00,94101.00,1269.00,27852.00,-12.00,-33855.00,-20312.00,-13543.00,5472.00,284673.00,279201.00,591819.00,457463.00,201712.00,255751.00,134356.00,70268.00,64088.00,34414.00,74869.00,40455.00,2894457.00,-1706.00,1401.00,-1898.00,2203.00,0.00
1980:Q4,2993525.00,1835354.00,236230.00,591251.00,1007873.00,551474.00,560592.00,422757.00,18228.00,309799.00,61149.00,33581.00,137835.00,105132.00,1175.00,31531.00,-3.00,-9118.00,-3152.00,-5966.00,-6683.00,292517.00,299200.00,613380.00,474448.00,213380.00,261068.00,138932.00,73412.00,65520.00,28526.00,78302.00,49776.00,3022051.00,-1722.00,11991.00,-12492.00,2223.00,0.00
1981:Q1,3131799.00,1890711.00,246046.00,614045.00,1030620.00,619383.00,580628.00,443027.00,18488.00,324115.00,65417.00,35007.00,137601.00,104218.00,1278.00,32100.00,5.00,38755.00,29686.00,9069.00,-14256.00,305468.00,319724.00,635961.00,489534.00,221112.00,268422.00,146427.00,75404.00,71023.00,31403.00,85740.00,54337.00,3163202.00,-1764.00,-688.00,204.00,2248.00,0.00
1981:Q2,3167252.00,1921924.00,240936.00,622849.00,1058139.00,609839.00,598126.00,462861.00,19080.00,336419.00,70778.00,36584.00,135265.00,102363.00,1231.00,31661.00,10.00,11713.00,2405.00,9308.00,-13509.00,308454.00,321963.00,648998.00,503629.00,229812.00,273817.00,145369.00,79580.00,65789.00,30013.00,89746.00,59733.00,3197265.00,-1763.00,4837.00,-5320.00,2246.00,0.00
1981:Q3,3261203.00,1961244.00,251926.00,629126.00,1080192.00,652296.00,608336.00,482108.00,20069.00,348691.00,74992.00,38356.00,126228.00,95774.00,1263.00,29177.00,14.00,43960.00,30235.00,13725.00,-7560.00,302337.00,309897.00,655223.00,509496.00,230864.00,278632.00,145727.00,81672.00,64055.00,32694.00,95908.00,63214.00,3293897.00,-1761.00,12573.00,-13056.00,2244.00,0.00
1981:Q4,3283536.00,1976139.00,236842.00,635700.00,1103597.00,643395.00,618588.00,503754.00,21655.00,361921.00,79593.00,40585.00,114834.00,87787.00,1217.00,25815.00,15.00,24807.00,17185.00,7622.00,-14753.00,304694.00,319447.00,678755.00,526896.00,243412.00,283484.00,151859.00,85060.00,66799.00,37629.00,96702.00,59073.00,3321165.00,-1760.00,3450.00,-3932.00,2242.00,0.00
1982:Q1,3273809.00,2014394.00,246437.00,639853.00,1128104.00,588317.00,609783.00,500082.00,22675.00,361120.00,75224.00,41063.00,109701.00,85040.00,1018.00,23623.00,20.00,-21466.00,-24926.00,3460.00,-16275.00,293202.00,309477.00,687373.00,537179.00,247632.00,289547.00,150194.00,84868.00,65326.00,35992.00,98324.00,62332.00,3309801.00,-1879.00,3183.00,-3532.00,2228.00,0.00
1982:Q2,3331281.00,2041093.00,249227.00,638722.00,1153144.00,593622.00,597788.00,490070.00,23269.00,353621.00,71987.00,41193.00,107718.00,84243.00,1004.00,22443.00,28.00,-4166.00,-7787.00,3621.00,-4387.00,294728.00,299115.00,700953.00,544397.00,249188.00,295209.00,156556.00,90280.00,66276.00,40928.00,107183.00,66255.00,3372209.00,-1872.00,679.00,-1028.00,2221.00,0.00
1982:Q3,3367072.00,2089226.00,252108.00,649719.00,1187399.00,592959.00,587161.00,478728.00,23653.00,345743.00,67958.00,41374.00,108433.00,85286.00,1020.00,22099.00,28.00,5798.00,-2409.00,8207.00,-29648.00,279634.00,309282.00,714535.00,557042.00,257316.00,299726.00,157493.00,90316.00,67177.00,35027.00,101450.00,66423.00,3402099.00,-1864.00,157.00,-504.00,2211.00,0.00
1982:Q4,3407810.00,2150927.00,264356.00,656739.00,1229832.00,549246.00,589066.00,471526.00,24108.00,340101.00,65258.00,42059.00,117540.00,92760.00,1056.00,23711.00,13.00,-39820.00,-42049.00,2229.00,-29585.00,265275.00,294860.00,737222.00,573669.00,268496.00,305173.00,163553.00,94360.00,69193.00,34093.00,97016.00,62923.00,3441903.00,-1852.00,9359.00,-9704.00,2197.00,0.00
1983:Q1,3480321.00,2190562.00,268909.00,657003.00,1264650.00,565519.00,600579.00,462105.00,24329.00,333457.00,61637.00,42682.00,138474.00,109222.00,1238.00,28015.00,-1.00,-35060.00,-26970.00,-8090.00,-24549.00,270701.00,295250.00,748789.00,584240.00,273328.00,310912.00,164549.00,96768.00,67781.00,34051.00,93804.00,59753.00,3514372.00,-1938.00,-282.00,40.00,2180.00,0.00
1983:Q2,3583844.00,2254512.00,289584.00,673049.00,1291879.00,613777.00,621449.00,466449.00,24898.00,336766.00,60523.00,44262.00,155000.00,122242.00,1415.00,31359.00,-16.00,-7672.00,4073.00,-11745.00,-45435.00,272515.00,317950.00,760990.00,593697.00,278780.00,314917.00,167293.00,100044.00,67249.00,36741.00,98792.00,62051.00,3620585.00,-1948.00,14389.00,-14632.00,2191.00,0.00
1983:Q3,3692257.00,2324306.00,302363.00,688436.00,1333507.00,652267.00,656471.00,485370.00,25882.00,349894.00,62619.00,46975.00,171101.00,135017.00,1593.00,34506.00,-15.00,-4204.00,24450.00,-28654.00,-65200.00,278181.00,343381.00,780884.00,606222.00,287400.00,318822.00,174662.00,104328.00,70334.00,37867.00,105241.00,67374.00,3730124.00,-1980.00,4929.00,-5176.00,2227.00,0.00
1983:Q4,3796121.00,2376696.00,319270.00,696521.00,1360905.00,718497.00,694565.00,514688.00,26990.00,371392.00,65871.00,50435.00,179877.00,142176.00,1676.00,36030.00,-5.00,23932.00,30504.00,-6572.00,-71383.00,286588.00,357971.00,772311.00,594156.00,271904.00,322252.00,178155.00,108212.00,69943.00,39680.00,109690.00,70010.00,3835801.00,-2040.00,-226.00,-28.00,2294.00,0.00
1984:Q1,3912774.00,2422755.00,331440.00,706457.00,1384858.00,790872.00,717890.00,531465.00,26936.00,382195.00,69981.00,52353.00,186425.00,147817.00,1622.00,36947.00,39.00,72982.00,64818.00,8164.00,-95005.00,292973.00,387978.00,794152.00,610344.00,280616.00,329728.00,183808.00,110488.00,73320.00,37040.00,114835.00,77795.00,3949814.00,-2034.00,2465.00,-2824.00,2393.00,0.00
1984:Q2,4015000.00,2481222.00,341270.00,722372.00,1417580.00,818897.00,749576.00,558277.00,27457.00,401245.00,74138.00,55437.00,191299.00,151856.00,1626.00,37752.00,65.00,69321.00,61260.00,8061.00,-104298.00,302201.00,406499.00,819179.00,629424.00,293256.00,336168.00,189755.00,113676.00,76079.00,37539.00,123208.00,85669.00,4052539.00,-2127.00,5857.00,-6232.00,2502.00,0.00
1984:Q3,4087378.00,2519712.00,342075.00,724568.00,1453069.00,838850.00,767512.00,576640.00,27648.00,414045.00,77057.00,57890.00,190872.00,151425.00,1614.00,37760.00,73.00,71338.00,62086.00,9252.00,-103845.00,305745.00,409590.00,832661.00,638592.00,295100.00,343492.00,194069.00,114356.00,79713.00,37356.00,127291.00,89935.00,4124734.00,-2222.00,3923.00,-4316.00,2615.00,0.00
1984:Q4,4147606.00,2568936.00,353839.00,732782.00,1482315.00,831742.00,783763.00,590903.00,27770.00,423707.00,79275.00,60151.00,192860.00,152655.00,1651.00,38497.00,57.00,47979.00,41380.00,6599.00,-107756.00,308605.00,416361.00,854684.00,649602.00,299148.00,350454.00,205082.00,123840.00,81242.00,33224.00,122125.00,88901.00,4180830.00,-2324.00,2046.00,-2456.00,2734.00,0.00
1985:Q1,4237010.00,2643896.00,368010.00,742385.00,1533501.00,809868.00,793638.00,599419.00,27770.00,427212.00,82378.00,62059.00,194219.00,153092.00,1674.00,39372.00,81.00,16230.00,8511.00,7719.00,-91300.00,306008.00,397308.00,874546.00,666692.00,307484.00,359208.00,207854.00,124724.00,83130.00,25691.00,112635.00,86944.00,4262701.00,-2370.00,-670.00,188.00,2852.00,0.00
1985:Q2,4302296.00,2691201.00,373251.00,752760.00,1565190.00,827040.00,805394.00,609088.00,28072.00,433882.00,82807.00,64327.00,196306.00,154210.00,1746.00,40257.00,93.00,21646.00,16892.00,4754.00,-114445.00,304126.00,418571.00,898500.00,679823.00,312780.00,367043.00,218677.00,131036.00,87641.00,27669.00,114332.00,86663.00,4329965.00,-2482.00,-313.00,-192.00,2987.00,0.00
1985:Q3,4394562.00,2764744.00,396451.00,760484.00,1607809.00,822153.00,805850.00,604428.00,27976.00,428680.00,82465.00,65307.00,201422.00,157898.00,1789.00,41628.00,107.00,16303.00,9751.00,6552.00,-116894.00,297273.00,414167.00,924559.00,697823.00,321320.00,376503.00,226736.00,137360.00,89376.00,22494.00,110019.00,87525.00,4417056.00,-2602.00,3996.00,-4524.00,3130.00,0.00
1985:Q4,4453105.00,2790877.00,383753.00,773346.00,1633778.00,859549.00,826430.00,618071.00,29000.00,433604.00,86959.00,68508.00,208359.00,163059.00,1858.00,43233.00,209.00,33119.00,27691.00,5428.00,-133434.00,305434.00,438868.00,936113.00,709893.00,325420.00,384473.00,226220.00,136980.00,89240.00,25604.00,113660.00,88056.00,4478709.00,-2729.00,-274.00,-280.00,3283.00,0.00
1986:Q1,4516344.00,2834731.00,391628.00,779252.00,1663851.00,863454.00,833057.00,613523.00,29447.00,432990.00,81144.00,69942.00,219534.00,171790.00,2061.00,45554.00,129.00,30397.00,26662.00,3735.00,-126013.00,313405.00,439418.00,944172.00,715587.00,325148.00,390439.00,228585.00,134596.00,93989.00,22159.00,116479.00,94320.00,4538503.00,-2714.00,-699.00,-36.00,3449.00,0.00
1986:Q2,4555246.00,2863039.00,407293.00,767454.00,1688292.00,855234.00,839571.00,605013.00,29890.00,424568.00,80082.00,70473.00,234558.00,183904.00,2184.00,48458.00,12.00,15663.00,17950.00,-2287.00,-128871.00,315119.00,443990.00,965844.00,731176.00,335940.00,395236.00,234668.00,138576.00,96092.00,15494.00,112127.00,96633.00,4570740.00,-2835.00,6664.00,-7432.00,3603.00,0.00
1986:Q3,4619627.00,2929733.00,445708.00,771041.00,1712984.00,835830.00,842849.00,601962.00,30783.00,420488.00,79466.00,71225.00,240887.00,189311.00,2266.00,49313.00,-3.00,-7019.00,-3939.00,-3080.00,-138958.00,320476.00,459434.00,993022.00,746703.00,344760.00,401943.00,246319.00,148092.00,98227.00,18178.00,109209.00,91031.00,4637805.00,-2952.00,-793.00,-8.00,3753.00,0.00
1986:Q4,4669396.00,2966130.00,441133.00,779007.00,1745990.00,842063.00,854822.00,610554.00,32476.00,425338.00,79781.00,72959.00,244268.00,192715.00,1547.00,49300.00,706.00,-12759.00,-10571.00,-2188.00,-133626.00,335000.00,468626.00,994829.00,752065.00,340124.00,411941.00,242764.00,146272.00,96492.00,11996.00,107480.00,95484.00,4681392.00,-3062.00,3791.00,-4620.00,3891.00,0.00
1987:Q1,4736231.00,2998253.00,418497.00,797383.00,1782373.00,871198.00,843225.00,596554.00,33151.00,410639.00,81171.00,71593.00,246671.00,195678.00,2214.00,48821.00,-42.00,27973.00,33268.00,-5295.00,-141236.00,336450.00,477686.00,1008016.00,760586.00,342300.00,418286.00,247430.00,147304.00,100126.00,14368.00,112383.00,98015.00,4750599.00,-3149.00,-891.00,-4.00,4044.00,0.00
1987:Q2,4821459.00,3068803.00,439101.00,812282.00,1817420.00,874587.00,858063.00,608370.00,34830.00,417471.00,82751.00,73318.00,249693.00,199368.00,2044.00,48235.00,46.00,16524.00,25059.00,-8535.00,-146978.00,355360.00,502338.00,1025047.00,771342.00,346040.00,425302.00,253705.00,153148.00,100557.00,18133.00,121378.00,103245.00,4839592.00,-3226.00,-729.00,-188.00,4143.00,0.00
1987:Q3,4900509.00,3133528.00,460541.00,820657.00,1852330.00,876468.00,875451.00,625481.00,36414.00,427511.00,85851.00,75705.00,249970.00,200922.00,1997.00,46891.00,160.00,1017.00,4437.00,-3420.00,-145463.00,371855.00,517318.00,1035976.00,776965.00,346192.00,430773.00,259011.00,156044.00,102967.00,17765.00,125897.00,108132.00,4918274.00,-3282.00,-108.00,-824.00,4214.00,0.00
1987:Q4,5022670.00,3167620.00,449949.00,826781.00,1890890.00,946454.00,883372.00,630547.00,36855.00,430006.00,87043.00,76643.00,252825.00,204945.00,1577.00,45797.00,506.00,63082.00,62852.00,230.00,-145406.00,392107.00,537513.00,1054002.00,795586.00,356556.00,439030.00,258416.00,153292.00,105124.00,19684.00,133485.00,113801.00,5042354.00,-3319.00,-207.00,-736.00,4262.00,0.00
1988:Q1,5090615.00,3248998.00,470441.00,838387.00,1940170.00,908571.00,891615.00,641500.00,37171.00,438082.00,87940.00,78307.00,250115.00,204659.00,1956.00,43481.00,19.00,16956.00,20003.00,-3047.00,-123985.00,418728.00,542713.00,1057031.00,803498.00,356592.00,446906.00,253533.00,147432.00,106101.00,24989.00,145471.00,120482.00,5115604.00,-3335.00,-1085.00,180.00,4240.00,0.00
1988:Q2,5207707.00,3308970.00,473223.00,853540.00,1982207.00,934526.00,914878.00,659367.00,37999.00,449047.00,91277.00,81044.00,255511.00,210321.00,1901.00,43214.00,75.00,19648.00,29350.00,-9702.00,-106626.00,439472.00,546098.00,1070837.00,812328.00,357568.00,454760.00,258509.00,147876.00,110633.00,22816.00,146475.00,123659.00,5230523.00,-3374.00,-3344.00,2428.00,4290.00,0.00
1988:Q3,5299487.00,3378332.00,470389.00,870778.00,2037165.00,942003.00,923822.00,666326.00,38324.00,453276.00,92042.00,82684.00,257496.00,212547.00,1849.00,43015.00,85.00,18181.00,27098.00,-8917.00,-99263.00,453586.00,552849.00,1078415.00,819698.00,357716.00,461982.00,258717.00,148076.00,110641.00,20162.00,153453.00,133291.00,5319649.00,-3433.00,1448.00,-2380.00,4365.00,0.00
1988:Q4,5412713.00,3451266.00,486162.00,886322.00,2078782.00,962751.00,943607.00,681926.00,39280.00,463438.00,93546.00,85662.00,261681.00,215830.00,1711.00,43869.00,271.00,19144.00,35332.00,-16188.00,-107695.00,466619.00,574314.00,1106391.00,843570.00,371468.00,472102.00,262821.00,148548.00,114273.00,22663.00,163066.00,140403.00,5435376.00,-3515.00,-102.00,-852.00,4469.00,0.00
1989:Q1,5527352.00,3506077.00,486449.00,902528.00,2117100.00,1005364.00,957227.00,696343.00,40314.00,474333.00,92922.00,88774.00,260884.00,214267.00,1976.00,44593.00,48.00,48137.00,39318.00,8819.00,-100965.00,485189.00,586154.00,1116876.00,853437.00,368520.00,484917.00,263439.00,149024.00,114415.00,22396.00,171439.00,149043.00,5549748.00,-3585.00,-1140.00,124.00,4601.00,0.00
1989:Q2,5628429.00,3569519.00,493343.00,927748.00,2148428.00,1000990.00,964733.00,708941.00,41303.00,482165.00,94538.00,90935.00,255792.00,209220.00,2025.00,44498.00,49.00,36257.00,31635.00,4622.00,-88160.00,507229.00,595389.00,1146080.00,878563.00,382152.00,496411.00,267517.00,149668.00,117849.00,21666.00,179764.00,158098.00,5650095.00,-3718.00,495.00,-1548.00,4771.00,0.00
1989:Q3,5711556.00,3625560.00,505640.00,936289.00,2183631.00,996504.00,986678.00,731180.00,42921.00,499763.00,94942.00,93554.00,255498.00,208378.00,1773.00,45150.00,197.00,9826.00,14216.00,-4390.00,-75075.00,509352.00,584427.00,1164567.00,889558.00,383488.00,506070.00,275009.00,155000.00,120009.00,24296.00,178658.00,154362.00,5735852.00,-3873.00,-370.00,-728.00,4971.00,0.00
1989:Q4,5763445.00,3670109.00,491885.00,951340.00,2226884.00,995948.00,979395.00,727512.00,43084.00,505460.00,86941.00,92027.00,251883.00,204729.00,1818.00,45141.00,195.00,16553.00,19737.00,-3184.00,-82765.00,515387.00,598152.00,1180153.00,904395.00,386492.00,517903.00,275758.00,151176.00,124582.00,30799.00,180934.00,150135.00,5794244.00,-4046.00,-355.00,-792.00,5193.00,0.00
1990:Q1,5890835.00,3754497.00,515394.00,974170.00,2264933.00,1010840.00,996886.00,740882.00,44317.00,519224.00,85540.00,91801.00,256004.00,207673.00,1683.00,46453.00,195.00,13954.00,11593.00,2361.00,-88532.00,538235.00,626767.00,1214030.00,927401.00,396704.00,530697.00,286629.00,155916.00,130713.00,29519.00,183763.00,154244.00,5920354.00,-4127.00,-946.00,-432.00,5505.00,0.00
1990:Q2,5974665.00,3800161.00,498408.00,980853.00,2320900.00,1014752.00,981052.00,734157.00,44474.00,522768.00,77769.00,89146.00,246895.00,200228.00,1636.00,44833.00,198.00,33700.00,33174.00,526.00,-68833.00,545926.00,614759.00,1228585.00,940147.00,401008.00,539139.00,288438.00,158500.00,129938.00,31624.00,184516.00,152892.00,6006289.00,-4266.00,-66.00,-1360.00,5692.00,0.00
1990:Q3,6029505.00,3863399.00,493569.00,1003107.00,2366723.00,1000658.00,978792.00,744285.00,45781.00,534337.00,75558.00,88609.00,234507.00,190487.00,1685.00,42137.00,198.00,21866.00,17185.00,4681.00,-74953.00,555149.00,630102.00,1240401.00,949690.00,398688.00,551002.00,290711.00,159304.00,131407.00,27137.00,184722.00,157585.00,6056642.00,-4365.00,-22.00,-1436.00,5823.00,0.00
1990:Q4,6023332.00,3884449.00,480946.00,1018756.00,2384747.00,947550.00,958885.00,737616.00,46180.00,529805.00,75487.00,86144.00,221269.00,180360.00,1802.00,38912.00,195.00,-11335.00,-15238.00,3903.00,-79096.00,568186.00,647282.00,1270429.00,974739.00,410860.00,563879.00,295690.00,159096.00,136594.00,50487.00,202387.00,151900.00,6073819.00,-4422.00,-1581.00,104.00,5899.00,0.00
1991:Q1,6054867.00,3890218.00,471690.00,1014148.00,2404380.00,924608.00,940128.00,729839.00,46616.00,527485.00,72077.00,83661.00,210289.00,172377.00,1925.00,35792.00,195.00,-15520.00,-14679.00,-841.00,-47140.00,573177.00,620317.00,1287181.00,996436.00,427160.00,569276.00,290745.00,155704.00,135041.00,39457.00,186772.00,147315.00,6094324.00,-4260.00,-1739.00,152.00,5847.00,0.00
1991:Q2,6143612.00,3943691.00,475248.00,1021765.00,2446678.00,926552.00,944585.00,726797.00,47234.00,526084.00,71465.00,82014.00,217788.00,179778.00,1977.00,35838.00,195.00,-18033.00,-16405.00,-1628.00,-23188.00,590733.00,613921.00,1296557.00,1001420.00,426196.00,575224.00,295137.00,159308.00,135829.00,28558.00,167995.00,139437.00,6172170.00,-4263.00,-1738.00,148.00,5853.00,0.00
1991:Q3,6218425.00,3989638.00,484335.00,1024393.00,2480910.00,947472.00,946629.00,720146.00,47502.00,522521.00,69883.00,80240.00,226483.00,188422.00,1769.00,35989.00,303.00,843.00,10159.00,-9316.00,-21073.00,600596.00,621669.00,1302388.00,1006826.00,423452.00,583374.00,295562.00,157460.00,138102.00,25110.00,161533.00,136423.00,6243535.00,-4261.00,-1724.00,136.00,5849.00,0.00
1991:Q4,6279296.00,4017069.00,477454.00,1020699.00,2518916.00,978757.00,947624.00,717569.00,47926.00,521875.00,68575.00,79193.00,230055.00,192846.00,1791.00,35253.00,165.00,31133.00,23835.00,7298.00,-23054.00,615216.00,638270.00,1306524.00,1011602.00,418956.00,592646.00,294922.00,154716.00,140206.00,33221.00,157152.00,123931.00,6312517.00,-4255.00,-1746.00,160.00,5841.00,0.00
1992:Q1,6380798.00,4117664.00,496179.00,1037668.00,2583817.00,956774.00,956528.00,714166.00,48186.00,523772.00,63886.00,78322.00,242362.00,204523.00,1872.00,35766.00,201.00,246.00,-6642.00,6888.00,-20540.00,625283.00,645823.00,1326900.00,1026589.00,423092.00,603497.00,300311.00,155520.00,144791.00,32733.00,154791.00,122058.00,6413531.00,-4277.00,-1755.00,208.00,5868.00,-44.00
1992:Q2,6492300.00,4173359.00,500989.00,1047218.00,2625152.00,1013062.00,989853.00,736695.00,49672.00,540589.00,65867.00,80567.00,253158.00,214658.00,1949.00,36469.00,82.00,23209.00,13717.00,9492.00,-32788.00,626163.00,658951.00,1338667.00,1040935.00,425540.00,615395.00,297732.00,156644.00,141088.00,32056.00,157094.00,125038.00,6524356.00,-4268.00,-1764.00,208.00,5856.00,-32.00
1992:Q3,6586548.00,4245410.00,512092.00,1061050.00,2672268.00,1024205.00,1003693.00,748579.00,49872.00,549952.00,66815.00,81940.00,255114.00,216596.00,1870.00,36423.00,225.00,20512.00,14862.00,5650.00,-38488.00,639365.00,677853.00,1355421.00,1061145.00,435612.00,625533.00,294276.00,157056.00,137220.00,29210.00,148901.00,119691.00,6615758.00,-4259.00,-1740.00,180.00,5843.00,-24.00
1992:Q4,6697552.00,4326188.00,523065.00,1074810.00,2728313.00,1058008.00,1036664.00,768333.00,49982.00,565801.00,68055.00,84495.00,268331.00,227680.00,-7755.00,38570.00,9836.00,21344.00,17921.00,3423.00,-47139.00,641397.00,688536.00,1360495.00,1068344.00,436600.00,631744.00,292151.00,156356.00,135795.00,30309.00,147421.00,117112.00,6727861.00,-4250.00,-1722.00,160.00,5832.00,-20.00
