1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,883202.00,518941.00,75641.00,187864.00,255436.00,147654.00,139221.00,101745.00,6240.00,75054.00,16087.00,4364.00,37476.00,28306.00,765.00,8405.00,0.00,8433.00,7987.00,446.00,2239.00,43892.00,41653.00,214368.00,156088.00,90980.00,65108.00,58280.00,32168.00,26112.00,5584.00,9026.00,3442.00,888786.00,-1079.00,1075.00,-1402.00,1405.00,1.00
1968:Q1,911135.00,536864.00,80858.00,193534.00,262472.00,152288.00,143850.00,105582.00,6351.00,78123.00,16280.00,4828.00,38268.00,28545.00,576.00,9132.00,15.00,8438.00,4813.00,3625.00,1099.00,45498.00,44399.00,220884.00,162530.00,95004.00,67526.00,58354.00,31344.00,27010.00,5817.00,9516.00,3699.00,916952.00,-1142.00,1765.00,-2110.00,1488.00,-1.00
1968:Q2,936297.00,550592.00,83084.00,197770.00,269738.00,158942.00,144860.00,105297.00,6268.00,78088.00,15930.00,5011.00,39563.00,29165.00,435.00,9937.00,26.00,14082.00,8693.00,5389.00,1942.00,47358.00,45416.00,224821.00,165304.00,95824.00,69480.00,59517.00,31280.00,28237.00,6000.00,9987.00,3987.00,942297.00,-1124.00,557.00,-898.00,1465.00,0.00
1968:Q3,952347.00,566726.00,87544.00,202842.00,276340.00,155684.00,148003.00,107609.00,6391.00,79908.00,16097.00,5213.00,40394.00,29386.00,398.00,10579.00,31.00,7681.00,6452.00,1229.00,1288.00,49529.00,48241.00,228649.00,169119.00,97400.00,71719.00,59530.00,31116.00,28414.00,6252.00,10389.00,4137.00,958599.00,-1076.00,569.00,-895.00,1402.00,0.00
1968:Q4,970129.00,575628.00,87826.00,205008.00,282794.00,160757.00,154750.00,112178.00,6710.00,83197.00,16847.00,5424.00,42572.00,30626.00,378.00,11521.00,47.00,6007.00,6845.00,-838.00,1067.00,49238.00,48171.00,232677.00,173141.00,99016.00,74125.00,59536.00,30684.00,28852.00,6271.00,10516.00,4245.00,976400.00,-998.00,-548.00,245.00,1301.00,0.00
1969:Q1,995419.00,587812.00,90010.00,208835.00,288967.00,172388.00,160899.00,115993.00,7052.00,85943.00,17517.00,5481.00,44906.00,31929.00,453.00,12456.00,68.00,11489.00,8542.00,2947.00,171.00,43974.00,43803.00,235048.00,173531.00,97096.00,76435.00,61517.00,32480.00,29037.00,6334.00,11084.00,4750.00,1001753.00,-837.00,-295.00,41.00,1091.00,0.00
1969:Q2,1011361.00,599170.00,90448.00,212216.00,296506.00,172720.00,163498.00,118368.00,7286.00,87649.00,17950.00,5483.00,45130.00,31721.00,603.00,12802.00,4.00,9222.00,6880.00,2342.00,1244.00,53915.00,52671.00,238227.00,178513.00,99468.00,79045.00,59714.00,30252.00,29462.00,6161.00,11534.00,5373.00,1017522.00,-760.00,-408.00,177.00,991.00,0.00
1969:Q3,1032017.00,609487.00,90629.00,215988.00,302870.00,177566.00,167372.00,122410.00,7597.00,90342.00,18885.00,5586.00,44962.00,31310.00,618.00,13016.00,18.00,10194.00,9809.00,385.00,976.00,53340.00,52364.00,243988.00,184078.00,102308.00,81770.00,59910.00,31036.00,28874.00,5948.00,12060.00,6112.00,1037965.00,-713.00,-337.00,121.00,929.00,0.00
1969:Q4,1040742.00,621488.00,90844.00,219744.00,310900.00,171577.00,165790.00,123287.00,7686.00,90754.00,19274.00,5573.00,42503.00,29326.00,614.00,12532.00,31.00,5787.00,6577.00,-790.00,3333.00,56459.00,53126.00,244344.00,187322.00,102820.00,84502.00,57022.00,29124.00,27898.00,6017.00,12438.00,6421.00,1046759.00,-701.00,-289.00,77.00,913.00,0.00
1970:Q1,1053527.00,632576.00,89611.00,224482.00,318483.00,168113.00,166290.00,123797.00,7720.00,91614.00,18893.00,5570.00,42493.00,29144.00,605.00,12737.00,7.00,1823.00,269.00,1554.00,3396.00,56913.00,53517.00,249442.00,190445.00,102676.00,87769.00,58997.00,30828.00,28169.00,6287.00,12872.00,6585.00,1059814.00,-734.00,-127.00,-95.00,956.00,0.00
