1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q4,85559.00,199576.00,101673.00,7888.00,93785.00,97903.00,1270251.00,932.00,0.00,916.00,-15716.00,-30172.00,20489.00,34742.00,24612.00,-29808.00,528755.00,8871.00,72028.00,193235.00,96608.00,158012.00,317975.00,47491.00,38582.00,151961.00,79942.00,262839.00,86541.00,14136.00,0.00,73684.00,-19675.00,1172348.00,-17084.00,138624.00,17111.00,17105.00,-105608.00,344120.00,32663.00,155126.00,156332.00,16497.00,1023.00,10018.00,5456.00,61952.00,297087.00,-1472.00,34692.00,306220.00,8344.00,-1360.00,34077.00,22043.00,-114017.00
1994:Q1,41254.00,-33657.00,103360.00,7845.00,95515.00,-137017.00,1905740.00,-82.00,0.00,892.00,5496.00,36688.00,11388.00,-19722.00,51032.00,237049.00,230812.00,-63773.00,-5583.00,93872.00,17156.00,189140.00,347856.00,-12380.00,61061.00,176017.00,123158.00,133148.00,92656.00,4632.00,0.00,10147.00,763748.00,2042758.00,141419.00,20733.00,-92488.00,-19065.00,271480.00,558894.00,40255.00,351399.00,167241.00,19156.00,-13762.00,23094.00,9824.00,21664.00,183936.00,8748.00,28004.00,383540.00,-2476.00,-52.00,-3441.00,522705.00,74911.00
1994:Q2,83969.00,145671.00,105946.00,9272.00,96674.00,39726.00,1220793.00,-6788.00,0.00,840.00,-9992.00,5562.00,-7638.00,22714.00,15968.00,64322.00,218678.00,16384.00,43917.00,140756.00,-39974.00,57596.00,359553.00,23163.00,40286.00,176882.00,119222.00,218307.00,63951.00,-1968.00,0.00,1593.00,275690.00,1181067.00,97149.00,-102699.00,4781.00,89273.00,93498.00,385320.00,30195.00,274926.00,80199.00,-12616.00,-34628.00,9611.00,12400.00,11124.00,120004.00,-9068.00,24196.00,364548.00,-3432.00,-2164.00,8000.00,113153.00,-61702.00
1994:Q3,93472.00,184401.00,106733.00,9713.00,97020.00,77668.00,1359703.00,666.00,0.00,1004.00,-1548.00,-22343.00,7059.00,-13777.00,65304.00,132857.00,399409.00,59755.00,20046.00,167169.00,53004.00,99436.00,409692.00,58796.00,55518.00,176237.00,119141.00,199468.00,62085.00,15492.00,0.00,3911.00,100423.00,1282035.00,18458.00,15670.00,73414.00,56540.00,201360.00,373517.00,45474.00,237155.00,90888.00,16302.00,-26021.00,30324.00,12000.00,6336.00,132237.00,1072.00,65160.00,326380.00,3792.00,-96.00,-5242.00,-2866.00,-90929.00
1994:Q4,87048.00,106611.00,100495.00,2177.00,98318.00,6116.00,532110.00,-4374.00,0.00,860.00,29792.00,-20707.00,-9522.00,23901.00,-46424.00,-276460.00,175180.00,72355.00,4092.00,124591.00,-63101.00,37244.00,483046.00,108253.00,75140.00,184796.00,114858.00,43126.00,173640.00,18048.00,0.00,-9003.00,-48993.00,525994.00,109902.00,19180.00,32889.00,55996.00,-408102.00,474717.00,45885.00,305137.00,123695.00,35446.00,8443.00,22099.00,4904.00,384.00,21011.00,-4432.00,22064.00,195020.00,-1220.00,-2148.00,739.00,-25452.00,-19563.00
1995:Q1,81122.00,143424.00,100363.00,1737.00,98626.00,43061.00,1556977.00,7862.00,0.00,928.00,-3124.00,17346.00,-10300.00,46713.00,20732.00,211639.00,528783.00,46049.00,218229.00,113088.00,47310.00,104108.00,534892.00,132914.00,49130.00,197848.00,155000.00,-21633.00,94619.00,16296.00,0.00,6472.00,105752.00,1513916.00,1891.00,-24131.00,113696.00,21384.00,327676.00,321850.00,38352.00,119194.00,164304.00,20875.00,-17475.00,34985.00,3364.00,-2508.00,69584.00,-512.00,40980.00,326732.00,4320.00,112.00,1294.00,290674.00,-62302.00
1995:Q2,90356.00,244627.00,101706.00,4055.00,97651.00,142922.00,1929610.00,3564.00,0.00,1056.00,1440.00,-14285.00,15084.00,31881.00,4684.00,306811.00,713917.00,50266.00,116458.00,191396.00,55466.00,300332.00,520925.00,144189.00,25071.00,215256.00,136409.00,41739.00,104137.00,16592.00,0.00,4354.00,177712.00,1786688.00,-35456.00,32451.00,256601.00,330618.00,210957.00,388439.00,55517.00,196026.00,136896.00,27488.00,23528.00,-3888.00,7848.00,-2352.00,127207.00,1236.00,45492.00,334320.00,9532.00,-1828.00,-6682.00,68665.00,-154271.00
1995:Q3,93866.00,236364.00,100173.00,2294.00,97879.00,136191.00,1706034.00,2520.00,8600.00,1080.00,23640.00,-5802.00,12082.00,51529.00,5872.00,49660.00,421180.00,48236.00,-6557.00,229824.00,12789.00,136888.00,559350.00,93234.00,77700.00,237439.00,150977.00,87659.00,119570.00,8668.00,0.00,7528.00,352898.00,1569843.00,5616.00,-63858.00,228412.00,82727.00,125955.00,468442.00,60216.00,204958.00,203268.00,20986.00,4795.00,11702.00,4488.00,-10324.00,223314.00,2668.00,24540.00,361252.00,9708.00,2216.00,5053.00,83136.00,-142498.00
1995:Q4,81466.00,214679.00,103443.00,2891.00,100552.00,111236.00,1671605.00,-1268.00,0.00,972.00,-5812.00,10702.00,-19066.00,9269.00,20028.00,169034.00,579088.00,-3371.00,-165.00,240536.00,73236.00,268852.00,449041.00,73595.00,66016.00,166877.00,142554.00,-13113.00,115750.00,39020.00,0.00,15358.00,302601.00,1560369.00,-14958.00,-59845.00,97411.00,133322.00,113007.00,534141.00,16680.00,296977.00,220484.00,72772.00,-22309.00,89481.00,5600.00,-13680.00,255267.00,1056.00,31128.00,323764.00,8824.00,-2540.00,12215.00,68485.00,-133213.00
1996:Q1,88556.00,171063.00,108274.00,2891.00,105383.00,62789.00,1974731.00,-2114.00,0.00,1064.00,6132.00,-1178.00,3276.00,8370.00,91392.00,139675.00,555625.00,45284.00,84022.00,202413.00,34706.00,189200.00,640515.00,101043.00,95636.00,328518.00,115317.00,75467.00,98252.00,12144.00,0.00,6700.00,339411.00,1911942.00,-17856.00,-74365.00,248186.00,187094.00,192477.00,294512.00,-2101.00,178159.00,118453.00,156447.00,71302.00,79537.00,5608.00,-28248.00,326287.00,5408.00,13648.00,319220.00,-4028.00,1368.00,69233.00,222559.00,-82507.00
