date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35.00,0.00,35.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17.00,0.00,-17.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41.00,0.00,-41.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47.00,0.00,47.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1974:Q4,0.00,0.00,0.00,0.00,0.00
1975:Q1,76.00,0.00,19.00,0.00,57.00
1975:Q2,-200.00,0.00,-431.00,0.00,231.00
1975:Q3,450.00,0.00,21.00,0.00,429.00
1975:Q4,500.00,0.00,862.00,0.00,-362.00
1976:Q1,656.00,0.00,560.00,0.00,96.00
1976:Q2,513.00,0.00,116.00,0.00,397.00
1976:Q3,-178.00,0.00,-589.00,0.00,411.00
1976:Q4,678.00,0.00,730.00,0.00,-52.00
1977:Q1,846.00,0.00,458.00,0.00,388.00
1977:Q2,1444.00,0.00,847.00,73.00,524.00
1977:Q3,-741.00,0.00,170.00,33.00,-944.00
1977:Q4,-234.00,0.00,772.00,-92.00,-914.00
1978:Q1,1285.00,0.00,1411.00,241.00,-367.00
1978:Q2,151.00,0.00,353.00,-110.00,-92.00
1978:Q3,-579.00,0.00,-993.00,156.00,258.00
1978:Q4,1592.00,0.00,1860.00,169.00,-437.00
1979:Q1,5230.00,0.00,4207.00,692.00,331.00
1979:Q2,-372.00,0.00,-1251.00,1136.00,-257.00
1979:Q3,5293.00,0.00,-1496.00,1558.00,5231.00
1979:Q4,-369.00,0.00,303.00,1253.00,-1925.00
1980:Q1,3158.00,0.00,-906.00,1207.00,2857.00
1980:Q2,1733.00,0.00,-610.00,740.00,1603.00
1980:Q3,-2357.00,0.00,106.00,1601.00,-4064.00
1980:Q4,1945.00,0.00,1026.00,-1888.00,2807.00
1981:Q1,6535.00,0.00,-312.00,3985.00,2862.00
1981:Q2,1198.00,0.00,27.00,3420.00,-2249.00
1981:Q3,818.00,0.00,1084.00,2898.00,-3164.00
1981:Q4,1868.00,0.00,1891.00,1774.00,-1797.00
1982:Q1,5363.00,0.00,-2320.00,3620.00,4063.00
1982:Q2,1112.00,0.00,1244.00,738.00,-870.00
1982:Q3,-7127.00,0.00,-3042.00,-385.00,-3700.00
1982:Q4,2656.00,0.00,1795.00,940.00,-79.00
1983:Q1,2225.00,109.00,1517.00,-4577.00,5176.00
1983:Q2,-929.00,-46.00,-35.00,462.00,-1310.00
1983:Q3,2264.00,111.00,1631.00,246.00,276.00
1983:Q4,2891.00,142.00,1217.00,2021.00,-489.00
1984:Q1,4865.00,253.00,1148.00,1863.00,1601.00
1984:Q2,1525.00,90.00,962.00,-803.00,1276.00
1984:Q3,-5164.00,-254.00,-4085.00,680.00,-1505.00
1984:Q4,-2173.00,-91.00,866.00,-2454.00,-494.00
1985:Q1,1780.00,115.00,-716.00,-256.00,2637.00
1985:Q2,-5517.00,-205.00,-673.00,-2359.00,-2280.00
1985:Q3,5072.00,395.00,619.00,401.00,3657.00
1985:Q4,5765.00,511.00,3509.00,28.00,1717.00
1986:Q1,4456.00,161.00,1711.00,146.00,2438.00
1986:Q2,6415.00,174.00,1120.00,2873.00,2248.00
1986:Q3,9606.00,321.00,-750.00,582.00,9453.00
1986:Q4,7120.00,120.00,1097.00,-472.00,6375.00
1987:Q1,1091.00,-66.00,-2375.00,4921.00,-1389.00
1987:Q2,406.00,-162.00,-930.00,-3172.00,4670.00
1987:Q3,1233.00,-125.00,-815.00,-1221.00,3394.00
1987:Q4,5826.00,222.00,1181.00,-1089.00,5512.00
1988:Q1,-1883.00,-35.00,2072.00,488.00,-4408.00
1988:Q2,8835.00,406.00,7064.00,13.00,1352.00
1988:Q3,4080.00,188.00,875.00,383.00,2634.00
1988:Q4,3620.00,353.00,-4719.00,7185.00,801.00
1989:Q1,13727.00,445.00,-2932.00,-665.00,16879.00
1989:Q2,2695.00,-121.00,-1509.00,-6687.00,11012.00
1989:Q3,5248.00,236.00,-3121.00,7058.00,1075.00
1989:Q4,7427.00,205.00,713.00,-3026.00,9535.00
1990:Q1,-5617.00,-119.00,964.00,668.00,-7130.00
1990:Q2,12369.00,557.00,-118.00,994.00,10936.00
1990:Q3,14145.00,637.00,-1042.00,3766.00,10784.00
1990:Q4,7014.00,335.00,208.00,-4731.00,11202.00
1991:Q1,-931.00,532.00,632.00,5867.00,-7962.00
1991:Q2,-12172.00,-2.00,-2750.00,-5701.00,-3719.00
1991:Q3,-2299.00,452.00,979.00,-3027.00,-703.00
1991:Q4,-11074.00,46.00,2857.00,-2358.00,-11619.00
1992:Q1,-8693.00,1.00,-1457.00,-1382.00,-5855.00
1992:Q2,2174.00,387.00,9.00,-3638.00,5416.00
1992:Q3,4980.00,551.00,652.00,4790.00,-1013.00
1992:Q4,-1898.00,234.00,152.00,-1019.00,-1265.00
1993:Q1,-2650.00,-155.00,-2302.00,-1676.00,1483.00
1993:Q2,-1587.00,-93.00,178.00,380.00,-2052.00
