date,FU713014003.Q,FU713014003.Q,FU313112003.Q,FU713012003.Q,FU903012005.Q
1959:Q1,0.00,0.00,6.00,12.00,-6.00
1959:Q2,0.00,0.00,15.00,33.00,-18.00
1959:Q3,0.00,0.00,5.00,30.00,-25.00
1959:Q4,0.00,0.00,13.00,2.00,11.00
1960:Q1,0.00,0.00,13.00,29.00,-16.00
1960:Q2,0.00,0.00,9.00,14.00,-5.00
1960:Q3,0.00,0.00,12.00,21.00,-9.00
1960:Q4,0.00,0.00,13.00,23.00,-10.00
1961:Q1,0.00,0.00,5.00,11.00,-6.00
1961:Q2,0.00,0.00,16.00,28.00,-12.00
1961:Q3,0.00,0.00,16.00,125.00,-109.00
1961:Q4,0.00,0.00,17.00,23.00,-6.00
1962:Q1,0.00,0.00,8.00,3.00,5.00
1962:Q2,0.00,0.00,9.00,10.00,-1.00
1962:Q3,0.00,0.00,-8.00,-48.00,40.00
1962:Q4,0.00,0.00,11.00,17.00,-6.00
1963:Q1,0.00,0.00,9.00,11.00,-2.00
1963:Q2,0.00,0.00,10.00,9.00,1.00
1963:Q3,0.00,0.00,9.00,1.00,8.00
1963:Q4,0.00,0.00,18.00,-10.00,28.00
1964:Q1,0.00,0.00,19.00,1.00,18.00
1964:Q2,0.00,0.00,16.00,-1.00,17.00
1964:Q3,0.00,0.00,14.00,-25.00,39.00
1964:Q4,0.00,0.00,-25.00,-148.00,123.00
1965:Q1,0.00,0.00,34.00,-15.00,49.00
1965:Q2,0.00,0.00,37.00,22.00,15.00
1965:Q3,0.00,0.00,48.00,60.00,-12.00
1965:Q4,0.00,0.00,115.00,103.00,12.00
1966:Q1,0.00,0.00,178.00,161.00,17.00
1966:Q2,0.00,0.00,301.00,242.00,59.00
1966:Q3,0.00,0.00,197.00,108.00,89.00
1966:Q4,0.00,0.00,223.00,231.00,-8.00
1967:Q1,0.00,0.00,213.00,187.00,26.00
1967:Q2,0.00,0.00,218.00,108.00,110.00
1967:Q3,0.00,0.00,166.00,148.00,18.00
1967:Q4,0.00,0.00,86.00,24.00,62.00
1968:Q1,0.00,0.00,224.00,171.00,53.00
1968:Q2,0.00,0.00,60.00,-91.00,151.00
1968:Q3,0.00,0.00,46.00,33.00,13.00
1968:Q4,0.00,0.00,86.00,54.00,32.00
1969:Q1,0.00,0.00,46.00,31.00,15.00
1969:Q2,0.00,0.00,58.00,-90.00,148.00
1969:Q3,0.00,0.00,32.00,25.00,7.00
1969:Q4,0.00,0.00,136.00,87.00,49.00
1970:Q1,400.00,400.00,63.00,52.00,11.00
1970:Q2,0.00,0.00,24.00,86.00,-62.00
1970:Q3,0.00,0.00,71.00,88.00,-17.00
1970:Q4,0.00,0.00,64.00,75.00,-11.00
1971:Q1,0.00,0.00,98.00,121.00,-23.00
1971:Q2,0.00,0.00,143.00,150.00,-7.00
1971:Q3,0.00,0.00,114.00,127.00,-13.00
1971:Q4,0.00,0.00,135.00,80.00,55.00
1972:Q1,0.00,0.00,173.00,268.00,-95.00
1972:Q2,0.00,0.00,153.00,171.00,-18.00
1972:Q3,0.00,0.00,111.00,134.00,-23.00
1972:Q4,0.00,0.00,96.00,113.00,-17.00
1973:Q1,0.00,0.00,88.00,107.00,-19.00
1973:Q2,0.00,0.00,193.00,111.00,82.00
1973:Q3,0.00,0.00,64.00,83.00,-19.00
1973:Q4,0.00,0.00,77.00,102.00,-25.00
1974:Q1,0.00,0.00,100.00,97.00,3.00
1974:Q2,0.00,0.00,97.00,111.00,-14.00
1974:Q3,0.00,0.00,103.00,145.00,-42.00
1974:Q4,0.00,0.00,145.00,183.00,-38.00
1975:Q1,0.00,0.00,167.00,201.00,-34.00
1975:Q2,100.00,100.00,211.00,234.00,-23.00
1975:Q3,0.00,0.00,199.00,247.00,-48.00
1975:Q4,0.00,0.00,260.00,284.00,-24.00
1976:Q1,0.00,0.00,148.00,185.00,-37.00
1976:Q2,0.00,0.00,339.00,155.00,184.00
1976:Q3,300.00,300.00,-101.00,127.00,-228.00
1976:Q4,400.00,400.00,103.00,135.00,-32.00
1977:Q1,0.00,0.00,-11.00,119.00,-130.00
1977:Q2,0.00,0.00,117.00,142.00,-25.00
1977:Q3,0.00,0.00,99.00,125.00,-26.00
1977:Q4,50.00,50.00,45.00,125.00,-80.00
1978:Q1,0.00,0.00,136.00,110.00,26.00
1978:Q2,0.00,0.00,97.00,124.00,-27.00
1978:Q3,50.00,50.00,129.00,118.00,11.00
1978:Q4,0.00,0.00,112.00,148.00,-36.00
1979:Q1,0.00,0.00,276.00,327.00,-51.00
1979:Q2,500.00,500.00,323.00,367.00,-44.00
1979:Q3,0.00,0.00,280.00,300.00,-20.00
1979:Q4,0.00,0.00,231.00,266.00,-35.00
1980:Q1,1168.00,1168.00,216.00,261.00,-45.00
1980:Q2,50.00,50.00,140.00,171.00,-31.00
1980:Q3,250.00,250.00,76.00,130.00,-54.00
1980:Q4,-750.00,-750.00,132.00,179.00,-47.00
1981:Q1,300.00,300.00,110.00,172.00,-62.00
1981:Q2,250.00,250.00,99.00,154.00,-55.00
1981:Q3,250.00,250.00,108.00,155.00,-47.00
1981:Q4,0.00,0.00,128.00,169.00,-41.00
1982:Q1,250.00,250.00,104.00,155.00,-51.00
1982:Q2,250.00,250.00,87.00,140.00,-53.00
1982:Q3,400.00,400.00,71.00,135.00,-64.00
1982:Q4,400.00,400.00,95.00,131.00,-36.00
1983:Q1,0.00,0.00,112.00,170.00,-58.00
1983:Q2,0.00,0.00,133.00,179.00,-46.00
1983:Q3,0.00,0.00,137.00,176.00,-39.00
1983:Q4,0.00,0.00,86.00,164.00,-78.00
1984:Q1,0.00,0.00,174.00,157.00,17.00
1984:Q2,0.00,0.00,155.00,224.00,-69.00
1984:Q3,0.00,0.00,83.00,124.00,-41.00
1984:Q4,0.00,0.00,141.00,181.00,-40.00
1985:Q1,0.00,0.00,277.00,170.00,107.00
1985:Q2,0.00,0.00,18.00,195.00,-177.00
1985:Q3,0.00,0.00,80.00,141.00,-61.00
1985:Q4,100.00,100.00,12.00,128.00,-116.00
1986:Q1,0.00,0.00,211.00,155.00,56.00
1986:Q2,100.00,100.00,93.00,123.00,-30.00
1986:Q3,200.00,200.00,76.00,108.00,-32.00
1986:Q4,0.00,0.00,109.00,129.00,-20.00
1987:Q1,0.00,0.00,128.00,168.00,-40.00
1987:Q2,0.00,0.00,107.00,154.00,-47.00
1987:Q3,0.00,0.00,114.00,117.00,-3.00
1987:Q4,0.00,0.00,120.00,171.00,-51.00
1988:Q1,0.00,0.00,129.00,162.00,-33.00
1988:Q2,0.00,0.00,100.00,162.00,-62.00
1988:Q3,0.00,0.00,120.00,136.00,-16.00
1988:Q4,0.00,0.00,162.00,162.00,0.00
1989:Q1,350.00,350.00,140.00,237.00,-97.00
1989:Q2,3150.00,3150.00,180.00,217.00,-37.00
1989:Q3,0.00,0.00,110.00,172.00,-62.00
1989:Q4,0.00,0.00,137.00,202.00,-65.00
1990:Q1,0.00,0.00,150.00,214.00,-64.00
1990:Q2,0.00,0.00,161.00,225.00,-64.00
1990:Q3,0.00,0.00,99.00,155.00,-56.00
1990:Q4,1500.00,1500.00,543.00,181.00,362.00
1991:Q1,0.00,0.00,-298.00,172.00,-470.00
1991:Q2,0.00,0.00,112.00,175.00,-63.00
1991:Q3,0.00,0.00,100.00,137.00,-37.00
1991:Q4,0.00,0.00,126.00,128.00,-2.00
1992:Q1,0.00,0.00,18.00,121.00,-103.00
1992:Q2,0.00,0.00,72.00,118.00,-46.00
1992:Q3,0.00,0.00,47.00,85.00,-38.00
1992:Q4,-2000.00,-2000.00,83.00,109.00,-26.00
1993:Q1,0.00,0.00,72.00,126.00,-54.00
1993:Q2,0.00,0.00,90.00,132.00,-42.00
1993:Q3,0.00,0.00,106.00,161.00,-55.00
1993:Q4,0.00,0.00,178.00,229.00,-51.00
1994:Q1,0.00,0.00,164.00,223.00,-59.00
1994:Q2,0.00,0.00,159.00,210.00,-51.00
1994:Q3,0.00,0.00,192.00,251.00,-59.00
1994:Q4,0.00,0.00,171.00,215.00,-44.00
1995:Q1,0.00,0.00,184.00,232.00,-48.00
1995:Q2,0.00,0.00,170.00,264.00,-94.00
1995:Q3,2150.00,2150.00,197.00,270.00,-73.00
1995:Q4,0.00,0.00,127.00,243.00,-116.00
1996:Q1,0.00,0.00,-1.00,266.00,-267.00
1996:Q2,0.00,0.00,-45.00,251.00,-296.00
1996:Q3,-450.00,-450.00,586.00,224.00,362.00
1996:Q4,0.00,0.00,-1.00,222.00,-223.00
1997:Q1,-518.00,-518.00,109.00,191.00,-82.00
1997:Q2,0.00,0.00,39.00,117.00,-78.00
1997:Q3,0.00,0.00,313.00,128.00,185.00
1997:Q4,0.00,0.00,-1.00,141.00,-142.00
1998:Q1,0.00,0.00,80.00,121.00,-41.00
1998:Q2,0.00,0.00,56.00,122.00,-66.00
1998:Q3,0.00,0.00,425.00,205.00,220.00
1998:Q4,0.00,0.00,-1.00,279.00,-280.00
1999:Q1,-1000.00,-1000.00,0.00,368.00,-368.00
1999:Q2,0.00,0.00,517.00,366.00,151.00
1999:Q3,-1000.00,-1000.00,500.00,453.00,47.00
1999:Q4,-1000.00,-1000.00,-1.00,556.00,-557.00
2000:Q1,0.00,0.00,540.00,990.00,-450.00
2000:Q2,-2000.00,-2000.00,798.00,976.00,-178.00
2000:Q3,-1000.00,-1000.00,1057.00,832.00,225.00
2000:Q4,-1000.00,-1000.00,-1.00,832.00,-833.00
2001:Q1,0.00,0.00,398.00,628.00,-230.00
2001:Q2,0.00,0.00,326.00,399.00,-73.00
2001:Q3,0.00,0.00,558.00,287.00,271.00
2001:Q4,0.00,0.00,0.00,60.00,-60.00
2002:Q1,0.00,0.00,234.00,613.00,-379.00
2002:Q2,0.00,0.00,150.00,365.00,-215.00
2002:Q3,0.00,0.00,604.00,320.00,284.00
2002:Q4,0.00,0.00,0.00,282.00,-282.00
2003:Q1,0.00,0.00,141.00,201.00,-60.00
2003:Q2,0.00,0.00,401.00,267.00,134.00
2003:Q3,0.00,0.00,23.00,208.00,-185.00
2003:Q4,0.00,0.00,-1.00,195.00,-196.00
2004:Q1,0.00,0.00,196.00,293.00,-97.00
2004:Q2,0.00,0.00,289.00,278.00,11.00
2004:Q3,0.00,0.00,174.00,240.00,-66.00
2004:Q4,0.00,0.00,30.00,155.00,-125.00
2005:Q1,0.00,0.00,199.00,111.00,88.00
2005:Q2,0.00,0.00,270.00,70.00,200.00
2005:Q3,0.00,0.00,229.00,-186.00,415.00
2005:Q4,0.00,0.00,81.00,111.00,-30.00
2006:Q1,0.00,0.00,144.00,1339.00,-1195.00
2006:Q2,0.00,0.00,189.00,111.00,78.00
2006:Q3,0.00,0.00,250.00,94.00,156.00
2006:Q4,0.00,0.00,-1.00,122.00,-123.00
2007:Q1,0.00,0.00,102.00,165.00,-63.00
2007:Q2,0.00,0.00,-331.00,150.00,-481.00
2007:Q3,0.00,0.00,-351.00,118.00,-469.00
2007:Q4,0.00,0.00,-101.00,42.00,-143.00
2008:Q1,0.00,0.00,-227.00,-2.00,-225.00
2008:Q2,0.00,0.00,-117.00,-2.00,-115.00
2008:Q3,0.00,0.00,-297.00,-2.00,-295.00
2008:Q4,0.00,0.00,-191.00,-1.00,-190.00
2009:Q1,0.00,0.00,-1.00,3587.00,-3588.00
2009:Q2,0.00,0.00,-1.00,166.00,-167.00
2009:Q3,3000.00,3000.00,-250.00,137.00,-387.00
2009:Q4,0.00,0.00,-100.00,127.00,-227.00
2010:Q1,0.00,0.00,0.00,54.00,-54.00
2010:Q2,0.00,0.00,-1.00,460.00,-461.00
2010:Q3,0.00,0.00,-275.00,208.00,-483.00
2010:Q4,0.00,0.00,0.00,129.00,-129.00
2011:Q1,0.00,0.00,0.00,248.00,-248.00
2011:Q2,0.00,0.00,0.00,163.00,-163.00
2011:Q3,0.00,0.00,0.00,129.00,-129.00
2011:Q4,0.00,0.00,0.00,116.00,-116.00
2012:Q1,0.00,0.00,0.00,191.00,-191.00
2012:Q2,0.00,0.00,0.00,128.00,-128.00
2012:Q3,0.00,0.00,0.00,118.00,-118.00
2012:Q4,0.00,0.00,0.00,116.00,-116.00
2013:Q1,0.00,0.00,0.00,220.00,-220.00
2013:Q2,0.00,0.00,0.00,176.00,-176.00
2013:Q3,0.00,0.00,-350.00,187.00,-537.00
2013:Q4,0.00,0.00,0.00,159.00,-159.00
2014:Q1,0.00,0.00,0.00,256.00,-256.00
2014:Q2,0.00,0.00,0.00,214.00,-214.00
2014:Q3,0.00,0.00,-250.00,208.00,-458.00
2014:Q4,0.00,0.00,0.00,130.00,-130.00
2015:Q1,0.00,0.00,0.00,370.00,-370.00
2015:Q2,0.00,0.00,0.00,329.00,-329.00
2015:Q3,0.00,0.00,0.00,327.00,-327.00
2015:Q4,0.00,0.00,-1.00,240.00,-241.00
2016:Q1,0.00,0.00,0.00,159.00,-159.00
2016:Q2,0.00,0.00,0.00,215.00,-215.00
