1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q4,32788.00,18616.00,4440.00,8368.00,1364.00,32788.00,19212.00,13480.00,3996.00,9484.00,-64.00,160.00,32788.00,1076.00,-12.00,0.00,1304.00,216.00,21192.00,0.00,24.00,-12.00,4.00,4272.00,-16.00,348.00,1540.00,328.00,0.00,1360.00,1164.00
1969:Q1,29524.00,18472.00,3780.00,5392.00,1880.00,29524.00,19212.00,9760.00,3252.00,6508.00,-76.00,628.00,29524.00,2556.00,92.00,0.00,984.00,192.00,17764.00,0.00,124.00,-68.00,8.00,1628.00,48.00,256.00,2852.00,360.00,0.00,2080.00,648.00
1969:Q2,30176.00,17072.00,4624.00,5700.00,2780.00,30176.00,17864.00,12368.00,-1748.00,14116.00,-100.00,44.00,30176.00,-2324.00,148.00,400.00,1100.00,236.00,20568.00,0.00,180.00,-308.00,4.00,1904.00,-40.00,196.00,2904.00,340.00,0.00,3736.00,1132.00
1969:Q3,31228.00,19032.00,4640.00,5916.00,1640.00,31228.00,19760.00,11476.00,-812.00,12288.00,-48.00,40.00,31228.00,1844.00,164.00,400.00,792.00,520.00,19716.00,0.00,196.00,-380.00,4.00,2040.00,260.00,300.00,5080.00,992.00,0.00,-1592.00,892.00
1969:Q4,30988.00,16240.00,6656.00,7120.00,972.00,30988.00,16836.00,14044.00,2880.00,11164.00,-100.00,208.00,30988.00,4740.00,140.00,400.00,1004.00,880.00,11996.00,0.00,172.00,-128.00,12.00,2636.00,328.00,100.00,6648.00,1020.00,0.00,-996.00,2036.00
1970:Q1,31644.00,14964.00,8768.00,5524.00,2388.00,31644.00,13328.00,18372.00,48392.00,-30020.00,-68.00,12.00,31644.00,8460.00,-168.00,400.00,348.00,1704.00,7944.00,0.00,120.00,-1300.00,32.00,2584.00,56.00,300.00,6672.00,1180.00,0.00,1920.00,1392.00
1970:Q2,23520.00,6640.00,6348.00,9212.00,1320.00,23520.00,5244.00,18312.00,3372.00,14940.00,-96.00,60.00,23520.00,-1552.00,32.00,400.00,520.00,436.00,9756.00,0.00,92.00,56.00,48.00,2216.00,-68.00,632.00,5284.00,856.00,0.00,3256.00,1556.00
1970:Q3,31812.00,12864.00,8456.00,9216.00,1276.00,31812.00,12496.00,19132.00,796.00,18336.00,-104.00,288.00,31812.00,1760.00,24.00,400.00,192.00,664.00,17240.00,0.00,84.00,108.00,52.00,1420.00,-80.00,-76.00,6308.00,1676.00,0.00,408.00,1632.00
1970:Q4,36500.00,17868.00,8644.00,8984.00,1004.00,36500.00,17648.00,18780.00,3052.00,15728.00,-32.00,104.00,36500.00,48.00,24.00,400.00,148.00,864.00,20744.00,0.00,96.00,116.00,48.00,3172.00,-88.00,524.00,3264.00,2492.00,0.00,1640.00,3008.00
1971:Q1,38792.00,23948.00,8732.00,4788.00,1324.00,38792.00,22936.00,15768.00,4572.00,11196.00,-56.00,144.00,38792.00,2100.00,20.00,1100.00,-356.00,1224.00,23576.00,0.00,104.00,-16.00,0.00,632.00,-364.00,396.00,164.00,4808.00,0.00,3732.00,1672.00
1971:Q2,44556.00,20184.00,10960.00,9560.00,3852.00,44556.00,15560.00,28944.00,4612.00,24332.00,-84.00,136.00,44556.00,-6468.00,-80.00,1200.00,-160.00,624.00,36424.00,0.00,216.00,32.00,-20.00,-96.00,-664.00,604.00,1360.00,6460.00,0.00,2512.00,2612.00
1971:Q3,53292.00,29640.00,9388.00,12948.00,1316.00,53292.00,27724.00,25572.00,3684.00,21888.00,-72.00,68.00,53292.00,-6320.00,84.00,1200.00,-276.00,1308.00,43000.00,0.00,108.00,72.00,-28.00,968.00,-584.00,32.00,7488.00,3188.00,0.00,892.00,2160.00
1971:Q4,57436.00,33408.00,9804.00,13160.00,1064.00,57436.00,32332.00,24992.00,5536.00,19456.00,-76.00,188.00,57436.00,-2876.00,76.00,1200.00,-728.00,1160.00,39976.00,0.00,100.00,100.00,-40.00,2980.00,-440.00,440.00,5492.00,4588.00,0.00,2656.00,2752.00
1972:Q1,62248.00,36840.00,10344.00,12204.00,2860.00,62248.00,34664.00,27488.00,12308.00,15180.00,-100.00,196.00,62248.00,6220.00,-8.00,1200.00,344.00,1340.00,41956.00,0.00,8.00,32.00,-32.00,-392.00,-1304.00,84.00,3188.00,4104.00,0.00,1780.00,3728.00
1972:Q2,66472.00,31868.00,13464.00,17088.00,4052.00,66472.00,26416.00,39320.00,5692.00,33628.00,-72.00,808.00,66472.00,-4128.00,-152.00,1100.00,-180.00,1612.00,54004.00,0.00,-92.00,-40.00,-44.00,24.00,-796.00,-208.00,4016.00,4824.00,0.00,2196.00,4336.00
1972:Q3,72692.00,42460.00,11152.00,16096.00,2984.00,72692.00,36616.00,35712.00,7508.00,28204.00,-84.00,448.00,72692.00,-1596.00,288.00,1100.00,-444.00,1148.00,58336.00,0.00,308.00,492.00,-44.00,736.00,-1072.00,332.00,4464.00,4268.00,0.00,1568.00,2808.00
1972:Q4,86256.00,44712.00,16168.00,23352.00,2024.00,86256.00,41764.00,44148.00,11440.00,32708.00,-88.00,432.00,86256.00,3456.00,-180.00,1100.00,-2492.00,1448.00,57908.00,0.00,-188.00,128.00,-48.00,5440.00,-548.00,520.00,4352.00,6356.00,0.00,3104.00,5900.00
1973:Q1,74172.00,45696.00,7268.00,16692.00,4516.00,74172.00,44500.00,29268.00,9596.00,19672.00,-88.00,492.00,74172.00,7768.00,152.00,680.00,-644.00,1112.00,51700.00,80.00,-16.00,536.00,-20.00,872.00,-856.00,648.00,4812.00,3024.00,0.00,832.00,3492.00
1973:Q2,82636.00,40276.00,13456.00,23020.00,5884.00,82636.00,33188.00,48968.00,26244.00,22724.00,-72.00,552.00,82636.00,-4544.00,144.00,516.00,-4120.00,972.00,63348.00,-24.00,-20.00,172.00,-12.00,3264.00,-300.00,756.00,6716.00,5820.00,0.00,3204.00,6744.00
1973:Q3,79672.00,42920.00,12680.00,20108.00,3964.00,79672.00,37668.00,42048.00,43656.00,-1608.00,-64.00,20.00,79672.00,-5636.00,48.00,124.00,3840.00,1784.00,55144.00,64.00,240.00,752.00,-8.00,4820.00,-312.00,268.00,9148.00,1768.00,0.00,-188.00,7816.00
1973:Q4,74508.00,44152.00,8256.00,18684.00,3416.00,74508.00,44968.00,29464.00,43916.00,-14452.00,-60.00,136.00,74508.00,2256.00,48.00,-180.00,-1432.00,2932.00,39236.00,88.00,244.00,304.00,-20.00,8728.00,60.00,1012.00,7616.00,3932.00,0.00,5496.00,4188.00
1974:Q1,69332.00,42128.00,8656.00,14996.00,3552.00,69332.00,41580.00,27564.00,7892.00,19672.00,-80.00,268.00,69332.00,10624.00,292.00,276.00,-296.00,1812.00,35180.00,32.00,224.00,68.00,-8.00,3244.00,68.00,544.00,4516.00,6676.00,0.00,3104.00,2976.00
1974:Q2,69008.00,35360.00,7464.00,19688.00,6496.00,69008.00,34092.00,34968.00,2360.00,32608.00,-88.00,36.00,69008.00,-3176.00,296.00,208.00,3500.00,1856.00,47728.00,24.00,224.00,-312.00,-8.00,4180.00,-64.00,212.00,13084.00,1692.00,0.00,-188.00,-248.00
1974:Q3,57876.00,34680.00,6848.00,10672.00,5676.00,57876.00,39352.00,18536.00,-11176.00,29712.00,-124.00,112.00,57876.00,-20.00,584.00,48.00,1408.00,1772.00,32688.00,64.00,936.00,328.00,-4.00,4808.00,-36.00,372.00,13556.00,5880.00,0.00,-3324.00,-1184.00
1974:Q4,52516.00,29908.00,4532.00,13336.00,4740.00,52516.00,36640.00,15908.00,-3004.00,18912.00,-132.00,100.00,52516.00,6024.00,516.00,-100.00,6180.00,4440.00,18380.00,72.00,520.00,204.00,-16.00,7228.00,16.00,1116.00,10220.00,3684.00,0.00,-5180.00,-788.00
1975:Q1,42536.00,31204.00,-328.00,4208.00,7452.00,42536.00,32848.00,9712.00,-6148.00,15860.00,-16.00,-8.00,42536.00,14512.00,-2384.00,-460.00,1072.00,2196.00,15664.00,460.00,100.00,364.00,-24.00,4048.00,148.00,12.00,5748.00,11848.00,0.00,-1764.00,-9004.00
1975:Q2,54196.00,34540.00,596.00,12080.00,6980.00,54196.00,32156.00,22316.00,4456.00,17860.00,-168.00,-108.00,54196.00,2856.00,600.00,-328.00,8484.00,1792.00,35448.00,532.00,120.00,104.00,84.00,2884.00,-124.00,420.00,5724.00,4732.00,0.00,-128.00,-9004.00
1975:Q3,58580.00,41672.00,320.00,14372.00,2216.00,58580.00,42000.00,16820.00,6512.00,10308.00,-68.00,-172.00,58580.00,5240.00,600.00,-24.00,8032.00,1192.00,40552.00,-248.00,240.00,1000.00,76.00,1456.00,-48.00,260.00,4996.00,4728.00,0.00,1100.00,-10572.00
1975:Q4,65980.00,47804.00,-540.00,15640.00,3076.00,65980.00,53992.00,12088.00,4816.00,7272.00,-108.00,8.00,65980.00,7052.00,600.00,248.00,8448.00,1248.00,41552.00,-404.00,244.00,452.00,120.00,3348.00,68.00,-1332.00,4996.00,6904.00,0.00,-124.00,-7440.00
1976:Q1,80704.00,63528.00,5764.00,7636.00,3776.00,80704.00,59100.00,21448.00,-2060.00,23508.00,-88.00,244.00,80704.00,12364.00,668.00,296.00,2764.00,-240.00,50616.00,-80.00,96.00,584.00,0.00,1036.00,0.00,4.00,2644.00,10564.00,0.00,1908.00,-2520.00
1976:Q2,74144.00,49804.00,5752.00,12536.00,6052.00,74144.00,47112.00,26632.00,9452.00,17180.00,-88.00,488.00,74144.00,-4336.00,664.00,544.00,-4548.00,1876.00,66020.00,-12.00,88.00,-76.00,96.00,1116.00,0.00,320.00,1996.00,11496.00,0.00,1420.00,-2520.00
1976:Q3,88828.00,62012.00,5208.00,15164.00,6444.00,88828.00,60144.00,28392.00,10680.00,17712.00,-128.00,420.00,88828.00,-3404.00,676.00,1116.00,3176.00,1544.00,68356.00,-136.00,-16.00,1064.00,-4.00,1984.00,-40.00,8.00,5144.00,11832.00,0.00,48.00,-2520.00
1976:Q4,93404.00,67324.00,3944.00,16172.00,5964.00,93404.00,66424.00,26232.00,8396.00,17836.00,-60.00,808.00,93404.00,2228.00,672.00,1640.00,288.00,1820.00,64028.00,-156.00,-12.00,456.00,116.00,5412.00,164.00,428.00,2068.00,14836.00,0.00,1936.00,-2520.00
1977:Q1,107096.00,81356.00,4988.00,12880.00,7872.00,107096.00,77864.00,29444.00,4652.00,24792.00,-132.00,-80.00,107096.00,17780.00,3172.00,676.00,868.00,620.00,63352.00,8.00,8.00,588.00,216.00,1156.00,24.00,-192.00,144.00,18900.00,0.00,1016.00,-1240.00
1977:Q2,125328.00,91500.00,10416.00,11580.00,11832.00,125328.00,81340.00,44476.00,11692.00,32784.00,-120.00,-368.00,125328.00,-5308.00,3204.00,948.00,4808.00,-884.00,98240.00,44.00,8.00,-532.00,164.00,4360.00,476.00,720.00,7176.00,10248.00,0.00,2896.00,-1240.00
1977:Q3,136792.00,98536.00,8356.00,21788.00,8112.00,136792.00,92980.00,44140.00,17164.00,26976.00,-100.00,-228.00,136792.00,-5004.00,3244.00,1608.00,5132.00,1148.00,99820.00,-84.00,156.00,916.00,108.00,4944.00,-212.00,-968.00,3764.00,17728.00,0.00,5732.00,-1240.00
1977:Q4,144188.00,99416.00,9776.00,28664.00,6332.00,144188.00,94552.00,49820.00,22472.00,27348.00,-100.00,-84.00,144188.00,2512.00,3240.00,2200.00,5920.00,1336.00,94380.00,-104.00,148.00,228.00,-44.00,10716.00,44.00,1676.00,3000.00,17564.00,0.00,2612.00,-1240.00
1978:Q1,136868.00,100080.00,10088.00,18700.00,8000.00,136868.00,99816.00,38372.00,13384.00,24988.00,-96.00,-1224.00,136868.00,22948.00,1932.00,1988.00,4436.00,2228.00,77288.00,48.00,-428.00,776.00,-36.00,4292.00,248.00,164.00,9504.00,10836.00,0.00,972.00,-328.00
1978:Q2,147644.00,101152.00,13780.00,21540.00,11172.00,147644.00,96676.00,50496.00,17492.00,33004.00,-108.00,580.00,147644.00,-212.00,1948.00,2228.00,3428.00,2336.00,102780.00,76.00,-440.00,-224.00,-40.00,7760.00,352.00,656.00,10776.00,12396.00,0.00,4156.00,-332.00
1978:Q3,160004.00,119024.00,9636.00,22132.00,9212.00,160004.00,111336.00,48140.00,12496.00,35644.00,-104.00,632.00,160004.00,988.00,1976.00,2840.00,7928.00,2120.00,100236.00,40.00,56.00,-764.00,4.00,9228.00,236.00,644.00,14472.00,12576.00,0.00,7884.00,-460.00
1978:Q4,163728.00,124636.00,9788.00,22456.00,6848.00,163728.00,120860.00,42336.00,6516.00,35820.00,-80.00,612.00,163728.00,6824.00,1972.00,3364.00,3492.00,3312.00,89440.00,28.00,60.00,-940.00,100.00,15992.00,60.00,716.00,14240.00,18608.00,0.00,6660.00,-200.00
1979:Q1,164192.00,121652.00,9804.00,18028.00,14708.00,164192.00,123344.00,40724.00,12792.00,27932.00,-104.00,228.00,164192.00,28000.00,3220.00,3424.00,7832.00,4400.00,66496.00,64.00,64.00,1008.00,228.00,8640.00,308.00,844.00,18632.00,19600.00,0.00,1560.00,-128.00
1979:Q2,166828.00,113608.00,9072.00,26144.00,18004.00,166828.00,105032.00,62012.00,1616.00,60396.00,-164.00,-52.00,166828.00,856.00,3256.00,3204.00,6840.00,5436.00,94428.00,68.00,80.00,-848.00,-80.00,10572.00,-192.00,880.00,13284.00,19516.00,0.00,9660.00,-132.00
1979:Q3,177680.00,123548.00,9972.00,30568.00,13592.00,177680.00,118596.00,59336.00,3060.00,56276.00,-100.00,-152.00,177680.00,2816.00,3288.00,2664.00,6304.00,6776.00,88388.00,1316.00,84.00,-20.00,120.00,12556.00,872.00,1220.00,10932.00,27212.00,0.00,13280.00,-128.00
1979:Q4,149444.00,104908.00,10524.00,24324.00,9688.00,149444.00,120812.00,28796.00,-9604.00,38400.00,-104.00,-60.00,149444.00,5692.00,3292.00,2256.00,5428.00,9224.00,60296.00,1564.00,96.00,2220.00,768.00,17252.00,684.00,1128.00,14904.00,25876.00,0.00,-1104.00,-132.00
1980:Q1,139348.00,98268.00,7916.00,17856.00,15308.00,139348.00,94832.00,44636.00,-8448.00,53084.00,-84.00,-36.00,139348.00,9068.00,8544.00,-888.00,9984.00,8104.00,39896.00,1568.00,-180.00,5784.00,496.00,15892.00,208.00,1800.00,20424.00,20704.00,0.00,-1856.00,-200.00
1980:Q2,96028.00,56484.00,5524.00,19808.00,14212.00,96028.00,63880.00,32324.00,-20492.00,52816.00,-128.00,-48.00,96028.00,2316.00,8544.00,-48.00,8356.00,10048.00,20016.00,1564.00,180.00,580.00,188.00,12676.00,288.00,964.00,13828.00,16248.00,0.00,480.00,-200.00
1980:Q3,139224.00,105264.00,7240.00,19776.00,6944.00,139224.00,99780.00,39604.00,-11476.00,51080.00,-116.00,-44.00,139224.00,5848.00,8640.00,2044.00,5016.00,11040.00,55188.00,1160.00,204.00,-1164.00,176.00,9992.00,832.00,1208.00,8204.00,22700.00,0.00,8336.00,-200.00
1980:Q4,150264.00,110188.00,9232.00,24380.00,6464.00,150264.00,104964.00,45424.00,1744.00,43680.00,-88.00,-36.00,150264.00,8564.00,8636.00,3756.00,6668.00,9936.00,64664.00,996.00,196.00,972.00,516.00,12076.00,372.00,1172.00,14152.00,17072.00,0.00,716.00,-200.00
1981:Q1,123524.00,76964.00,5688.00,30432.00,10440.00,123524.00,73124.00,50520.00,3108.00,47412.00,-120.00,0.00,123524.00,17984.00,8396.00,6756.00,5500.00,8788.00,38200.00,1520.00,444.00,-244.00,244.00,7344.00,736.00,1104.00,9068.00,13204.00,0.00,4560.00,-80.00
1981:Q2,147136.00,86844.00,4016.00,43940.00,12336.00,147136.00,86964.00,60272.00,23868.00,36404.00,-108.00,8.00,147136.00,20632.00,8488.00,7300.00,6152.00,8956.00,52600.00,1984.00,652.00,-1916.00,368.00,6968.00,492.00,1744.00,11212.00,14364.00,0.00,7220.00,-80.00
1981:Q3,114396.00,58632.00,4348.00,41704.00,9712.00,114396.00,60012.00,54472.00,21564.00,32908.00,-112.00,24.00,114396.00,5924.00,8584.00,8668.00,2932.00,7016.00,38616.00,1492.00,604.00,-1280.00,408.00,5508.00,28.00,2392.00,16980.00,14076.00,0.00,2528.00,-80.00
1981:Q4,103296.00,47772.00,5112.00,43932.00,6480.00,103296.00,51036.00,52308.00,236.00,52072.00,-96.00,48.00,103296.00,15896.00,8580.00,9764.00,5172.00,5968.00,17128.00,1956.00,300.00,-396.00,388.00,6844.00,140.00,1276.00,13256.00,18464.00,0.00,-1364.00,-76.00
1982:Q1,100724.00,61048.00,5052.00,27736.00,6888.00,100724.00,57652.00,43088.00,-5852.00,48940.00,-104.00,88.00,100724.00,25196.00,2308.00,6116.00,2292.00,4536.00,5532.00,1356.00,32.00,-1344.00,260.00,4332.00,0.00,1884.00,10988.00,34568.00,0.00,2512.00,156.00
1982:Q2,90592.00,44940.00,4216.00,36112.00,5324.00,90592.00,38040.00,52544.00,-14228.00,66772.00,-128.00,136.00,90592.00,6976.00,2332.00,5516.00,4132.00,4084.00,-1488.00,1584.00,-220.00,-980.00,168.00,3368.00,5892.00,944.00,15212.00,37292.00,0.00,5620.00,160.00
1982:Q3,89152.00,40520.00,2816.00,42556.00,3260.00,89152.00,34008.00,55128.00,-16664.00,71792.00,-120.00,136.00,89152.00,4080.00,2360.00,4020.00,-216.00,5632.00,-9232.00,900.00,-320.00,-600.00,212.00,3220.00,3900.00,1764.00,18156.00,53120.00,0.00,1996.00,160.00
1982:Q4,119736.00,71440.00,9688.00,37752.00,856.00,119736.00,67468.00,52300.00,-4880.00,57180.00,-124.00,92.00,119736.00,32908.00,2360.00,2836.00,3248.00,6704.00,-31616.00,472.00,-292.00,-1076.00,396.00,6048.00,5636.00,424.00,12000.00,73152.00,0.00,6376.00,160.00
1983:Q1,150956.00,95456.00,4128.00,50456.00,916.00,150956.00,94136.00,56820.00,-14776.00,71596.00,-60.00,60.00,150956.00,12636.00,1772.00,2192.00,-1716.00,6428.00,30872.00,124.00,-288.00,1720.00,596.00,5360.00,5144.00,840.00,8764.00,71992.00,0.00,4640.00,-120.00
1983:Q2,175904.00,102072.00,14964.00,55540.00,3328.00,175904.00,100552.00,75444.00,18644.00,56800.00,-128.00,36.00,175904.00,-3684.00,1788.00,3060.00,3156.00,7480.00,69112.00,-204.00,-376.00,2520.00,820.00,5584.00,2612.00,464.00,11440.00,66176.00,0.00,6076.00,-120.00
1983:Q3,206612.00,128536.00,20092.00,55040.00,2944.00,206612.00,124040.00,82612.00,19812.00,62800.00,-56.00,16.00,206612.00,-17684.00,1812.00,5200.00,1448.00,7568.00,112936.00,-564.00,-340.00,1368.00,824.00,10524.00,3440.00,200.00,5696.00,73908.00,0.00,396.00,-120.00
1983:Q4,224300.00,138272.00,21780.00,61796.00,2452.00,224300.00,132148.00,92244.00,20952.00,71292.00,-80.00,-12.00,224300.00,9340.00,1808.00,6924.00,1992.00,10068.00,108072.00,1428.00,-196.00,1172.00,604.00,14572.00,-1780.00,2008.00,15692.00,53076.00,0.00,-360.00,-120.00
1984:Q1,235488.00,154060.00,24172.00,60260.00,-3004.00,235488.00,159444.00,75860.00,-5488.00,81348.00,-148.00,332.00,235488.00,29896.00,11344.00,9868.00,-1280.00,9664.00,108068.00,-3072.00,-40.00,4444.00,412.00,1208.00,-928.00,300.00,16112.00,44492.00,0.00,4112.00,888.00
1984:Q2,257984.00,139376.00,32016.00,85116.00,1476.00,257984.00,128204.00,129332.00,28504.00,100828.00,-96.00,544.00,257984.00,-7512.00,11340.00,9920.00,972.00,11132.00,167864.00,-632.00,92.00,3432.00,304.00,8920.00,-2092.00,836.00,9180.00,31124.00,0.00,12216.00,888.00
1984:Q3,225336.00,114792.00,21668.00,88364.00,512.00,225336.00,115828.00,109100.00,17372.00,91728.00,-112.00,520.00,225336.00,-10672.00,11468.00,10052.00,-4128.00,9636.00,141572.00,572.00,152.00,2016.00,360.00,7364.00,-1312.00,104.00,7272.00,48776.00,0.00,1220.00,884.00
1984:Q4,234848.00,135468.00,23084.00,80476.00,-4180.00,234848.00,134544.00,100100.00,5012.00,95088.00,-44.00,248.00,234848.00,-7204.00,11468.00,10184.00,6312.00,10508.00,105120.00,4836.00,120.00,2720.00,336.00,5308.00,2776.00,1176.00,14868.00,53796.00,8000.00,3872.00,652.00
1985:Q1,294010.00,202928.00,21604.00,68278.00,1200.00,294010.00,199988.00,94082.00,-2262.00,96344.00,-100.00,40.00,294010.00,90752.00,5492.00,6792.00,804.00,8224.00,82012.00,-652.00,140.00,868.00,820.00,14903.00,5224.00,256.00,21012.00,60184.00,2015.00,-5232.00,396.00
1985:Q2,239797.00,142852.00,25896.00,75621.00,-4572.00,239797.00,126976.00,112853.00,10485.00,102368.00,-80.00,48.00,239797.00,-11488.00,5552.00,5936.00,1988.00,8544.00,103600.00,-292.00,172.00,3308.00,712.00,14690.00,3052.00,104.00,11360.00,68228.00,7499.00,16260.00,572.00
1985:Q3,256265.00,176252.00,22696.00,68685.00,-11368.00,256265.00,217596.00,38661.00,-11763.00,50424.00,-52.00,60.00,256265.00,-31252.00,5612.00,3816.00,2320.00,10400.00,125440.00,364.00,176.00,4140.00,600.00,13387.00,-1772.00,-96.00,3068.00,88968.00,3550.00,26940.00,604.00
1985:Q4,250052.00,198368.00,43804.00,66468.00,-58588.00,250052.00,195132.00,54892.00,22804.00,32088.00,-44.00,72.00,250052.00,-30984.00,5612.00,2144.00,2252.00,12064.00,109336.00,1088.00,140.00,5892.00,568.00,17412.00,10620.00,-48.00,3004.00,98128.00,10808.00,-6088.00,8104.00
1986:Q1,250709.00,174568.00,28236.00,57769.00,-9864.00,250709.00,164428.00,85789.00,12181.00,73608.00,-44.00,536.00,250709.00,43108.00,-6768.00,-660.00,4.00,18448.00,57324.00,1724.00,128.00,10020.00,1136.00,20333.00,-616.00,364.00,-9276.00,106892.00,5712.00,1900.00,936.00
1986:Q2,269179.00,201048.00,31552.00,46555.00,-9976.00,269179.00,174488.00,93819.00,15199.00,78620.00,-36.00,908.00,269179.00,-25900.00,-6844.00,5092.00,992.00,11508.00,73360.00,1652.00,100.00,4992.00,880.00,22245.00,-3480.00,-812.00,-11868.00,137940.00,10746.00,47348.00,1228.00
1986:Q3,336074.00,257324.00,31904.00,56930.00,-10084.00,336074.00,246584.00,89594.00,21914.00,67680.00,-48.00,-56.00,336074.00,-17268.00,-6920.00,4672.00,208.00,8184.00,93556.00,1624.00,108.00,7668.00,928.00,24548.00,-1532.00,668.00,-9232.00,187296.00,10909.00,30244.00,412.00
1986:Q4,294074.00,182464.00,42224.00,79470.00,-10084.00,294074.00,230664.00,63790.00,14170.00,49620.00,-16.00,-364.00,294074.00,-14228.00,-6920.00,-6332.00,4888.00,9052.00,134004.00,6728.00,124.00,10276.00,1092.00,21054.00,-5416.00,744.00,-17460.00,222780.00,-54096.00,-9652.00,-2564.00
1987:Q1,331541.00,259476.00,14036.00,66193.00,-8164.00,331541.00,239480.00,91733.00,24909.00,66824.00,-36.00,364.00,331541.00,68052.00,1360.00,-6904.00,-1160.00,13724.00,72432.00,-1256.00,152.00,11372.00,384.00,14431.00,-4636.00,-868.00,-15056.00,175376.00,9562.00,-6384.00,960.00
1987:Q2,337118.00,261868.00,18996.00,64510.00,-8256.00,337118.00,256168.00,80942.00,44006.00,36936.00,-8.00,16.00,337118.00,-16404.00,1372.00,-10048.00,-188.00,11452.00,145032.00,5664.00,140.00,9980.00,1224.00,18678.00,-3152.00,-420.00,-14388.00,158828.00,15168.00,14280.00,-100.00
1987:Q3,280542.00,217596.00,17808.00,53486.00,-8348.00,280542.00,198704.00,81702.00,40486.00,41216.00,-12.00,148.00,280542.00,1504.00,1388.00,-8344.00,-21016.00,3896.00,145624.00,5832.00,196.00,9792.00,472.00,17791.00,-2332.00,720.00,-496.00,127768.00,25159.00,-28752.00,1340.00
1987:Q4,335783.00,222504.00,16572.00,105051.00,-8344.00,335783.00,217340.00,117695.00,72527.00,45168.00,-4.00,752.00,335783.00,4568.00,1388.00,-1772.00,1208.00,5696.00,187072.00,10744.00,288.00,11044.00,504.00,23232.00,-2080.00,-308.00,-3324.00,89240.00,4335.00,1992.00,1956.00
1988:Q1,297173.00,191264.00,47808.00,63053.00,-4952.00,297173.00,201444.00,95781.00,26373.00,69408.00,0.00,-52.00,297173.00,37168.00,16616.00,9104.00,408.00,5356.00,128880.00,8152.00,432.00,7316.00,580.00,20059.00,5636.00,468.00,11304.00,33788.00,7258.00,3440.00,1208.00
1988:Q2,320153.00,246832.00,-9460.00,87737.00,-4956.00,320153.00,237756.00,82321.00,3497.00,78824.00,4.00,72.00,320153.00,-12976.00,16620.00,14124.00,-2752.00,2712.00,123744.00,7616.00,544.00,8948.00,520.00,17207.00,6620.00,756.00,9676.00,69896.00,7511.00,49228.00,160.00
1988:Q3,333042.00,227528.00,13228.00,97294.00,-5008.00,333042.00,218692.00,114454.00,36890.00,77564.00,-8.00,-96.00,333042.00,-10352.00,16616.00,13448.00,-3664.00,1016.00,172388.00,8368.00,612.00,7420.00,548.00,20508.00,10856.00,-204.00,-3692.00,103288.00,10886.00,-17168.00,2168.00
1988:Q4,339516.00,229100.00,21072.00,94352.00,-5008.00,339516.00,222088.00,116276.00,40444.00,75832.00,-16.00,1168.00,339516.00,-4816.00,16620.00,3072.00,1804.00,6716.00,143696.00,8432.00,636.00,9068.00,672.00,24178.00,10732.00,68.00,2704.00,96600.00,10346.00,5652.00,3336.00
1989:Q1,217185.00,156217.00,13219.00,49785.00,-2036.00,217185.00,164685.00,52312.00,23232.00,29080.00,-4.00,192.00,217185.00,2800.00,-13556.00,-4860.00,-55.00,6308.00,94174.00,6200.00,668.00,14019.00,820.00,19249.00,3856.00,-1884.00,-2948.00,100687.00,6952.00,-14177.00,-1068.00
1989:Q2,253448.00,208473.00,20659.00,26379.00,-2064.00,253448.00,212053.00,41318.00,8298.00,33020.00,-4.00,80.00,253448.00,10052.00,-13712.00,-14268.00,-3377.00,7488.00,88141.00,7764.00,712.00,6846.00,992.00,18318.00,6568.00,-56.00,6499.00,96094.00,6969.00,28683.00,-264.00
1989:Q3,297334.00,255121.00,3297.00,41000.00,-2084.00,297334.00,253153.00,43670.00,6530.00,37140.00,-4.00,516.00,297334.00,10288.00,-13856.00,-15896.00,21.00,5148.00,64356.00,9452.00,756.00,3451.00,972.00,22717.00,7228.00,708.00,10482.00,130118.00,-7588.00,69589.00,-612.00
1989:Q4,292370.00,285618.00,4746.00,4094.00,-2088.00,292370.00,298518.00,-6668.00,-33240.00,26572.00,0.00,520.00,292370.00,12319.00,-13860.00,-15776.00,485.00,6312.00,9829.00,9088.00,788.00,2828.00,760.00,25120.00,8860.00,16.00,10105.00,170148.00,42439.00,22245.00,664.00
1990:Q1,289064.00,231492.00,7638.00,51045.00,-1112.00,289064.00,215208.00,73332.00,65528.00,7804.00,4.00,520.00,289064.00,12121.00,-1604.00,-6504.00,29437.00,4912.00,47593.00,22288.00,852.00,5778.00,620.00,25946.00,64.00,-472.00,9207.00,142464.00,-15777.00,12447.00,-308.00
