1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,17.00,5.00,1485.00,37.00,0.00,20.00,605.00,-548.00,-548.00,0.00,40.00,1334.00,17.00,1317.00,1020.00,297.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,-28.00,0.00,-28.00,1573.00,403.00,161.00,812.00,-147.00,-5.00,-142.00,0.00,0.00,-9.00,968.00,0.00,0.00,0.00,197.00,6.00,191.00,101.00
1957:Q1,17.00,6.00,-1886.00,386.00,0.00,19.00,-858.00,567.00,567.00,0.00,60.00,-1955.00,-11.00,-1944.00,-987.00,-957.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-105.00,0.00,-105.00,-2020.00,-709.00,-351.00,-858.00,85.00,36.00,49.00,0.00,0.00,27.00,-970.00,0.00,0.00,0.00,-102.00,5.00,-107.00,-123.00
1957:Q2,18.00,6.00,726.00,314.00,0.00,22.00,222.00,232.00,232.00,0.00,0.00,-31.00,0.00,-31.00,-46.00,15.00,0.00,0.00,0.00,-25.00,0.00,0.00,0.00,-25.00,0.00,-8.00,0.00,-8.00,706.00,278.00,40.00,638.00,-45.00,-53.00,8.00,0.00,0.00,110.00,573.00,0.00,0.00,0.00,-250.00,2.00,-252.00,-8.00
1957:Q3,20.00,6.00,64.00,22.00,0.00,19.00,-44.00,-48.00,-48.00,0.00,0.00,111.00,-6.00,117.00,8890.00,-8773.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,6.00,0.00,-2.00,0.00,-2.00,124.00,-34.00,90.00,-148.00,129.00,22.00,107.00,0.00,0.00,-82.00,-195.00,0.00,0.00,0.00,216.00,5.00,211.00,74.00
1957:Q4,22.00,6.00,1104.00,140.00,0.00,20.00,439.00,-726.00,-726.00,0.00,142.00,993.00,26.00,967.00,407.00,560.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,-2.00,0.00,98.00,0.00,98.00,1136.00,440.00,295.00,404.00,-143.00,-19.00,-124.00,0.00,0.00,-15.00,562.00,0.00,0.00,0.00,-3.00,7.00,-10.00,48.00
1958:Q1,20.00,4.00,-1807.00,-397.00,0.00,36.00,-720.00,68.00,68.00,0.00,-132.00,-608.00,-14.00,-594.00,-79.00,-515.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,-5.00,0.00,-49.00,0.00,-49.00,-1872.00,-608.00,-445.00,-858.00,111.00,-31.00,142.00,0.00,0.00,-103.00,-866.00,0.00,0.00,0.00,39.00,5.00,34.00,-50.00
1958:Q2,19.00,4.00,996.00,-1046.00,0.00,21.00,92.00,10.00,10.00,0.00,-100.00,2019.00,6.00,2013.00,1810.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,983.00,142.00,127.00,286.00,-251.00,-38.00,-213.00,0.00,0.00,15.00,522.00,0.00,0.00,0.00,428.00,3.00,425.00,1.00
1958:Q3,16.00,4.00,-758.00,-527.00,0.00,16.00,153.00,209.00,209.00,0.00,-100.00,-495.00,-17.00,-478.00,-157.00,-321.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,-15.00,0.00,-15.00,-733.00,-467.00,123.00,-2.00,74.00,-6.00,80.00,0.00,0.00,43.00,-119.00,0.00,0.00,0.00,-387.00,4.00,-391.00,36.00
1958:Q4,16.00,4.00,1309.00,-283.00,0.00,15.00,347.00,-291.00,-291.00,0.00,-109.00,1617.00,25.00,1592.00,-1592.00,3184.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,17.00,0.00,-4.00,0.00,-4.00,1351.00,403.00,109.00,732.00,-135.00,-3.00,-132.00,0.00,0.00,-41.00,908.00,0.00,0.00,0.00,107.00,6.00,101.00,53.00
1959:Q1,-35.00,4.00,-988.00,-91.00,0.00,12.00,-550.00,526.00,526.00,0.00,-31.00,-859.00,-31.00,-828.00,-754.00,-74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,-966.00,-310.00,-159.00,-635.00,190.00,31.00,159.00,0.00,0.00,36.00,-861.00,0.00,0.00,0.00,138.00,11.00,127.00,-17.00
