date,FA883140005.Q,FA313140003.Q,FA543140005.Q,FA883140005.Q,FA153040005.Q,FA763040005.Q,FA733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1960:Q1,3756.00,84.00,3672.00,3756.00,3756.00,0.00,0.00
1960:Q2,3508.00,72.00,3436.00,3508.00,3508.00,0.00,0.00
1960:Q3,3068.00,68.00,3000.00,3068.00,3068.00,0.00,0.00
1960:Q4,2580.00,80.00,2500.00,2580.00,2580.00,0.00,0.00
1961:Q1,2752.00,84.00,2668.00,2752.00,2752.00,0.00,0.00
1961:Q2,3172.00,88.00,3084.00,3172.00,3172.00,0.00,0.00
1961:Q3,3692.00,96.00,3596.00,3692.00,3692.00,0.00,0.00
1961:Q4,4172.00,104.00,4068.00,4172.00,4172.00,0.00,0.00
1962:Q1,4128.00,116.00,4012.00,4128.00,4128.00,0.00,0.00
1962:Q2,3952.00,124.00,3828.00,3952.00,3952.00,0.00,0.00
1962:Q3,3648.00,132.00,3516.00,3648.00,3648.00,0.00,0.00
1962:Q4,3340.00,128.00,3212.00,3340.00,3340.00,0.00,0.00
1963:Q1,3828.00,132.00,3696.00,3828.00,3828.00,0.00,0.00
1963:Q2,4092.00,136.00,3956.00,4092.00,4092.00,0.00,0.00
1963:Q3,4380.00,132.00,4248.00,4380.00,4380.00,0.00,0.00
1963:Q4,4648.00,124.00,4524.00,4648.00,4648.00,0.00,0.00
1964:Q1,4336.00,112.00,4224.00,4336.00,4336.00,0.00,0.00
1964:Q2,4348.00,96.00,4252.00,4348.00,4348.00,0.00,0.00
1964:Q3,4428.00,96.00,4332.00,4428.00,4428.00,0.00,0.00
1964:Q4,4552.00,112.00,4440.00,4552.00,4552.00,0.00,0.00
1965:Q1,4392.00,124.00,4268.00,4392.00,4392.00,0.00,0.00
1965:Q2,4932.00,136.00,4796.00,4932.00,4932.00,0.00,0.00
1965:Q3,5096.00,140.00,4956.00,5096.00,5096.00,0.00,0.00
1965:Q4,4880.00,136.00,4744.00,4880.00,4880.00,0.00,0.00
1966:Q1,4696.00,116.00,4580.00,4696.00,4696.00,0.00,0.00
1966:Q2,4568.00,112.00,4456.00,4568.00,4568.00,0.00,0.00
1966:Q3,4628.00,104.00,4524.00,4628.00,4628.00,0.00,0.00
1966:Q4,4884.00,96.00,4788.00,4884.00,4884.00,0.00,0.00
1967:Q1,5896.00,96.00,5800.00,5896.00,5896.00,0.00,0.00
1967:Q2,4948.00,96.00,4852.00,4948.00,4948.00,0.00,0.00
1967:Q3,4968.00,80.00,4888.00,4968.00,4968.00,0.00,0.00
1967:Q4,4884.00,48.00,4836.00,4884.00,4884.00,0.00,0.00
1968:Q1,4808.00,8.00,4800.00,4808.00,4808.00,0.00,0.00
1968:Q2,4736.00,-32.00,4768.00,4736.00,4736.00,0.00,0.00
1968:Q3,4756.00,-32.00,4788.00,4756.00,4756.00,0.00,0.00
1968:Q4,4856.00,0.00,4856.00,4856.00,4856.00,0.00,0.00
1969:Q1,4948.00,44.00,4904.00,4948.00,4948.00,0.00,0.00
1969:Q2,5012.00,80.00,4932.00,5012.00,5012.00,0.00,0.00
1969:Q3,5076.00,88.00,4988.00,5076.00,5076.00,0.00,0.00
1969:Q4,5116.00,52.00,5064.00,5116.00,5116.00,0.00,0.00
1970:Q1,5364.00,276.00,5088.00,5364.00,5364.00,0.00,0.00
1970:Q2,5104.00,48.00,5056.00,5104.00,5104.00,0.00,0.00
1970:Q3,5264.00,44.00,5220.00,5264.00,5264.00,0.00,0.00
1970:Q4,5632.00,56.00,5576.00,5632.00,5632.00,0.00,0.00
1971:Q1,5996.00,68.00,5928.00,5996.00,5996.00,0.00,0.00
1971:Q2,6336.00,72.00,6264.00,6336.00,6336.00,0.00,0.00
1971:Q3,6524.00,76.00,6448.00,6524.00,6524.00,0.00,0.00
1971:Q4,6552.00,68.00,6484.00,6552.00,6552.00,0.00,0.00
1972:Q1,6676.00,120.00,6556.00,6676.00,6676.00,0.00,0.00
1972:Q2,6824.00,156.00,6668.00,6824.00,6824.00,0.00,0.00
1972:Q3,6944.00,168.00,6776.00,6944.00,6944.00,0.00,0.00
1972:Q4,7056.00,164.00,6892.00,7056.00,7056.00,0.00,0.00
1973:Q1,7216.00,172.00,7044.00,7216.00,7216.00,0.00,0.00
1973:Q2,7420.00,188.00,7232.00,7420.00,7420.00,0.00,0.00
1973:Q3,7452.00,184.00,7268.00,7452.00,7452.00,0.00,0.00
1973:Q4,7304.00,156.00,7148.00,7304.00,7304.00,0.00,0.00
1974:Q1,7132.00,132.00,7000.00,7132.00,7132.00,0.00,0.00
1974:Q2,6928.00,108.00,6820.00,6928.00,6928.00,0.00,0.00
1974:Q3,7020.00,104.00,6916.00,7020.00,7020.00,0.00,0.00
1974:Q4,7404.00,116.00,7288.00,7404.00,7404.00,0.00,0.00
1975:Q1,12188.00,4576.00,7612.00,12188.00,12188.00,0.00,0.00
1975:Q2,9400.00,1516.00,7884.00,9400.00,9400.00,0.00,0.00
1975:Q3,8236.00,156.00,8080.00,8236.00,8236.00,0.00,0.00
1975:Q4,11084.00,2876.00,8208.00,11084.00,11084.00,0.00,0.00
1976:Q1,7956.00,-396.00,8352.00,7956.00,7956.00,0.00,0.00
1976:Q2,9840.00,1336.00,8504.00,9840.00,9840.00,0.00,0.00
1976:Q3,8888.00,212.00,8676.00,8888.00,8888.00,0.00,0.00
1976:Q4,10108.00,1244.00,8864.00,10108.00,10108.00,0.00,0.00
1977:Q1,9200.00,208.00,8992.00,9200.00,9200.00,0.00,0.00
1977:Q2,9732.00,668.00,9064.00,9732.00,9732.00,0.00,0.00
1977:Q3,9744.00,396.00,9348.00,9744.00,9744.00,0.00,0.00
1977:Q4,11260.00,1412.00,9848.00,11260.00,11260.00,0.00,0.00
1978:Q1,10624.00,212.00,10412.00,10624.00,10624.00,0.00,0.00
1978:Q2,12276.00,1224.00,11052.00,12276.00,12276.00,0.00,0.00
1978:Q3,11460.00,268.00,11192.00,11460.00,11460.00,0.00,0.00
1978:Q4,11884.00,1056.00,10828.00,11884.00,11884.00,0.00,0.00
1979:Q1,10532.00,-72.00,10604.00,10532.00,10532.00,0.00,0.00
1979:Q2,11580.00,1052.00,10528.00,11580.00,11580.00,0.00,0.00
1979:Q3,10388.00,8.00,10380.00,10388.00,10388.00,0.00,0.00
1979:Q4,11244.00,1084.00,10160.00,11244.00,11244.00,0.00,0.00
1980:Q1,9836.00,-128.00,9964.00,9836.00,9836.00,0.00,0.00
1980:Q2,10760.00,976.00,9784.00,10760.00,10760.00,0.00,0.00
1980:Q3,9672.00,72.00,9600.00,9672.00,9672.00,0.00,0.00
1980:Q4,10748.00,1340.00,9408.00,10748.00,10748.00,0.00,0.00
1981:Q1,9172.00,-128.00,9300.00,9172.00,9172.00,0.00,0.00
1981:Q2,10536.00,1336.00,9200.00,10536.00,10536.00,0.00,0.00
1981:Q3,8900.00,-96.00,8996.00,8900.00,8900.00,0.00,0.00
1981:Q4,9732.00,1440.00,8292.00,9732.00,9732.00,0.00,0.00
1982:Q1,7676.00,140.00,7536.00,7676.00,7676.00,0.00,0.00
1982:Q2,8144.00,1456.00,6688.00,8144.00,8144.00,0.00,0.00
1982:Q3,6588.00,40.00,6548.00,6588.00,6588.00,0.00,0.00
1982:Q4,8860.00,1748.00,7112.00,8860.00,8860.00,0.00,0.00
1983:Q1,7664.00,112.00,7552.00,7664.00,7664.00,0.00,0.00
1983:Q2,9480.00,1620.00,7860.00,9480.00,9480.00,0.00,0.00
1983:Q3,8184.00,208.00,7976.00,8184.00,8184.00,0.00,0.00
1983:Q4,9788.00,1892.00,7896.00,9788.00,9788.00,0.00,0.00
1984:Q1,5044.00,344.00,4700.00,5044.00,5044.00,0.00,0.00
1984:Q2,6092.00,1816.00,4276.00,6092.00,6092.00,0.00,0.00
1984:Q3,5436.00,212.00,5224.00,5436.00,5436.00,0.00,0.00
1984:Q4,7628.00,1964.00,5664.00,7628.00,7628.00,0.00,0.00
1985:Q1,8452.00,144.00,8308.00,8452.00,8452.00,0.00,0.00
1985:Q2,11388.00,1876.00,9512.00,11388.00,11388.00,0.00,0.00
1985:Q3,11268.00,224.00,11044.00,11268.00,11268.00,0.00,0.00
1985:Q4,15088.00,2188.00,12900.00,15088.00,15088.00,0.00,0.00
1986:Q1,15720.00,120.00,15600.00,15720.00,15720.00,0.00,0.00
1986:Q2,18384.00,1984.00,16400.00,18384.00,18384.00,0.00,0.00
1986:Q3,18292.00,292.00,18000.00,18292.00,18292.00,0.00,0.00
1986:Q4,20656.00,1772.00,18884.00,20656.00,20656.00,0.00,0.00
1987:Q1,28020.00,508.00,27512.00,28020.00,28020.00,0.00,0.00
1987:Q2,25544.00,1956.00,23588.00,25544.00,25544.00,0.00,0.00
1987:Q3,29256.00,4124.00,25132.00,29256.00,29256.00,0.00,0.00
1987:Q4,24944.00,-1768.00,26712.00,24944.00,24944.00,0.00,0.00
1988:Q1,23896.00,84.00,23812.00,23896.00,23896.00,0.00,0.00
1988:Q2,28912.00,2080.00,26832.00,28912.00,28912.00,0.00,0.00
1988:Q3,25200.00,148.00,25052.00,25200.00,25200.00,0.00,0.00
1988:Q4,32892.00,2380.00,30512.00,32892.00,32892.00,0.00,0.00
1989:Q1,13372.00,88.00,13284.00,13372.00,13372.00,0.00,0.00
1989:Q2,35020.00,2108.00,32912.00,35020.00,35020.00,0.00,0.00
1989:Q3,23956.00,-32.00,23988.00,23956.00,23956.00,0.00,0.00
1989:Q4,41392.00,2464.00,38928.00,41392.00,41392.00,0.00,0.00
1990:Q1,25220.00,-16.00,25236.00,25220.00,25220.00,0.00,0.00
1990:Q2,30340.00,2192.00,28148.00,30340.00,30340.00,0.00,0.00
1990:Q3,27336.00,140.00,27196.00,27336.00,27336.00,0.00,0.00
1990:Q4,24396.00,2436.00,21960.00,24396.00,24396.00,0.00,0.00
1991:Q1,24116.00,244.00,23872.00,24116.00,24116.00,0.00,0.00
1991:Q2,34148.00,2288.00,31860.00,34148.00,34148.00,0.00,0.00
1991:Q3,17600.00,-436.00,18036.00,17600.00,17600.00,0.00,0.00
1991:Q4,24824.00,2688.00,22136.00,24824.00,24824.00,0.00,0.00
1992:Q1,28800.00,-464.00,29264.00,28800.00,28800.00,0.00,0.00
1992:Q2,17688.00,2452.00,15236.00,17688.00,17688.00,0.00,0.00
1992:Q3,36660.00,668.00,35992.00,36660.00,36660.00,0.00,0.00
1992:Q4,31244.00,3100.00,28144.00,31244.00,31244.00,0.00,0.00
1993:Q1,31512.00,12.00,31500.00,31512.00,31512.00,0.00,0.00
1993:Q2,36500.00,2560.00,33940.00,36500.00,36500.00,0.00,0.00
1993:Q3,37244.00,276.00,36968.00,37244.00,37244.00,0.00,0.00
1993:Q4,38252.00,2724.00,35528.00,38252.00,38252.00,0.00,0.00
1994:Q1,26472.00,24.00,26448.00,26472.00,26472.00,0.00,0.00
1994:Q2,26700.00,2716.00,23984.00,26700.00,26700.00,0.00,0.00
1994:Q3,67116.00,392.00,66724.00,67116.00,67116.00,0.00,0.00
1994:Q4,23248.00,1940.00,21308.00,23248.00,23248.00,0.00,0.00
1995:Q1,44596.00,200.00,44396.00,44596.00,44596.00,0.00,0.00
1995:Q2,52848.00,1724.00,51124.00,52848.00,52848.00,0.00,0.00
1995:Q3,28544.00,296.00,28248.00,28544.00,28544.00,0.00,0.00
1995:Q4,34744.00,1856.00,32888.00,34744.00,34744.00,0.00,0.00
1996:Q1,16216.00,368.00,15848.00,16216.00,16216.00,0.00,0.00
1996:Q2,30384.00,2432.00,27952.00,30384.00,30384.00,0.00,0.00
1996:Q3,56096.00,156.00,55940.00,56096.00,56096.00,0.00,0.00
1996:Q4,57944.00,-488.00,58432.00,57944.00,57944.00,0.00,0.00
1997:Q1,47408.00,2840.00,44568.00,47408.00,47408.00,0.00,0.00
1997:Q2,51728.00,2204.00,49524.00,51728.00,51728.00,0.00,0.00
1997:Q3,54764.00,-96.00,54860.00,54764.00,54764.00,0.00,0.00
1997:Q4,32052.00,2000.00,30052.00,32052.00,32052.00,0.00,0.00
1998:Q1,27380.00,720.00,26660.00,27380.00,27380.00,0.00,0.00
1998:Q2,39112.00,2612.00,36500.00,39112.00,39112.00,0.00,0.00
1998:Q3,32728.00,12.00,32716.00,32728.00,32728.00,0.00,0.00
1998:Q4,78376.00,1824.00,76552.00,78376.00,78376.00,0.00,0.00
1999:Q1,43040.00,676.00,42364.00,43040.00,43040.00,0.00,0.00
1999:Q2,57920.00,2696.00,55224.00,57920.00,57920.00,0.00,0.00
1999:Q3,27380.00,228.00,27152.00,27380.00,27380.00,0.00,0.00
1999:Q4,65808.00,2004.00,63804.00,65808.00,65808.00,0.00,0.00
2000:Q1,49144.00,1168.00,47976.00,49144.00,49144.00,0.00,0.00
2000:Q2,31356.00,2624.00,28732.00,31356.00,31356.00,0.00,0.00
2000:Q3,46164.00,216.00,45948.00,46164.00,46164.00,0.00,0.00
2000:Q4,45308.00,1752.00,43556.00,45308.00,45308.00,0.00,0.00
2001:Q1,100692.00,636.00,100056.00,100692.00,100692.00,0.00,0.00
2001:Q2,101916.00,2372.00,99544.00,101916.00,101916.00,0.00,0.00
2001:Q3,13048.00,28.00,13020.00,13048.00,13048.00,0.00,0.00
2001:Q4,80760.00,2504.00,78256.00,80760.00,80760.00,0.00,0.00
2002:Q1,90972.00,-272.00,91244.00,90972.00,90972.00,0.00,0.00
2002:Q2,95288.00,4000.00,91288.00,95288.00,95288.00,0.00,0.00
2002:Q3,60056.00,-116.00,60172.00,60056.00,60056.00,0.00,0.00
2002:Q4,-6660.00,2680.00,-9340.00,-6660.00,-6660.00,0.00,0.00
2003:Q1,70992.00,76.00,70916.00,70992.00,70992.00,0.00,0.00
2003:Q2,71932.00,1680.00,70252.00,71932.00,71932.00,0.00,0.00
2003:Q3,78564.00,548.00,78016.00,78564.00,78564.00,0.00,0.00
2003:Q4,39156.00,2200.00,36956.00,39156.00,39156.00,0.00,0.00
2004:Q1,-508.00,-48.00,-460.00,-508.00,-508.00,0.00,0.00
2004:Q2,43844.00,1888.00,41956.00,43844.00,43844.00,0.00,0.00
2004:Q3,37316.00,216.00,37100.00,37316.00,37316.00,0.00,0.00
2004:Q4,41172.00,2288.00,38884.00,41172.00,41172.00,0.00,0.00
2005:Q1,10556.00,4.00,10552.00,10556.00,10556.00,0.00,0.00
2005:Q2,192.00,1672.00,-1480.00,192.00,192.00,0.00,0.00
2005:Q3,32144.00,280.00,31864.00,32144.00,32144.00,0.00,0.00
2005:Q4,4344.00,2588.00,1756.00,4344.00,4344.00,0.00,0.00
2006:Q1,85496.00,304.00,85192.00,85496.00,85496.00,0.00,0.00
2006:Q2,10912.00,2220.00,8692.00,10912.00,6468.00,7320.00,-2876.00
2006:Q3,62108.00,548.00,61560.00,62108.00,49592.00,11224.00,1292.00
2006:Q4,74036.00,2936.00,71100.00,74036.00,59576.00,14304.00,156.00
2007:Q1,19588.00,1444.00,18144.00,19588.00,6848.00,12864.00,-124.00
2007:Q2,34040.00,2268.00,31772.00,34040.00,26640.00,5528.00,1872.00
2007:Q3,12964.00,-64.00,13028.00,12964.00,-12888.00,9148.00,16704.00
2007:Q4,38048.00,2612.00,35436.00,38048.00,19284.00,16056.00,2708.00
2008:Q1,25820.00,-348.00,26168.00,25820.00,22816.00,4152.00,-1148.00
2008:Q2,34468.00,1952.00,32516.00,34468.00,36184.00,12056.00,-13772.00
2008:Q3,95376.00,-464.00,95840.00,95376.00,66828.00,26320.00,2228.00
2008:Q4,81648.00,2772.00,78876.00,81648.00,90332.00,-16732.00,8048.00
2009:Q1,67696.00,-232.00,67928.00,67696.00,62016.00,-1060.00,6740.00
2009:Q2,-204.00,2060.00,-2264.00,-204.00,-1552.00,2724.00,-1376.00
2009:Q3,-3308.00,140.00,-3448.00,-3308.00,-3444.00,-2960.00,3096.00
2009:Q4,39604.00,2424.00,37180.00,39604.00,35492.00,4320.00,-208.00
2010:Q1,1836.00,-380.00,2216.00,1836.00,-3356.00,2460.00,2732.00
2010:Q2,12568.00,708.00,11860.00,12568.00,460.00,2860.00,9248.00
2010:Q3,51192.00,660.00,50532.00,51192.00,43696.00,6124.00,1372.00
2010:Q4,1336.00,2460.00,-1124.00,1336.00,-6836.00,6512.00,1660.00
2011:Q1,52624.00,280.00,52344.00,52624.00,47088.00,5360.00,176.00
2011:Q2,59904.00,1728.00,58176.00,59904.00,56452.00,3952.00,-500.00
2011:Q3,125816.00,1156.00,124660.00,125816.00,115832.00,4112.00,5872.00
2011:Q4,79588.00,1888.00,77700.00,79588.00,67794.00,7556.00,4238.00
2012:Q1,-16368.00,424.00,-16792.00,-16368.00,-53322.00,12420.00,24534.00
2012:Q2,-65148.00,1440.00,-66588.00,-65148.00,-74216.00,4804.00,4264.00
2012:Q3,8780.00,-220.00,9000.00,8780.00,-2964.00,5940.00,5804.00
2012:Q4,13532.00,-496.00,14028.00,13532.00,12480.00,6356.00,-5304.00
2013:Q1,2536.00,164.00,2372.00,2536.00,-7144.00,4728.00,4952.00
2013:Q2,17992.00,732.00,17260.00,17992.00,12152.00,4692.00,1148.00
2013:Q3,30064.00,-496.00,30560.00,30064.00,20688.00,4860.00,4516.00
2013:Q4,29796.00,520.00,29276.00,29796.00,11480.00,8704.00,9612.00
2014:Q1,33828.00,-80.00,33908.00,33828.00,23452.00,5644.00,4732.00
2014:Q2,44040.00,552.00,43488.00,44040.00,32828.00,5960.00,5252.00
2014:Q3,48132.00,1224.00,46908.00,48132.00,38364.00,4964.00,4804.00
2014:Q4,65588.00,1384.00,64204.00,65588.00,53340.00,6916.00,5332.00
2015:Q1,58348.00,-2084.00,60432.00,58348.00,48964.00,5184.00,4200.00
2015:Q2,33120.00,924.00,32196.00,33120.00,20496.00,8624.00,4000.00
2015:Q3,56808.00,-580.00,57388.00,56808.00,47172.00,5636.00,4000.00
2015:Q4,29796.00,1308.00,28488.00,29796.00,19148.00,6648.00,4000.00
2016:Q1,61800.00,-396.00,62196.00,61800.00,52268.00,5532.00,4000.00
2016:Q2,44664.00,780.00,43884.00,44664.00,34976.00,5688.00,4000.00
