1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,1620399.00,527833.00,1092566.00,167846.00,90275.00,22819.00,235675.00,229212.00,6463.00,0.00,710.00,0.00,0.00,5753.00,575951.00,126315.00,1494084.00,14.54,21.57
1955:Q2,1662376.00,540621.00,1121755.00,168037.00,91875.00,23002.00,257159.00,249889.00,7270.00,0.00,904.00,0.00,0.00,6366.00,581682.00,133426.00,1528950.00,15.47,22.92
1955:Q3,1706602.00,555204.00,1151398.00,173016.00,93957.00,23300.00,271359.00,263912.00,7447.00,0.00,1089.00,0.00,0.00,6358.00,589766.00,138787.00,1567815.00,15.90,23.57
1955:Q4,1731841.00,565457.00,1166384.00,175819.00,94951.00,23624.00,273298.00,265154.00,8144.00,0.00,1217.00,0.00,0.00,6927.00,598692.00,144426.00,1587415.00,15.78,23.43
1956:Q1,1776520.00,577332.00,1199188.00,177309.00,97763.00,24171.00,290204.00,281337.00,8867.00,0.00,1363.00,0.00,0.00,7504.00,609741.00,146185.00,1630335.00,16.34,24.20
1956:Q2,1791370.00,588163.00,1203207.00,178865.00,98874.00,24509.00,281285.00,272249.00,9036.00,0.00,1348.00,0.00,0.00,7688.00,619674.00,151446.00,1639924.00,15.70,23.38
1956:Q3,1812948.00,599570.00,1213378.00,183165.00,100441.00,24843.00,275948.00,267245.00,8703.00,0.00,1342.00,0.00,0.00,7361.00,628981.00,154833.00,1658115.00,15.22,22.74
1956:Q4,1855717.00,608074.00,1247643.00,187113.00,100615.00,25209.00,296891.00,287591.00,9300.00,0.00,1413.00,0.00,0.00,7887.00,637815.00,159600.00,1696117.00,16.00,23.80
1957:Q1,1869886.00,619054.00,1250832.00,189289.00,103038.00,25686.00,283367.00,274073.00,9294.00,0.00,1403.00,0.00,0.00,7891.00,649452.00,160761.00,1709125.00,15.15,22.65
1957:Q2,1911589.00,630623.00,1280966.00,190694.00,103367.00,26147.00,300333.00,290373.00,9960.00,0.00,1590.00,0.00,0.00,8370.00,660425.00,165828.00,1745761.00,15.71,23.45
1957:Q3,1912883.00,639377.00,1273506.00,195233.00,105341.00,26676.00,274037.00,264793.00,9244.00,0.00,1528.00,0.00,0.00,7716.00,672219.00,168971.00,1743912.00,14.33,21.52
1957:Q4,1932692.00,643776.00,1288916.00,198191.00,105712.00,27177.00,275143.00,266234.00,8909.00,0.00,1498.00,0.00,0.00,7411.00,682693.00,172076.00,1760616.00,14.24,21.35
1958:Q1,1964949.00,644343.00,1320606.00,201589.00,106501.00,27701.00,290010.00,280386.00,9624.00,0.00,1612.00,0.00,0.00,8012.00,694805.00,171212.00,1793737.00,14.76,21.96
1958:Q2,1995476.00,650042.00,1345434.00,202186.00,104662.00,28584.00,305533.00,294788.00,10745.00,0.00,1796.00,0.00,0.00,8949.00,704469.00,174783.00,1820693.00,15.31,22.71
1958:Q3,2052930.00,660432.00,1392498.00,210539.00,103061.00,29284.00,335770.00,323591.00,12179.00,0.00,2037.00,0.00,0.00,10142.00,713844.00,178359.00,1874571.00,16.36,24.11
1958:Q4,2088219.00,670313.00,1417906.00,215004.00,103828.00,30043.00,347385.00,333401.00,13984.00,0.00,2312.00,0.00,0.00,11672.00,721646.00,184149.00,1904070.00,16.64,24.50
1959:Q1,2110829.00,674223.00,1436606.00,217114.00,106442.00,30602.00,354574.00,339692.00,14882.00,0.00,2427.00,0.00,0.00,12455.00,727874.00,186644.00,1924185.00,16.80,24.68
1959:Q2,2145083.00,686599.00,1458484.00,220137.00,107046.00,31057.00,367199.00,351283.00,15916.00,0.00,2656.00,0.00,0.00,13260.00,733045.00,193679.00,1951404.00,17.12,25.18
1959:Q3,2163893.00,697396.00,1466497.00,225959.00,109726.00,31345.00,360944.00,345399.00,15545.00,0.00,2684.00,0.00,0.00,12861.00,738523.00,199894.00,1963999.00,16.68,24.61
1959:Q4,2203407.00,706020.00,1497387.00,228096.00,112037.00,30443.00,381214.00,364442.00,16772.00,0.00,2905.00,0.00,0.00,13867.00,745597.00,206702.00,1996705.00,17.30,25.46
1960:Q1,2213163.00,720530.00,1492633.00,228305.00,118347.00,30621.00,360200.00,344090.00,16110.00,0.00,2826.00,0.00,0.00,13284.00,755160.00,207626.00,2005537.00,16.28,24.13
1960:Q2,2236899.00,726935.00,1509964.00,230226.00,118953.00,31213.00,367083.00,350070.00,17013.00,0.00,3024.00,0.00,0.00,13989.00,762489.00,214485.00,2022414.00,16.41,24.31
1960:Q3,2236500.00,734741.00,1501759.00,236987.00,118329.00,32280.00,342221.00,325875.00,16346.00,0.00,2921.00,0.00,0.00,13425.00,771942.00,219067.00,2017433.00,15.30,22.79
1960:Q4,2294812.00,737552.00,1557260.00,242043.00,117396.00,33623.00,382668.00,364553.00,18115.00,0.00,3309.00,0.00,0.00,14806.00,781530.00,224550.00,2070262.00,16.68,24.57
1961:Q1,2346402.00,736009.00,1610393.00,245235.00,116910.00,33818.00,424085.00,403160.00,20925.00,0.00,3816.00,0.00,0.00,17109.00,790345.00,225311.00,2121091.00,18.07,26.33
1961:Q2,2374315.00,748135.00,1626180.00,248973.00,116959.00,35336.00,424712.00,403029.00,21683.00,0.00,3919.00,0.00,0.00,17764.00,800200.00,231512.00,2142803.00,17.89,26.12
1961:Q3,2414430.00,759553.00,1654877.00,254539.00,117661.00,35408.00,435351.00,412628.00,22723.00,0.00,4132.00,0.00,0.00,18591.00,811918.00,235787.00,2178643.00,18.03,26.31
1961:Q4,2475820.00,769615.00,1706205.00,259837.00,118070.00,36094.00,468040.00,443217.00,24823.00,0.00,4571.00,0.00,0.00,20252.00,824164.00,242913.00,2232907.00,18.90,27.43
1962:Q1,2490218.00,779408.00,1710810.00,264453.00,119180.00,36277.00,457876.00,433050.00,24826.00,0.00,4573.00,0.00,0.00,20253.00,833024.00,244240.00,2245978.00,18.39,26.76
1962:Q2,2401115.00,786520.00,1614595.00,269203.00,118961.00,37525.00,349028.00,329789.00,19239.00,0.00,3569.00,0.00,0.00,15670.00,839878.00,251339.00,2149776.00,14.54,21.62
1962:Q3,2446095.00,793692.00,1652403.00,276907.00,120509.00,38068.00,368225.00,348408.00,19817.00,0.00,3850.00,0.00,0.00,15967.00,848694.00,257554.00,2188541.00,15.05,22.28
1962:Q4,2557293.00,803569.00,1753724.00,286061.00,119244.00,38142.00,453634.00,431230.00,22404.00,0.00,4377.00,0.00,0.00,18027.00,856643.00,265049.00,2292244.00,17.74,25.87
1963:Q1,2606962.00,813437.00,1793525.00,294203.00,116747.00,37860.00,479589.00,455641.00,23948.00,0.00,4702.00,0.00,0.00,19246.00,865126.00,267959.00,2339003.00,18.40,26.74
1963:Q2,2648730.00,817640.00,1831090.00,300331.00,116957.00,39185.00,502867.00,477302.00,25565.00,0.00,4990.00,0.00,0.00,20575.00,871749.00,277476.00,2371254.00,18.99,27.46
1963:Q3,2698214.00,830883.00,1867331.00,307763.00,117735.00,39325.00,523824.00,497411.00,26413.00,0.00,5254.00,0.00,0.00,21159.00,878684.00,284993.00,2413221.00,19.41,28.05
1963:Q4,2701148.00,839163.00,1861985.00,316999.00,119325.00,39382.00,497167.00,469895.00,27272.00,0.00,5534.00,0.00,0.00,21738.00,889112.00,294004.00,2407144.00,18.41,26.70
1964:Q1,2752329.00,843876.00,1908453.00,320095.00,121324.00,40727.00,528682.00,499442.00,29240.00,0.00,5938.00,0.00,0.00,23302.00,897625.00,297969.00,2454360.00,19.21,27.70
1964:Q2,2806340.00,860175.00,1946165.00,327892.00,122521.00,39781.00,545103.00,515081.00,30022.00,0.00,6227.00,0.00,0.00,23795.00,910868.00,307566.00,2498774.00,19.42,28.01
1964:Q3,2858880.00,869243.00,1989637.00,338278.00,123292.00,41040.00,564008.00,532323.00,31685.00,0.00,6528.00,0.00,0.00,25157.00,923020.00,314378.00,2544502.00,19.73,28.35
