date,LM554090005.Q,LM554022005.Q,LM553061103.Q,LM553062003.Q,LM553063003.Q,LM553064103.Q,LM554090005.Q,LM554091603.Q,LM554092603.Q,LM554091303.Q,LM554091203.Q,LM554092303.Q
1954:Q1,2873.00,575.00,144.00,0.00,431.00,2298.00,2873.00,ND,ND,ND,ND,ND
1954:Q2,2943.00,589.00,147.00,0.00,442.00,2354.00,2943.00,ND,ND,ND,ND,ND
1954:Q3,3016.00,603.00,151.00,0.00,452.00,2413.00,3016.00,ND,ND,ND,ND,ND
1954:Q4,3100.00,620.00,155.00,0.00,465.00,2480.00,3100.00,ND,ND,ND,ND,ND
1955:Q1,3192.00,638.00,160.00,0.00,478.00,2554.00,3192.00,ND,ND,ND,ND,ND
1955:Q2,3294.00,659.00,165.00,0.00,494.00,2635.00,3294.00,ND,ND,ND,ND,ND
1955:Q3,3399.00,680.00,170.00,0.00,510.00,2719.00,3399.00,ND,ND,ND,ND,ND
1955:Q4,3500.00,700.00,175.00,0.00,525.00,2800.00,3500.00,ND,ND,ND,ND,ND
1956:Q1,3598.00,720.00,180.00,0.00,540.00,2878.00,3598.00,ND,ND,ND,ND,ND
1956:Q2,3693.00,739.00,185.00,0.00,554.00,2954.00,3693.00,ND,ND,ND,ND,ND
1956:Q3,3791.00,758.00,190.00,0.00,568.00,3033.00,3791.00,ND,ND,ND,ND,ND
1956:Q4,3900.00,780.00,195.00,0.00,585.00,3120.00,3900.00,ND,ND,ND,ND,ND
1957:Q1,4016.00,803.00,201.00,0.00,602.00,3213.00,4016.00,ND,ND,ND,ND,ND
1957:Q2,4139.00,828.00,207.00,0.00,621.00,3311.00,4139.00,ND,ND,ND,ND,ND
1957:Q3,4267.00,853.00,213.00,0.00,640.00,3414.00,4267.00,ND,ND,ND,ND,ND
1957:Q4,4400.00,880.00,220.00,0.00,660.00,3520.00,4400.00,ND,ND,ND,ND,ND
1958:Q1,4539.00,908.00,227.00,0.00,681.00,3631.00,4539.00,ND,ND,ND,ND,ND
1958:Q2,4686.00,937.00,234.00,0.00,703.00,3749.00,4686.00,ND,ND,ND,ND,ND
1958:Q3,4835.00,967.00,242.00,0.00,725.00,3868.00,4835.00,ND,ND,ND,ND,ND
1958:Q4,4980.00,996.00,249.00,0.00,747.00,3984.00,4980.00,ND,ND,ND,ND,ND
1959:Q1,5119.00,1075.00,269.00,0.00,806.00,4044.00,5119.00,ND,ND,ND,ND,ND
1959:Q2,5248.00,1102.00,289.00,0.00,813.00,4146.00,5248.00,ND,ND,ND,ND,ND
1959:Q3,5385.00,1131.00,310.00,0.00,821.00,4254.00,5385.00,ND,ND,ND,ND,ND
1959:Q4,5546.00,1165.00,333.00,0.00,832.00,4381.00,5546.00,ND,ND,ND,ND,ND
1960:Q1,5548.00,1265.00,359.00,0.00,906.00,4283.00,5548.00,ND,ND,ND,ND,ND
1960:Q2,5908.00,1322.00,391.00,0.00,931.00,4586.00,5908.00,ND,ND,ND,ND,ND
1960:Q3,5841.00,1373.00,421.00,0.00,952.00,4468.00,5841.00,ND,ND,ND,ND,ND
1960:Q4,6364.00,1400.00,445.00,0.00,955.00,4964.00,6364.00,ND,ND,ND,ND,ND
1961:Q1,6481.00,1468.00,447.00,0.00,1021.00,5013.00,6481.00,ND,ND,ND,ND,ND
1961:Q2,6298.00,1449.00,441.00,0.00,1008.00,4849.00,6298.00,ND,ND,ND,ND,ND
1961:Q3,6178.00,1421.00,432.00,0.00,989.00,4757.00,6178.00,ND,ND,ND,ND,ND
1961:Q4,6083.00,1399.00,426.00,0.00,973.00,4684.00,6083.00,ND,ND,ND,ND,ND
1962:Q1,6073.00,1434.00,418.00,0.00,1016.00,4639.00,6073.00,ND,ND,ND,ND,ND
1962:Q2,5098.00,1392.00,406.00,0.00,986.00,3706.00,5098.00,ND,ND,ND,ND,ND
1962:Q3,5280.00,1363.00,398.00,0.00,965.00,3917.00,5280.00,ND,ND,ND,ND,ND
1962:Q4,5739.00,1377.00,402.00,0.00,975.00,4362.00,5739.00,ND,ND,ND,ND,ND
1963:Q1,6144.00,1499.00,420.00,0.00,1079.00,4645.00,6144.00,ND,ND,ND,ND,ND
1963:Q2,6556.00,1614.00,452.00,0.00,1162.00,4942.00,6556.00,ND,ND,ND,ND,ND
1963:Q3,6947.00,1737.00,486.00,0.00,1251.00,5210.00,6947.00,ND,ND,ND,ND,ND
1963:Q4,7290.00,1823.00,510.00,0.00,1313.00,5467.00,7290.00,ND,ND,ND,ND,ND
1964:Q1,7528.00,1957.00,527.00,0.00,1430.00,5571.00,7528.00,ND,ND,ND,ND,ND
1964:Q2,7703.00,2003.00,539.00,0.00,1464.00,5700.00,7703.00,ND,ND,ND,ND,ND
1964:Q3,7822.00,2034.00,548.00,0.00,1486.00,5788.00,7822.00,ND,ND,ND,ND,ND
1964:Q4,7890.00,2051.00,552.00,0.00,1499.00,5839.00,7890.00,ND,ND,ND,ND,ND
1965:Q1,7894.00,2131.00,553.00,0.00,1578.00,5763.00,7894.00,ND,ND,ND,ND,ND
1965:Q2,7521.00,2112.00,547.00,0.00,1565.00,5409.00,7521.00,ND,ND,ND,ND,ND
1965:Q3,7719.00,2084.00,540.00,0.00,1544.00,5635.00,7719.00,ND,ND,ND,ND,ND
1965:Q4,7633.00,2061.00,534.00,0.00,1527.00,5572.00,7633.00,ND,ND,ND,ND,ND
1966:Q1,7548.00,2113.00,528.00,0.00,1585.00,5435.00,7548.00,ND,ND,ND,ND,ND
1966:Q2,7437.00,2082.00,521.00,0.00,1561.00,5355.00,7437.00,ND,ND,ND,ND,ND
1966:Q3,6742.00,2056.00,514.00,0.00,1542.00,4686.00,6742.00,ND,ND,ND,ND,ND
1966:Q4,7300.00,2044.00,511.00,0.00,1533.00,5256.00,7300.00,ND,ND,ND,ND,ND
1967:Q1,8000.00,2117.00,511.00,0.00,1606.00,5883.00,8000.00,ND,ND,ND,ND,ND
1967:Q2,7819.00,2123.00,512.00,0.00,1611.00,5696.00,7819.00,ND,ND,ND,ND,ND
1967:Q3,7891.00,2143.00,517.00,0.00,1626.00,5748.00,7891.00,ND,ND,ND,ND,ND
1967:Q4,7549.00,2189.00,528.00,0.00,1661.00,5360.00,7549.00,ND,ND,ND,ND,ND
1968:Q1,7232.00,2271.00,548.00,0.00,1723.00,4961.00,7232.00,ND,ND,ND,ND,ND
1968:Q2,8274.00,2399.00,579.00,0.00,1820.00,5875.00,8274.00,ND,ND,ND,ND,ND
1968:Q3,8598.00,2522.00,609.00,0.00,1913.00,6076.00,8598.00,ND,ND,ND,ND,ND
1968:Q4,8925.00,2588.00,625.00,0.00,1963.00,6337.00,8925.00,ND,ND,ND,ND,ND
1969:Q1,8707.00,2702.00,630.00,0.00,2072.00,6005.00,8707.00,ND,ND,ND,ND,ND
1969:Q2,8696.00,2699.00,630.00,0.00,2069.00,5997.00,8696.00,ND,ND,ND,ND,ND
1969:Q3,8565.00,2660.00,621.00,0.00,2039.00,5905.00,8565.00,ND,ND,ND,ND,ND
1969:Q4,8587.00,2576.00,601.00,0.00,1975.00,6011.00,8587.00,ND,ND,ND,ND,ND
1970:Q1,8077.00,2423.00,646.00,0.00,1777.00,5654.00,8077.00,ND,ND,ND,ND,ND
1970:Q2,6642.00,2173.00,579.00,0.00,1594.00,4469.00,6642.00,ND,ND,ND,ND,ND
1970:Q3,5269.00,1941.00,518.00,0.00,1423.00,3328.00,5269.00,ND,ND,ND,ND,ND
1970:Q4,6141.00,1842.00,491.00,0.00,1351.00,4299.00,6141.00,ND,ND,ND,ND,ND
1971:Q1,6746.00,1936.00,500.00,0.00,1436.00,4810.00,6746.00,ND,ND,ND,ND,ND
1971:Q2,7163.00,2097.00,541.00,0.00,1556.00,5066.00,7163.00,ND,ND,ND,ND,ND
1971:Q3,7778.00,2287.00,590.00,0.00,1697.00,5491.00,7778.00,ND,ND,ND,ND,ND
1971:Q4,7775.00,2410.00,622.00,0.00,1788.00,5365.00,7775.00,ND,ND,ND,ND,ND
1972:Q1,8207.00,2562.00,641.00,0.00,1921.00,5645.00,8207.00,ND,ND,ND,ND,ND
1972:Q2,8227.00,2601.00,650.00,0.00,1951.00,5626.00,8227.00,ND,ND,ND,ND,ND
1972:Q3,8139.00,2636.00,659.00,0.00,1977.00,5503.00,8139.00,ND,ND,ND,ND,ND
1972:Q4,8450.00,2704.00,676.00,0.00,2028.00,5746.00,8450.00,ND,ND,ND,ND,ND
1973:Q1,8780.00,2897.00,702.00,0.00,2195.00,5883.00,8780.00,ND,ND,ND,ND,ND
1973:Q2,9051.00,3053.00,740.00,0.00,2313.00,5998.00,9051.00,ND,ND,ND,ND,ND
1973:Q3,9673.00,3192.00,774.00,0.00,2418.00,6481.00,9673.00,ND,ND,ND,ND,ND
1973:Q4,9855.00,3252.00,788.00,0.00,2464.00,6603.00,9855.00,ND,ND,ND,ND,ND
1974:Q1,9797.00,3331.00,784.00,0.00,2547.00,6466.00,9797.00,ND,ND,ND,ND,ND
1974:Q2,9495.00,3228.00,760.00,0.00,2468.00,6267.00,9495.00,ND,ND,ND,ND,ND
1974:Q3,8349.00,3111.00,732.00,0.00,2379.00,5238.00,8349.00,ND,ND,ND,ND,ND
1974:Q4,8954.00,3044.00,716.00,0.00,2328.00,5910.00,8954.00,ND,ND,ND,ND,ND
1975:Q1,10078.00,3107.00,710.00,0.00,2397.00,6971.00,10078.00,ND,ND,ND,ND,ND
1975:Q2,10675.00,3106.00,710.00,0.00,2396.00,7569.00,10675.00,ND,ND,ND,ND,ND
1975:Q3,9511.00,3119.00,713.00,0.00,2406.00,6392.00,9511.00,ND,ND,ND,ND,ND
1975:Q4,8952.00,3133.00,716.00,0.00,2417.00,5819.00,8952.00,ND,ND,ND,ND,ND
1976:Q1,10051.00,3258.00,724.00,0.00,2534.00,6793.00,10051.00,ND,ND,ND,ND,ND
1976:Q2,9757.00,3333.00,741.00,0.00,2592.00,6424.00,9757.00,ND,ND,ND,ND,ND
1976:Q3,9602.00,3385.00,752.00,0.00,2633.00,6217.00,9602.00,ND,ND,ND,ND,ND
1976:Q4,9319.00,3355.00,746.00,0.00,2609.00,5964.00,9319.00,ND,ND,ND,ND,ND
1977:Q1,8673.00,3230.00,718.00,0.00,2512.00,5443.00,8673.00,ND,ND,ND,ND,ND
1977:Q2,8429.00,2998.00,666.00,0.00,2332.00,5431.00,8429.00,ND,ND,ND,ND,ND
1977:Q3,7694.00,2770.00,616.00,0.00,2154.00,4924.00,7694.00,ND,ND,ND,ND,ND
1977:Q4,7373.00,2654.00,590.00,0.00,2064.00,4719.00,7373.00,ND,ND,ND,ND,ND
1978:Q1,7050.00,2720.00,588.00,0.00,2132.00,4330.00,7050.00,ND,ND,ND,ND,ND
1978:Q2,7297.00,2811.00,608.00,0.00,2203.00,4486.00,7297.00,ND,ND,ND,ND,ND
1978:Q3,7599.00,2923.00,632.00,0.00,2291.00,4676.00,7599.00,ND,ND,ND,ND,ND
1978:Q4,8039.00,2974.00,643.00,0.00,2331.00,5065.00,8039.00,ND,ND,ND,ND,ND
1979:Q1,8056.00,3061.00,644.00,0.00,2417.00,4995.00,8056.00,ND,ND,ND,ND,ND
1979:Q2,7986.00,3035.00,639.00,0.00,2396.00,4951.00,7986.00,ND,ND,ND,ND,ND
1979:Q3,7897.00,3001.00,632.00,0.00,2369.00,4896.00,7897.00,ND,ND,ND,ND,ND
1979:Q4,7855.00,2985.00,628.00,0.00,2357.00,4870.00,7855.00,ND,ND,ND,ND,ND
1980:Q1,7366.00,2989.00,629.00,0.00,2360.00,4377.00,7366.00,ND,ND,ND,ND,ND
1980:Q2,7429.00,3013.00,634.00,0.00,2379.00,4416.00,7429.00,ND,ND,ND,ND,ND
1980:Q3,7471.00,3029.00,638.00,0.00,2391.00,4442.00,7471.00,ND,ND,ND,ND,ND
1980:Q4,7920.00,3010.00,634.00,0.00,2376.00,4910.00,7920.00,ND,ND,ND,ND,ND
1981:Q1,8160.00,3182.00,621.00,0.00,2561.00,4978.00,8160.00,ND,ND,ND,ND,ND
1981:Q2,7874.00,3064.00,598.00,0.00,2466.00,4810.00,7874.00,ND,ND,ND,ND,ND
1981:Q3,7199.00,2952.00,576.00,0.00,2376.00,4247.00,7199.00,ND,ND,ND,ND,ND
1981:Q4,7068.00,2898.00,565.00,0.00,2333.00,4170.00,7068.00,ND,ND,ND,ND,ND
1982:Q1,6982.00,3187.00,567.00,0.00,2620.00,3795.00,6982.00,ND,ND,ND,ND,ND
1982:Q2,6831.00,3254.00,578.00,0.00,2676.00,3577.00,6831.00,ND,ND,ND,ND,ND
1982:Q3,7104.00,3332.00,592.00,0.00,2740.00,3772.00,7104.00,ND,ND,ND,ND,ND
1982:Q4,7488.00,3370.00,599.00,0.00,2771.00,4118.00,7488.00,ND,ND,ND,ND,ND
1983:Q1,7344.00,3082.00,602.00,0.00,2480.00,4262.00,7344.00,ND,ND,ND,ND,ND
1983:Q2,7669.00,3100.00,603.00,0.00,2497.00,4569.00,7669.00,ND,ND,ND,ND,ND
1983:Q3,7593.00,3142.00,600.00,0.00,2542.00,4451.00,7593.00,ND,ND,ND,ND,ND
1983:Q4,7441.00,3149.00,592.00,0.00,2557.00,4292.00,7441.00,ND,ND,ND,ND,ND
1984:Q1,7194.00,3126.00,575.00,0.00,2551.00,4068.00,7194.00,ND,ND,ND,ND,ND
1984:Q2,6987.00,3133.00,545.00,0.00,2588.00,3854.00,6987.00,ND,ND,ND,ND,ND
1984:Q3,6780.00,2815.00,519.00,0.00,2296.00,3965.00,6780.00,ND,ND,ND,ND,ND
1984:Q4,6384.00,2672.00,512.00,0.00,2160.00,3712.00,6384.00,ND,ND,ND,ND,ND
1985:Q1,6866.00,2943.00,518.00,200.00,2225.00,3923.00,6866.00,ND,ND,ND,ND,ND
1985:Q2,7101.00,3071.00,531.00,400.00,2140.00,4030.00,7101.00,ND,ND,ND,ND,ND
1985:Q3,7370.00,3557.00,559.00,650.00,2348.00,3813.00,7370.00,ND,ND,ND,ND,ND
1985:Q4,8280.00,4070.00,612.00,950.00,2508.00,4210.00,8280.00,ND,ND,ND,ND,ND
1986:Q1,10409.00,4542.00,689.00,1200.00,2653.00,5867.00,10409.00,ND,ND,ND,ND,ND
1986:Q2,12164.00,5337.00,789.00,1450.00,3098.00,6827.00,12164.00,ND,ND,ND,ND,ND
1986:Q3,12976.00,6132.00,906.00,1700.00,3526.00,6844.00,12976.00,ND,ND,ND,ND,ND
1986:Q4,14472.00,6986.00,1038.00,2000.00,3948.00,7486.00,14472.00,ND,ND,ND,ND,ND
1987:Q1,18309.00,7587.00,1285.00,2241.00,4061.00,10722.00,18309.00,ND,ND,ND,ND,ND
1987:Q2,20025.00,7933.00,1061.00,2458.00,4414.00,12092.00,20025.00,ND,ND,ND,ND,ND
1987:Q3,22067.00,8956.00,1034.00,2751.00,5171.00,13111.00,22067.00,ND,ND,ND,ND,ND
1987:Q4,21346.00,10967.00,1604.00,3271.00,6092.00,10379.00,21346.00,ND,ND,ND,ND,ND
1988:Q1,25422.00,14134.00,2277.00,3914.00,7943.00,11288.00,25422.00,ND,ND,ND,ND,ND
1988:Q2,31986.00,19708.00,3547.00,4996.00,11165.00,12278.00,31986.00,ND,ND,ND,ND,ND
1988:Q3,37918.00,24682.00,4418.00,6175.00,14089.00,13236.00,37918.00,ND,ND,ND,ND,ND
1988:Q4,43176.00,28834.00,4800.00,7497.00,16537.00,14342.00,43176.00,ND,ND,ND,ND,ND
1989:Q1,44532.00,31464.00,5500.00,8565.00,17399.00,13068.00,44532.00,ND,ND,ND,ND,ND
1989:Q2,45834.00,31645.00,5989.00,9426.00,16230.00,14189.00,45834.00,ND,ND,ND,ND,ND
1989:Q3,50042.00,34512.00,6282.00,11252.00,16978.00,15530.00,50042.00,ND,ND,ND,ND,ND
1989:Q4,52489.00,35390.00,6629.00,12101.00,16660.00,17099.00,52489.00,ND,ND,ND,ND,ND
1990:Q1,55110.00,37898.00,6651.00,12923.00,18324.00,17212.00,55110.00,ND,ND,ND,ND,ND
1990:Q2,53156.00,36563.00,6561.00,12768.00,17234.00,16593.00,53156.00,ND,ND,ND,ND,ND
1990:Q3,52398.00,36398.00,6556.00,13248.00,16594.00,16000.00,52398.00,ND,ND,ND,ND,ND
1990:Q4,52880.00,36692.00,6830.00,14121.00,15741.00,16188.00,52880.00,ND,ND,ND,ND,ND
1991:Q1,55894.00,38766.00,7408.00,16225.00,15133.00,17128.00,55894.00,ND,ND,ND,ND,ND
1991:Q2,61342.00,42557.00,8307.00,19233.00,15017.00,18785.00,61342.00,ND,ND,ND,ND,ND
1991:Q3,66622.00,46088.00,9252.00,22405.00,14431.00,20534.00,66622.00,ND,ND,ND,ND,ND
1991:Q4,71234.00,49482.00,9967.00,25413.00,14102.00,21752.00,71234.00,ND,ND,ND,ND,ND
1992:Q1,77815.00,55306.00,10490.00,29411.00,15405.00,22509.00,77815.00,ND,ND,ND,ND,ND
1992:Q2,82885.00,60007.00,10855.00,33176.00,15976.00,22878.00,82885.00,ND,ND,ND,ND,ND
1992:Q3,87824.00,64628.00,11195.00,36731.00,16702.00,23196.00,87824.00,ND,ND,ND,ND,ND
1992:Q4,93466.00,69666.00,11642.00,39682.00,18342.00,23800.00,93466.00,ND,ND,ND,ND,ND
1993:Q1,97204.00,74662.00,12160.00,42700.00,19802.00,22542.00,97204.00,ND,ND,ND,ND,ND
1993:Q2,103158.00,79658.00,12678.00,45718.00,21262.00,23500.00,103158.00,ND,ND,ND,ND,ND
1993:Q3,109998.00,84654.00,13196.00,48736.00,22722.00,25344.00,109998.00,ND,ND,ND,ND,ND
1993:Q4,116141.00,89650.00,13714.00,51754.00,24182.00,26491.00,116141.00,ND,ND,ND,ND,ND
1994:Q1,116045.00,88725.00,13476.00,52159.00,23090.00,27320.00,116045.00,ND,ND,ND,ND,ND
1994:Q2,115773.00,87800.00,13238.00,52564.00,21998.00,27973.00,115773.00,ND,ND,ND,ND,ND
1994:Q3,117600.00,86875.00,13000.00,52969.00,20906.00,30725.00,117600.00,ND,ND,ND,ND,ND
1994:Q4,117830.00,85950.00,12762.00,53374.00,19814.00,31880.00,117830.00,ND,ND,ND,ND,ND
1995:Q1,123556.00,89146.00,12648.00,54606.00,21892.00,34410.00,123556.00,ND,ND,ND,ND,ND
1995:Q2,130666.00,93397.00,12788.00,56167.00,24442.00,37269.00,130666.00,ND,ND,ND,ND,ND
1995:Q3,136629.00,96307.00,12374.00,58044.00,25889.00,40322.00,136629.00,ND,ND,ND,ND,ND
1995:Q4,142619.00,100693.00,12311.00,60318.00,28064.00,41926.00,142619.00,ND,ND,ND,ND,ND
1996:Q1,141276.00,97876.00,11818.00,58908.00,27150.00,43400.00,141276.00,ND,ND,ND,ND,ND
1996:Q2,142091.00,97671.00,11693.00,58755.00,27223.00,44420.00,142091.00,ND,ND,ND,ND,ND
1996:Q3,143662.00,98877.00,11696.00,59478.00,27703.00,44785.00,143662.00,ND,ND,ND,ND,ND
1996:Q4,146992.00,100005.00,11861.00,59541.00,28603.00,46987.00,146992.00,ND,ND,ND,ND,ND
1997:Q1,142049.00,97473.00,11200.00,58526.00,27747.00,44576.00,142049.00,ND,ND,ND,ND,ND
1997:Q2,148573.00,99195.00,11045.00,59812.00,28338.00,49378.00,148573.00,ND,ND,ND,ND,ND
1997:Q3,152081.00,100607.00,11016.00,60542.00,29049.00,51474.00,152081.00,ND,ND,ND,ND,ND
1997:Q4,151845.00,102220.00,10851.00,61992.00,29377.00,49625.00,151845.00,ND,ND,ND,ND,ND
1998:Q1,155932.00,102862.00,10580.00,61679.00,30603.00,53070.00,155932.00,ND,ND,ND,ND,ND
1998:Q2,156035.00,105053.00,10431.00,62616.00,32006.00,50982.00,156035.00,ND,ND,ND,ND,ND
1998:Q3,150117.00,108372.00,10564.00,64227.00,33581.00,41745.00,150117.00,ND,ND,ND,ND,ND
1998:Q4,155814.00,108208.00,10140.00,63628.00,34440.00,47606.00,155814.00,ND,ND,ND,ND,ND
1999:Q1,159283.00,108739.00,9911.00,65086.00,33742.00,50544.00,159283.00,ND,ND,ND,ND,ND
1999:Q2,164502.00,108297.00,9664.00,65185.00,33448.00,56205.00,164502.00,ND,ND,ND,ND,ND
1999:Q3,144954.00,108296.00,9540.00,66013.00,32743.00,36658.00,144954.00,ND,ND,ND,ND,ND
1999:Q4,146940.00,105749.00,8145.00,64513.00,33091.00,41191.00,146940.00,ND,ND,ND,ND,ND
2000:Q1,149305.00,107414.00,8187.00,66339.00,32888.00,41891.00,149305.00,ND,ND,ND,ND,ND
2000:Q2,147357.00,106266.00,8145.00,66032.00,32089.00,41091.00,147357.00,ND,ND,ND,ND,ND
2000:Q3,145409.00,106157.00,8221.00,66446.00,31490.00,39252.00,145409.00,ND,ND,ND,ND,ND
2000:Q4,143066.00,106523.00,7603.00,68267.00,30653.00,36543.00,143066.00,ND,ND,ND,ND,ND
2001:Q1,138532.00,106056.00,6736.00,69474.00,29846.00,32476.00,138532.00,ND,ND,ND,ND,ND
2001:Q2,138790.00,104950.00,6704.00,70092.00,28154.00,33840.00,138790.00,ND,ND,ND,ND,ND
2001:Q3,136335.00,107247.00,6956.00,73537.00,26754.00,29088.00,136335.00,ND,ND,ND,ND,ND
2001:Q4,141184.00,110175.00,7672.00,74467.00,28036.00,31009.00,141184.00,ND,ND,ND,ND,ND
2002:Q1,143328.00,112368.00,5715.00,76000.00,30653.00,30960.00,143328.00,ND,ND,ND,ND,ND
2002:Q2,145942.00,115657.00,5681.00,79949.00,30027.00,30285.00,145942.00,ND,ND,ND,ND,ND
2002:Q3,152156.00,121477.00,5949.00,86421.00,29107.00,30679.00,152156.00,ND,ND,ND,ND,ND
2002:Q4,158665.00,125081.00,5073.00,90024.00,29984.00,33584.00,158665.00,ND,ND,ND,ND,ND
2003:Q1,164894.00,131200.00,5125.00,90401.00,35674.00,33694.00,164894.00,ND,ND,ND,ND,ND
2003:Q2,188497.00,148491.00,5304.00,91696.00,51491.00,40006.00,188497.00,ND,ND,ND,ND,ND
2003:Q3,202272.00,156697.00,5463.00,92441.00,58793.00,45575.00,202272.00,ND,ND,ND,ND,ND
2003:Q4,213757.00,161027.00,5509.00,94060.00,61458.00,52730.00,213757.00,ND,ND,ND,ND,ND
2004:Q1,232305.00,165374.00,6864.00,94611.00,63899.00,66931.00,232305.00,ND,ND,ND,ND,ND
2004:Q2,234534.00,163559.00,7198.00,92031.00,64330.00,70975.00,234534.00,ND,ND,ND,ND,ND
2004:Q3,242978.00,168434.00,7547.00,94725.00,66162.00,74544.00,242978.00,ND,ND,ND,ND,ND
2004:Q4,253383.00,171579.00,7661.00,94841.00,69077.00,81804.00,253383.00,ND,ND,ND,ND,ND
2005:Q1,259479.00,171525.00,7718.00,94210.00,69597.00,87954.00,259479.00,ND,ND,ND,ND,ND
2005:Q2,269594.00,174255.00,8134.00,95966.00,70155.00,95339.00,269594.00,ND,ND,ND,ND,ND
2005:Q3,275945.00,172979.00,7831.00,95159.00,69989.00,102966.00,275945.00,ND,ND,ND,ND,ND
2005:Q4,275932.00,171058.00,7784.00,94564.00,68710.00,104874.00,275932.00,ND,ND,ND,ND,ND
2006:Q1,279687.00,170692.00,7196.00,93444.00,70052.00,108995.00,279687.00,ND,ND,ND,ND,ND
2006:Q2,279390.00,172265.00,7526.00,92822.00,71917.00,107125.00,279390.00,ND,ND,ND,ND,ND
2006:Q3,286184.00,174696.00,7728.00,94227.00,72741.00,111488.00,286184.00,ND,ND,ND,ND,ND
2006:Q4,297236.00,175566.00,7809.00,94526.00,73231.00,121670.00,297236.00,ND,ND,ND,ND,ND
2007:Q1,311365.00,175066.00,7637.00,93599.00,73830.00,136299.00,311365.00,89102.00,47197.00,68326.00,93599.00,13141.00
2007:Q2,321536.00,175129.00,6995.00,91723.00,76411.00,146407.00,321536.00,90505.00,55901.00,67704.00,91723.00,15701.00
2007:Q3,324446.00,171941.00,7002.00,90732.00,74207.00,152505.00,324446.00,91929.00,60576.00,65227.00,90732.00,15982.00
2007:Q4,312371.00,167173.00,6355.00,88920.00,71898.00,145198.00,312371.00,87869.00,57329.00,62571.00,88920.00,15682.00
2008:Q1,289013.00,159205.00,6295.00,85197.00,67713.00,129808.00,289013.00,79328.00,50480.00,58422.00,85196.00,15586.00
2008:Q2,276275.00,152428.00,5887.00,82478.00,64063.00,123847.00,276275.00,76377.00,47470.00,55293.00,82478.00,14657.00
