1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q1,263.00,263.00,263.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q2,307.00,307.00,307.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q3,816.00,816.00,816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q4,993.00,993.00,993.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q1,1241.00,1241.00,1241.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q2,41.00,41.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q3,47.00,47.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q4,-12.00,-12.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q1,16.00,16.00,-139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,0.00
1976:Q2,-282.00,-282.00,-216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-66.00,0.00
1976:Q3,-9.00,-9.00,-19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
1976:Q4,265.00,265.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.00,0.00
1977:Q1,-226.00,-226.00,-442.00,31.00,0.00,0.00,0.00,24.00,0.00,0.00,161.00,0.00
1977:Q2,-17.00,-17.00,78.00,43.00,0.00,0.00,0.00,35.00,23.00,0.00,-196.00,0.00
1977:Q3,20.00,20.00,-61.00,56.00,0.00,0.00,0.00,43.00,30.00,0.00,-48.00,0.00
1977:Q4,424.00,424.00,241.00,70.00,0.00,0.00,0.00,48.00,41.00,0.00,24.00,0.00
1978:Q1,1733.00,1733.00,1537.00,55.00,0.00,0.00,0.00,50.00,56.00,0.00,35.00,0.00
1978:Q2,1339.00,1339.00,1316.00,13.00,0.00,0.00,0.00,49.00,62.00,0.00,-101.00,0.00
1978:Q3,1448.00,1448.00,1165.00,81.00,0.00,0.00,0.00,63.00,60.00,0.00,79.00,0.00
1978:Q4,2401.00,2401.00,1713.00,261.00,0.00,0.00,0.00,91.00,87.00,0.00,249.00,0.00
1979:Q1,7212.00,7212.00,6765.00,418.00,0.00,0.00,0.00,118.00,141.00,0.00,-230.00,0.00
1979:Q2,7895.00,7895.00,6988.00,553.00,0.00,0.00,0.00,142.00,188.00,0.00,24.00,0.00
1979:Q3,8279.00,8279.00,7141.00,665.00,0.00,0.00,0.00,161.00,225.00,0.00,87.00,0.00
1979:Q4,11020.00,11020.00,9637.00,754.00,0.00,0.00,0.00,176.00,269.00,0.00,184.00,0.00
1980:Q1,16078.00,16078.00,15066.00,757.00,0.00,0.00,0.00,150.00,318.00,0.00,-213.00,0.00
1980:Q2,16535.00,16535.00,15403.00,675.00,0.00,0.00,0.00,85.00,345.00,0.00,27.00,0.00
1980:Q3,2074.00,2074.00,75.00,957.00,0.00,0.00,0.00,182.00,350.00,0.00,510.00,0.00
1980:Q4,-3486.00,-3486.00,-5637.00,1604.00,0.00,0.00,0.00,441.00,438.00,0.00,-332.00,0.00
1981:Q1,37808.00,37808.00,34156.00,2444.00,0.00,0.00,0.00,744.00,611.00,0.00,-147.00,0.00
1981:Q2,15648.00,15648.00,10042.00,3478.00,0.00,0.00,4.00,1092.00,890.00,0.00,142.00,0.00
1981:Q3,34599.00,34599.00,28834.00,3373.00,0.00,0.00,14.00,1099.00,1279.00,0.00,0.00,0.00
1981:Q4,21835.00,21835.00,17212.00,2128.00,0.00,0.00,17.00,765.00,1151.00,0.00,562.00,0.00
1982:Q1,12427.00,12427.00,10275.00,1131.00,0.00,0.00,36.00,523.00,466.00,0.00,-4.00,0.00
1982:Q2,10948.00,10948.00,10496.00,383.00,0.00,0.00,101.00,372.00,-1000.00,0.00,596.00,0.00
1982:Q3,25566.00,25566.00,25983.00,-219.00,0.00,0.00,206.00,197.00,-959.00,0.00,358.00,0.00
1982:Q4,-15318.00,-15318.00,-14652.00,-680.00,0.00,0.00,1049.00,0.00,-383.00,0.00,-652.00,0.00
1983:Q1,-22592.00,-22592.00,-22383.00,-1505.00,0.00,0.00,548.00,-303.00,189.00,0.00,862.00,0.00
1983:Q2,-16443.00,-16443.00,-13675.00,-2701.00,0.00,0.00,629.00,-711.00,351.00,0.00,-336.00,0.00
1983:Q3,-1303.00,-1303.00,259.00,-2566.00,0.00,0.00,971.00,-675.00,374.00,0.00,334.00,0.00
1983:Q4,-123.00,-123.00,-969.00,-1106.00,0.00,0.00,1226.00,-199.00,327.00,0.00,598.00,0.00
1984:Q1,15607.00,15607.00,13960.00,356.00,0.00,0.00,485.00,265.00,262.00,0.00,279.00,0.00
1984:Q2,5022.00,5022.00,2814.00,1809.00,0.00,0.00,708.00,708.00,197.00,0.00,-1214.00,0.00
1984:Q3,5173.00,5173.00,932.00,1954.00,0.00,0.00,171.00,780.00,382.00,0.00,954.00,0.00
1984:Q4,28285.00,28285.00,26668.00,790.00,0.00,0.00,105.00,479.00,168.00,0.00,75.00,0.00
1985:Q1,7446.00,7446.00,7271.00,-242.00,0.00,0.00,334.00,233.00,491.00,0.00,-641.00,0.00
1985:Q2,6095.00,6095.00,5535.00,-1145.00,0.00,0.00,277.00,39.00,586.00,0.00,803.00,0.00
1985:Q3,-3679.00,-3679.00,-3582.00,-262.00,0.00,0.00,541.00,4.00,224.00,0.00,-604.00,0.00
1985:Q4,387.00,387.00,-5830.00,107.00,0.00,0.00,844.00,1804.00,848.00,1427.00,1187.00,0.00
1986:Q1,22726.00,22726.00,22717.00,-1429.00,0.00,0.00,19.00,494.00,430.00,67.00,428.00,0.00
1986:Q2,11570.00,11570.00,9220.00,191.00,60.00,0.00,-50.00,165.00,-90.00,-14.00,2088.00,0.00
1986:Q3,17949.00,17949.00,16854.00,306.00,26.00,0.00,-24.00,300.00,679.00,107.00,-299.00,0.00
1986:Q4,-3896.00,-3896.00,-6680.00,1307.00,19.00,0.00,99.00,-18.00,884.00,138.00,355.00,0.00
1987:Q1,12323.00,12323.00,10197.00,1458.00,-7.00,0.00,43.00,-1490.00,204.00,32.00,1886.00,0.00
1987:Q2,-2986.00,-2986.00,-4198.00,-1128.00,-54.00,0.00,41.00,-385.00,814.00,128.00,1796.00,0.00
1987:Q3,4693.00,4693.00,3680.00,37.00,-49.00,0.00,76.00,-176.00,329.00,52.00,744.00,0.00
1987:Q4,9914.00,9914.00,11901.00,565.00,1.00,0.00,147.00,-1052.00,495.00,78.00,-2221.00,0.00
1988:Q1,28588.00,28588.00,27288.00,-1318.00,757.00,0.00,240.00,-220.00,618.00,97.00,1126.00,0.00
