1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q3,134556.00,4744.00,-1356.00,-10636.00,111522.00,12022.00,18380.00,5208.00,2440.00,73472.00,8746.00,2348.00,6398.00,11728.00,672.00,6156.00,2980.00,93832.00,3256.00,-5604.00,380.00,41676.00,-20884.00,-3392.00,4984.00,73416.00
2005:Q4,-22352.00,-22988.00,-8112.00,-12792.00,41527.00,5191.00,9908.00,-6548.00,1280.00,31696.00,27380.00,8676.00,18704.00,-6044.00,672.00,-4416.00,-37578.00,-31512.00,832.00,-7440.00,492.00,19036.00,56276.00,-1460.00,-10104.00,-89144.00
2006:Q1,122864.00,5676.00,8256.00,-2940.00,101207.00,-2581.00,-2996.00,24828.00,4820.00,77136.00,25879.00,7624.00,18255.00,17492.00,-2576.00,-2348.00,-27782.00,121016.00,12544.00,-23120.00,2816.00,53984.00,-75888.00,5992.00,6560.00,138128.00
2006:Q2,102116.00,-416.00,5916.00,-548.00,17420.00,-920.00,-8364.00,-30512.00,5680.00,51536.00,35408.00,12684.00,22724.00,1484.00,-2576.00,-348.00,45776.00,66016.00,-2416.00,-29248.00,1320.00,-17044.00,25124.00,-6960.00,39968.00,55272.00
2006:Q3,118032.00,-552.00,14936.00,872.00,14925.00,12797.00,-5264.00,-27384.00,-2332.00,37108.00,22242.00,10332.00,11910.00,12788.00,-2576.00,3264.00,52132.00,77180.00,-12396.00,-13008.00,2468.00,37184.00,-53284.00,2476.00,12612.00,101128.00
2006:Q4,-24968.00,17808.00,13120.00,2308.00,-78093.00,-13.00,-19044.00,-37248.00,1576.00,-23364.00,25775.00,8612.00,17163.00,-9824.00,-2576.00,2644.00,3870.00,-7424.00,3536.00,-14712.00,4428.00,28524.00,-122848.00,15812.00,-1700.00,79536.00
2007:Q1,63580.00,10576.00,-5292.00,-2432.00,49650.00,-678.00,-12332.00,5124.00,4632.00,52904.00,30307.00,14084.00,16223.00,7856.00,1224.00,6268.00,-34576.00,34880.00,-13512.00,-20820.00,4964.00,9768.00,-31748.00,-2752.00,-1636.00,90616.00
2007:Q2,83676.00,-10208.00,-508.00,3440.00,36068.00,1940.00,-12844.00,3504.00,4684.00,38784.00,36957.00,17072.00,19885.00,10680.00,1224.00,4416.00,1606.00,65164.00,2156.00,-21564.00,12608.00,17996.00,-33644.00,-5760.00,9888.00,83484.00
2007:Q3,117160.00,17376.00,-7764.00,396.00,47334.00,6226.00,-10636.00,4956.00,3764.00,43024.00,27395.00,13816.00,13579.00,5104.00,1224.00,6440.00,19655.00,98268.00,3036.00,-29676.00,24116.00,3504.00,-42432.00,-1160.00,-2212.00,143092.00
2007:Q4,21480.00,-3548.00,7380.00,-540.00,-36967.00,15021.00,-17192.00,-8264.00,3712.00,-30244.00,47480.00,8072.00,39408.00,1808.00,1224.00,6060.00,-1417.00,-54252.00,4064.00,-50476.00,13208.00,19248.00,-3904.00,916.00,-10012.00,-27296.00
2008:Q1,269508.00,19444.00,25012.00,1228.00,43709.00,10037.00,26528.00,-17316.00,3004.00,21456.00,43511.00,19440.00,24071.00,3416.00,420.00,7340.00,125428.00,209464.00,4660.00,-31992.00,11620.00,19796.00,85756.00,-7556.00,15640.00,111540.00
2008:Q2,95640.00,29836.00,13404.00,504.00,57210.00,550.00,48000.00,-50112.00,7084.00,51688.00,35165.00,16392.00,18773.00,3548.00,420.00,3012.00,-47460.00,90772.00,8648.00,-10068.00,5188.00,43136.00,50124.00,-13516.00,-7892.00,15152.00
2008:Q3,115224.00,6216.00,-12528.00,1964.00,-26594.00,-17994.00,4360.00,8632.00,-492.00,-21100.00,44355.00,33012.00,11343.00,3544.00,420.00,6424.00,91423.00,33644.00,-8140.00,-8236.00,34488.00,83096.00,224916.00,-18868.00,5924.00,-279536.00
2008:Q4,379264.00,31888.00,43412.00,17648.00,8783.00,4619.00,38404.00,-11856.00,272.00,-22656.00,5845.00,12080.00,-6235.00,928.00,420.00,1704.00,268636.00,238988.00,-34260.00,7568.00,43204.00,66132.00,98824.00,-8620.00,36380.00,29760.00
2009:Q1,87220.00,-47448.00,13544.00,18784.00,124129.00,22093.00,29684.00,-6784.00,11752.00,67384.00,-28907.00,-22196.00,-6711.00,-9772.00,-1876.00,-2340.00,21107.00,-11764.00,1236.00,-6904.00,1424.00,67332.00,-29048.00,10828.00,6696.00,-63328.00
2009:Q2,-17216.00,-15904.00,-6560.00,-7128.00,109846.00,19338.00,19732.00,13240.00,26060.00,31476.00,-28247.00,-16220.00,-12027.00,14780.00,-1876.00,8312.00,-90439.00,-38908.00,-9388.00,8468.00,-8100.00,18156.00,-113160.00,2516.00,26820.00,35780.00
2009:Q3,43436.00,-3588.00,-12944.00,3216.00,132350.00,6082.00,8364.00,540.00,18584.00,98780.00,-30467.00,-17736.00,-12731.00,-11664.00,-1876.00,4956.00,-36547.00,60544.00,13556.00,-908.00,-10684.00,9440.00,-127644.00,-1380.00,17428.00,160736.00
2009:Q4,72976.00,-42828.00,-16636.00,-5488.00,177019.00,17603.00,19872.00,12692.00,29408.00,97444.00,-10763.00,5888.00,-16651.00,19736.00,-1876.00,-4336.00,-41853.00,47660.00,-7288.00,-4452.00,2080.00,52312.00,-35276.00,2236.00,-6576.00,44624.00
2010:Q1,127560.00,-14756.00,-15424.00,4988.00,112161.00,-60295.00,20432.00,-7876.00,45896.00,114004.00,-17958.00,-3640.00,-14318.00,9264.00,-1104.00,3044.00,47345.00,36828.00,-13132.00,-7572.00,-1860.00,16816.00,8100.00,5400.00,5280.00,23796.00
2010:Q2,130208.00,37272.00,-13828.00,-1356.00,96349.00,10525.00,8672.00,-3808.00,24976.00,55984.00,-15163.00,252.00,-15415.00,5404.00,-1104.00,3992.00,18642.00,142736.00,2788.00,-13348.00,-4928.00,28660.00,110356.00,1736.00,3068.00,14404.00
2010:Q3,157448.00,3776.00,-12632.00,0.00,171309.00,19941.00,18204.00,-6344.00,46792.00,92716.00,-2626.00,2816.00,-5442.00,828.00,-1104.00,1324.00,-3428.00,132112.00,4492.00,7844.00,-936.00,63868.00,36544.00,7860.00,8976.00,3464.00
2010:Q4,-56144.00,-34448.00,-9304.00,236.00,49165.00,-18375.00,6152.00,-2608.00,21684.00,42312.00,711.00,-128.00,839.00,4624.00,-1104.00,-904.00,-65120.00,18748.00,-2852.00,-6088.00,-500.00,18472.00,-12192.00,-592.00,7836.00,14664.00
2011:Q1,141344.00,-17584.00,-5140.00,-12988.00,146401.00,193.00,5716.00,2820.00,10388.00,127284.00,5054.00,-3896.00,8950.00,-5548.00,1192.00,132.00,29825.00,112744.00,10016.00,-8700.00,3284.00,48044.00,3852.00,5624.00,-17908.00,68532.00
2011:Q2,101932.00,5732.00,-7112.00,1320.00,58701.00,-8535.00,1256.00,-3316.00,7068.00,62228.00,28518.00,10484.00,18034.00,564.00,1192.00,4340.00,8677.00,113672.00,-960.00,-11520.00,176.00,54320.00,37448.00,-3476.00,9952.00,27732.00
2011:Q3,281320.00,40220.00,-4356.00,1544.00,102895.00,9791.00,13580.00,452.00,7524.00,71548.00,34462.00,16644.00,17818.00,-2528.00,1192.00,5396.00,102495.00,314000.00,-3968.00,-15964.00,1280.00,128044.00,262764.00,-5976.00,-26416.00,-25764.00
