date,FU263191103.Q,FU313091105.Q,FU713091103.Q,FU313131003.Q,FU313131003.Q,FU403197033.Q,FU403197033.Q,FU673090543.Q,FU673090543.Q,FU543077073.Q,FU543077073.Q,FU543195005.Q,FU543195105.Q,FU543195205.Q,FU543195373.Q,FU543195005.Q,FU513176003.Q,FU153076005.Q,FU103076005.Q,FU113076005.Q,FU593095005.Q,FU573095005.Q,FU223095505.Q,FU573074005.Q,FU573074005.Q,FU663097005.Q,FU663097005.Q,FU313195105.Q,FU313195105.Q,FU573073005.Q,FU343073005.Q,FU223073045.Q,FU573073005.Q,FU343073005.Q,FU223073045.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-190.00,-190.00,0.00,365.00,365.00,24.00,24.00,0.00,0.00,65.00,65.00,216.00,20.00,196.00,0.00,216.00,716.00,222.00,260.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1179.00,3522.00,613.00,1179.00,3522.00,613.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,112.00,112.00,0.00,144.00,144.00,28.00,28.00,0.00,0.00,81.00,81.00,116.00,25.00,91.00,0.00,116.00,824.00,278.00,285.00,261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1017.00,2612.00,771.00,1017.00,2612.00,771.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-88.00,-88.00,0.00,-81.00,-81.00,35.00,35.00,0.00,0.00,51.00,51.00,194.00,46.00,148.00,0.00,194.00,739.00,282.00,236.00,221.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,865.00,2810.00,913.00,865.00,2810.00,913.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
