1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,223261.00,166727.00,47180.00,119547.00,0.00,56534.00,49081.00,0.00,0.00,7453.00,0.00,223261.00,65426.00,49081.00,16345.00,18653.00,0.00,7332.00,0.00,7332.00,23604.00,13193.00,10411.00,72967.00,402.00,252.00,100.00,5417.00,0.00,5417.00,11034.00,0.00,11034.00,2445.00,1834.00,611.00,7453.00,7453.00,0.00,2918.00,0.00,0.00,0.00,129.00,0.00,129.00,110.00,0.00,428.00,0.00,313.00,0.00,4278.00,0.00,4278.00
1952:Q1,221993.00,165360.00,45942.00,119418.00,0.00,56633.00,49081.00,0.00,0.00,7552.00,0.00,221993.00,66245.00,49081.00,17164.00,17862.00,0.00,7680.00,0.00,7680.00,22228.00,11810.00,10418.00,72627.00,433.00,252.00,102.00,5445.00,0.00,5445.00,10818.00,0.00,10818.00,2487.00,1865.00,622.00,7552.00,7552.00,0.00,3070.00,0.00,0.00,0.00,137.00,0.00,137.00,113.00,0.00,565.00,0.00,191.00,0.00,4186.00,0.00,4186.00
1952:Q2,221979.00,165031.00,45642.00,119389.00,0.00,56948.00,49010.00,0.00,0.00,7938.00,0.00,221979.00,65904.00,49010.00,16894.00,16635.00,0.00,8140.00,0.00,8140.00,22506.00,12202.00,10304.00,72503.00,471.00,259.00,103.00,5348.00,0.00,5348.00,10363.00,0.00,10363.00,2483.00,1862.00,621.00,7938.00,7938.00,0.00,3148.00,0.00,0.00,0.00,141.00,0.00,141.00,117.00,0.00,496.00,0.00,1121.00,0.00,4303.00,0.00,4303.00
1952:Q3,225252.00,167863.00,44970.00,122893.00,0.00,57389.00,49026.00,0.00,0.00,8363.00,0.00,225252.00,67045.00,49026.00,18019.00,17018.00,0.00,8218.00,0.00,8218.00,23215.00,12889.00,10326.00,73072.00,425.00,267.00,104.00,5693.00,0.00,5693.00,10455.00,0.00,10455.00,2468.00,1851.00,617.00,8363.00,8363.00,0.00,3313.00,0.00,0.00,0.00,144.00,0.00,144.00,121.00,0.00,483.00,0.00,180.00,0.00,4668.00,0.00,4668.00
1952:Q4,229203.00,171619.00,38425.00,133194.00,0.00,57584.00,49173.00,0.00,0.00,8411.00,0.00,229203.00,67389.00,49173.00,18216.00,17647.00,0.00,8538.00,0.00,8538.00,24034.00,5738.00,18296.00,74556.00,445.00,271.00,106.00,5774.00,0.00,5774.00,10252.00,0.00,10252.00,2479.00,1859.00,620.00,8411.00,8411.00,0.00,3374.00,0.00,0.00,0.00,130.00,0.00,130.00,125.00,0.00,495.00,0.00,709.00,0.00,4468.00,0.00,4468.00
1953:Q1,226183.00,168191.00,35170.00,133021.00,0.00,57992.00,49521.00,0.00,0.00,8471.00,0.00,226183.00,66956.00,49521.00,17435.00,18164.00,0.00,8826.00,0.00,8826.00,23269.00,5511.00,17758.00,71948.00,415.00,271.00,107.00,5877.00,0.00,5877.00,10120.00,0.00,10120.00,2513.00,1885.00,628.00,8471.00,8471.00,0.00,3465.00,0.00,0.00,0.00,140.00,0.00,140.00,129.00,0.00,695.00,0.00,208.00,0.00,4609.00,0.00,4609.00
1953:Q2,226643.00,168581.00,35561.00,133020.00,0.00,58062.00,49258.00,0.00,0.00,8804.00,0.00,226643.00,69312.00,49258.00,20054.00,16454.00,0.00,8988.00,0.00,8988.00,24146.00,6423.00,17723.00,70135.00,423.00,269.00,108.00,5884.00,0.00,5884.00,10090.00,0.00,10090.00,2567.00,1925.00,642.00,8804.00,8804.00,0.00,3655.00,0.00,0.00,0.00,134.00,0.00,134.00,132.00,0.00,574.00,0.00,145.00,0.00,4823.00,0.00,4823.00
1953:Q3,233183.00,175018.00,45877.00,129141.00,0.00,58165.00,49263.00,0.00,0.00,8902.00,0.00,233183.00,69128.00,49263.00,19865.00,18232.00,0.00,9114.00,0.00,9114.00,24635.00,7795.00,16840.00,73636.00,416.00,266.00,109.00,5957.00,0.00,5957.00,9987.00,0.00,9987.00,2620.00,1965.00,655.00,8902.00,8902.00,0.00,3830.00,0.00,0.00,0.00,141.00,0.00,141.00,136.00,0.00,592.00,0.00,426.00,0.00,5056.00,0.00,5056.00
1953:Q4,235126.00,176814.00,45897.00,130917.00,0.00,58312.00,49371.00,0.00,0.00,8941.00,0.00,235126.00,68038.00,49371.00,18667.00,19240.00,0.00,9342.00,0.00,9342.00,25317.00,8413.00,16904.00,74555.00,435.00,263.00,112.00,6025.00,0.00,6025.00,9829.00,0.00,9829.00,2636.00,1977.00,659.00,8941.00,8941.00,0.00,3860.00,0.00,0.00,0.00,129.00,0.00,129.00,140.00,0.00,589.00,0.00,640.00,0.00,5035.00,0.00,5035.00
1954:Q1,230582.00,172200.00,40390.00,131810.00,0.00,58382.00,49421.00,0.00,0.00,8961.00,0.00,230582.00,68196.00,49421.00,18775.00,17887.00,0.00,9402.00,0.00,9402.00,24232.00,7962.00,16270.00,71759.00,423.00,265.00,114.00,5986.00,0.00,5986.00,9720.00,0.00,9720.00,2652.00,1989.00,663.00,8961.00,8961.00,0.00,4043.00,0.00,0.00,0.00,148.00,0.00,148.00,144.00,0.00,901.00,0.00,443.00,0.00,5306.00,0.00,5306.00
