1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,242044.00,182046.00,65860.00,116186.00,0.00,59998.00,47035.00,0.00,0.00,12798.00,165.00,242044.00,69458.00,47035.00,22423.00,18104.00,0.00,12165.00,0.00,12165.00,25994.00,20674.00,5320.00,71638.00,518.00,173.00,185.00,5356.00,0.00,5356.00,7228.00,0.00,7228.00,2523.00,1892.00,631.00,12798.00,12798.00,0.00,5126.00,0.00,0.00,0.00,432.00,0.00,432.00,289.00,0.00,1328.00,0.00,275.00,0.00,8454.00,0.00,8454.00
1959:Q3,246320.00,186548.00,57471.00,129077.00,0.00,59772.00,46486.00,0.00,0.00,13121.00,165.00,246320.00,70444.00,46486.00,23958.00,20311.00,0.00,12375.00,0.00,12375.00,26513.00,13069.00,13444.00,69983.00,523.00,87.00,187.00,5476.00,0.00,5476.00,7183.00,0.00,7183.00,2587.00,1940.00,647.00,13121.00,13121.00,0.00,5350.00,0.00,0.00,0.00,517.00,0.00,517.00,310.00,0.00,1317.00,0.00,401.00,0.00,9635.00,0.00,9635.00
1959:Q4,249384.00,190148.00,59312.00,130836.00,0.00,59236.00,45907.00,0.00,0.00,13164.00,165.00,249384.00,71584.00,45907.00,25677.00,21621.00,0.00,12842.00,0.00,12842.00,26606.00,13113.00,13493.00,69166.00,526.00,81.00,190.00,5626.00,0.00,5626.00,6868.00,0.00,6868.00,2619.00,1964.00,655.00,13164.00,13164.00,0.00,5462.00,0.00,0.00,0.00,556.00,0.00,556.00,333.00,0.00,1352.00,0.00,428.00,0.00,10360.00,0.00,10360.00
1960:Q1,245603.00,186451.00,52391.00,134060.00,0.00,59152.00,45736.00,0.00,0.00,13251.00,165.00,245603.00,75466.00,45736.00,29730.00,19986.00,0.00,13200.00,0.00,13200.00,25166.00,9770.00,15396.00,64111.00,523.00,83.00,192.00,5532.00,0.00,5532.00,6828.00,0.00,6828.00,2537.00,1903.00,634.00,13251.00,13251.00,0.00,5663.00,0.00,0.00,0.00,605.00,0.00,605.00,359.00,0.00,1556.00,0.00,158.00,0.00,10387.00,0.00,10387.00
1960:Q2,243931.00,184325.00,51065.00,133260.00,0.00,59606.00,45611.00,0.00,0.00,13936.00,59.00,243931.00,74183.00,45611.00,28572.00,18247.00,0.00,13511.00,0.00,13511.00,26323.00,10978.00,15345.00,63794.00,519.00,89.00,194.00,5437.00,0.00,5437.00,6574.00,0.00,6574.00,2457.00,1843.00,614.00,13936.00,13936.00,0.00,5724.00,0.00,0.00,0.00,615.00,0.00,615.00,391.00,0.00,1437.00,0.00,204.00,0.00,10296.00,0.00,10296.00
1960:Q3,245897.00,186230.00,61932.00,124298.00,0.00,59667.00,45579.00,0.00,0.00,14038.00,50.00,245897.00,73602.00,45579.00,28023.00,16446.00,0.00,13775.00,0.00,13775.00,26480.00,16814.00,9666.00,67184.00,515.00,96.00,196.00,5439.00,0.00,5439.00,6577.00,0.00,6577.00,2408.00,1806.00,602.00,14038.00,14038.00,0.00,5653.00,0.00,0.00,0.00,608.00,0.00,608.00,421.00,0.00,1450.00,0.00,580.00,0.00,10429.00,0.00,10429.00
1960:Q4,248132.00,188350.00,57888.00,130462.00,0.00,59782.00,45642.00,0.00,0.00,14090.00,50.00,248132.00,72194.00,45642.00,26552.00,15752.00,0.00,13739.00,0.00,13739.00,26984.00,11960.00,15024.00,70347.00,507.00,101.00,200.00,5446.00,0.00,5446.00,6427.00,0.00,6427.00,2404.00,1803.00,601.00,14090.00,14090.00,0.00,5711.00,0.00,0.00,0.00,619.00,0.00,619.00,445.00,0.00,1494.00,0.00,1021.00,0.00,10651.00,0.00,10651.00
1961:Q1,245901.00,185688.00,48014.00,137674.00,0.00,60213.00,45906.00,0.00,0.00,14141.00,166.00,245901.00,72095.00,45906.00,26189.00,15225.00,0.00,13581.00,0.00,13581.00,26388.00,7725.00,18663.00,69643.00,555.00,104.00,204.00,5239.00,0.00,5239.00,6543.00,0.00,6543.00,2407.00,1805.00,602.00,14141.00,14141.00,0.00,5855.00,0.00,0.00,0.00,539.00,0.00,539.00,447.00,0.00,1757.00,0.00,543.00,0.00,10635.00,0.00,10635.00
1961:Q2,247016.00,185994.00,50061.00,135933.00,0.00,61022.00,46045.00,0.00,0.00,14927.00,50.00,247016.00,70684.00,46045.00,24639.00,14636.00,0.00,13946.00,0.00,13946.00,27003.00,9351.00,17652.00,71610.00,603.00,106.00,209.00,5118.00,0.00,5118.00,6408.00,0.00,6408.00,2429.00,1822.00,607.00,14927.00,14927.00,0.00,5872.00,0.00,0.00,0.00,511.00,0.00,511.00,441.00,0.00,1708.00,0.00,517.00,0.00,10288.00,0.00,10288.00
1961:Q3,252416.00,191041.00,47448.00,143593.00,0.00,61375.00,46228.00,0.00,0.00,14996.00,151.00,252416.00,72300.00,46228.00,26072.00,13288.00,0.00,13790.00,0.00,13790.00,26881.00,4591.00,22290.00,75977.00,680.00,107.00,214.00,5206.00,0.00,5206.00,6428.00,0.00,6428.00,2431.00,1823.00,608.00,14996.00,14996.00,0.00,5865.00,0.00,0.00,0.00,549.00,0.00,549.00,432.00,0.00,1635.00,0.00,763.00,0.00,10874.00,0.00,10874.00
1961:Q4,255707.00,194206.00,48953.00,145253.00,0.00,61501.00,46445.00,0.00,0.00,15006.00,50.00,255707.00,71944.00,46445.00,25499.00,14096.00,0.00,14002.00,0.00,14002.00,28722.00,4863.00,23859.00,76484.00,536.00,107.00,220.00,5358.00,0.00,5358.00,6134.00,0.00,6134.00,2425.00,1819.00,606.00,15006.00,15006.00,0.00,5800.00,0.00,0.00,0.00,688.00,0.00,688.00,426.00,0.00,1419.00,0.00,1305.00,0.00,11035.00,0.00,11035.00
1962:Q1,256084.00,194302.00,56413.00,137889.00,0.00,61782.00,46602.00,0.00,0.00,15054.00,126.00,256084.00,73081.00,46602.00,26479.00,14217.00,0.00,13976.00,0.00,13976.00,28579.00,7957.00,20622.00,74946.00,682.00,109.00,225.00,5275.00,0.00,5275.00,6307.00,0.00,6307.00,2421.00,1816.00,605.00,15054.00,15054.00,0.00,6025.00,0.00,0.00,0.00,652.00,0.00,652.00,418.00,0.00,1952.00,0.00,1142.00,0.00,11023.00,0.00,11023.00
1962:Q2,256655.00,194009.00,55583.00,138426.00,0.00,62646.00,46664.00,0.00,0.00,15908.00,74.00,256655.00,73108.00,46664.00,26444.00,13061.00,0.00,14220.00,0.00,14220.00,29413.00,8446.00,20967.00,74650.00,827.00,111.00,229.00,5214.00,0.00,5214.00,6279.00,0.00,6279.00,2459.00,1844.00,615.00,15908.00,15908.00,0.00,6075.00,0.00,0.00,0.00,511.00,0.00,511.00,406.00,0.00,1594.00,0.00,1122.00,0.00,11468.00,0.00,11468.00
1962:Q3,257712.00,194901.00,60085.00,134816.00,0.00,62811.00,46817.00,0.00,0.00,15923.00,71.00,257712.00,74836.00,46817.00,28019.00,11645.00,0.00,14581.00,0.00,14581.00,28802.00,11911.00,16891.00,74555.00,693.00,114.00,234.00,5276.00,0.00,5276.00,6331.00,0.00,6331.00,2524.00,1893.00,631.00,15923.00,15923.00,0.00,6125.00,0.00,0.00,0.00,789.00,0.00,789.00,398.00,0.00,1622.00,0.00,1146.00,0.00,12118.00,0.00,12118.00
1962:Q4,262772.00,199754.00,70960.00,128794.00,0.00,63018.00,46968.00,0.00,0.00,15999.00,51.00,262772.00,73718.00,46968.00,26750.00,12307.00,0.00,15157.00,0.00,15157.00,30478.00,15624.00,14854.00,76653.00,506.00,119.00,240.00,5439.00,0.00,5439.00,6170.00,0.00,6170.00,2600.00,1950.00,650.00,15999.00,15999.00,0.00,6100.00,0.00,0.00,0.00,737.00,0.00,737.00,402.00,0.00,1792.00,0.00,1976.00,0.00,12379.00,0.00,12379.00
1963:Q1,263272.00,199827.00,70290.00,129537.00,0.00,63445.00,47319.00,0.00,0.00,16048.00,78.00,263272.00,70567.00,47319.00,23248.00,16367.00,0.00,16107.00,0.00,16107.00,30337.00,16046.00,14291.00,75854.00,521.00,127.00,249.00,5329.00,0.00,5329.00,6022.00,0.00,6022.00,2628.00,1971.00,657.00,16048.00,16048.00,0.00,6200.00,0.00,0.00,0.00,718.00,0.00,718.00,420.00,0.00,2232.00,0.00,1048.00,0.00,12498.00,0.00,12498.00
1963:Q2,264048.00,199094.00,69399.00,129695.00,0.00,64954.00,47582.00,0.00,0.00,17000.00,372.00,264048.00,70564.00,47582.00,22982.00,15252.00,0.00,16398.00,0.00,16398.00,31827.00,17786.00,14041.00,74477.00,538.00,139.00,260.00,5336.00,0.00,5336.00,5746.00,0.00,5746.00,2655.00,1991.00,664.00,17000.00,17000.00,0.00,6475.00,0.00,0.00,0.00,589.00,0.00,589.00,452.00,0.00,2326.00,0.00,963.00,0.00,13051.00,0.00,13051.00
1963:Q3,264385.00,199333.00,63712.00,135621.00,0.00,65052.00,47853.00,0.00,0.00,17073.00,126.00,264385.00,71976.00,47853.00,24123.00,14602.00,0.00,16966.00,0.00,16966.00,32007.00,14032.00,17975.00,72821.00,422.00,150.00,271.00,5457.00,0.00,5457.00,5841.00,0.00,5841.00,2640.00,1980.00,660.00,17073.00,17073.00,0.00,6550.00,0.00,0.00,0.00,728.00,0.00,728.00,486.00,0.00,1832.00,0.00,1394.00,0.00,13169.00,0.00,13169.00
1963:Q4,267845.00,202211.00,62478.00,139733.00,0.00,65634.00,48149.00,0.00,0.00,17160.00,325.00,267845.00,72892.00,48149.00,24743.00,15128.00,0.00,16314.00,0.00,16314.00,33582.00,11207.00,22375.00,74188.00,399.00,155.00,280.00,5597.00,0.00,5597.00,5813.00,0.00,5813.00,2679.00,2009.00,670.00,17160.00,17160.00,0.00,6510.00,0.00,0.00,0.00,728.00,0.00,728.00,510.00,0.00,2159.00,0.00,718.00,0.00,13033.00,0.00,13033.00
1964:Q1,268229.00,202520.00,56746.00,145774.00,0.00,65709.00,48383.00,0.00,0.00,17268.00,58.00,268229.00,74239.00,48383.00,25856.00,16148.00,0.00,16504.00,0.00,16504.00,33183.00,7413.00,25770.00,72926.00,398.00,155.00,286.00,5472.00,0.00,5472.00,5788.00,0.00,5788.00,2872.00,2154.00,718.00,17268.00,17268.00,0.00,6725.00,0.00,0.00,0.00,823.00,0.00,823.00,527.00,0.00,1952.00,0.00,569.00,0.00,12394.00,0.00,12394.00
1964:Q2,267656.00,200805.00,50740.00,150065.00,0.00,66851.00,48590.00,0.00,0.00,18179.00,82.00,267656.00,74497.00,48590.00,25907.00,15240.00,0.00,16446.00,0.00,16446.00,34494.00,5171.00,29323.00,70634.00,396.00,151.00,290.00,5328.00,0.00,5328.00,5715.00,0.00,5715.00,2665.00,1999.00,666.00,18179.00,18179.00,0.00,6975.00,0.00,0.00,0.00,831.00,0.00,831.00,539.00,0.00,1988.00,0.00,1021.00,0.00,12267.00,0.00,12267.00
1964:Q3,270714.00,203501.00,53345.00,150156.00,0.00,67213.00,48798.00,0.00,0.00,18348.00,67.00,270714.00,74484.00,48798.00,25686.00,14402.00,0.00,16793.00,0.00,16793.00,34950.00,4967.00,29983.00,72165.00,485.00,146.00,293.00,5498.00,0.00,5498.00,5840.00,0.00,5840.00,2661.00,1996.00,665.00,18348.00,18348.00,0.00,7066.00,0.00,0.00,0.00,911.00,0.00,911.00,548.00,0.00,1773.00,0.00,1535.00,0.00,12816.00,0.00,12816.00
1964:Q4,274261.00,206767.00,56476.00,150291.00,0.00,67494.00,49060.00,0.00,0.00,18409.00,25.00,274261.00,73571.00,49060.00,24511.00,14481.00,0.00,17333.00,0.00,17333.00,36506.00,6044.00,30462.00,74423.00,442.00,142.00,295.00,5629.00,0.00,5629.00,5594.00,0.00,5594.00,2715.00,2036.00,679.00,18409.00,18409.00,0.00,7030.00,0.00,0.00,0.00,767.00,0.00,767.00,552.00,0.00,1677.00,0.00,1374.00,0.00,13321.00,0.00,13321.00
1965:Q1,274096.00,206174.00,56525.00,149649.00,0.00,67922.00,49267.00,0.00,0.00,18480.00,175.00,274096.00,76555.00,49267.00,27288.00,14092.00,0.00,17597.00,0.00,17597.00,37091.00,6826.00,30265.00,71078.00,433.00,141.00,297.00,5572.00,0.00,5572.00,5639.00,0.00,5639.00,2909.00,2182.00,727.00,18480.00,18480.00,0.00,7417.00,0.00,0.00,0.00,824.00,0.00,824.00,553.00,0.00,1925.00,0.00,955.00,0.00,12538.00,0.00,12538.00
1965:Q2,271988.00,202972.00,53665.00,149307.00,0.00,69016.00,49365.00,0.00,0.00,19550.00,101.00,271988.00,76144.00,49365.00,26779.00,12320.00,0.00,17987.00,0.00,17987.00,38700.00,7761.00,30939.00,68573.00,425.00,141.00,298.00,5377.00,0.00,5377.00,5358.00,0.00,5358.00,2709.00,2032.00,677.00,19550.00,19550.00,0.00,7590.00,0.00,0.00,0.00,638.00,0.00,638.00,547.00,0.00,1835.00,0.00,1510.00,0.00,12286.00,0.00,12286.00
1965:Q3,270884.00,201452.00,53655.00,147797.00,0.00,69432.00,49498.00,0.00,0.00,19728.00,206.00,270884.00,75984.00,49498.00,26486.00,11829.00,0.00,18760.00,0.00,18760.00,39269.00,8396.00,30873.00,67578.00,482.00,141.00,299.00,5420.00,0.00,5420.00,5298.00,0.00,5298.00,2457.00,1843.00,614.00,19728.00,19728.00,0.00,7351.00,0.00,0.00,0.00,912.00,0.00,912.00,540.00,0.00,1734.00,0.00,595.00,0.00,12507.00,0.00,12507.00
1965:Q4,276737.00,207025.00,60177.00,146848.00,0.00,69712.00,49695.00,0.00,0.00,19724.00,293.00,276737.00,74762.00,49695.00,25067.00,12548.00,0.00,19524.00,0.00,19524.00,40478.00,9101.00,31377.00,71192.00,509.00,141.00,303.00,5464.00,0.00,5464.00,5119.00,0.00,5119.00,2539.00,1904.00,635.00,19724.00,19724.00,0.00,7153.00,0.00,0.00,0.00,811.00,0.00,811.00,534.00,0.00,1798.00,0.00,1082.00,0.00,13056.00,0.00,13056.00
1966:Q1,276864.00,206960.00,61133.00,145827.00,0.00,69904.00,49774.00,0.00,0.00,19747.00,383.00,276864.00,78944.00,49774.00,29170.00,12958.00,0.00,19835.00,0.00,19835.00,40196.00,9237.00,30959.00,67623.00,458.00,145.00,308.00,5252.00,0.00,5252.00,5171.00,0.00,5171.00,2479.00,1859.00,620.00,19747.00,19747.00,0.00,7312.00,0.00,0.00,0.00,1055.00,0.00,1055.00,528.00,0.00,1755.00,0.00,909.00,0.00,12189.00,0.00,12189.00
1966:Q2,272111.00,200411.00,56581.00,143830.00,0.00,71700.00,49940.00,0.00,0.00,20835.00,925.00,272111.00,76488.00,49940.00,26548.00,11330.00,0.00,20346.00,0.00,20346.00,41769.00,10447.00,31322.00,64852.00,408.00,151.00,315.00,5093.00,0.00,5093.00,4921.00,0.00,4921.00,2377.00,1783.00,594.00,20835.00,20835.00,0.00,7046.00,0.00,0.00,0.00,1171.00,0.00,1171.00,521.00,0.00,2036.00,0.00,818.00,0.00,11634.00,0.00,11634.00
1966:Q3,274208.00,202581.00,65346.00,137235.00,0.00,71627.00,50025.00,0.00,0.00,20935.00,667.00,274208.00,79238.00,50025.00,29213.00,10774.00,0.00,20248.00,0.00,20248.00,41537.00,15456.00,26081.00,65036.00,483.00,158.00,322.00,5080.00,0.00,5080.00,4852.00,0.00,4852.00,2351.00,1763.00,588.00,20935.00,20935.00,0.00,7166.00,0.00,0.00,0.00,1449.00,0.00,1449.00,514.00,0.00,1923.00,0.00,893.00,0.00,11249.00,0.00,11249.00
1966:Q4,280293.00,208138.00,70603.00,137535.00,0.00,72155.00,50249.00,0.00,0.00,20977.00,929.00,280293.00,79080.00,50249.00,28831.00,11054.00,0.00,20097.00,0.00,20097.00,43655.00,16155.00,27500.00,67624.00,459.00,163.00,327.00,4991.00,0.00,4991.00,4921.00,0.00,4921.00,2304.00,1728.00,576.00,20977.00,20977.00,0.00,7115.00,0.00,0.00,0.00,1437.00,0.00,1437.00,511.00,0.00,2684.00,0.00,1742.00,0.00,11152.00,0.00,11152.00
1967:Q1,281315.00,209601.00,72502.00,137099.00,0.00,71714.00,50456.00,0.00,0.00,20925.00,333.00,281315.00,77816.00,50456.00,27360.00,10445.00,0.00,20115.00,0.00,20115.00,44029.00,17160.00,26869.00,69590.00,435.00,172.00,329.00,4623.00,0.00,4623.00,4855.00,0.00,4855.00,2148.00,1611.00,537.00,20925.00,20925.00,0.00,6800.00,0.00,0.00,0.00,1217.00,0.00,1217.00,511.00,0.00,3658.00,0.00,2140.00,0.00,11507.00,0.00,11507.00
1967:Q2,272756.00,199980.00,64145.00,135835.00,0.00,72776.00,50681.00,0.00,0.00,22043.00,52.00,272756.00,74762.00,50681.00,24081.00,7908.00,0.00,20003.00,0.00,20003.00,46318.00,18359.00,27959.00,65673.00,407.00,183.00,328.00,4335.00,0.00,4335.00,4690.00,0.00,4690.00,1999.00,1499.00,500.00,22043.00,22043.00,0.00,6646.00,0.00,0.00,0.00,902.00,0.00,902.00,512.00,0.00,3800.00,0.00,710.00,0.00,11537.00,0.00,11537.00
1967:Q3,281351.00,208290.00,63746.00,144544.00,0.00,73061.00,50937.00,0.00,0.00,22074.00,50.00,281351.00,77240.00,50937.00,26303.00,7287.00,50.00,20033.00,0.00,20033.00,46402.00,14097.00,32305.00,72743.00,491.00,194.00,328.00,4325.00,0.00,4325.00,4717.00,0.00,4717.00,1967.00,1475.00,492.00,22074.00,22074.00,0.00,6308.00,0.00,0.00,0.00,694.00,0.00,694.00,517.00,0.00,2974.00,0.00,985.00,0.00,12022.00,0.00,12022.00
1967:Q4,290462.00,216899.00,69870.00,147029.00,0.00,73563.00,51219.00,0.00,0.00,22292.00,52.00,290462.00,78992.00,51219.00,27773.00,8614.00,100.00,19742.00,0.00,19742.00,48980.00,15975.00,33005.00,75149.00,576.00,204.00,331.00,4286.00,0.00,4286.00,4683.00,0.00,4683.00,1987.00,1490.00,497.00,22292.00,22292.00,0.00,6165.00,0.00,0.00,0.00,921.00,0.00,921.00,528.00,0.00,2690.00,0.00,983.00,0.00,13239.00,0.00,13239.00
1968:Q1,295845.00,222114.00,71300.00,150814.00,0.00,73731.00,51345.00,0.00,0.00,22334.00,52.00,295845.00,83471.00,51345.00,32126.00,9950.00,150.00,19320.00,0.00,19320.00,49495.00,16161.00,33334.00,74850.00,590.00,210.00,334.00,4170.00,0.00,4170.00,4678.00,0.00,4678.00,2207.00,1655.00,552.00,22334.00,22334.00,0.00,6219.00,0.00,0.00,0.00,1167.00,0.00,1167.00,548.00,0.00,2850.00,0.00,968.00,0.00,12334.00,0.00,12334.00
1968:Q2,292526.00,217294.00,64440.00,152854.00,0.00,75232.00,51477.00,0.00,0.00,23603.00,152.00,292526.00,82132.00,51477.00,30655.00,8627.00,200.00,19303.00,0.00,19303.00,52230.00,18380.00,33850.00,71972.00,608.00,213.00,334.00,4007.00,0.00,4007.00,4447.00,0.00,4447.00,2181.00,1636.00,545.00,23603.00,23603.00,0.00,6120.00,0.00,0.00,0.00,1047.00,0.00,1047.00,579.00,0.00,2998.00,0.00,905.00,0.00,11020.00,0.00,11020.00
1968:Q3,299259.00,223989.00,69779.00,154210.00,0.00,75270.00,51624.00,0.00,0.00,23594.00,52.00,299259.00,83482.00,51624.00,31858.00,7879.00,250.00,19514.00,0.00,19514.00,52405.00,18794.00,33611.00,75546.00,630.00,216.00,339.00,3995.00,0.00,3995.00,4528.00,0.00,4528.00,2120.00,1590.00,530.00,23594.00,23594.00,0.00,6023.00,0.00,0.00,0.00,1405.00,0.00,1405.00,609.00,0.00,2585.00,0.00,2543.00,0.00,11596.00,0.00,11596.00
1968:Q4,301225.00,225679.00,75012.00,150667.00,0.00,75546.00,51866.00,0.00,0.00,23628.00,52.00,301225.00,81735.00,51866.00,29869.00,8959.00,300.00,19926.00,0.00,19926.00,52937.00,18756.00,34181.00,77213.00,620.00,220.00,357.00,3933.00,0.00,3933.00,4456.00,0.00,4456.00,2359.00,1769.00,590.00,23628.00,23628.00,0.00,5921.00,0.00,0.00,0.00,1143.00,0.00,1143.00,625.00,0.00,2550.00,0.00,1766.00,0.00,12577.00,0.00,12577.00
1969:Q1,301194.00,225552.00,77547.00,148005.00,0.00,75642.00,51834.00,0.00,0.00,23755.00,53.00,301194.00,89044.00,51834.00,37210.00,9399.00,350.00,20432.00,0.00,20432.00,52010.00,17583.00,34427.00,72145.00,622.00,226.00,390.00,3781.00,0.00,3781.00,4339.00,0.00,4339.00,2460.00,1845.00,615.00,23755.00,23755.00,0.00,5850.00,0.00,0.00,0.00,1571.00,0.00,1571.00,630.00,0.00,2275.00,0.00,733.00,0.00,11182.00,0.00,11182.00
1969:Q2,290326.00,213596.00,68356.00,145240.00,0.00,76730.00,51807.00,0.00,0.00,24871.00,52.00,290326.00,82342.00,51807.00,30535.00,7949.00,400.00,20956.00,0.00,20956.00,54095.00,19466.00,34629.00,66693.00,623.00,232.00,441.00,3939.00,0.00,3939.00,4129.00,0.00,4129.00,2191.00,1643.00,548.00,24871.00,24871.00,0.00,5815.00,0.00,0.00,0.00,959.00,0.00,959.00,630.00,0.00,2334.00,0.00,1120.00,0.00,10607.00,0.00,10607.00
1969:Q3,296824.00,219837.00,73972.00,145865.00,0.00,76987.00,51689.00,0.00,0.00,25176.00,122.00,296824.00,90872.00,51689.00,39183.00,5786.00,450.00,21751.00,0.00,21751.00,53932.00,19149.00,34783.00,65293.00,631.00,239.00,492.00,3479.00,0.00,3479.00,4088.00,0.00,4088.00,2159.00,1619.00,540.00,25176.00,25176.00,0.00,5696.00,0.00,0.00,0.00,1010.00,0.00,1010.00,621.00,0.00,1725.00,0.00,866.00,0.00,12558.00,0.00,12558.00
1969:Q4,301974.00,224726.00,80571.00,144155.00,0.00,77248.00,51770.00,0.00,0.00,25147.00,331.00,301974.00,93166.00,51770.00,41396.00,5646.00,500.00,23007.00,0.00,23007.00,57154.00,22265.00,34889.00,65538.00,641.00,248.00,527.00,3448.00,0.00,3448.00,4124.00,0.00,4124.00,2183.00,1637.00,546.00,25147.00,25147.00,0.00,5437.00,0.00,0.00,0.00,675.00,0.00,675.00,601.00,0.00,1964.00,0.00,1728.00,0.00,10240.00,0.00,10240.00
1970:Q1,304398.00,227467.00,83729.00,143738.00,0.00,76931.00,51608.00,0.00,0.00,25185.00,138.00,304398.00,98271.00,51608.00,46663.00,5255.00,550.00,23963.00,0.00,23963.00,55578.00,20897.00,34681.00,61050.00,350.00,255.00,546.00,3350.00,0.00,3350.00,4080.00,0.00,4080.00,2081.00,1561.00,520.00,25185.00,25185.00,0.00,5335.00,0.00,0.00,0.00,476.00,0.00,476.00,646.00,0.00,3256.00,0.00,2155.00,0.00,12016.00,0.00,12016.00
1970:Q2,300478.00,221776.00,76154.00,145622.00,0.00,78702.00,51593.00,0.00,0.00,26910.00,199.00,300478.00,88736.00,51593.00,37143.00,6065.00,600.00,24366.00,0.00,24366.00,57714.00,22407.00,35307.00,60310.00,394.00,261.00,553.00,3242.00,0.00,3242.00,4014.00,0.00,4014.00,1984.00,1488.00,496.00,26910.00,26910.00,0.00,5179.00,0.00,0.00,0.00,2563.00,0.00,2563.00,579.00,0.00,2701.00,0.00,620.00,0.00,13687.00,0.00,13687.00
1970:Q3,308087.00,229196.00,80691.00,148505.00,0.00,78891.00,51704.00,0.00,0.00,27046.00,141.00,308087.00,85911.00,51704.00,34207.00,6966.00,650.00,23868.00,0.00,23868.00,59975.00,24110.00,35865.00,65415.00,488.00,268.00,555.00,3388.00,0.00,3388.00,4147.00,0.00,4147.00,2152.00,1614.00,538.00,27046.00,27046.00,0.00,5274.00,0.00,0.00,0.00,822.00,0.00,822.00,518.00,0.00,2212.00,0.00,2007.00,0.00,16425.00,0.00,16425.00
1970:Q4,317451.00,237659.00,87923.00,149736.00,0.00,79792.00,52089.00,0.00,0.00,27528.00,175.00,317451.00,83041.00,52089.00,30952.00,6283.00,700.00,22940.00,0.00,22940.00,62142.00,25965.00,36177.00,71287.00,497.00,277.00,558.00,3398.00,0.00,3398.00,4042.00,0.00,4042.00,2124.00,1593.00,531.00,27528.00,27528.00,0.00,5104.00,0.00,0.00,0.00,850.00,0.00,850.00,491.00,0.00,3059.00,0.00,3398.00,0.00,19732.00,0.00,19732.00
1971:Q1,320237.00,239296.00,88977.00,150319.00,0.00,80941.00,52533.00,0.00,0.00,27726.00,682.00,320237.00,79938.00,52533.00,27405.00,5735.00,750.00,22010.00,0.00,22010.00,63860.00,25638.00,38222.00,72198.00,458.00,307.00,562.00,3328.00,0.00,3328.00,4004.00,0.00,4004.00,2259.00,1694.00,565.00,27726.00,27726.00,0.00,4880.00,0.00,0.00,0.00,892.00,0.00,892.00,500.00,0.00,4197.00,0.00,1924.00,0.00,24709.00,18661.00,6048.00
1971:Q2,324021.00,241212.00,86677.00,154535.00,0.00,82809.00,53182.00,0.00,0.00,29583.00,44.00,324021.00,76155.00,53182.00,22973.00,7130.00,800.00,21890.00,0.00,21890.00,64918.00,27929.00,36989.00,71042.00,277.00,332.00,566.00,3220.00,0.00,3220.00,3722.00,0.00,3722.00,2001.00,1501.00,500.00,29583.00,29583.00,0.00,4426.00,0.00,0.00,0.00,637.00,0.00,637.00,541.00,0.00,3424.00,0.00,1477.00,0.00,31880.00,22758.00,9122.00
1971:Q3,333600.00,249957.00,88644.00,161313.00,0.00,83643.00,53772.00,0.00,0.00,29814.00,57.00,333600.00,78357.00,53772.00,24585.00,6211.00,860.00,21848.00,0.00,21848.00,66662.00,29584.00,37078.00,68370.00,277.00,401.00,567.00,3180.00,0.00,3180.00,3751.00,0.00,3751.00,2044.00,1533.00,511.00,29814.00,29814.00,0.00,4371.00,0.00,0.00,0.00,457.00,0.00,457.00,590.00,0.00,2145.00,0.00,1884.00,0.00,41811.00,29772.00,12039.00
1971:Q4,346291.00,261392.00,97505.00,163887.00,0.00,84899.00,54416.00,0.00,0.00,30371.00,112.00,346291.00,74200.00,54416.00,19784.00,9057.00,900.00,22587.00,0.00,22587.00,68996.00,30156.00,38840.00,74124.00,263.00,438.00,564.00,3183.00,0.00,3183.00,3828.00,0.00,3828.00,2125.00,1594.00,531.00,30371.00,30371.00,0.00,3896.00,0.00,0.00,0.00,559.00,0.00,559.00,622.00,0.00,2493.00,0.00,1799.00,0.00,46286.00,33025.00,13261.00
1972:Q1,350191.00,264601.00,102371.00,162230.00,0.00,85590.00,55202.00,0.00,0.00,30289.00,99.00,350191.00,76873.00,55202.00,21671.00,7207.00,950.00,23279.00,0.00,23279.00,68971.00,29676.00,39295.00,72140.00,466.00,399.00,554.00,3055.00,0.00,3055.00,3990.00,0.00,3990.00,2540.00,1905.00,635.00,30289.00,30289.00,0.00,3633.00,0.00,0.00,0.00,558.00,0.00,558.00,641.00,0.00,4160.00,0.00,1397.00,0.00,49089.00,34933.00,14156.00
