date,FU226330005.Q,FU225013005.Q,FU224090005.Q,FU223020043.Q,FU223030045.Q,FU223034005.Q,FU222051043.Q,FU224022045.Q,FU223069143.Q,FU223061143.Q,FU223061743.Q,FU223062043.Q,FU223063045.Q,FU223065043.Q,FU223064145.Q,FU223064205.Q,FU223090005.Q,FU223095505.Q,FU223073045.Q,FU223093005.Q,FU224190005.Q,FU224090045.Q,FU224090055.Q
1953:Q2,0.00,0.00,564.00,9.00,0.00,0.00,0.00,371.00,0.00,190.00,1.00,53.00,127.00,11.00,5.00,0.00,168.00,0.00,168.00,0.00,564.00,564.00,0.00
1953:Q3,0.00,0.00,583.00,9.00,0.00,0.00,0.00,359.00,0.00,175.00,1.00,56.00,127.00,12.00,5.00,0.00,198.00,0.00,198.00,0.00,583.00,583.00,0.00
1953:Q4,0.00,0.00,598.00,7.00,0.00,0.00,0.00,223.00,0.00,30.00,1.00,61.00,131.00,13.00,5.00,0.00,350.00,0.00,350.00,0.00,598.00,598.00,0.00
1954:Q1,0.00,0.00,599.00,4.00,0.00,0.00,0.00,384.00,0.00,183.00,3.00,63.00,135.00,14.00,6.00,0.00,191.00,0.00,191.00,0.00,599.00,599.00,0.00
1954:Q2,0.00,0.00,620.00,2.00,0.00,0.00,0.00,407.00,0.00,191.00,3.00,66.00,147.00,15.00,6.00,0.00,190.00,0.00,190.00,0.00,620.00,620.00,0.00
1954:Q3,0.00,0.00,640.00,0.00,0.00,0.00,0.00,301.00,0.00,76.00,3.00,70.00,152.00,16.00,6.00,0.00,317.00,0.00,317.00,0.00,640.00,640.00,0.00
1954:Q4,0.00,0.00,653.00,-1.00,0.00,0.00,0.00,306.00,0.00,73.00,4.00,74.00,155.00,16.00,6.00,0.00,326.00,0.00,326.00,0.00,653.00,653.00,0.00
1955:Q1,0.00,0.00,651.00,-3.00,0.00,0.00,0.00,276.00,0.00,55.00,5.00,80.00,136.00,17.00,7.00,0.00,354.00,0.00,354.00,0.00,651.00,651.00,0.00
1955:Q2,0.00,0.00,671.00,-6.00,0.00,0.00,0.00,271.00,0.00,40.00,5.00,86.00,140.00,17.00,7.00,0.00,382.00,0.00,382.00,0.00,671.00,671.00,0.00
1955:Q3,0.00,0.00,694.00,-6.00,0.00,0.00,0.00,329.00,0.00,88.00,5.00,90.00,146.00,18.00,7.00,0.00,346.00,0.00,346.00,0.00,694.00,694.00,0.00
1955:Q4,0.00,0.00,710.00,-5.00,0.00,0.00,0.00,351.00,0.00,100.00,5.00,91.00,155.00,17.00,7.00,0.00,340.00,0.00,340.00,0.00,710.00,710.00,0.00
1956:Q1,0.00,0.00,719.00,1.00,0.00,0.00,0.00,455.00,0.00,213.00,2.00,93.00,147.00,18.00,8.00,0.00,237.00,0.00,237.00,0.00,719.00,719.00,0.00
1956:Q2,0.00,0.00,736.00,3.00,0.00,0.00,0.00,246.00,0.00,24.00,2.00,95.00,125.00,16.00,8.00,0.00,463.00,0.00,463.00,0.00,736.00,736.00,0.00
1956:Q3,0.00,0.00,761.00,5.00,0.00,0.00,0.00,233.00,0.00,26.00,2.00,98.00,107.00,19.00,9.00,0.00,495.00,0.00,495.00,0.00,761.00,761.00,0.00
1956:Q4,0.00,0.00,778.00,7.00,0.00,0.00,0.00,213.00,0.00,15.00,3.00,101.00,94.00,24.00,9.00,0.00,525.00,0.00,525.00,0.00,778.00,778.00,0.00
1957:Q1,0.00,0.00,779.00,10.00,0.00,0.00,0.00,345.00,0.00,117.00,7.00,104.00,117.00,30.00,11.00,0.00,383.00,0.00,383.00,0.00,779.00,779.00,0.00
1957:Q2,0.00,0.00,807.00,14.00,0.00,0.00,0.00,343.00,0.00,53.00,8.00,108.00,174.00,35.00,13.00,0.00,402.00,0.00,402.00,0.00,807.00,807.00,0.00
1957:Q3,0.00,0.00,840.00,14.00,0.00,0.00,0.00,406.00,0.00,33.00,7.00,109.00,257.00,39.00,13.00,0.00,368.00,0.00,368.00,0.00,840.00,840.00,0.00
1957:Q4,0.00,0.00,867.00,9.00,0.00,0.00,0.00,338.00,0.00,-89.00,8.00,108.00,311.00,41.00,14.00,0.00,465.00,0.00,465.00,0.00,867.00,867.00,0.00
1958:Q1,0.00,0.00,874.00,5.00,0.00,0.00,0.00,479.00,0.00,46.00,5.00,109.00,319.00,44.00,14.00,0.00,332.00,0.00,332.00,0.00,874.00,874.00,0.00
1958:Q2,0.00,0.00,906.00,3.00,0.00,0.00,0.00,242.00,0.00,-154.00,5.00,112.00,279.00,47.00,14.00,0.00,600.00,0.00,600.00,0.00,906.00,906.00,0.00
1958:Q3,0.00,0.00,932.00,0.00,0.00,0.00,0.00,379.00,0.00,10.00,5.00,108.00,256.00,50.00,15.00,0.00,488.00,0.00,488.00,0.00,932.00,932.00,0.00
1958:Q4,0.00,0.00,942.00,-1.00,0.00,0.00,0.00,409.00,0.00,61.00,5.00,95.00,248.00,55.00,15.00,0.00,464.00,0.00,464.00,0.00,942.00,942.00,0.00
1959:Q1,0.00,0.00,928.00,-3.00,0.00,0.00,0.00,407.00,0.00,81.00,7.00,85.00,234.00,56.00,17.00,0.00,451.00,0.00,451.00,0.00,928.00,928.00,0.00
1959:Q2,0.00,0.00,946.00,-7.00,0.00,0.00,0.00,319.00,0.00,24.00,8.00,76.00,211.00,55.00,19.00,0.00,560.00,0.00,560.00,0.00,946.00,946.00,0.00
1959:Q3,0.00,0.00,967.00,-7.00,0.00,0.00,0.00,506.00,0.00,224.00,7.00,68.00,207.00,64.00,19.00,0.00,385.00,0.00,385.00,0.00,967.00,967.00,0.00
1959:Q4,0.00,0.00,985.00,-6.00,0.00,0.00,0.00,386.00,0.00,112.00,7.00,59.00,208.00,81.00,20.00,0.00,504.00,0.00,504.00,0.00,985.00,985.00,0.00
1960:Q1,0.00,0.00,998.00,2.00,0.00,0.00,0.00,493.00,0.00,201.00,13.00,54.00,225.00,99.00,20.00,0.00,384.00,0.00,384.00,0.00,998.00,998.00,0.00
1960:Q2,0.00,0.00,1027.00,6.00,0.00,0.00,0.00,379.00,0.00,61.00,12.00,51.00,255.00,118.00,19.00,0.00,505.00,0.00,505.00,0.00,1027.00,1027.00,0.00
1960:Q3,0.00,0.00,1075.00,7.00,0.00,0.00,0.00,281.00,0.00,-71.00,13.00,37.00,302.00,124.00,21.00,0.00,642.00,0.00,642.00,0.00,1075.00,1075.00,0.00
1960:Q4,0.00,0.00,1115.00,7.00,0.00,0.00,0.00,439.00,0.00,58.00,12.00,13.00,356.00,117.00,26.00,0.00,526.00,0.00,526.00,0.00,1115.00,1115.00,0.00
1961:Q1,0.00,0.00,1127.00,8.00,0.00,0.00,0.00,555.00,0.00,144.00,18.00,-7.00,400.00,114.00,32.00,0.00,418.00,0.00,418.00,0.00,1127.00,1127.00,0.00
1961:Q2,0.00,0.00,1170.00,9.00,0.00,0.00,0.00,443.00,0.00,17.00,19.00,-25.00,432.00,116.00,37.00,0.00,565.00,0.00,565.00,0.00,1170.00,1170.00,0.00
1961:Q3,0.00,0.00,1200.00,9.00,0.00,0.00,0.00,418.00,0.00,-7.00,19.00,-44.00,450.00,113.00,40.00,0.00,620.00,0.00,620.00,0.00,1200.00,1200.00,0.00
1961:Q4,0.00,0.00,1207.00,8.00,0.00,0.00,0.00,333.00,0.00,-65.00,19.00,-67.00,446.00,103.00,43.00,0.00,720.00,0.00,720.00,0.00,1207.00,1207.00,0.00
1962:Q1,0.00,0.00,1182.00,8.00,0.00,0.00,0.00,644.00,0.00,225.00,54.00,-88.00,453.00,94.00,46.00,0.00,390.00,0.00,390.00,0.00,1182.00,1182.00,0.00
1962:Q2,0.00,0.00,1199.00,9.00,0.00,0.00,0.00,418.00,0.00,50.00,18.00,-117.00,467.00,84.00,49.00,0.00,639.00,0.00,639.00,0.00,1199.00,1199.00,0.00
1962:Q3,0.00,0.00,1227.00,8.00,0.00,0.00,0.00,423.00,0.00,50.00,37.00,-128.00,464.00,81.00,51.00,0.00,664.00,0.00,664.00,0.00,1227.00,1227.00,0.00
1962:Q4,0.00,0.00,1252.00,5.00,0.00,0.00,0.00,298.00,0.00,-25.00,15.00,-126.00,434.00,87.00,51.00,0.00,811.00,0.00,811.00,0.00,1252.00,1252.00,0.00
1963:Q1,0.00,0.00,1256.00,4.00,0.00,0.00,0.00,417.00,0.00,100.00,-8.00,-122.00,447.00,89.00,50.00,0.00,696.00,0.00,696.00,0.00,1256.00,1256.00,0.00
1963:Q2,0.00,0.00,1301.00,2.00,0.00,0.00,0.00,631.00,0.00,275.00,-6.00,-129.00,491.00,89.00,49.00,0.00,530.00,0.00,530.00,0.00,1301.00,1301.00,0.00
1963:Q3,0.00,0.00,1344.00,1.00,0.00,0.00,0.00,475.00,0.00,75.00,-30.00,-127.00,557.00,92.00,52.00,0.00,724.00,0.00,724.00,0.00,1344.00,1344.00,0.00
1963:Q4,0.00,0.00,1369.00,-1.00,0.00,0.00,0.00,452.00,0.00,-40.00,-4.00,-122.00,618.00,100.00,58.00,0.00,760.00,0.00,760.00,0.00,1369.00,1369.00,0.00
1964:Q1,0.00,0.00,1377.00,0.00,0.00,0.00,0.00,716.00,0.00,215.00,-6.00,-110.00,617.00,104.00,62.00,0.00,495.00,0.00,495.00,0.00,1377.00,1377.00,0.00
1964:Q2,0.00,0.00,1403.00,0.00,0.00,0.00,0.00,727.00,0.00,250.00,34.00,-105.00,548.00,106.00,66.00,0.00,504.00,0.00,504.00,0.00,1403.00,1403.00,0.00
1964:Q3,0.00,0.00,1451.00,0.00,0.00,0.00,0.00,494.00,0.00,91.00,-6.00,-98.00,507.00,115.00,70.00,0.00,772.00,0.00,772.00,0.00,1451.00,1451.00,0.00
1964:Q4,0.00,0.00,1492.00,-2.00,0.00,0.00,0.00,374.00,0.00,-36.00,12.00,-91.00,489.00,133.00,75.00,0.00,912.00,0.00,912.00,0.00,1492.00,1492.00,0.00
1965:Q1,0.00,0.00,1503.00,0.00,0.00,0.00,0.00,799.00,0.00,387.00,-5.00,-80.00,497.00,151.00,80.00,0.00,473.00,0.00,473.00,0.00,1503.00,1503.00,0.00
1965:Q2,0.00,0.00,1566.00,0.00,0.00,0.00,0.00,635.00,0.00,173.00,5.00,-72.00,529.00,168.00,83.00,0.00,680.00,0.00,680.00,0.00,1566.00,1566.00,0.00
1965:Q3,0.00,0.00,1629.00,1.00,0.00,0.00,0.00,407.00,0.00,-239.00,104.00,-64.00,606.00,178.00,90.00,0.00,953.00,0.00,953.00,0.00,1629.00,1629.00,0.00
1965:Q4,0.00,0.00,1673.00,5.00,0.00,0.00,0.00,419.00,0.00,-198.00,7.00,-59.00,669.00,179.00,99.00,0.00,971.00,0.00,971.00,0.00,1673.00,1673.00,0.00
1966:Q1,0.00,1.00,1674.00,8.00,0.00,0.00,0.00,842.00,0.00,159.00,10.00,-46.00,719.00,190.00,110.00,0.00,524.00,0.00,524.00,0.00,1674.00,1674.00,0.00
1966:Q2,0.00,1.00,1724.00,10.00,0.00,0.00,0.00,584.00,0.00,-266.00,120.00,-36.00,766.00,207.00,119.00,0.00,804.00,0.00,804.00,0.00,1724.00,1724.00,0.00
1966:Q3,0.00,1.00,1768.00,14.00,0.00,0.00,0.00,896.00,0.00,120.00,49.00,-30.00,757.00,201.00,127.00,0.00,530.00,0.00,530.00,0.00,1768.00,1768.00,0.00
1966:Q4,0.00,1.00,1789.00,19.00,0.00,0.00,0.00,595.00,0.00,-51.00,-19.00,-32.00,697.00,172.00,132.00,0.00,871.00,0.00,871.00,0.00,1789.00,1789.00,0.00
1967:Q1,0.00,1.00,1777.00,39.00,0.00,0.00,0.00,488.00,0.00,-315.00,17.00,-20.00,806.00,165.00,145.00,0.00,940.00,0.00,940.00,0.00,1777.00,1777.00,0.00
1967:Q2,0.00,1.00,1840.00,8.00,17.00,0.00,0.00,675.00,0.00,-154.00,75.00,-19.00,773.00,166.00,144.00,0.00,830.00,0.00,830.00,0.00,1840.00,1840.00,0.00
1967:Q3,0.00,1.00,1931.00,-34.00,52.00,0.00,0.00,733.00,0.00,-338.00,15.00,-18.00,1074.00,78.00,190.00,0.00,912.00,0.00,912.00,0.00,1931.00,1931.00,0.00
1967:Q4,0.00,1.00,2028.00,-78.00,92.00,0.00,0.00,949.00,0.00,-143.00,26.00,-18.00,1084.00,78.00,191.00,0.00,796.00,0.00,796.00,0.00,2028.00,2028.00,0.00
1968:Q1,0.00,1.00,2117.00,62.00,-53.00,0.00,0.00,541.00,0.00,54.00,-27.00,31.00,483.00,145.00,270.00,0.00,1152.00,0.00,1152.00,0.00,2117.00,2117.00,0.00
1968:Q2,0.00,1.00,2232.00,38.00,-33.00,0.00,0.00,781.00,0.00,-99.00,270.00,-65.00,675.00,121.00,293.00,0.00,1032.00,0.00,1032.00,0.00,2232.00,2232.00,0.00
1968:Q3,0.00,1.00,2366.00,26.00,71.00,0.00,0.00,759.00,0.00,-97.00,110.00,12.00,734.00,6.00,321.00,0.00,1183.00,0.00,1183.00,0.00,2366.00,2366.00,0.00
1968:Q4,0.00,1.00,2463.00,-52.00,84.00,0.00,0.00,920.00,0.00,-102.00,272.00,-2.00,752.00,87.00,433.00,0.00,991.00,0.00,991.00,0.00,2463.00,2463.00,0.00
1969:Q1,0.00,1.00,2494.00,120.00,-178.00,0.00,0.00,796.00,0.00,-71.00,27.00,4.00,836.00,64.00,302.00,0.00,1390.00,0.00,1390.00,0.00,2494.00,2494.00,0.00
1969:Q2,0.00,1.00,2597.00,-182.00,91.00,0.00,0.00,948.00,0.00,-35.00,28.00,-18.00,973.00,49.00,530.00,0.00,1161.00,0.00,1161.00,0.00,2597.00,2597.00,0.00
1969:Q3,0.00,1.00,2694.00,14.00,68.00,0.00,0.00,1100.00,0.00,-119.00,87.00,-20.00,1152.00,75.00,430.00,0.00,1007.00,0.00,1007.00,0.00,2694.00,2694.00,0.00
1969:Q4,0.00,1.00,2759.00,-20.00,-41.00,0.00,0.00,771.00,0.00,-259.00,14.00,-17.00,1033.00,25.00,526.00,0.00,1498.00,0.00,1498.00,0.00,2759.00,2759.00,0.00
1970:Q1,0.00,1.00,2767.00,-73.00,-32.00,0.00,0.00,960.00,0.00,-102.00,26.00,-23.00,1059.00,75.00,474.00,0.00,1363.00,0.00,1363.00,0.00,2767.00,2767.00,0.00
1970:Q2,0.00,1.00,2877.00,70.00,71.00,0.00,0.00,830.00,0.00,-156.00,17.00,-149.00,1118.00,158.00,561.00,0.00,1187.00,0.00,1187.00,0.00,2877.00,2877.00,0.00
1970:Q3,0.00,1.00,3008.00,-32.00,-42.00,0.00,0.00,1333.00,0.00,95.00,-33.00,-26.00,1297.00,-19.00,380.00,0.00,1388.00,0.00,1388.00,0.00,3008.00,3008.00,0.00
1970:Q4,0.00,1.00,3131.00,114.00,46.00,0.00,0.00,666.00,0.00,-170.00,-85.00,-101.00,1022.00,131.00,722.00,0.00,1452.00,0.00,1452.00,0.00,3131.00,3131.00,0.00
1971:Q1,1.00,1.00,3202.00,-36.00,20.00,0.00,0.00,926.00,0.00,-224.00,-77.00,8.00,1219.00,99.00,692.00,0.00,1501.00,0.00,1501.00,0.00,3202.00,3202.00,0.00
1971:Q2,1.00,1.00,3397.00,68.00,-53.00,0.00,0.00,758.00,0.00,-454.00,-14.00,2.00,1224.00,151.00,763.00,0.00,1710.00,0.00,1710.00,0.00,3397.00,3397.00,0.00
1971:Q3,1.00,1.00,3613.00,30.00,-6.00,0.00,0.00,639.00,0.00,-55.00,48.00,8.00,638.00,8.00,961.00,0.00,1981.00,0.00,1981.00,0.00,3613.00,3613.00,0.00
1971:Q4,1.00,1.00,3800.00,98.00,-26.00,0.00,0.00,583.00,0.00,-475.00,96.00,102.00,860.00,110.00,769.00,0.00,2266.00,0.00,2266.00,0.00,3800.00,3800.00,0.00
1972:Q1,1.00,1.00,3931.00,155.00,-109.00,0.00,0.00,1060.00,0.00,-263.00,124.00,77.00,1122.00,21.00,513.00,0.00,2291.00,0.00,2291.00,0.00,3931.00,3931.00,0.00
1972:Q2,1.00,1.00,4071.00,44.00,-6.00,0.00,0.00,1060.00,0.00,90.00,132.00,237.00,601.00,-52.00,904.00,0.00,2121.00,0.00,2121.00,0.00,4071.00,4071.00,0.00
1972:Q3,1.00,1.00,4208.00,-24.00,32.00,0.00,0.00,1077.00,0.00,-80.00,144.00,-343.00,1356.00,83.00,1110.00,0.00,1930.00,0.00,1930.00,0.00,4208.00,4208.00,0.00
1972:Q4,1.00,1.00,4254.00,44.00,126.00,0.00,0.00,1173.00,0.00,-46.00,161.00,-94.00,1152.00,130.00,1150.00,0.00,1631.00,0.00,1631.00,0.00,4254.00,4254.00,0.00
1973:Q1,1.00,1.00,4182.00,-155.00,113.00,0.00,0.00,1227.00,0.00,90.00,179.00,-407.00,1365.00,162.00,1347.00,0.00,1488.00,0.00,1488.00,0.00,4182.00,4182.00,0.00
1973:Q2,1.00,1.00,4250.00,52.00,125.00,0.00,0.00,1286.00,0.00,-227.00,196.00,-86.00,1403.00,189.00,840.00,0.00,1758.00,0.00,1758.00,0.00,4250.00,4250.00,0.00
1973:Q3,1.00,1.00,4341.00,-64.00,231.00,0.00,0.00,1474.00,0.00,-432.00,360.00,114.00,1432.00,67.00,561.00,0.00,2072.00,0.00,2072.00,0.00,4341.00,4341.00,0.00
1973:Q4,1.00,1.00,4423.00,-56.00,140.00,0.00,0.00,1025.00,0.00,-520.00,494.00,41.00,1010.00,253.00,663.00,0.00,2398.00,0.00,2398.00,0.00,4423.00,4423.00,0.00
1974:Q1,1.00,1.00,4443.00,-185.00,87.00,0.00,0.00,1265.00,0.00,-668.00,483.00,154.00,1296.00,136.00,735.00,0.00,2405.00,0.00,2405.00,0.00,4443.00,4443.00,0.00
1974:Q2,1.00,1.00,4648.00,-54.00,296.00,0.00,0.00,1673.00,0.00,46.00,328.00,-401.00,1700.00,53.00,538.00,0.00,2142.00,0.00,2142.00,0.00,4648.00,4648.00,0.00
1974:Q3,1.00,1.00,4896.00,-35.00,190.00,0.00,0.00,1850.00,0.00,-371.00,256.00,-196.00,2161.00,93.00,264.00,0.00,2534.00,0.00,2534.00,0.00,4896.00,4896.00,0.00
1974:Q4,1.00,1.00,5112.00,-16.00,170.00,0.00,0.00,926.00,0.00,70.00,182.00,-265.00,939.00,279.00,1032.00,0.00,2721.00,0.00,2721.00,0.00,5112.00,5112.00,0.00
1975:Q1,1.00,1.00,5186.00,63.00,268.00,0.00,0.00,1808.00,0.00,-26.00,136.00,-194.00,1892.00,3.00,407.00,0.00,2637.00,0.00,2637.00,0.00,5186.00,5186.00,0.00
1975:Q2,1.00,1.00,5366.00,15.00,-123.00,0.00,0.00,2380.00,0.00,656.00,117.00,-61.00,1668.00,105.00,499.00,0.00,2490.00,0.00,2490.00,0.00,5366.00,5366.00,0.00
1975:Q3,1.00,1.00,5446.00,-36.00,-346.00,0.00,0.00,1876.00,0.00,333.00,209.00,178.00,1156.00,65.00,727.00,0.00,3160.00,0.00,3160.00,0.00,5446.00,5446.00,0.00
1975:Q4,1.00,1.00,5373.00,-21.00,-171.00,0.00,0.00,2966.00,0.00,-8.00,209.00,1034.00,1731.00,-333.00,755.00,0.00,2177.00,0.00,2177.00,0.00,5373.00,5373.00,0.00
1976:Q1,1.00,1.00,5214.00,-10.00,-106.00,0.00,0.00,2342.00,0.00,518.00,282.00,253.00,1289.00,1.00,532.00,0.00,2455.00,0.00,2455.00,0.00,5214.00,5214.00,0.00
1976:Q2,1.00,1.00,5154.00,20.00,68.00,0.00,0.00,3631.00,0.00,574.00,319.00,957.00,1781.00,80.00,829.00,0.00,526.00,0.00,526.00,0.00,5154.00,5154.00,0.00
1976:Q3,1.00,1.00,5252.00,-31.00,-78.00,0.00,0.00,2281.00,0.00,268.00,420.00,233.00,1360.00,2.00,824.00,0.00,2254.00,0.00,2254.00,0.00,5252.00,5252.00,0.00
1976:Q4,1.00,1.00,5405.00,12.00,93.00,0.00,0.00,991.00,0.00,157.00,561.00,-23.00,296.00,107.00,931.00,0.00,3271.00,0.00,3271.00,0.00,5405.00,5405.00,0.00
1977:Q1,1.00,1.00,5494.00,-30.00,-50.00,0.00,0.00,1500.00,0.00,655.00,1576.00,-488.00,-243.00,-48.00,808.00,0.00,3314.00,0.00,3314.00,0.00,5494.00,5494.00,0.00
1977:Q2,1.00,1.00,5769.00,64.00,303.00,0.00,0.00,3081.00,0.00,1856.00,207.00,756.00,262.00,180.00,808.00,0.00,1333.00,0.00,1333.00,0.00,5769.00,5769.00,0.00
1977:Q3,1.00,1.00,6004.00,20.00,82.00,0.00,0.00,3255.00,0.00,189.00,220.00,-72.00,2918.00,-242.00,1022.00,0.00,1867.00,0.00,1867.00,0.00,6004.00,6004.00,0.00
1977:Q4,1.00,1.00,6121.00,-40.00,-67.00,0.00,0.00,3380.00,0.00,3.00,746.00,-12.00,2643.00,419.00,1040.00,0.00,1389.00,0.00,1389.00,0.00,6121.00,6121.00,0.00
1978:Q1,1.00,1.00,6076.00,52.00,342.00,0.00,0.00,3289.00,0.00,864.00,1383.00,-158.00,1200.00,41.00,641.00,0.00,1711.00,0.00,1711.00,0.00,6076.00,6076.00,0.00
1978:Q2,1.00,1.00,6240.00,55.00,285.00,0.00,0.00,4486.00,0.00,1471.00,383.00,346.00,2286.00,164.00,632.00,0.00,618.00,0.00,618.00,0.00,6240.00,6240.00,0.00
1978:Q3,1.00,1.00,6449.00,32.00,393.00,0.00,0.00,3455.00,0.00,448.00,570.00,-64.00,2501.00,161.00,716.00,0.00,1692.00,0.00,1692.00,0.00,6449.00,6449.00,0.00
1978:Q4,1.00,1.00,6633.00,-34.00,-82.00,0.00,0.00,5004.00,0.00,-89.00,2044.00,283.00,2766.00,179.00,640.00,0.00,926.00,0.00,926.00,0.00,6633.00,6633.00,0.00
1979:Q1,1.00,2.00,6679.00,74.00,393.00,0.00,0.00,1962.00,0.00,1223.00,467.00,122.00,150.00,211.00,268.00,0.00,3771.00,0.00,3771.00,0.00,6679.00,6679.00,0.00
1979:Q2,1.00,2.00,6925.00,20.00,97.00,0.00,0.00,4382.00,0.00,2650.00,64.00,-206.00,1874.00,220.00,747.00,0.00,1459.00,0.00,1459.00,0.00,6925.00,6925.00,0.00
