date,FU263192005.Q,FU263192101.Q,FU263192113.Q,FU263192125.Q,FU263192193.Q,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092005.Q,FU263192193.Q,FU763092000.Q,FU513092003.Q,FU543092073.Q,FU613092003.Q,FU663092003.Q,FU103192005.Q,FU263092193.Q,FU115114005.Q,FU753192003.Q,FU513192003.Q,FU543192073.Q,FU613192003.Q,FU663192005.Q,FU733192003.Q,FU503192003.Q,FU263092001.Q,FU263092101.Q,FU263092113.Q,FU263092125.Q,FU263092193.Q,FU263092303.Q,FU263092323.Q,FU263192323.Q,FU263192035.Q,FU263192101.Q,FU263192345.Q,FU263192313.Q,FU263192323.Q,FU263092035.Q,FU263092101.Q,FU263092345.Q,FU263092313.Q,FU263092323.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,899.00,ND,ND,ND,ND,ND,ND,ND,866.00,ND,4.00,4.00,4.00,10.00,11.00,0.00,ND,2.00,5.00,2.00,2.00,2.00,7.00,0.00,0.00,20.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,783.00,ND,ND,ND,ND,ND,ND,ND,751.00,ND,4.00,3.00,4.00,10.00,11.00,52.00,ND,2.00,5.00,2.00,2.00,2.00,3.00,0.00,0.00,68.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,630.00,ND,ND,ND,ND,ND,ND,ND,596.00,ND,5.00,3.00,4.00,10.00,12.00,77.00,ND,3.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,88.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,692.00,ND,ND,ND,ND,ND,ND,ND,658.00,ND,4.00,3.00,4.00,11.00,12.00,56.00,ND,3.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,67.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,549.00,ND,ND,ND,ND,ND,ND,ND,514.00,ND,4.00,3.00,5.00,11.00,12.00,77.00,ND,3.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,88.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,542.00,ND,ND,ND,ND,ND,ND,ND,505.00,ND,5.00,4.00,4.00,11.00,13.00,78.00,ND,1.00,3.00,1.00,1.00,1.00,5.00,0.00,0.00,90.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,800.00,ND,ND,ND,ND,ND,ND,ND,763.00,ND,4.00,3.00,5.00,12.00,13.00,122.00,ND,1.00,3.00,1.00,1.00,1.00,4.00,0.00,0.00,133.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,747.00,ND,ND,ND,ND,ND,ND,ND,707.00,ND,5.00,4.00,5.00,12.00,14.00,58.00,ND,1.00,3.00,1.00,1.00,1.00,3.00,0.00,0.00,68.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,762.00,ND,ND,ND,ND,ND,ND,ND,723.00,ND,5.00,3.00,4.00,13.00,14.00,45.00,ND,1.00,3.00,1.00,1.00,1.00,3.00,0.00,0.00,55.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,960.00,ND,ND,ND,ND,ND,ND,ND,918.00,ND,5.00,4.00,5.00,13.00,15.00,39.00,ND,1.00,0.00,1.00,1.00,1.00,-1.00,0.00,0.00,42.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,933.00,ND,ND,ND,ND,ND,ND,ND,892.00,ND,5.00,3.00,5.00,13.00,15.00,114.00,ND,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,114.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,643.00,ND,ND,ND,ND,ND,ND,ND,599.00,ND,5.00,4.00,5.00,14.00,16.00,115.00,ND,2.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,115.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,947.00,ND,ND,ND,ND,ND,ND,ND,902.00,ND,5.00,4.00,5.00,15.00,16.00,-41.00,ND,2.00,0.00,0.00,0.00,1.00,-2.00,0.00,0.00,-40.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,790.00,ND,ND,ND,ND,ND,ND,ND,743.00,ND,6.00,4.00,5.00,15.00,17.00,84.00,ND,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,88.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,1003.00,ND,ND,ND,ND,ND,ND,ND,957.00,ND,5.00,4.00,5.00,15.00,17.00,105.00,ND,2.00,2.00,1.00,1.00,1.00,2.00,0.00,0.00,114.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,960.00,ND,ND,ND,ND,ND,ND,ND,910.00,ND,6.00,4.00,6.00,16.00,18.00,56.00,ND,2.00,2.00,1.00,1.00,1.00,2.00,0.00,0.00,65.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,1005.00,ND,ND,ND,ND,ND,ND,ND,955.00,ND,5.00,4.00,5.00,17.00,19.00,46.00,ND,2.00,2.00,1.00,1.00,1.00,2.00,0.00,0.00,55.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,1540.00,ND,ND,ND,ND,ND,ND,ND,1488.00,ND,6.00,4.00,6.00,17.00,19.00,193.00,ND,2.00,-3.00,1.00,1.00,1.00,-9.00,0.00,0.00,186.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,1327.00,ND,ND,ND,ND,ND,ND,ND,1274.00,ND,6.00,4.00,5.00,18.00,20.00,4.00,ND,2.00,-3.00,-1.00,-1.00,-1.00,-9.00,0.00,0.00,-9.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q3,961.00,ND,ND,ND,ND,ND,ND,ND,905.00,ND,7.00,4.00,6.00,18.00,21.00,171.00,ND,3.00,-3.00,-1.00,-1.00,-1.00,-10.00,0.00,0.00,158.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,1183.00,ND,ND,ND,ND,ND,ND,ND,1126.00,ND,6.00,5.00,6.00,19.00,21.00,93.00,ND,3.00,-3.00,-2.00,-2.00,0.00,-10.00,0.00,0.00,79.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q1,1024.00,ND,ND,ND,ND,ND,ND,ND,965.00,ND,7.00,4.00,6.00,20.00,22.00,136.00,ND,1.00,4.00,-1.00,-1.00,-1.00,8.00,0.00,0.00,146.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q2,1545.00,ND,ND,ND,ND,ND,ND,ND,1485.00,ND,6.00,5.00,6.00,20.00,23.00,127.00,ND,1.00,4.00,2.00,2.00,1.00,7.00,0.00,0.00,144.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,1197.00,ND,ND,ND,ND,ND,ND,ND,1135.00,ND,7.00,4.00,6.00,21.00,24.00,-41.00,ND,1.00,4.00,2.00,2.00,1.00,7.00,0.00,0.00,-24.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,1652.00,ND,ND,ND,ND,ND,ND,ND,1588.00,ND,7.00,5.00,6.00,22.00,24.00,143.00,ND,1.00,4.00,2.00,2.00,1.00,7.00,0.00,0.00,160.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,1383.00,ND,ND,ND,ND,ND,ND,ND,1322.00,ND,19.00,19.00,8.00,7.00,8.00,160.00,ND,4.00,4.00,2.00,2.00,1.00,-3.00,0.00,0.00,170.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,892.00,ND,ND,ND,ND,ND,ND,ND,828.00,ND,19.00,20.00,9.00,7.00,9.00,180.00,ND,5.00,2.00,1.00,1.00,1.00,-4.00,0.00,0.00,186.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,1239.00,ND,ND,ND,ND,ND,ND,ND,1172.00,ND,21.00,21.00,9.00,8.00,8.00,129.00,ND,5.00,2.00,1.00,1.00,1.00,-4.00,0.00,0.00,135.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,1292.00,ND,ND,ND,ND,ND,ND,ND,1222.00,ND,23.00,23.00,8.00,7.00,9.00,202.00,ND,5.00,2.00,1.00,1.00,0.00,-4.00,0.00,0.00,207.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,1185.00,ND,ND,ND,ND,ND,ND,ND,1110.00,ND,23.00,25.00,10.00,8.00,9.00,354.00,ND,4.00,2.00,1.00,1.00,1.00,2.00,0.00,0.00,365.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,1361.00,ND,ND,ND,ND,ND,ND,ND,1286.00,ND,25.00,26.00,9.00,7.00,8.00,130.00,ND,4.00,4.00,1.00,2.00,1.00,2.00,0.00,0.00,144.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q3,1681.00,ND,ND,ND,ND,ND,ND,ND,1599.00,ND,27.00,28.00,10.00,8.00,9.00,140.00,ND,5.00,4.00,1.00,2.00,1.00,1.00,0.00,0.00,154.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q4,1067.00,ND,ND,ND,ND,ND,ND,ND,983.00,ND,28.00,30.00,9.00,8.00,9.00,133.00,ND,5.00,4.00,1.00,2.00,-1.00,1.00,0.00,0.00,145.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q1,1627.00,ND,ND,ND,ND,ND,ND,ND,1537.00,ND,30.00,32.00,10.00,8.00,10.00,339.00,ND,5.00,4.00,1.00,2.00,1.00,4.00,0.00,0.00,356.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q2,1928.00,ND,ND,ND,ND,ND,ND,ND,1834.00,ND,32.00,34.00,11.00,8.00,9.00,257.00,ND,5.00,6.00,2.00,3.00,2.00,4.00,0.00,0.00,279.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,1728.00,ND,ND,ND,ND,ND,ND,ND,1630.00,ND,34.00,37.00,10.00,8.00,9.00,245.00,ND,6.00,6.00,2.00,3.00,2.00,3.00,0.00,0.00,267.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,676.00,ND,ND,ND,ND,ND,ND,ND,573.00,ND,35.00,39.00,11.00,8.00,10.00,339.00,ND,6.00,6.00,2.00,3.00,2.00,3.00,0.00,0.00,361.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,2230.00,ND,ND,ND,ND,ND,ND,ND,2121.00,ND,39.00,42.00,11.00,8.00,9.00,561.00,ND,8.00,6.00,2.00,3.00,2.00,0.00,0.00,0.00,582.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,2617.00,ND,ND,ND,ND,ND,ND,ND,2503.00,ND,40.00,45.00,11.00,8.00,10.00,207.00,ND,8.00,5.00,2.00,2.00,2.00,-2.00,0.00,0.00,224.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,1755.00,ND,ND,ND,ND,ND,ND,ND,1634.00,ND,43.00,48.00,11.00,9.00,10.00,347.00,ND,8.00,5.00,2.00,2.00,2.00,-2.00,0.00,0.00,364.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,988.00,ND,ND,ND,ND,ND,ND,ND,863.00,ND,45.00,51.00,12.00,8.00,9.00,277.00,ND,8.00,5.00,2.00,2.00,2.00,-2.00,0.00,0.00,294.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q1,2365.00,ND,ND,ND,ND,ND,ND,ND,2230.00,ND,49.00,55.00,12.00,9.00,10.00,174.00,ND,3.00,5.00,2.00,2.00,2.00,8.00,0.00,0.00,196.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q2,2411.00,ND,ND,ND,ND,ND,ND,ND,2269.00,ND,51.00,59.00,12.00,9.00,11.00,116.00,ND,4.00,6.00,2.00,3.00,2.00,7.00,0.00,0.00,140.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,2386.00,ND,ND,ND,ND,ND,ND,ND,2239.00,ND,54.00,62.00,13.00,8.00,10.00,-317.00,ND,4.00,6.00,2.00,3.00,2.00,7.00,0.00,0.00,-293.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q4,456.00,ND,ND,ND,ND,ND,ND,ND,299.00,ND,58.00,67.00,13.00,9.00,10.00,303.00,ND,4.00,6.00,2.00,3.00,0.00,7.00,0.00,0.00,325.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q1,2766.00,ND,ND,ND,ND,ND,ND,ND,2600.00,ND,61.00,72.00,13.00,9.00,11.00,-159.00,ND,5.00,6.00,2.00,3.00,2.00,5.00,0.00,0.00,-136.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,1743.00,ND,ND,ND,ND,ND,ND,ND,1569.00,ND,65.00,77.00,13.00,9.00,10.00,354.00,ND,5.00,5.00,2.00,2.00,2.00,3.00,0.00,0.00,373.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q3,2192.00,ND,ND,ND,ND,ND,ND,ND,2006.00,ND,69.00,82.00,14.00,10.00,11.00,290.00,ND,5.00,5.00,2.00,2.00,2.00,3.00,0.00,0.00,309.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,1046.00,ND,ND,ND,ND,ND,ND,ND,851.00,ND,73.00,88.00,14.00,9.00,11.00,384.00,ND,6.00,5.00,2.00,2.00,1.00,2.00,0.00,0.00,402.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,3800.00,ND,ND,ND,ND,ND,ND,ND,3593.00,ND,78.00,94.00,15.00,9.00,11.00,576.00,ND,26.00,18.00,2.00,2.00,6.00,1.00,0.00,0.00,631.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q2,2918.00,ND,ND,ND,ND,ND,ND,ND,2699.00,ND,83.00,100.00,15.00,10.00,11.00,774.00,ND,39.00,18.00,7.00,8.00,6.00,-17.00,0.00,0.00,835.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,2075.00,ND,ND,ND,ND,ND,ND,ND,1846.00,ND,87.00,107.00,15.00,9.00,11.00,476.00,ND,31.00,18.00,7.00,8.00,6.00,-7.00,0.00,0.00,539.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q4,2560.00,ND,ND,ND,ND,ND,ND,ND,2316.00,ND,93.00,115.00,15.00,10.00,11.00,734.00,ND,36.00,18.00,7.00,8.00,6.00,-14.00,0.00,0.00,795.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,-850.00,ND,ND,ND,ND,ND,ND,ND,-1110.00,ND,99.00,123.00,16.00,10.00,12.00,1681.00,ND,38.00,71.00,-77.00,8.00,-1.00,64.00,0.00,0.00,1784.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,2128.00,ND,ND,ND,ND,ND,ND,ND,1855.00,ND,105.00,131.00,16.00,10.00,11.00,510.00,ND,38.00,71.00,-77.00,-66.00,-1.00,64.00,0.00,0.00,539.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,4460.00,ND,ND,ND,ND,ND,ND,ND,4170.00,ND,111.00,140.00,17.00,10.00,12.00,1581.00,ND,39.00,71.00,-77.00,-66.00,-1.00,63.00,0.00,0.00,1610.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,3314.00,ND,ND,ND,ND,ND,ND,ND,3007.00,ND,118.00,150.00,17.00,10.00,12.00,799.00,ND,39.00,71.00,-77.00,-66.00,-1.00,63.00,0.00,0.00,828.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q1,4109.00,ND,ND,ND,ND,ND,ND,ND,3784.00,ND,125.00,161.00,17.00,10.00,12.00,179.00,ND,-5.00,6.00,45.00,39.00,-1.00,15.00,0.00,0.00,278.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q2,4274.00,ND,ND,ND,ND,ND,ND,ND,3928.00,ND,133.00,172.00,18.00,11.00,12.00,769.00,ND,-5.00,6.00,45.00,39.00,1.00,15.00,0.00,0.00,870.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q3,1495.00,ND,ND,ND,ND,ND,ND,ND,1130.00,ND,142.00,183.00,18.00,10.00,12.00,-15.00,ND,-5.00,6.00,45.00,39.00,1.00,15.00,0.00,0.00,86.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,4366.00,ND,ND,ND,ND,ND,ND,ND,3979.00,ND,149.00,196.00,18.00,11.00,13.00,1265.00,ND,-6.00,6.00,47.00,38.00,1.00,18.00,0.00,0.00,1369.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q1,4033.00,ND,ND,ND,ND,ND,ND,ND,3622.00,ND,159.00,210.00,19.00,11.00,12.00,1292.00,ND,4.00,32.00,45.00,55.00,1.00,43.00,0.00,0.00,1472.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q2,2327.00,ND,ND,ND,ND,ND,ND,ND,1890.00,ND,169.00,225.00,20.00,10.00,13.00,885.00,ND,4.00,32.00,65.00,55.00,2.00,43.00,0.00,0.00,1086.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,3301.00,ND,ND,ND,ND,ND,ND,ND,2838.00,ND,179.00,240.00,20.00,11.00,13.00,798.00,ND,4.00,32.00,65.00,55.00,2.00,43.00,0.00,0.00,999.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,2288.00,ND,ND,ND,ND,ND,ND,ND,1797.00,ND,190.00,257.00,20.00,11.00,13.00,588.00,ND,3.00,32.00,65.00,55.00,2.00,45.00,0.00,0.00,790.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q1,2057.00,ND,ND,ND,ND,ND,ND,ND,1535.00,ND,202.00,274.00,21.00,12.00,13.00,770.00,ND,-4.00,32.00,65.00,55.00,2.00,60.00,0.00,0.00,980.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q2,4005.00,ND,ND,ND,ND,ND,ND,ND,3452.00,ND,214.00,294.00,21.00,11.00,13.00,823.00,ND,-4.00,34.00,28.00,23.00,1.00,60.00,0.00,0.00,965.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q3,2677.00,ND,ND,ND,ND,ND,ND,ND,2089.00,ND,228.00,314.00,22.00,11.00,13.00,881.00,ND,-4.00,34.00,28.00,23.00,1.00,60.00,0.00,0.00,1023.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q4,3102.00,ND,ND,ND,ND,ND,ND,ND,2477.00,ND,241.00,336.00,22.00,12.00,14.00,617.00,ND,-5.00,34.00,28.00,23.00,2.00,61.00,0.00,0.00,760.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q1,4874.00,ND,ND,ND,ND,ND,ND,ND,4408.00,ND,237.00,177.00,34.00,44.00,-26.00,1200.00,ND,33.00,44.00,28.00,23.00,5.00,22.00,0.00,0.00,1355.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,3947.00,ND,ND,ND,ND,ND,ND,ND,3460.00,ND,250.00,183.00,35.00,45.00,-26.00,2077.00,ND,40.00,44.00,73.00,62.00,5.00,12.00,0.00,0.00,2313.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,2147.00,ND,ND,ND,ND,ND,ND,ND,1634.00,ND,264.00,190.00,36.00,48.00,-25.00,2387.00,ND,48.00,44.00,73.00,62.00,5.00,1.00,0.00,0.00,2620.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q4,4731.00,ND,ND,ND,ND,ND,ND,ND,4194.00,ND,279.00,196.00,38.00,49.00,-25.00,1379.00,ND,55.00,44.00,71.00,63.00,5.00,-9.00,0.00,0.00,1608.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q1,6150.00,ND,ND,ND,ND,ND,ND,ND,5586.00,ND,296.00,202.00,38.00,52.00,-24.00,949.00,ND,107.00,149.00,190.00,62.00,12.00,84.00,0.00,0.00,1553.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q2,7672.00,ND,ND,ND,ND,ND,ND,ND,7082.00,ND,311.00,210.00,40.00,53.00,-24.00,2649.00,ND,107.00,149.00,190.00,162.00,12.00,84.00,0.00,0.00,3353.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q3,7181.00,ND,ND,ND,ND,ND,ND,ND,6560.00,ND,330.00,217.00,41.00,56.00,-23.00,2678.00,ND,107.00,149.00,190.00,162.00,12.00,84.00,0.00,0.00,3382.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q4,5818.00,ND,ND,ND,ND,ND,ND,ND,5167.00,ND,348.00,224.00,43.00,58.00,-22.00,2884.00,ND,107.00,149.00,190.00,162.00,12.00,84.00,0.00,0.00,3588.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q1,6609.00,ND,ND,ND,ND,ND,ND,ND,5926.00,ND,368.00,232.00,44.00,61.00,-22.00,2330.00,ND,285.00,415.00,190.00,162.00,-106.00,45.00,0.00,0.00,3321.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q2,3686.00,ND,ND,ND,ND,ND,ND,ND,2970.00,ND,389.00,240.00,46.00,63.00,-22.00,4786.00,ND,266.00,205.00,98.00,254.00,105.00,42.00,0.00,0.00,5756.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q3,4533.00,ND,ND,ND,ND,ND,ND,ND,3782.00,ND,411.00,248.00,47.00,66.00,-21.00,3590.00,ND,319.00,274.00,86.00,134.00,259.00,51.00,0.00,0.00,4713.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q4,8109.00,ND,ND,ND,ND,ND,ND,ND,7321.00,ND,435.00,257.00,49.00,68.00,-21.00,2247.00,ND,331.00,181.00,134.00,66.00,117.00,52.00,0.00,0.00,3128.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q1,3337.00,ND,ND,ND,ND,ND,ND,ND,2510.00,ND,459.00,265.00,51.00,72.00,-20.00,2825.00,ND,322.00,227.00,79.00,38.00,-399.00,54.00,0.00,0.00,3146.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q2,6334.00,ND,ND,ND,ND,ND,ND,ND,5468.00,ND,485.00,275.00,52.00,74.00,-20.00,4104.00,ND,325.00,559.00,92.00,133.00,27.00,54.00,0.00,0.00,5294.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
