date,FU263192005.Q,FU263192101.Q,FU263192113.Q,FU263192125.Q,FU263192193.Q,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092005.Q,FU263192193.Q,FU763092000.Q,FU513092003.Q,FU543092073.Q,FU613092003.Q,FU663092003.Q,FU103192005.Q,FU263092193.Q,FU115114005.Q,FU753192003.Q,FU513192003.Q,FU543192073.Q,FU613192003.Q,FU663192005.Q,FU733192003.Q,FU503192003.Q,FU263092001.Q,FU263092101.Q,FU263092113.Q,FU263092125.Q,FU263092193.Q,FU263092303.Q,FU263092323.Q,FU263192323.Q,FU263192035.Q,FU263192101.Q,FU263192345.Q,FU263192313.Q,FU263192323.Q,FU263092035.Q,FU263092101.Q,FU263092345.Q,FU263092313.Q,FU263092323.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,621.00,ND,ND,ND,ND,ND,ND,ND,585.00,ND,6.00,4.00,6.00,10.00,10.00,70.00,ND,10.00,2.00,3.00,3.00,0.00,-8.00,0.00,0.00,80.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,508.00,ND,ND,ND,ND,ND,ND,ND,465.00,ND,8.00,4.00,7.00,12.00,12.00,77.00,ND,6.00,2.00,4.00,3.00,0.00,-2.00,0.00,0.00,90.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q1,170.00,ND,ND,ND,ND,ND,ND,ND,164.00,ND,0.00,0.00,0.00,3.00,3.00,55.00,ND,1.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,61.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,366.00,ND,ND,ND,ND,ND,ND,ND,354.00,ND,2.00,2.00,2.00,3.00,3.00,97.00,ND,1.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,106.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q3,77.00,ND,ND,ND,ND,ND,ND,ND,64.00,ND,2.00,2.00,2.00,3.00,4.00,85.00,ND,1.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,94.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,239.00,ND,ND,ND,ND,ND,ND,ND,228.00,ND,2.00,0.00,2.00,3.00,4.00,-139.00,ND,1.00,5.00,1.00,1.00,-1.00,3.00,0.00,0.00,-129.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,179.00,ND,ND,ND,ND,ND,ND,ND,166.00,ND,2.00,2.00,2.00,3.00,4.00,125.00,ND,1.00,3.00,1.00,1.00,1.00,3.00,0.00,0.00,135.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
