1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q2,21577.00,17540.00,524996.00,48528.00,25556.00,-9474.00,3668.00,-153678.00,100568.00,9344.00,30624.00,-2720.00,4324.00,7312.00,451470.00,521084.00,128604.00,6532.00,166216.00,3300.00,162916.00,1220.00,52144.00,984.00,-2920.00,168984.00,37712.00,131272.00,-680.00,125.00
2006:Q3,19976.00,17839.00,1049214.00,-19500.00,315512.00,247005.00,25520.00,145441.00,23188.00,2012.00,50844.00,57740.00,-1451.00,7672.00,442236.00,1019322.00,919096.00,4968.00,36968.00,2292.00,34676.00,-17984.00,-22440.00,1828.00,-5096.00,105310.00,-4004.00,109314.00,-3328.00,-27755.00
2006:Q4,24159.00,18108.00,-156200.00,42808.00,-536840.00,11371.00,-38760.00,30467.00,-91692.00,49904.00,61452.00,179744.00,-27.00,23604.00,123140.00,-193348.00,-27156.00,-20892.00,9088.00,10756.00,-1668.00,-22364.00,19804.00,-1856.00,6912.00,-134600.00,108052.00,-242652.00,-22284.00,-31097.00
2007:Q1,-37276.00,23684.00,1960888.00,5516.00,647148.00,394005.00,51292.00,134533.00,38904.00,-9824.00,179100.00,-39188.00,52755.00,26772.00,873879.00,1962564.00,1296400.00,59456.00,170380.00,5716.00,164664.00,29308.00,13492.00,2972.00,23356.00,359876.00,-150068.00,509944.00,7324.00,-59284.00
2007:Q2,-30039.00,24085.00,807896.00,31864.00,172872.00,-279594.00,10984.00,-283202.00,-100624.00,22164.00,71084.00,234484.00,30751.00,56392.00,561127.00,792712.00,35360.00,39852.00,257948.00,2908.00,255040.00,2852.00,55284.00,-260.00,6944.00,400388.00,36636.00,363752.00,-5656.00,-69308.00
2007:Q3,3118.00,24432.00,96589.00,-14120.00,-39596.00,531849.00,24620.00,178737.00,368072.00,-35316.00,-4264.00,-141276.00,-24867.00,5152.00,-220553.00,132293.00,368800.00,-29368.00,19868.00,21896.00,-2028.00,27956.00,-13376.00,-56.00,7052.00,-247967.00,193852.00,-441819.00,-616.00,14390.00
2007:Q4,-25070.00,24808.00,-794673.00,74740.00,-110840.00,188152.00,4344.00,-101696.00,402208.00,19992.00,-136696.00,124224.00,42812.00,9152.00,-1122912.00,-679701.00,-638576.00,-85880.00,433452.00,-14528.00,447980.00,68972.00,-65148.00,-5132.00,-1432.00,-399241.00,-14652.00,-384589.00,13284.00,65094.00
2008:Q1,-63951.00,20569.00,1181404.00,69592.00,375976.00,278563.00,81496.00,242219.00,-28544.00,63804.00,-80412.00,162332.00,-91451.00,13928.00,372464.00,1312520.00,545648.00,62264.00,669228.00,166204.00,503024.00,122484.00,-9392.00,-572.00,47748.00,-133228.00,19952.00,-153180.00,8340.00,46596.00
2008:Q2,-76560.00,20601.00,-1084926.00,-27092.00,23196.00,-594694.00,-18324.00,-140898.00,12532.00,-57080.00,-390924.00,-292868.00,49193.00,6612.00,-249274.00,-1004078.00,-920984.00,16448.00,-295928.00,-202120.00,-93808.00,109636.00,-17628.00,2296.00,41748.00,64374.00,164044.00,-99670.00,-4040.00,-16313.00
2008:Q3,-97170.00,20417.00,524171.00,185316.00,339008.00,518853.00,204132.00,345757.00,155392.00,40572.00,-227000.00,449588.00,-17173.00,8556.00,-959978.00,580523.00,231948.00,-30220.00,852376.00,854916.00,-2540.00,36720.00,-18900.00,-316.00,90908.00,-587705.00,-124300.00,-463405.00,5712.00,-61235.00
