date,FA116902505.A,FA116300001.A,FA116902605.A,FA116025001.A,FA116020001.A,FA116401005.A,FA116240101.A,FA116402105.A,FA116140001.A,FA116402105.A,FA116130101.A,FA116150005.A,FA116130001.A,FA116122001.A,FA113192281.A,FA116112001.A,FA116140001.A,FA116403001.A,FA116012005.A,FA116012005.A,FA116006305.A,FA116012005.A,FA115440005.A,FA115050985.A,FA115019085.A,FA115013085.A,FA115012005.A,FA116300001.A,FA115020005.A,FA115000905.A,FA115000905.A,FA114090005.A,FA114000005.A,FA113020005.A,FA113030003.A,FA114022005.A,FA113061003.A,FA113062003.A,FA114023005.A,FA113066003.A,FA113065005.A,FA113081005.A,FA113034003.A,FA113092405.A,FA113076005.A,FA113096005.A,FA113070003.A,FA113093005.A,FA114190005.A,FA114123005.A,FA114141005.A,FA113168005.A,FA113169005.A,FA113165005.A,FA113181005.A,FA112090205.A,FA115114005.A,FA113196005.A,FA113170005.A,FA113178003.A,FA113193003.A,FA115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR115114005.A,FR118200005.A,FC112090205.A,FL112000005.A,FL112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,FL115015205.A,FL115012265.A,FL115013265.A,FL115013765.A,FL115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,FL114022005.A,FL113061003.A,FL113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113093005.A,FL112100005.A,FL114190005.A,FL114123005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL113165005.A,FL115114005.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090205.A
1960,117108.00,11293.00,105815.00,37331.00,34990.00,2341.00,9671.00,58813.00,266.00,58813.00,648.00,59195.00,4774.00,54416.00,4.00,0.00,266.00,266.00,0.00,0.00,0.00,0.00,0.00,4958.00,15069.00,10598.00,4471.00,11293.00,1182.00,-4958.00,-4958.00,-399.00,-693.00,-693.00,0.00,0.00,0.00,0.00,-223.00,-223.00,0.00,21.00,0.00,21.00,176.00,320.00,320.00,0.00,4476.00,4776.00,834.00,515.00,319.00,3942.00,-882.00,-887.00,5.00,582.00,582.00,0.00,0.00,-4875.00,-886.00,0.00,-886.00,10825.00,10669.00,9449.00,1221.00,402.00,-43.00,445.00,100.00,-347.00,2.00,10823.00,9937.00,469343.00,434725.00,349081.00,163600.00,185481.00,45490.00,2251.00,43239.00,5154.00,35000.00,34617.00,18044.00,18044.00,0.00,0.00,0.00,0.00,3202.00,3202.00,0.00,252.00,0.00,252.00,4566.00,8554.00,8554.00,0.00,469343.00,70786.00,55024.00,16282.00,8858.00,7424.00,38742.00,149.00,15614.00,15614.00,0.00,0.00,398556.00
1961,119685.00,11502.00,108183.00,36869.00,34470.00,2399.00,9509.00,61805.00,299.00,61805.00,651.00,62158.00,5287.00,56866.00,5.00,0.00,299.00,299.00,0.00,0.00,0.00,0.00,0.00,5912.00,16079.00,10632.00,5447.00,11502.00,1335.00,-5912.00,-5912.00,641.00,118.00,118.00,0.00,0.00,0.00,0.00,-72.00,-72.00,0.00,25.00,0.00,25.00,220.00,350.00,350.00,0.00,6464.00,6694.00,957.00,601.00,356.00,5737.00,246.00,235.00,11.00,-476.00,-476.00,0.00,0.00,-5823.00,237.00,0.00,237.00,16989.00,16586.00,9999.00,6587.00,59.00,-39.00,98.00,108.00,235.00,0.00,16989.00,17226.00,492795.00,457537.00,370084.00,176327.00,193757.00,45402.00,2305.00,43097.00,5480.00,36571.00,35258.00,18162.00,18162.00,0.00,0.00,0.00,0.00,3130.00,3130.00,0.00,276.00,0.00,276.00,4787.00,8904.00,8904.00,0.00,492795.00,77013.00,61717.00,17239.00,9459.00,7780.00,44478.00,160.00,15136.00,15136.00,0.00,0.00,415782.00
1962,123972.00,11847.00,112125.00,37808.00,35204.00,2604.00,9839.00,64479.00,312.00,64479.00,648.00,64815.00,5806.00,59004.00,5.00,0.00,312.00,312.00,0.00,0.00,0.00,0.00,0.00,8252.00,18298.00,11637.00,6661.00,11847.00,1801.00,-8252.00,-8252.00,-98.00,1.00,1.00,0.00,0.00,0.00,0.00,185.00,185.00,0.00,26.00,0.00,26.00,132.00,-442.00,-442.00,0.00,8050.00,7585.00,1572.00,1114.00,458.00,6013.00,578.00,574.00,4.00,-113.00,-113.00,0.00,0.00,-8148.00,574.00,0.00,574.00,16495.00,15955.00,9229.00,6726.00,265.00,-60.00,326.00,40.00,235.00,0.00,16495.00,17069.00,517340.00,482180.00,391707.00,189298.00,202409.00,46186.00,2347.00,43839.00,5680.00,38607.00,35160.00,18163.00,18163.00,0.00,0.00,0.00,0.00,3315.00,3315.00,0.00,301.00,0.00,301.00,4919.00,8462.00,8462.00,0.00,517340.00,84489.00,69302.00,18811.00,10573.00,8238.00,50491.00,164.00,15023.00,15023.00,0.00,0.00,432851.00
1963,127328.00,12188.00,115140.00,38766.00,35955.00,2811.00,10227.00,66147.00,313.00,66147.00,656.00,66490.00,6261.00,60224.00,5.00,0.00,313.00,313.00,0.00,0.00,0.00,0.00,0.00,9603.00,20208.00,12517.00,7691.00,12188.00,1584.00,-9603.00,-9603.00,-40.00,-145.00,-145.00,0.00,0.00,0.00,0.00,238.00,238.00,0.00,28.00,0.00,28.00,340.00,-501.00,-501.00,0.00,9459.00,8670.00,1982.00,1157.00,825.00,6688.00,2179.00,2173.00,6.00,-1390.00,-1390.00,0.00,0.00,-9499.00,2170.00,0.00,2170.00,3448.00,6772.00,-1875.00,8647.00,513.00,-20.00,533.00,157.00,-3993.00,2.00,3446.00,5616.00,530244.00,495127.00,405397.00,192067.00,213330.00,47574.00,2463.00,45111.00,5958.00,36198.00,35117.00,18018.00,18018.00,0.00,0.00,0.00,0.00,3553.00,3553.00,0.00,328.00,0.00,328.00,5258.00,7961.00,7961.00,0.00,530244.00,91777.00,77972.00,20793.00,11731.00,9063.00,57179.00,172.00,13633.00,13633.00,0.00,0.00,438467.00
1964,133472.00,12708.00,120765.00,40796.00,37904.00,2892.00,10488.00,69481.00,351.00,69481.00,716.00,69847.00,7141.00,62699.00,7.00,0.00,351.00,351.00,0.00,0.00,0.00,0.00,0.00,9336.00,21904.00,13485.00,8419.00,12708.00,139.00,-9336.00,-9336.00,908.00,102.00,102.00,0.00,0.00,0.00,0.00,226.00,226.00,0.00,35.00,0.00,35.00,400.00,145.00,145.00,0.00,10136.00,8296.00,1588.00,747.00,841.00,6708.00,2396.00,2388.00,8.00,-556.00,-556.00,0.00,0.00,-9228.00,2387.00,0.00,2387.00,17298.00,17688.00,6957.00,10731.00,607.00,-29.00,636.00,204.00,-1200.00,0.00,17298.00,19685.00,557678.00,521653.00,430762.00,204221.00,226541.00,49569.00,2582.00,46987.00,6186.00,35137.00,36024.00,18119.00,18119.00,0.00,0.00,0.00,0.00,3779.00,3779.00,0.00,362.00,0.00,362.00,5658.00,8106.00,8106.00,0.00,557678.00,99525.00,86267.00,22381.00,12477.00,9904.00,63886.00,180.00,13078.00,13078.00,0.00,0.00,458152.00
1965,140694.00,13469.00,127224.00,41903.00,38951.00,2952.00,10671.00,74651.00,408.00,74651.00,714.00,74957.00,7830.00,67119.00,8.00,0.00,408.00,408.00,0.00,0.00,0.00,0.00,0.00,12277.00,23209.00,15277.00,7932.00,13469.00,2537.00,-12277.00,-12277.00,642.00,104.00,104.00,0.00,0.00,0.00,0.00,261.00,261.00,0.00,51.00,0.00,51.00,402.00,-176.00,-176.00,0.00,12770.00,9327.00,2359.00,1569.00,790.00,6968.00,3772.00,3762.00,10.00,-328.00,-328.00,0.00,0.00,-12128.00,3761.00,0.00,3761.00,23131.00,19989.00,6559.00,13430.00,945.00,-83.00,1027.00,262.00,1936.00,1.00,23130.00,26891.00,593579.00,556912.00,458451.00,215228.00,243223.00,52389.00,2683.00,49706.00,6463.00,39609.00,36666.00,18223.00,18223.00,0.00,0.00,0.00,0.00,4040.00,4040.00,0.00,413.00,0.00,413.00,6060.00,7930.00,7930.00,0.00,593579.00,108535.00,95594.00,24741.00,14046.00,10695.00,70853.00,191.00,12750.00,12750.00,0.00,0.00,485043.00
1966,148980.00,14460.00,134521.00,44443.00,41050.00,3393.00,10455.00,79622.00,471.00,79622.00,756.00,79908.00,8593.00,71307.00,8.00,0.00,471.00,471.00,0.00,0.00,0.00,0.00,0.00,11076.00,23893.00,16431.00,7462.00,14460.00,1643.00,-11076.00,-11076.00,1051.00,-10.00,-10.00,0.00,0.00,0.00,0.00,-52.00,-52.00,0.00,52.00,0.00,52.00,500.00,561.00,561.00,0.00,11981.00,9684.00,3176.00,2250.00,926.00,6508.00,3499.00,3495.00,4.00,-1203.00,-1203.00,0.00,0.00,-10930.00,3497.00,0.00,3497.00,29999.00,27878.00,15132.00,12746.00,2408.00,-1.00,2409.00,227.00,-514.00,1.00,29998.00,33494.00,635559.00,597841.00,493570.00,234063.00,259507.00,56843.00,2848.00,53995.00,6690.00,40738.00,37718.00,18213.00,18213.00,0.00,0.00,0.00,0.00,3988.00,3988.00,0.00,466.00,0.00,466.00,6560.00,8491.00,8491.00,0.00,635559.00,117021.00,105278.00,27917.00,16296.00,11621.00,77361.00,196.00,11547.00,11547.00,0.00,0.00,518538.00
1967,153722.00,15444.00,138279.00,45153.00,41694.00,3459.00,11640.00,81486.00,508.00,81486.00,849.00,81827.00,9321.00,72496.00,10.00,0.00,508.00,508.00,0.00,0.00,0.00,0.00,0.00,10042.00,23398.00,16112.00,7286.00,15444.00,2088.00,-10042.00,-10042.00,1296.00,132.00,132.00,0.00,100.00,100.00,0.00,-116.00,-116.00,0.00,57.00,0.00,57.00,592.00,531.00,531.00,0.00,11193.00,10331.00,2518.00,1360.00,1158.00,7813.00,953.00,934.00,19.00,-91.00,-91.00,0.00,0.00,-9897.00,931.00,0.00,931.00,23736.00,22904.00,10054.00,12850.00,2399.00,33.00,2366.00,413.00,-1980.00,0.00,23736.00,24667.00,670487.00,631474.00,522958.00,247419.00,275539.00,60646.00,3037.00,57609.00,7023.00,40847.00,39013.00,18344.00,18344.00,0.00,100.00,100.00,0.00,3872.00,3872.00,0.00,523.00,0.00,523.00,7152.00,9022.00,9022.00,0.00,670487.00,127282.00,115611.00,30436.00,17657.00,12779.00,85176.00,215.00,11456.00,11456.00,0.00,0.00,543205.00
1968,161734.00,16599.00,145136.00,46816.00,43110.00,3707.00,11893.00,86427.00,483.00,86427.00,876.00,86820.00,10189.00,76621.00,11.00,0.00,483.00,483.00,0.00,0.00,0.00,0.00,0.00,12405.00,26653.00,16360.00,10292.00,16599.00,2351.00,-12405.00,-12405.00,-194.00,155.00,155.00,0.00,200.00,200.00,0.00,-20.00,-20.00,0.00,107.00,0.00,107.00,731.00,-1367.00,-1367.00,0.00,12043.00,10971.00,2258.00,1463.00,795.00,8713.00,3177.00,3159.00,18.00,-2105.00,-2105.00,0.00,0.00,-12237.00,3159.00,0.00,3159.00,41940.00,37481.00,22313.00,15168.00,3074.00,80.00,2994.00,336.00,1049.00,1.00,41939.00,45098.00,724469.00,685651.00,569262.00,275581.00,293681.00,64819.00,3367.00,61452.00,7322.00,44247.00,38819.00,18499.00,18499.00,0.00,300.00,300.00,0.00,3852.00,3852.00,0.00,630.00,0.00,630.00,7882.00,7655.00,7655.00,0.00,724469.00,136167.00,126582.00,32694.00,19120.00,13573.00,93888.00,234.00,9351.00,9351.00,0.00,0.00,588302.00
1969,170310.00,18078.00,152232.00,48641.00,44724.00,3917.00,12540.00,91051.00,517.00,91051.00,1124.00,91658.00,11732.00,79916.00,10.00,0.00,517.00,517.00,0.00,0.00,0.00,0.00,0.00,14365.00,31222.00,18520.00,12702.00,18078.00,1221.00,-14365.00,-14365.00,1975.00,79.00,79.00,0.00,200.00,200.00,0.00,160.00,-140.00,300.00,64.00,0.00,64.00,1017.00,455.00,455.00,0.00,16120.00,15318.00,4299.00,2747.00,1552.00,11019.00,161.00,139.00,22.00,642.00,642.00,0.00,0.00,-14145.00,135.00,0.00,135.00,34825.00,28492.00,14559.00,13933.00,3430.00,69.00,3362.00,468.00,2435.00,0.00,34825.00,34960.00,775415.00,734621.00,609003.00,297781.00,311222.00,69958.00,3755.00,66203.00,7757.00,47903.00,40794.00,18578.00,18578.00,0.00,500.00,500.00,0.00,4012.00,3712.00,300.00,695.00,0.00,695.00,8899.00,8110.00,8110.00,0.00,775415.00,152153.00,141905.00,36998.00,21874.00,15124.00,104907.00,256.00,9992.00,9992.00,0.00,0.00,623262.00
1970,177279.00,19516.00,157762.00,50042.00,45888.00,4154.00,13917.00,93803.00,608.00,93803.00,1395.00,94590.00,13604.00,80976.00,10.00,0.00,608.00,608.00,0.00,0.00,0.00,0.00,0.00,12630.00,32571.00,19466.00,13105.00,19516.00,-424.00,-12630.00,-12630.00,1882.00,1509.00,109.00,1400.00,200.00,200.00,0.00,517.00,117.00,400.00,62.00,0.00,62.00,1081.00,-1487.00,-1487.00,0.00,14244.00,6667.00,1921.00,413.00,1508.00,4746.00,-327.00,-359.00,32.00,7903.00,-678.00,0.00,8581.00,-12362.00,-344.00,0.00,-344.00,31663.00,27500.00,11217.00,16282.00,4407.00,74.00,4333.00,474.00,-717.00,0.00,31663.00,31320.00,821322.00,778646.00,648063.00,316586.00,331477.00,75678.00,4181.00,71497.00,8143.00,46762.00,42676.00,20087.00,18687.00,1400.00,700.00,700.00,0.00,4529.00,3829.00,700.00,758.00,0.00,758.00,9979.00,6623.00,6623.00,0.00,821322.00,166741.00,148557.00,38921.00,22287.00,16635.00,109636.00,288.00,17896.00,9315.00,0.00,8581.00,654582.00
1971,188742.00,21257.00,167486.00,50473.00,46102.00,4371.00,15625.00,101388.00,647.00,101388.00,1596.00,102338.00,15678.00,86648.00,12.00,0.00,647.00,647.00,0.00,0.00,0.00,0.00,0.00,19080.00,37846.00,20531.00,17315.00,21257.00,2491.00,-19080.00,-19080.00,9824.00,1737.00,137.00,1600.00,200.00,200.00,0.00,1058.00,-117.00,1175.00,79.00,0.00,79.00,1250.00,5500.00,1500.00,4000.00,28524.00,22568.00,3350.00,2175.00,1175.00,19218.00,1820.00,1805.00,15.00,4135.00,203.00,1037.00,2895.00,-18700.00,1729.00,-40.00,1769.00,64581.00,56272.00,28277.00,27995.00,3727.00,42.00,3685.00,196.00,4387.00,-1.00,64582.00,66311.00,914387.00,861887.00,719630.00,355950.00,363680.00,80399.00,4641.00,75758.00,8218.00,53640.00,52500.00,21824.00,18824.00,3000.00,900.00,900.00,0.00,5587.00,3712.00,1875.00,836.00,0.00,836.00,11230.00,12123.00,8123.00,4000.00,914387.00,193494.00,171162.00,42271.00,24461.00,17809.00,128891.00,302.00,22030.00,9517.00,1037.00,11476.00,720893.00
1972,206508.00,23121.00,183387.00,52644.00,47741.00,4903.00,15308.00,115435.00,688.00,115435.00,1736.00,116483.00,18083.00,98387.00,13.00,0.00,688.00,688.00,0.00,0.00,0.00,0.00,0.00,22388.00,43981.00,22057.00,21924.00,23121.00,1529.00,-22388.00,-22388.00,9986.00,1868.00,268.00,1600.00,200.00,200.00,0.00,1043.00,-82.00,1125.00,97.00,0.00,97.00,1531.00,5247.00,647.00,4600.00,31748.00,31385.00,3955.00,2756.00,1199.00,27430.00,-4917.00,-4938.00,21.00,5281.00,1145.00,1452.00,2684.00,-21762.00,-5245.00,-303.00,-4942.00,86420.00,73786.00,36152.00,37634.00,3143.00,8.00,3136.00,252.00,9239.00,0.00,86420.00,81176.00,1032252.00,969766.00,812021.00,406666.00,405355.00,85057.00,5213.00,79844.00,8281.00,64408.00,62486.00,23693.00,19093.00,4600.00,1100.00,1100.00,0.00,6630.00,3630.00,3000.00,933.00,0.00,933.00,12761.00,17370.00,8770.00,8600.00,1032252.00,230184.00,202550.00,46229.00,27222.00,19007.00,156321.00,323.00,27311.00,10662.00,2489.00,14160.00,802068.00
1973,241365.00,25527.00,215838.00,59400.00,53592.00,5809.00,17865.00,138572.00,809.00,138572.00,1463.00,139226.00,21401.00,117804.00,22.00,0.00,809.00,809.00,0.00,0.00,0.00,0.00,0.00,27190.00,49309.00,27446.00,21863.00,25527.00,3408.00,-27190.00,-27190.00,9077.00,2174.00,561.00,1613.00,83.00,83.00,0.00,92.00,-193.00,285.00,170.00,0.00,170.00,1415.00,5143.00,2316.00,2827.00,35575.00,17948.00,11364.00,7666.00,3698.00,6584.00,9485.00,9353.00,132.00,8141.00,3358.00,1496.00,3287.00,-26498.00,-6541.00,-254.00,-6287.00,141615.00,121278.00,48984.00,72294.00,5895.00,87.00,5807.00,344.00,14098.00,-17.00,141632.00,135091.00,1213188.00,1137625.00,952736.00,469182.00,483554.00,94523.00,5942.00,88581.00,8452.00,81914.00,75563.00,29866.00,23653.00,6213.00,1183.00,1183.00,0.00,6722.00,3437.00,3285.00,1103.00,0.00,1103.00,14176.00,22513.00,11086.00,11427.00,1213188.00,276029.00,230141.00,67235.00,44887.00,22349.00,162906.00,438.00,45450.00,24018.00,3985.00,17447.00,937159.00
1974,256668.00,29331.00,227337.00,63764.00,57410.00,6354.00,21540.00,142034.00,771.00,142034.00,1696.00,142959.00,25555.00,117377.00,27.00,0.00,771.00,771.00,0.00,0.00,0.00,0.00,0.00,15653.00,45640.00,27497.00,18143.00,29331.00,-657.00,-15653.00,-15653.00,4737.00,1663.00,92.00,1571.00,55.00,55.00,0.00,-246.00,-354.00,108.00,226.00,0.00,226.00,1488.00,1551.00,2202.00,-651.00,19737.00,37108.00,11882.00,8302.00,3580.00,25226.00,-27613.00,-27767.00,154.00,10243.00,3105.00,1560.00,5578.00,-15000.00,-27808.00,-39.00,-27769.00,139986.00,125126.00,58815.00,66311.00,18951.00,746.00,18204.00,704.00,-4794.00,-4.00,139990.00,112183.00,1372872.00,1292573.00,1092686.00,536603.00,556083.00,114470.00,7295.00,107175.00,8954.00,76463.00,80299.00,31528.00,23744.00,7784.00,1238.00,1238.00,0.00,6476.00,3083.00,3393.00,1329.00,0.00,1329.00,15664.00,24064.00,13288.00,10776.00,1372872.00,323530.00,267249.00,79117.00,53190.00,25928.00,188132.00,588.00,55693.00,27123.00,5545.00,23025.00,1049342.00
1975,274686.00,33566.00,241120.00,67150.00,60196.00,6954.00,22743.00,151228.00,982.00,151228.00,2851.00,153097.00,29864.00,123205.00,29.00,0.00,982.00,982.00,0.00,0.00,0.00,0.00,0.00,10954.00,42427.00,29402.00,13025.00,33566.00,2093.00,-10954.00,-10954.00,2691.00,885.00,581.00,304.00,36.00,36.00,0.00,-556.00,-415.00,-141.00,259.00,0.00,259.00,1861.00,206.00,1263.00,-1057.00,12983.00,20353.00,7528.00,3470.00,4058.00,12825.00,-12769.00,-12748.00,-21.00,5399.00,1312.00,1057.00,3030.00,-10292.00,-12748.00,0.00,-12748.00,110874.00,96092.00,39476.00,56616.00,12711.00,434.00,12277.00,502.00,1570.00,0.00,110874.00,98126.00,1496727.00,1413739.00,1196958.00,578653.00,618305.00,127389.00,8177.00,119212.00,9266.00,80126.00,82989.00,32413.00,24325.00,8088.00,1274.00,1274.00,0.00,5920.00,2668.00,3252.00,1587.00,0.00,1587.00,17524.00,24270.00,14551.00,9719.00,1496727.00,349260.00,287601.00,86645.00,56659.00,29985.00,200956.00,567.00,61092.00,28435.00,6602.00,26055.00,1147468.00
1976,299513.00,36292.00,263221.00,72818.00,64813.00,8005.00,23877.00,166526.00,1377.00,166526.00,2205.00,167354.00,31715.00,135608.00,32.00,0.00,1377.00,1377.00,0.00,0.00,0.00,0.00,0.00,12260.00,47389.00,32153.00,15236.00,36292.00,1163.00,-12260.00,-12260.00,10257.00,3349.00,1947.00,1402.00,241.00,241.00,0.00,712.00,-187.00,899.00,278.00,0.00,278.00,3225.00,2452.00,1298.00,1154.00,21779.00,29485.00,10426.00,5458.00,4968.00,19059.00,-13137.00,-13152.00,15.00,5431.00,3002.00,1183.00,1246.00,-11522.00,-13177.00,-27.00,-13150.00,143293.00,133022.00,51115.00,81908.00,12504.00,333.00,12171.00,359.00,-2592.00,1.00,143292.00,130115.00,1661771.00,1568526.00,1341057.00,633688.00,707369.00,139084.00,8996.00,130088.00,9688.00,78698.00,93245.00,35761.00,26271.00,9490.00,1515.00,1515.00,0.00,6632.00,2481.00,4151.00,1866.00,0.00,1866.00,20748.00,26722.00,15849.00,10873.00,1661771.00,384189.00,317082.00,97069.00,62117.00,34953.00,220013.00,583.00,66524.00,31438.00,7785.00,27301.00,1277583.00
1977,324462.00,40115.00,284347.00,78725.00,69719.00,9006.00,23791.00,181832.00,1587.00,181832.00,2253.00,182498.00,35051.00,147428.00,19.00,0.00,1587.00,1587.00,0.00,0.00,0.00,0.00,0.00,23109.00,57085.00,37163.00,19922.00,40115.00,6139.00,-23109.00,-23109.00,17258.00,5319.00,2682.00,2637.00,897.00,897.00,0.00,874.00,-484.00,1358.00,271.00,0.00,271.00,3879.00,6018.00,4127.00,1891.00,39287.00,42729.00,14754.00,8322.00,6432.00,27975.00,-8073.00,-8056.00,-17.00,4632.00,3599.00,1086.00,-53.00,-22029.00,-8105.00,-49.00,-8056.00,172161.00,156412.00,82975.00,73437.00,13979.00,335.00,13644.00,402.00,1369.00,57.00,172104.00,163999.00,1873172.00,1762668.00,1512676.00,723900.00,788776.00,153777.00,9927.00,143850.00,10010.00,86205.00,110504.00,41081.00,28954.00,12127.00,2412.00,2412.00,0.00,7506.00,1997.00,5509.00,2138.00,0.00,2138.00,24627.00,32740.00,19976.00,12764.00,1873172.00,431590.00,359811.00,111824.00,70439.00,41385.00,247987.00,623.00,71156.00,35037.00,8871.00,27248.00,1441582.00
1978,364711.00,45244.00,319467.00,87099.00,78124.00,8975.00,23982.00,208387.00,1898.00,208387.00,2696.00,209185.00,39754.00,169400.00,31.00,0.00,1898.00,1898.00,0.00,0.00,0.00,0.00,0.00,31088.00,72457.00,46444.00,26013.00,45244.00,3875.00,-31088.00,-31088.00,21793.00,6668.00,3273.00,3395.00,772.00,772.00,0.00,2066.00,-539.00,2605.00,376.00,0.00,376.00,4447.00,7464.00,6042.00,1422.00,51683.00,58395.00,26031.00,15523.00,10508.00,32364.00,-14617.00,-14793.00,176.00,7905.00,3585.00,1080.00,3240.00,-29890.00,-14793.00,0.00,-14793.00,246314.00,207274.00,87805.00,119469.00,17224.00,651.00,16573.00,612.00,21204.00,49.00,246265.00,231473.00,2171170.00,2038873.00,1742627.00,823173.00,919454.00,174002.00,11294.00,162708.00,10959.00,111284.00,132297.00,47749.00,32227.00,15522.00,3184.00,3184.00,0.00,9572.00,1458.00,8114.00,2514.00,0.00,2514.00,29075.00,40204.00,26018.00,14186.00,2171170.00,498116.00,418206.00,137855.00,85961.00,51893.00,280351.00,848.00,79062.00,38623.00,9951.00,30488.00,1673054.00
1979,406946.00,51870.00,355076.00,96561.00,86591.00,9970.00,26592.00,231924.00,1945.00,231924.00,2998.00,232977.00,47924.00,184991.00,62.00,0.00,1945.00,1945.00,0.00,0.00,0.00,0.00,0.00,43548.00,90666.00,57831.00,32835.00,51870.00,4752.00,-43548.00,-43548.00,21186.00,8631.00,2884.00,5747.00,-379.00,-379.00,0.00,2312.00,-575.00,2887.00,489.00,0.00,489.00,4275.00,5858.00,4136.00,1722.00,63433.00,73812.00,28061.00,15732.00,12329.00,45751.00,-28422.00,-28850.00,428.00,18043.00,8262.00,2844.00,6937.00,-42247.00,-29099.00,-250.00,-28849.00,297836.00,258126.00,117025.00,141101.00,24238.00,575.00,23664.00,560.00,14912.00,253.00,297583.00,268484.00,2532189.00,2378705.00,2033457.00,956249.00,1077208.00,202095.00,12745.00,189350.00,12205.00,130948.00,153483.00,56379.00,35110.00,21269.00,2805.00,2805.00,0.00,11884.00,883.00,11001.00,3003.00,0.00,3003.00,33350.00,46062.00,30154.00,15908.00,2532189.00,590650.00,492016.00,165916.00,101694.00,64222.00,326101.00,1529.00,97105.00,46885.00,12795.00,37425.00,1941538.00
1980,429100.00,59334.00,369766.00,103288.00,92754.00,10534.00,29341.00,237137.00,2216.00,237137.00,3278.00,238199.00,57784.00,180330.00,85.00,0.00,2216.00,2216.00,0.00,0.00,0.00,0.00,0.00,22745.00,87779.00,58461.00,29317.00,59334.00,-5700.00,-22745.00,-22745.00,13667.00,5792.00,2830.00,2962.00,-241.00,-241.00,0.00,483.00,-733.00,1216.00,627.00,0.00,627.00,3670.00,3336.00,2338.00,998.00,35063.00,63188.00,13023.00,2899.00,10124.00,50165.00,-43131.00,-44332.00,1201.00,15007.00,5696.00,2533.00,6778.00,-21396.00,-44474.00,-287.00,-44187.00,289372.00,250988.00,130837.00,120151.00,28777.00,970.00,27807.00,774.00,8834.00,942.00,288430.00,243956.00,2856338.00,2689187.00,2313816.00,1097635.00,1216181.00,227621.00,14512.00,213109.00,13668.00,134082.00,167152.00,62172.00,37941.00,24231.00,2564.00,2564.00,0.00,12367.00,150.00,12217.00,3630.00,0.00,3630.00,37020.00,49398.00,32492.00,16906.00,2856338.00,670845.00,555061.00,178795.00,104594.00,74201.00,376266.00,3672.00,112112.00,52581.00,15328.00,44203.00,2185494.00
1981,468675.00,66966.00,401709.00,110361.00,99226.00,11136.00,33157.00,258192.00,2351.00,258192.00,3661.00,259502.00,69072.00,190333.00,98.00,0.00,2351.00,2351.00,0.00,0.00,0.00,0.00,0.00,46249.00,103284.00,73596.00,29688.00,66966.00,9931.00,-46249.00,-46249.00,32839.00,3790.00,2321.00,1469.00,734.00,734.00,0.00,7997.00,-125.00,8122.00,663.00,0.00,663.00,3059.00,16596.00,4536.00,12060.00,77508.00,64716.00,22517.00,11403.00,11114.00,42199.00,9635.00,8097.00,1538.00,3156.00,6047.00,-1584.00,-1307.00,-44669.00,8098.00,0.00,8098.00,149293.00,134585.00,87482.00,47103.00,29749.00,1036.00,28712.00,681.00,-15721.00,-280.00,149573.00,157671.00,3083139.00,2883149.00,2485585.00,1194394.00,1291191.00,253958.00,16274.00,237684.00,15314.00,128292.00,199990.00,65962.00,40262.00,25700.00,3298.00,3298.00,0.00,20364.00,25.00,20339.00,4293.00,0.00,4293.00,40079.00,65994.00,37028.00,28966.00,3083139.00,739975.00,619777.00,201312.00,115997.00,85315.00,418465.00,4930.00,115268.00,58628.00,13744.00,42896.00,2343165.00
1982,479983.00,73117.00,406866.00,116237.00,104580.00,11657.00,25524.00,265106.00,2573.00,265106.00,8065.00,270598.00,81594.00,189112.00,-107.00,0.00,2573.00,2573.00,0.00,0.00,0.00,0.00,0.00,25441.00,94179.00,71210.00,22969.00,73117.00,4379.00,-25441.00,-25441.00,11737.00,6146.00,3746.00,2400.00,-54.00,-54.00,0.00,4597.00,-25.00,4622.00,385.00,0.00,385.00,3210.00,-2547.00,7981.00,-10528.00,35294.00,57876.00,-3295.00,-6559.00,3264.00,61171.00,-57076.00,-58312.00,1236.00,34494.00,4427.00,1491.00,28576.00,-23557.00,-58610.00,-295.00,-58315.00,98770.00,74961.00,86096.00,-11135.00,22249.00,734.00,21515.00,646.00,914.00,-521.00,99291.00,40682.00,3216908.00,3005182.00,2589754.00,1281919.00,1307835.00,265272.00,17500.00,247772.00,16570.00,133586.00,211726.00,72108.00,44008.00,28100.00,3244.00,3244.00,0.00,24961.00,0.00,24961.00,4678.00,0.00,4678.00,43289.00,63447.00,45009.00,18438.00,3216908.00,833062.00,677655.00,198018.00,109439.00,88580.00,479636.00,5645.00,149762.00,63055.00,15235.00,71472.00,2383846.00
