1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,166004.00,33138.00,24943.00,82573.00,51792.00,10642.00,13488.00,6651.00,25350.00,166004.00,148008.00,83447.00,38807.00,24938.00,0.00,816.00,6827.00,911.00,0.00,0.00,0.00,0.00,3235.00,0.00,2681.00,0.00,0.00,11169.00,166004.00,45389.00,19516.00,7241.00,1256.00,17070.00,306.00,120615.00,5.00,83487.00,809.00,142.00,712.00,118.00,21904.00,120.00,105.00,0.00,3096.00,43.00,0.00,8653.00,0.00,1421.00,0.00,0.00,0.00
1952:Q1,166478.00,32772.00,24613.00,84496.00,53149.00,10820.00,13713.00,6814.00,24597.00,166478.00,148946.00,84144.00,38567.00,25464.00,0.00,771.00,6198.00,589.00,0.00,0.00,0.00,0.00,3353.00,0.00,2256.00,0.00,0.00,11334.00,166478.00,45041.00,19400.00,5616.00,2098.00,17593.00,334.00,121437.00,18.00,83874.00,897.00,145.00,735.00,120.00,22516.00,126.00,113.00,0.00,2827.00,45.00,0.00,8599.00,0.00,1422.00,0.00,0.00,0.00
1952:Q2,172556.00,33707.00,25106.00,86865.00,54880.00,11037.00,13927.00,7021.00,26878.00,172556.00,153856.00,88286.00,38123.00,26603.00,0.00,844.00,7244.00,653.00,0.00,0.00,0.00,0.00,3499.00,0.00,3092.00,0.00,0.00,11456.00,172556.00,46326.00,19608.00,6172.00,2284.00,17903.00,359.00,126230.00,20.00,87046.00,971.00,146.00,823.00,121.00,23010.00,133.00,122.00,0.00,2944.00,47.00,0.00,9393.00,0.00,1454.00,0.00,0.00,0.00
1952:Q3,176517.00,33622.00,25639.00,89291.00,56721.00,11275.00,14161.00,7134.00,27965.00,176517.00,158125.00,91270.00,38711.00,27164.00,0.00,980.00,6773.00,715.00,0.00,0.00,0.00,0.00,3630.00,0.00,2428.00,0.00,0.00,11619.00,176517.00,47144.00,19803.00,6276.00,2349.00,18331.00,385.00,129373.00,49.00,89091.00,899.00,147.00,895.00,122.00,23509.00,141.00,131.00,0.00,3003.00,50.00,0.00,9871.00,0.00,1465.00,0.00,0.00,0.00
1952:Q4,184405.00,35892.00,26391.00,91600.00,58486.00,11481.00,14397.00,7236.00,30522.00,184405.00,164512.00,95665.00,40270.00,27439.00,0.00,1138.00,8275.00,864.00,0.00,0.00,0.00,0.00,4355.00,0.00,3056.00,0.00,0.00,11618.00,184405.00,48878.00,20003.00,7081.00,2670.00,18715.00,409.00,135527.00,34.00,93586.00,945.00,147.00,949.00,123.00,23964.00,149.00,141.00,0.00,3152.00,53.00,0.00,10782.00,0.00,1502.00,0.00,0.00,0.00
1953:Q1,186483.00,35214.00,26652.00,93716.00,60073.00,11587.00,14660.00,7396.00,30901.00,186483.00,167328.00,97936.00,40877.00,27602.00,0.00,913.00,7419.00,611.00,0.00,0.00,0.00,0.00,4168.00,0.00,2640.00,0.00,0.00,11736.00,186483.00,48708.00,20356.00,6411.00,2449.00,19062.00,430.00,137775.00,22.00,94887.00,919.00,148.00,1015.00,125.00,24499.00,159.00,152.00,0.00,2835.00,55.00,0.00,11294.00,0.00,1665.00,0.00,0.00,0.00
1953:Q2,192209.00,35336.00,27616.00,96585.00,62293.00,11766.00,14939.00,7587.00,32672.00,192209.00,172467.00,102387.00,40787.00,28454.00,0.00,839.00,7713.00,718.00,0.00,0.00,0.00,0.00,4258.00,0.00,2737.00,0.00,0.00,12029.00,192209.00,50174.00,20525.00,6777.00,2560.00,19861.00,451.00,142035.00,13.00,97428.00,944.00,150.00,1119.00,129.00,25059.00,170.00,163.00,0.00,3003.00,56.00,0.00,11947.00,0.00,1854.00,0.00,0.00,0.00
1953:Q3,196532.00,35784.00,28309.00,99085.00,64272.00,11934.00,15212.00,7667.00,33354.00,196532.00,175894.00,104873.00,41191.00,28988.00,0.00,842.00,8161.00,801.00,0.00,0.00,0.00,0.00,4353.00,0.00,3007.00,0.00,0.00,12477.00,196532.00,50929.00,20683.00,6697.00,2552.00,20526.00,471.00,145603.00,3.00,99811.00,960.00,151.00,1208.00,134.00,25586.00,181.00,175.00,0.00,3083.00,58.00,0.00,12464.00,0.00,1789.00,0.00,0.00,0.00
1953:Q4,199612.00,34977.00,28596.00,101425.00,66003.00,12121.00,15564.00,7737.00,34614.00,199612.00,178192.00,108223.00,40838.00,28357.00,0.00,774.00,8581.00,952.00,0.00,0.00,0.00,0.00,4184.00,0.00,3445.00,0.00,0.00,12839.00,199612.00,52291.00,20993.00,7341.00,2798.00,20667.00,492.00,147321.00,17.00,100579.00,1014.00,151.00,1260.00,139.00,26236.00,192.00,188.00,0.00,3119.00,60.00,0.00,12500.00,0.00,1866.00,0.00,0.00,0.00
1954:Q1,198703.00,34028.00,28545.00,103386.00,67416.00,12174.00,15880.00,7916.00,32744.00,198703.00,178378.00,108053.00,40852.00,28803.00,0.00,670.00,7525.00,630.00,0.00,0.00,0.00,0.00,3877.00,0.00,3018.00,0.00,0.00,12800.00,198703.00,51318.00,21278.00,6453.00,2489.00,20584.00,514.00,147385.00,16.00,100429.00,1022.00,151.00,1287.00,143.00,26789.00,203.00,202.00,0.00,2865.00,61.00,0.00,12329.00,0.00,1888.00,0.00,0.00,0.00
