1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,327698.00,54594.00,39904.00,181322.00,123346.00,17679.00,28553.00,11744.00,51878.00,327698.00,299399.00,189505.00,60298.00,48026.00,632.00,938.00,12273.00,1537.00,0.00,0.00,0.00,42.00,6457.00,0.00,4237.00,0.00,0.00,16026.00,327698.00,69089.00,31057.00,8667.00,2969.00,25133.00,1263.00,258609.00,17.00,177321.00,1464.00,188.00,3235.00,158.00,42216.00,856.00,847.00,0.00,7444.00,201.00,0.00,20761.00,0.00,3901.00,0.00,0.00,0.00
1959:Q3,336903.00,56558.00,39977.00,186450.00,127007.00,18212.00,29283.00,11948.00,53918.00,336903.00,307580.00,195611.00,60633.00,49616.00,739.00,981.00,13125.00,1795.00,0.00,0.00,0.00,35.00,6963.00,0.00,4332.00,0.00,0.00,16198.00,336903.00,69765.00,31345.00,8553.00,2944.00,25594.00,1329.00,267138.00,1.00,183883.00,1496.00,89.00,3462.00,155.00,42887.00,921.00,911.00,0.00,8018.00,202.00,0.00,21366.00,0.00,3747.00,0.00,0.00,0.00
1959:Q4,348588.00,60559.00,39688.00,191128.00,130099.00,18700.00,30228.00,12101.00,57213.00,348588.00,317982.00,202315.00,63536.00,50249.00,847.00,1035.00,14407.00,2134.00,0.00,0.00,0.00,139.00,7247.00,0.00,4887.00,0.00,0.00,16199.00,348588.00,71079.00,30443.00,10139.00,3425.00,25682.00,1390.00,277509.00,5.00,191351.00,1553.00,86.00,3625.00,146.00,43815.00,989.00,992.00,0.00,8546.00,203.00,0.00,22425.00,0.00,3773.00,0.00,0.00,0.00
1960:Q1,350571.00,59674.00,40191.00,194949.00,132580.00,19199.00,30899.00,12271.00,55757.00,350571.00,321689.00,203148.00,65097.00,51424.00,947.00,1073.00,12615.00,1520.00,0.00,0.00,0.00,232.00,7180.00,0.00,3683.00,0.00,0.00,16267.00,350571.00,69151.00,30621.00,8340.00,2864.00,25884.00,1442.00,281420.00,20.00,193127.00,1562.00,87.00,3740.00,145.00,44691.00,1063.00,1091.00,0.00,8419.00,204.00,0.00,23811.00,0.00,3460.00,0.00,0.00,0.00
1960:Q2,361653.00,62131.00,41605.00,199295.00,135366.00,19702.00,31668.00,12559.00,58622.00,361653.00,332078.00,209907.00,66747.00,53204.00,1049.00,1171.00,13026.00,1770.00,0.00,0.00,0.00,0.00,7238.00,0.00,4018.00,0.00,0.00,16549.00,361653.00,70942.00,31213.00,9044.00,3025.00,26175.00,1485.00,290711.00,0.00,199154.00,1636.00,89.00,3999.00,145.00,45484.00,1145.00,1209.00,0.00,9106.00,206.00,0.00,25031.00,0.00,3507.00,0.00,0.00,0.00
1960:Q3,367514.00,61622.00,42199.00,204103.00,138582.00,20293.00,32531.00,12697.00,59590.00,367514.00,337485.00,214461.00,66249.00,54375.00,1150.00,1250.00,13190.00,1736.00,0.00,0.00,0.00,56.00,6658.00,0.00,4740.00,0.00,0.00,16839.00,367514.00,71924.00,32280.00,8777.00,2927.00,26411.00,1529.00,295590.00,19.00,202261.00,1778.00,92.00,4180.00,147.00,46188.00,1227.00,1333.00,0.00,9349.00,204.00,0.00,25227.00,0.00,3585.00,0.00,0.00,0.00
1960:Q4,377478.00,63668.00,44153.00,208409.00,141378.00,20786.00,33407.00,12838.00,61248.00,377478.00,345984.00,219861.00,68607.00,55024.00,1252.00,1240.00,14093.00,1981.00,0.00,0.00,0.00,37.00,6693.00,0.00,5382.00,0.00,0.00,17401.00,377478.00,74732.00,33623.00,9647.00,3202.00,26678.00,1582.00,302746.00,8.00,207167.00,1912.00,94.00,4300.00,149.00,47002.00,1301.00,1450.00,0.00,9598.00,201.00,0.00,25915.00,0.00,3649.00,0.00,0.00,0.00
1961:Q1,377635.00,61810.00,44233.00,212253.00,143645.00,21424.00,34121.00,13063.00,59339.00,377635.00,348412.00,220584.00,68328.00,56904.00,1306.00,1290.00,11269.00,1477.00,0.00,0.00,0.00,13.00,5247.00,0.00,4532.00,0.00,0.00,17954.00,377635.00,73346.00,33818.00,7992.00,2594.00,27299.00,1643.00,304289.00,8.00,207853.00,2394.00,99.00,4292.00,153.00,47694.00,1369.00,1564.00,0.00,9184.00,201.00,0.00,25456.00,0.00,4022.00,0.00,0.00,0.00
1961:Q2,386678.00,63008.00,45917.00,217156.00,146603.00,21943.00,35173.00,13437.00,60597.00,386678.00,356559.00,226654.00,68435.00,58707.00,1360.00,1403.00,12337.00,1869.00,0.00,0.00,0.00,0.00,5149.00,0.00,5319.00,0.00,0.00,17782.00,386678.00,75533.00,35336.00,8574.00,2763.00,27148.00,1712.00,311145.00,1.00,212399.00,2545.00,104.00,4474.00,156.00,48464.00,1430.00,1680.00,0.00,9545.00,200.00,0.00,25665.00,0.00,4482.00,0.00,0.00,0.00
1961:Q3,393775.00,63898.00,46004.00,222791.00,150179.00,22790.00,36085.00,13737.00,61082.00,393775.00,362451.00,230869.00,68112.00,60612.00,1417.00,1441.00,12915.00,2124.00,0.00,0.00,0.00,9.00,5449.00,0.00,5333.00,0.00,0.00,18409.00,393775.00,76492.00,35408.00,8619.00,2798.00,27884.00,1783.00,317283.00,2.00,217427.00,2429.00,111.00,4596.00,157.00,49015.00,1491.00,1793.00,0.00,9996.00,244.00,0.00,25581.00,0.00,4441.00,0.00,0.00,0.00
1961:Q4,408417.00,68122.00,47891.00,228969.00,154027.00,23622.00,37403.00,13917.00,63435.00,408417.00,373840.00,237901.00,71282.00,61717.00,1474.00,1466.00,15372.00,2662.00,0.00,0.00,0.00,104.00,6350.00,0.00,6256.00,0.00,0.00,19205.00,408417.00,79063.00,36094.00,9650.00,3130.00,28340.00,1849.00,329354.00,15.00,225867.00,2400.00,121.00,4710.00,155.00,49936.00,1560.00,1896.00,0.00,10709.00,290.00,0.00,26972.00,0.00,4723.00,0.00,0.00,0.00
1962:Q1,409831.00,66909.00,47582.00,233302.00,156488.00,24218.00,38374.00,14222.00,62038.00,409831.00,376958.00,239141.00,71196.00,63516.00,1554.00,1551.00,12967.00,2151.00,0.00,0.00,0.00,44.00,5232.00,0.00,5540.00,0.00,0.00,19906.00,409831.00,78574.00,36277.00,8569.00,2777.00,29037.00,1914.00,331257.00,65.00,227482.00,2226.00,136.00,4708.00,154.00,50454.00,1634.00,1990.00,0.00,10565.00,312.00,0.00,27152.00,0.00,4379.00,0.00,0.00,0.00
1962:Q2,422814.00,68661.00,49286.00,239432.00,160237.00,24937.00,39584.00,14674.00,65435.00,422814.00,388620.00,246172.00,73147.00,65954.00,1635.00,1712.00,14129.00,2767.00,0.00,0.00,0.00,0.00,5987.00,0.00,5375.00,0.00,0.00,20065.00,422814.00,81594.00,37525.00,9450.00,3020.00,29620.00,1979.00,341220.00,33.00,235431.00,2038.00,155.00,4984.00,150.00,51114.00,1713.00,2074.00,0.00,11296.00,336.00,0.00,27895.00,0.00,4001.00,0.00,0.00,0.00
1962:Q3,432191.00,70053.00,49721.00,245791.00,164345.00,25769.00,40733.00,14944.00,66626.00,432191.00,397276.00,252328.00,73802.00,67699.00,1683.00,1764.00,15060.00,3046.00,0.00,0.00,0.00,34.00,6129.00,0.00,5851.00,0.00,0.00,19855.00,432191.00,82375.00,38068.00,9484.00,3019.00,29762.00,2042.00,349816.00,11.00,242061.00,2130.00,174.00,5178.00,144.00,51794.00,1794.00,2155.00,0.00,11601.00,373.00,0.00,28096.00,0.00,4305.00,0.00,0.00,0.00
1962:Q4,448315.00,75331.00,51202.00,252438.00,168307.00,26732.00,42206.00,15193.00,69344.00,448315.00,410383.00,259752.00,77625.00,69302.00,1734.00,1970.00,17633.00,3479.00,0.00,0.00,0.00,89.00,6999.00,0.00,7066.00,0.00,0.00,20299.00,448315.00,84324.00,38142.00,10444.00,3315.00,30323.00,2100.00,363991.00,1.00,252733.00,2222.00,189.00,5330.00,134.00,53136.00,1876.00,2242.00,0.00,11953.00,413.00,0.00,29198.00,0.00,4564.00,0.00,0.00,0.00
1963:Q1,450743.00,73087.00,51278.00,257443.00,171352.00,27382.00,43148.00,15561.00,68935.00,450743.00,415499.00,262568.00,77938.00,71203.00,1759.00,2031.00,14685.00,2514.00,0.00,0.00,0.00,63.00,6239.00,0.00,5869.00,0.00,0.00,20559.00,450743.00,83392.00,37860.00,9406.00,2966.00,31006.00,2154.00,367351.00,30.00,254942.00,2376.00,201.00,5354.00,131.00,53875.00,1957.00,2331.00,0.00,10934.00,453.00,0.00,30122.00,0.00,4645.00,0.00,0.00,0.00
1963:Q2,467931.00,76407.00,54661.00,264646.00,175801.00,28202.00,44492.00,16151.00,72217.00,467931.00,429677.00,271958.00,79858.00,74023.00,1786.00,2052.00,16918.00,3270.00,0.00,0.00,0.00,0.00,6830.00,0.00,6818.00,0.00,0.00,21336.00,467931.00,85816.00,39185.00,10135.00,3178.00,31116.00,2202.00,382115.00,0.00,265575.00,2544.00,210.00,5673.00,128.00,54785.00,2035.00,2420.00,0.00,11601.00,495.00,0.00,31226.00,0.00,5423.00,0.00,0.00,0.00
1963:Q3,480092.00,77862.00,55804.00,272064.00,180662.00,28994.00,45835.00,16573.00,74362.00,480092.00,439619.00,279337.00,80357.00,75981.00,1790.00,2154.00,18901.00,4024.00,0.00,0.00,0.00,0.00,7417.00,0.00,7460.00,0.00,0.00,21572.00,480092.00,86398.00,39325.00,10312.00,3224.00,31288.00,2249.00,393694.00,30.00,273658.00,2743.00,218.00,5873.00,126.00,55773.00,2119.00,2512.00,0.00,12411.00,509.00,0.00,31829.00,0.00,5893.00,0.00,0.00,0.00
1963:Q4,498492.00,83246.00,58120.00,279256.00,185106.00,30024.00,47304.00,16822.00,77870.00,498492.00,454984.00,288211.00,84802.00,77972.00,1796.00,2203.00,20951.00,4784.00,0.00,0.00,0.00,0.00,8428.00,0.00,7739.00,0.00,0.00,22557.00,498492.00,88485.00,39382.00,11405.00,3553.00,31848.00,2297.00,410007.00,32.00,285464.00,2724.00,231.00,6028.00,121.00,57199.00,2220.00,2612.00,0.00,13084.00,525.00,0.00,33672.00,0.00,6095.00,0.00,0.00,0.00
1964:Q1,503101.00,79857.00,60326.00,284877.00,188776.00,30936.00,47831.00,17334.00,78041.00,503101.00,461463.00,292001.00,85661.00,79809.00,1793.00,2199.00,18216.00,4168.00,0.00,0.00,0.00,0.00,7208.00,0.00,6840.00,0.00,0.00,23422.00,503101.00,89464.00,40727.00,10564.00,3266.00,32554.00,2353.00,413637.00,0.00,287117.00,2807.00,246.00,6082.00,120.00,58232.00,2357.00,2716.00,0.00,12668.00,551.00,0.00,34815.00,0.00,5926.00,0.00,0.00,0.00
1964:Q2,521919.00,86469.00,61435.00,292203.00,193368.00,32095.00,48672.00,18068.00,81812.00,521919.00,476692.00,301505.00,88449.00,82677.00,1787.00,2274.00,21044.00,4769.00,0.00,0.00,0.00,4.00,8416.00,0.00,7855.00,0.00,0.00,24183.00,521919.00,89899.00,39781.00,11105.00,3404.00,33196.00,2413.00,432020.00,0.00,301122.00,2868.00,264.00,6429.00,120.00,59400.00,2506.00,2822.00,0.00,13567.00,581.00,0.00,36414.00,0.00,5927.00,0.00,0.00,0.00
1964:Q3,532355.00,85537.00,62903.00,299773.00,198076.00,33313.00,49848.00,18536.00,84142.00,532355.00,486909.00,308222.00,89761.00,84749.00,1805.00,2372.00,20482.00,4837.00,0.00,0.00,0.00,134.00,7824.00,0.00,7687.00,0.00,0.00,24964.00,532355.00,92195.00,41040.00,11260.00,3437.00,33987.00,2471.00,440160.00,2.00,306924.00,2945.00,283.00,6700.00,120.00,60553.00,2640.00,2937.00,0.00,13762.00,602.00,0.00,36928.00,0.00,5764.00,0.00,0.00,0.00
1964:Q4,550530.00,91975.00,64169.00,307034.00,202335.00,34578.00,51179.00,18942.00,87352.00,550530.00,502079.00,317130.00,94392.00,86267.00,1826.00,2464.00,22221.00,5325.00,0.00,0.00,0.00,131.00,8388.00,0.00,8377.00,0.00,0.00,26230.00,550530.00,94576.00,41275.00,12365.00,3779.00,34633.00,2524.00,455954.00,30.00,319249.00,2841.00,301.00,6887.00,120.00,62292.00,2778.00,3070.00,0.00,14245.00,624.00,0.00,37907.00,0.00,5610.00,0.00,0.00,0.00
1965:Q1,559146.00,93352.00,65418.00,312731.00,205891.00,35384.00,51982.00,19474.00,87645.00,559146.00,511329.00,320497.00,98083.00,88376.00,1850.00,2523.00,20197.00,4747.00,0.00,0.00,0.00,27.00,7881.00,0.00,7542.00,0.00,0.00,27620.00,559146.00,94367.00,41419.00,11493.00,3495.00,35386.00,2574.00,464779.00,15.00,325376.00,2930.00,319.00,6994.00,124.00,63586.00,2919.00,3221.00,0.00,14052.00,676.00,0.00,38995.00,0.00,5572.00,0.00,0.00,0.00
1965:Q2,580224.00,99774.00,68197.00,320010.00,210329.00,36300.00,53197.00,20184.00,92243.00,580224.00,528172.00,329929.00,102183.00,91529.00,1876.00,2655.00,24285.00,5586.00,0.00,0.00,0.00,0.00,9726.00,0.00,8973.00,0.00,0.00,27767.00,580224.00,96273.00,41802.00,12125.00,3662.00,36062.00,2622.00,483951.00,11.00,339537.00,2844.00,338.00,7453.00,130.00,64766.00,3175.00,3389.00,0.00,15321.00,730.00,0.00,40665.00,0.00,5592.00,0.00,0.00,0.00
1965:Q3,589359.00,99148.00,68425.00,327395.00,215042.00,37243.00,54413.00,20697.00,94391.00,589359.00,538530.00,336667.00,103575.00,93708.00,1861.00,2719.00,23105.00,5802.00,0.00,0.00,0.00,129.00,10233.00,0.00,6941.00,0.00,0.00,27724.00,589359.00,96857.00,41843.00,12131.00,3670.00,36546.00,2667.00,492502.00,7.00,345314.00,2973.00,357.00,7705.00,137.00,65974.00,3298.00,3567.00,0.00,15802.00,797.00,0.00,41151.00,0.00,5420.00,0.00,0.00,0.00
1965:Q4,611279.00,107748.00,71532.00,334510.00,219449.00,38213.00,55661.00,21187.00,97489.00,611279.00,556215.00,345863.00,110136.00,95594.00,1845.00,2777.00,26776.00,5997.00,0.00,0.00,0.00,336.00,11706.00,0.00,8737.00,0.00,0.00,28288.00,611279.00,99908.00,42301.00,13314.00,4040.00,37540.00,2713.00,511371.00,41.00,359512.00,2683.00,374.00,7904.00,142.00,67691.00,3385.00,3746.00,0.00,16369.00,869.00,0.00,42669.00,0.00,5986.00,0.00,0.00,0.00
1966:Q1,617907.00,106267.00,73285.00,341259.00,223358.00,39187.00,57017.00,21697.00,97096.00,617907.00,565059.00,348849.00,112566.00,98991.00,1830.00,2823.00,24299.00,5687.00,0.00,0.00,0.00,238.00,10895.00,0.00,7479.00,0.00,0.00,28549.00,617907.00,99409.00,41956.00,12265.00,3701.00,38729.00,2758.00,518498.00,20.00,362859.00,2758.00,390.00,7979.00,140.00,69093.00,3508.00,3936.00,0.00,17306.00,949.00,0.00,43423.00,0.00,6137.00,0.00,0.00,0.00
1966:Q2,640630.00,115639.00,76362.00,348424.00,227232.00,40075.00,58796.00,22321.00,100205.00,640630.00,583942.00,358365.00,118663.00,102189.00,1815.00,2910.00,27733.00,6783.00,0.00,0.00,0.00,0.00,12095.00,0.00,8855.00,0.00,0.00,28955.00,640630.00,102024.00,43122.00,12891.00,3830.00,39376.00,2805.00,538606.00,5.00,377602.00,2738.00,404.00,8385.00,140.00,70682.00,3591.00,4143.00,0.00,19387.00,1033.00,0.00,44193.00,0.00,6303.00,0.00,0.00,0.00
1966:Q3,645068.00,112920.00,77087.00,354072.00,230272.00,40708.00,60317.00,22775.00,100989.00,645068.00,590721.00,362093.00,119907.00,103714.00,1800.00,3207.00,25408.00,7175.00,0.00,0.00,0.00,401.00,10585.00,0.00,7247.00,0.00,0.00,28939.00,645068.00,103912.00,43937.00,12560.00,3725.00,40842.00,2848.00,541156.00,15.00,377918.00,2895.00,418.00,8679.00,140.00,72222.00,3710.00,4344.00,0.00,20369.00,1167.00,0.00,43374.00,0.00,5905.00,0.00,0.00,0.00
1966:Q4,660030.00,119155.00,78916.00,358537.00,232742.00,41275.00,61468.00,23052.00,103422.00,660030.00,602686.00,368393.00,123828.00,105278.00,1783.00,3404.00,27688.00,6935.00,0.00,0.00,0.00,103.00,11074.00,0.00,9576.00,0.00,0.00,29656.00,660030.00,106387.00,44552.00,13511.00,3988.00,41448.00,2888.00,553643.00,0.00,386157.00,3166.00,433.00,8888.00,143.00,73726.00,3911.00,4516.00,0.00,20502.00,1314.00,0.00,44937.00,0.00,5950.00,0.00,0.00,0.00
1967:Q1,660536.00,116270.00,81056.00,361862.00,234221.00,41968.00,62233.00,23440.00,101348.00,660536.00,605660.00,368006.00,125358.00,107112.00,1770.00,3414.00,24183.00,5175.00,0.00,0.00,0.00,56.00,9285.00,0.00,9667.00,0.00,0.00,30693.00,660536.00,107823.00,45721.00,12509.00,3654.00,43017.00,2922.00,552713.00,10.00,384209.00,3292.00,448.00,8866.00,171.00,74865.00,3991.00,4681.00,0.00,19438.00,1480.00,0.00,44783.00,0.00,6479.00,0.00,0.00,0.00
1967:Q2,674927.00,120912.00,82437.00,367447.00,237076.00,42801.00,63577.00,23993.00,104131.00,674927.00,619392.00,375100.00,128539.00,110534.00,1755.00,3464.00,24318.00,4302.00,0.00,0.00,0.00,0.00,10311.00,0.00,9705.00,0.00,0.00,31217.00,674927.00,110168.00,46643.00,13006.00,3730.00,43841.00,2948.00,564759.00,15.00,394412.00,3348.00,464.00,9251.00,176.00,75796.00,3976.00,4847.00,0.00,19040.00,1660.00,0.00,44791.00,0.00,6983.00,0.00,0.00,0.00
1967:Q3,684226.00,119677.00,84240.00,374765.00,241547.00,43748.00,64924.00,24546.00,105544.00,684226.00,626597.00,380913.00,127532.00,112844.00,1738.00,3570.00,25909.00,4122.00,0.00,0.00,0.00,497.00,10233.00,0.00,11057.00,0.00,0.00,31720.00,684226.00,112144.00,47453.00,12806.00,3627.00,45283.00,2975.00,572082.00,0.00,399300.00,3434.00,480.00,9489.00,181.00,76507.00,4059.00,4925.00,0.00,19477.00,1821.00,0.00,44487.00,0.00,7922.00,0.00,0.00,0.00
1967:Q4,713403.00,135323.00,87458.00,382055.00,245974.00,44815.00,66249.00,25017.00,108567.00,713403.00,653311.00,402322.00,130079.00,115611.00,1720.00,3579.00,27879.00,4386.00,0.00,0.00,0.00,36.00,10712.00,0.00,12745.00,0.00,0.00,32213.00,713403.00,115450.00,48766.00,13793.00,3872.00,46016.00,3003.00,597953.00,0.00,420455.00,3446.00,494.00,9671.00,185.00,77575.00,4083.00,5003.00,0.00,20434.00,1988.00,0.00,45455.00,0.00,9164.00,0.00,0.00,0.00
1968:Q1,708349.00,124088.00,88968.00,388021.00,249378.00,45477.00,67543.00,25623.00,107272.00,708349.00,650827.00,393697.00,134279.00,117513.00,1702.00,3636.00,24702.00,4269.00,0.00,0.00,0.00,62.00,8707.00,145.00,11519.00,0.00,0.00,32820.00,708349.00,115819.00,48881.00,12730.00,3592.00,47572.00,3044.00,592530.00,15.00,412541.00,3618.00,499.00,9714.00,188.00,78309.00,4091.00,5148.00,0.00,21439.00,2169.00,0.00,46055.00,151.00,8593.00,0.00,0.00,0.00
1968:Q2,733314.00,130884.00,95608.00,395418.00,253675.00,46242.00,69114.00,26387.00,111404.00,733314.00,671707.00,406261.00,138539.00,121388.00,1684.00,3835.00,28472.00,4889.00,0.00,0.00,0.00,56.00,10278.00,287.00,12962.00,0.00,0.00,33135.00,733314.00,119842.00,51479.00,13144.00,3677.00,48452.00,3090.00,613472.00,13.00,426260.00,3719.00,505.00,10231.00,190.00,79118.00,4050.00,5269.00,0.00,22879.00,2359.00,0.00,47982.00,383.00,10514.00,0.00,0.00,0.00
1968:Q3,746679.00,131284.00,98148.00,403087.00,258183.00,47141.00,70927.00,26836.00,114160.00,746679.00,681976.00,413578.00,139161.00,123689.00,1670.00,3878.00,31107.00,5026.00,0.00,0.00,0.00,294.00,9889.00,495.00,15403.00,0.00,0.00,33596.00,746679.00,123084.00,53888.00,12687.00,3532.00,49836.00,3141.00,623595.00,0.00,433957.00,3864.00,511.00,10638.00,192.00,79949.00,4071.00,5275.00,0.00,23254.00,2444.00,0.00,48142.00,539.00,10759.00,0.00,0.00,0.00
1968:Q4,773911.00,142036.00,101170.00,411381.00,262934.00,48251.00,73019.00,27177.00,119324.00,773911.00,705721.00,426692.00,146800.00,126582.00,1654.00,3993.00,34326.00,5259.00,0.00,0.00,0.00,283.00,11819.00,766.00,16199.00,0.00,0.00,33864.00,773911.00,125737.00,53960.00,13896.00,3852.00,50834.00,3195.00,648174.00,0.00,452131.00,3850.00,517.00,11007.00,193.00,81281.00,4067.00,5362.00,0.00,23783.00,2526.00,0.00,50622.00,830.00,12005.00,0.00,0.00,0.00
1969:Q1,774173.00,140493.00,98729.00,416067.00,264857.00,49196.00,74367.00,27647.00,118884.00,774173.00,710472.00,425240.00,149814.00,129653.00,1635.00,4130.00,29349.00,5331.00,0.00,0.00,0.00,0.00,10803.00,982.00,12233.00,0.00,0.00,34352.00,774173.00,120470.00,48804.00,12925.00,3530.00,51968.00,3243.00,653703.00,0.00,455271.00,4130.00,548.00,11225.00,195.00,82107.00,4079.00,5426.00,0.00,24921.00,2616.00,0.00,51572.00,992.00,10271.00,350.00,0.00,0.00
1969:Q2,803295.00,148831.00,106565.00,424224.00,269738.00,50352.00,75792.00,28342.00,123675.00,803295.00,734067.00,436394.00,157072.00,134786.00,1610.00,4205.00,34021.00,6413.00,0.00,0.00,0.00,0.00,13021.00,1078.00,13509.00,0.00,0.00,35207.00,803295.00,123604.00,50309.00,13326.00,3667.00,53000.00,3302.00,679691.00,0.00,471746.00,4424.00,593.00,11958.00,196.00,83219.00,4069.00,5475.00,0.00,27094.00,2701.00,0.00,55438.00,1275.00,9841.00,1662.00,0.00,0.00
1969:Q3,812198.00,145958.00,108380.00,432047.00,274512.00,51512.00,77271.00,28752.00,125813.00,812198.00,746083.00,441993.00,159611.00,138610.00,1598.00,4271.00,30760.00,7940.00,0.00,0.00,0.00,0.00,11103.00,1154.00,10563.00,0.00,0.00,35355.00,812198.00,122106.00,47642.00,13251.00,3685.00,54096.00,3432.00,690092.00,0.00,474776.00,4896.00,642.00,12448.00,197.00,84550.00,4134.00,5550.00,0.00,29856.00,2949.00,0.00,56522.00,1498.00,8216.00,3858.00,0.00,0.00
1969:Q4,840694.00,155409.00,116143.00,439911.00,278689.00,53176.00,79051.00,28995.00,129231.00,840694.00,768012.00,453272.00,166523.00,141905.00,1573.00,4739.00,36664.00,9289.00,0.00,0.00,0.00,0.00,12817.00,1385.00,13173.00,0.00,0.00,36018.00,840694.00,129085.00,51888.00,14263.00,4012.00,55270.00,3652.00,711609.00,0.00,487264.00,5283.00,685.00,12759.00,200.00,85852.00,4216.00,5575.00,0.00,32960.00,3204.00,0.00,59182.00,2007.00,8476.00,3946.00,0.00,0.00
1970:Q1,837834.00,148525.00,119666.00,442980.00,280971.00,53467.00,78950.00,29592.00,126663.00,837834.00,767905.00,445469.00,181106.00,135076.00,1556.00,4698.00,33575.00,9745.00,0.00,0.00,0.00,0.00,11674.00,1224.00,10932.00,0.00,0.00,36354.00,837834.00,125847.00,48591.00,13199.00,3814.00,56165.00,4078.00,711987.00,40.00,479820.00,6191.00,715.00,12706.00,208.00,87217.00,4230.00,5650.00,0.00,35561.00,3499.00,0.00,59660.00,2355.00,7298.00,6837.00,0.00,0.00
1970:Q2,858058.00,154379.00,123663.00,450595.00,284366.00,55054.00,81253.00,29922.00,129421.00,858058.00,785781.00,451801.00,187855.00,140021.00,1532.00,4572.00,35431.00,10236.00,0.00,0.00,0.00,0.00,14194.00,1345.00,9656.00,0.00,0.00,36846.00,858058.00,127853.00,49323.00,13497.00,3978.00,56868.00,4187.00,730205.00,90.00,490576.00,6281.00,738.00,13248.00,220.00,88418.00,4213.00,5808.00,0.00,37735.00,3713.00,0.00,61806.00,2744.00,6532.00,8083.00,0.00,0.00
1970:Q3,871326.00,157302.00,122285.00,460315.00,288349.00,57668.00,84057.00,30241.00,131424.00,871326.00,796992.00,458431.00,187596.00,144693.00,1506.00,4766.00,37329.00,10525.00,0.00,0.00,0.00,0.00,14178.00,1414.00,11212.00,0.00,0.00,37005.00,871326.00,131666.00,51592.00,13887.00,4180.00,57654.00,4353.00,739660.00,0.00,498450.00,7386.00,759.00,13672.00,233.00,89285.00,4193.00,5789.00,0.00,39610.00,4132.00,0.00,60976.00,3152.00,6795.00,5228.00,0.00,0.00
1970:Q4,890805.00,163900.00,123881.00,469364.00,292240.00,60129.00,86503.00,30492.00,133660.00,890805.00,811529.00,467163.00,189495.00,148557.00,1498.00,4816.00,41324.00,10615.00,0.00,0.00,0.00,0.00,14977.00,1579.00,14153.00,0.00,0.00,37952.00,890805.00,135800.00,53672.00,14876.00,4529.00,58154.00,4569.00,755005.00,0.00,510652.00,8068.00,783.00,13786.00,245.00,90439.00,4171.00,5920.00,0.00,40665.00,4755.00,0.00,61475.00,3904.00,7188.00,2954.00,0.00,0.00
1971:Q1,895599.00,159626.00,124717.00,477184.00,296349.00,62312.00,87700.00,30823.00,134072.00,895599.00,817978.00,469638.00,189254.00,152693.00,1484.00,4909.00,39044.00,9690.00,0.00,0.00,0.00,0.00,14756.00,1870.00,12728.00,0.00,0.00,38577.00,895599.00,135633.00,51838.00,15887.00,4431.00,58602.00,4875.00,759966.00,0.00,512290.00,7881.00,809.00,13813.00,245.00,90829.00,4080.00,6019.00,0.00,40310.00,5957.00,0.00,63251.00,4322.00,7302.00,2858.00,0.00,0.00
1971:Q2,921503.00,166639.00,125818.00,490134.00,303206.00,65052.00,90090.00,31786.00,138912.00,921503.00,844447.00,483064.00,194718.00,160361.00,1463.00,4841.00,37755.00,7241.00,0.00,0.00,0.00,0.00,16306.00,2032.00,12176.00,0.00,0.00,39301.00,921503.00,137772.00,52070.00,16379.00,4816.00,59476.00,5031.00,783731.00,0.00,531719.00,7855.00,863.00,14513.00,240.00,91040.00,3914.00,6170.00,0.00,38618.00,7572.00,0.00,65035.00,4975.00,8159.00,3058.00,0.00,0.00
1971:Q3,941710.00,167620.00,126405.00,504220.00,311379.00,67399.00,93327.00,32115.00,143465.00,941710.00,864771.00,495414.00,197114.00,165708.00,1445.00,5090.00,36481.00,7637.00,0.00,0.00,0.00,0.00,14339.00,2248.00,12257.00,0.00,0.00,40458.00,941710.00,137205.00,50141.00,16633.00,5082.00,59991.00,5358.00,804505.00,0.00,546723.00,8337.00,890.00,15145.00,233.00,91563.00,3768.00,6178.00,0.00,40656.00,8369.00,0.00,65383.00,5515.00,8785.00,2960.00,0.00,0.00
