1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q1,5052.00,96.00,2746.00,2598.00,-800.00,484.00,40.00,-112.00,8206.00,4274.00,2912.00,1200.00,-272.00,104.00,0.00,-12.00,-3154.00
1952:Q2,-8956.00,104.00,-9532.00,340.00,-400.00,504.00,0.00,28.00,-1542.00,-2226.00,-652.00,1600.00,-372.00,100.00,0.00,8.00,-7414.00
1952:Q3,8788.00,104.00,6900.00,772.00,400.00,480.00,160.00,-28.00,10054.00,6894.00,1624.00,800.00,512.00,96.00,0.00,128.00,-1266.00
1952:Q4,3512.00,92.00,2948.00,-1384.00,1100.00,492.00,40.00,224.00,6994.00,6666.00,-428.00,204.00,428.00,92.00,0.00,32.00,-3482.00
1953:Q1,8160.00,84.00,2540.00,4652.00,432.00,512.00,40.00,-100.00,6883.00,1423.00,4212.00,1304.00,-120.00,76.00,0.00,-12.00,1277.00
1953:Q2,720.00,76.00,384.00,392.00,-816.00,500.00,40.00,144.00,-541.00,391.00,-592.00,-348.00,48.00,64.00,0.00,-104.00,1261.00
1953:Q3,1884.00,76.00,128.00,1208.00,-48.00,524.00,40.00,-44.00,-1777.00,-2569.00,428.00,96.00,212.00,52.00,0.00,4.00,3661.00
1953:Q4,-8696.00,80.00,-4180.00,-4788.00,-268.00,536.00,0.00,-76.00,-6489.00,-2625.00,-2468.00,-1200.00,-124.00,40.00,0.00,-112.00,-2207.00
1954:Q1,6220.00,84.00,-548.00,5440.00,652.00,560.00,40.00,-8.00,3051.00,-1505.00,3456.00,1252.00,-192.00,44.00,0.00,-4.00,3169.00
1954:Q2,464.00,88.00,-304.00,1420.00,-1404.00,572.00,0.00,92.00,1311.00,3059.00,-1280.00,-444.00,24.00,52.00,0.00,-100.00,-847.00
1954:Q3,5900.00,88.00,2080.00,3400.00,-416.00,592.00,40.00,116.00,2699.00,939.00,556.00,768.00,392.00,60.00,0.00,-16.00,3201.00
1954:Q4,4724.00,84.00,6924.00,-3308.00,232.00,596.00,0.00,196.00,8047.00,11047.00,-2968.00,-652.00,476.00,76.00,0.00,68.00,-3323.00
1955:Q1,10100.00,80.00,6120.00,3756.00,-584.00,632.00,0.00,96.00,10203.00,6719.00,3124.00,108.00,32.00,80.00,0.00,140.00,-103.00
1955:Q2,8920.00,72.00,6704.00,1716.00,-300.00,644.00,0.00,84.00,6995.00,9107.00,-1916.00,-556.00,368.00,88.00,0.00,-96.00,1925.00
1955:Q3,15684.00,80.00,12772.00,2160.00,84.00,652.00,0.00,-64.00,10503.00,9683.00,180.00,-416.00,832.00,96.00,0.00,128.00,5181.00
1955:Q4,10056.00,100.00,10616.00,-1924.00,468.00,656.00,40.00,100.00,11379.00,12903.00,-2456.00,180.00,708.00,104.00,0.00,-60.00,-1323.00
1956:Q1,5884.00,128.00,580.00,4188.00,24.00,676.00,40.00,248.00,4783.00,771.00,4020.00,-32.00,-124.00,116.00,0.00,32.00,1101.00
1956:Q2,9920.00,156.00,7920.00,992.00,52.00,692.00,40.00,68.00,9467.00,7475.00,324.00,1000.00,384.00,128.00,0.00,156.00,453.00
1956:Q3,6848.00,164.00,3620.00,2004.00,260.00,696.00,0.00,104.00,9639.00,7087.00,1924.00,-92.00,428.00,140.00,0.00,152.00,-2791.00
1956:Q4,2820.00,148.00,4372.00,-3492.00,964.00,704.00,0.00,124.00,5751.00,7395.00,-1692.00,-572.00,368.00,156.00,0.00,96.00,-2931.00
1957:Q1,5004.00,132.00,636.00,3832.00,-296.00,744.00,40.00,-84.00,4889.00,861.00,3504.00,420.00,-128.00,156.00,0.00,76.00,115.00
1957:Q2,864.00,124.00,1356.00,-1312.00,-220.00,756.00,0.00,160.00,1197.00,3189.00,-3072.00,732.00,-48.00,160.00,0.00,236.00,-333.00
1957:Q3,2552.00,124.00,1524.00,324.00,-208.00,764.00,0.00,24.00,1393.00,1885.00,-648.00,-280.00,220.00,160.00,0.00,56.00,1159.00
1957:Q4,3760.00,132.00,2880.00,-1700.00,1368.00,788.00,40.00,252.00,-2571.00,573.00,-2476.00,-1228.00,400.00,164.00,0.00,-4.00,6331.00
1958:Q1,-3876.00,144.00,-9272.00,5052.00,-408.00,812.00,0.00,-204.00,4943.00,1023.00,4956.00,-552.00,-520.00,156.00,0.00,-120.00,-8819.00
1958:Q2,8224.00,148.00,6840.00,500.00,-244.00,828.00,0.00,152.00,2003.00,2679.00,-404.00,-708.00,280.00,148.00,0.00,8.00,6221.00
1958:Q3,12760.00,152.00,10292.00,1156.00,272.00,860.00,40.00,-12.00,15459.00,13683.00,1432.00,-520.00,668.00,144.00,0.00,52.00,-2699.00
1958:Q4,8456.00,160.00,9148.00,-2412.00,632.00,884.00,0.00,44.00,6535.00,8231.00,-1988.00,-372.00,616.00,144.00,0.00,-96.00,1921.00
1959:Q1,10876.00,1004.00,6472.00,2696.00,-120.00,908.00,40.00,-124.00,7149.00,3809.00,2808.00,-124.00,280.00,160.00,0.00,216.00,3727.00
1959:Q2,9612.00,160.00,8732.00,24.00,-492.00,908.00,0.00,280.00,8705.00,9929.00,-2092.00,-20.00,468.00,176.00,0.00,244.00,907.00
1959:Q3,2028.00,200.00,-352.00,1268.00,-40.00,896.00,40.00,16.00,3701.00,2777.00,368.00,60.00,248.00,192.00,0.00,56.00,-1673.00
1959:Q4,2992.00,200.00,6412.00,-5628.00,936.00,872.00,0.00,200.00,897.00,5669.00,-5656.00,80.00,508.00,204.00,0.00,92.00,2095.00
1960:Q1,13920.00,160.00,5800.00,6212.00,820.00,888.00,40.00,0.00,15548.00,7832.00,6084.00,400.00,344.00,192.00,0.00,696.00,-1628.00
1960:Q2,4360.00,200.00,4576.00,-1436.00,-444.00,920.00,0.00,544.00,544.00,3708.00,-2980.00,-204.00,244.00,168.00,0.00,-392.00,3816.00
1960:Q3,5156.00,-80.00,2912.00,1012.00,324.00,932.00,0.00,56.00,7812.00,6432.00,944.00,-40.00,360.00,140.00,0.00,-24.00,-2656.00
1960:Q4,-684.00,160.00,-1892.00,-3460.00,1124.00,940.00,0.00,2444.00,-176.00,1728.00,-2768.00,116.00,408.00,108.00,0.00,232.00,-508.00
1961:Q1,7112.00,0.00,2808.00,3972.00,340.00,992.00,40.00,-1040.00,7015.00,1951.00,4708.00,8.00,-12.00,80.00,0.00,280.00,97.00
1961:Q2,6052.00,400.00,6324.00,-1444.00,-932.00,972.00,0.00,732.00,11067.00,11967.00,-1240.00,-172.00,328.00,60.00,0.00,124.00,-5015.00
1961:Q3,8304.00,120.00,6140.00,-160.00,616.00,980.00,0.00,608.00,10423.00,8691.00,936.00,196.00,480.00,48.00,0.00,72.00,-2119.00
1961:Q4,3872.00,240.00,5732.00,-4272.00,1012.00,1036.00,0.00,124.00,7015.00,8959.00,-3004.00,-88.00,432.00,48.00,0.00,668.00,-3143.00
1962:Q1,9828.00,200.00,5572.00,2800.00,-832.00,1032.00,40.00,1016.00,7017.00,3481.00,3280.00,16.00,32.00,168.00,0.00,40.00,2811.00
1962:Q2,2996.00,120.00,2896.00,-1088.00,220.00,1032.00,0.00,-184.00,3353.00,6009.00,-2624.00,164.00,232.00,232.00,0.00,-660.00,-357.00
1962:Q3,13048.00,80.00,9616.00,700.00,676.00,1056.00,40.00,880.00,11029.00,9281.00,340.00,260.00,716.00,240.00,0.00,192.00,2019.00
1962:Q4,-6068.00,120.00,-6240.00,-2864.00,1668.00,1068.00,0.00,180.00,-2031.00,-695.00,-2764.00,476.00,312.00,192.00,0.00,448.00,-4037.00
1963:Q1,12420.00,200.00,9716.00,1980.00,-348.00,1108.00,20.00,-256.00,10513.00,6337.00,2748.00,1148.00,140.00,152.00,0.00,-12.00,1907.00
1963:Q2,3764.00,320.00,6480.00,-1840.00,-824.00,1116.00,0.00,-1488.00,7829.00,7981.00,-1788.00,1012.00,284.00,124.00,0.00,216.00,-4065.00
1963:Q3,9596.00,360.00,8568.00,-1372.00,668.00,1160.00,20.00,192.00,6373.00,5341.00,-20.00,-180.00,600.00,116.00,0.00,516.00,3223.00
1963:Q4,3980.00,360.00,4808.00,-4328.00,1824.00,1184.00,0.00,132.00,4389.00,5573.00,-2944.00,-40.00,832.00,132.00,0.00,836.00,-409.00
1964:Q1,4272.00,520.00,436.00,2088.00,-452.00,1204.00,40.00,436.00,6149.00,2929.00,2452.00,252.00,-268.00,144.00,0.00,640.00,-1877.00
1964:Q2,6592.00,200.00,6516.00,-80.00,-1416.00,1248.00,0.00,124.00,8209.00,8117.00,-480.00,80.00,436.00,152.00,0.00,-96.00,-1617.00
1964:Q3,13788.00,200.00,10648.00,-36.00,696.00,1264.00,40.00,976.00,16121.00,13853.00,828.00,408.00,816.00,156.00,0.00,60.00,-2333.00
1964:Q4,10520.00,120.00,10312.00,-4196.00,1552.00,1276.00,0.00,1456.00,9493.00,9269.00,-2220.00,236.00,1144.00,156.00,0.00,908.00,1027.00
1965:Q1,16516.00,280.00,13256.00,2328.00,28.00,1300.00,40.00,-716.00,12105.00,9233.00,2084.00,144.00,252.00,156.00,0.00,236.00,4411.00
1965:Q2,11840.00,440.00,10288.00,-532.00,192.00,1352.00,0.00,100.00,14913.00,14225.00,-1444.00,512.00,668.00,152.00,0.00,800.00,-3073.00
1965:Q3,14284.00,440.00,11128.00,404.00,1036.00,1420.00,40.00,-184.00,16817.00,14069.00,884.00,792.00,884.00,164.00,0.00,24.00,-2533.00
1965:Q4,12524.00,520.00,12344.00,-3512.00,1032.00,1452.00,0.00,688.00,14937.00,15553.00,-2228.00,104.00,1248.00,188.00,0.00,72.00,-2413.00
1966:Q1,12532.00,440.00,9628.00,644.00,-52.00,1480.00,40.00,352.00,14721.00,10649.00,2788.00,832.00,52.00,220.00,0.00,180.00,-2189.00
1966:Q2,9332.00,360.00,9516.00,-2672.00,380.00,1512.00,40.00,196.00,18861.00,18529.00,-1468.00,652.00,536.00,248.00,0.00,364.00,-9529.00
1966:Q3,14256.00,280.00,10428.00,552.00,1084.00,1540.00,40.00,332.00,19841.00,13209.00,2620.00,1884.00,900.00,264.00,0.00,964.00,-5585.00
1966:Q4,7848.00,320.00,7008.00,-3336.00,1720.00,1608.00,40.00,488.00,9293.00,7117.00,-1696.00,1628.00,1076.00,264.00,0.00,904.00,-1445.00
1967:Q1,1312.00,400.00,-1068.00,-220.00,-432.00,1668.00,40.00,924.00,5241.00,-347.00,2636.00,1988.00,-528.00,264.00,0.00,1228.00,-3929.00
1967:Q2,9568.00,680.00,5032.00,-76.00,1672.00,1676.00,40.00,544.00,11693.00,8009.00,-672.00,2268.00,576.00,268.00,0.00,1244.00,-2125.00
1967:Q3,12052.00,720.00,7784.00,1584.00,44.00,1676.00,40.00,204.00,13901.00,9273.00,1760.00,1244.00,812.00,276.00,0.00,536.00,-1849.00
1967:Q4,15176.00,720.00,11948.00,-1652.00,1324.00,1728.00,40.00,1068.00,17105.00,16385.00,-1600.00,372.00,1452.00,304.00,0.00,192.00,-1929.00
1968:Q1,4156.00,560.00,12144.00,-9080.00,-1132.00,1788.00,40.00,-164.00,5852.00,8596.00,-4516.00,908.00,-320.00,284.00,0.00,900.00,-1696.00
1968:Q2,21396.00,240.00,18188.00,644.00,-616.00,1860.00,80.00,1000.00,25096.00,21516.00,-628.00,728.00,1132.00,280.00,0.00,2068.00,-3700.00
1968:Q3,25812.00,760.00,20272.00,2368.00,196.00,1896.00,80.00,240.00,24784.00,19728.00,2108.00,244.00,1452.00,296.00,0.00,956.00,1028.00
1968:Q4,18300.00,640.00,15184.00,-2352.00,1488.00,1940.00,40.00,1360.00,27316.00,24260.00,-2432.00,420.00,1524.00,340.00,0.00,3204.00,-9016.00
1969:Q1,18148.00,560.00,16096.00,900.00,-1372.00,1984.00,40.00,-60.00,20788.00,16276.00,2408.00,1744.00,292.00,384.00,0.00,-316.00,-2640.00
1969:Q2,24624.00,680.00,19700.00,1712.00,-136.00,2032.00,80.00,556.00,29980.00,25672.00,352.00,1412.00,1324.00,432.00,0.00,788.00,-5356.00
1969:Q3,25580.00,640.00,21536.00,2104.00,-644.00,2044.00,80.00,-180.00,31168.00,26348.00,1440.00,1052.00,1480.00,448.00,0.00,400.00,-5588.00
1969:Q4,25340.00,800.00,20684.00,-2148.00,1840.00,2036.00,80.00,2048.00,24852.00,22996.00,-2380.00,-532.00,1860.00,424.00,0.00,2484.00,488.00
1970:Q1,15896.00,640.00,12092.00,84.00,-660.00,2088.00,40.00,1612.00,10825.00,9897.00,884.00,-672.00,-68.00,452.00,0.00,332.00,5071.00
1970:Q2,13888.00,480.00,12008.00,780.00,-2128.00,2124.00,40.00,584.00,8893.00,9509.00,-1884.00,-776.00,772.00,464.00,0.00,808.00,4995.00
1970:Q3,8712.00,800.00,5780.00,-160.00,-480.00,2244.00,0.00,528.00,5393.00,5069.00,-1768.00,-648.00,668.00,476.00,0.00,1596.00,3319.00
1970:Q4,1388.00,640.00,1584.00,-3416.00,-884.00,2292.00,40.00,1132.00,9873.00,9297.00,-3180.00,-1012.00,1116.00,496.00,0.00,3156.00,-8485.00
1971:Q1,24768.00,760.00,14484.00,6608.00,-8.00,2328.00,40.00,556.00,4539.00,-1041.00,6840.00,-1744.00,284.00,292.00,0.00,-92.00,20229.00
1971:Q2,7460.00,600.00,7416.00,-2044.00,-1572.00,2384.00,40.00,636.00,8259.00,12631.00,-724.00,-3440.00,552.00,112.00,0.00,-872.00,-799.00
1971:Q3,13600.00,1280.00,10400.00,-660.00,-316.00,2396.00,80.00,420.00,15363.00,14999.00,1512.00,-944.00,892.00,200.00,0.00,-1296.00,-1763.00
1971:Q4,20728.00,880.00,22356.00,-3092.00,-2596.00,2468.00,80.00,632.00,24827.00,23059.00,-1628.00,-688.00,1988.00,560.00,0.00,1536.00,-4099.00
1972:Q1,31724.00,640.00,28644.00,900.00,-1132.00,2504.00,80.00,88.00,24870.00,22206.00,2052.00,16.00,92.00,936.00,0.00,-432.00,6854.00
1972:Q2,11464.00,680.00,7892.00,2136.00,-1732.00,2484.00,80.00,-76.00,13286.00,9274.00,752.00,40.00,812.00,1336.00,0.00,1072.00,-1822.00
1972:Q3,30900.00,720.00,23724.00,2808.00,968.00,2528.00,80.00,72.00,24534.00,18838.00,2248.00,-692.00,2024.00,1380.00,0.00,736.00,6366.00
1972:Q4,40048.00,1320.00,32440.00,-1264.00,2700.00,2624.00,80.00,2148.00,56994.00,55306.00,-2464.00,-2640.00,2888.00,1072.00,0.00,2832.00,-16946.00
1973:Q1,42984.00,160.00,38804.00,1832.00,-984.00,2680.00,40.00,452.00,46714.00,41002.00,1880.00,440.00,1136.00,832.00,0.00,1424.00,-3730.00
1973:Q2,49500.00,1200.00,41432.00,3592.00,268.00,2712.00,40.00,256.00,41998.00,33106.00,2052.00,1332.00,3044.00,672.00,0.00,1792.00,7502.00
1973:Q3,33616.00,720.00,23160.00,3744.00,964.00,2784.00,40.00,2204.00,47906.00,40326.00,2492.00,-392.00,2672.00,564.00,0.00,2244.00,-14290.00
1973:Q4,63896.00,840.00,49032.00,4264.00,2912.00,2908.00,40.00,3900.00,58874.00,49062.00,2840.00,-284.00,4456.00,504.00,0.00,2296.00,5022.00
1974:Q1,49608.00,1040.00,31160.00,9056.00,-1204.00,3084.00,80.00,6392.00,49136.00,39108.00,5816.00,836.00,1104.00,616.00,0.00,1656.00,472.00
1974:Q2,54020.00,1720.00,39484.00,6552.00,484.00,3296.00,80.00,2404.00,63252.00,53336.00,4368.00,896.00,2920.00,500.00,0.00,1232.00,-9232.00
1974:Q3,35460.00,720.00,27264.00,616.00,2112.00,3412.00,80.00,1256.00,28088.00,20920.00,756.00,1428.00,2444.00,484.00,0.00,2056.00,7372.00
1974:Q4,7320.00,1120.00,7904.00,-3804.00,-3616.00,3496.00,80.00,2140.00,1760.00,13660.00,-2132.00,832.00,-14620.00,540.00,0.00,3480.00,5560.00
1975:Q1,-14876.00,188.00,-15240.00,1468.00,-4360.00,3740.00,80.00,-752.00,-6161.00,-11173.00,1620.00,388.00,-884.00,648.00,0.00,3240.00,-8715.00
1975:Q2,4192.00,412.00,-4336.00,1768.00,1688.00,3688.00,80.00,892.00,13767.00,6947.00,1476.00,2088.00,764.00,708.00,0.00,1784.00,-9575.00
1975:Q3,57368.00,724.00,46628.00,1524.00,2628.00,3808.00,80.00,1976.00,43555.00,37323.00,1116.00,1564.00,2700.00,668.00,0.00,184.00,13813.00
1975:Q4,21004.00,656.00,11616.00,488.00,3140.00,3976.00,80.00,1048.00,43267.00,35739.00,840.00,720.00,2976.00,568.00,0.00,2424.00,-22263.00
1976:Q1,18540.00,552.00,5800.00,2468.00,6064.00,4096.00,80.00,-520.00,35898.00,29126.00,-36.00,16.00,-544.00,1028.00,0.00,6308.00,-17358.00
1976:Q2,39684.00,-232.00,27968.00,3776.00,3368.00,3992.00,80.00,732.00,48430.00,42618.00,496.00,1532.00,2372.00,1228.00,0.00,184.00,-8746.00
1976:Q3,44568.00,352.00,32136.00,2980.00,6700.00,3948.00,80.00,-1628.00,36586.00,25186.00,1828.00,408.00,2040.00,1308.00,0.00,5816.00,7982.00
1976:Q4,22192.00,-24.00,9780.00,2784.00,4224.00,3940.00,80.00,1408.00,36606.00,27098.00,2904.00,-140.00,3036.00,1276.00,0.00,2432.00,-14414.00
1977:Q1,57500.00,428.00,43148.00,6224.00,4132.00,4084.00,80.00,-596.00,48220.00,45240.00,116.00,-724.00,1340.00,1260.00,0.00,988.00,9280.00
1977:Q2,40708.00,160.00,29084.00,4900.00,3108.00,4204.00,80.00,-828.00,39156.00,31756.00,3792.00,-740.00,2372.00,1268.00,0.00,708.00,1552.00
1977:Q3,37844.00,152.00,29760.00,2692.00,3168.00,4216.00,80.00,-2224.00,51332.00,36944.00,5580.00,1816.00,1732.00,1304.00,0.00,3956.00,-13488.00
1977:Q4,33972.00,760.00,26144.00,580.00,2412.00,4264.00,40.00,-228.00,72636.00,61884.00,7020.00,-3400.00,3932.00,1360.00,0.00,1840.00,-38664.00
1978:Q1,37692.00,856.00,27468.00,2136.00,3068.00,4284.00,80.00,-200.00,43145.00,24813.00,6332.00,4756.00,1624.00,1416.00,0.00,4204.00,-5453.00
1978:Q2,60672.00,1056.00,49372.00,3608.00,2076.00,4680.00,80.00,-200.00,91261.00,77365.00,6216.00,1840.00,3488.00,1468.00,0.00,884.00,-30589.00
1978:Q3,47264.00,616.00,33920.00,4440.00,3568.00,4840.00,80.00,-200.00,87529.00,71329.00,5924.00,964.00,2496.00,1508.00,0.00,5308.00,-40265.00
1978:Q4,71620.00,620.00,53028.00,4156.00,8884.00,4984.00,120.00,-172.00,92257.00,69989.00,5696.00,3340.00,5636.00,1528.00,0.00,6068.00,-20637.00
1979:Q1,56472.00,960.00,42156.00,7680.00,1660.00,4888.00,200.00,-1072.00,72213.00,62605.00,5612.00,956.00,1796.00,1804.00,0.00,-560.00,-15741.00
1979:Q2,82584.00,572.00,62192.00,8668.00,3884.00,5188.00,120.00,1960.00,91865.00,72401.00,5020.00,2964.00,4024.00,1992.00,0.00,5464.00,-9281.00
1979:Q3,98388.00,144.00,75956.00,8640.00,4212.00,5432.00,120.00,3884.00,106625.00,93461.00,3548.00,1328.00,4524.00,2032.00,0.00,1732.00,-8237.00
1979:Q4,58472.00,1316.00,42664.00,8060.00,-780.00,5648.00,160.00,1404.00,73393.00,61029.00,2364.00,4356.00,5220.00,1912.00,0.00,-1488.00,-14921.00
1980:Q1,48952.00,1032.00,31272.00,6872.00,1348.00,5868.00,240.00,2320.00,76999.00,65255.00,1952.00,6100.00,1660.00,1960.00,0.00,72.00,-28047.00
1980:Q2,-520.00,692.00,-19528.00,6060.00,2456.00,5856.00,400.00,3544.00,23927.00,-11945.00,2104.00,1912.00,88.00,2000.00,0.00,29768.00,-24447.00
1980:Q3,64896.00,1380.00,41456.00,5676.00,1312.00,5856.00,400.00,8816.00,55627.00,42735.00,2492.00,4508.00,2852.00,1996.00,0.00,1044.00,9269.00
1980:Q4,72488.00,1612.00,63776.00,4176.00,3944.00,5984.00,400.00,-7404.00,120883.00,102743.00,2804.00,2592.00,6416.00,1980.00,0.00,4348.00,-48395.00
1981:Q1,125020.00,652.00,100268.00,6024.00,3492.00,6340.00,400.00,7844.00,119283.00,110623.00,2156.00,2568.00,5060.00,2456.00,0.00,-3580.00,5737.00
1981:Q2,44412.00,1168.00,33836.00,9024.00,-52.00,6232.00,400.00,-6196.00,64595.00,54635.00,3108.00,3048.00,2140.00,2760.00,0.00,-1096.00,-20183.00
1981:Q3,10196.00,676.00,816.00,5732.00,-2228.00,6264.00,400.00,-1464.00,29163.00,22227.00,5488.00,2552.00,208.00,2816.00,0.00,-4128.00,-18967.00
1981:Q4,-13196.00,1384.00,-26892.00,3408.00,944.00,6452.00,400.00,1108.00,6359.00,-8405.00,7392.00,2000.00,1928.00,2564.00,0.00,880.00,-19555.00
1982:Q1,-17004.00,604.00,-16032.00,2656.00,1968.00,6476.00,400.00,-13076.00,-18573.00,-25093.00,6772.00,4316.00,-1444.00,2228.00,0.00,-5352.00,1569.00
1982:Q2,35668.00,636.00,13052.00,9744.00,7100.00,6608.00,400.00,-1872.00,29031.00,9635.00,7480.00,5024.00,1988.00,2128.00,0.00,2776.00,6637.00
1982:Q3,43176.00,884.00,26916.00,5468.00,4776.00,6736.00,600.00,-2204.00,14647.00,7391.00,8448.00,-464.00,1616.00,2076.00,0.00,-4420.00,28529.00
1982:Q4,34164.00,1200.00,19304.00,-160.00,5172.00,6904.00,600.00,1144.00,22207.00,-11961.00,9224.00,10292.00,3232.00,2068.00,0.00,9352.00,11957.00
1983:Q1,-44748.00,2316.00,-45660.00,-6816.00,-1280.00,6960.00,368.00,-636.00,6840.00,8276.00,7824.00,3704.00,-2672.00,2044.00,0.00,-12336.00,-51588.00
1983:Q2,30856.00,2136.00,13312.00,3660.00,7192.00,7000.00,2116.00,-4560.00,72052.00,61572.00,7652.00,1312.00,1828.00,2004.00,880.00,-3196.00,-41196.00
1983:Q3,30604.00,2416.00,14256.00,1800.00,5500.00,7220.00,-552.00,-36.00,84484.00,59892.00,7220.00,2028.00,712.00,1988.00,880.00,11764.00,-53880.00
1983:Q4,82748.00,2896.00,49268.00,1068.00,8636.00,7276.00,8012.00,5592.00,123228.00,99876.00,6884.00,8020.00,6128.00,1952.00,880.00,-512.00,-40480.00
1984:Q1,81488.00,2724.00,65544.00,-276.00,8228.00,7520.00,-4236.00,1984.00,126564.00,106184.00,7960.00,3464.00,2768.00,2528.00,880.00,2780.00,-45076.00
1984:Q2,98904.00,3288.00,68700.00,7424.00,9812.00,7728.00,424.00,1528.00,120304.00,94320.00,7532.00,5660.00,5300.00,2928.00,880.00,3684.00,-21400.00
1984:Q3,44428.00,2956.00,23756.00,6952.00,5700.00,7972.00,2376.00,-5284.00,59316.00,44176.00,6460.00,6676.00,1400.00,2872.00,880.00,-3148.00,-14888.00
1984:Q4,5068.00,3604.00,-19568.00,5280.00,4832.00,8132.00,2952.00,-164.00,42364.00,25728.00,5604.00,4528.00,2972.00,2716.00,880.00,-64.00,-37296.00
1985:Q1,56876.00,2484.00,42848.00,348.00,11432.00,8360.00,-5064.00,-3532.00,94202.00,80606.00,5456.00,6816.00,700.00,2576.00,880.00,-2832.00,-37326.00
1985:Q2,84008.00,3460.00,49128.00,8284.00,9884.00,8692.00,4324.00,236.00,45446.00,33074.00,5076.00,4528.00,2964.00,2436.00,880.00,-3512.00,38562.00
1985:Q3,23676.00,4276.00,-964.00,3732.00,9356.00,8884.00,1676.00,-3284.00,26934.00,9294.00,4124.00,6548.00,1204.00,2024.00,880.00,2860.00,-3258.00
1985:Q4,97740.00,2284.00,78828.00,-17448.00,11888.00,9060.00,9196.00,3932.00,75302.00,57914.00,3364.00,-3176.00,10232.00,1724.00,880.00,4364.00,22438.00
1986:Q1,-76140.00,2880.00,-84624.00,2560.00,7392.00,9352.00,-5012.00,-8688.00,-90647.00,-92063.00,8992.00,-3500.00,-8124.00,5068.00,880.00,-1900.00,14507.00
