1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2.62,22.50,23.49,43.78,12.81,11.87,-9.07,0.38,-7.85,46.69
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3.70,24.53,22.37,36.01,13.54,13.86,-2.77,12.85,0.29,47.89
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3.49,18.95,18.24,22.82,10.21,10.73,-2.17,9.81,38.80,11.61
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4.25,15.35,12.96,18.63,3.71,2.52,1.64,5.73,18.02,1.26
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,6.93,21.62,20.11,23.60,11.04,9.39,-0.18,27.63,31.54,1.07
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,9.64,7.70,8.66,6.85,14.98,13.26,3.88,6.93,27.58,37.47
1974:Q3,9.29,9.63,9.57,4.83,11.81,9.39,4.77,7.05,29.92,9.87
1974:Q4,7.00,5.79,8.89,-0.83,9.11,8.25,6.38,3.90,19.67,19.84
1975:Q1,7.66,7.12,7.63,1.05,4.77,2.94,16.33,4.34,-7.07,10.49
1975:Q2,8.91,4.72,7.51,-1.31,4.68,2.58,27.00,4.14,-0.61,16.43
1975:Q3,9.54,9.70,9.38,5.91,4.73,3.94,21.76,2.69,-5.94,15.22
1975:Q4,9.79,10.99,12.11,9.82,4.08,3.23,18.37,9.86,23.92,23.35
1976:Q1,11.34,12.59,12.71,9.31,7.60,5.58,16.50,10.30,0.23,18.21
1976:Q2,10.88,9.61,9.79,8.55,7.99,7.54,17.60,11.39,8.84,18.10
1976:Q3,10.30,10.69,12.27,9.13,8.68,8.17,14.14,6.51,8.14,11.75
1976:Q4,9.74,12.20,13.22,13.89,9.11,8.98,9.37,4.51,26.92,31.92
1977:Q1,12.06,15.92,14.94,12.34,11.75,10.65,9.07,6.80,-3.81,-0.03
1977:Q2,11.09,14.46,14.99,17.33,11.46,10.19,5.68,10.34,21.48,10.64
1977:Q3,13.77,15.08,16.60,14.65,11.08,10.74,18.67,8.29,11.92,19.07
1977:Q4,12.27,13.73,16.16,14.83,13.65,14.60,9.86,7.17,36.90,14.93
1978:Q1,13.95,17.14,16.38,14.98,13.66,14.21,9.32,14.42,3.25,2.77
1978:Q2,13.58,17.02,15.21,21.92,13.09,11.40,8.69,14.29,28.07,11.21
1978:Q3,13.46,15.99,17.12,15.59,11.08,8.00,13.38,13.70,14.31,13.03
1978:Q4,11.77,13.67,17.65,13.47,12.56,10.97,5.59,15.90,33.65,41.30
1979:Q1,11.29,16.07,17.36,14.53,12.54,12.44,1.73,10.19,7.51,-2.61
1979:Q2,11.78,13.39,14.17,13.86,14.78,10.99,5.05,8.69,28.26,13.22
1979:Q3,13.07,14.33,15.35,13.76,13.43,10.96,12.13,8.83,19.22,31.84
1979:Q4,9.88,11.65,15.13,10.83,10.84,8.96,6.24,7.15,27.14,-4.15
1980:Q1,10.14,10.50,11.49,5.05,11.99,10.44,7.49,6.94,11.11,2.80
1980:Q2,7.42,3.78,7.28,-7.04,7.11,4.99,15.06,6.34,12.69,17.76
1980:Q3,8.98,8.76,11.19,1.69,7.75,5.46,12.51,6.92,11.19,14.87
1980:Q4,10.68,10.29,11.69,4.27,12.07,12.07,10.53,6.70,22.95,16.54
1981:Q1,9.65,7.10,7.81,5.94,9.62,7.26,14.86,7.96,3.23,6.74
1981:Q2,10.82,8.84,9.09,6.31,15.18,17.66,8.71,5.23,24.00,16.23
1981:Q3,9.36,6.53,6.09,7.55,13.11,15.51,7.47,9.20,22.80,10.28
1981:Q4,9.55,5.11,5.18,1.94,11.37,11.62,14.08,8.78,15.41,11.29
1982:Q1,10.83,5.66,5.42,5.99,13.08,16.11,15.06,11.62,3.98,2.88
1982:Q2,8.94,5.15,3.60,5.39,10.84,11.29,10.71,11.40,21.79,7.47
1982:Q3,11.04,4.04,3.26,2.51,10.62,10.72,23.60,9.84,8.79,11.58
1982:Q4,9.59,7.59,6.46,5.69,3.97,1.83,22.23,10.23,16.85,9.13
1983:Q1,11.06,7.98,8.53,6.02,6.09,3.06,24.14,10.43,1.74,5.99
1983:Q2,12.47,10.42,9.24,9.42,8.27,8.18,21.28,14.81,15.43,8.11
1983:Q3,12.32,12.04,10.88,12.83,10.39,10.90,17.03,8.75,13.93,5.17
1983:Q4,10.57,13.58,11.27,18.32,10.38,9.76,7.03,9.95,18.92,9.69
1984:Q1,15.09,13.90,13.06,17.85,14.28,14.10,19.78,10.07,7.65,4.70
1984:Q2,14.27,12.44,10.42,21.36,16.92,17.90,13.55,11.78,20.16,23.65
1984:Q3,13.52,9.32,9.43,14.61,14.18,14.08,17.64,14.95,19.19,-12.80
1984:Q4,13.14,12.71,10.99,15.10,15.28,16.46,12.55,6.97,19.65,-0.80
1985:Q1,15.35,16.12,15.53,18.89,11.34,10.97,18.93,20.10,10.01,-3.07
1985:Q2,13.45,12.58,9.60,14.39,11.09,10.65,15.55,21.03,21.06,-1.87
1985:Q3,12.71,14.78,15.97,14.94,8.83,10.61,14.73,15.75,21.77,8.06
1985:Q4,19.23,19.22,13.69,12.12,11.04,16.32,17.49,59.00,25.70,-0.51
1986:Q1,9.50,9.81,10.91,9.07,9.99,10.85,11.20,2.15,14.64,8.19
1986:Q2,12.51,8.83,10.88,10.80,11.18,12.96,16.41,20.13,24.15,-1.17
1986:Q3,11.81,12.52,15.50,10.08,11.21,13.84,13.58,7.02,23.71,6.23
1986:Q4,12.21,12.89,15.11,5.42,11.64,15.28,11.87,13.01,28.78,-1.11
1987:Q1,7.91,8.27,13.84,-2.03,5.53,4.50,7.31,17.35,17.02,0.85
1987:Q2,9.79,11.94,14.91,7.17,7.22,8.58,11.20,8.56,20.74,-4.14
1987:Q3,8.55,10.05,11.36,8.00,8.67,10.47,5.88,10.04,16.25,3.24
1987:Q4,8.41,6.85,11.42,5.98,8.75,10.52,9.26,10.18,6.41,13.30
1988:Q1,9.13,9.63,10.58,8.37,9.84,10.85,9.16,4.73,7.76,0.09
1988:Q2,9.02,9.88,12.33,7.14,9.69,10.29,8.23,5.66,14.82,-0.27
1988:Q3,8.85,9.32,10.98,5.51,9.71,10.12,8.31,5.42,10.46,-5.71
1988:Q4,8.56,8.99,11.13,5.01,9.04,10.81,7.68,7.61,16.47,1.01
1989:Q1,6.94,6.83,7.58,6.09,7.17,8.40,8.02,3.53,14.12,2.03
1989:Q2,7.49,8.80,9.81,7.01,8.19,10.12,6.16,3.83,9.58,-10.65
1989:Q3,6.40,8.02,11.52,4.54,4.51,4.81,7.45,5.27,5.60,1.30
1989:Q4,7.81,10.89,13.22,6.60,4.71,5.18,8.08,8.21,11.61,-0.67
1990:Q1,7.69,7.23,9.22,2.23,5.99,7.93,10.69,7.83,5.74,-5.14
1990:Q2,6.26,6.86,9.33,2.22,3.80,5.92,9.63,4.32,7.87,11.39
1990:Q3,6.01,6.82,8.00,3.87,2.77,4.10,10.77,2.44,6.31,2.67
1990:Q4,5.64,5.70,7.43,-0.89,1.68,3.01,11.16,5.09,13.29,2.50
1991:Q1,3.61,5.22,7.94,0.23,-1.75,-2.27,8.25,4.97,5.69,13.41
1991:Q2,5.13,6.25,8.73,-0.97,0.01,0.02,10.00,6.20,4.52,-15.82
1991:Q3,4.71,4.21,3.13,-2.31,-3.30,-2.22,13.69,9.95,5.69,7.08
1991:Q4,5.06,6.04,7.55,-1.23,-3.56,-4.01,11.05,14.66,11.61,9.32
1992:Q1,4.76,5.27,7.37,0.83,-0.12,0.55,11.52,-0.11,5.47,-1.09
1992:Q2,4.32,3.98,4.23,-0.93,-0.70,0.17,11.22,2.01,10.56,15.92
1992:Q3,5.31,4.97,6.73,1.57,0.22,1.66,11.40,5.18,9.38,3.91
1992:Q4,4.13,6.67,7.02,3.03,-0.53,0.14,7.87,-0.96,5.46,-2.53
1993:Q1,4.47,4.54,3.46,3.88,1.79,4.10,6.75,5.94,8.63,7.85
1993:Q2,6.64,5.97,6.91,5.10,3.73,5.98,10.27,7.15,7.89,13.54
1993:Q3,6.47,7.70,5.83,8.18,3.88,6.38,7.52,7.12,12.97,27.64
1993:Q4,5.61,7.33,5.37,11.86,2.83,4.25,8.05,0.59,10.70,11.17
1994:Q1,4.51,6.79,5.66,11.97,5.63,7.79,2.71,-1.76,16.70,-25.02
1994:Q2,5.20,6.77,5.29,14.78,4.79,6.27,7.31,-6.38,10.31,-1.98
1994:Q3,5.26,6.78,4.73,14.37,5.22,6.48,5.28,-0.56,10.51,0.84
1994:Q4,5.38,9.09,6.08,16.63,5.39,6.91,4.78,-7.29,13.41,8.80
1995:Q1,4.80,6.33,4.77,14.58,6.99,8.14,3.71,-5.60,8.71,12.38
1995:Q2,7.04,6.95,5.09,13.84,7.29,8.91,10.27,-5.40,10.34,11.78
1995:Q3,4.58,8.12,5.06,13.93,4.56,4.55,3.05,-5.09,11.86,17.17
1995:Q4,2.66,5.98,4.15,12.36,4.32,4.40,-0.59,-6.33,14.29,16.57
1996:Q1,6.39,8.47,7.66,10.00,5.50,5.58,6.97,-2.05,10.25,8.87
1996:Q2,6.01,6.78,6.21,9.19,6.78,7.15,6.13,-1.33,14.19,9.72
1996:Q3,4.72,5.79,4.76,7.37,5.65,5.27,4.47,-3.43,8.98,16.95
1996:Q4,3.42,5.91,5.48,8.47,3.51,2.65,1.43,-1.10,16.16,18.24
1997:Q1,5.24,6.91,6.75,3.28,6.71,6.46,2.45,2.07,6.99,5.96
1997:Q2,5.46,6.34,5.08,5.75,7.93,8.12,2.39,2.94,14.56,12.70
1997:Q3,6.49,6.62,7.91,5.69,10.63,11.62,1.82,7.05,10.23,15.65
1997:Q4,4.56,5.57,4.15,6.92,7.77,7.32,-0.85,7.40,14.83,7.26
1998:Q1,6.78,7.91,8.54,2.49,11.74,11.44,0.11,5.80,18.57,12.66
1998:Q2,7.96,8.73,7.00,12.20,12.18,11.63,2.51,6.54,19.09,12.12
1998:Q3,4.72,5.41,6.19,6.76,10.10,9.24,-2.69,5.69,19.31,-3.68
1998:Q4,6.16,7.98,9.47,6.75,10.01,9.15,-0.95,6.22,16.80,-3.12
1999:Q1,7.07,9.13,10.34,8.45,11.95,11.77,-1.36,5.44,17.99,0.57
1999:Q2,5.64,8.60,8.17,7.88,7.67,7.10,-0.12,1.81,15.13,-2.10
1999:Q3,6.92,8.75,9.66,8.61,12.18,11.81,-2.00,4.74,15.79,7.12
1999:Q4,6.14,8.62,7.99,5.38,8.45,6.31,0.74,0.90,14.35,1.71
2000:Q1,6.74,11.26,8.11,7.93,11.00,11.07,-4.61,1.61,11.12,11.33
2000:Q2,4.18,7.73,8.50,12.25,10.88,9.90,-9.27,-2.23,10.48,-7.28
2000:Q3,4.39,9.33,8.76,11.95,6.51,5.81,-6.72,3.66,10.20,12.29
2000:Q4,3.61,5.82,8.18,11.44,7.00,5.55,-5.20,2.67,13.13,13.33
2001:Q1,5.00,6.16,9.44,9.99,3.84,1.98,3.22,10.57,6.83,6.15
2001:Q2,4.44,9.93,11.66,7.11,6.44,5.45,-8.99,6.11,7.10,-9.00
2001:Q3,8.28,12.80,11.30,4.80,4.45,3.16,6.61,7.21,15.89,-12.00
2001:Q4,4.95,4.95,8.26,11.65,4.12,2.26,4.72,10.23,9.26,5.38
2002:Q1,5.71,9.59,12.32,5.72,3.66,2.02,1.08,7.98,8.16,7.78
2002:Q2,6.20,7.40,10.42,6.82,1.72,-0.70,10.00,10.56,6.90,11.31
2002:Q3,6.64,9.03,13.35,4.86,1.49,-0.93,9.14,10.86,7.92,-0.68
2002:Q4,7.65,11.71,14.53,4.39,2.49,0.47,6.39,13.25,10.74,6.34
2003:Q1,5.33,10.93,11.89,5.86,1.62,0.66,-0.34,7.46,11.17,-7.32
2003:Q2,11.28,15.58,14.77,6.36,0.66,-0.40,19.44,11.95,11.58,7.12
2003:Q3,7.63,10.63,14.74,4.66,2.59,2.40,9.83,6.26,9.31,-12.19
2003:Q4,5.66,9.23,13.57,3.93,-0.85,-2.89,8.03,6.66,10.69,20.35
2004:Q1,8.02,9.83,10.60,6.26,7.12,4.71,5.28,9.51,8.68,9.66
2004:Q2,9.41,11.95,14.31,3.53,2.92,-0.54,13.79,9.68,8.65,-1.84
2004:Q3,7.95,9.10,12.36,6.08,6.73,5.01,7.25,8.26,7.54,15.01
2004:Q4,9.34,14.07,14.27,5.97,6.13,4.14,5.99,6.03,11.72,10.57
2005:Q1,8.10,8.54,10.50,5.12,7.61,5.15,7.77,8.45,7.76,5.91
2005:Q2,9.15,11.57,13.75,4.99,7.15,4.12,8.00,7.08,9.47,8.40
2005:Q3,7.96,10.96,13.74,4.26,6.81,3.60,4.05,6.52,4.79,7.36
2005:Q4,8.36,9.71,13.15,3.43,9.38,7.56,6.01,4.19,12.31,9.75
2006:Q1,9.45,11.68,13.17,3.40,10.45,8.38,7.60,0.21,11.40,10.90
2006:Q2,9.31,11.89,13.34,4.81,9.27,6.61,5.54,5.52,11.19,21.34
2006:Q3,6.08,8.77,9.87,5.18,6.16,2.10,0.28,5.60,7.08,22.92
2006:Q4,7.87,8.18,6.65,6.70,11.83,11.19,2.10,6.03,10.37,24.10
2007:Q1,8.20,6.77,8.31,5.14,11.11,9.35,7.17,7.70,11.70,11.54
2007:Q2,8.56,9.24,8.28,5.58,12.60,12.19,1.53,6.81,11.56,28.05
2007:Q3,7.75,5.95,7.37,7.23,13.11,13.13,4.78,4.73,16.34,9.74
2007:Q4,7.06,5.95,4.88,6.03,10.77,9.62,4.85,4.32,12.38,10.31
2008:Q1,7.12,5.20,3.37,6.08,9.26,9.23,10.25,2.49,8.91,-4.04
2008:Q2,3.12,-1.04,1.23,2.42,7.65,6.80,6.13,1.08,5.78,-1.01
2008:Q3,9.15,3.50,0.33,-0.97,5.67,4.57,31.42,1.17,7.10,-25.56
2008:Q4,3.52,-7.54,-0.83,-2.25,0.82,-3.24,32.52,0.02,-3.49,-11.60
2009:Q1,3.97,-0.69,1.47,-3.03,-2.38,-3.22,22.50,2.82,-11.55,4.27
2009:Q2,5.02,1.01,0.94,-5.70,-3.91,-4.62,24.37,5.06,-11.92,12.53
2009:Q3,2.95,0.66,0.11,-2.76,-5.58,-7.26,17.31,3.99,-8.80,11.04
2009:Q4,2.27,1.01,0.74,-2.99,-5.01,-6.33,11.99,5.31,-6.85,22.41
2010:Q1,3.84,-2.28,-3.49,-3.32,-1.24,-1.43,19.45,3.02,-5.83,7.88
2010:Q2,4.53,0.52,-0.35,-2.67,-3.38,-5.23,20.53,0.08,-6.43,-3.10
2010:Q3,4.66,-0.68,-1.52,-0.12,2.04,3.43,15.78,1.62,-4.41,5.64
2010:Q4,4.38,0.72,-0.83,1.70,-0.24,-0.13,13.74,4.82,-4.99,17.59
2011:Q1,2.76,1.03,-0.61,3.86,1.32,3.09,8.03,-2.71,-1.09,15.47
2011:Q2,1.58,-1.23,-0.46,3.38,2.91,5.81,5.39,-3.54,-2.47,15.19
2011:Q3,5.39,-2.25,-0.88,3.72,3.40,6.59,18.25,-0.02,-1.88,-3.18
2011:Q4,4.16,0.60,-0.79,5.56,3.41,6.25,10.06,0.41,-3.44,2.59
2012:Q1,5.27,2.01,-0.59,4.80,3.79,3.52,11.86,-0.48,-3.56,-0.69
2012:Q2,5.34,1.86,-0.54,6.82,3.45,2.63,11.86,1.51,-4.00,2.51
2012:Q3,4.22,0.95,-0.90,5.11,4.39,4.34,8.68,0.11,-1.66,13.81
2012:Q4,4.76,2.95,-0.67,6.56,6.74,8.27,6.65,-1.81,-1.47,14.28
2013:Q1,4.49,1.16,-0.32,6.21,3.68,4.54,9.75,-0.02,-0.32,12.75
2013:Q2,1.98,1.00,-0.28,5.09,4.41,5.33,1.89,-1.87,1.42,3.30
2013:Q3,3.46,3.04,0.68,6.46,6.73,9.11,2.61,-2.63,-0.08,7.82
2013:Q4,5.24,1.81,0.14,5.80,3.65,4.13,11.89,-2.67,5.92,10.63
2014:Q1,4.33,2.19,0.16,6.76,6.14,5.90,6.43,-2.27,-0.54,5.00
2014:Q2,4.15,4.90,0.30,7.64,5.01,4.03,3.70,-0.37,2.22,14.23
2014:Q3,5.11,2.85,0.20,7.06,6.48,6.38,7.88,-2.68,3.68,0.13
2014:Q4,3.51,2.21,1.00,6.46,6.30,6.04,3.07,0.72,3.16,6.04
2015:Q1,2.74,2.06,0.35,6.14,7.39,8.43,-0.26,1.81,-1.00,5.19
2015:Q2,4.43,3.99,2.15,7.91,7.93,8.27,2.71,0.54,2.04,1.82
2015:Q3,2.68,1.40,1.50,7.11,5.45,5.52,2.07,0.20,1.89,-5.93
2015:Q4,7.70,3.73,1.65,6.19,5.41,3.25,15.37,-1.16,1.45,-3.68
2016:Q1,5.41,2.65,2.05,5.63,9.37,11.12,5.62,0.73,3.91,-2.92
2016:Q2,4.35,4.33,2.44,6.43,4.10,2.88,5.01,2.19,3.55,-4.05
2016:Q3,5.78,4.00,2.93,7.48,5.97,6.37,8.25,0.83,3.09,-8.36
