date,FA746330005.Q,FA745013005.Q,FA744090005.Q,FA744022003.Q,FA743061103.Q,FA743061703.Q,FA743062003.Q,FA743063005.Q,FA744023003.Q,FA743068005.Q,FA743065103.Q,FA743065505.Q,FA743093005.Q,FA744190005.Q,FA744110005.Q,FA743127003.Q,FA743131005.Q,FA743135005.Q,FA743193005.Q,FA747005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,5.00,-52.00,-65.00,0.00,-2.00,15.00,13.00,0.00,8.00,5.00,44.00,-16.00,21.00,-16.00,0.00,0.00,-21.00,-21.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,-35.00,-105.00,-96.00,0.00,2.00,-11.00,17.00,0.00,11.00,6.00,53.00,-37.00,2.00,-37.00,0.00,0.00,-2.00,-2.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,-60.00,-60.00,-73.00,0.00,2.00,11.00,40.00,0.00,26.00,14.00,-40.00,-68.00,9.00,-69.00,0.00,0.00,-8.00,-8.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,-9.00,-32.00,-44.00,0.00,0.00,12.00,9.00,0.00,15.00,-6.00,14.00,-17.00,8.00,-17.00,0.00,0.00,-8.00,-8.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0.00,1.00,52.00,-13.00,-27.00,0.00,20.00,-6.00,21.00,0.00,22.00,-1.00,44.00,36.00,5.00,47.00,0.00,0.00,-16.00,-17.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,-13.00,-44.00,-42.00,0.00,5.00,-7.00,28.00,0.00,25.00,3.00,3.00,23.00,-37.00,24.00,0.00,0.00,36.00,36.00
1952:Q1,0.00,0.00,24.00,4.00,0.00,0.00,4.00,0.00,12.00,0.00,8.00,4.00,8.00,32.00,-8.00,32.00,0.00,0.00,8.00,8.00
1952:Q2,0.00,0.00,40.00,28.00,28.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,8.00,36.00,4.00,36.00,0.00,0.00,-4.00,-4.00
1952:Q3,0.00,0.00,44.00,32.00,32.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,8.00,40.00,8.00,36.00,0.00,0.00,-4.00,-4.00
1952:Q4,0.00,0.00,32.00,20.00,16.00,0.00,4.00,0.00,0.00,0.00,-4.00,4.00,12.00,20.00,12.00,20.00,0.00,0.00,-12.00,-12.00
1953:Q1,1.00,1.00,8.00,8.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,4.00,-4.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00
