1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q3,693718.00,688677.00,587928.00,587928.00,0.00,100749.00,100749.00,0.00,5041.00,693718.00,581085.00,0.00,0.00,0.00,2215.00,28.00,11702.00,8597.00,38608.00,0.00,2326.00,28565.00,5635.00,0.00,661.00,0.00,14296.00,688677.00,0.00,0.00,0.00,ND
1965:Q4,734923.00,729875.00,623812.00,623812.00,0.00,106063.00,106063.00,0.00,5048.00,734923.00,616096.00,0.00,0.00,0.00,2300.00,30.00,12000.00,9006.00,40754.00,0.00,2500.00,30863.00,5572.00,0.00,1203.00,0.00,14599.00,729875.00,0.00,0.00,0.00,ND
1966:Q1,714419.00,709573.00,606267.00,606267.00,0.00,103306.00,103306.00,0.00,4846.00,714419.00,596561.00,0.00,0.00,0.00,2248.00,33.00,11770.00,8977.00,40765.00,0.00,2580.00,31372.00,5435.00,0.00,651.00,0.00,14027.00,709573.00,0.00,0.00,0.00,ND
1966:Q2,685683.00,681091.00,581050.00,581050.00,0.00,100041.00,100041.00,0.00,4592.00,685683.00,571128.00,0.00,0.00,0.00,2132.00,36.00,11386.00,8799.00,39868.00,0.00,2633.00,30268.00,5355.00,0.00,1155.00,0.00,12923.00,681091.00,0.00,0.00,0.00,ND
1966:Q3,615709.00,611587.00,523227.00,523227.00,0.00,88360.00,88360.00,0.00,4122.00,615709.00,512747.00,0.00,0.00,0.00,1904.00,38.00,10386.00,8109.00,36711.00,0.00,2527.00,26480.00,4686.00,0.00,666.00,0.00,11455.00,611587.00,0.00,0.00,0.00,ND
1966:Q4,660424.00,656100.00,547891.00,547891.00,0.00,108209.00,108209.00,0.00,4324.00,660424.00,548264.00,0.00,0.00,0.00,2000.00,41.00,11000.00,8692.00,39468.00,0.00,2800.00,28943.00,5256.00,0.00,1317.00,0.00,12643.00,656100.00,0.00,0.00,0.00,ND
1967:Q1,747328.00,742453.00,625556.00,625556.00,0.00,116897.00,116897.00,0.00,4875.00,747328.00,617507.00,0.00,0.00,0.00,2279.00,44.00,12432.00,9935.00,45497.00,0.00,3292.00,33712.00,5883.00,0.00,745.00,0.00,16002.00,742453.00,0.00,0.00,0.00,ND
1967:Q2,759549.00,754630.00,641312.00,641312.00,0.00,113318.00,113318.00,0.00,4919.00,759549.00,622982.00,0.00,0.00,0.00,2346.00,46.00,12486.00,10051.00,46820.00,0.00,3420.00,35265.00,5696.00,0.00,1281.00,0.00,19156.00,754630.00,0.00,0.00,0.00,ND
1967:Q3,809759.00,804532.00,678588.00,678588.00,0.00,125944.00,125944.00,0.00,5227.00,809759.00,659985.00,0.00,0.00,0.00,2525.00,49.00,13138.00,10671.00,50519.00,0.00,3740.00,38329.00,5748.00,0.00,1467.00,0.00,23588.00,804532.00,0.00,0.00,0.00,ND
1967:Q4,835107.00,829869.00,712221.00,712221.00,0.00,117648.00,117648.00,0.00,5238.00,835107.00,682128.00,0.00,0.00,0.00,2500.00,52.00,13000.00,10687.00,51104.00,0.00,3900.00,39176.00,5360.00,0.00,1689.00,0.00,25511.00,829869.00,0.00,0.00,0.00,ND
1968:Q1,776014.00,771076.00,652734.00,652734.00,0.00,118342.00,118342.00,0.00,4938.00,776014.00,632831.00,0.00,0.00,0.00,2266.00,55.00,12059.00,10053.00,48280.00,0.00,3847.00,35655.00,4961.00,0.00,1376.00,0.00,24631.00,771076.00,0.00,0.00,0.00,ND
