1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3.00,3.00,0.00,-222.00,-222.00,37.00,37.00,0.00,0.00,79.00,79.00,259.00,71.00,188.00,0.00,259.00,882.00,547.00,131.00,204.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3695.00,5581.00,1117.00,3695.00,5581.00,1117.00
1952:Q1,-24.00,-24.00,0.00,-144.00,-144.00,336.00,336.00,0.00,0.00,76.00,76.00,272.00,64.00,208.00,0.00,272.00,976.00,592.00,124.00,260.00,0.00,0.00,0.00,556.00,556.00,0.00,0.00,0.00,0.00,1371.00,6244.00,984.00,1371.00,6244.00,984.00
1952:Q2,-24.00,-24.00,0.00,-196.00,-196.00,248.00,248.00,0.00,0.00,72.00,72.00,272.00,60.00,212.00,0.00,272.00,1044.00,632.00,120.00,292.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,2819.00,6352.00,1288.00,2819.00,6352.00,1288.00
1952:Q3,-52.00,-52.00,0.00,-192.00,-192.00,-108.00,-108.00,0.00,0.00,76.00,76.00,284.00,60.00,224.00,0.00,284.00,1040.00,620.00,120.00,300.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,2655.00,5352.00,712.00,2655.00,5352.00,712.00
1952:Q4,44.00,44.00,0.00,-96.00,-96.00,160.00,160.00,0.00,0.00,80.00,80.00,348.00,64.00,244.00,40.00,348.00,956.00,556.00,120.00,280.00,0.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,2723.00,6912.00,1324.00,2723.00,6912.00,1324.00
1953:Q1,44.00,44.00,0.00,-152.00,-152.00,196.00,196.00,0.00,0.00,88.00,88.00,368.00,68.00,260.00,40.00,368.00,896.00,508.00,128.00,260.00,0.00,0.00,0.00,28.00,28.00,0.00,0.00,0.00,0.00,2978.00,6676.00,1007.00,2978.00,6676.00,1007.00
1953:Q2,-88.00,-88.00,0.00,-204.00,-204.00,144.00,144.00,0.00,0.00,92.00,92.00,400.00,76.00,284.00,40.00,400.00,860.00,472.00,132.00,256.00,0.00,0.00,0.00,32.00,32.00,0.00,0.00,0.00,0.00,3362.00,6880.00,671.00,3362.00,6880.00,671.00
1953:Q3,-16.00,-16.00,0.00,-232.00,-232.00,-96.00,-96.00,0.00,0.00,96.00,96.00,404.00,76.00,292.00,36.00,404.00,808.00,428.00,124.00,256.00,0.00,0.00,0.00,28.00,28.00,0.00,0.00,0.00,0.00,3534.00,6752.00,791.00,3534.00,6752.00,791.00
1953:Q4,8.00,8.00,0.00,-176.00,-176.00,308.00,308.00,0.00,0.00,92.00,92.00,392.00,64.00,288.00,40.00,392.00,736.00,372.00,108.00,256.00,0.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,3350.00,7108.00,1399.00,3350.00,7108.00,1399.00
1954:Q1,-100.00,-100.00,0.00,-200.00,-200.00,724.00,724.00,0.00,0.00,84.00,84.00,372.00,52.00,284.00,36.00,372.00,640.00,288.00,92.00,260.00,0.00,0.00,0.00,32.00,32.00,0.00,0.00,0.00,0.00,2763.00,6948.00,764.00,2763.00,6948.00,764.00
1954:Q2,236.00,236.00,0.00,-240.00,-240.00,320.00,320.00,0.00,0.00,76.00,76.00,360.00,40.00,280.00,40.00,360.00,524.00,196.00,64.00,264.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,2331.00,7108.00,760.00,2331.00,7108.00,760.00
1954:Q3,268.00,268.00,0.00,-204.00,-204.00,-184.00,-184.00,0.00,0.00,84.00,84.00,364.00,36.00,292.00,36.00,364.00,512.00,184.00,72.00,256.00,0.00,0.00,0.00,32.00,32.00,0.00,0.00,0.00,0.00,1951.00,7188.00,1268.00,1951.00,7188.00,1268.00
1954:Q4,40.00,40.00,0.00,-260.00,-260.00,116.00,116.00,0.00,0.00,104.00,104.00,400.00,48.00,312.00,40.00,400.00,600.00,240.00,108.00,252.00,0.00,0.00,0.00,44.00,44.00,0.00,0.00,0.00,0.00,1703.00,7188.00,1304.00,1703.00,7188.00,1304.00
1955:Q1,408.00,408.00,0.00,-156.00,-156.00,228.00,228.00,0.00,0.00,120.00,120.00,428.00,56.00,332.00,40.00,428.00,676.00,296.00,136.00,244.00,0.00,0.00,0.00,52.00,52.00,0.00,0.00,0.00,0.00,1671.00,7356.00,1415.00,1671.00,7356.00,1415.00
1955:Q2,396.00,396.00,0.00,-372.00,-372.00,-16.00,-16.00,0.00,0.00,136.00,136.00,464.00,68.00,360.00,36.00,464.00,728.00,340.00,144.00,244.00,0.00,0.00,0.00,88.00,88.00,0.00,0.00,0.00,0.00,1755.00,7296.00,1527.00,1755.00,7296.00,1527.00
1955:Q3,300.00,300.00,0.00,-440.00,-440.00,-744.00,-744.00,0.00,0.00,148.00,148.00,468.00,64.00,364.00,40.00,468.00,752.00,336.00,176.00,240.00,0.00,0.00,0.00,84.00,84.00,0.00,0.00,0.00,0.00,1919.00,6380.00,1383.00,1919.00,6380.00,1383.00
1955:Q4,268.00,268.00,0.00,-52.00,-52.00,116.00,116.00,0.00,0.00,160.00,160.00,440.00,56.00,348.00,36.00,440.00,740.00,268.00,232.00,240.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,2035.00,7540.00,1359.00,2035.00,7540.00,1359.00
1956:Q1,440.00,440.00,0.00,-364.00,-364.00,292.00,292.00,0.00,0.00,172.00,172.00,436.00,40.00,340.00,56.00,436.00,724.00,224.00,304.00,196.00,0.00,0.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1813.00,7672.00,948.00,1813.00,7672.00,948.00
1956:Q2,484.00,484.00,0.00,-140.00,-140.00,-128.00,-128.00,0.00,0.00,192.00,192.00,416.00,28.00,332.00,56.00,416.00,700.00,160.00,360.00,180.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,1825.00,7908.00,1852.00,1825.00,7908.00,1852.00
1956:Q3,740.00,740.00,0.00,-264.00,-264.00,-320.00,-320.00,0.00,0.00,196.00,196.00,408.00,28.00,328.00,52.00,408.00,736.00,164.00,388.00,184.00,0.00,0.00,0.00,28.00,28.00,0.00,0.00,0.00,0.00,2137.00,5824.00,1980.00,2137.00,5824.00,1980.00
1956:Q4,588.00,588.00,0.00,-208.00,-208.00,96.00,96.00,0.00,0.00,188.00,188.00,440.00,52.00,332.00,56.00,440.00,836.00,228.00,400.00,208.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,2749.00,8620.00,2100.00,2749.00,8620.00,2100.00
1957:Q1,1028.00,1028.00,0.00,-188.00,-188.00,-56.00,-56.00,0.00,0.00,180.00,180.00,464.00,76.00,332.00,56.00,464.00,944.00,220.00,504.00,220.00,0.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,3530.00,8568.00,1532.00,3530.00,8568.00,1532.00
1957:Q2,1180.00,1180.00,0.00,-404.00,-404.00,108.00,108.00,0.00,0.00,184.00,184.00,488.00,104.00,328.00,56.00,488.00,1064.00,240.00,588.00,236.00,0.00,0.00,0.00,88.00,88.00,0.00,0.00,0.00,0.00,4314.00,9276.00,1608.00,4314.00,9276.00,1608.00
1957:Q3,532.00,532.00,0.00,-408.00,-408.00,-588.00,-588.00,0.00,0.00,176.00,176.00,480.00,100.00,328.00,52.00,480.00,1076.00,228.00,616.00,232.00,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,4510.00,8880.00,1472.00,4510.00,8880.00,1472.00
1957:Q4,-244.00,-244.00,0.00,-308.00,-308.00,416.00,416.00,0.00,0.00,156.00,156.00,444.00,64.00,324.00,56.00,444.00,984.00,196.00,596.00,192.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,3886.00,9240.00,1860.00,3886.00,9240.00,1860.00
1958:Q1,484.00,484.00,0.00,-100.00,-100.00,1284.00,1284.00,0.00,0.00,136.00,136.00,412.00,32.00,324.00,56.00,412.00,888.00,152.00,544.00,192.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,2740.00,8628.00,1329.00,2740.00,8628.00,1329.00
