1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29592.00,0.00,4949.00,4970.00,0.00,-215.00,349.00,-1074.00,-42.00,275.00,277.00,965.00,1545.00,266.00,2728.00,13708.00,676.00,60470.00,18564.00,10521.00,29961.00,0.00,1424.00,35159.00,5608.00,6831.00,22720.00,25311.00,12956.00,3690.00,7241.00,0.00,1424.00,12289.00,6444.00,2328.00,1403.00,123.00,1992.00,940.00,43553.00,7241.00,291.00,18.00,36039.00,25948.00,10091.00,237400.00,18.35,15.18,10.93,4.25
1952:Q1,9876.00,0.00,-883.00,1292.00,0.00,2656.00,187.00,819.00,44.00,1759.00,-153.00,726.00,293.00,144.00,668.00,4006.00,974.00,14593.00,4544.00,2522.00,7242.00,0.00,285.00,8937.00,1474.00,1785.00,5679.00,5656.00,3071.00,738.00,1563.00,0.00,285.00,1918.00,1357.00,410.00,-753.00,43.00,861.00,259.00,13872.00,1563.00,77.00,287.00,12520.00,3153.00,9367.00,57199.00,24.25,21.89,5.51,16.38
1952:Q2,7615.00,0.00,-1909.00,2275.00,0.00,2008.00,-85.00,-341.00,-123.00,2336.00,221.00,394.00,194.00,128.00,708.00,3728.00,89.00,14866.00,4667.00,2486.00,7296.00,0.00,417.00,9125.00,1491.00,1804.00,5830.00,5741.00,3176.00,682.00,1466.00,0.00,417.00,5411.00,1731.00,764.00,2281.00,71.00,564.00,270.00,8215.00,1466.00,186.00,100.00,6663.00,7929.00,-1266.00,63037.00,13.03,10.57,12.58,-2.01
1952:Q3,11706.00,0.00,2614.00,1529.00,0.00,1841.00,154.00,1141.00,0.00,771.00,-225.00,260.00,142.00,125.00,739.00,3796.00,660.00,14416.00,4665.00,2234.00,6934.00,0.00,584.00,9204.00,1511.00,1822.00,5872.00,5212.00,3154.00,412.00,1062.00,0.00,584.00,3785.00,1841.00,595.00,1087.00,47.00,215.00,276.00,13409.00,1062.00,84.00,-69.00,12194.00,8285.00,3909.00,64071.00,20.93,19.03,12.93,6.10
1952:Q4,10438.00,0.00,1867.00,2378.00,0.00,555.00,-7.00,344.00,0.00,351.00,-133.00,521.00,161.00,108.00,773.00,3909.00,166.00,15466.00,4886.00,2473.00,7935.00,0.00,172.00,9395.00,1534.00,1838.00,6023.00,6072.00,3352.00,635.00,1912.00,0.00,172.00,4369.00,1765.00,331.00,2557.00,57.00,-341.00,251.00,12392.00,1912.00,41.00,-296.00,10143.00,8474.00,1669.00,66343.00,18.68,15.29,12.77,2.52
1953:Q1,9695.00,0.00,670.00,1894.00,0.00,617.00,230.00,-433.00,53.00,918.00,-151.00,132.00,208.00,137.00,774.00,3962.00,1301.00,16202.00,4969.00,2591.00,8415.00,0.00,228.00,9303.00,1544.00,1869.00,5891.00,6899.00,3425.00,722.00,2524.00,0.00,228.00,3641.00,1587.00,237.00,379.00,214.00,1224.00,306.00,13260.00,2524.00,51.00,348.00,11033.00,3509.00,7523.00,62331.00,21.27,17.70,5.63,12.07
1953:Q2,8507.00,0.00,-3302.00,2632.00,0.00,3517.00,-57.00,2356.00,83.00,868.00,267.00,280.00,347.00,83.00,760.00,4107.00,83.00,15917.00,4992.00,2665.00,8375.00,0.00,-114.00,9501.00,1568.00,1883.00,6051.00,6416.00,3424.00,782.00,2324.00,0.00,-114.00,5445.00,2220.00,709.00,1771.00,246.00,499.00,263.00,9742.00,2324.00,137.00,115.00,7396.00,9283.00,-1887.00,68600.00,14.20,10.78,13.53,-2.75
1953:Q3,10177.00,0.00,2598.00,1578.00,0.00,500.00,176.00,-184.00,74.00,799.00,-365.00,150.00,36.00,77.00,738.00,4176.00,324.00,16079.00,4847.00,2776.00,8270.00,0.00,188.00,9639.00,1590.00,1897.00,6153.00,6440.00,3257.00,879.00,2117.00,0.00,188.00,3367.00,1979.00,456.00,682.00,-14.00,264.00,278.00,13529.00,2117.00,82.00,-63.00,11267.00,7640.00,3627.00,67171.00,20.14,16.77,11.37,5.40
1953:Q4,7671.00,0.00,1150.00,2131.00,0.00,-668.00,-93.00,-1090.00,-55.00,331.00,239.00,556.00,-18.00,86.00,710.00,4128.00,-404.00,16070.00,4788.00,2759.00,8056.00,0.00,468.00,9720.00,1611.00,1910.00,6200.00,6350.00,3177.00,849.00,1856.00,0.00,468.00,1568.00,1731.00,229.00,1260.00,146.00,-1798.00,301.00,12754.00,1856.00,58.00,-377.00,10463.00,8811.00,1652.00,68224.00,18.69,15.34,12.91,2.42
1954:Q1,6808.00,0.00,-1510.00,2002.00,0.00,517.00,128.00,158.00,-14.00,513.00,-268.00,-24.00,12.00,100.00,692.00,3974.00,1045.00,15571.00,4813.00,2629.00,7958.00,0.00,172.00,10071.00,1626.00,1927.00,6518.00,5501.00,3188.00,702.00,1440.00,0.00,172.00,1678.00,1413.00,271.00,-1870.00,90.00,1774.00,299.00,10929.00,1440.00,5.00,400.00,9885.00,4135.00,5750.00,64050.00,17.06,15.43,6.46,8.98
