1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,4614.00,0.00,315.00,0.00,0.00,2365.00,0.00,737.00,7.00,1621.00,0.00,1363.00,0.00,571.00,0.00,0.00,571.00,4614.00
1956:Q2,4715.00,0.00,328.00,0.00,0.00,2423.00,0.00,724.00,8.00,1691.00,0.00,1348.00,0.00,616.00,0.00,0.00,616.00,4715.00
1956:Q3,4840.00,0.00,340.00,0.00,0.00,2497.00,0.00,704.00,9.00,1784.00,0.00,1342.00,0.00,661.00,0.00,0.00,661.00,4840.00
1956:Q4,5051.00,0.00,353.00,0.00,0.00,2593.00,0.00,688.00,10.00,1895.00,0.00,1413.00,0.00,692.00,0.00,0.00,692.00,5051.00
1957:Q1,5177.00,0.00,367.00,0.00,0.00,2687.00,0.00,669.00,14.00,2004.00,0.00,1403.00,0.00,720.00,0.00,0.00,720.00,5177.00
1957:Q2,5477.00,0.00,381.00,0.00,0.00,2772.00,0.00,651.00,16.00,2105.00,0.00,1590.00,0.00,734.00,0.00,0.00,734.00,5477.00
1957:Q3,5524.00,0.00,396.00,0.00,0.00,2844.00,0.00,634.00,18.00,2192.00,0.00,1528.00,0.00,756.00,0.00,0.00,756.00,5524.00
1957:Q4,5595.00,0.00,411.00,0.00,0.00,2907.00,0.00,615.00,25.00,2267.00,0.00,1498.00,0.00,779.00,0.00,0.00,779.00,5595.00
1958:Q1,5806.00,0.00,427.00,0.00,0.00,2974.00,0.00,603.00,31.00,2340.00,0.00,1612.00,0.00,793.00,0.00,0.00,793.00,5806.00
1958:Q2,6086.00,0.00,443.00,0.00,0.00,3046.00,0.00,608.00,24.00,2414.00,0.00,1796.00,0.00,801.00,0.00,0.00,801.00,6086.00
1958:Q3,6428.00,0.00,460.00,0.00,0.00,3124.00,0.00,608.00,25.00,2491.00,0.00,2037.00,0.00,807.00,0.00,0.00,807.00,6428.00
1958:Q4,6816.00,0.00,478.00,0.00,0.00,3206.00,0.00,613.00,25.00,2568.00,0.00,2312.00,0.00,820.00,0.00,0.00,820.00,6816.00
1959:Q1,7029.00,0.00,496.00,0.00,0.00,3260.00,0.00,619.00,30.00,2611.00,0.00,2427.00,0.00,846.00,0.00,0.00,846.00,7029.00
1959:Q2,7386.00,0.00,515.00,0.00,0.00,3342.00,0.00,631.00,38.00,2673.00,0.00,2656.00,0.00,873.00,0.00,0.00,873.00,7386.00
1959:Q3,7547.00,0.00,535.00,0.00,0.00,3417.00,0.00,647.00,41.00,2729.00,0.00,2684.00,0.00,911.00,0.00,0.00,911.00,7547.00
1959:Q4,7917.00,0.00,556.00,0.00,0.00,3514.00,0.00,655.00,42.00,2817.00,0.00,2905.00,0.00,942.00,0.00,0.00,942.00,7917.00
1960:Q1,7971.00,0.00,577.00,0.00,0.00,3577.00,0.00,634.00,59.00,2884.00,0.00,2826.00,0.00,991.00,0.00,0.00,991.00,7971.00
1960:Q2,8288.00,0.00,599.00,0.00,0.00,3630.00,0.00,614.00,67.00,2949.00,0.00,3024.00,0.00,1035.00,0.00,0.00,1035.00,8288.00
1960:Q3,8332.00,0.00,622.00,0.00,0.00,3698.00,0.00,602.00,66.00,3030.00,0.00,2921.00,0.00,1091.00,0.00,0.00,1091.00,8332.00
1960:Q4,8875.00,0.00,646.00,0.00,0.00,3802.00,0.00,601.00,61.00,3140.00,0.00,3309.00,0.00,1118.00,0.00,0.00,1118.00,8875.00
1961:Q1,9452.00,0.00,671.00,0.00,0.00,3828.00,0.00,602.00,59.00,3167.00,0.00,3816.00,0.00,1137.00,0.00,0.00,1137.00,9452.00
1961:Q2,9689.00,0.00,697.00,0.00,0.00,3908.00,0.00,607.00,55.00,3246.00,0.00,3919.00,0.00,1165.00,0.00,0.00,1165.00,9689.00
1961:Q3,10009.00,0.00,723.00,0.00,0.00,3963.00,0.00,608.00,57.00,3298.00,0.00,4132.00,0.00,1191.00,0.00,0.00,1191.00,10009.00
