1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,11.00,2.00,412.00,-2.00,0.00,0.00,55.00,0.00,55.00,0.00,0.00,0.00,362.00,304.00,0.00,203.00,101.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,-3.00,391.00,0.00,227.00,0.00,227.00,0.00,0.00,164.00,-12.00
1952:Q1,4.00,0.00,-30.00,-10.00,0.00,0.00,137.00,0.00,137.00,0.00,0.00,0.00,-269.00,-287.00,0.00,35.00,-322.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,112.00,-41.00,0.00,-114.00,0.00,-114.00,0.00,0.00,73.00,-7.00
1952:Q2,7.00,0.00,60.00,10.00,0.00,0.00,-69.00,0.00,-69.00,0.00,0.00,0.00,117.00,99.00,0.00,35.00,64.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,2.00,55.00,0.00,97.00,0.00,97.00,0.00,0.00,-42.00,2.00
1952:Q3,8.00,0.00,42.00,-8.00,0.00,0.00,-13.00,0.00,-13.00,0.00,0.00,0.00,59.00,37.00,0.00,-25.00,62.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,4.00,32.00,0.00,90.00,0.00,90.00,0.00,0.00,-58.00,-2.00
1952:Q4,12.00,0.00,35.00,15.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,149.00,126.00,0.00,-23.00,149.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,-141.00,30.00,0.00,-26.00,0.00,-26.00,0.00,0.00,56.00,7.00
1953:Q1,5.00,0.00,35.00,4.00,0.00,0.00,200.00,0.00,200.00,0.00,0.00,0.00,-317.00,-340.00,0.00,-87.00,-253.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,148.00,24.00,0.00,-106.00,0.00,-106.00,0.00,0.00,130.00,-6.00
1953:Q2,5.00,0.00,44.00,-2.00,0.00,0.00,-121.00,0.00,-121.00,0.00,0.00,0.00,168.00,146.00,0.00,39.00,107.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,-1.00,43.00,0.00,14.00,0.00,14.00,0.00,0.00,29.00,4.00
1953:Q3,4.00,0.00,116.00,13.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,80.00,58.00,0.00,-25.00,83.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,5.00,111.00,0.00,117.00,0.00,117.00,0.00,0.00,-6.00,-1.00
1953:Q4,4.00,0.00,56.00,28.00,0.00,0.00,-3.00,0.00,-3.00,0.00,0.00,0.00,36.00,14.00,0.00,-137.00,151.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,-5.00,56.00,0.00,-28.00,0.00,-28.00,0.00,0.00,84.00,4.00
1954:Q1,4.00,0.00,11.00,-53.00,0.00,0.00,312.00,0.00,312.00,0.00,0.00,0.00,-254.00,-285.00,0.00,37.00,-322.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,6.00,7.00,0.00,-228.00,0.00,-228.00,0.00,0.00,235.00,0.00
