1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,28054.00,17377.00,0.00,0.00,0.00,0.00,0.00,1147.00,0.00,1147.00,7091.00,2439.00,2308.00,132.00,0.00,30438.00,21645.00,3751.00,3936.00,13958.00,8721.00,0.00,72.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,28761.00,17883.00,0.00,0.00,0.00,0.00,0.00,1256.00,0.00,1256.00,6974.00,2648.00,2512.00,137.00,0.00,34061.00,24938.00,4565.00,4390.00,15983.00,9045.00,0.00,78.00,0.00
1952:Q1,30409.00,17895.00,0.00,0.00,0.00,0.00,0.00,2098.00,0.00,2098.00,7702.00,2714.00,2576.00,137.00,0.00,35237.00,25464.00,4605.00,4517.00,16342.00,9695.00,0.00,79.00,0.00
1952:Q2,30347.00,17736.00,0.00,0.00,0.00,0.00,0.00,2284.00,0.00,2284.00,7539.00,2789.00,2649.00,139.00,0.00,36462.00,26603.00,4938.00,4635.00,17030.00,9780.00,0.00,80.00,0.00
1952:Q3,30693.00,17534.00,0.00,0.00,0.00,0.00,0.00,2349.00,0.00,2349.00,7945.00,2865.00,2725.00,140.00,0.00,37217.00,27164.00,4965.00,4650.00,17549.00,9972.00,0.00,81.00,0.00
1952:Q4,30857.00,17413.00,0.00,0.00,0.00,0.00,0.00,2670.00,0.00,2670.00,7838.00,2936.00,2795.00,141.00,0.00,37149.00,27439.00,4944.00,4681.00,17814.00,9626.00,0.00,84.00,0.00
1953:Q1,31672.00,17329.00,0.00,0.00,0.00,0.00,0.00,2449.00,0.00,2449.00,8891.00,3004.00,2860.00,143.00,0.00,38476.00,27602.00,4825.00,4802.00,17974.00,10789.00,0.00,85.00,0.00
1953:Q2,31626.00,17256.00,0.00,0.00,0.00,0.00,0.00,2560.00,0.00,2560.00,8743.00,3068.00,2925.00,143.00,0.00,39428.00,28454.00,4995.00,4851.00,18609.00,10887.00,0.00,86.00,0.00
1953:Q3,31751.00,17215.00,0.00,0.00,0.00,0.00,0.00,2552.00,0.00,2552.00,8850.00,3135.00,2988.00,146.00,0.00,40265.00,28988.00,5130.00,4856.00,19002.00,11189.00,0.00,88.00,0.00
1953:Q4,31448.00,17217.00,0.00,0.00,0.00,0.00,0.00,2798.00,0.00,2798.00,8233.00,3201.00,3052.00,148.00,0.00,38441.00,28357.00,4434.00,4775.00,19148.00,9993.00,0.00,91.00,0.00
