date,FA386000105.Q,FA385090005.Q,FA385050005.Q,FA155111003.Q,FA385012005.Q,FA385013005.Q,FA145020005.Q,FA385420005.Q,FA385000005.Q,FA384090005.Q,FA313011005.Q,FA383091005.Q,FA383020005.Q,FA383030005.Q,FA383034005.Q,FA382051005.Q,FA384022005.Q,FA383069105.Q,FA383061105.Q,FA383061705.Q,FA383062005.Q,FA383063005.Q,FA384023005.Q,FA383069005.Q,FA383065005.Q,FA383066005.Q,FA383064105.Q,FA383064205.Q,FA383070005.Q,FA153040005.Q,FA153050005.Q,FA383078005.Q,FA152090205.Q,FA103092005.Q,FA383090005.Q,FA384190005.Q,FA313111303.Q,FA713014003.Q,FA313112003.Q,FA384122005.Q,FA103169100.Q,FA313161105.Q,FA313161705.Q,FA383162005.Q,FA103163003.Q,FA384123005.Q,FA383168005.Q,FA383169005.Q,FA383165005.Q,FA153166000.Q,FA103164103.Q,FA383170005.Q,FA313140003.Q,FA143178005.Q,FA112090205.Q,FA143192005.Q,FA383190005.Q,FA387005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,55840.00,59461.00,53150.00,15862.00,8342.00,22935.00,6011.00,0.00,6311.00,8737.00,-89.00,35.00,-15499.00,6533.00,0.00,0.00,-8662.00,117.00,-7471.00,-68.00,-296.00,-944.00,4171.00,2348.00,1206.00,617.00,1008.00,185.00,3086.00,3800.00,6555.00,5813.00,571.00,211.00,1019.00,2426.00,0.00,0.00,126.00,-22015.00,42.00,-22876.00,-203.00,69.00,953.00,12775.00,4367.00,-748.00,6179.00,2977.00,1018.00,6149.00,1165.00,-1958.00,571.00,-12.00,4607.00,-3621.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,68293.00,80665.00,62629.00,20447.00,12442.00,30290.00,-550.00,0.00,18036.00,42143.00,1401.00,-17.00,2166.00,3629.00,0.00,0.00,165.00,115.00,161.00,58.00,639.00,-808.00,6198.00,3991.00,1297.00,910.00,1079.00,163.00,5397.00,3150.00,6558.00,9594.00,88.00,727.00,1845.00,24107.00,0.00,0.00,-28.00,-1949.00,35.00,-6371.00,-37.00,1611.00,2813.00,14670.00,3702.00,281.00,7166.00,3521.00,1093.00,3682.00,605.00,2186.00,88.00,1.00,3759.00,-12372.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,82511.00,90928.00,81056.00,22947.00,15992.00,36459.00,5658.00,0.00,9872.00,36173.00,399.00,-41.00,-757.00,2478.00,0.00,0.00,2364.00,182.00,1701.00,144.00,293.00,44.00,3543.00,1324.00,1312.00,907.00,915.00,148.00,2202.00,2843.00,6948.00,8248.00,4820.00,695.00,1368.00,26301.00,0.00,0.00,-5.00,742.00,-6.00,-5733.00,847.00,1334.00,4300.00,11693.00,702.00,587.00,7370.00,3034.00,1000.00,2945.00,213.00,775.00,4820.00,29.00,4089.00,-8417.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,72407.00,81108.00,74818.00,25176.00,15209.00,37125.00,-2692.00,0.00,6290.00,26630.00,149.00,0.00,-280.00,2811.00,0.00,0.00,2472.00,155.00,3349.00,-66.00,-559.00,-407.00,2768.00,867.00,1265.00,636.00,561.00,275.00,-934.00,2751.00,7417.00,5241.00,1412.00,631.00,1356.00,20339.00,0.00,0.00,-19.00,7502.00,-4.00,3528.00,89.00,986.00,2903.00,8179.00,-2010.00,688.00,6459.00,3042.00,1212.00,194.00,84.00,-2302.00,1412.00,46.00,4032.00,-8701.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,93575.00,101385.00,97810.00,30690.00,21130.00,40220.00,5770.00,0.00,3575.00,57814.00,-284.00,47.00,4340.00,2474.00,0.00,0.00,4855.00,16.00,2926.00,-8.00,2192.00,-271.00,3048.00,689.00,1064.00,1295.00,766.00,211.00,11899.00,2945.00,8212.00,15601.00,2103.00,585.00,1012.00,54239.00,0.00,0.00,-10.00,5799.00,45.00,227.00,-622.00,4525.00,1624.00,20874.00,4740.00,1382.00,10179.00,4573.00,1288.00,10517.00,309.00,7255.00,2103.00,80.00,6024.00,-7810.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,107415.00,127969.00,111275.00,29961.00,19361.00,52044.00,9909.00,0.00,16694.00,56904.00,37.00,34.00,7105.00,5210.00,0.00,0.00,1421.00,296.00,189.00,163.00,496.00,277.00,2870.00,601.00,1536.00,733.00,1545.00,266.00,4402.00,2728.00,13708.00,13701.00,1710.00,465.00,1702.00,40210.00,0.00,0.00,24.00,5743.00,62.00,409.00,-137.00,2115.00,3294.00,17131.00,5254.00,1107.00,9367.00,1403.00,2107.00,1726.00,173.00,4476.00,1710.00,83.00,7037.00,-20554.00
1952:Q1,108421.00,116600.00,110233.00,28967.00,18999.00,57535.00,4732.00,0.00,6367.00,65972.00,12.00,-28.00,15340.00,6100.00,0.00,320.00,8584.00,796.00,2056.00,-268.00,6612.00,-612.00,3298.00,180.00,2400.00,718.00,1224.00,524.00,8114.00,2672.00,16024.00,4713.00,5579.00,656.00,-7160.00,59606.00,0.00,0.00,60.00,24100.00,80.00,11496.00,-308.00,8508.00,4324.00,12250.00,1772.00,-756.00,8848.00,2386.00,2292.00,5124.00,60.00,384.00,5579.00,48.00,9708.00,-8179.00
1952:Q2,102518.00,119880.00,105488.00,29184.00,19500.00,58327.00,-1523.00,0.00,14392.00,51303.00,116.00,72.00,-1068.00,7876.00,0.00,348.00,16428.00,1108.00,2612.00,3136.00,8688.00,884.00,3550.00,1068.00,940.00,1542.00,776.00,512.00,-1650.00,2832.00,14912.00,2533.00,-6.00,1416.00,2656.00,36911.00,0.00,0.00,28.00,21416.00,156.00,2652.00,2228.00,10500.00,5880.00,16450.00,-56.00,1188.00,8936.00,6382.00,2656.00,-8984.00,80.00,-2552.00,-6.00,124.00,7699.00,-17362.00
1952:Q3,104244.00,144469.00,108918.00,27735.00,19481.00,56128.00,5574.00,0.00,35551.00,80454.00,32.00,-16.00,12084.00,6960.00,0.00,2048.00,4612.00,332.00,884.00,1460.00,2836.00,-900.00,3730.00,1424.00,768.00,1538.00,544.00,524.00,9830.00,2956.00,15184.00,7833.00,1705.00,256.00,12172.00,44903.00,0.00,0.00,36.00,15212.00,28.00,3856.00,2600.00,4220.00,4508.00,17226.00,1676.00,1996.00,9012.00,4542.00,1560.00,8656.00,32.00,-5772.00,1705.00,36.00,6212.00,-40225.00
1952:Q4,111072.00,119864.00,116827.00,31741.00,20356.00,59456.00,5274.00,0.00,3037.00,46641.00,-456.00,-92.00,-5764.00,9592.00,0.00,-1728.00,564.00,-820.00,3100.00,-3992.00,2808.00,-532.00,3326.00,620.00,1504.00,1202.00,616.00,460.00,6870.00,3092.00,15636.00,8777.00,2876.00,912.00,1960.00,43604.00,0.00,0.00,24.00,11180.00,-16.00,5764.00,-2996.00,4320.00,4108.00,20090.00,776.00,2624.00,9312.00,7378.00,2772.00,3248.00,0.00,-4684.00,2876.00,200.00,7898.00,-8792.00
1953:Q1,114775.00,119124.00,120675.00,33660.00,20830.00,62295.00,3890.00,0.00,-1551.00,55045.00,84.00,108.00,4484.00,8156.00,0.00,36.00,5684.00,848.00,2016.00,12.00,3412.00,-604.00,4085.00,-72.00,2920.00,1237.00,888.00,492.00,6819.00,3096.00,15848.00,10285.00,1568.00,664.00,-7252.00,56596.00,0.00,0.00,12.00,13236.00,12.00,4160.00,248.00,5776.00,3040.00,20817.00,2716.00,580.00,9624.00,7897.00,2072.00,8220.00,32.00,1924.00,1568.00,200.00,8515.00,-4349.00
1953:Q2,114873.00,130133.00,121570.00,33501.00,20877.00,63615.00,3577.00,0.00,8563.00,52016.00,-288.00,-112.00,-11464.00,9476.00,0.00,-1024.00,18840.00,-28.00,10492.00,2792.00,4516.00,1068.00,777.00,-344.00,1428.00,-307.00,1388.00,332.00,-501.00,3040.00,16428.00,12425.00,-453.00,884.00,2268.00,43453.00,0.00,0.00,52.00,15100.00,-40.00,4816.00,988.00,5284.00,4052.00,15137.00,-84.00,740.00,10952.00,3529.00,2180.00,536.00,72.00,3220.00,-453.00,-24.00,7633.00,-15260.00
1953:Q3,113841.00,148951.00,120294.00,33078.00,20258.00,64627.00,2331.00,0.00,28657.00,81346.00,220.00,44.00,19796.00,6920.00,0.00,3260.00,4932.00,568.00,1304.00,1384.00,3136.00,-1460.00,2249.00,1060.00,480.00,709.00,116.00,336.00,-1833.00,2952.00,16704.00,12153.00,717.00,680.00,12100.00,52690.00,0.00,0.00,28.00,26056.00,40.00,17140.00,1740.00,5016.00,2120.00,14277.00,992.00,916.00,9272.00,3097.00,1260.00,1888.00,100.00,472.00,717.00,188.00,7703.00,-35110.00
1953:Q4,105210.00,115062.00,113364.00,32222.00,19962.00,63186.00,-2006.00,0.00,1698.00,24349.00,-360.00,116.00,-13296.00,9668.00,0.00,-2560.00,-2816.00,-328.00,-1628.00,-3912.00,2096.00,956.00,1025.00,64.00,1056.00,-95.00,-100.00,372.00,-6417.00,2840.00,16512.00,7629.00,9820.00,484.00,1432.00,22651.00,0.00,0.00,44.00,11572.00,272.00,-2424.00,3532.00,5344.00,4848.00,3285.00,-7668.00,-344.00,9452.00,1845.00,1552.00,-8620.00,92.00,-3196.00,9820.00,84.00,8018.00,-9852.00
1954:Q1,107797.00,110756.00,112729.00,31831.00,19834.00,63030.00,-1966.00,0.00,-1973.00,26942.00,-168.00,4.00,2888.00,9880.00,0.00,-1564.00,-2736.00,824.00,-4160.00,-88.00,1760.00,-1072.00,1613.00,-80.00,1408.00,285.00,108.00,340.00,3011.00,2768.00,15896.00,3835.00,-1745.00,460.00,-7648.00,28915.00,0.00,0.00,88.00,9016.00,372.00,-2396.00,2404.00,5528.00,3108.00,10677.00,2276.00,112.00,9028.00,-739.00,2948.00,6188.00,-52.00,-6844.00,-1745.00,56.00,8583.00,-2959.00
1954:Q2,108746.00,126710.00,112710.00,32541.00,21070.00,62477.00,-3378.00,0.00,14000.00,41459.00,40.00,52.00,5188.00,10848.00,0.00,864.00,-2372.00,-108.00,-6452.00,2672.00,1904.00,-388.00,1649.00,-1216.00,3292.00,-427.00,700.00,200.00,1359.00,2716.00,15744.00,5467.00,-3056.00,972.00,1088.00,27458.00,0.00,0.00,40.00,12648.00,88.00,3756.00,-1008.00,6072.00,3740.00,12709.00,-2016.00,-432.00,13908.00,1249.00,2088.00,372.00,-236.00,-5412.00,-3056.00,104.00,8202.00,-17964.00
1954:Q3,109267.00,133470.00,114582.00,32142.00,22540.00,61991.00,-2091.00,0.00,18888.00,55012.00,-700.00,88.00,10172.00,7816.00,0.00,4024.00,-2588.00,-376.00,-4940.00,1312.00,2012.00,-596.00,-355.00,252.00,-1208.00,601.00,-48.00,496.00,2655.00,2676.00,15852.00,6455.00,-3067.00,156.00,11380.00,36124.00,0.00,0.00,8.00,10160.00,228.00,4176.00,-4716.00,5372.00,5100.00,14329.00,1000.00,1724.00,10300.00,1305.00,912.00,5744.00,-400.00,-1016.00,-3067.00,76.00,9378.00,-24203.00
1954:Q4,115354.00,116162.00,119292.00,33914.00,23911.00,61783.00,-316.00,0.00,-3130.00,50497.00,152.00,32.00,-984.00,11400.00,0.00,-3336.00,-800.00,-888.00,2668.00,-3348.00,3252.00,-2484.00,3501.00,744.00,1832.00,925.00,-776.00,648.00,7903.00,2648.00,16116.00,8295.00,3534.00,808.00,1356.00,53626.00,0.00,0.00,8.00,16700.00,-172.00,5388.00,3660.00,5632.00,2192.00,19805.00,-2188.00,3028.00,15384.00,3581.00,384.00,4528.00,-508.00,396.00,3534.00,80.00,8700.00,-808.00
1955:Q1,123030.00,139555.00,127996.00,36601.00,25485.00,62106.00,3804.00,0.00,11559.00,66673.00,-324.00,-44.00,5496.00,8520.00,0.00,920.00,9704.00,1056.00,6956.00,188.00,1912.00,-408.00,4201.00,864.00,2484.00,853.00,812.00,508.00,9983.00,2728.00,16208.00,14387.00,-554.00,324.00,-6196.00,55114.00,0.00,0.00,12.00,4936.00,-192.00,-3108.00,732.00,5472.00,2032.00,27569.00,4848.00,612.00,15956.00,6153.00,2124.00,10004.00,-396.00,692.00,-554.00,132.00,10595.00,-16525.00
1955:Q2,130644.00,145439.00,134644.00,38764.00,26066.00,65194.00,4620.00,0.00,10795.00,69929.00,56.00,-80.00,1832.00,9272.00,0.00,-1608.00,17404.00,928.00,9420.00,3080.00,4768.00,-792.00,1709.00,188.00,1360.00,161.00,-784.00,464.00,7003.00,2836.00,16816.00,15915.00,-4618.00,1108.00,2604.00,59134.00,0.00,0.00,-4.00,7716.00,-268.00,1688.00,-1744.00,5144.00,2896.00,34105.00,7432.00,1388.00,17116.00,8169.00,640.00,8836.00,-208.00,3088.00,-4618.00,176.00,9403.00,-14795.00
1955:Q3,134702.00,152900.00,137747.00,40395.00,25680.00,67377.00,4295.00,0.00,15153.00,79857.00,-148.00,-16.00,6472.00,5764.00,0.00,4544.00,10704.00,-488.00,5768.00,1568.00,3340.00,516.00,2549.00,592.00,484.00,1473.00,-184.00,728.00,10279.00,3032.00,17212.00,9895.00,-2602.00,480.00,11148.00,64703.00,0.00,0.00,0.00,6372.00,-224.00,1368.00,-1576.00,4908.00,1896.00,31293.00,6100.00,1516.00,16100.00,7577.00,1112.00,15748.00,4.00,4560.00,-2602.00,100.00,8117.00,-18198.00
1955:Q4,138141.00,134048.00,140857.00,39435.00,24616.00,69573.00,7233.00,0.00,-6809.00,66072.00,-120.00,24.00,-5180.00,10144.00,0.00,-1660.00,11208.00,-664.00,8500.00,-1660.00,3856.00,1176.00,2517.00,-116.00,1960.00,673.00,36.00,588.00,11335.00,3024.00,17188.00,9823.00,3469.00,1060.00,2616.00,72882.00,0.00,0.00,0.00,12032.00,8.00,2488.00,-320.00,4612.00,5244.00,29713.00,6024.00,1844.00,15800.00,6045.00,3000.00,9916.00,-60.00,6312.00,3469.00,172.00,8327.00,4093.00
