date,FA386000105.Q,FA385090005.Q,FA385050005.Q,FA155111003.Q,FA385012005.Q,FA385013005.Q,FA145020005.Q,FA385420005.Q,FA385000005.Q,FA384090005.Q,FA313011005.Q,FA383091005.Q,FA383020005.Q,FA383030005.Q,FA383034005.Q,FA382051005.Q,FA384022005.Q,FA383069105.Q,FA383061105.Q,FA383061705.Q,FA383062005.Q,FA383063005.Q,FA384023005.Q,FA383069005.Q,FA383065005.Q,FA383066005.Q,FA383064105.Q,FA383064205.Q,FA383070005.Q,FA153040005.Q,FA153050005.Q,FA383078005.Q,FA152090205.Q,FA103092005.Q,FA383090005.Q,FA384190005.Q,FA313111303.Q,FA713014003.Q,FA313112003.Q,FA384122005.Q,FA103169100.Q,FA313161105.Q,FA313161705.Q,FA383162005.Q,FA103163003.Q,FA384123005.Q,FA383168005.Q,FA383169005.Q,FA383165005.Q,FA153166000.Q,FA103164103.Q,FA383170005.Q,FA313140003.Q,FA143178005.Q,FA112090205.Q,FA143192005.Q,FA383190005.Q,FA387005005.Q
1978:Q4,761389.00,783334.00,813642.00,206536.00,149159.00,429460.00,28487.00,0.00,-30308.00,588840.00,-9856.00,7440.00,7236.00,111992.00,7896.00,8600.00,88360.00,33352.00,1300.00,21984.00,29036.00,2688.00,54223.00,33712.00,18964.00,1547.00,-4272.00,-552.00,84661.00,11884.00,121916.00,10753.00,-13805.00,17016.00,85347.00,619148.00,0.00,0.00,448.00,124276.00,10340.00,39116.00,-1452.00,55932.00,20340.00,251575.00,29920.00,17980.00,163116.00,40559.00,2448.00,71672.00,1056.00,13416.00,-13569.00,5735.00,162090.00,-21945.00
1979:Q1,786683.00,728566.00,819806.00,208077.00,148495.00,439382.00,23852.00,0.00,-91240.00,536339.00,9594.00,16828.00,15398.00,83280.00,28732.00,10200.00,69892.00,15492.00,16032.00,21984.00,23716.00,-7332.00,32467.00,-18948.00,46876.00,4539.00,-17216.00,-2668.00,70969.00,10532.00,114264.00,6729.00,-7229.00,20532.00,74035.00,627579.00,4556.00,0.00,1104.00,74332.00,2808.00,14424.00,-2512.00,42140.00,17472.00,296823.00,59900.00,27736.00,163964.00,45223.00,-6740.00,57344.00,-72.00,11440.00,-7957.00,3828.00,192921.00,58117.00
1979:Q2,787254.00,782522.00,838387.00,206981.00,151086.00,452919.00,27401.00,0.00,-55865.00,499146.00,-452.00,-5004.00,51736.00,34800.00,30164.00,14928.00,111992.00,6508.00,73328.00,13556.00,24056.00,-5456.00,53387.00,29460.00,19592.00,4335.00,-24060.00,124.00,84409.00,11580.00,118340.00,-4708.00,-39987.00,27540.00,34357.00,555012.00,0.00,2000.00,1292.00,101188.00,7448.00,36544.00,-1788.00,37816.00,21168.00,296975.00,33064.00,52320.00,166880.00,44711.00,-12448.00,80504.00,1052.00,5524.00,-41363.00,11028.00,109259.00,4732.00
1979:Q3,798864.00,740933.00,859333.00,215211.00,154170.00,477821.00,12131.00,0.00,-118400.00,572773.00,-5074.00,-5984.00,54250.00,93668.00,31224.00,9056.00,40808.00,12600.00,26264.00,15528.00,11892.00,-25476.00,39463.00,19696.00,21848.00,-2081.00,-25168.00,-2700.00,102861.00,10388.00,129712.00,3880.00,-29098.00,28204.00,97284.00,691173.00,0.00,0.00,1120.00,152500.00,11524.00,84548.00,-304.00,41268.00,15464.00,302407.00,47332.00,31312.00,177832.00,45931.00,-7580.00,94384.00,8.00,10776.00,-30162.00,11140.00,156581.00,57931.00
1979:Q4,801145.00,838737.00,861183.00,213456.00,151831.00,487343.00,8553.00,0.00,-22446.00,568799.00,1570.00,1212.00,-10354.00,87488.00,41564.00,6736.00,135824.00,4792.00,70732.00,29412.00,14952.00,15936.00,57523.00,33524.00,25892.00,-1893.00,-23212.00,-2248.00,72969.00,11244.00,156736.00,4015.00,-35016.00,21304.00,41444.00,591245.00,0.00,0.00,924.00,110148.00,14296.00,45252.00,-528.00,36000.00,15128.00,244943.00,26784.00,31276.00,149504.00,37379.00,-4576.00,56908.00,1084.00,11360.00,-35920.00,11964.00,194410.00,-37592.00
1980:Q1,803547.00,794938.00,875466.00,215664.00,144322.00,505581.00,9899.00,0.00,-80528.00,514545.00,8912.00,-3624.00,-4608.00,87740.00,61356.00,5800.00,18484.00,10088.00,-19120.00,36296.00,24140.00,-32920.00,26773.00,-5344.00,34812.00,-2695.00,-11633.00,-5796.00,74967.00,9836.00,180144.00,10795.00,-52255.00,21060.00,86594.00,595073.00,4608.00,4672.00,864.00,124864.00,13028.00,54736.00,-256.00,33576.00,23780.00,248545.00,43636.00,47616.00,139384.00,17909.00,5500.00,46392.00,-128.00,12476.00,-52559.00,11400.00,188439.00,8609.00
1980:Q2,774766.00,790086.00,820333.00,196947.00,121022.00,494614.00,7750.00,0.00,-30248.00,310887.00,-1018.00,-2440.00,6130.00,81712.00,64596.00,16704.00,-5844.00,-41424.00,37796.00,-9860.00,7192.00,452.00,61997.00,31208.00,29216.00,1573.00,-19878.00,2876.00,-7841.00,10760.00,197820.00,-24935.00,-52935.00,11356.00,-28173.00,341134.00,0.00,200.00,560.00,203640.00,12528.00,112288.00,-756.00,34900.00,44680.00,77321.00,-20880.00,27408.00,96076.00,-25283.00,3400.00,-4464.00,976.00,-1144.00,-54311.00,20208.00,94749.00,-15320.00
1980:Q3,804448.00,876429.00,806846.00,209445.00,127447.00,503809.00,-33855.00,0.00,69583.00,683178.00,3376.00,424.00,62864.00,136512.00,4572.00,12692.00,12072.00,-11940.00,30060.00,-8028.00,1456.00,524.00,66721.00,32016.00,32588.00,2117.00,-5004.00,1152.00,52587.00,9672.00,209844.00,-2249.00,-52484.00,17600.00,152827.00,613594.00,0.00,1000.00,304.00,141768.00,-19248.00,96544.00,-448.00,35544.00,29376.00,204269.00,37048.00,21992.00,139268.00,5961.00,10100.00,55680.00,72.00,1192.00,-51780.00,15636.00,235354.00,-71981.00
1980:Q4,871044.00,946971.00,876372.00,219544.00,142186.00,523760.00,-9118.00,0.00,70599.00,637069.00,8576.00,4104.00,-14856.00,201224.00,-14924.00,-11248.00,76512.00,27084.00,50816.00,9308.00,13352.00,-24048.00,75881.00,37836.00,37560.00,485.00,-10985.00,496.00,114555.00,10748.00,198540.00,9369.00,-17372.00,29980.00,-23531.00,566470.00,0.00,-3000.00,528.00,142772.00,9564.00,83924.00,-512.00,37012.00,12784.00,277893.00,66928.00,45540.00,150300.00,15125.00,22500.00,79492.00,1340.00,9120.00,-18684.00,10312.00,44197.00,-75927.00
1981:Q1,912531.00,989465.00,959558.00,228760.00,141366.00,550677.00,38755.00,0.00,29907.00,1003021.00,12922.00,-1248.00,75750.00,31276.00,143160.00,-1160.00,-15320.00,11032.00,-48768.00,-13864.00,43988.00,-7708.00,47173.00,-5324.00,47424.00,5073.00,-26113.00,4756.00,120407.00,9172.00,186444.00,1798.00,-2447.00,8528.00,407924.00,973114.00,4372.00,1200.00,440.00,187904.00,524.00,121056.00,-216.00,42388.00,24152.00,202449.00,12832.00,44808.00,123524.00,21285.00,3200.00,116776.00,-128.00,-1080.00,-3219.00,12404.00,448796.00,-76934.00
