1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q1,5102.00,-385.00,0.00,0.00,3118.00,612.00,213.00,45.00,29.00,2219.00,1476.00,464.00,1012.00,562.00,-78.00,17.00,392.00,4705.00,0.00,0.00,0.00,1903.00,2084.00,155.00,39.00,524.00
1975:Q2,4132.00,-67.00,0.00,0.00,1982.00,86.00,127.00,69.00,87.00,1613.00,1103.00,382.00,721.00,731.00,-80.00,18.00,445.00,4541.00,0.00,0.00,0.00,1971.00,1860.00,-233.00,39.00,904.00
1975:Q3,5361.00,-252.00,0.00,0.00,3976.00,1626.00,109.00,103.00,382.00,1756.00,755.00,391.00,364.00,381.00,59.00,18.00,424.00,4873.00,0.00,0.00,0.00,2020.00,2056.00,55.00,39.00,703.00
1975:Q4,5840.00,630.00,0.00,0.00,3321.00,-1581.00,915.00,137.00,343.00,3507.00,1205.00,368.00,837.00,377.00,-42.00,18.00,331.00,5693.00,0.00,0.00,0.00,2052.00,2663.00,-67.00,38.00,1007.00
1976:Q1,6821.00,-474.00,0.00,0.00,5407.00,434.00,336.00,223.00,506.00,3908.00,555.00,296.00,259.00,1019.00,-64.00,19.00,359.00,6275.00,0.00,0.00,0.00,2088.00,3220.00,193.00,55.00,719.00
1976:Q2,5924.00,59.00,0.00,0.00,4284.00,806.00,-116.00,6.00,182.00,3406.00,652.00,373.00,279.00,602.00,-20.00,20.00,327.00,6977.00,0.00,0.00,0.00,2126.00,3756.00,-203.00,55.00,1243.00
1976:Q3,7246.00,-329.00,0.00,0.00,5663.00,211.00,463.00,442.00,210.00,4337.00,854.00,358.00,496.00,709.00,1.00,20.00,328.00,7244.00,0.00,0.00,0.00,2169.00,4006.00,128.00,55.00,886.00
1976:Q4,8183.00,822.00,0.00,0.00,4558.00,-1040.00,-51.00,228.00,188.00,5233.00,1693.00,340.00,1353.00,744.00,-11.00,20.00,357.00,7073.00,0.00,0.00,0.00,2216.00,3969.00,15.00,55.00,818.00
1977:Q1,7476.00,-580.00,24.00,0.00,6253.00,1500.00,174.00,229.00,118.00,4232.00,703.00,414.00,289.00,451.00,43.00,21.00,561.00,7286.00,0.00,0.00,0.00,2248.00,3878.00,78.00,23.00,1059.00
1977:Q2,7527.00,-33.00,35.00,0.00,5206.00,261.00,-205.00,138.00,93.00,4919.00,1551.00,461.00,1090.00,199.00,-25.00,21.00,573.00,7542.00,0.00,0.00,0.00,2266.00,4047.00,104.00,23.00,1102.00
1977:Q3,7908.00,65.00,43.00,0.00,5371.00,942.00,382.00,355.00,225.00,3467.00,1668.00,432.00,1236.00,150.00,21.00,22.00,568.00,7937.00,0.00,0.00,0.00,2337.00,4320.00,111.00,23.00,1146.00
1977:Q4,8418.00,675.00,48.00,0.00,3688.00,-3031.00,-404.00,962.00,21.00,6140.00,3094.00,415.00,2679.00,337.00,14.00,22.00,540.00,8351.00,0.00,0.00,0.00,2462.00,4577.00,97.00,23.00,1192.00
1978:Q1,8964.00,-725.00,50.00,0.00,7625.00,2888.00,-240.00,603.00,-49.00,4423.00,1524.00,451.00,1073.00,-24.00,27.00,34.00,453.00,8472.00,0.00,0.00,0.00,2603.00,4599.00,92.00,62.00,1116.00
1978:Q2,8152.00,61.00,49.00,0.00,4949.00,-322.00,-151.00,290.00,-59.00,5191.00,2549.00,609.00,1940.00,65.00,-33.00,35.00,477.00,8850.00,0.00,0.00,0.00,2763.00,4808.00,97.00,62.00,1120.00
1978:Q3,10101.00,-28.00,63.00,0.00,6497.00,1565.00,189.00,936.00,130.00,3677.00,2941.00,634.00,2307.00,119.00,-23.00,36.00,496.00,8976.00,0.00,0.00,0.00,2798.00,4888.00,84.00,62.00,1144.00
1978:Q4,8357.00,929.00,91.00,0.00,2081.00,-2678.00,-291.00,712.00,329.00,4009.00,4894.00,896.00,3998.00,-304.00,61.00,38.00,567.00,8845.00,0.00,0.00,0.00,2707.00,4838.00,56.00,63.00,1181.00
1979:Q1,9483.00,-1218.00,118.00,0.00,6825.00,1731.00,535.00,578.00,-312.00,4293.00,3179.00,1019.00,2160.00,-122.00,22.00,38.00,641.00,8777.00,0.00,0.00,0.00,2651.00,4781.00,33.00,162.00,1150.00
1979:Q2,9488.00,367.00,142.00,0.00,4730.00,961.00,-153.00,867.00,-1.00,3056.00,3617.00,974.00,2643.00,-166.00,44.00,40.00,714.00,8765.00,0.00,0.00,0.00,2632.00,4712.00,15.00,162.00,1244.00
1979:Q3,9945.00,-283.00,161.00,0.00,4708.00,1085.00,-54.00,1035.00,151.00,2491.00,4061.00,922.00,3139.00,499.00,29.00,41.00,729.00,8775.00,0.00,0.00,0.00,2595.00,4812.00,-7.00,162.00,1213.00
1979:Q4,8539.00,1437.00,176.00,0.00,-150.00,-2169.00,-262.00,358.00,188.00,1735.00,6077.00,1764.00,4313.00,221.00,51.00,43.00,684.00,8806.00,0.00,0.00,0.00,2540.00,5081.00,-38.00,162.00,1061.00
1980:Q1,10909.00,-1245.00,150.00,0.00,4606.00,-655.00,29.00,489.00,34.00,4709.00,6043.00,2070.00,3973.00,537.00,131.00,44.00,643.00,8695.00,0.00,0.00,0.00,2491.00,5245.00,76.00,38.00,845.00
1980:Q2,8229.00,697.00,85.00,0.00,1961.00,894.00,218.00,-131.00,-124.00,1104.00,5651.00,2482.00,3169.00,-788.00,-21.00,46.00,598.00,8436.00,0.00,0.00,0.00,2446.00,5299.00,129.00,254.00,308.00
1980:Q3,10060.00,-27.00,182.00,0.00,5496.00,2782.00,203.00,564.00,128.00,1819.00,3327.00,829.00,2498.00,449.00,-31.00,47.00,617.00,8736.00,0.00,0.00,0.00,2400.00,5615.00,125.00,134.00,462.00
1980:Q4,8590.00,1115.00,441.00,0.00,1846.00,-836.00,500.00,841.00,235.00,1106.00,4224.00,1205.00,3019.00,190.00,28.00,49.00,697.00,9592.00,0.00,0.00,0.00,2352.00,6190.00,66.00,66.00,918.00
1981:Q1,12050.00,-1025.00,744.00,0.00,7341.00,2653.00,1368.00,1112.00,131.00,2077.00,3636.00,1800.00,1836.00,473.00,98.00,51.00,732.00,11604.00,0.00,0.00,0.00,2325.00,7685.00,6.00,112.00,1476.00
1981:Q2,11030.00,361.00,1092.00,0.00,5350.00,1293.00,-254.00,1411.00,124.00,2776.00,3470.00,1728.00,1742.00,-71.00,69.00,52.00,707.00,10318.00,0.00,0.00,0.00,2300.00,6005.00,-51.00,133.00,1931.00
1981:Q3,12927.00,572.00,1099.00,0.00,5654.00,3190.00,240.00,655.00,88.00,1481.00,3480.00,2103.00,1377.00,1007.00,222.00,54.00,839.00,13087.00,0.00,0.00,0.00,2249.00,8712.00,-57.00,111.00,2072.00
1981:Q4,9935.00,1161.00,765.00,0.00,2345.00,286.00,975.00,-29.00,107.00,1006.00,3375.00,1664.00,1711.00,959.00,142.00,56.00,1132.00,11118.00,0.00,0.00,0.00,2073.00,7110.00,-12.00,458.00,1489.00
1982:Q1,12299.00,-2377.00,523.00,0.00,9461.00,1520.00,2904.00,864.00,350.00,3823.00,2390.00,1307.00,1083.00,444.00,377.00,-15.00,1496.00,11476.00,0.00,0.00,0.00,1884.00,7880.00,33.00,21.00,1658.00
1982:Q2,13413.00,1363.00,372.00,0.00,7003.00,1547.00,-119.00,1117.00,375.00,4083.00,2199.00,1357.00,842.00,303.00,401.00,8.00,1764.00,12935.00,0.00,0.00,0.00,1672.00,9593.00,73.00,257.00,1340.00
1982:Q3,13839.00,350.00,197.00,0.00,7837.00,1728.00,1753.00,1033.00,365.00,2958.00,1858.00,1053.00,805.00,1465.00,223.00,-11.00,1920.00,15257.00,0.00,0.00,0.00,1637.00,11901.00,74.00,-37.00,1682.00
1982:Q4,15816.00,997.00,0.00,0.00,10679.00,-624.00,3824.00,1327.00,806.00,5346.00,2050.00,538.00,1512.00,186.00,14.00,17.00,1873.00,14016.00,0.00,0.00,0.00,1778.00,10307.00,37.00,73.00,1821.00
1983:Q1,14572.00,-1563.00,-303.00,0.00,11970.00,3002.00,3186.00,685.00,172.00,4925.00,1806.00,466.00,1340.00,1456.00,-65.00,-27.00,1298.00,10290.00,0.00,0.00,0.00,1888.00,6271.00,1.00,-166.00,2296.00
1983:Q2,14358.00,64.00,-711.00,0.00,9794.00,385.00,2373.00,946.00,633.00,5457.00,1680.00,284.00,1396.00,1598.00,-288.00,51.00,2170.00,12136.00,0.00,0.00,0.00,1965.00,7850.00,-31.00,18.00,2334.00
1983:Q3,14932.00,-440.00,-675.00,0.00,10155.00,1600.00,2425.00,1886.00,170.00,4074.00,2780.00,149.00,2631.00,277.00,-71.00,39.00,2867.00,11788.00,0.00,0.00,0.00,1994.00,7402.00,-36.00,20.00,2408.00
1983:Q4,15225.00,1291.00,-199.00,0.00,8531.00,-1560.00,4123.00,3712.00,-36.00,2292.00,3846.00,203.00,3643.00,103.00,40.00,45.00,1568.00,15459.00,0.00,0.00,0.00,1974.00,11139.00,-16.00,53.00,2309.00
1984:Q1,13210.00,-1172.00,265.00,0.00,13218.00,3534.00,2250.00,2231.00,-972.00,6175.00,423.00,121.00,302.00,229.00,165.00,62.00,20.00,14039.00,0.00,0.00,0.00,1175.00,9528.00,0.00,31.00,3305.00
1984:Q2,15803.00,6.00,708.00,0.00,11292.00,1616.00,866.00,2444.00,-302.00,6668.00,2371.00,141.00,2230.00,-224.00,57.00,6.00,1587.00,15136.00,0.00,0.00,0.00,1069.00,10048.00,2.00,-20.00,4037.00
1984:Q3,16865.00,-116.00,780.00,0.00,12691.00,1559.00,3283.00,2685.00,-268.00,5432.00,1955.00,114.00,1841.00,497.00,-11.00,33.00,1036.00,15863.00,0.00,0.00,0.00,1306.00,10571.00,17.00,-101.00,4070.00
1984:Q4,20863.00,1949.00,479.00,0.00,12958.00,-2565.00,6169.00,3647.00,269.00,5438.00,1393.00,66.00,1327.00,-242.00,239.00,203.00,3884.00,23519.00,0.00,0.00,0.00,1416.00,18789.00,42.00,1211.00,2061.00
1985:Q1,18073.00,-1888.00,233.00,0.00,15543.00,2669.00,1461.00,3028.00,178.00,8207.00,1746.00,-25.00,1771.00,1588.00,434.00,-55.00,472.00,14758.00,0.00,101.00,0.00,2077.00,8812.00,68.00,-142.00,3842.00
1985:Q2,22540.00,495.00,39.00,0.00,14411.00,-415.00,2354.00,2963.00,23.00,9486.00,3592.00,-52.00,3644.00,1283.00,559.00,91.00,2070.00,20627.00,0.00,115.00,0.00,2378.00,14102.00,90.00,99.00,3843.00
1985:Q3,21693.00,474.00,4.00,0.00,16530.00,1177.00,1596.00,4707.00,130.00,8920.00,2569.00,-77.00,2646.00,299.00,765.00,15.00,1037.00,17358.00,0.00,-150.00,0.00,2761.00,12256.00,109.00,441.00,1941.00
1985:Q4,28323.00,1418.00,1804.00,0.00,15065.00,-3674.00,5085.00,1800.00,664.00,11190.00,7055.00,18.00,7037.00,1652.00,-657.00,24.00,1962.00,27683.00,0.00,-146.00,0.00,3225.00,20457.00,125.00,282.00,3740.00
1986:Q1,17937.00,-1629.00,494.00,0.00,17941.00,-364.00,1927.00,4132.00,315.00,11931.00,3198.00,-1.00,3199.00,-4316.00,2897.00,11.00,-659.00,15669.00,0.00,-77.00,0.00,3900.00,5757.00,154.00,-398.00,6333.00
1986:Q2,22690.00,670.00,165.00,0.00,13857.00,752.00,-829.00,2385.00,768.00,10781.00,5501.00,1.00,5500.00,-2482.00,2503.00,-345.00,2821.00,22905.00,0.00,514.00,0.00,4100.00,14592.00,194.00,162.00,3343.00
