1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q1,4311.00,8.00,40.00,0.00,8.00,884.00,0.00,48.00,-4.00,840.00,44.00,524.00,0.00,2803.00,0.00,32.00,2763.00,8.00,4312.00
1954:Q2,3935.00,-20.00,40.00,0.00,8.00,936.00,0.00,-24.00,0.00,960.00,40.00,568.00,0.00,2363.00,0.00,24.00,2331.00,8.00,3936.00
1954:Q3,3727.00,-20.00,44.00,0.00,8.00,1064.00,0.00,8.00,-24.00,1080.00,44.00,588.00,0.00,1999.00,0.00,32.00,1951.00,16.00,3728.00
1954:Q4,3699.00,-4.00,44.00,0.00,12.00,1232.00,0.00,84.00,-4.00,1152.00,56.00,584.00,0.00,1775.00,0.00,44.00,1703.00,28.00,3700.00
1955:Q1,3703.00,40.00,44.00,0.00,20.00,1184.00,0.00,180.00,4.00,1000.00,68.00,572.00,0.00,1775.00,0.00,52.00,1671.00,52.00,3708.00
1955:Q2,3827.00,72.00,48.00,0.00,28.00,1140.00,0.00,312.00,8.00,820.00,76.00,564.00,0.00,1899.00,0.00,88.00,1755.00,56.00,3832.00
1955:Q3,3843.00,76.00,48.00,0.00,28.00,944.00,0.00,292.00,4.00,648.00,88.00,584.00,0.00,2075.00,0.00,84.00,1919.00,72.00,3848.00
1955:Q4,3731.00,44.00,52.00,0.00,28.00,684.00,0.00,108.00,20.00,556.00,100.00,644.00,0.00,2179.00,0.00,60.00,2035.00,84.00,3736.00
1956:Q1,3657.00,16.00,52.00,0.00,32.00,788.00,0.00,-68.00,52.00,804.00,112.00,692.00,0.00,1965.00,0.00,64.00,1813.00,88.00,3660.00
1956:Q2,3881.00,-8.00,52.00,0.00,40.00,968.00,0.00,-164.00,0.00,1132.00,128.00,732.00,0.00,1969.00,0.00,24.00,1825.00,120.00,3884.00
1956:Q3,4549.00,-12.00,60.00,0.00,32.00,1276.00,0.00,-232.00,24.00,1484.00,136.00,776.00,0.00,2281.00,0.00,28.00,2137.00,116.00,4552.00
1956:Q4,5517.00,4.00,60.00,0.00,32.00,1584.00,0.00,-200.00,12.00,1772.00,136.00,812.00,0.00,2889.00,0.00,60.00,2749.00,80.00,5520.00
1957:Q1,6326.00,36.00,60.00,0.00,24.00,1588.00,0.00,-220.00,56.00,1752.00,132.00,848.00,0.00,3638.00,0.00,36.00,3530.00,72.00,6328.00
1957:Q2,6994.00,60.00,64.00,0.00,20.00,1404.00,0.00,-220.00,20.00,1604.00,128.00,880.00,0.00,4438.00,0.00,88.00,4314.00,36.00,6996.00
1957:Q3,7006.00,60.00,64.00,0.00,20.00,1228.00,0.00,-208.00,32.00,1404.00,132.00,924.00,0.00,4578.00,0.00,12.00,4510.00,56.00,7008.00
