1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012:Q3,69320.00,2995.00,60227.00,57206.00,3021.00,1197.00,160.00,-39.00,1076.00,4901.00,58140.00,40001.00,-1616.00,0.00,-1616.00,31.00,-69.00,100.00,19724.00,-411.00,0.00,-105.00,6.00,-312.00
2012:Q4,-11399.00,-2104.00,-18531.00,-20260.00,1729.00,2721.00,2068.00,90.00,563.00,6515.00,-11595.00,-1297.00,-3609.00,0.00,-3609.00,2787.00,2625.00,162.00,-9476.00,-1548.00,0.00,746.00,-9.00,-2285.00
2013:Q1,2588.00,6271.00,-7416.00,-11684.00,4268.00,421.00,220.00,313.00,-112.00,3312.00,-2651.00,1458.00,1629.00,0.00,1629.00,-603.00,-764.00,161.00,-5135.00,318.00,0.00,422.00,37.00,-141.00
2013:Q2,115388.00,-6298.00,-19919.00,-13294.00,-6625.00,140637.00,2597.00,1435.00,136605.00,968.00,114527.00,-12310.00,127212.00,0.00,127212.00,-956.00,-1031.00,75.00,581.00,134893.00,0.00,7791.00,2441.00,124661.00
2013:Q3,-35242.00,-1984.00,-20607.00,-20980.00,373.00,1437.00,283.00,26.00,1128.00,-14088.00,-35579.00,-21258.00,1448.00,0.00,1448.00,239.00,129.00,110.00,-16008.00,1282.00,0.00,1023.00,1.00,258.00
2013:Q4,-34648.00,-1290.00,-41920.00,-42333.00,413.00,5502.00,1860.00,509.00,3133.00,3060.00,-24089.00,-32933.00,11819.00,0.00,11819.00,1112.00,731.00,381.00,-4087.00,8010.00,0.00,461.00,175.00,7374.00
2014:Q1,15007.00,-101.00,-9726.00,-9283.00,-443.00,21560.00,1586.00,50.00,19924.00,3274.00,13560.00,-12128.00,21413.00,0.00,21413.00,-344.00,-752.00,408.00,4619.00,19474.00,0.00,-473.00,287.00,19660.00
2014:Q2,10663.00,679.00,9901.00,11024.00,-1123.00,-393.00,2325.00,-84.00,-2634.00,476.00,7049.00,9421.00,-5215.00,0.00,-5215.00,2718.00,1082.00,1636.00,125.00,-5584.00,0.00,-235.00,-28.00,-5321.00
2014:Q3,1200.00,334.00,-5256.00,-5022.00,-234.00,4592.00,6292.00,484.00,-2184.00,1530.00,78.00,-402.00,1163.00,0.00,1163.00,1395.00,183.00,1212.00,-2078.00,-1111.00,0.00,2880.00,-44.00,-3947.00
2014:Q4,2667.00,397.00,12253.00,11805.00,448.00,-8432.00,-1661.00,-3648.00,-3123.00,-1551.00,14719.00,13100.00,709.00,0.00,709.00,2071.00,459.00,1612.00,-1161.00,-371.00,0.00,1046.00,126.00,-1543.00
2015:Q1,-11160.00,580.00,-4399.00,-8370.00,3971.00,-6621.00,-990.00,-450.00,-5181.00,-720.00,-10706.00,-3245.00,-7025.00,0.00,-7025.00,1066.00,-325.00,1391.00,-1502.00,-5967.00,0.00,710.00,-518.00,-6159.00
2015:Q2,-17163.00,-667.00,-19487.00,-21000.00,1513.00,679.00,6332.00,-61.00,-5592.00,2312.00,-20910.00,-13229.00,-10372.00,0.00,-10372.00,3176.00,742.00,2434.00,-485.00,-12149.00,0.00,2761.00,-55.00,-14855.00
2015:Q3,-17710.00,1306.00,-7649.00,-7329.00,-320.00,-11839.00,-1177.00,266.00,-10928.00,472.00,-16014.00,-19964.00,-12764.00,0.00,-12764.00,9124.00,-89.00,9213.00,7590.00,-4161.00,0.00,5831.00,379.00,-10371.00
2015:Q4,-26197.00,-1829.00,-12752.00,-12945.00,193.00,-11735.00,-1929.00,-109.00,-9697.00,119.00,-23617.00,-9102.00,-8127.00,0.00,-8127.00,4745.00,-136.00,4881.00,-11133.00,-7298.00,0.00,675.00,2.00,-7975.00
2016:Q1,13180.00,1365.00,-623.00,-511.00,-112.00,11761.00,1436.00,92.00,10233.00,677.00,15004.00,209.00,13692.00,0.00,13692.00,-4704.00,-649.00,-4055.00,5807.00,6844.00,0.00,-3001.00,17.00,9828.00
2016:Q2,-1459.00,848.00,-658.00,-1973.00,1315.00,-2991.00,2642.00,-234.00,-5399.00,1342.00,-1882.00,-2974.00,-2037.00,0.00,-2037.00,966.00,1593.00,-627.00,2163.00,-3825.00,0.00,1851.00,44.00,-5720.00
