1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q2,30767.00,16766.00,9009.00,23948.00,14939.00,7757.00,17453.00,9696.00,12334.00,25000.00,-23474.00,-1353.00,13935.00,0.00,-1774.00,0.00,1263.00,1233.00,31.00,-1.00,404.00,2823693.00,547482.00
1966:Q3,-29071.00,29290.00,9035.00,24311.00,15277.00,20256.00,24147.00,3891.00,-60105.00,-2110.00,-56867.00,-3386.00,4357.00,0.00,-2100.00,0.00,1325.00,1285.00,39.00,2.00,419.00,2794622.00,558405.00
1966:Q4,90695.00,22990.00,8250.00,23883.00,15633.00,14741.00,21212.00,6471.00,65860.00,16252.00,39562.00,2059.00,9014.00,0.00,-1027.00,0.00,1413.00,1356.00,57.00,-1.00,433.00,2885317.00,569276.00
1967:Q1,107917.00,30174.00,7537.00,23382.00,15846.00,22637.00,22553.00,-84.00,78677.00,492.00,72045.00,3834.00,2686.00,0.00,-380.00,0.00,-435.00,-451.00,15.00,1.00,-500.00,2993234.00,579473.00
1967:Q2,38600.00,17557.00,8782.00,24859.00,16077.00,8775.00,16110.00,7335.00,20279.00,4916.00,9693.00,834.00,6159.00,0.00,-1323.00,0.00,1193.00,1182.00,11.00,-1.00,-429.00,3031833.00,586742.00
1967:Q3,85622.00,28797.00,8839.00,25262.00,16423.00,19959.00,26021.00,6062.00,54299.00,6883.00,40664.00,2404.00,5345.00,0.00,-996.00,0.00,2948.00,2919.00,24.00,5.00,-423.00,3117455.00,597730.00
1967:Q4,66938.00,15981.00,9115.00,25964.00,16849.00,6866.00,28539.00,21673.00,48505.00,14505.00,25048.00,1122.00,9544.00,0.00,-1714.00,0.00,2789.00,2751.00,30.00,8.00,-337.00,3184393.00,607193.00
1968:Q1,20399.00,41008.00,10017.00,27360.00,17343.00,30992.00,22591.00,-8401.00,-22883.00,18782.00,-46472.00,-3281.00,10469.00,0.00,-2382.00,0.00,1971.00,1948.00,13.00,10.00,303.00,3204792.00,624074.00
1968:Q2,138735.00,20089.00,10249.00,28020.00,17771.00,9841.00,22327.00,12486.00,116703.00,13582.00,90099.00,4958.00,8651.00,0.00,-586.00,0.00,1950.00,1887.00,49.00,15.00,-8.00,3343526.00,640936.00
1968:Q3,62410.00,29389.00,10944.00,29161.00,18217.00,18445.00,26044.00,7599.00,29943.00,8561.00,14635.00,1778.00,6632.00,0.00,-1662.00,0.00,2629.00,2568.00,44.00,17.00,448.00,3405936.00,649143.00
