date,FA713014003.Q,FA713014003.Q,FA313112003.Q,FA713012003.Q,FA903012005.Q
1959:Q1,0.00,0.00,24.00,48.00,-24.00
1959:Q2,0.00,0.00,60.00,132.00,-72.00
1959:Q3,0.00,0.00,20.00,120.00,-100.00
1959:Q4,0.00,0.00,52.00,8.00,44.00
1960:Q1,0.00,0.00,52.00,116.00,-64.00
1960:Q2,0.00,0.00,36.00,56.00,-20.00
1960:Q3,0.00,0.00,48.00,84.00,-36.00
1960:Q4,0.00,0.00,52.00,92.00,-40.00
1961:Q1,0.00,0.00,20.00,44.00,-24.00
1961:Q2,0.00,0.00,64.00,112.00,-48.00
1961:Q3,0.00,0.00,64.00,500.00,-436.00
1961:Q4,0.00,0.00,68.00,92.00,-24.00
1962:Q1,0.00,0.00,32.00,12.00,20.00
1962:Q2,0.00,0.00,36.00,40.00,-4.00
1962:Q3,0.00,0.00,-32.00,-192.00,160.00
1962:Q4,0.00,0.00,44.00,68.00,-24.00
1963:Q1,0.00,0.00,36.00,44.00,-8.00
1963:Q2,0.00,0.00,40.00,36.00,4.00
1963:Q3,0.00,0.00,36.00,4.00,32.00
1963:Q4,0.00,0.00,72.00,-40.00,112.00
1964:Q1,0.00,0.00,76.00,4.00,72.00
1964:Q2,0.00,0.00,64.00,-4.00,68.00
1964:Q3,0.00,0.00,56.00,-100.00,156.00
1964:Q4,0.00,0.00,-100.00,-592.00,492.00
1965:Q1,0.00,0.00,136.00,-60.00,196.00
1965:Q2,0.00,0.00,148.00,88.00,60.00
1965:Q3,0.00,0.00,192.00,240.00,-48.00
1965:Q4,0.00,0.00,460.00,412.00,48.00
1966:Q1,0.00,0.00,712.00,644.00,68.00
1966:Q2,0.00,0.00,1204.00,968.00,236.00
1966:Q3,0.00,0.00,788.00,432.00,356.00
1966:Q4,0.00,0.00,892.00,924.00,-32.00
1967:Q1,0.00,0.00,852.00,748.00,104.00
1967:Q2,0.00,0.00,872.00,432.00,440.00
1967:Q3,0.00,0.00,664.00,592.00,72.00
1967:Q4,0.00,0.00,344.00,96.00,248.00
1968:Q1,0.00,0.00,896.00,684.00,212.00
1968:Q2,0.00,0.00,240.00,-364.00,604.00
1968:Q3,0.00,0.00,184.00,132.00,52.00
1968:Q4,0.00,0.00,344.00,216.00,128.00
1969:Q1,0.00,0.00,184.00,124.00,60.00
1969:Q2,0.00,0.00,232.00,-360.00,592.00
1969:Q3,0.00,0.00,128.00,100.00,28.00
1969:Q4,0.00,0.00,544.00,348.00,196.00
1970:Q1,1600.00,1600.00,252.00,208.00,44.00
1970:Q2,0.00,0.00,96.00,344.00,-248.00
1970:Q3,0.00,0.00,284.00,352.00,-68.00
1970:Q4,0.00,0.00,256.00,300.00,-44.00
1971:Q1,0.00,0.00,392.00,484.00,-92.00
1971:Q2,0.00,0.00,572.00,600.00,-28.00
1971:Q3,0.00,0.00,456.00,508.00,-52.00
1971:Q4,0.00,0.00,540.00,320.00,220.00
1972:Q1,0.00,0.00,692.00,1072.00,-380.00
1972:Q2,0.00,0.00,612.00,684.00,-72.00
1972:Q3,0.00,0.00,444.00,536.00,-92.00
1972:Q4,0.00,0.00,384.00,452.00,-68.00
1973:Q1,0.00,0.00,352.00,428.00,-76.00
1973:Q2,0.00,0.00,772.00,444.00,328.00
1973:Q3,0.00,0.00,256.00,332.00,-76.00
1973:Q4,0.00,0.00,308.00,408.00,-100.00
1974:Q1,0.00,0.00,400.00,388.00,12.00
1974:Q2,0.00,0.00,388.00,444.00,-56.00
1974:Q3,0.00,0.00,412.00,580.00,-168.00
1974:Q4,0.00,0.00,580.00,732.00,-152.00
1975:Q1,0.00,0.00,668.00,804.00,-136.00
1975:Q2,400.00,400.00,844.00,936.00,-92.00
1975:Q3,0.00,0.00,796.00,988.00,-192.00
1975:Q4,0.00,0.00,1040.00,1136.00,-96.00
1976:Q1,0.00,0.00,592.00,740.00,-148.00
1976:Q2,0.00,0.00,1356.00,620.00,736.00
1976:Q3,1200.00,1200.00,-404.00,508.00,-912.00
1976:Q4,1600.00,1600.00,412.00,540.00,-128.00
1977:Q1,0.00,0.00,-44.00,476.00,-520.00
1977:Q2,0.00,0.00,468.00,568.00,-100.00
1977:Q3,0.00,0.00,396.00,500.00,-104.00
1977:Q4,200.00,200.00,180.00,500.00,-320.00
1978:Q1,0.00,0.00,544.00,440.00,104.00
1978:Q2,0.00,0.00,388.00,496.00,-108.00
1978:Q3,200.00,200.00,516.00,472.00,44.00
1978:Q4,0.00,0.00,448.00,592.00,-144.00
1979:Q1,0.00,0.00,1104.00,1308.00,-204.00
1979:Q2,2000.00,2000.00,1292.00,1468.00,-176.00
1979:Q3,0.00,0.00,1120.00,1200.00,-80.00
1979:Q4,0.00,0.00,924.00,1064.00,-140.00
1980:Q1,4672.00,4672.00,864.00,1044.00,-180.00
1980:Q2,200.00,200.00,560.00,684.00,-124.00
1980:Q3,1000.00,1000.00,304.00,520.00,-216.00
1980:Q4,-3000.00,-3000.00,528.00,716.00,-188.00
1981:Q1,1200.00,1200.00,440.00,688.00,-248.00
1981:Q2,1000.00,1000.00,396.00,616.00,-220.00
1981:Q3,1000.00,1000.00,432.00,620.00,-188.00
1981:Q4,0.00,0.00,512.00,676.00,-164.00
1982:Q1,1000.00,1000.00,416.00,620.00,-204.00
1982:Q2,1000.00,1000.00,348.00,560.00,-212.00
1982:Q3,1600.00,1600.00,284.00,540.00,-256.00
1982:Q4,1600.00,1600.00,380.00,524.00,-144.00
1983:Q1,0.00,0.00,448.00,680.00,-232.00
1983:Q2,0.00,0.00,532.00,716.00,-184.00
1983:Q3,0.00,0.00,548.00,704.00,-156.00
1983:Q4,0.00,0.00,344.00,656.00,-312.00
1984:Q1,0.00,0.00,696.00,628.00,68.00
1984:Q2,0.00,0.00,620.00,896.00,-276.00
1984:Q3,0.00,0.00,332.00,496.00,-164.00
1984:Q4,0.00,0.00,564.00,724.00,-160.00
1985:Q1,0.00,0.00,1108.00,680.00,428.00
1985:Q2,0.00,0.00,72.00,780.00,-708.00
1985:Q3,0.00,0.00,320.00,564.00,-244.00
1985:Q4,400.00,400.00,48.00,512.00,-464.00
1986:Q1,0.00,0.00,844.00,620.00,224.00
1986:Q2,400.00,400.00,372.00,492.00,-120.00
1986:Q3,800.00,800.00,304.00,432.00,-128.00
1986:Q4,0.00,0.00,436.00,516.00,-80.00
1987:Q1,0.00,0.00,512.00,672.00,-160.00
1987:Q2,0.00,0.00,428.00,616.00,-188.00
1987:Q3,0.00,0.00,456.00,468.00,-12.00
1987:Q4,0.00,0.00,480.00,684.00,-204.00
1988:Q1,0.00,0.00,516.00,648.00,-132.00
1988:Q2,0.00,0.00,400.00,648.00,-248.00
1988:Q3,0.00,0.00,480.00,544.00,-64.00
1988:Q4,0.00,0.00,648.00,648.00,0.00
1989:Q1,1400.00,1400.00,560.00,948.00,-388.00
1989:Q2,12600.00,12600.00,720.00,868.00,-148.00
1989:Q3,0.00,0.00,440.00,688.00,-248.00
1989:Q4,0.00,0.00,548.00,808.00,-260.00
1990:Q1,0.00,0.00,600.00,856.00,-256.00
1990:Q2,0.00,0.00,644.00,900.00,-256.00
1990:Q3,0.00,0.00,396.00,620.00,-224.00
1990:Q4,6000.00,6000.00,2172.00,724.00,1448.00
1991:Q1,0.00,0.00,-1192.00,688.00,-1880.00
1991:Q2,0.00,0.00,448.00,700.00,-252.00
1991:Q3,0.00,0.00,400.00,548.00,-148.00
1991:Q4,0.00,0.00,504.00,512.00,-8.00
1992:Q1,0.00,0.00,72.00,484.00,-412.00
1992:Q2,0.00,0.00,288.00,472.00,-184.00
1992:Q3,0.00,0.00,188.00,340.00,-152.00
1992:Q4,-8000.00,-8000.00,332.00,436.00,-104.00
1993:Q1,0.00,0.00,288.00,504.00,-216.00
1993:Q2,0.00,0.00,360.00,528.00,-168.00
1993:Q3,0.00,0.00,424.00,644.00,-220.00
1993:Q4,0.00,0.00,712.00,916.00,-204.00
1994:Q1,0.00,0.00,656.00,892.00,-236.00
1994:Q2,0.00,0.00,636.00,840.00,-204.00
1994:Q3,0.00,0.00,768.00,1004.00,-236.00
1994:Q4,0.00,0.00,684.00,860.00,-176.00
1995:Q1,0.00,0.00,736.00,928.00,-192.00
1995:Q2,0.00,0.00,680.00,1056.00,-376.00
1995:Q3,8600.00,8600.00,788.00,1080.00,-292.00
1995:Q4,0.00,0.00,508.00,972.00,-464.00
1996:Q1,0.00,0.00,-4.00,1064.00,-1068.00
1996:Q2,0.00,0.00,-180.00,1004.00,-1184.00
1996:Q3,-1800.00,-1800.00,2344.00,896.00,1448.00
1996:Q4,0.00,0.00,-4.00,888.00,-892.00
1997:Q1,-2072.00,-2072.00,436.00,764.00,-328.00
1997:Q2,0.00,0.00,156.00,468.00,-312.00
1997:Q3,0.00,0.00,1252.00,512.00,740.00
1997:Q4,0.00,0.00,-4.00,564.00,-568.00
1998:Q1,0.00,0.00,320.00,484.00,-164.00
1998:Q2,0.00,0.00,224.00,488.00,-264.00
1998:Q3,0.00,0.00,1700.00,820.00,880.00
1998:Q4,0.00,0.00,-4.00,1116.00,-1120.00
1999:Q1,-4000.00,-4000.00,0.00,1472.00,-1472.00
1999:Q2,0.00,0.00,2068.00,1464.00,604.00
1999:Q3,-4000.00,-4000.00,2000.00,1812.00,188.00
1999:Q4,-4000.00,-4000.00,-4.00,2224.00,-2228.00
2000:Q1,0.00,0.00,2160.00,3960.00,-1800.00
2000:Q2,-8000.00,-8000.00,3194.00,3904.00,-711.00
2000:Q3,-4000.00,-4000.00,4228.00,3328.00,900.00
2000:Q4,-4000.00,-4000.00,-4.00,3328.00,-3332.00
2001:Q1,0.00,0.00,1592.00,2512.00,-920.00
2001:Q2,0.00,0.00,1304.00,1596.00,-292.00
2001:Q3,0.00,0.00,2232.00,1148.00,1084.00
2001:Q4,0.00,0.00,0.00,240.00,-240.00
2002:Q1,0.00,0.00,936.00,2452.00,-1516.00
2002:Q2,0.00,0.00,600.00,1460.00,-860.00
2002:Q3,0.00,0.00,2416.00,1280.00,1136.00
2002:Q4,0.00,0.00,0.00,1128.00,-1128.00
2003:Q1,0.00,0.00,564.00,804.00,-240.00
2003:Q2,0.00,0.00,1604.00,1068.00,536.00
2003:Q3,0.00,0.00,92.00,832.00,-740.00
2003:Q4,0.00,0.00,-4.00,780.00,-784.00
2004:Q1,0.00,0.00,784.00,1172.00,-388.00
2004:Q2,0.00,0.00,1156.00,1112.00,44.00
2004:Q3,0.00,0.00,696.00,960.00,-264.00
2004:Q4,0.00,0.00,120.00,620.00,-500.00
2005:Q1,0.00,0.00,796.00,444.00,352.00
2005:Q2,0.00,0.00,1080.00,280.00,800.00
2005:Q3,0.00,0.00,916.00,-744.00,1660.00
2005:Q4,0.00,0.00,324.00,444.00,-120.00
2006:Q1,0.00,0.00,576.00,5356.00,-4780.00
2006:Q2,0.00,0.00,756.00,444.00,312.00
2006:Q3,0.00,0.00,1000.00,376.00,624.00
2006:Q4,0.00,0.00,-4.00,488.00,-492.00
2007:Q1,0.00,0.00,408.00,660.00,-252.00
2007:Q2,0.00,0.00,-1324.00,600.00,-1924.00
2007:Q3,0.00,0.00,-1404.00,472.00,-1876.00
2007:Q4,0.00,0.00,-404.00,168.00,-572.00
2008:Q1,0.00,0.00,-908.00,-8.00,-900.00
2008:Q2,0.00,0.00,-468.00,-8.00,-460.00
2008:Q3,0.00,0.00,-1188.00,-8.00,-1180.00
2008:Q4,0.00,0.00,-764.00,-4.00,-760.00
2009:Q1,0.00,0.00,-4.00,14348.00,-14352.00
2009:Q2,0.00,0.00,-4.00,664.00,-668.00
2009:Q3,12000.00,12000.00,-1000.00,548.00,-1548.00
2009:Q4,0.00,0.00,-400.00,508.00,-908.00
2010:Q1,0.00,0.00,0.00,216.00,-216.00
2010:Q2,0.00,0.00,-4.00,1840.00,-1844.00
2010:Q3,0.00,0.00,-1100.00,832.00,-1932.00
2010:Q4,0.00,0.00,0.00,516.00,-516.00
2011:Q1,0.00,0.00,0.00,992.00,-992.00
2011:Q2,0.00,0.00,0.00,652.00,-652.00
2011:Q3,0.00,0.00,0.00,516.00,-516.00
2011:Q4,0.00,0.00,0.00,464.00,-464.00
2012:Q1,0.00,0.00,0.00,764.00,-764.00
2012:Q2,0.00,0.00,0.00,512.00,-512.00
2012:Q3,0.00,0.00,0.00,472.00,-472.00
2012:Q4,0.00,0.00,0.00,464.00,-464.00
2013:Q1,0.00,0.00,0.00,880.00,-880.00
2013:Q2,0.00,0.00,0.00,704.00,-704.00
2013:Q3,0.00,0.00,-1400.00,748.00,-2148.00
2013:Q4,0.00,0.00,0.00,636.00,-636.00
2014:Q1,0.00,0.00,0.00,1024.00,-1024.00
2014:Q2,0.00,0.00,0.00,856.00,-856.00
2014:Q3,0.00,0.00,-1000.00,832.00,-1832.00
2014:Q4,0.00,0.00,0.00,520.00,-520.00
2015:Q1,0.00,0.00,0.00,1480.00,-1480.00
2015:Q2,0.00,0.00,0.00,1316.00,-1316.00
2015:Q3,0.00,0.00,0.00,1308.00,-1308.00
2015:Q4,0.00,0.00,-4.00,960.00,-964.00
2016:Q1,0.00,0.00,0.00,636.00,-636.00
2016:Q2,0.00,0.00,0.00,1268.00,-1268.00
2016:Q3,0.00,0.00,0.00,728.00,-728.00
