date,FL263192005.Q,FL263192101.Q,FL263192305.Q,FL263192313.Q,FL263092313.Q,FL103092005.Q,FL763092000.Q,FL513092003.Q,FL543092073.Q,FL613092003.Q,FL663092003.Q,FL103192005.Q,FL115114005.Q,FL753192003.Q,FL513192003.Q,FL543192073.Q,FL613192003.Q,FL663192005.Q,FL733192003.Q,FL503192003.Q,FL263092001.Q,FL263092101.Q,FL263092303.Q,FL263092323.Q,FL263192323.Q,FL263192035.Q,FL263192101.Q,FL263192345.Q,FL263192313.Q,FL263192323.Q,FL263092035.Q,FL263092101.Q,FL263092345.Q,FL263092313.Q,FL263092323.Q,LM263192045.Q,LM263192141.Q,LM263192305.Q,FL263192055.Q,FL263192151.Q,FL263192305.Q,LM263092045.Q,LM263092141.Q,LM263092303.Q,FL263092055.Q,FL263092151.Q,FL263092303.Q
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,11788.00,ND,ND,ND,ND,11419.00,42.00,82.00,119.00,59.00,67.00,2328.00,72.00,186.00,328.00,284.00,22.00,171.00,0.00,0.00,3391.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,12979.00,ND,ND,ND,ND,12567.00,50.00,86.00,126.00,71.00,79.00,2582.00,78.00,188.00,332.00,287.00,22.00,169.00,0.00,0.00,3658.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q1,13357.00,ND,ND,ND,ND,12945.00,50.00,86.00,126.00,71.00,79.00,2637.00,79.00,188.00,332.00,287.00,22.00,171.00,0.00,0.00,3716.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,13953.00,ND,ND,ND,ND,13529.00,52.00,88.00,128.00,74.00,82.00,2706.00,80.00,191.00,333.00,288.00,23.00,173.00,0.00,0.00,3794.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q3,14264.00,ND,ND,ND,ND,13827.00,54.00,90.00,130.00,77.00,86.00,2752.00,81.00,194.00,334.00,289.00,24.00,175.00,0.00,0.00,3849.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,14721.00,ND,ND,ND,ND,14261.00,59.00,90.00,135.00,83.00,93.00,2806.00,84.00,199.00,351.00,304.00,23.00,178.00,0.00,0.00,3945.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,15108.00,ND,ND,ND,ND,14635.00,61.00,92.00,137.00,86.00,97.00,2891.00,85.00,202.00,352.00,305.00,24.00,181.00,0.00,0.00,4040.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,15545.00,ND,ND,ND,ND,15058.00,63.00,94.00,139.00,90.00,101.00,2916.00,86.00,206.00,353.00,307.00,25.00,186.00,0.00,0.00,4079.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,15926.00,ND,ND,ND,ND,15424.00,66.00,96.00,141.00,94.00,105.00,2996.00,88.00,210.00,354.00,309.00,26.00,190.00,0.00,0.00,4173.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q4,16253.00,ND,ND,ND,ND,15735.00,69.00,96.00,145.00,98.00,110.00,3066.00,91.00,207.00,366.00,317.00,24.00,180.00,0.00,0.00,4251.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q1,16564.00,ND,ND,ND,ND,16031.00,71.00,98.00,147.00,102.00,115.00,3135.00,92.00,211.00,367.00,319.00,25.00,185.00,0.00,0.00,4334.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,16990.00,ND,ND,ND,ND,16440.00,74.00,100.00,150.00,106.00,120.00,3226.00,94.00,214.00,368.00,321.00,26.00,189.00,0.00,0.00,4438.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,17216.00,ND,ND,ND,ND,16649.00,77.00,102.00,153.00,110.00,125.00,3313.00,96.00,217.00,369.00,323.00,27.00,193.00,0.00,0.00,4538.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,17631.00,ND,ND,ND,ND,17036.00,81.00,113.00,155.00,116.00,130.00,3300.00,99.00,233.00,411.00,356.00,27.00,207.00,0.00,0.00,4633.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,17944.00,ND,ND,ND,ND,17331.00,84.00,115.00,158.00,120.00,136.00,3395.00,101.00,236.00,412.00,358.00,28.00,211.00,0.00,0.00,4741.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,18469.00,ND,ND,ND,ND,17837.00,87.00,117.00,161.00,125.00,142.00,3503.00,103.00,240.00,414.00,360.00,29.00,216.00,0.00,0.00,4865.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,18852.00,ND,ND,ND,ND,18200.00,91.00,119.00,164.00,130.00,148.00,3588.00,105.00,244.00,416.00,362.00,30.00,221.00,0.00,0.00,4966.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,19395.00,ND,ND,ND,ND,18720.00,95.00,123.00,167.00,136.00,154.00,3616.00,109.00,255.00,450.00,390.00,30.00,226.00,0.00,0.00,5076.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,19981.00,ND,ND,ND,ND,19286.00,98.00,125.00,170.00,141.00,161.00,3723.00,111.00,259.00,452.00,392.00,31.00,231.00,0.00,0.00,5199.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,20679.00,ND,ND,ND,ND,19961.00,102.00,128.00,173.00,147.00,168.00,3819.00,113.00,262.00,453.00,393.00,32.00,234.00,0.00,0.00,5306.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,21540.00,ND,ND,ND,ND,20799.00,106.00,131.00,176.00,153.00,175.00,3902.00,115.00,265.00,454.00,394.00,33.00,237.00,0.00,0.00,5400.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,22505.00,ND,ND,ND,ND,21740.00,112.00,133.00,179.00,160.00,181.00,3967.00,118.00,261.00,460.00,399.00,31.00,223.00,0.00,0.00,5459.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,23140.00,ND,ND,ND,ND,22352.00,116.00,135.00,182.00,166.00,189.00,4009.00,119.00,264.00,461.00,400.00,32.00,228.00,0.00,0.00,5513.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,24411.00,ND,ND,ND,ND,23597.00,121.00,138.00,185.00,173.00,197.00,4066.00,120.00,265.00,462.00,401.00,32.00,232.00,0.00,0.00,5578.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,24882.00,ND,ND,ND,ND,24042.00,126.00,141.00,188.00,180.00,205.00,4076.00,121.00,266.00,463.00,402.00,32.00,236.00,0.00,0.00,5596.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,25394.00,ND,ND,ND,ND,24524.00,131.00,144.00,192.00,189.00,214.00,4228.00,123.00,254.00,449.00,389.00,30.00,237.00,0.00,0.00,5710.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,25736.00,ND,ND,ND,ND,24843.00,134.00,147.00,195.00,196.00,221.00,4313.00,125.00,255.00,450.00,390.00,30.00,237.00,0.00,0.00,5800.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
