date,FA263191005.Q,FA153091003.Q,FA103091003.Q,FA633091003.Q,FA903091005.Q
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35.00,0.00,35.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17.00,0.00,-17.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41.00,0.00,-41.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47.00,0.00,47.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1959:Q1,-24.00,0.00,-24.00,0.00,0.00
1959:Q2,-24.00,0.00,-24.00,0.00,0.00
1959:Q3,32.00,0.00,32.00,0.00,0.00
1959:Q4,-52.00,0.00,-52.00,0.00,0.00
1960:Q1,-44.00,0.00,-44.00,0.00,0.00
1960:Q2,76.00,0.00,76.00,0.00,0.00
1960:Q3,204.00,0.00,204.00,0.00,0.00
1960:Q4,-224.00,0.00,-224.00,0.00,0.00
1961:Q1,164.00,0.00,164.00,0.00,0.00
1961:Q2,96.00,0.00,96.00,0.00,0.00
1961:Q3,100.00,0.00,100.00,0.00,0.00
1961:Q4,-8.00,0.00,-8.00,0.00,0.00
1962:Q1,-8.00,0.00,-8.00,0.00,0.00
1962:Q2,128.00,0.00,128.00,0.00,0.00
1962:Q3,-76.00,0.00,-76.00,0.00,0.00
1962:Q4,-544.00,0.00,-544.00,0.00,0.00
1963:Q1,152.00,0.00,152.00,0.00,0.00
1963:Q2,484.00,0.00,484.00,0.00,0.00
1963:Q3,-260.00,0.00,-260.00,0.00,0.00
1963:Q4,-1212.00,0.00,-1212.00,0.00,0.00
1964:Q1,544.00,0.00,544.00,0.00,0.00
1964:Q2,368.00,0.00,368.00,0.00,0.00
1964:Q3,224.00,0.00,224.00,0.00,0.00
1964:Q4,-724.00,0.00,-724.00,0.00,0.00
1965:Q1,-256.00,0.00,-256.00,0.00,0.00
1965:Q2,-844.00,0.00,-844.00,0.00,0.00
1965:Q3,280.00,0.00,280.00,0.00,0.00
1965:Q4,-428.00,0.00,-428.00,0.00,0.00
1966:Q1,412.00,0.00,412.00,0.00,0.00
1966:Q2,132.00,0.00,132.00,0.00,0.00
1966:Q3,60.00,0.00,60.00,0.00,0.00
1966:Q4,-188.00,0.00,-188.00,0.00,0.00
1967:Q1,264.00,0.00,264.00,0.00,0.00
1967:Q2,-432.00,0.00,-432.00,0.00,0.00
1967:Q3,-64.00,0.00,-64.00,0.00,0.00
1967:Q4,568.00,0.00,568.00,0.00,0.00
1968:Q1,1208.00,0.00,1208.00,0.00,0.00
1968:Q2,1568.00,0.00,1568.00,0.00,0.00
1968:Q3,332.00,0.00,332.00,0.00,0.00
1968:Q4,-980.00,0.00,-980.00,0.00,0.00
1969:Q1,1076.00,0.00,1076.00,0.00,0.00
1969:Q2,-188.00,0.00,-188.00,0.00,0.00
1969:Q3,-764.00,0.00,-764.00,0.00,0.00
1969:Q4,-1780.00,0.00,-1780.00,0.00,0.00
1970:Q1,-4.00,0.00,-4.00,0.00,0.00
1970:Q2,192.00,0.00,192.00,0.00,0.00
1970:Q3,-316.00,0.00,-316.00,0.00,0.00
1970:Q4,-1372.00,0.00,-1372.00,0.00,0.00
1971:Q1,1136.00,0.00,1136.00,0.00,0.00
1971:Q2,80.00,0.00,80.00,0.00,0.00
1971:Q3,548.00,0.00,548.00,0.00,0.00
1971:Q4,-20.00,0.00,-20.00,0.00,0.00
1972:Q1,748.00,0.00,748.00,0.00,0.00
1972:Q2,820.00,0.00,820.00,0.00,0.00
1972:Q3,776.00,0.00,776.00,0.00,0.00
1972:Q4,1408.00,0.00,1408.00,0.00,0.00
1973:Q1,2200.00,0.00,2200.00,0.00,0.00
1973:Q2,1132.00,0.00,1132.00,0.00,0.00
1973:Q3,-1104.00,0.00,-1104.00,0.00,0.00
1973:Q4,2400.00,0.00,2400.00,0.00,0.00
1974:Q1,1600.00,0.00,1600.00,0.00,0.00
1974:Q2,-800.00,0.00,-800.00,0.00,0.00
1974:Q3,-1600.00,0.00,-1600.00,0.00,0.00
1974:Q4,0.00,0.00,0.00,0.00,0.00
1975:Q1,304.00,0.00,76.00,0.00,228.00
1975:Q2,-800.00,0.00,-1724.00,0.00,924.00
1975:Q3,1800.00,0.00,84.00,0.00,1716.00
1975:Q4,2000.00,0.00,3448.00,0.00,-1448.00
1976:Q1,2624.00,0.00,2240.00,0.00,384.00
1976:Q2,2052.00,0.00,464.00,0.00,1588.00
1976:Q3,-712.00,0.00,-2356.00,0.00,1644.00
1976:Q4,2712.00,0.00,2920.00,0.00,-208.00
1977:Q1,3384.00,0.00,1832.00,0.00,1552.00
1977:Q2,5776.00,0.00,3388.00,292.00,2096.00
1977:Q3,-2964.00,0.00,680.00,132.00,-3776.00
1977:Q4,-936.00,0.00,3088.00,-368.00,-3656.00
1978:Q1,5140.00,0.00,5644.00,964.00,-1468.00
1978:Q2,604.00,0.00,1412.00,-440.00,-368.00
1978:Q3,-2316.00,0.00,-3972.00,624.00,1032.00
1978:Q4,6368.00,0.00,7440.00,676.00,-1748.00
1979:Q1,20920.00,0.00,16828.00,2768.00,1324.00
1979:Q2,-1488.00,0.00,-5004.00,4544.00,-1028.00
1979:Q3,21172.00,0.00,-5984.00,6232.00,20924.00
1979:Q4,-1476.00,0.00,1212.00,5012.00,-7700.00
1980:Q1,12632.00,0.00,-3624.00,4828.00,11428.00
1980:Q2,6932.00,0.00,-2440.00,2960.00,6412.00
1980:Q3,-9428.00,0.00,424.00,6404.00,-16256.00
1980:Q4,7780.00,0.00,4104.00,-7552.00,11228.00
1981:Q1,26140.00,0.00,-1248.00,15940.00,11448.00
1981:Q2,4792.00,0.00,108.00,13680.00,-8996.00
1981:Q3,3272.00,0.00,4336.00,11592.00,-12656.00
1981:Q4,7472.00,0.00,7564.00,7096.00,-7188.00
1982:Q1,21452.00,0.00,-9280.00,14480.00,16252.00
1982:Q2,4448.00,0.00,4976.00,2952.00,-3480.00
1982:Q3,-28508.00,0.00,-12168.00,-1540.00,-14800.00
1982:Q4,10624.00,0.00,7180.00,3760.00,-316.00
1983:Q1,8900.00,436.00,6068.00,-18308.00,20704.00
1983:Q2,-3716.00,-184.00,-140.00,1848.00,-5240.00
1983:Q3,9056.00,444.00,6524.00,984.00,1104.00
1983:Q4,11564.00,568.00,4868.00,8084.00,-1956.00
1984:Q1,19460.00,1012.00,4592.00,7452.00,6404.00
1984:Q2,6100.00,360.00,3848.00,-3212.00,5104.00
1984:Q3,-20656.00,-1016.00,-16340.00,2720.00,-6020.00
1984:Q4,-8692.00,-364.00,3464.00,-9816.00,-1976.00
1985:Q1,7120.00,460.00,-2864.00,-1024.00,10548.00
1985:Q2,-22068.00,-820.00,-2692.00,-9436.00,-9120.00
1985:Q3,20288.00,1580.00,2476.00,1604.00,14628.00
1985:Q4,23060.00,2044.00,14036.00,112.00,6868.00
1986:Q1,17824.00,644.00,6844.00,584.00,9752.00
1986:Q2,25660.00,696.00,4480.00,11492.00,8992.00
1986:Q3,38424.00,1284.00,-3000.00,2328.00,37812.00
1986:Q4,28480.00,480.00,4388.00,-1888.00,25500.00
1987:Q1,4364.00,-264.00,-9500.00,19684.00,-5556.00
1987:Q2,1624.00,-648.00,-3720.00,-12688.00,18680.00
1987:Q3,4932.00,-500.00,-3260.00,-4884.00,13576.00
1987:Q4,23304.00,888.00,4724.00,-4356.00,22048.00
1988:Q1,-7532.00,-140.00,8288.00,1952.00,-17632.00
1988:Q2,35340.00,1624.00,28256.00,52.00,5408.00
1988:Q3,16320.00,752.00,3500.00,1532.00,10536.00
1988:Q4,14480.00,1412.00,-18876.00,28740.00,3204.00
1989:Q1,54908.00,1780.00,-11728.00,-2660.00,67516.00
1989:Q2,10780.00,-484.00,-6036.00,-26748.00,44048.00
1989:Q3,20992.00,944.00,-12484.00,28232.00,4300.00
1989:Q4,29708.00,820.00,2852.00,-12104.00,38140.00
1990:Q1,-22468.00,-476.00,3856.00,2672.00,-28520.00
1990:Q2,49476.00,2228.00,-472.00,3976.00,43744.00
1990:Q3,56580.00,2548.00,-4168.00,15064.00,43136.00
1990:Q4,28056.00,1340.00,832.00,-18924.00,44808.00
1991:Q1,-3724.00,2128.00,2528.00,23468.00,-31848.00
1991:Q2,-48688.00,-8.00,-11000.00,-22804.00,-14876.00
1991:Q3,-9196.00,1808.00,3916.00,-12108.00,-2812.00
1991:Q4,-44296.00,184.00,11428.00,-9432.00,-46476.00
1992:Q1,-34772.00,4.00,-5828.00,-5528.00,-23420.00
1992:Q2,8696.00,1548.00,36.00,-14552.00,21664.00
1992:Q3,19920.00,2204.00,2608.00,19160.00,-4052.00
1992:Q4,-7592.00,936.00,608.00,-4076.00,-5060.00
1993:Q1,-10600.00,-620.00,-9208.00,-6704.00,5932.00
1993:Q2,-6348.00,-372.00,712.00,1520.00,-8208.00
1993:Q3,-44820.00,-2620.00,6444.00,-20996.00,-27648.00
1993:Q4,-12128.00,-708.00,-3104.00,-15716.00,7400.00
1994:Q1,-2804.00,-164.00,4912.00,5496.00,-13048.00
1994:Q2,77308.00,4524.00,1400.00,-9992.00,81376.00
1994:Q3,34888.00,2040.00,-13768.00,-1548.00,48164.00
1994:Q4,102164.00,5976.00,12104.00,29792.00,54292.00
1995:Q1,32632.00,5908.00,-7256.00,-3124.00,37104.00
1995:Q2,111944.00,8548.00,2416.00,1440.00,99540.00
1995:Q3,-24500.00,-1432.00,5608.00,23640.00,-52316.00
1995:Q4,21140.00,5236.00,6188.00,-5812.00,15528.00
1996:Q1,100764.00,10660.00,11936.00,6132.00,72036.00
1996:Q2,2988.00,6688.00,-2172.00,-28744.00,27216.00
1996:Q3,119888.00,16000.00,4312.00,14272.00,85304.00
1996:Q4,120108.00,16112.00,29144.00,22388.00,52464.00
1997:Q1,184352.00,11244.00,3040.00,-9692.00,179760.00
1997:Q2,24176.00,1384.00,17976.00,-1960.00,6776.00
1997:Q3,101676.00,6220.00,-844.00,11176.00,85124.00
1997:Q4,120620.00,7284.00,-40448.00,608.00,153176.00
1998:Q1,-24144.00,-1448.00,15904.00,20708.00,-59308.00
1998:Q2,64556.00,3872.00,-26152.00,-26012.00,112848.00
1998:Q3,114320.00,6860.00,-8768.00,19492.00,96736.00
1998:Q4,-118324.00,-7100.00,48532.00,14264.00,-174020.00
1999:Q1,109508.00,6572.00,22868.00,37656.00,42412.00
1999:Q2,74556.00,4472.00,-15568.00,21448.00,64204.00
1999:Q3,45600.00,2736.00,4588.00,39516.00,-1240.00
1999:Q4,-34088.00,-2044.00,-8120.00,-53092.00,29168.00
2000:Q1,299428.00,17964.00,17160.00,82680.00,181624.00
2000:Q2,46072.00,2764.00,-24032.00,25340.00,42000.00
2000:Q3,-88796.00,-5328.00,-62976.00,-1452.00,-19040.00
2000:Q4,250812.00,15048.00,40124.00,69952.00,125688.00
2001:Q1,167904.00,10076.00,-28404.00,90724.00,95508.00
2001:Q2,-155380.00,-9324.00,660.00,-10996.00,-135720.00
2001:Q3,-4736.00,-284.00,-10896.00,2740.00,3704.00
2001:Q4,19220.00,1152.00,4592.00,43600.00,-30124.00
2002:Q1,-60300.00,-3620.00,4620.00,-29204.00,-32096.00
2002:Q2,29848.00,1792.00,7312.00,-7992.00,28736.00
2002:Q3,104144.00,6248.00,6000.00,10364.00,81532.00
2002:Q4,10428.00,624.00,2348.00,-56.00,7512.00
2003:Q1,105816.00,6764.00,5384.00,-38964.00,132632.00
2003:Q2,166896.00,9948.00,33456.00,-43404.00,166896.00
2003:Q3,-183240.00,-11876.00,16864.00,-23104.00,-165124.00
2003:Q4,85552.00,6780.00,14528.00,-47312.00,111556.00
2004:Q1,141192.00,9452.00,14216.00,12684.00,104840.00
2004:Q2,262556.00,10740.00,23704.00,27084.00,201028.00
2004:Q3,-3376.00,3900.00,-11712.00,-33752.00,38188.00
2004:Q4,216272.00,11600.00,36032.00,-2608.00,171248.00
2005:Q1,365332.00,22552.00,30384.00,-18812.00,331208.00
2005:Q2,-191444.00,-11412.00,-15220.00,55076.00,-219888.00
2005:Q3,81940.00,8140.00,-24308.00,44500.00,53608.00
2005:Q4,-168320.00,-10948.00,48608.00,-49632.00,-156348.00
2006:Q1,275500.00,16128.00,-86300.00,22084.00,323588.00
2006:Q2,390648.00,19148.00,44196.00,-75340.00,402644.00
2006:Q3,66660.00,-3668.00,-37392.00,-33016.00,140736.00
2006:Q4,-10984.00,-7212.00,22556.00,45820.00,-72148.00
2007:Q1,164244.00,14352.00,-16120.00,-15784.00,181796.00
2007:Q2,539376.00,25580.00,42072.00,-37200.00,508924.00
2007:Q3,391488.00,19656.00,4564.00,111688.00,255580.00
2007:Q4,82924.00,11516.00,-26860.00,81432.00,16836.00
2008:Q1,-145596.00,-14628.00,19148.00,41036.00,-191152.00
2008:Q2,-446980.00,-22228.00,-72800.00,504.00,-352456.00
2008:Q3,-534116.00,-31928.00,-21028.00,-41208.00,-439952.00
2008:Q4,-197292.00,-2536.00,-27504.00,-59248.00,-108004.00
2009:Q1,-146516.00,-17508.00,4128.00,-42076.00,-91060.00
2009:Q2,181456.00,288.00,2020.00,49720.00,129428.00
2009:Q3,252768.00,1712.00,76.00,65308.00,185672.00
2009:Q4,-463116.00,-13164.00,21072.00,-26672.00,-444352.00
2010:Q1,-213940.00,-17008.00,26332.00,-18800.00,-204464.00
2010:Q2,169036.00,11476.00,2184.00,780.00,154596.00
2010:Q3,165212.00,10136.00,-11464.00,47116.00,119424.00
2010:Q4,165936.00,13584.00,19340.00,6508.00,126504.00
2011:Q1,193728.00,9348.00,29384.00,14380.00,140616.00
2011:Q2,-382136.00,-17248.00,-25352.00,18540.00,-358076.00
2011:Q3,-154620.00,-3656.00,-13880.00,-178592.00,41508.00
2011:Q4,-516876.00,-28088.00,-13348.00,-110940.00,-364500.00
2012:Q1,-102488.00,-4412.00,-10904.00,-11508.00,-75664.00
2012:Q2,-405456.00,-22240.00,-14336.00,-29124.00,-339756.00
2012:Q3,100780.00,5360.00,17232.00,29176.00,49012.00
2012:Q4,-182424.00,-10228.00,10220.00,12508.00,-194924.00
2013:Q1,203104.00,12876.00,75620.00,22116.00,92492.00
2013:Q2,200572.00,15248.00,37852.00,-47492.00,194964.00
2013:Q3,-36532.00,-92.00,-452.00,-3336.00,-32652.00
2013:Q4,-242616.00,-17636.00,55504.00,-10572.00,-269912.00
2014:Q1,-100200.00,-3764.00,-36096.00,-58196.00,-2144.00
2014:Q2,-75840.00,-4900.00,45880.00,29524.00,-146344.00
2014:Q3,197392.00,11308.00,-25260.00,-13948.00,225292.00
2014:Q4,-493056.00,-28120.00,-15788.00,3568.00,-452716.00
2015:Q1,-39812.00,-2992.00,-70576.00,-16128.00,49884.00
2015:Q2,-331272.00,-20620.00,23660.00,8020.00,-342332.00
2015:Q3,-265840.00,-14996.00,-32540.00,-39704.00,-178600.00
2015:Q4,-326672.00,-17908.00,-4092.00,-5976.00,-298696.00
2016:Q1,153120.00,3308.00,-42472.00,25976.00,166308.00
2016:Q2,-180732.00,-8196.00,46452.00,-18576.00,-200412.00
2016:Q3,38033.00,-1540.00,39436.00,-34232.00,34369.00
