1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,386.00,0.00,13.00,0.00,0.00,58.00,0.00,-13.00,1.00,70.00,0.00,270.00,0.00,45.00,0.00,0.00,45.00,386.00
1956:Q3,398.00,0.00,12.00,0.00,0.00,74.00,0.00,-20.00,1.00,93.00,0.00,268.00,0.00,44.00,0.00,0.00,44.00,398.00
1956:Q4,423.00,0.00,13.00,0.00,0.00,96.00,0.00,-16.00,1.00,111.00,0.00,283.00,0.00,31.00,0.00,0.00,31.00,423.00
1957:Q1,417.00,0.00,14.00,0.00,0.00,94.00,0.00,-19.00,4.00,109.00,0.00,281.00,0.00,28.00,0.00,0.00,28.00,417.00
1957:Q2,430.00,0.00,14.00,0.00,0.00,85.00,0.00,-18.00,2.00,101.00,0.00,318.00,0.00,13.00,0.00,0.00,13.00,430.00
1957:Q3,415.00,0.00,15.00,0.00,0.00,72.00,0.00,-17.00,2.00,87.00,0.00,306.00,0.00,22.00,0.00,0.00,22.00,415.00
1957:Q4,400.00,0.00,15.00,0.00,0.00,63.00,0.00,-19.00,7.00,75.00,0.00,300.00,0.00,22.00,0.00,0.00,22.00,400.00
1958:Q1,419.00,0.00,16.00,0.00,0.00,67.00,0.00,-12.00,6.00,73.00,0.00,322.00,0.00,14.00,0.00,0.00,14.00,419.00
1958:Q2,454.00,0.00,16.00,0.00,0.00,72.00,0.00,5.00,-7.00,74.00,0.00,359.00,0.00,7.00,0.00,0.00,7.00,454.00
1958:Q3,508.00,0.00,17.00,0.00,0.00,78.00,0.00,0.00,1.00,77.00,0.00,407.00,0.00,6.00,0.00,0.00,6.00,508.00
1958:Q4,574.00,0.00,18.00,0.00,0.00,82.00,0.00,5.00,0.00,77.00,0.00,462.00,0.00,12.00,0.00,0.00,12.00,574.00
1959:Q1,583.00,0.00,18.00,0.00,0.00,54.00,0.00,6.00,5.00,43.00,0.00,485.00,0.00,26.00,0.00,0.00,26.00,583.00
1959:Q2,658.00,0.00,19.00,0.00,0.00,82.00,0.00,12.00,8.00,62.00,0.00,531.00,0.00,26.00,0.00,0.00,26.00,658.00
1959:Q3,670.00,0.00,20.00,0.00,0.00,75.00,0.00,16.00,3.00,56.00,0.00,537.00,0.00,38.00,0.00,0.00,38.00,670.00
1959:Q4,730.00,0.00,21.00,0.00,0.00,97.00,0.00,8.00,1.00,88.00,0.00,581.00,0.00,31.00,0.00,0.00,31.00,730.00
1960:Q1,698.00,0.00,21.00,0.00,0.00,63.00,0.00,-21.00,17.00,67.00,0.00,565.00,0.00,49.00,0.00,0.00,49.00,698.00
1960:Q2,723.00,0.00,22.00,0.00,0.00,53.00,0.00,-20.00,8.00,65.00,0.00,605.00,0.00,43.00,0.00,0.00,43.00,723.00
1960:Q3,730.00,0.00,23.00,0.00,0.00,68.00,0.00,-12.00,-1.00,81.00,0.00,584.00,0.00,55.00,0.00,0.00,55.00,730.00
1960:Q4,817.00,0.00,24.00,0.00,0.00,104.00,0.00,-1.00,-5.00,110.00,0.00,662.00,0.00,27.00,0.00,0.00,27.00,817.00
1961:Q1,832.00,0.00,25.00,0.00,0.00,26.00,0.00,1.00,-2.00,27.00,0.00,763.00,0.00,18.00,0.00,0.00,18.00,832.00
1961:Q2,918.00,0.00,26.00,0.00,0.00,80.00,0.00,5.00,-4.00,79.00,0.00,784.00,0.00,28.00,0.00,0.00,28.00,918.00
1961:Q3,932.00,0.00,26.00,0.00,0.00,55.00,0.00,1.00,2.00,52.00,0.00,826.00,0.00,25.00,0.00,0.00,25.00,932.00
1961:Q4,1045.00,0.00,28.00,0.00,0.00,82.00,0.00,-2.00,6.00,78.00,0.00,914.00,0.00,21.00,0.00,0.00,21.00,1045.00
1962:Q1,1067.00,0.00,29.00,0.00,0.00,56.00,0.00,-1.00,10.00,47.00,0.00,915.00,0.00,67.00,0.00,0.00,67.00,1067.00
1962:Q2,968.00,0.00,30.00,0.00,0.00,94.00,0.00,10.00,5.00,79.00,0.00,714.00,0.00,130.00,0.00,0.00,130.00,968.00
1962:Q3,919.00,0.00,31.00,0.00,0.00,42.00,0.00,16.00,-1.00,27.00,0.00,770.00,0.00,76.00,0.00,0.00,76.00,919.00
1962:Q4,1056.00,0.00,32.00,0.00,0.00,104.00,0.00,19.00,-6.00,91.00,0.00,875.00,0.00,45.00,0.00,0.00,45.00,1056.00
1963:Q1,1085.00,0.00,34.00,0.00,0.00,78.00,0.00,7.00,2.00,69.00,0.00,940.00,0.00,33.00,0.00,0.00,33.00,1085.00
1963:Q2,1132.00,0.00,35.00,0.00,0.00,87.00,0.00,7.00,0.00,80.00,0.00,998.00,0.00,12.00,0.00,0.00,12.00,1132.00
1963:Q3,1199.00,0.00,36.00,0.00,0.00,90.00,0.00,-4.00,10.00,84.00,0.00,1051.00,0.00,22.00,0.00,0.00,22.00,1199.00
1963:Q4,1281.00,0.00,38.00,0.00,0.00,67.00,0.00,10.00,-2.00,59.00,0.00,1107.00,0.00,69.00,0.00,0.00,69.00,1281.00
1964:Q1,1439.00,0.00,39.00,0.00,0.00,100.00,0.00,48.00,4.00,48.00,0.00,1188.00,0.00,112.00,0.00,0.00,112.00,1439.00
1964:Q2,1517.00,0.00,40.00,0.00,0.00,63.00,0.00,-52.00,-3.00,118.00,0.00,1245.00,0.00,169.00,0.00,0.00,169.00,1517.00
1964:Q3,1582.00,0.00,42.00,0.00,0.00,57.00,0.00,-1.00,-3.00,61.00,0.00,1306.00,0.00,177.00,0.00,0.00,177.00,1582.00
1964:Q4,1672.00,0.00,44.00,0.00,0.00,142.00,0.00,14.00,26.00,102.00,0.00,1348.00,0.00,138.00,0.00,0.00,138.00,1672.00
1965:Q1,1662.00,0.00,45.00,0.00,0.00,115.00,0.00,48.00,-17.00,84.00,0.00,1398.00,0.00,104.00,0.00,0.00,104.00,1662.00
1965:Q2,1562.00,0.00,47.00,0.00,0.00,43.00,0.00,-50.00,1.00,92.00,0.00,1383.00,0.00,89.00,0.00,0.00,89.00,1562.00
1965:Q3,1657.00,0.00,49.00,0.00,0.00,15.00,0.00,-63.00,6.00,72.00,0.00,1544.00,0.00,49.00,0.00,0.00,49.00,1657.00
1965:Q4,1850.00,0.00,51.00,0.00,0.00,78.00,0.00,21.00,5.00,52.00,0.00,1630.00,0.00,91.00,0.00,0.00,91.00,1850.00
1966:Q1,2005.00,0.00,53.00,0.00,0.00,194.00,0.00,-15.00,2.00,207.00,0.00,1631.00,0.00,127.00,0.00,0.00,127.00,2005.00
1966:Q2,1870.00,0.00,55.00,0.00,0.00,60.00,0.00,-26.00,2.00,84.00,0.00,1595.00,0.00,160.00,0.00,0.00,160.00,1870.00
1966:Q3,1790.00,0.00,56.00,0.00,0.00,79.00,0.00,-6.00,-7.00,92.00,0.00,1468.00,0.00,187.00,0.00,0.00,187.00,1790.00
1966:Q4,1892.00,0.00,69.00,0.00,0.00,111.00,0.00,-12.00,1.00,122.00,0.00,1579.00,0.00,133.00,0.00,0.00,133.00,1892.00
1967:Q1,2034.00,0.00,57.00,0.00,0.00,41.00,0.00,-39.00,-3.00,83.00,0.00,1820.00,0.00,116.00,0.00,0.00,116.00,2034.00
1967:Q2,2102.00,0.00,68.00,0.00,0.00,-14.00,0.00,-37.00,-9.00,32.00,0.00,1873.00,0.00,175.00,0.00,0.00,175.00,2102.00
1967:Q3,2307.00,0.00,69.00,0.00,0.00,69.00,0.00,-8.00,-7.00,84.00,0.00,2021.00,0.00,148.00,0.00,0.00,148.00,2307.00
1967:Q4,2319.00,0.00,87.00,0.00,0.00,26.00,0.00,5.00,-5.00,26.00,0.00,2044.00,0.00,162.00,0.00,0.00,162.00,2319.00
1968:Q1,2301.00,0.00,57.00,0.00,0.00,136.00,0.00,55.00,4.00,77.00,0.00,1931.00,0.00,177.00,0.00,0.00,177.00,2301.00
1968:Q2,2393.00,0.00,78.00,0.00,0.00,1.00,0.00,-7.00,5.00,3.00,0.00,2239.00,0.00,75.00,0.00,0.00,75.00,2393.00
1968:Q3,2587.00,0.00,86.00,0.00,0.00,36.00,0.00,-15.00,5.00,46.00,0.00,2355.00,0.00,110.00,0.00,0.00,110.00,2587.00
1968:Q4,2723.00,0.00,92.00,0.00,0.00,62.00,0.00,60.00,-1.00,3.00,0.00,2458.00,0.00,111.00,0.00,0.00,111.00,2723.00
1969:Q1,2627.00,0.00,56.00,0.00,0.00,0.00,0.00,25.00,8.00,-33.00,0.00,2433.00,0.00,138.00,0.00,0.00,138.00,2627.00
1969:Q2,2630.00,0.00,113.00,0.00,0.00,-44.00,0.00,-67.00,8.00,15.00,0.00,2437.00,0.00,124.00,0.00,0.00,124.00,2630.00
1969:Q3,2722.00,0.00,84.00,0.00,0.00,118.00,0.00,-8.00,18.00,108.00,0.00,2390.00,0.00,130.00,0.00,0.00,130.00,2722.00
1969:Q4,2721.00,0.00,99.00,0.00,0.00,51.00,0.00,6.00,12.00,33.00,0.00,2457.00,0.00,114.00,0.00,0.00,114.00,2721.00
