1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,447.00,447.00,0.00,2813.00,2813.00,261.00,261.00,0.00,0.00,1086.00,1086.00,2631.00,337.00,2294.00,0.00,2631.00,7912.00,3832.00,1568.00,2512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24925.00,41837.00,15261.00,24925.00,41837.00,15261.00
1952:Q1,441.00,441.00,0.00,2777.00,2777.00,345.00,345.00,0.00,0.00,1105.00,1105.00,2699.00,353.00,2346.00,0.00,2699.00,8156.00,3980.00,1600.00,2576.00,0.00,0.00,0.00,139.00,139.00,0.00,0.00,0.00,0.00,24201.00,43464.00,15603.00,24201.00,43464.00,15603.00
1952:Q2,435.00,435.00,0.00,2728.00,2728.00,407.00,407.00,0.00,0.00,1123.00,1123.00,2767.00,368.00,2399.00,0.00,2767.00,8417.00,4138.00,1630.00,2649.00,0.00,0.00,0.00,145.00,145.00,0.00,0.00,0.00,0.00,24902.00,44839.00,16021.00,24902.00,44839.00,16021.00
1952:Q3,422.00,422.00,0.00,2680.00,2680.00,380.00,380.00,0.00,0.00,1142.00,1142.00,2838.00,383.00,2455.00,0.00,2838.00,8677.00,4293.00,1659.00,2725.00,0.00,0.00,0.00,151.00,151.00,0.00,0.00,0.00,0.00,25635.00,46220.00,16297.00,25635.00,46220.00,16297.00
1952:Q4,433.00,433.00,0.00,2656.00,2656.00,420.00,420.00,0.00,0.00,1162.00,1162.00,3560.00,399.00,2516.00,645.00,3560.00,8916.00,4432.00,1689.00,2795.00,0.00,0.00,0.00,160.00,160.00,0.00,0.00,0.00,0.00,26217.00,47996.00,16720.00,26217.00,47996.00,16720.00
1953:Q1,444.00,444.00,0.00,2618.00,2618.00,469.00,469.00,0.00,0.00,1184.00,1184.00,3652.00,416.00,2581.00,655.00,3652.00,9140.00,4559.00,1721.00,2860.00,0.00,0.00,0.00,167.00,167.00,0.00,0.00,0.00,0.00,27003.00,49741.00,16994.00,27003.00,49741.00,16994.00
1953:Q2,422.00,422.00,0.00,2567.00,2567.00,505.00,505.00,0.00,0.00,1207.00,1207.00,3752.00,435.00,2652.00,665.00,3752.00,9355.00,4677.00,1753.00,2925.00,0.00,0.00,0.00,175.00,175.00,0.00,0.00,0.00,0.00,27841.00,51242.00,17185.00,27841.00,51242.00,17185.00
1953:Q3,418.00,418.00,0.00,2509.00,2509.00,481.00,481.00,0.00,0.00,1231.00,1231.00,3853.00,454.00,2725.00,674.00,3853.00,9557.00,4784.00,1785.00,2988.00,0.00,0.00,0.00,182.00,182.00,0.00,0.00,0.00,0.00,28726.00,53004.00,17406.00,28726.00,53004.00,17406.00
1953:Q4,420.00,420.00,0.00,2465.00,2465.00,558.00,558.00,0.00,0.00,1254.00,1254.00,3951.00,470.00,2797.00,684.00,3951.00,9741.00,4877.00,1812.00,3052.00,0.00,0.00,0.00,191.00,191.00,0.00,0.00,0.00,0.00,29507.00,54830.00,17775.00,29507.00,54830.00,17775.00
1954:Q1,395.00,395.00,0.00,2415.00,2415.00,739.00,739.00,0.00,0.00,1275.00,1275.00,4044.00,483.00,2868.00,693.00,4044.00,9901.00,4949.00,1835.00,3117.00,0.00,0.00,0.00,199.00,199.00,0.00,0.00,0.00,0.00,30155.00,56631.00,18076.00,30155.00,56631.00,18076.00
1954:Q2,454.00,454.00,0.00,2355.00,2355.00,819.00,819.00,0.00,0.00,1294.00,1294.00,4134.00,493.00,2938.00,703.00,4134.00,10032.00,4998.00,1851.00,3183.00,0.00,0.00,0.00,205.00,205.00,0.00,0.00,0.00,0.00,30813.00,58169.00,18380.00,30813.00,58169.00,18380.00
1954:Q3,521.00,521.00,0.00,2304.00,2304.00,773.00,773.00,0.00,0.00,1315.00,1315.00,4225.00,502.00,3011.00,712.00,4225.00,10160.00,5044.00,1868.00,3248.00,0.00,0.00,0.00,213.00,213.00,0.00,0.00,0.00,0.00,31335.00,60047.00,18809.00,31335.00,60047.00,18809.00
1954:Q4,531.00,531.00,0.00,2239.00,2239.00,802.00,802.00,0.00,0.00,1341.00,1341.00,4325.00,514.00,3089.00,722.00,4325.00,10310.00,5104.00,1895.00,3311.00,0.00,0.00,0.00,224.00,224.00,0.00,0.00,0.00,0.00,31629.00,61876.00,19242.00,31629.00,61876.00,19242.00
1955:Q1,633.00,633.00,0.00,2200.00,2200.00,859.00,859.00,0.00,0.00,1371.00,1371.00,4432.00,528.00,3172.00,732.00,4432.00,10479.00,5178.00,1929.00,3372.00,0.00,0.00,0.00,237.00,237.00,0.00,0.00,0.00,0.00,31873.00,63773.00,19731.00,31873.00,63773.00,19731.00
1955:Q2,732.00,732.00,0.00,2107.00,2107.00,855.00,855.00,0.00,0.00,1405.00,1405.00,4548.00,545.00,3262.00,741.00,4548.00,10661.00,5263.00,1964.00,3434.00,0.00,0.00,0.00,259.00,259.00,0.00,0.00,0.00,0.00,31672.00,65346.00,20227.00,31672.00,65346.00,20227.00
1955:Q3,807.00,807.00,0.00,1997.00,1997.00,669.00,669.00,0.00,0.00,1442.00,1442.00,4665.00,561.00,3353.00,751.00,4665.00,10849.00,5347.00,2008.00,3494.00,0.00,0.00,0.00,280.00,280.00,0.00,0.00,0.00,0.00,31542.00,67041.00,20689.00,31542.00,67041.00,20689.00
1955:Q4,874.00,874.00,0.00,1984.00,1984.00,698.00,698.00,0.00,0.00,1482.00,1482.00,4775.00,575.00,3440.00,760.00,4775.00,11034.00,5414.00,2067.00,3553.00,0.00,0.00,0.00,295.00,295.00,0.00,0.00,0.00,0.00,31689.00,68954.00,21157.00,31689.00,68954.00,21157.00
1956:Q1,984.00,984.00,0.00,1893.00,1893.00,771.00,771.00,0.00,0.00,1525.00,1525.00,4884.00,585.00,3525.00,774.00,4884.00,11215.00,5470.00,2142.00,3603.00,0.00,0.00,0.00,311.00,311.00,0.00,0.00,0.00,0.00,31724.00,70876.00,21601.00,31724.00,70876.00,21601.00
1956:Q2,1105.00,1105.00,0.00,1858.00,1858.00,739.00,739.00,0.00,0.00,1573.00,1573.00,4988.00,592.00,3608.00,788.00,4988.00,11390.00,5510.00,2233.00,3647.00,0.00,0.00,0.00,317.00,317.00,0.00,0.00,0.00,0.00,32423.00,72532.00,22304.00,32423.00,72532.00,22304.00
1956:Q3,1290.00,1290.00,0.00,1792.00,1792.00,659.00,659.00,0.00,0.00,1622.00,1622.00,5090.00,599.00,3690.00,801.00,5090.00,11574.00,5551.00,2330.00,3693.00,0.00,0.00,0.00,324.00,324.00,0.00,0.00,0.00,0.00,33167.00,74045.00,23036.00,33167.00,74045.00,23036.00
1956:Q4,1437.00,1437.00,0.00,1740.00,1740.00,683.00,683.00,0.00,0.00,1669.00,1669.00,5200.00,612.00,3773.00,815.00,5200.00,11783.00,5608.00,2430.00,3745.00,0.00,0.00,0.00,339.00,339.00,0.00,0.00,0.00,0.00,33770.00,76182.00,23775.00,33770.00,76182.00,23775.00
1957:Q1,1694.00,1694.00,0.00,1693.00,1693.00,669.00,669.00,0.00,0.00,1714.00,1714.00,5316.00,631.00,3856.00,829.00,5316.00,12019.00,5663.00,2556.00,3800.00,0.00,0.00,0.00,348.00,348.00,0.00,0.00,0.00,0.00,34900.00,80227.00,24289.00,34900.00,80227.00,24289.00
1957:Q2,1989.00,1989.00,0.00,1592.00,1592.00,696.00,696.00,0.00,0.00,1760.00,1760.00,5438.00,657.00,3938.00,843.00,5438.00,12285.00,5723.00,2702.00,3860.00,0.00,0.00,0.00,370.00,370.00,0.00,0.00,0.00,0.00,35448.00,84083.00,24778.00,35448.00,84083.00,24778.00
1957:Q3,2122.00,2122.00,0.00,1490.00,1490.00,549.00,549.00,0.00,0.00,1804.00,1804.00,5558.00,682.00,4020.00,856.00,5558.00,12554.00,5780.00,2856.00,3918.00,0.00,0.00,0.00,373.00,373.00,0.00,0.00,0.00,0.00,37050.00,88276.00,25278.00,37050.00,88276.00,25278.00
1957:Q4,2061.00,2061.00,0.00,1413.00,1413.00,653.00,653.00,0.00,0.00,1843.00,1843.00,5669.00,698.00,4101.00,870.00,5669.00,12800.00,5829.00,3005.00,3966.00,0.00,0.00,0.00,378.00,378.00,0.00,0.00,0.00,0.00,38382.00,92474.00,25887.00,38382.00,92474.00,25887.00
1958:Q1,2182.00,2182.00,0.00,1388.00,1388.00,974.00,974.00,0.00,0.00,1877.00,1877.00,5772.00,706.00,4182.00,884.00,5772.00,13022.00,5867.00,3142.00,4013.00,0.00,0.00,0.00,393.00,393.00,0.00,0.00,0.00,0.00,38883.00,94703.00,26482.00,38883.00,94703.00,26482.00
1958:Q2,2368.00,2368.00,0.00,1288.00,1288.00,1118.00,1118.00,0.00,0.00,1903.00,1903.00,5866.00,705.00,4263.00,898.00,5866.00,13220.00,5891.00,3277.00,4052.00,0.00,0.00,0.00,414.00,414.00,0.00,0.00,0.00,0.00,38895.00,96793.00,27345.00,38895.00,96793.00,27345.00
1958:Q3,2474.00,2474.00,0.00,1287.00,1287.00,859.00,859.00,0.00,0.00,1931.00,1931.00,5959.00,704.00,4343.00,912.00,5959.00,13422.00,5918.00,3415.00,4089.00,0.00,0.00,0.00,440.00,440.00,0.00,0.00,0.00,0.00,38599.00,98966.00,28093.00,38599.00,98966.00,28093.00
1958:Q4,2400.00,2400.00,0.00,1220.00,1220.00,819.00,819.00,0.00,0.00,1969.00,1969.00,6056.00,710.00,4421.00,925.00,6056.00,13656.00,5966.00,3555.00,4135.00,0.00,0.00,0.00,469.00,469.00,0.00,0.00,0.00,0.00,38225.00,101365.00,28806.00,38225.00,101365.00,28806.00
1959:Q1,2456.00,2456.00,0.00,1186.00,1186.00,736.00,736.00,0.00,0.00,2017.00,2017.00,6160.00,726.00,4495.00,939.00,6160.00,13923.00,6033.00,3697.00,4193.00,0.00,0.00,0.00,484.00,484.00,0.00,0.00,0.00,0.00,38787.00,103708.00,28219.00,38787.00,103708.00,28219.00
1959:Q2,2585.00,2585.00,0.00,1127.00,1127.00,776.00,776.00,0.00,0.00,2074.00,2074.00,6264.00,749.00,4562.00,953.00,6264.00,14224.00,6122.00,3841.00,4261.00,0.00,0.00,0.00,510.00,510.00,0.00,0.00,0.00,0.00,38889.00,105856.00,27719.00,38889.00,105856.00,27719.00
1959:Q3,2413.00,2413.00,0.00,1075.00,1075.00,570.00,570.00,0.00,0.00,2133.00,2133.00,6374.00,774.00,4633.00,967.00,6374.00,14527.00,6212.00,3986.00,4329.00,0.00,0.00,0.00,520.00,520.00,0.00,0.00,0.00,0.00,39878.00,108124.00,27076.00,39878.00,108124.00,27076.00
1959:Q4,2412.00,2412.00,0.00,1031.00,1031.00,589.00,589.00,0.00,0.00,2187.00,2187.00,6491.00,794.00,4717.00,980.00,6491.00,14800.00,6279.00,4131.00,4390.00,0.00,0.00,0.00,547.00,547.00,0.00,0.00,0.00,0.00,39923.00,110699.00,26520.00,39923.00,110699.00,26520.00
1960:Q1,2553.00,2553.00,0.00,975.00,975.00,534.00,534.00,0.00,0.00,2238.00,2238.00,6623.00,813.00,4816.00,994.00,6623.00,15049.00,6329.00,4282.00,4438.00,0.00,0.00,0.00,549.00,549.00,0.00,0.00,0.00,0.00,41112.00,113225.00,27145.00,41112.00,113225.00,27145.00
1960:Q2,2703.00,2703.00,0.00,917.00,917.00,736.00,736.00,0.00,0.00,2288.00,2288.00,6768.00,831.00,4929.00,1008.00,6768.00,15280.00,6364.00,4437.00,4479.00,0.00,0.00,0.00,572.00,572.00,0.00,0.00,0.00,0.00,41068.00,115183.00,27841.00,41068.00,115183.00,27841.00
1960:Q3,2798.00,2798.00,0.00,873.00,873.00,737.00,737.00,0.00,0.00,2336.00,2336.00,6917.00,848.00,5047.00,1022.00,6917.00,15501.00,6393.00,4589.00,4519.00,0.00,0.00,0.00,573.00,573.00,0.00,0.00,0.00,0.00,42041.00,117789.00,28727.00,42041.00,117789.00,28727.00
1960:Q4,2940.00,2940.00,0.00,844.00,844.00,938.00,938.00,0.00,0.00,2379.00,2379.00,7061.00,865.00,5161.00,1035.00,7061.00,15721.00,6427.00,4728.00,4566.00,0.00,0.00,0.00,613.00,613.00,0.00,0.00,0.00,0.00,40785.00,120485.00,29412.00,40785.00,120485.00,29412.00
1961:Q1,3017.00,3017.00,0.00,803.00,803.00,1026.00,1026.00,0.00,0.00,2417.00,2417.00,7215.00,880.00,5274.00,1061.00,7215.00,15936.00,6463.00,4853.00,4620.00,0.00,0.00,0.00,657.00,657.00,0.00,0.00,0.00,0.00,39287.00,123150.00,29895.00,39287.00,123150.00,29895.00
1961:Q2,3120.00,3120.00,0.00,774.00,774.00,1154.00,1154.00,0.00,0.00,2448.00,2448.00,7367.00,893.00,5387.00,1087.00,7367.00,16146.00,6502.00,4963.00,4681.00,0.00,0.00,0.00,674.00,674.00,0.00,0.00,0.00,0.00,39055.00,125155.00,30602.00,39055.00,125155.00,30602.00
1961:Q3,3134.00,3134.00,0.00,743.00,743.00,1022.00,1022.00,0.00,0.00,2478.00,2478.00,7523.00,907.00,5502.00,1114.00,7523.00,16349.00,6537.00,5073.00,4739.00,0.00,0.00,0.00,697.00,697.00,0.00,0.00,0.00,0.00,38375.00,127956.00,31343.00,38375.00,127956.00,31343.00
1961:Q4,3201.00,3201.00,0.00,720.00,720.00,1180.00,1180.00,0.00,0.00,2512.00,2512.00,7683.00,923.00,5620.00,1140.00,7683.00,16545.00,6563.00,5195.00,4787.00,0.00,0.00,0.00,740.00,740.00,0.00,0.00,0.00,0.00,36522.00,130862.00,32134.00,36522.00,130862.00,32134.00
1962:Q1,3249.00,3249.00,0.00,677.00,677.00,1109.00,1109.00,0.00,0.00,2549.00,2549.00,7854.00,941.00,5747.00,1166.00,7854.00,16725.00,6571.00,5330.00,4824.00,0.00,0.00,0.00,749.00,749.00,0.00,0.00,0.00,0.00,36393.00,133717.00,30219.00,36393.00,133717.00,30219.00
1962:Q2,3400.00,3400.00,0.00,648.00,648.00,1193.00,1193.00,0.00,0.00,2587.00,2587.00,8040.00,959.00,5889.00,1192.00,8040.00,16882.00,6557.00,5477.00,4848.00,0.00,0.00,0.00,686.00,686.00,0.00,0.00,0.00,0.00,40074.00,135841.00,28765.00,40074.00,135841.00,28765.00
1962:Q3,3475.00,3475.00,0.00,620.00,620.00,984.00,984.00,0.00,0.00,2626.00,2626.00,8218.00,980.00,6020.00,1218.00,8218.00,17047.00,6550.00,5623.00,4874.00,0.00,0.00,0.00,716.00,716.00,0.00,0.00,0.00,0.00,38741.00,138878.00,27067.00,38741.00,138878.00,27067.00
1962:Q4,3446.00,3446.00,0.00,601.00,601.00,1213.00,1213.00,0.00,0.00,2667.00,2667.00,8363.00,1005.00,6114.00,1244.00,8363.00,17249.00,6581.00,5749.00,4919.00,0.00,0.00,0.00,768.00,768.00,0.00,0.00,0.00,0.00,36266.00,141893.00,25454.00,36266.00,141893.00,25454.00
1963:Q1,3496.00,3496.00,0.00,575.00,575.00,1283.00,1283.00,0.00,0.00,2711.00,2711.00,8473.00,1035.00,6168.00,1270.00,8473.00,17503.00,6652.00,5858.00,4993.00,0.00,0.00,0.00,803.00,803.00,0.00,0.00,0.00,0.00,34800.00,144899.00,25928.00,34800.00,144899.00,25928.00
1963:Q2,3762.00,3762.00,0.00,551.00,551.00,1325.00,1325.00,0.00,0.00,2758.00,2758.00,8547.00,1070.00,6181.00,1296.00,8547.00,17820.00,6764.00,5963.00,5093.00,0.00,0.00,0.00,834.00,834.00,0.00,0.00,0.00,0.00,33642.00,147075.00,26231.00,33642.00,147075.00,26231.00
1963:Q3,3793.00,3793.00,0.00,523.00,523.00,1014.00,1014.00,0.00,0.00,2806.00,2806.00,8616.00,1107.00,6187.00,1322.00,8616.00,18120.00,6879.00,6050.00,5191.00,0.00,0.00,0.00,864.00,864.00,0.00,0.00,0.00,0.00,32635.00,150207.00,26733.00,32635.00,150207.00,26733.00
1963:Q4,3893.00,3893.00,0.00,508.00,508.00,1151.00,1151.00,0.00,0.00,2853.00,2853.00,8710.00,1141.00,6221.00,1348.00,8710.00,18323.00,6960.00,6105.00,5258.00,0.00,0.00,0.00,895.00,895.00,0.00,0.00,0.00,0.00,31675.00,153370.00,27276.00,31675.00,153370.00,27276.00
1964:Q1,3825.00,3825.00,0.00,491.00,491.00,977.00,977.00,0.00,0.00,2898.00,2898.00,8821.00,1175.00,6272.00,1374.00,8821.00,18618.00,7077.00,6189.00,5352.00,0.00,0.00,0.00,940.00,940.00,0.00,0.00,0.00,0.00,30087.00,156519.00,27612.00,30087.00,156519.00,27612.00
1964:Q2,3752.00,3752.00,0.00,473.00,473.00,1153.00,1153.00,0.00,0.00,2941.00,2941.00,8940.00,1208.00,6332.00,1400.00,8940.00,18917.00,7198.00,6267.00,5452.00,0.00,0.00,0.00,978.00,978.00,0.00,0.00,0.00,0.00,28970.00,158915.00,27992.00,28970.00,158915.00,27992.00
1964:Q3,3730.00,3730.00,0.00,455.00,455.00,989.00,989.00,0.00,0.00,2986.00,2986.00,9072.00,1241.00,6404.00,1427.00,9072.00,19238.00,7336.00,6346.00,5556.00,0.00,0.00,0.00,1014.00,1014.00,0.00,0.00,0.00,0.00,28048.00,162141.00,28646.00,28048.00,162141.00,28646.00
1964:Q4,3912.00,3912.00,0.00,436.00,436.00,1199.00,1199.00,0.00,0.00,3039.00,3039.00,9220.00,1276.00,6491.00,1453.00,9220.00,19599.00,7507.00,6434.00,5658.00,0.00,0.00,0.00,1049.00,1049.00,0.00,0.00,0.00,0.00,27290.00,165529.00,29475.00,27290.00,165529.00,29475.00
1965:Q1,3771.00,3771.00,0.00,411.00,411.00,1048.00,1048.00,0.00,0.00,3097.00,3097.00,9386.00,1312.00,6595.00,1479.00,9386.00,19961.00,7684.00,6521.00,5756.00,0.00,0.00,0.00,1081.00,1081.00,0.00,0.00,0.00,0.00,26804.00,168846.00,29946.00,26804.00,168846.00,29946.00
1965:Q2,3865.00,3865.00,0.00,388.00,388.00,1175.00,1175.00,0.00,0.00,3160.00,3160.00,9571.00,1348.00,6718.00,1505.00,9571.00,20341.00,7865.00,6624.00,5852.00,0.00,0.00,0.00,1087.00,1087.00,0.00,0.00,0.00,0.00,27862.00,171266.00,30740.00,27862.00,171266.00,30740.00
1965:Q3,3979.00,3979.00,0.00,371.00,371.00,944.00,944.00,0.00,0.00,3228.00,3228.00,9766.00,1387.00,6848.00,1531.00,9766.00,20736.00,8047.00,6738.00,5951.00,0.00,0.00,0.00,1157.00,1157.00,0.00,0.00,0.00,0.00,25742.00,174689.00,31543.00,25742.00,174689.00,31543.00
1965:Q4,3928.00,3928.00,0.00,352.00,352.00,1045.00,1045.00,0.00,0.00,3303.00,3303.00,9962.00,1432.00,6973.00,1557.00,9962.00,21145.00,8226.00,6859.00,6060.00,0.00,0.00,0.00,1203.00,1203.00,0.00,0.00,0.00,0.00,25040.00,178374.00,32451.00,25040.00,178374.00,32451.00
1966:Q1,3837.00,3837.00,0.00,332.00,332.00,824.00,824.00,0.00,0.00,3385.00,3385.00,10168.00,1482.00,7097.00,1589.00,10168.00,21569.00,8403.00,6990.00,6176.00,0.00,0.00,0.00,1226.00,1226.00,0.00,0.00,0.00,0.00,25900.00,182052.00,33249.00,25900.00,182052.00,33249.00
1966:Q2,3927.00,3927.00,0.00,216.00,216.00,1025.00,1025.00,0.00,0.00,3475.00,3475.00,10379.00,1537.00,7221.00,1621.00,10379.00,22009.00,8577.00,7132.00,6300.00,0.00,0.00,0.00,1223.00,1223.00,0.00,0.00,0.00,0.00,28462.00,184788.00,34363.00,28462.00,184788.00,34363.00
1966:Q3,4055.00,4055.00,0.00,164.00,164.00,735.00,735.00,0.00,0.00,3568.00,3568.00,10595.00,1595.00,7347.00,1653.00,10595.00,22463.00,8752.00,7281.00,6430.00,0.00,0.00,0.00,1189.00,1189.00,0.00,0.00,0.00,0.00,32843.00,188635.00,35369.00,32843.00,188635.00,35369.00
1966:Q4,4193.00,4193.00,0.00,135.00,135.00,1037.00,1037.00,0.00,0.00,3659.00,3659.00,10814.00,1652.00,7477.00,1685.00,10814.00,22930.00,8935.00,7435.00,6560.00,0.00,0.00,0.00,1249.00,1249.00,0.00,0.00,0.00,0.00,32186.00,192617.00,36343.00,32186.00,192617.00,36343.00
1967:Q1,3752.00,3752.00,0.00,99.00,99.00,1491.00,1491.00,0.00,0.00,3736.00,3736.00,11233.00,1920.00,7596.00,1717.00,11233.00,23427.00,9129.00,7597.00,6701.00,0.00,0.00,0.00,1353.00,1353.00,0.00,0.00,0.00,0.00,29224.00,196662.00,36365.00,29224.00,196662.00,36365.00
1967:Q2,3879.00,3879.00,0.00,83.00,83.00,1926.00,1926.00,0.00,0.00,3807.00,3807.00,11454.00,1994.00,7711.00,1749.00,11454.00,23945.00,9329.00,7769.00,6847.00,0.00,0.00,0.00,1380.00,1380.00,0.00,0.00,0.00,0.00,30463.00,199658.00,36640.00,30463.00,199658.00,36640.00
