date,FU153050005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU153050005.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q4,76555.00,15755.00,18264.00,18184.00,24352.00,76555.00,21673.00,-4046.00,-88.00,3140.00,1500.00,13442.00,7725.00
1994:Q1,95885.00,5584.00,48522.00,17740.00,24039.00,95885.00,21388.00,-2036.00,-223.00,3291.00,3250.00,6509.00,10597.00
1994:Q2,91137.00,305.00,48333.00,17983.00,24516.00,91137.00,21388.00,-2578.00,-223.00,3291.00,3250.00,6509.00,11139.00
1994:Q3,81595.00,21582.00,15679.00,18610.00,25724.00,81595.00,21388.00,-1658.00,201.00,3291.00,3250.00,6509.00,9795.00
1994:Q4,48755.00,-3137.00,7880.00,18337.00,25675.00,48755.00,21388.00,-1124.00,200.00,3291.00,3250.00,6509.00,9262.00
1995:Q1,81683.00,29274.00,8694.00,18382.00,25333.00,81683.00,30538.00,2151.00,274.00,2797.00,3750.00,10836.00,10730.00
1995:Q2,83580.00,19984.00,21360.00,18308.00,23928.00,83580.00,30538.00,2978.00,273.00,2797.00,3750.00,10836.00,9904.00
1995:Q3,90313.00,13076.00,32258.00,18303.00,26676.00,90313.00,30538.00,1252.00,331.00,2797.00,3750.00,10836.00,11572.00
1995:Q4,80941.00,9397.00,25804.00,18341.00,27399.00,80941.00,30538.00,-1840.00,330.00,2797.00,3750.00,10836.00,14665.00
1996:Q1,79805.00,8455.00,25795.00,18279.00,27276.00,79805.00,33188.00,34.00,262.00,2585.00,3250.00,15971.00,11086.00
1996:Q2,73641.00,6718.00,20855.00,18514.00,27554.00,73641.00,33188.00,-523.00,261.00,2585.00,3250.00,15971.00,11644.00
1996:Q3,74588.00,5569.00,23074.00,18135.00,27810.00,74588.00,33188.00,-702.00,167.00,2585.00,3250.00,15971.00,11917.00
1996:Q4,100393.00,31039.00,21751.00,18652.00,28951.00,100393.00,33188.00,-1964.00,166.00,2585.00,3250.00,15971.00,13180.00
1997:Q1,83898.00,14808.00,14769.00,17684.00,36637.00,83898.00,37942.00,-1754.00,344.00,11883.00,-500.00,21124.00,6845.00
1997:Q2,105252.00,25810.00,24878.00,18699.00,35865.00,105252.00,37942.00,-478.00,344.00,11883.00,-500.00,21124.00,5569.00
1997:Q3,96697.00,19087.00,24515.00,18236.00,34859.00,96697.00,37942.00,1965.00,344.00,11883.00,-500.00,21124.00,3126.00
1997:Q4,88386.00,-2942.00,32364.00,19225.00,39739.00,88386.00,37942.00,-5665.00,143.00,11883.00,-500.00,21124.00,10957.00
1998:Q1,118427.00,17308.00,46198.00,18248.00,36673.00,118427.00,47865.00,-1563.00,300.00,6152.00,6000.00,21442.00,15534.00
1998:Q2,122527.00,28402.00,36402.00,19219.00,38504.00,122527.00,47865.00,-3865.00,-688.00,6152.00,6000.00,21442.00,18824.00
1998:Q3,115656.00,20326.00,34370.00,18238.00,42722.00,115656.00,47865.00,1717.00,48.00,6152.00,6000.00,21442.00,12506.00
1998:Q4,97376.00,1295.00,37474.00,20362.00,38245.00,97376.00,47865.00,-2025.00,675.00,6152.00,6000.00,21442.00,15621.00
1999:Q1,64520.00,453.00,5933.00,18498.00,39636.00,64520.00,54916.00,-784.00,370.00,10201.00,4500.00,19987.00,20642.00
1999:Q2,80757.00,6509.00,15191.00,20013.00,39044.00,80757.00,54916.00,-86.00,371.00,10201.00,4500.00,19987.00,19943.00
1999:Q3,80558.00,-4719.00,20916.00,19439.00,44922.00,80558.00,54916.00,-2268.00,374.00,10201.00,4500.00,19987.00,22122.00
1999:Q4,102809.00,20166.00,29758.00,20276.00,32609.00,102809.00,54916.00,-3309.00,-208.00,10201.00,4500.00,19987.00,23745.00
2000:Q1,91680.00,7402.00,37718.00,19740.00,26820.00,91680.00,57152.00,-2367.00,-82.00,4878.00,1000.00,17024.00,36699.00
2000:Q2,95994.00,24253.00,17744.00,19840.00,34157.00,95994.00,57152.00,4435.00,-184.00,4878.00,1000.00,17024.00,29999.00
2000:Q3,96828.00,26437.00,19269.00,20227.00,30895.00,96828.00,57152.00,4031.00,124.00,4878.00,1000.00,17024.00,30095.00
2000:Q4,109959.00,22871.00,28993.00,19961.00,38134.00,109959.00,57152.00,533.00,586.00,4878.00,1000.00,17024.00,33131.00
2001:Q1,101533.00,50129.00,-7932.00,19864.00,39472.00,101533.00,42466.00,6201.00,314.00,6641.00,4000.00,14164.00,11146.00
2001:Q2,93632.00,4754.00,38075.00,20773.00,30030.00,93632.00,42466.00,-1876.00,1749.00,6641.00,4000.00,14164.00,17788.00
2001:Q3,148601.00,63544.00,22069.00,20107.00,42881.00,148601.00,42466.00,-948.00,1539.00,6641.00,4000.00,14164.00,17070.00
2001:Q4,73000.00,-26307.00,49101.00,21541.00,28665.00,73000.00,42466.00,-2113.00,-358.00,6641.00,4000.00,14164.00,20132.00
2002:Q1,119729.00,-13103.00,79260.00,21089.00,32483.00,119729.00,43702.00,1810.00,894.00,20500.00,2750.00,8246.00,9502.00
2002:Q2,94746.00,45956.00,-10444.00,20430.00,38804.00,94746.00,43702.00,2604.00,699.00,20500.00,2750.00,8246.00,8903.00
2002:Q3,110179.00,51641.00,-5929.00,23597.00,40870.00,110179.00,43702.00,3562.00,708.00,20500.00,2750.00,8246.00,7936.00
2002:Q4,122806.00,39350.00,21370.00,30073.00,32013.00,122806.00,43702.00,-3268.00,1088.00,20700.00,2750.00,8246.00,14186.00
2003:Q1,178967.00,18214.00,79121.00,32148.00,49484.00,178967.00,40092.00,3137.00,1233.00,1305.00,-3000.00,21178.00,16239.00
2003:Q2,104474.00,-6805.00,46566.00,23160.00,41553.00,104474.00,40092.00,1248.00,1674.00,1305.00,-3000.00,21178.00,17687.00
2003:Q3,101366.00,2382.00,25545.00,24567.00,48872.00,101366.00,40092.00,-634.00,76.00,1305.00,-3000.00,21178.00,21167.00
2003:Q4,116244.00,3062.00,43587.00,23296.00,46299.00,116244.00,40092.00,-2247.00,502.00,1306.00,-3000.00,21178.00,22353.00
2004:Q1,136942.00,32172.00,33458.00,23486.00,47826.00,136942.00,43976.00,266.00,-83.00,-550.00,-3250.00,21439.00,26154.00
2004:Q2,137702.00,24199.00,39170.00,22970.00,51363.00,137702.00,43976.00,1784.00,883.00,-550.00,-3250.00,21439.00,23670.00
2004:Q3,173948.00,40431.00,56969.00,24505.00,52043.00,173948.00,43976.00,-435.00,-437.00,-550.00,-3250.00,21439.00,27209.00
2004:Q4,145793.00,13805.00,61280.00,24640.00,46068.00,145793.00,43976.00,-870.00,510.00,500.00,-3250.00,21439.00,25647.00
2005:Q1,140921.00,30057.00,34424.00,23988.00,52452.00,140921.00,51605.00,510.00,15.00,7050.00,1500.00,21287.00,21243.00
2005:Q2,146445.00,31844.00,41020.00,24327.00,49254.00,146445.00,51605.00,866.00,1122.00,7050.00,1500.00,21287.00,19780.00
2005:Q3,122526.00,3767.00,45582.00,25050.00,48127.00,122526.00,51605.00,1580.00,-23.00,7050.00,1500.00,21287.00,20211.00
2005:Q4,143594.00,26787.00,41194.00,24445.00,51168.00,143594.00,51605.00,4448.00,518.00,7050.00,1500.00,21287.00,16802.00
2006:Q1,121410.00,5327.00,43220.00,23651.00,49212.00,121410.00,61862.00,3249.00,487.00,3058.00,8500.00,26510.00,20058.00
2006:Q2,148426.00,28675.00,39097.00,23872.00,56782.00,148426.00,61862.00,4494.00,1237.00,3058.00,8500.00,26510.00,18063.00
2006:Q3,135534.00,9033.00,50017.00,23955.00,52529.00,135534.00,61862.00,7703.00,1185.00,3058.00,8500.00,26510.00,14906.00
2006:Q4,119125.00,-3012.00,47567.00,23852.00,50718.00,119125.00,61862.00,15109.00,1013.00,3058.00,8500.00,26510.00,7672.00
2007:Q1,112617.00,3496.00,33782.00,23472.00,51867.00,112617.00,73337.00,5311.00,1613.00,12262.00,7000.00,33967.00,13184.00
2007:Q2,133937.00,10662.00,38841.00,23590.00,60844.00,133937.00,82862.00,6335.00,1488.00,8524.00,9000.00,33957.00,23558.00
2007:Q3,115000.00,2716.00,35119.00,23804.00,53361.00,115000.00,84928.00,3969.00,1040.00,2425.00,14000.00,23358.00,40136.00
2007:Q4,133988.00,21988.00,32319.00,24570.00,55111.00,133988.00,89091.00,6620.00,872.00,978.00,14000.00,31695.00,34926.00
2008:Q1,113526.00,26125.00,22216.00,23796.00,41389.00,113526.00,113101.00,9187.00,1902.00,-3902.00,23000.00,7747.00,75167.00
2008:Q2,113955.00,-570.00,31946.00,24139.00,58440.00,113955.00,65902.00,6706.00,1571.00,-1738.00,-9000.00,23515.00,44848.00
2008:Q3,152273.00,67415.00,19468.00,24090.00,41300.00,152273.00,90547.00,10142.00,798.00,1822.00,18000.00,-24398.00,84183.00
2008:Q4,113547.00,35972.00,18225.00,24435.00,34915.00,113547.00,125619.00,18121.00,2942.00,-10163.00,14000.00,-38394.00,139113.00
2009:Q1,104240.00,-6936.00,40968.00,22436.00,47772.00,104240.00,58988.00,14774.00,4196.00,-7690.00,5000.00,-16442.00,59150.00
2009:Q2,136058.00,-11231.00,53197.00,23644.00,70448.00,136058.00,-32219.00,10777.00,2357.00,6866.00,-19000.00,45361.00,-78580.00
2009:Q3,121476.00,-20987.00,52123.00,22482.00,67858.00,121476.00,-49691.00,3884.00,1253.00,5732.00,-16000.00,28477.00,-73037.00
2009:Q4,138635.00,4386.00,46137.00,25176.00,62936.00,138635.00,48303.00,1276.00,940.00,3935.00,-12000.00,42491.00,11661.00
2010:Q1,152711.00,16569.00,50779.00,23868.00,61495.00,152711.00,25179.00,4169.00,1113.00,5739.00,-10000.00,34027.00,-9869.00
2010:Q2,154001.00,45385.00,38259.00,25519.00,44838.00,154001.00,51549.00,8692.00,1028.00,2935.00,-2000.00,13862.00,27032.00
2010:Q3,166047.00,22302.00,51269.00,25811.00,66665.00,166047.00,7626.00,5189.00,827.00,11483.00,-6000.00,32137.00,-36010.00
2010:Q4,161529.00,16657.00,51057.00,26937.00,66878.00,161529.00,49154.00,8537.00,41.00,10889.00,-6000.00,39971.00,-4284.00
2011:Q1,121670.00,8723.00,34472.00,26073.00,52402.00,121670.00,61914.00,2262.00,280.00,7145.00,-5000.00,29812.00,27415.00
2011:Q2,121403.00,16535.00,30737.00,27462.00,46669.00,121403.00,53456.00,7005.00,366.00,3142.00,5000.00,19779.00,18164.00
2011:Q3,131632.00,60845.00,16853.00,26923.00,27011.00,131632.00,115576.00,11781.00,417.00,-1446.00,10000.00,-18961.00,113785.00
2011:Q4,122545.00,-2652.00,34365.00,32513.00,58319.00,122545.00,19070.00,-709.00,167.00,4602.00,-1000.00,15533.00,477.00
2012:Q1,156296.00,37398.00,39251.00,25515.00,54132.00,156296.00,-1313.00,3068.00,809.00,18299.00,-8000.00,25031.00,-40520.00
2012:Q2,91042.00,-12809.00,34323.00,25458.00,44070.00,91042.00,38538.00,6751.00,588.00,-5765.00,2000.00,13956.00,21008.00
2012:Q3,123521.00,4787.00,38060.00,25426.00,55248.00,123521.00,36593.00,6578.00,456.00,5872.00,4000.00,21408.00,-1721.00
2012:Q4,125422.00,18837.00,32021.00,25680.00,48884.00,125422.00,53158.00,7985.00,-444.00,4081.00,7000.00,18549.00,15987.00
2013:Q1,113767.00,16895.00,30238.00,23902.00,42732.00,113767.00,78481.00,-3859.00,35.00,11989.00,-5000.00,55126.00,20190.00
2013:Q2,118062.00,7251.00,37650.00,25063.00,48098.00,118062.00,93257.00,9609.00,26.00,1787.00,15000.00,30439.00,36396.00
2013:Q3,123802.00,3109.00,40589.00,26761.00,53343.00,123802.00,42977.00,585.00,-25.00,6472.00,7000.00,25783.00,3162.00
2013:Q4,132775.00,6008.00,39884.00,31565.00,55318.00,132775.00,49705.00,-6713.00,-695.00,9199.00,-4000.00,42029.00,9885.00
2014:Q1,75294.00,18573.00,-7915.00,25641.00,38995.00,75294.00,61058.00,-6747.00,-309.00,6415.00,-4000.00,24763.00,40936.00
2014:Q2,71223.00,2208.00,-52.00,24894.00,44173.00,71223.00,54883.00,-1735.00,-379.00,3772.00,-4000.00,31669.00,25556.00
2014:Q3,74022.00,5307.00,-5177.00,29664.00,44228.00,74022.00,35621.00,3857.00,-369.00,175.00,2000.00,7039.00,22919.00
2014:Q4,90523.00,11125.00,-453.00,31899.00,47952.00,90523.00,56809.00,4749.00,-516.00,4863.00,-4000.00,22636.00,29077.00
2015:Q1,101217.00,-11199.00,35430.00,25724.00,51262.00,101217.00,54750.00,-8594.00,-215.00,-320.00,-7000.00,31192.00,39687.00
2015:Q2,110000.00,18855.00,14430.00,26179.00,50536.00,110000.00,80574.00,8856.00,-61.00,3770.00,1000.00,23964.00,43045.00
2015:Q3,96343.00,28342.00,-3122.00,27642.00,43481.00,96343.00,43224.00,14275.00,62.00,-2838.00,9000.00,-9303.00,32028.00
2015:Q4,127998.00,17806.00,18583.00,31497.00,60112.00,127998.00,46323.00,3448.00,-33.00,6673.00,-7000.00,13693.00,29542.00
2016:Q1,145058.00,17521.00,44814.00,27648.00,55075.00,145058.00,57947.00,8130.00,440.00,4542.00,13000.00,4509.00,27326.00
2016:Q2,82861.00,-6313.00,9528.00,25772.00,53874.00,82861.00,17829.00,5321.00,643.00,9298.00,0.00,4040.00,-1473.00
2016:Q3,95540.00,1477.00,7643.00,28042.00,58378.00,95540.00,ND,ND,ND,ND,ND,ND,ND
