1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,509.00,412.00,62.00,0.00,0.00,0.00,350.00,0.00,0.00,350.00,0.00,0.00,0.00,97.00,78.00,19.00,509.00,349.00,-53.00,0.00,0.00,59.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,22.00,91.00
1952:Q1,980.00,1096.00,80.00,0.00,0.00,0.00,1016.00,0.00,0.00,1016.00,0.00,0.00,0.00,-116.00,-104.00,-12.00,980.00,788.00,8.00,0.00,0.00,136.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,-48.00
1952:Q2,744.00,896.00,156.00,0.00,0.00,0.00,740.00,0.00,0.00,740.00,0.00,0.00,0.00,-152.00,-136.00,-16.00,744.00,-400.00,1508.00,0.00,0.00,-244.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.00,0.00,0.00,-44.00,-52.00
1952:Q3,636.00,540.00,28.00,0.00,0.00,0.00,512.00,0.00,0.00,512.00,0.00,0.00,0.00,96.00,124.00,-28.00,636.00,420.00,-88.00,0.00,0.00,372.00,-104.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,-20.00,80.00
1952:Q4,-688.00,-868.00,-16.00,0.00,0.00,0.00,-852.00,0.00,0.00,-852.00,0.00,0.00,0.00,180.00,124.00,56.00,-688.00,188.00,-1008.00,0.00,0.00,-84.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,24.00,84.00
1953:Q1,636.00,780.00,12.00,0.00,0.00,0.00,768.00,0.00,0.00,768.00,0.00,0.00,0.00,-144.00,-120.00,-24.00,636.00,920.00,-72.00,0.00,0.00,-188.00,-40.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,16.00,-12.00
1953:Q2,-496.00,-404.00,-40.00,0.00,0.00,0.00,-364.00,0.00,0.00,-364.00,0.00,0.00,0.00,-92.00,-88.00,-4.00,-496.00,-212.00,184.00,0.00,0.00,-376.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.00,0.00,0.00,-40.00,-4.00
1953:Q3,1096.00,800.00,40.00,0.00,0.00,0.00,760.00,0.00,0.00,760.00,0.00,0.00,0.00,296.00,280.00,16.00,1096.00,476.00,92.00,0.00,0.00,400.00,-60.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,-8.00,204.00
1953:Q4,276.00,8.00,272.00,0.00,0.00,0.00,-264.00,0.00,0.00,-264.00,0.00,0.00,0.00,268.00,188.00,80.00,276.00,-160.00,-168.00,0.00,0.00,184.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,0.00,80.00,180.00
1954:Q1,1300.00,1272.00,372.00,0.00,0.00,0.00,900.00,0.00,0.00,900.00,0.00,0.00,0.00,28.00,24.00,4.00,1300.00,472.00,352.00,0.00,0.00,612.00,-28.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,0.00,-16.00,-76.00
1954:Q2,-276.00,-344.00,88.00,0.00,0.00,0.00,-432.00,0.00,0.00,-432.00,0.00,0.00,0.00,68.00,28.00,40.00,-276.00,-304.00,196.00,0.00,0.00,-64.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,-24.00,-52.00
1954:Q3,80.00,52.00,228.00,0.00,0.00,0.00,-176.00,0.00,0.00,-176.00,0.00,0.00,0.00,28.00,64.00,-36.00,80.00,-280.00,-96.00,0.00,0.00,548.00,-44.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,16.00,-76.00
1954:Q4,16.00,-1072.00,-172.00,0.00,0.00,0.00,-900.00,0.00,0.00,-900.00,0.00,0.00,0.00,1088.00,856.00,232.00,16.00,-784.00,-104.00,0.00,0.00,-176.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,20.00,936.00
1955:Q1,764.00,1032.00,-192.00,0.00,0.00,0.00,1224.00,0.00,0.00,1224.00,0.00,0.00,0.00,-268.00,-216.00,-52.00,764.00,1220.00,-164.00,0.00,0.00,-304.00,-52.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00,64.00,-68.00
1955:Q2,-4.00,564.00,-268.00,0.00,0.00,0.00,832.00,0.00,0.00,832.00,0.00,0.00,0.00,-568.00,-488.00,-80.00,-4.00,636.00,292.00,0.00,64.00,-516.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,-20.00,-440.00
1955:Q3,-348.00,-360.00,-224.00,0.00,0.00,0.00,-136.00,0.00,0.00,-136.00,0.00,0.00,0.00,12.00,48.00,-36.00,-348.00,-176.00,-312.00,0.00,12.00,92.00,-80.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,56.00,12.00
1955:Q4,-1032.00,-920.00,8.00,0.00,0.00,0.00,-928.00,0.00,0.00,-928.00,0.00,0.00,0.00,-112.00,-96.00,-16.00,-1032.00,-552.00,-112.00,0.00,20.00,-272.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.00,0.00,0.00,-44.00,-84.00
1956:Q1,2268.00,2192.00,-40.00,0.00,0.00,0.00,2232.00,0.00,0.00,2232.00,0.00,0.00,0.00,76.00,64.00,12.00,2268.00,2096.00,-392.00,0.00,-36.00,144.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,172.00,0.00,0.00,160.00,148.00
1956:Q2,-188.00,-340.00,-116.00,0.00,0.00,0.00,-224.00,0.00,0.00,-224.00,0.00,0.00,0.00,152.00,76.00,76.00,-188.00,-320.00,580.00,0.00,12.00,-204.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,-144.00,0.00,0.00,-160.00,40.00
1956:Q3,472.00,24.00,240.00,0.00,0.00,0.00,-216.00,0.00,0.00,-216.00,0.00,0.00,0.00,448.00,388.00,60.00,472.00,-768.00,368.00,0.00,-4.00,344.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,100.00,372.00
1956:Q4,-640.00,-1280.00,-20.00,0.00,0.00,0.00,-1260.00,0.00,0.00,-1260.00,0.00,0.00,0.00,640.00,528.00,112.00,-640.00,-744.00,-204.00,0.00,68.00,-112.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.00,0.00,0.00,-32.00,368.00
1957:Q1,2232.00,2020.00,-136.00,0.00,0.00,0.00,2156.00,0.00,0.00,2156.00,0.00,0.00,0.00,212.00,164.00,48.00,2232.00,1988.00,-124.00,0.00,-44.00,-72.00,-48.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,0.00,16.00,464.00
1957:Q2,-924.00,-824.00,-4.00,0.00,0.00,0.00,-820.00,0.00,0.00,-820.00,0.00,0.00,0.00,-100.00,-128.00,28.00,-924.00,-668.00,-20.00,0.00,0.00,-196.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,-56.00
1957:Q3,1036.00,188.00,-76.00,0.00,0.00,0.00,264.00,0.00,0.00,264.00,0.00,0.00,0.00,848.00,704.00,144.00,1036.00,-176.00,248.00,0.00,-24.00,332.00,-76.00,0.00,0.00,0.00,0.00,0.00,0.00,-28.00,0.00,0.00,-16.00,776.00
1957:Q4,1012.00,600.00,392.00,0.00,0.00,0.00,208.00,0.00,0.00,208.00,0.00,0.00,0.00,412.00,356.00,56.00,1012.00,36.00,416.00,0.00,104.00,376.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,60.00,-52.00
1958:Q1,4236.00,3332.00,1060.00,0.00,0.00,0.00,2272.00,0.00,0.00,2272.00,0.00,0.00,0.00,904.00,716.00,188.00,4236.00,1348.00,900.00,0.00,-56.00,1452.00,-44.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,64.00,452.00
1958:Q2,-900.00,-252.00,452.00,0.00,0.00,0.00,-704.00,0.00,0.00,-704.00,0.00,0.00,0.00,-648.00,-568.00,-80.00,-900.00,536.00,-1236.00,0.00,24.00,160.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,92.00,-624.00
1958:Q3,-1500.00,-1200.00,-272.00,0.00,0.00,0.00,-928.00,0.00,0.00,-928.00,0.00,0.00,0.00,-300.00,-232.00,-68.00,-1500.00,-404.00,-700.00,0.00,-68.00,0.00,-64.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.00,0.00,0.00,-48.00,-172.00
1958:Q4,-1888.00,-1476.00,-296.00,0.00,0.00,0.00,-1180.00,0.00,0.00,-1180.00,0.00,0.00,0.00,-412.00,-280.00,-132.00,-1888.00,-1072.00,136.00,0.00,100.00,-780.00,116.00,0.00,0.00,68.00,0.00,0.00,0.00,-220.00,0.00,0.00,-136.00,-100.00
1959:Q1,1396.00,1940.00,-212.00,0.00,0.00,0.00,2152.00,0.00,0.00,2152.00,0.00,0.00,0.00,-544.00,-452.00,-92.00,1396.00,796.00,688.00,0.00,-124.00,-176.00,-20.00,0.00,0.00,332.00,0.00,0.00,0.00,128.00,0.00,0.00,132.00,-360.00
1959:Q2,440.00,668.00,-596.00,0.00,0.00,0.00,1264.00,0.00,0.00,1264.00,0.00,0.00,0.00,-228.00,-232.00,4.00,440.00,420.00,392.00,0.00,-24.00,-664.00,0.00,0.00,0.00,340.00,0.00,0.00,0.00,8.00,0.00,0.00,4.00,-36.00
1959:Q3,-712.00,-576.00,-88.00,0.00,0.00,0.00,-488.00,0.00,0.00,-488.00,0.00,0.00,0.00,-136.00,-92.00,-44.00,-712.00,136.00,-1280.00,0.00,-24.00,384.00,-52.00,0.00,0.00,-104.00,0.00,0.00,0.00,144.00,0.00,0.00,144.00,-60.00
1959:Q4,124.00,-612.00,-476.00,0.00,0.00,0.00,-136.00,0.00,0.00,-136.00,0.00,0.00,0.00,736.00,636.00,100.00,124.00,-2000.00,2328.00,0.00,176.00,-164.00,112.00,0.00,0.00,-164.00,0.00,0.00,0.00,-140.00,0.00,0.00,-136.00,112.00
1960:Q1,5780.00,4888.00,164.00,0.00,0.00,0.00,4724.00,0.00,0.00,4724.00,0.00,0.00,0.00,892.00,696.00,196.00,5780.00,4964.00,-520.00,0.00,-148.00,176.00,-116.00,0.00,0.00,-104.00,0.00,0.00,0.00,112.00,0.00,0.00,112.00,1304.00
1960:Q2,928.00,816.00,768.00,0.00,0.00,0.00,48.00,0.00,0.00,48.00,0.00,0.00,0.00,112.00,52.00,60.00,928.00,676.00,-144.00,0.00,-8.00,284.00,32.00,0.00,0.00,184.00,0.00,0.00,0.00,36.00,0.00,0.00,36.00,-168.00
1960:Q3,1096.00,-44.00,492.00,0.00,0.00,0.00,-536.00,0.00,0.00,-536.00,0.00,0.00,0.00,1140.00,924.00,216.00,1096.00,-420.00,-96.00,0.00,12.00,532.00,-24.00,0.00,0.00,164.00,0.00,0.00,0.00,80.00,0.00,0.00,76.00,772.00
1960:Q4,912.00,-480.00,392.00,0.00,0.00,0.00,-872.00,0.00,0.00,-872.00,0.00,0.00,0.00,1392.00,1160.00,232.00,912.00,-1448.00,944.00,0.00,184.00,620.00,176.00,0.00,0.00,460.00,0.00,0.00,0.00,-128.00,0.00,0.00,-124.00,228.00
1961:Q1,2880.00,2024.00,-884.00,0.00,0.00,0.00,2908.00,0.00,0.00,2908.00,0.00,0.00,0.00,856.00,656.00,200.00,2880.00,2536.00,-1424.00,0.00,-76.00,828.00,332.00,0.00,0.00,-28.00,0.00,0.00,0.00,252.00,0.00,0.00,252.00,208.00
1961:Q2,-12.00,-212.00,768.00,0.00,0.00,0.00,-980.00,0.00,0.00,-980.00,0.00,0.00,0.00,200.00,132.00,68.00,-12.00,132.00,-8.00,0.00,-36.00,368.00,-60.00,0.00,0.00,-24.00,0.00,0.00,0.00,-148.00,0.00,0.00,-152.00,-84.00
1961:Q3,-204.00,-800.00,608.00,0.00,0.00,0.00,-1408.00,0.00,0.00,-1408.00,0.00,0.00,0.00,596.00,488.00,108.00,-204.00,-1052.00,-952.00,0.00,-12.00,1136.00,-28.00,0.00,0.00,-200.00,0.00,0.00,0.00,212.00,0.00,0.00,216.00,476.00
1961:Q4,744.00,-256.00,808.00,0.00,0.00,0.00,-1064.00,0.00,0.00,-1064.00,0.00,0.00,0.00,1000.00,844.00,156.00,744.00,-3064.00,3588.00,0.00,100.00,1288.00,-36.00,0.00,0.00,-152.00,0.00,0.00,0.00,-328.00,0.00,0.00,-328.00,-324.00
1962:Q1,3096.00,3812.00,-156.00,0.00,0.00,0.00,3968.00,0.00,0.00,3968.00,0.00,0.00,0.00,-716.00,-600.00,-116.00,3096.00,4112.00,-2476.00,0.00,-108.00,-444.00,-92.00,0.00,0.00,872.00,0.00,0.00,0.00,568.00,0.00,0.00,568.00,96.00
1962:Q2,420.00,1032.00,276.00,0.00,0.00,0.00,756.00,0.00,0.00,756.00,0.00,0.00,0.00,-612.00,-504.00,-108.00,420.00,540.00,1108.00,0.00,76.00,-884.00,68.00,0.00,0.00,276.00,0.00,0.00,0.00,-248.00,0.00,0.00,-248.00,-268.00
1962:Q3,1984.00,2228.00,464.00,0.00,0.00,0.00,1764.00,0.00,0.00,1764.00,0.00,0.00,0.00,-244.00,-196.00,-48.00,1984.00,76.00,1232.00,0.00,-104.00,556.00,-24.00,0.00,0.00,196.00,0.00,0.00,0.00,76.00,0.00,0.00,72.00,-96.00
1962:Q4,-380.00,-1816.00,-168.00,0.00,0.00,0.00,-1648.00,0.00,0.00,-1648.00,0.00,0.00,0.00,1436.00,1192.00,244.00,-380.00,-1508.00,996.00,0.00,152.00,164.00,36.00,0.00,0.00,-728.00,0.00,0.00,0.00,64.00,0.00,0.00,68.00,376.00
1963:Q1,3976.00,4180.00,-160.00,0.00,0.00,0.00,4340.00,0.00,0.00,4340.00,0.00,0.00,0.00,-204.00,-196.00,-8.00,3976.00,4120.00,-1264.00,0.00,-92.00,460.00,60.00,0.00,0.00,548.00,0.00,0.00,0.00,108.00,0.00,0.00,104.00,-68.00
1963:Q2,1452.00,1004.00,-512.00,0.00,0.00,0.00,1516.00,0.00,0.00,1516.00,0.00,0.00,0.00,448.00,348.00,100.00,1452.00,2184.00,-388.00,0.00,-24.00,-216.00,8.00,0.00,0.00,-124.00,0.00,0.00,0.00,-108.00,0.00,0.00,-108.00,228.00
1963:Q3,-924.00,-980.00,-216.00,0.00,0.00,0.00,-764.00,0.00,0.00,-764.00,0.00,0.00,0.00,56.00,40.00,16.00,-924.00,488.00,-1556.00,0.00,-28.00,-548.00,-32.00,0.00,0.00,208.00,0.00,0.00,0.00,-12.00,0.00,0.00,-8.00,564.00
1963:Q4,-372.00,-1044.00,-32.00,0.00,0.00,0.00,-1012.00,0.00,0.00,-1012.00,0.00,0.00,0.00,672.00,584.00,88.00,-372.00,-1980.00,1868.00,0.00,216.00,376.00,8.00,0.00,0.00,-500.00,0.00,0.00,0.00,84.00,0.00,0.00,80.00,-524.00
1964:Q1,4620.00,3736.00,-344.00,0.00,0.00,0.00,4080.00,0.00,0.00,4080.00,0.00,0.00,0.00,884.00,684.00,200.00,4620.00,2376.00,1124.00,0.00,-120.00,640.00,84.00,0.00,0.00,68.00,0.00,0.00,0.00,-68.00,0.00,0.00,-64.00,580.00
1964:Q2,1808.00,1600.00,140.00,0.00,0.00,0.00,1460.00,0.00,0.00,1460.00,0.00,0.00,0.00,208.00,152.00,56.00,1808.00,2888.00,-976.00,0.00,-68.00,-360.00,-16.00,0.00,0.00,-468.00,0.00,0.00,0.00,176.00,0.00,0.00,176.00,456.00
1964:Q3,1076.00,948.00,-12.00,0.00,0.00,0.00,960.00,0.00,0.00,960.00,0.00,0.00,0.00,128.00,88.00,40.00,1076.00,-2672.00,3360.00,0.00,144.00,844.00,48.00,0.00,0.00,96.00,0.00,0.00,0.00,-284.00,0.00,0.00,-288.00,-172.00
1964:Q4,1104.00,324.00,844.00,0.00,0.00,0.00,-520.00,0.00,0.00,-520.00,0.00,0.00,0.00,780.00,676.00,104.00,1104.00,1316.00,-608.00,0.00,0.00,688.00,-84.00,0.00,0.00,-224.00,0.00,0.00,0.00,72.00,0.00,0.00,76.00,-132.00
1965:Q1,2312.00,2536.00,-1516.00,0.00,0.00,0.00,4052.00,0.00,0.00,4052.00,0.00,0.00,0.00,-224.00,-196.00,-28.00,2312.00,4508.00,-3148.00,0.00,136.00,-1900.00,216.00,0.00,0.00,596.00,0.00,0.00,0.00,424.00,0.00,0.00,420.00,1060.00
1965:Q2,1756.00,1596.00,-184.00,0.00,0.00,0.00,1780.00,0.00,0.00,1780.00,0.00,0.00,0.00,160.00,100.00,60.00,1756.00,1568.00,-928.00,0.00,-360.00,776.00,-100.00,0.00,0.00,760.00,0.00,0.00,0.00,72.00,0.00,0.00,72.00,-104.00
1965:Q3,528.00,672.00,24.00,0.00,0.00,0.00,648.00,0.00,0.00,648.00,0.00,0.00,0.00,-144.00,-132.00,-12.00,528.00,-2336.00,1452.00,0.00,32.00,288.00,12.00,0.00,0.00,492.00,0.00,0.00,0.00,132.00,0.00,0.00,132.00,324.00
1965:Q4,-1136.00,-1372.00,364.00,0.00,0.00,0.00,-1736.00,0.00,0.00,-1736.00,0.00,0.00,0.00,236.00,252.00,-16.00,-1136.00,-256.00,1328.00,0.00,256.00,-1368.00,-64.00,0.00,0.00,-1668.00,0.00,0.00,0.00,232.00,0.00,0.00,236.00,168.00
1966:Q1,6228.00,6228.00,-616.00,0.00,0.00,0.00,6844.00,0.00,0.00,6844.00,0.00,0.00,0.00,0.00,-12.00,12.00,6228.00,2636.00,3688.00,0.00,-180.00,160.00,84.00,0.00,0.00,-192.00,0.00,0.00,0.00,-12.00,0.00,0.00,-12.00,56.00
1966:Q2,764.00,576.00,512.00,0.00,0.00,0.00,64.00,0.00,0.00,64.00,0.00,0.00,0.00,188.00,100.00,88.00,764.00,-268.00,736.00,0.00,432.00,-1312.00,-12.00,0.00,0.00,-32.00,0.00,0.00,0.00,360.00,0.00,0.00,360.00,500.00
1966:Q3,3164.00,3336.00,1628.00,0.00,0.00,0.00,1708.00,0.00,0.00,1708.00,0.00,0.00,0.00,-172.00,-160.00,-12.00,3164.00,1896.00,-1788.00,0.00,-360.00,252.00,112.00,0.00,0.00,300.00,0.00,0.00,0.00,844.00,0.00,0.00,840.00,1068.00
1966:Q4,8076.00,7240.00,1776.00,0.00,0.00,0.00,5464.00,0.00,0.00,5464.00,0.00,0.00,0.00,836.00,752.00,84.00,8076.00,4736.00,3292.00,0.00,84.00,564.00,44.00,0.00,0.00,272.00,0.00,0.00,0.00,-108.00,0.00,0.00,-104.00,-704.00
1967:Q1,10808.00,10384.00,3212.00,0.00,0.00,0.00,7172.00,0.00,0.00,7172.00,0.00,0.00,0.00,424.00,328.00,96.00,10808.00,5772.00,2056.00,0.00,-276.00,2628.00,152.00,0.00,0.00,688.00,0.00,0.00,0.00,-136.00,0.00,0.00,-140.00,64.00
1967:Q2,2652.00,860.00,2664.00,0.00,0.00,0.00,-1804.00,0.00,0.00,-1804.00,0.00,0.00,0.00,1792.00,1380.00,412.00,2652.00,-152.00,32.00,0.00,144.00,768.00,-48.00,0.00,0.00,1340.00,0.00,0.00,0.00,272.00,0.00,0.00,272.00,24.00
1967:Q3,-156.00,-240.00,-740.00,0.00,0.00,0.00,500.00,0.00,0.00,500.00,0.00,0.00,0.00,84.00,48.00,36.00,-156.00,-4116.00,2192.00,0.00,96.00,1056.00,36.00,0.00,0.00,1100.00,0.00,0.00,0.00,-104.00,0.00,0.00,-100.00,-316.00
1967:Q4,3340.00,2756.00,512.00,0.00,0.00,0.00,2244.00,0.00,0.00,2244.00,0.00,0.00,0.00,584.00,552.00,32.00,3340.00,5860.00,120.00,0.00,60.00,-664.00,-56.00,0.00,0.00,-2728.00,0.00,0.00,0.00,192.00,0.00,0.00,188.00,368.00
1968:Q1,6968.00,6876.00,500.00,0.00,0.00,0.00,6376.00,0.00,0.00,6376.00,0.00,0.00,0.00,92.00,60.00,32.00,6968.00,1064.00,-1172.00,0.00,100.00,1140.00,100.00,0.00,0.00,848.00,0.00,0.00,0.00,2212.00,0.00,0.00,2216.00,460.00
1968:Q2,1932.00,2060.00,196.00,0.00,0.00,0.00,1864.00,0.00,0.00,1864.00,0.00,0.00,0.00,-128.00,-160.00,32.00,1932.00,1216.00,3468.00,0.00,136.00,-1260.00,68.00,0.00,0.00,-44.00,0.00,0.00,0.00,-1052.00,0.00,0.00,-1052.00,452.00
1968:Q3,5144.00,4956.00,5208.00,0.00,0.00,0.00,-252.00,0.00,0.00,-252.00,0.00,0.00,0.00,188.00,132.00,56.00,5144.00,488.00,2004.00,0.00,-340.00,1620.00,80.00,0.00,0.00,620.00,0.00,0.00,0.00,232.00,0.00,0.00,232.00,208.00
1968:Q4,2756.00,2460.00,-1044.00,0.00,0.00,0.00,3504.00,0.00,0.00,3504.00,0.00,0.00,0.00,296.00,328.00,-32.00,2756.00,5364.00,288.00,0.00,36.00,-1676.00,-20.00,0.00,0.00,-1240.00,0.00,0.00,0.00,-596.00,0.00,0.00,-596.00,1196.00
1969:Q1,11712.00,11552.00,1072.00,0.00,0.00,0.00,10480.00,0.00,0.00,9680.00,0.00,800.00,0.00,160.00,116.00,44.00,11712.00,2040.00,3740.00,0.00,64.00,1252.00,164.00,0.00,0.00,1408.00,0.00,0.00,0.00,1432.00,0.00,0.00,1432.00,180.00
1969:Q2,11840.00,10076.00,700.00,0.00,0.00,0.00,9376.00,0.00,0.00,5196.00,0.00,4180.00,0.00,1764.00,1344.00,420.00,11840.00,6128.00,2708.00,0.00,-132.00,600.00,128.00,0.00,0.00,-684.00,0.00,0.00,0.00,436.00,0.00,0.00,436.00,2220.00
1969:Q3,15260.00,13820.00,2568.00,0.00,0.00,0.00,11252.00,0.00,0.00,5852.00,0.00,5400.00,0.00,1440.00,1136.00,304.00,15260.00,8284.00,1668.00,0.00,76.00,304.00,240.00,0.00,0.00,1396.00,0.00,0.00,0.00,812.00,0.00,0.00,808.00,1672.00
1969:Q4,11032.00,10260.00,88.00,0.00,0.00,0.00,10172.00,0.00,0.00,3376.00,0.00,6796.00,0.00,772.00,712.00,60.00,11032.00,9012.00,2000.00,0.00,16.00,-496.00,208.00,0.00,0.00,1236.00,0.00,0.00,0.00,-424.00,0.00,0.00,-424.00,-96.00
1970:Q1,19748.00,19924.00,3940.00,0.00,0.00,0.00,15984.00,0.00,0.00,7252.00,0.00,8732.00,0.00,-176.00,-320.00,144.00,19748.00,15344.00,2256.00,0.00,48.00,-224.00,560.00,0.00,0.00,-12.00,0.00,0.00,0.00,796.00,-148.00,0.00,800.00,328.00
1970:Q2,5444.00,2936.00,-332.00,0.00,0.00,0.00,3268.00,0.00,0.00,-1236.00,0.00,4504.00,0.00,2508.00,2004.00,504.00,5444.00,8652.00,1620.00,0.00,-176.00,1024.00,-20.00,0.00,0.00,-140.00,0.00,0.00,0.00,-3472.00,-368.00,0.00,-3476.00,1800.00
1970:Q3,-16760.00,-16244.00,464.00,0.00,0.00,0.00,-16708.00,0.00,0.00,-4768.00,0.00,-11940.00,0.00,-516.00,-404.00,-112.00,-16760.00,-29160.00,500.00,0.00,220.00,2164.00,676.00,0.00,0.00,668.00,0.00,0.00,0.00,3876.00,992.00,0.00,3876.00,-572.00
