1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,153602.00,105397.00,14379.00,23478.00,10348.00,153602.00,108520.00,45034.00,17805.00,27229.00,48.00,0.00,153602.00,25843.00,68.00,0.00,3813.00,871.00,81751.00,0.00,224.00,651.00,161.00,34695.00,547.00,499.00,3338.00,170.00,0.00,971.00,0.00
1957:Q4,156641.00,107374.00,14611.00,24259.00,10397.00,156641.00,110630.00,45915.00,18437.00,27478.00,96.00,0.00,156641.00,26283.00,72.00,0.00,3925.00,923.00,83428.00,0.00,229.00,592.00,161.00,35236.00,583.00,540.00,3553.00,173.00,0.00,943.00,0.00
1958:Q1,159336.00,108975.00,15025.00,24812.00,10524.00,159336.00,112554.00,46560.00,18711.00,27849.00,222.00,0.00,159336.00,26750.00,76.00,0.00,3993.00,975.00,84678.00,0.00,239.00,666.00,161.00,35693.00,619.00,584.00,3670.00,175.00,0.00,1057.00,0.00
1958:Q2,162909.00,111142.00,15517.00,25496.00,10754.00,162909.00,115001.00,47561.00,18935.00,28626.00,347.00,0.00,162909.00,27539.00,80.00,0.00,4050.00,1026.00,87126.00,0.00,252.00,631.00,161.00,36029.00,655.00,631.00,3381.00,177.00,0.00,1171.00,0.00
1958:Q3,167216.00,114035.00,16020.00,26204.00,10957.00,167216.00,117967.00,48810.00,19210.00,29600.00,439.00,0.00,167216.00,28168.00,84.00,0.00,4103.00,1079.00,90039.00,0.00,265.00,665.00,161.00,36438.00,695.00,681.00,3370.00,183.00,0.00,1285.00,0.00
1958:Q4,172073.00,117177.00,16565.00,27222.00,11109.00,172073.00,121051.00,50490.00,20184.00,30306.00,532.00,0.00,172073.00,28887.00,87.00,0.00,4335.00,1135.00,92980.00,0.00,272.00,619.00,160.00,37062.00,742.00,736.00,3468.00,190.00,0.00,1400.00,0.00
1959:Q1,176185.00,119935.00,17132.00,27761.00,11357.00,176185.00,124053.00,51551.00,20206.00,31345.00,581.00,0.00,176185.00,29330.00,74.00,0.00,4759.00,1196.00,95318.00,0.00,230.00,723.00,160.00,37461.00,796.00,792.00,3637.00,195.00,0.00,1514.00,0.00
1959:Q2,181322.00,123346.00,17679.00,28553.00,11744.00,181322.00,127626.00,53064.00,20235.00,32829.00,632.00,0.00,181322.00,29939.00,62.00,0.00,5183.00,1263.00,98755.00,0.00,188.00,730.00,158.00,37849.00,856.00,847.00,3834.00,201.00,0.00,1457.00,0.00
1959:Q3,186450.00,127007.00,18212.00,29283.00,11948.00,186450.00,131389.00,54322.00,20208.00,34114.00,739.00,0.00,186450.00,30314.00,21.00,0.00,5481.00,1329.00,102184.00,0.00,89.00,780.00,155.00,38413.00,921.00,911.00,4087.00,202.00,0.00,1563.00,0.00
1959:Q4,191128.00,130099.00,18700.00,30228.00,12101.00,191128.00,134472.00,55809.00,21009.00,34800.00,847.00,0.00,191128.00,30801.00,21.00,0.00,5605.00,1390.00,104899.00,0.00,86.00,752.00,146.00,39197.00,989.00,992.00,4400.00,203.00,0.00,1647.00,0.00
1960:Q1,194949.00,132580.00,19199.00,30899.00,12271.00,194949.00,137393.00,56609.00,20971.00,35638.00,947.00,0.00,194949.00,31342.00,22.00,0.00,5529.00,1442.00,106715.00,0.00,87.00,930.00,145.00,39905.00,1063.00,1091.00,4794.00,204.00,0.00,1680.00,0.00
1960:Q2,199295.00,135366.00,19702.00,31668.00,12559.00,199295.00,140312.00,57934.00,21080.00,36854.00,1049.00,0.00,199295.00,32110.00,23.00,0.00,5573.00,1485.00,109210.00,0.00,89.00,906.00,145.00,40518.00,1145.00,1209.00,5087.00,206.00,0.00,1589.00,0.00
1960:Q3,204103.00,138582.00,20293.00,32531.00,12697.00,204103.00,143666.00,59287.00,21305.00,37982.00,1150.00,0.00,204103.00,32820.00,24.00,0.00,5671.00,1529.00,112100.00,0.00,92.00,875.00,147.00,41076.00,1227.00,1333.00,5332.00,204.00,0.00,1673.00,0.00
1960:Q4,208409.00,141378.00,20786.00,33407.00,12838.00,208409.00,146590.00,60567.00,21825.00,38742.00,1252.00,0.00,208409.00,33575.00,24.00,0.00,5800.00,1582.00,114531.00,0.00,94.00,853.00,149.00,41771.00,1301.00,1450.00,5467.00,201.00,0.00,1611.00,0.00
1961:Q1,212253.00,143645.00,21424.00,34121.00,13063.00,212253.00,148978.00,61969.00,21744.00,40225.00,1306.00,0.00,212253.00,34425.00,26.00,0.00,5885.00,1643.00,116550.00,0.00,99.00,993.00,153.00,42321.00,1369.00,1564.00,5416.00,201.00,0.00,1608.00,0.00
1961:Q2,217156.00,146603.00,21943.00,35173.00,13437.00,217156.00,152061.00,63735.00,22031.00,41704.00,1360.00,0.00,217156.00,35253.00,28.00,0.00,5977.00,1712.00,119814.00,0.00,104.00,926.00,156.00,42941.00,1430.00,1680.00,5250.00,200.00,0.00,1685.00,0.00
1961:Q3,222791.00,150179.00,22790.00,36085.00,13737.00,222791.00,155783.00,65591.00,22266.00,43325.00,1417.00,0.00,222791.00,36010.00,30.00,0.00,6108.00,1783.00,123331.00,0.00,111.00,1015.00,157.00,43381.00,1491.00,1793.00,5384.00,244.00,0.00,1953.00,0.00
1961:Q4,228969.00,154027.00,23622.00,37403.00,13917.00,228969.00,159774.00,67721.00,23243.00,44478.00,1474.00,0.00,228969.00,36834.00,33.00,0.00,6249.00,1849.00,126750.00,0.00,121.00,1083.00,155.00,44203.00,1560.00,1896.00,5700.00,290.00,0.00,2246.00,0.00
1962:Q1,233302.00,156488.00,24218.00,38374.00,14222.00,233302.00,162376.00,69372.00,23576.00,45796.00,1554.00,0.00,233302.00,37377.00,38.00,0.00,6300.00,1914.00,129616.00,0.00,136.00,1134.00,154.00,44606.00,1634.00,1990.00,5921.00,312.00,0.00,2170.00,0.00
1962:Q2,239432.00,160237.00,24937.00,39584.00,14674.00,239432.00,166291.00,71506.00,23993.00,47513.00,1635.00,0.00,239432.00,37975.00,44.00,0.00,6295.00,1979.00,134234.00,0.00,155.00,1095.00,150.00,45119.00,1713.00,2074.00,5839.00,336.00,0.00,2424.00,0.00
1962:Q3,245791.00,164345.00,25769.00,40733.00,14944.00,245791.00,170560.00,73548.00,24488.00,49060.00,1683.00,0.00,245791.00,38406.00,50.00,0.00,6294.00,2042.00,138987.00,0.00,174.00,1158.00,144.00,45670.00,1794.00,2155.00,5858.00,373.00,0.00,2686.00,0.00
1962:Q4,252438.00,168307.00,26732.00,42206.00,15193.00,252438.00,174650.00,76054.00,25563.00,50491.00,1734.00,0.00,252438.00,39006.00,54.00,0.00,6321.00,2100.00,143378.00,0.00,189.00,1227.00,134.00,46902.00,1876.00,2242.00,5899.00,413.00,0.00,2697.00,0.00
1963:Q1,257443.00,171352.00,27382.00,43148.00,15561.00,257443.00,177898.00,77786.00,25950.00,51836.00,1759.00,0.00,257443.00,39324.00,56.00,0.00,6272.00,2154.00,147367.00,0.00,201.00,1327.00,131.00,47527.00,1957.00,2331.00,5654.00,453.00,0.00,2689.00,0.00
1963:Q2,264646.00,175801.00,28202.00,44492.00,16151.00,264646.00,182454.00,80406.00,26527.00,53879.00,1786.00,0.00,264646.00,40093.00,56.00,0.00,5929.00,2202.00,153130.00,0.00,210.00,1321.00,128.00,48313.00,2035.00,2420.00,5337.00,495.00,0.00,2977.00,0.00
1963:Q3,272064.00,180662.00,28994.00,45835.00,16573.00,272064.00,187441.00,82833.00,27162.00,55671.00,1790.00,0.00,272064.00,40319.00,56.00,0.00,5867.00,2249.00,158811.00,0.00,218.00,1395.00,126.00,49206.00,2119.00,2512.00,5334.00,509.00,0.00,3343.00,0.00
1963:Q4,279256.00,185106.00,30024.00,47304.00,16822.00,279256.00,192045.00,85415.00,28236.00,57179.00,1796.00,0.00,279256.00,40528.00,60.00,0.00,5922.00,2297.00,163823.00,0.00,231.00,1482.00,121.00,50544.00,2220.00,2612.00,5361.00,525.00,0.00,3530.00,0.00
1964:Q1,284877.00,188776.00,30936.00,47831.00,17334.00,284877.00,195861.00,87223.00,28827.00,58396.00,1793.00,0.00,284877.00,40880.00,65.00,0.00,5934.00,2353.00,167836.00,0.00,246.00,1486.00,120.00,51455.00,2357.00,2716.00,5447.00,551.00,0.00,3431.00,0.00
1964:Q2,292203.00,193368.00,32095.00,48672.00,18068.00,292203.00,200609.00,89807.00,29347.00,60460.00,1787.00,0.00,292203.00,41158.00,72.00,0.00,5877.00,2413.00,173200.00,0.00,264.00,1428.00,120.00,52489.00,2506.00,2822.00,5537.00,581.00,0.00,3736.00,0.00
1964:Q3,299773.00,198076.00,33313.00,49848.00,18536.00,299773.00,205468.00,92500.00,30170.00,62330.00,1805.00,0.00,299773.00,41613.00,79.00,0.00,5874.00,2471.00,178652.00,0.00,283.00,1485.00,120.00,53524.00,2640.00,2937.00,5600.00,602.00,0.00,3893.00,0.00
1964:Q4,307034.00,202335.00,34578.00,51179.00,18942.00,307034.00,209879.00,95329.00,31443.00,63886.00,1826.00,0.00,307034.00,42098.00,84.00,0.00,5873.00,2524.00,183325.00,0.00,301.00,1450.00,120.00,55152.00,2778.00,3070.00,5715.00,624.00,0.00,3920.00,0.00
1965:Q1,312731.00,205891.00,35384.00,51982.00,19474.00,312731.00,213613.00,97268.00,32181.00,65087.00,1850.00,0.00,312731.00,42175.00,86.00,0.00,5839.00,2574.00,186994.00,0.00,319.00,1589.00,124.00,56317.00,2919.00,3221.00,5918.00,676.00,0.00,3980.00,0.00
1965:Q2,320010.00,210329.00,36300.00,53197.00,20184.00,320010.00,218238.00,99896.00,32608.00,67288.00,1876.00,0.00,320010.00,42480.00,86.00,0.00,5726.00,2622.00,192116.00,0.00,338.00,1586.00,130.00,57347.00,3175.00,3389.00,6118.00,730.00,0.00,4167.00,0.00
1965:Q3,327395.00,215042.00,37243.00,54413.00,20697.00,327395.00,223132.00,102402.00,33138.00,69264.00,1861.00,0.00,327395.00,42391.00,86.00,0.00,5757.00,2667.00,197560.00,0.00,357.00,1505.00,137.00,58413.00,3298.00,3567.00,6335.00,797.00,0.00,4525.00,0.00
1965:Q4,334510.00,219449.00,38213.00,55661.00,21187.00,334510.00,227711.00,104954.00,34101.00,70853.00,1845.00,0.00,334510.00,42611.00,88.00,0.00,5854.00,2713.00,202026.00,0.00,374.00,1426.00,142.00,60013.00,3385.00,3746.00,6801.00,869.00,0.00,4462.00,0.00
1966:Q1,341259.00,223358.00,39187.00,57017.00,21697.00,341259.00,231798.00,107631.00,34688.00,72943.00,1830.00,0.00,341259.00,42600.00,93.00,0.00,6069.00,2758.00,205747.00,0.00,390.00,1672.00,140.00,61232.00,3508.00,3936.00,7774.00,949.00,0.00,4391.00,0.00
1966:Q2,348424.00,227232.00,40075.00,58796.00,22321.00,348424.00,235852.00,110757.00,35819.00,74938.00,1815.00,0.00,348424.00,43427.00,100.00,0.00,6281.00,2805.00,209618.00,0.00,404.00,1623.00,140.00,62509.00,3591.00,4143.00,8434.00,1033.00,0.00,4316.00,0.00
1966:Q3,354072.00,230272.00,40708.00,60317.00,22775.00,354072.00,239076.00,113196.00,36783.00,76413.00,1800.00,0.00,354072.00,43990.00,108.00,0.00,6574.00,2848.00,212531.00,0.00,418.00,1502.00,140.00,63565.00,3710.00,4344.00,8919.00,1167.00,0.00,4256.00,0.00
1966:Q4,358537.00,232742.00,41275.00,61468.00,23052.00,358537.00,241702.00,115052.00,37691.00,77361.00,1783.00,0.00,358537.00,44617.00,114.00,0.00,6891.00,2888.00,214415.00,0.00,433.00,1434.00,143.00,64609.00,3911.00,4516.00,9354.00,1314.00,0.00,3898.00,0.00
1967:Q1,361862.00,234221.00,41968.00,62233.00,23440.00,361862.00,243374.00,116718.00,38277.00,78441.00,1770.00,0.00,361862.00,44959.00,115.00,0.00,7053.00,2922.00,215551.00,0.00,448.00,1435.00,171.00,65469.00,3991.00,4681.00,9732.00,1480.00,0.00,3855.00,0.00
1967:Q2,367447.00,237076.00,42801.00,63577.00,23993.00,367447.00,246277.00,119415.00,38646.00,80769.00,1755.00,0.00,367447.00,45344.00,113.00,0.00,7152.00,2948.00,219070.00,0.00,464.00,1428.00,176.00,66126.00,3976.00,4847.00,9895.00,1660.00,0.00,4248.00,0.00
1967:Q3,374765.00,241547.00,43748.00,64924.00,24546.00,374765.00,250946.00,122081.00,38941.00,83140.00,1738.00,0.00,374765.00,45877.00,111.00,0.00,7465.00,2975.00,223980.00,0.00,480.00,1425.00,181.00,66647.00,4059.00,4925.00,10448.00,1821.00,0.00,4371.00,0.00
1967:Q4,382055.00,245974.00,44815.00,66249.00,25017.00,382055.00,257925.00,122410.00,37234.00,85176.00,1720.00,0.00,382055.00,46607.00,112.00,0.00,7817.00,3003.00,228438.00,0.00,494.00,1384.00,185.00,67516.00,4083.00,5003.00,11131.00,1988.00,0.00,4294.00,0.00
1968:Q1,388021.00,249378.00,45477.00,67543.00,25623.00,388021.00,259192.00,127087.00,40657.00,86430.00,1702.00,40.00,388021.00,47312.00,106.00,0.00,8218.00,3044.00,231724.00,0.00,499.00,1319.00,188.00,67973.00,4091.00,5148.00,11958.00,2169.00,0.00,4121.00,151.00
1968:Q2,395418.00,253675.00,46242.00,69114.00,26387.00,395418.00,263651.00,130003.00,40874.00,89129.00,1684.00,80.00,395418.00,47757.00,104.00,0.00,8569.00,3090.00,236391.00,0.00,505.00,1311.00,190.00,68421.00,4050.00,5269.00,12596.00,2359.00,0.00,4423.00,383.00
1968:Q3,403087.00,258183.00,47141.00,70927.00,26836.00,403087.00,268340.00,132917.00,41399.00,91518.00,1670.00,160.00,403087.00,48735.00,103.00,0.00,8935.00,3141.00,241452.00,0.00,511.00,1279.00,192.00,68907.00,4071.00,5275.00,12908.00,2444.00,0.00,4595.00,539.00
1968:Q4,411381.00,262934.00,48251.00,73019.00,27177.00,411381.00,273240.00,136287.00,42399.00,93888.00,1654.00,200.00,411381.00,49082.00,100.00,0.00,9261.00,3195.00,246769.00,0.00,517.00,1276.00,193.00,69975.00,4067.00,5362.00,13293.00,2526.00,0.00,4935.00,830.00
