1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q3,4489.00,4091.00,8315.00,1537.00,0.00,190.00,15.00,42.00,133.00,11.00,0.00,6577.00,7668.00,0.00,0.00,-2616.00,1291.00,36.00,198.00,6222.00,0.00,-713.00,-1954.00,1241.00,-800.00,0.00,7735.00,3396.00,4339.00,-1695.00
1988:Q4,5231.00,4174.00,1960.00,-3195.00,0.00,1093.00,88.00,240.00,765.00,-1592.00,0.00,5654.00,8690.00,0.00,0.00,-3556.00,4201.00,-3845.00,164.00,-1221.00,0.00,-42.00,-385.00,343.00,4.00,0.00,-1183.00,1205.00,-2388.00,-2124.00
1989:Q1,4480.00,4206.00,11695.00,5418.00,0.00,-72.00,-6.00,-16.00,-50.00,1553.00,0.00,4796.00,-301.00,0.00,0.00,1139.00,-1791.00,5283.00,466.00,9807.00,0.00,3787.00,3688.00,99.00,642.00,0.00,5378.00,2342.00,3036.00,-1613.00
1989:Q2,4762.00,4281.00,3962.00,-3016.00,0.00,-101.00,-8.00,-22.00,-71.00,-711.00,0.00,7790.00,8669.00,0.00,0.00,-659.00,3139.00,-3520.00,161.00,1885.00,0.00,1218.00,259.00,959.00,-605.00,0.00,1272.00,2231.00,-959.00,-1596.00
1989:Q3,4951.00,4443.00,1465.00,-936.00,0.00,-386.00,-31.00,-85.00,-270.00,2039.00,0.00,748.00,482.00,0.00,0.00,-2392.00,5056.00,-2405.00,7.00,-606.00,0.00,2723.00,1183.00,1540.00,-516.00,0.00,-2813.00,-3366.00,553.00,-1563.00
1989:Q4,5882.00,4439.00,3169.00,-1393.00,30.00,1746.00,142.00,391.00,1213.00,-1275.00,0.00,4061.00,1538.00,0.00,0.00,-36.00,1627.00,-1151.00,2083.00,-785.00,0.00,-1500.00,-773.00,-727.00,-454.00,0.00,1169.00,-600.00,1769.00,-2511.00
1990:Q1,4894.00,4168.00,2148.00,-624.00,100.00,732.00,67.00,183.00,482.00,506.00,0.00,1434.00,6388.00,0.00,0.00,-2566.00,-2723.00,-143.00,478.00,1551.00,0.00,-503.00,725.00,-1228.00,22.00,1935.00,97.00,1117.00,-1020.00,129.00
1990:Q2,5632.00,4148.00,-6517.00,-210.00,100.00,-2247.00,-172.00,-473.00,-1602.00,-308.00,0.00,-3852.00,2407.00,0.00,0.00,-1285.00,-2829.00,-1421.00,-724.00,-6421.00,0.00,-7623.00,-6274.00,-1349.00,-841.00,1936.00,107.00,2070.00,-1963.00,1580.00
1990:Q3,5466.00,4181.00,998.00,-11227.00,104.00,-254.00,-12.00,-33.00,-209.00,-1325.00,0.00,13700.00,10994.00,0.00,0.00,5023.00,-10278.00,-1018.00,8979.00,357.00,0.00,-11428.00,-7070.00,-4358.00,-1444.00,1936.00,11293.00,2891.00,8402.00,644.00
1990:Q4,5821.00,4142.00,-11125.00,-2298.00,98.00,-767.00,-54.00,-147.00,-566.00,894.00,0.00,-9052.00,-2450.00,0.00,0.00,-5311.00,-2635.00,2161.00,-817.00,-12675.00,0.00,-8132.00,-6054.00,-2078.00,-630.00,1061.00,-4974.00,-2742.00,-2232.00,129.00
