1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q3,2597436.00,1711284.00,227914.00,389291.00,1094079.00,513942.00,499634.00,378864.00,24297.00,276785.00,37737.00,40046.00,120770.00,101463.00,539.00,17891.00,877.00,14308.00,13136.00,1173.00,-97122.00,281301.00,378422.00,469331.00,363478.00,119549.00,243929.00,105853.00,39215.00,66638.00,7322.00,94908.00,87586.00,2604758.00,-1702.00,-159.00,-293.00,2146.00,8.00
2000:Q4,2619482.00,1736101.00,228956.00,394316.00,1112829.00,515393.00,501808.00,379860.00,24508.00,276896.00,38947.00,39509.00,121948.00,102471.00,-25.00,17988.00,1514.00,13586.00,10846.00,2740.00,-100588.00,278851.00,379438.00,468575.00,368763.00,119975.00,248788.00,99812.00,40379.00,59433.00,13536.00,100414.00,86878.00,2633018.00,-1772.00,-348.00,-121.00,2234.00,7.00
2001:Q1,2614746.00,1755096.00,231703.00,393018.00,1130375.00,491884.00,499542.00,375365.00,25036.00,273813.00,35384.00,41132.00,124177.00,105416.00,942.00,17325.00,494.00,-7658.00,-7911.00,253.00,-97922.00,274171.00,372093.00,465688.00,375608.00,121483.00,254125.00,90080.00,38931.00,51149.00,10126.00,90339.00,80213.00,2624872.00,-1831.00,621.00,-1167.00,2369.00,8.00
2001:Q2,2661268.00,1768025.00,229870.00,397552.00,1140604.00,491748.00,494638.00,366890.00,24756.00,267283.00,35411.00,39439.00,127749.00,108528.00,1392.00,17780.00,48.00,-2890.00,-2020.00,-870.00,-89833.00,263648.00,353481.00,491327.00,385042.00,126531.00,258511.00,106285.00,41234.00,65051.00,12428.00,84500.00,72072.00,2673696.00,-1922.00,-398.00,-176.00,2488.00,8.00
2001:Q3,2666824.00,1775840.00,230972.00,397751.00,1147117.00,484335.00,491863.00,361256.00,24625.00,261145.00,38012.00,37473.00,130608.00,110990.00,2159.00,18176.00,-716.00,-7529.00,-7076.00,-452.00,-91667.00,249628.00,341294.00,498316.00,388110.00,125707.00,262403.00,110206.00,41052.00,69154.00,6707.00,77561.00,70855.00,2673531.00,-2000.00,-489.00,-107.00,2589.00,7.00
2001:Q4,2678989.00,1804148.00,248970.00,395402.00,1159775.00,460670.00,480878.00,350365.00,24717.00,250203.00,39358.00,36087.00,130513.00,110803.00,-2821.00,18286.00,4245.00,-20207.00,-17269.00,-2938.00,-89262.00,239263.00,328525.00,503433.00,396370.00,131670.00,264700.00,107063.00,42628.00,64435.00,22544.00,72909.00,50365.00,2701533.00,-2065.00,-616.00,0.00,2673.00,8.00
2002:Q1,2693252.00,1812840.00,243736.00,396151.00,1172953.00,477507.00,477560.00,342977.00,26164.00,241403.00,36348.00,39062.00,134583.00,114296.00,-285.00,18832.00,1740.00,-54.00,-797.00,744.00,-93816.00,243332.00,337147.00,496722.00,399541.00,131690.00,267851.00,97181.00,41926.00,55255.00,12797.00,74930.00,62133.00,2706049.00,-2038.00,-702.00,-13.00,2740.00,12.00
2002:Q2,2735804.00,1836124.00,244916.00,402042.00,1189166.00,481399.00,476619.00,337908.00,26641.00,234653.00,37449.00,39165.00,138712.00,117861.00,613.00,19307.00,931.00,4780.00,6171.00,-1391.00,-103995.00,251873.00,355868.00,522276.00,410802.00,139149.00,271653.00,111474.00,45102.00,66372.00,8136.00,78484.00,70348.00,2743940.00,-2075.00,-711.00,-18.00,2791.00,13.00
2002:Q3,2772350.00,1858279.00,250884.00,404155.00,1203241.00,481965.00,475641.00,335921.00,26656.00,231866.00,37955.00,39444.00,139721.00,118753.00,219.00,19429.00,1321.00,6323.00,6168.00,155.00,-107909.00,255401.00,363309.00,540015.00,417938.00,143399.00,274539.00,122077.00,46766.00,75311.00,11708.00,82564.00,70856.00,2784057.00,-2101.00,-693.00,-45.00,2825.00,13.00
2002:Q4,2776116.00,1876809.00,245833.00,410864.00,1220112.00,484125.00,476674.00,332095.00,26772.00,230060.00,37040.00,38223.00,144579.00,122982.00,1001.00,20000.00,597.00,7451.00,6797.00,653.00,-120742.00,251904.00,372645.00,535924.00,423084.00,146089.00,276995.00,112840.00,46483.00,66357.00,15958.00,79828.00,63869.00,2792074.00,-2114.00,-553.00,-190.00,2843.00,14.00
