1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,111136.00,12170.00,12170.00,0.00,0.00,0.00,98966.00,111136.00,111136.00,12170.00,98966.00,111136.00,0.00
1958:Q4,113645.00,12280.00,12280.00,0.00,0.00,0.00,101365.00,113645.00,113645.00,12280.00,101365.00,113645.00,0.00
1959:Q1,116121.00,12413.00,12413.00,0.00,0.00,0.00,103708.00,116121.00,116121.00,12413.00,103708.00,116121.00,0.00
1959:Q2,118654.00,12798.00,12798.00,0.00,0.00,0.00,105856.00,118654.00,118654.00,12798.00,105856.00,118654.00,0.00
1959:Q3,121245.00,13121.00,13121.00,0.00,0.00,0.00,108124.00,121245.00,121245.00,13121.00,108124.00,121245.00,0.00
1959:Q4,123863.00,13164.00,13164.00,0.00,0.00,0.00,110699.00,123863.00,123863.00,13164.00,110699.00,123863.00,0.00
1960:Q1,126476.00,13251.00,13251.00,0.00,0.00,0.00,113225.00,126476.00,126476.00,13251.00,113225.00,126476.00,0.00
1960:Q2,129119.00,13936.00,13936.00,0.00,0.00,0.00,115183.00,129119.00,129119.00,13936.00,115183.00,129119.00,0.00
1960:Q3,131827.00,14038.00,14038.00,0.00,0.00,0.00,117789.00,131827.00,131827.00,14038.00,117789.00,131827.00,0.00
1960:Q4,134575.00,14090.00,14090.00,0.00,0.00,0.00,120485.00,134575.00,134575.00,14090.00,120485.00,134575.00,0.00
1961:Q1,137291.00,14141.00,14141.00,0.00,0.00,0.00,123150.00,137291.00,137291.00,14141.00,123150.00,137291.00,0.00
1961:Q2,140082.00,14927.00,14927.00,0.00,0.00,0.00,125155.00,140082.00,140082.00,14927.00,125155.00,140082.00,0.00
1961:Q3,142952.00,14996.00,14996.00,0.00,0.00,0.00,127956.00,142952.00,142952.00,14996.00,127956.00,142952.00,0.00
1961:Q4,145868.00,15006.00,15006.00,0.00,0.00,0.00,130862.00,145868.00,145868.00,15006.00,130862.00,145868.00,0.00
1962:Q1,148771.00,15054.00,15054.00,0.00,0.00,0.00,133717.00,148771.00,148771.00,15054.00,133717.00,148771.00,0.00
1962:Q2,151749.00,15908.00,15908.00,0.00,0.00,0.00,135841.00,151749.00,151749.00,15908.00,135841.00,151749.00,0.00
1962:Q3,154801.00,15923.00,15923.00,0.00,0.00,0.00,138878.00,154801.00,154801.00,15923.00,138878.00,154801.00,0.00
