1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q4,1344.00,1344.00,824.00,824.00,896.00,-32.00,-80.00,0.00,2612.00,-720.00,0.00,-884.00,0.00,0.00,-8.00,0.00,0.00,-25900.00,49940.00,-328.00,23704.00,-20588.00,-20588.00,-16368.00,31144.00,14776.00,0.00,0.00,0.00
1998:Q1,1540.00,1540.00,152.00,152.00,5356.00,52.00,104.00,0.00,5208.00,8.00,0.00,-16.00,0.00,0.00,79392.00,0.00,0.00,21184.00,-2364.00,-4280.00,93932.00,-31136.00,-31136.00,34916.00,91476.00,126392.00,0.00,0.00,0.00
1998:Q2,1776.00,1776.00,1280.00,1280.00,2312.00,72.00,1108.00,0.00,1064.00,124.00,0.00,-56.00,0.00,0.00,57824.00,0.00,0.00,-15576.00,72532.00,-3072.00,111708.00,-7772.00,-7772.00,-32948.00,17256.00,-15692.00,0.00,0.00,0.00
1998:Q3,1652.00,1652.00,476.00,476.00,3264.00,44.00,-44.00,0.00,3020.00,164.00,0.00,80.00,0.00,0.00,68504.00,0.00,0.00,-9576.00,14928.00,-9780.00,64076.00,-4772.00,-4772.00,40692.00,28992.00,69684.00,0.00,0.00,0.00
1998:Q4,1352.00,1352.00,168.00,168.00,5280.00,-64.00,-1012.00,0.00,6192.00,60.00,0.00,104.00,0.00,0.00,38916.00,0.00,0.00,7432.00,67576.00,14784.00,128708.00,3704.00,3704.00,4364.00,4216.00,8580.00,0.00,0.00,0.00
1999:Q1,1576.00,1576.00,680.00,680.00,5780.00,-12.00,-68.00,0.00,5256.00,364.00,0.00,240.00,0.00,0.00,55548.00,0.00,0.00,12996.00,13500.00,-12548.00,69496.00,-18388.00,-18388.00,-3076.00,152640.00,149564.00,0.00,0.00,0.00
1999:Q2,1824.00,1824.00,640.00,640.00,3432.00,44.00,20.00,0.00,3024.00,208.00,0.00,136.00,0.00,0.00,6600.00,0.00,0.00,-2496.00,58724.00,-27384.00,35444.00,-852.00,-852.00,-5268.00,23636.00,18368.00,0.00,0.00,0.00
1999:Q3,1316.00,1316.00,192.00,192.00,6948.00,20.00,-24.00,0.00,6596.00,136.00,0.00,220.00,0.00,0.00,56676.00,0.00,0.00,54508.00,-76880.00,1632.00,35936.00,18552.00,18552.00,56024.00,7944.00,63968.00,0.00,0.00,0.00
1999:Q4,1088.00,1088.00,408.00,408.00,8088.00,-32.00,20.00,0.00,7964.00,192.00,0.00,-56.00,0.00,0.00,-21096.00,0.00,0.00,126476.00,-119152.00,54880.00,41108.00,43040.00,43040.00,-37792.00,79516.00,41724.00,0.00,0.00,0.00
2000:Q1,1372.00,1372.00,1248.00,1248.00,4108.00,-32.00,60.00,0.00,4288.00,124.00,0.00,-332.00,0.00,0.00,58588.00,0.00,0.00,82024.00,-64452.00,-22516.00,53644.00,255040.00,255040.00,86144.00,-9864.00,76280.00,0.00,0.00,0.00
2000:Q2,1640.00,1640.00,484.00,484.00,548.00,44.00,-112.00,0.00,516.00,100.00,0.00,0.00,0.00,0.00,64904.00,0.00,0.00,-27284.00,33332.00,-5432.00,65520.00,-6772.00,-6772.00,-100.00,26356.00,26256.00,0.00,0.00,0.00
2000:Q3,1340.00,1340.00,272.00,272.00,1456.00,36.00,36.00,0.00,884.00,80.00,0.00,420.00,0.00,0.00,176168.00,0.00,0.00,28804.00,21196.00,-109788.00,116380.00,7764.00,7764.00,21516.00,-14972.00,6544.00,0.00,0.00,0.00
2000:Q4,1648.00,1648.00,256.00,256.00,2804.00,20.00,156.00,0.00,2476.00,148.00,0.00,4.00,0.00,0.00,79548.00,0.00,0.00,17484.00,20200.00,7588.00,124820.00,4712.00,4712.00,74992.00,2712.00,77704.00,0.00,0.00,0.00
2001:Q1,2084.00,2084.00,128.00,128.00,3108.00,-4.00,-192.00,0.00,3160.00,228.00,0.00,-84.00,0.00,0.00,23932.00,0.00,52.00,73896.00,81092.00,17648.00,196620.00,-76764.00,-76764.00,14588.00,187076.00,201664.00,0.00,0.00,0.00
2001:Q2,1992.00,1992.00,456.00,456.00,3560.00,200.00,1912.00,0.00,1752.00,128.00,0.00,-432.00,0.00,0.00,40304.00,0.00,100.00,10300.00,30372.00,-12256.00,68820.00,824.00,824.00,-32012.00,-91244.00,-123256.00,0.00,0.00,0.00
2001:Q3,1436.00,1436.00,492.00,492.00,2968.00,48.00,56.00,0.00,2400.00,360.00,0.00,104.00,0.00,0.00,169020.00,0.00,-136.00,8588.00,-12412.00,-52304.00,112756.00,688.00,688.00,-67920.00,-40044.00,-107964.00,0.00,0.00,0.00
2001:Q4,1308.00,1308.00,428.00,428.00,3468.00,44.00,32.00,0.00,3156.00,180.00,0.00,56.00,0.00,0.00,8120.00,0.00,-5484.00,50176.00,-162280.00,33644.00,-75824.00,4024.00,4024.00,-2172.00,40140.00,37968.00,0.00,0.00,0.00
2002:Q1,1784.00,1784.00,1100.00,1100.00,2872.00,8.00,-8.00,0.00,2384.00,384.00,0.00,104.00,0.00,0.00,95356.00,0.00,-2096.00,-68304.00,56640.00,-48668.00,32928.00,12316.00,12316.00,-26040.00,71204.00,45164.00,0.00,0.00,0.00
2002:Q2,1472.00,1472.00,2728.00,2728.00,1144.00,72.00,60.00,0.00,348.00,420.00,0.00,244.00,0.00,0.00,58124.00,0.00,7952.00,30404.00,-65596.00,12296.00,43180.00,3500.00,3500.00,84784.00,-22744.00,62040.00,0.00,0.00,0.00
2002:Q3,1456.00,1456.00,-264.00,-264.00,2420.00,44.00,92.00,0.00,1992.00,156.00,0.00,136.00,0.00,0.00,114632.00,0.00,3968.00,40556.00,-78484.00,-18564.00,62108.00,4660.00,4660.00,-27000.00,-15524.00,-42524.00,0.00,0.00,0.00
2002:Q4,1232.00,1232.00,464.00,464.00,1532.00,40.00,68.00,0.00,828.00,204.00,0.00,392.00,0.00,0.00,-1964.00,0.00,5992.00,61960.00,-2756.00,52512.00,115744.00,7124.00,7124.00,42548.00,47764.00,90312.00,0.00,0.00,0.00
2003:Q1,1512.00,1512.00,500.00,500.00,4852.00,0.00,168.00,0.00,4068.00,292.00,0.00,324.00,0.00,0.00,-67348.00,0.00,2668.00,-2660.00,27156.00,159488.00,119304.00,560.00,560.00,728.00,32324.00,33052.00,0.00,0.00,0.00
2003:Q2,1620.00,1620.00,608.00,608.00,2264.00,108.00,80.00,0.00,964.00,344.00,0.00,768.00,0.00,0.00,54400.00,0.00,6352.00,77956.00,-2028.00,13056.00,149736.00,9000.00,9000.00,-5452.00,-15672.00,-21124.00,0.00,0.00,0.00
2003:Q3,1428.00,1428.00,356.00,356.00,3344.00,96.00,240.00,0.00,1756.00,284.00,0.00,968.00,0.00,0.00,8136.00,0.00,1436.00,-7976.00,48756.00,1052.00,51404.00,-920.00,-920.00,-12728.00,-12512.00,-25240.00,0.00,0.00,0.00
2003:Q4,1176.00,1176.00,404.00,404.00,2352.00,172.00,1888.00,0.00,-316.00,60.00,0.00,548.00,0.00,0.00,84180.00,0.00,4828.00,15808.00,4848.00,2940.00,112604.00,1824.00,1824.00,47076.00,38836.00,85912.00,0.00,0.00,0.00
2004:Q1,1368.00,1368.00,524.00,524.00,7264.00,-32.00,372.00,0.00,6156.00,532.00,0.00,236.00,0.00,0.00,136332.00,0.00,4828.00,42292.00,55996.00,7384.00,246832.00,-6260.00,-6260.00,97012.00,31532.00,128544.00,0.00,0.00,0.00
2004:Q2,2052.00,2052.00,992.00,992.00,4536.00,156.00,24.00,0.00,4032.00,228.00,0.00,96.00,0.00,0.00,124876.00,0.00,-2752.00,83044.00,-57068.00,-15168.00,132932.00,8364.00,8364.00,-89888.00,-30440.00,-120328.00,0.00,0.00,0.00
2004:Q3,3396.00,3396.00,5104.00,5104.00,108.00,144.00,-36.00,0.00,-108.00,84.00,0.00,24.00,0.00,0.00,461460.00,0.00,6112.00,34268.00,17120.00,-78728.00,440232.00,3448.00,3448.00,58328.00,-22652.00,35676.00,0.00,0.00,0.00
2004:Q4,1156.00,1156.00,5648.00,5648.00,-1888.00,16.00,-184.00,0.00,-3736.00,144.00,0.00,1872.00,0.00,0.00,153896.00,0.00,1696.00,49508.00,-7740.00,-15724.00,181636.00,4988.00,4988.00,66744.00,55296.00,122040.00,0.00,0.00,0.00
2005:Q1,1452.00,1452.00,2584.00,2584.00,1400.00,-48.00,180.00,0.00,1484.00,-16.00,4.00,-204.00,0.00,0.00,-70404.00,0.00,-460.00,-300264.00,313228.00,69244.00,11344.00,287076.00,287076.00,5536.00,42832.00,48368.00,0.00,0.00,0.00
2005:Q2,1420.00,1420.00,1508.00,1508.00,3068.00,24.00,-808.00,0.00,3928.00,152.00,-44.00,-184.00,0.00,0.00,107284.00,0.00,720.00,13992.00,13096.00,16012.00,151104.00,8392.00,8392.00,62504.00,76940.00,139444.00,0.00,0.00,0.00
